[00:00] 歡迎收聽古哀為生夢公文本集節目由如意堂贊助
[37:23] 當成是強弱
[37:24] 這個弱說
[37:25] 我覺得已經
[37:26] 完全離開新手區
[37:27] 就是月線
[37:28] 可能是多頭排列的股票
[37:30] 代表說
[37:31] 那就是每次可能
[37:32] 只要回到月線地方
[37:33] 就類似美股的
[37:34] 720均線
[37:35] 非常好用
[37:36] 每次到那邊去買
[37:37] 幾乎是跟不會輸一樣
[37:38] 除非今天是走空
[37:39] 走空
[37:40] 但是你就是稍微忍耐一下
[37:41] 最後面就會贏
[37:42] 這樣你的股票沒有選錯的話
[37:44] 所以就是說
[37:45] 你可以用比較長的線
[37:46] 當成是一種趨勢
[37:47] 比較短的線
[37:48] 作為說
[37:49] 看是不是這次要真的認真去做進攻
[37:51] 只是一般來說
[37:52] 你不可以去混用
[37:53] 你不可以說什麼
[37:54] 你用日線去打
[37:55] 然後你被套的時候
[37:56] 就是說
[37:57] 越線還是多頭
[37:58] 就至於忍耐
[37:59] 一般來說
[38:00] 你選好你要用的線
[38:01] 你就要持續堅持到底
[38:02] 所以像我自己的話
[38:03] 我比較失去
[38:04] 會使用周線跟日線
[38:05] 因為我們在做交易
[38:06] 的一般不會使用到月線
[38:07] 然後月線可能是
[38:08] 我每一股那邊
[38:09] 不會我用月線去看
[38:10] 但台股的話
[38:11] 一般來講
[38:12] 就是日線跟周線
[38:13] 然後在日線的話
[38:14] 可能裡面
[38:15] 我最喜歡參考的是
[38:16] 無日線跟月線
[38:17] 因為我覺得這兩條線
[38:18] 是真的有奇異存在
[38:20] 就是說
[38:21] 在一個波段多頭的修正之後
[38:22] 它重新的跳回
[38:23] 無日線紙上
[38:24] 你觀察一下
[38:25] 那時候居於進攻了
[38:26] 所以它跳回無日線
[38:27] 就可以搞它率是這樣
[38:28] 或是像它講的
[38:29] 你在綠K的隔絕裡面
[38:30] 你看它突破
[38:31] 頸線之後
[38:32] 這邊你就可以上車試看看
[38:33] 那所謂的有沒有站穩
[38:34] 其實就是去考量說
[38:35] 它可能畫一個W出來
[38:37] 跳上這個頸線之後
[38:38] 然後之後
[38:39] 那一小婆就再掉回來
[38:40] 掉回來
[38:41] 如果說在頸線的這個位置
[38:42] 受一隻腳起來
[38:43] 你就做多
[38:44] 就是你日線隔絕看
[38:45] 就這樣就做多
[38:46] 那你現在的問題就講說
[38:48] 可是如果今天是開
[38:49] 其他時間隔絕的話
[38:50] 你會發現說
[38:51] 這裡有一個小頸線
[38:53] 那另外一邊還有一個大頸線
[38:54] 那很簡單
[38:55] 就是在下次的極限之前
[38:56] 你就可以先獲利了解嘛
[38:57] 所以
[38:58] 它可以去做這樣子的一個綜合應用
[39:00] 但我還是要強調一點
[39:01] 就是我
[39:02] 其實我是不太喜歡
[39:03] 分享太多技術面型
[39:04] 第一個就是
[39:05] 我技術面跟身邊
[39:06] 那種超強技術面
[39:07] 比是真的差蠻多
[39:08] 那種技術面超強的
[39:09] 已經做到像藝術一樣
[39:10] 那在
[39:11] 我覺得其實
[39:12] 宗教是這樣
[39:13] 你買一道好的公司
[39:14] 你就算技術面
[39:15] 買一點買得很差
[39:16] 還是會賺錢
[39:17] 所以我比較鼓勵
[39:18] 大家去研究
[39:19] 房的manto
[39:20] 就一個公司到底
[39:21] 實際上它的EPS有沒有持續成長
[39:22] 有持續成長
[39:23] 那股價就是會持續成長
[39:24] 那只是用技術面
[39:25] 有時候是增進
[39:26] 效率去做使用
[39:27] 所以在這個
[39:28] 鯨魚方面也倒下一下
[39:29] 下面有一位
[39:30] 捏暖二寶寶
[39:31] 五萬辛好平
[39:32] 推推
[39:33] 挨大單大
[39:34] 我的單單因為結紮感染
[39:35] 風和性組織嚴重的
[39:36] 比拼胖球還大
[39:38] 通過二寶寶
[39:39] 很能夠體會女兒
[39:40] 很香的心情
[39:41] 但如同挨大分享
[39:42] 多少的生活一樣
[39:43] 會回甘甜甜的
[39:44] 那謝謝
[39:45] 老婆帶來兩個
[39:46] 這麼可愛的小天使
[39:47] 向你追用猛男家
[39:49] 川普的魚鷹
[39:50] 住這個組合太難了
[39:51] 約六號生日的老婆
[39:53] 10日快樂
[39:55] 那1月2號
[39:56] 結婚5週年快樂
[39:57] 不知道怎麼我
[39:58] 他叫我用
[39:59] 基隆猛男家
[40:00] 川普我這邊
[40:01] 中文化的川普
[40:02] 下面一位
[40:03] S Allen
[40:04] 接起一副製
[40:05] 好像真的存在
[40:06] 五星吹捧捧
[40:07] 吹吹吹吹
[40:08] 愛大尼老師
[40:09] 以為普通學電載
[40:10] 過著幾年
[40:11] 即時新樂的時光之後
[40:12] 2021年才開始認真
[40:13] 想賺錢
[40:14] 禁資款
[40:15] 從10萬
[40:16] 但我不是科技業
[40:17] 政治年薪55萬而已
[40:18] 超級費
[40:19] 這期間除了
[40:20] 政治還跑副業
[40:21] 跑外送
[40:22] 那就是
[40:23] 為了要累積本金
[40:24] 想說一切都好像
[40:25] 往鎮鬼出發
[40:26] 但是父母
[40:27] 掛號60歲
[40:28] 突然不工作
[40:29] 沒退休金
[40:30] 兩年前開始要生活費
[40:31] 現在兩個人都
[40:32] 診斷癌症
[40:33] 掛號初期
[40:34] 加上龐大的
[40:35] 醫藥費心裡
[40:36] 真的覺得
[40:37] 階級組織好像真的存在
[40:38] 小孩好像
[40:39] 是他們的保險一樣
[40:40] 那現在他們
[40:41] 想要防止去
[40:42] 做增代
[40:43] 來買0056
[40:44] 但我不想當保證人
[40:45] 絕對不知道該怎麼辦
[40:46] 求開事
[40:47] 掛號還是頂多
[40:48] 給生活費
[40:49] 其他就放生了
[40:50] 那最兄弟
[40:52] 講的那個標題啊
[40:53] 說階級副織
[40:54] 那個絕對是存在的
[40:55] 其實你要
[40:56] 從一個階級
[40:57] 跳到另外一個階級
[40:58] 就是一個很難的事情
[40:59] 你光是在觀念上面
[41:00] 就很困難
[41:01] 那我們當然不知道
[41:02] 去鼓勵大家
[41:03] 披鬥原生家庭
[41:04] 因為老實講
[41:05] 你沒有辦法選擇你的頭胎嘛
[41:06] 對
[41:07] 你沒有辦法去找人家那種開課的學
[41:08] 怎麼樣
[41:09] 可以頭胎到一個
[41:10] 更好家庭
[41:11] 然後你整天在網路上
[41:12] 破問說
[41:13] 原生家庭怎樣
[41:14] 你只會找到一群
[41:15] 就是跟你一樣產的
[41:16] 然後大家那邊互相取腦
[41:17] 也沒有意義嘛
[41:18] 所以重點就是說
[41:19] 你被發了一副牌
[41:20] 那就是想辦法把它打好
[41:21] 如果說
[41:22] 你真的覺得自己拍的爛的話
[41:24] 有時候你轉頭看別人
[41:25] 就一定有病更產的
[41:26] 就類似最近在社群上面
[41:27] 很流行的什麼
[41:28] 特權論嘛
[41:29] 那個討論到後面
[41:30] 就每個人都是有特權啊
[41:31] 所以我覺得很好笑
[41:32] 台灣很多東西
[41:33] 是落後美國五年
[41:34] 美國五年前在玩那種
[41:35] Private Checklist
[41:36] 然後像在台灣
[41:37] 大家就跟大家玩一樣的東西
[41:38] 五年後我們可能有一個
[41:39] 川普會選出來
[41:40] 那反正就是說
[41:41] 你決定你的出生啊
[41:42] 那有時候
[41:43] 當今天狀況出現的時候
[41:44] 我們就試著建造拆招
[41:45] 就也不用一直幹掉了
[41:46] 也不用去申請了
[41:47] 那像這樣的案例要怎麼樣解決
[41:49] 我覺得的話心借一線
[41:50] 所以的話心借一線
[41:51] 不是說什麼
[41:52] 你又不是我爸嗎
[41:53] 不是就是說
[41:54] 像你講的嘛
[41:55] 你覺得給他生活費可以
[41:56] 那你也不再吃香喝辣
[41:57] 也不是說什麼
[41:58] 我過了就爽
[41:59] 然後我去苦我爸嗎
[42:00] 沒有我已經盡力了
[42:01] 我可以給你生活費
[42:02] 可是我自己的家庭跟小孩
[42:03] 我就高通完之後
[42:04] 那你就這樣
[42:05] 那你說可不可以去當個保人
[42:06] 這個以我自己來講的話
[42:07] 就是去當自己的爸爸保人
[42:09] 因為我知道你不是說去
[42:11] 帶款算去賭博什麼的
[42:12] 你是他們這樣做我猜想
[42:14] 他們也是為了說
[42:15] 可能會有一個這種固定的收益
[42:17] 可以去支付他們的醫療
[42:19] 相關的東西
[42:20] 那只是0.56真的不是一個好產品
[42:21] 這我講到爛掉了
[42:22] 那就不再去多做一個罪述
[42:25] 但至少他們願意去自救
[42:27] 而且他們有防止
[42:28] 其實已經贏過很多人的爸爸嗎
[42:29] 很多人的爸爸是沒有防止的
[42:30] 所以去把他當個保人
[42:31] 之後我可以做
[42:32] 然後給你的生活費做我可以做
[42:33] 但你說什麼
[42:34] 我可能之後要去
[42:36] 全時間要陪陪我什麼的
[42:37] 那就變成說是
[42:38] 把兩個人下去
[42:39] 下面三個人
[42:40] 或說甚至是六個人
[42:41] 你跟你老婆跟你小孩
[42:42] 就全部都一起下去
[42:43] 所以這個地方可能就要去做一個
[42:45] 講現實一點講切割了
[42:47] 實際上我們就說
[42:48] 反正我盡力了
[42:50] 不知道我還能夠怎麼樣
[42:51] 所以在這裡我只能夠住
[42:52] Siren就是一切順利
[42:54] 希望你可以不老
[42:55] 就突然間開敲
[42:56] 找到某種賺錢的管道
[42:57] 然後突然間就一切都不是問題了
[42:59] 那不然的話
[43:01] 就只能夠去攤牌
[43:02] 也不是說什麼
[43:03] 你要去做切割
[43:04] 就是你就剛剛講說
[43:05] 我能夠做真就這樣
[43:06] 就類似說你也可以問
[43:08] 如果今天罵我突然間
[43:09] 在小朋友的時期
[43:10] 我得了一個絕症
[43:11] 那也不是說什麼
[43:12] 爸媽有多愛你
[43:13] 就可以救你
[43:14] 要拿一意出來
[43:15] 誰拿出一意
[43:16] 類似這樣子
[43:17] 所以就盡力就好
[43:18] 我就盡力就好
[43:19] 那希望
[43:20] 一些都是最好的安排
[43:21] 那我們也
[43:22] 幫你跟這個觀音導來講一下
[43:24] 保佑他爸媽早點
[43:26] 被治療
[43:27] 那同時我們身為
[43:28] 捏軟陣線的爸媽們
[43:29] 大家也要彼此瞭解一件事情
[43:31] 這次我長期呼籲的
[43:32] 就是
[43:33] 小朋友生下來
[43:34] 我們不是農業時代了
[43:35] 所以我們不會期待
[43:36] 說他一定要做什麼
[43:37] 或什麼樣的
[43:38] 你今天把他生下來
[43:39] 你不是要把他當成是某種
[43:41] 怎麼講
[43:42] 就是說Backup plan
[43:43] 真的不是這樣想
[43:44] 但有一天你可能
[43:45] 會不小心倒下我什麼
[43:46] 那到時候你的兒子
[43:47] 就真的要來照顧你
[43:48] 即便你沒有強迫他
[43:49] 有什麼
[43:50] 但他就是喜歡的照顧你
[43:51] 那是最好的一個
[43:52] 那種和諧的畫面
[43:53] 可是
[43:54] 我覺得就是初十點
[43:55] 應該
[43:56] 不要去把小朋友當成是某種
[43:58] 就是他未來要來救我這樣子
[44:00] 因為這可能對小朋友
[44:01] 想是一個超級大的負擔
[44:02] 那確實有些人是這樣子想的
[44:04] 什麼樣的方老
[44:05] 樣的方老
[44:06] 我覺得他不是一個好的觀念
[44:07] 但我覺得新時代
[44:08] 爸媽應該這個觀念
[44:09] 是比較少一點
[44:10] 下面因為
[44:11] 全碼目標破三
[44:12] 建形建源
[44:13] 不獲得準新手爸爸
[44:14] 孟宮新年快樂
[44:15] 緣谷聽眾
[44:16] 即將在明年5月加入
[44:17] 捏軟正線聯盟
[44:18] 很有感你分享
[44:19] 其安從
[44:20] 產檢到出身的
[44:21] 新入歷程
[44:22] 上月陪老婆
[44:23] 產檢聽到寶寶
[44:24] 有脈絡重囊種
[44:25] 那初衛人
[44:26] 復聽到特殊狀況
[44:27] 都很擔心
[44:28] 冷靜後做了功課
[44:29] 即高層次產檢後
[44:31] 異生判斷
[44:32] NIPT沒有異常
[44:33] 以及其他的檢查
[44:34] 呼籲之下
[44:35] 叫我們夫妻一先放下擔心
[44:36] 生感孩子的健康
[44:38] 永遠是父母的大期望
[44:39] 那希望透過孟宮
[44:41] 以及後面觀音短矮的祝福
[44:42] 那其就孩子
[44:43] 可以健康長大平安出身
[44:45] 也對懷孕
[44:46] 還要打乾素的老婆
[44:48] 先說
[44:49] 那是一先還是
[44:51] 一先說
[44:52] 辛苦了
[44:53] 那未來我會持續的
[44:54] 扛起家的重待
[44:55] 讓你跟孩子
[44:56] 無後故之憂愛你
[44:58] 所以像那個
[44:59] 前面的S Allen
[45:01] 你看你家就看一家
[45:02] 後面這位爸爸
[45:03] 或者說其實我們這邊
[45:04] 很多的捏軟宅
[45:05] 或者我自己也是一位捏軟宅
[45:06] 我都分享
[45:07] 其實
[45:08] 我覺得這樣子
[45:09] 就很多人都會埋怨自己的爸媽了
[45:11] 我們曾經在年輕的時候
[45:12] 也埋怨過自己的爸媽媽
[45:13] 你看你隔壁同學有什麼
[45:15] 你看你的朋友
[45:16] 什麼臺北有房子
[45:17] 什麼你一定都曾經都幹了過
[45:19] 可是後面都會知道說
[45:21] 我覺得一些愛是
[45:22] 會穿越時空的
[45:23] 就是他們可能當時
[45:25] 生你的時候也是有
[45:26] 那種各種規劃
[45:27] 他還是希望說
[45:28] 他可以賺很多錢
[45:29] 可以好好養你
[45:30] 他只是
[45:31] 社會跟現實
[45:32] 就是很殘酷嘛
[45:33] 很多人
[45:34] 他想要獲得的東西
[45:35] 就是沒有爸獲得
[45:36] 或者說
[45:37] 他希望的東西
[45:38] 就沒有爸發生
[45:39] 所以也不要很直覺的
[45:40] 去覺得說
[45:41] 就是說
[45:42] 今天爸媽有需要你
[45:43] 然後他們就是一種負擔
[45:44] 因為你看
[45:45] 其實我們這邊的捏軟宅
[45:46] 每個在分享對小朋友的時候
[45:48] 跟我都是很發一餅的
[45:49] 我覺得是這樣物理類去
[45:50] 我們聽眾很多時候
[45:51] 就是跟我都是滿想的人
[45:52] 所以
[45:53] 大家都是
[45:54] 非常 caring的人
[45:55] 所以你會喜歡這個節目
[45:56] 說不定你的爸媽媽
[45:57] 也是跟我們是假設
[45:59] 他是回到年輕的
[46:00] 捏軟宅也是一樣的
[46:01] 所以
[46:02] 就整個說
[46:03] 社會是一個
[46:04] 很殘酷的地方
[46:05] 然後再來就是
[46:06] 在健康的層面上
[46:07] 也是有很多
[46:08] 就是我們無法掌握的事情
[46:09] 不好意思我那時候起床
[46:10] 或說
[46:11] 這位圈馬爸爸
[46:12] 他們所遇到一些東西
[46:14] 老師講
[46:15] 你說真的遇到這種問題
[46:16] 你問那個圈馬爸爸
[46:17] 如果你可以做下來
[46:18] 跟他講
[46:19] 這個小朋友
[46:20] 要花超級多錢
[46:21] 他一定也是他媽說啊
[46:22] 他連他的
[46:23] 把這個小朋友救起來
[46:24] 所以今天
[46:25] 我們的爸媽遇到一點問題的時候
[46:26] 你可以不救他嗎
[46:27] 你還可以救他
[46:28] 這是就是
[46:29] 量力以為大家都盡力
[46:30] 那我們真的希望這個
[46:31] 如果世界上是有神的話
[46:33] 我下次開始有相信啊
[46:35] 可是有很多時候我就覺得說
[46:36] 如果真的有神的話
[46:38] 怎麼會對這些小朋友
[46:39] 或是這些小動物
[46:40] 這麼殘酷呢
[46:41] 就
[46:42] 你說你對陳天然
[46:44] 你要磨練他的時候好了
[46:45] 可是
[46:46] 對 就是
[46:47] 反正這個世界是一個
[46:48] 很殘酷的地方
[46:49] 我們只能夠希望說
[46:50] 每個人都可以
[46:51] 拿到一首好牌
[46:52] 沒有好牌的
[46:53] 都可以把它打成一首好牌
[46:54] 持續地維持
[46:55] 振向的信念
[46:56] 因為沒有信念的話
[46:57] 那個蠟燭就熄火了
[46:59] 那我們希望這個
[47:00] 全馬爸爸
[47:01] 跟他的太太
[47:02] 後面都是
[47:03] 那各種有勁無險
[47:04] 順利的
[47:05] 誕生下這個小北比
[47:06] 下面一位
[47:07] 前來請安孟共大帝
[47:09] 台南地方爸爸
[47:10] 前些日子帶女兒
[47:11] 只是要看感冒
[47:12] 卻被醫生聽出新雜營
[47:14] 建議新帳
[47:15] 超音波檢查一下
[47:16] 11月31日
[47:17] 檢查日子
[47:18] 希望孟共保佑
[47:19] 我女兒平安無視
[47:20] 只是虛經異常
[47:21] 一樣我們都是
[47:22] 轉包給後面的那個
[47:23] 觀音檯
[47:24] 千萬不要把腦子當成白
[47:25] 因為
[47:26] 這感覺會折養受
[47:27] 不敢幫你亂許願
[47:28] 或啥小的
[47:29] 我個人是這樣覺得
[47:31] 如果各位覺得
[47:32] 來這邊去
[47:33] 說些東西舒服的話
[47:34] 那我們就從善如流
[47:35] 但還是要去找這種
[47:36] 正規的神明
[47:37] 那我們希望這個
[47:38] 女兒
[47:39] 最後面去
[47:40] 照超音波檢查
[47:41] 虛經異常
[47:42] 下面一位
[47:43] 主卡外外C
[47:44] 各位數開始聽的
[47:45] 定額氣氛窄
[47:46] 謝謝孟共哥的
[47:47] 一路五十分鐘
[47:48] 小弟是公司的
[47:49] 負責人
[47:50] 近期借了款
[47:51] 給合作快四年的
[47:52] 廠商老闆
[47:53] 同時又機欠我
[47:54] 公司年度的
[47:55] 貨款結果連落上的時候
[47:56] 假裝自己
[47:57] 車禍後會取
[47:58] CA昏迷
[47:59] 又說自己輕人過世
[48:00] 出闢
[48:01] 沒有辦法看到
[48:02] 訊息轉帳
[48:03] 笑死
[48:04] 那自己竟然當了
[48:05] 快樂寶貝
[48:06] 雖然欠了錢不多
[48:07] 但欠錢還錢
[48:08] 天津地
[48:09] 現在要去申請支付命令
[48:10] 希望可以
[48:11] 住我一切順利愛你
[48:12] 希望這位兄弟順利
[48:13] 那希望
[48:14] 後面拿回來的
[48:15] 不是一個獎狀
[48:16] 因為很多時候是這樣
[48:17] 就是你去
[48:18] 拿到法院判給你的這個
[48:19] 那那就是一個獎狀
[48:20] 再全證明
[48:21] 對他有欠你錢
[48:22] 可是這個家我幹
[48:23] 拖產沒錢
[48:24] 或什麼的
[48:25] 這個是大家亂趴遇到的事情
[48:26] 所以很多時候
[48:27] 像我自己建人家
[48:28] 前的時候
[48:29] 當成是這筆錢不會回來
[48:30] 那真的高機率很多都不會回來
[48:31] 那希望你之後
[48:32] 可以稍微的小心一點
[48:33] 那再就是希望
[48:34] 這筆錢可以拿回來
[48:35] 下面一位社會新鮮人
[48:36] 妖寶
[48:37] 動畫推薦
[48:38] 推薦嘴
[48:39] 一部高健
[48:40] 改編的動畫
[48:41] Clanet
[48:42] CIA
[48:43] NAD
[48:44] Hine
[48:45] Clanet after story
[48:46] 不只是動畫而是人生
[48:47] 跳脫笑眼
[48:48] 框架將視角一路延伸到畢業後面面臨的社會
[48:51] 洗禮
[48:52] 建立家庭
[48:53] 跟生命傳承
[48:54] 說是人生避看都不為過
[48:56] 馬之準用
[48:57] 最細膩的比數
[48:58] 描繪了每個人生中
[49:00] 都會經歷的家庭責任跟陪伴
[49:02] 僅與要能夠接受畫風
[49:03] 並撐過第一季的劇情
[49:05] 那住在一家
[49:06] 身體健康愛寧
[49:07] 非常感謝這位兄弟的推薦
[49:09] 那再念一個
[49:10] 樂高高高高高
[49:11] 樂同一部庭
[49:12] 不知道孟公
[49:13] 資產到多少時候
[49:14] 才開始不用填
[49:15] 同一部庭的蓋子
[49:16] 求開一隻愛寧
[49:18] 都用填的
[49:19] 我下面也會
[49:20] 按摩音帝
[49:21] 我是iPhone大師兄
[49:22] 那天跟朋友吵
[49:23] 誰是鐵粉
[49:24] 我們都是上古技術開的
[49:25] 聽話來拿出會界思考
[49:26] 孟公簽名叫版本
[49:27] 他直接叫我一哥了
[49:28] 那忘記
[49:29] 為什麼會有簽名
[49:30] I大概記得嗎
[49:31] 就是
[49:32] 那時候出版
[49:33] 是有叫我先簽一協
[49:34] 所以有些書賣出去的時候
[49:35] 本身就有簽名
[49:36] 後來又有一個簽書會
[49:37] 只是
[49:38] 簽書也本來要幫我辦三場
[49:39] 那我去第一場之後
[49:40] 就說我不要辦了
[49:41] 我就從此之後
[49:42] 我就再也不出來
[49:43] 所以我覺得
[49:44] 對啊
[49:45] 就是我曾經有探索過
[49:48] 法法我是喜歡躲在我的
[49:49] 貴宅洞
[49:50] 我大概這樣
[49:51] 那我非常感謝各位的製車
[49:52] 拜拜
