[00:00] 歡迎收聽古哀為聖蒙公本集節目由Backbone贊助
[36:21] 要有人在網路上
[36:22] 或者說直接
[36:23] 什麼跑來的失訓幹給
[36:24] 我覺得很煩
[36:25] 所以
[36:26] 我只是覺得
[36:27] 是一直牽引我前進來的東西
[36:28] 只是我沒有辦法確定說
[36:29] 這些決定到底是好還是壞
[36:31] 我也不確定這些選擇
[36:33] 是對還是錯
[36:34] 至少自己回頭看
[36:36] 覺得說應該是做了
[36:37] 蠻多對的選擇
[36:38] 才會走到這一步
[36:39] 下面有一位
[36:40] 一一一
[36:41] 林口憲夢公夢公安
[36:42] 感謝您的節目
[36:43] 陪我度過大學五年的上學路
[36:45] 下次每天焦慮的考研宰
[36:47] 所以想來關於短短
[36:49] 還是許願
[36:50] 希望可以考上心中
[36:51] 最少去的消息
[36:52] 那如果考上的話
[36:53] 我覺得捐出
[36:54] 當月的10%生活費
[36:55] 給育幼院
[36:56] 那最後希望可以用諾亞的聲音說
[36:58] 姐姐趕快起床念書了
[37:00] 那住夢公一家
[37:01] 無口身心健康諾亞
[37:02] 其安平安長大
[37:04] 所有聽眾的小朋友
[37:05] 都能夠有快樂的同年
[37:07] 然後這個祝福非常好
[37:08] 可是這位
[37:09] 地方每邊玩自覺的
[37:10] 就是當月10%的生活費
[37:12] 看你拿這種東西許願
[37:13] 你不會覺得害羞嗎
[37:14] 這就是我上台通講的
[37:16] 你拿一個小泡腐
[37:17] 然後你許你變熟悟
[37:18] 你不會覺得說
[37:19] 你當神明是白癡嗎
[37:20] 所以我自己把你加碼好不好
[37:21] 就如果說你真的考上的話
[37:22] 你捐30%
[37:23] 至少30%
[37:24] 30%的生活費把圈出去
[37:26] 你那個月就吃土眠在洗澡
[37:27] 你都考上你要怎麼樣
[37:28] 就吃土吃吃一個月也不會死掉了
[37:30] 你那個月
[37:31] 就是說你要學校學的時候
[37:32] 你的代價也要夠打
[37:33] 不然有時候你不會害怕嗎
[37:34] 說看你用一個
[37:35] 超熱色的東西去許願
[37:37] 它還真的被你許到
[37:38] 你不覺得這個感覺就是
[37:39] 就可能默默的某些東西
[37:41] 會被拿走嗎
[37:42] 我之後又怕這種事情
[37:43] 所以我就把你加碼
[37:44] 30%的生活費
[37:45] 也不是什麼W的事情
[37:46] 希望你可以說你考上
[37:47] 下面會
[37:48] CC土兔
[37:49] 你也懶得要幹來
[37:50] 當然要打
[37:51] 愛來打
[37:52] 上次有信被你念到
[37:53] 之前祝福之後
[37:54] 我而也順利有完成切乾手術了
[37:56] 切下來的部分
[37:57] 媽的比我
[37:58] 臥爛蛋的手還大
[37:59] 那謝謝您
[38:00] 及各位的祝福
[38:01] 也希望接下來一些順利
[38:02] 趕快愛您
[38:03] 是說本來想說
[38:04] 與其相信
[38:05] 來路不明的老師
[38:06] 不如去買主動型
[38:07] 那至少
[38:08] 增強時代的肉給大家看
[38:09] 但今天看到
[38:10] 00981A買了0050 ETF
[38:13] 買 ETF
[38:14] 到底什麼燒槽
[38:15] 做貴球夢攻擊
[38:16] 或難道真的是
[38:17] 想要更多的大積極嗎
[38:20] OK
[38:21] 首先恭喜你的
[38:22] 孩子順利平安
[38:24] 再來講說
[38:25] 981A買0050
[38:26] 我知道這個很多人在幹腳
[38:28] 就說這個魔用程度上
[38:29] 是一種套娃娃
[38:30] 就抽你兩次手續費
[38:32] 0050就已經要給人家抽費用
[38:33] 然後記得
[38:34] 981在抽你一次
[38:35] 但我他媽的我幹嘛
[38:36] 不要直接買0050就好
[38:37] 可是問題是
[38:38] 你買981A
[38:39] 某個程度來說
[38:40] 你就是買他的判斷
[38:42] 就是他去判斷說
[38:43] 我現在該配什麼東西
[38:44] 所以他搞不好
[38:45] 就可能跟我想法一樣
[38:46] 就是說
[38:47] 如果今天我是981A的
[38:48] 超盤人
[38:49] 當然我沒有對待募資
[38:50] 可是你看很多時候
[38:51] 我不知道買什麼時候
[38:52] 就買0050
[38:53] 那這時候
[38:54] 如果是投資我的人
[38:55] 可能就想說
[38:56] 你要買0050
[38:57] 那我告訴自己
[38:58] 可是問題是
[38:59] 他又不是全部都是0050
[39:00] 他有其他東西
[39:01] 那只是說
[39:02] 當然買0050
[39:03] 這個是可以被公平的事情
[39:04] 就可能對我現在會不喜歡
[39:05] 可是我覺得
[39:06] 他只要不是說
[39:07] 我去買00908A
[39:08] 就是你買了50%的0050
[39:09] 那真的太過分
[39:10] 那真的就非常過分
[39:11] 可是如果說
[39:12] 買一點點我自己覺得還好
[39:13] 但
[39:14] 顏規正傳
[39:15] 我自己不會去買這類的產品
[39:16] 所以也沒什麼好討論
[39:17] 我只是稍微分享
[39:18] 還有我自己的一個心得
[39:19] 下面因為
[39:20] 托拉電鼠
[39:21] Packle Packle
[39:22] 腰痛會不會是
[39:23] 追尖盤突出
[39:24] 可以去拍個電腦
[39:25] 斷層照一下
[39:26] 那拜託夢工
[39:27] 模仿兔媽的語氣
[39:28] 念兔媽也不知道
[39:29] 尤其尤其是尤其是
[39:30] 巴布
[39:31] 我不確定是不是
[39:33] 但其實後來發現說
[39:34] 很多時候腰痛
[39:35] 就是因為我真的做太久
[39:36] 我只要不要做這麼久
[39:37] 不會痛
[39:38] 那對有空
[39:39] 可能去找一下
[39:40] 下面因為
[39:41] 國泰王楊明
[39:42] 五星吹到爪出來
[39:43] 大家可以請教一下
[39:44] 有什麼屁茶骨嗎
[39:45] 不就打沒熱嗎
[39:47] 打沒有屁茶
[39:48] 不知道什麼
[39:49] 所以
[39:50] 入港九菜王
[39:51] 抱著軟體骨的科技業
[39:53] PM
[39:54] Hi大
[39:55] 五星吹到天氣的
[39:56] 您第一次講軟體骨的時候
[39:57] 我看了一輪
[39:58] 只有五二一一有聽過
[39:59] 心想賣翻譯比
[40:00] 還沒到的公司
[40:01] 可以買吧
[40:02] 就一直包現在看著
[40:03] 台骨破三萬
[40:04] Hi大
[40:05] 建議我三App
[40:06] 還是現在20%不會買正二
[40:08] 感謝
[40:09] 五二一是哪一隻啊
[40:10] 我不知道
[40:11] 一般骨票的那梯可你
[40:12] 抱出來我都一定知道
[40:13] 什麼這個
[40:14] 猛田
[40:15] 我還要手機拿出來
[40:16] Google我知道
[40:17] 猛田
[40:18] 我跟你講那時候我有少過他
[40:19] 他不只是錄音比
[40:21] 我沒有記錯的話
[40:22] 他還有在做那個
[40:24] 就是類似
[40:25] 什麼你去看一些
[40:26] 什麼豬汙網
[40:27] 然後可以看到裡面的
[40:28] 那種3D鏡頭的時候
[40:29] 記得他有做類似的東西
[40:30] 因為我那時候在看軟體骨
[40:31] 所謂是
[40:32] 把台灣的
[40:33] 所有相關的
[40:34] 都少過一次
[40:35] 然後這最後一番的時候
[40:36] 就是台灣的軟體骨選項
[40:37] 真的是非常少
[40:38] 那只是你切入的點
[40:39] 蠻奇怪的
[40:40] 因為你的想法是說
[40:41] 賣翻譯比還沒有倒
[40:42] 可以買吧
[40:43] 那我的想法是
[40:44] 賣翻譯比
[40:45] 你怎麼還沒有倒
[40:46] 就是賣翻譯比
[40:47] 那誰需要翻翻翻譯比啊
[40:48] 他已經是變成
[40:49] 某種非常捏屬的應用了吧
[40:50] 以前可能說
[40:51] 每個人都會有一個
[40:52] 或是有一個
[40:53] 無敵電子持電子
[40:54] 等一下他媽誰會有那個
[40:55] 我手機就可以半到啦
[40:56] 就有點類似說
[40:57] 在我的角度
[40:58] 你會有點像是
[40:59] 跑去買某個
[41:00] 數位相機
[41:01] 鼓露音比鼓一樣
[41:02] 因為我手機就可以做到這些東西
[41:03] 好,當然不是唱壞這家公司
[41:04] 我第一次說
[41:05] 在邏輯上有一點很神奇
[41:06] 因為一般
[41:07] 我們會想買的東西
[41:08] 其實說
[41:09] 我知道這個東西唱得性極好
[41:10] 然後我才去買他
[41:11] 而不是說
[41:12] 這東西
[41:13] 搞不好這是某種煙屁股投資法
[41:15] 但是我是不太認同啦
[41:16] 所以希望你切順利啊
[41:18] 然後再講說
[41:19] 這個位置去信待20%不會買鎮餓
[41:21] 我不知道我感覺是蠻恐怖的
[41:23] 因為很多人其實
[41:24] 老實講
[41:25] 會這麼喜歡鎮餓的語音
[41:26] 就是因為台灣的大盤
[41:27] 在過去真的很好
[41:28] 而且我看到的一個統計說
[41:29] 其實過去10年來
[41:30] 台灣是世界最強的大盤
[41:31] 所以你當然
[41:32] 你會覺得說
[41:33] 買鎮餓很好嘛
[41:34] 如果你今天的國家不是台灣的話
[41:35] 你是其他國家
[41:36] 你還會覺得那個
[41:37] 國家的鎮餓是好東西嘛
[41:38] 所以其實蠻多人的投資
[41:39] 都還是看後照鏡你再開車啦
[41:41] 那並不是說
[41:42] 鎮餓不能買如果強調
[41:43] 就在一些時間點
[41:44] 我也會去買這個產品
[41:45] 只是我一直是不太相信
[41:46] 所有的無腦買東西的一個
[41:48] 說法的原因是因為
[41:49] 我們隨便舉一個例子啦
[41:50] 如果說
[41:51] 當年台灣決定
[41:52] 要去往中國靠
[41:53] 而不是往美國靠的話
[41:54] 你覺得你的鎮餓是長什麼樣子
[41:55] 所以沒有一個東西
[41:56] 是真正無腦的
[41:57] 懂嗎
[41:58] 就是你一定要一直去思考
[41:59] 我是不喜歡無腦這個說法
[42:01] 而不是說
[42:02] 哪個三品我特別不喜歡
[42:03] 大家知道
[42:04] 下面我也
[42:05] 三重九竹
[42:06] 為什麼大家都要打
[42:07] 留言密碼測試
[42:08] 六星推
[42:09] 阿夢你好
[42:10] 阿夢嗎
[42:11] 太多人叫我的逆城
[42:12] 我不講叫
[42:13] 我是去年GTC
[42:14] 跟你拍照的聽眾啦
[42:15] 那剛好我這個月
[42:16] 1月24號生日
[42:18] 不用做生日快樂
[42:19] 因為女友
[42:20] 沙拉當天要帶我
[42:21] 維斯丁體驗
[42:22] 天夢之床
[42:23] 蠻期待的
[42:24] 那不知道阿夢
[42:25] 有什麼很屌的設備
[42:26] 來增添你的睡眠品質
[42:28] 那另外可以
[42:29] 幫我用高速婆婆的聲音
[42:30] 謝謝沙拉公主
[42:31] 你最美嗎
[42:32] 我不太學
[42:33] 但我很喜歡高速婆的這個角色
[42:35] 那沙拉公主
[42:36] 你真美
[42:37] 我覺得蠻變態的
[42:38] 說要去維斯丁體驗
[42:39] 天夢之床
[42:40] 就是要
[42:41] 瘋狂看
[42:42] 有一個聽眾講
[42:43] 我是怎麼樣的自覺
[42:44] 會是要說我這邊
[42:45] 如果講瘋狂座外
[42:46] 是我平常會講的話
[42:47] 可是因為這邊還是
[42:48] 有些小朋友會聽嘛
[42:49] 那我如果講瘋狂座外
[42:50] 那不就不太好聽嘛
[42:51] 所以你看我剛剛就收手
[42:52] 可是你看我還是講
[42:53] 我也不知道什麼會講
[42:54] 那祝你1月24號生日快樂
[42:56] 然後再講說
[42:57] 有沒有什麼
[42:58] 很屌的設備來增加睡眠品質
[42:59] 沒有
[43:00] 就是一個床加一個枕頭
[43:01] 枕頭如果可以夾在膝蓋中間
[43:02] 或是電在膝蓋下面的話
[43:04] 我覺得其實整體的體驗會變好
[43:05] 然後床的話我很喜歡我的
[43:07] 棉豆腐
[43:08] 是睡好那個芝麻豆腐
[43:09] 還加強版的
[43:10] 我覺得睡起來非常的爽
[43:11] 那再講說有沒有人叫阿孟都有
[43:13] 什麼阿孟孟孟
[43:14] 公公阿公
[43:15] 孟孟哥
[43:16] 公哥
[43:17] 小孟小公都有
[43:19] 或是說你要叫我什麼
[43:20] 新北飛口也是可以啦
[43:21] 什麼臨口最帥
[43:22] 這個其實我覺得都是
[43:23] 滿可以接受的
[43:24] 全面因為
[43:25] 家的牙醫系怪小
[43:26] 這是上次那個
[43:27] 推路輸營料的怪卡
[43:29] 所以你看其實
[43:30] 就像前面那個
[43:31] 問報告的聽眾一樣
[43:32] 你要夠特別
[43:33] 人家常常的記住你這樣
[43:34] 所以像這個怪卡那罵
[43:35] 我就記得他的誰
[43:36] 我不是怪小啦
[43:37] 你就是怪小
[43:38] CD差不多來頻繁一下
[43:40] 想問幾個問題
[43:41] 1G的I-L I以前說過
[43:42] 都不會記得
[43:43] Lisa的生日或是
[43:44] 紀念日之類的
[43:45] 那飲食喜好
[43:46] 這些也不會記得
[43:47] 嘛如果都是
[43:48] Lisa記得你的
[43:49] 那也不記得他的這樣
[43:50] 他會覺得不平衡
[43:51] 2
[43:52] 幫我用川普卡到機了
[43:53] 聲音
[43:54] 住我跟女友學測
[43:55] 就上牙醫系剛聞
[43:57] 還是很怪
[43:58] 我還是覺得這個人超怪
[43:59] 但就住你上牙醫系
[44:00] 然後在
[44:01] 第1個
[44:02] 沒有啦
[44:03] 就是記得
[44:04] 2月13號啊
[44:05] 紀念日的話
[44:09] 紀念日真的
[44:11] 9月14號
[44:13] 紀念日真的想不起來
[44:14] 那飲食的話
[44:15] 其實也沒有什麼好記不記
[44:16] 因為我老婆就是
[44:17] 只是店粉
[44:18] 她不吃肉
[44:19] 所以很多人說
[44:20] 那幫Lisa準備什麼吃素的
[44:21] 沒有
[44:22] 她也不是菜
[44:23] 她是只是店粉
[44:24] 所以這也沒有什麼好記的
[44:25] 那但是確實有
[44:26] 蠻多東西
[44:27] Lisa會覺得說我怎麼沒有在記
[44:28] 可能她的一些喜好啊
[44:29] 她會用的香水
[44:31] 我怎麼那個尾都沒有在記
[44:32] 那會不會引發不平衡
[44:33] 對她很常都覺得說
[44:34] 我是這個感情裡面
[44:35] 沒有用心的
[44:36] 那甚至在
[44:37] 紀念的
[44:38] 聖誕節的時候
[44:39] 她後來才跟我講說
[44:40] 就是我們
[44:41] 在可能吃飯
[44:42] 吃一只要淡淡講說
[44:43] 就是很高興她
[44:44] 紀念有聖誕禮物
[44:45] 那這個就去接視了
[44:47] 就有到底是一個
[44:48] 多不注重細節的廢物
[44:49] 來到強調
[44:50] 這個是一個不好的事情
[44:51] 我已經一直都在改善
[44:52] 但你看
[44:53] 其實今天我只有準備
[44:54] 但她一直說
[44:55] 去年我沒有
[44:56] 那重點是我連去年
[44:57] 我沒有準備我都不記得
[44:58] 所以很多時候
[44:59] 我是覺得
[45:00] 對啊就是我在細節的方面
[45:02] 我覺得是
[45:03] 我也不讓全部怪
[45:04] 老內的構造
[45:05] 但老實講就是
[45:06] 你又覺得不在意
[45:07] 我想說我自己的生日
[45:08] 我都不在意
[45:09] 我怎麼會在意別人的生日
[45:10] 我怎麼會管說
[45:11] 你她媽這件事是什麼日子
[45:12] 可是我後來慢慢的回去調整
[45:13] 然後我發現
[45:14] 在節目裡面
[45:15] 一直呼籲大家說
[45:16] 這個過節的氣氛重要
[45:17] 其實我也是講
[45:18] 給我自己聽到
[45:19] 那這次有記得
[45:20] 準備這個聖誕禮物
[45:21] 我就覺得說
[45:22] 慢慢高興
[45:23] 然後確實我老婆
[45:24] 已經很常抱怨
[45:25] 這個不平衡的東西
[45:26] 就是
[45:27] 你就想辦法
[45:28] 在其他地方
[45:29] 讓她平衡回來
[45:30] 去定一個不錯的
[45:32] 處理
[45:33] 就是可能自己要多用心一點
[45:34] 就是這個
[45:35] 我還在努力中
[45:36] 那我覺得跟前幾年
[45:37] 比可能有進步非常多了
[45:38] 下面因為
[45:39] 張阿弦夢宮
[45:40] 公道詞藝猶
[45:41] 大家好
[45:42] 先祝福
[45:43] 您好人意生平安
[45:44] 我男友是您的
[45:45] 緣谷聽眾
[45:46] 年紀越大
[45:47] 讓自己開心的事情越來越少
[45:48] 謝謝您
[45:49] 成為我男友的開心之一
[45:50] 一月八號
[45:51] 她生日向來
[45:52] 都可以用猛男
[45:53] 對她說
[45:54] 這一個生日快樂
[45:55] 希望每一天都會
[45:56] 一件事讓你開心的事
[45:57] 那另外你這個
[45:58] 女友教得好
[45:59] perfect
[46:00] 沉默之球
[46:01] 超緊張很舒壓
[46:02] 推埃大玩一個
[46:03] 這我還沒有玩過
[46:04] 非常開心的推薦
[46:05] 那希望你們兩個
[46:06] 一切別這樣說
[46:07] 你下面因為
[46:08] 包金粉圓
[46:09] 7777
[46:10] 扎男業務背叛
[46:11] 我朋友
[46:12] 埃大安請問
[46:13] 有位同事
[46:14] 掛號A已經結婚了
[46:15] 有兩個小孩
[46:16] 最近跟公司
[46:17] 同一個部門的大男女業務
[46:19] 搞外育
[46:20] 而那個大男女業務
[46:21] 同時又跟部門裡的
[46:22] 一個男業務在一起
[46:24] 那由於我認識
[46:25] A的老婆
[46:26] A不止外育
[46:27] 還一直說
[46:28] 她老婆很廢沒有工作
[46:29] 請問你覺得
[46:30] 我應該要跟A的老婆講嗎
[46:31] 謝謝來她解惑
[46:32] 這些問題
[46:33] 我都會先問自己一句話
[46:34] 乾我必思
[46:35] 所以其實
[46:36] 你可以講說
[46:37] 我是一個冷漠的人
[46:38] 或什麼
[46:39] 但是我只能夠說
[46:40] 可能會覺得我冷漠的人
[46:41] 他們沒有
[46:42] 公親變世主的經驗
[46:44] 就是你可能想要去
[46:45] 幫人家怎麼樣
[46:46] 然後之後面
[46:47] 明明是我幫你
[46:48] 明明是我跟你講
[46:49] 明明我揭露了什麼真相
[46:50] 就你們兩個
[46:51] 怎麼都一起討厭我
[46:52] 我怎麼一次失去了兩個朋友之類的
[46:53] 這個就是
[46:54] 你蠻高機率會遇到的
[46:55] 首先你不知道
[46:56] A是不是自己的在玩嗎
[46:57] 搞不好A玩很大
[46:58] 因為我自己身邊的朋友
[46:59] 我不在講我每個身邊朋友這樣
[47:01] 但是我觀察過一些案例
[47:03] 就是呢
[47:04] 其實老公跟老婆
[47:05] 各玩各的
[47:06] 一個提供經濟
[47:07] 一個提供
[47:08] 情緒價值
[47:09] 實際上
[47:10] 你覺得他們需要人家
[47:11] 去把這個徹修部
[47:12] 給先起來嗎
[47:13] 其實我們都知道
[47:14] 各玩各的
[47:15] 你覺得他需要去先起來嗎
[47:16] 或者說
[47:17] 就算今天可能不知道
[47:18] 老公或老婆
[47:19] 再加
[47:20] 然後她
[47:21] 什麼樣
[47:22] 就是說她沒有工作
[47:23] 她在被另外一方養好了
[47:24] 那
[47:25] 你去揭露這個
[47:26] 那是不是代表說
[47:27] 他們可能就要拆散
[47:28] 可是她現在可能
[47:29] 當一個不少
[47:30] 婦少或是婦婆
[47:31] 當得很開心啊
[47:32] 她每天就拿她老公
[47:34] 她老婆錢
[47:35] 她也覺得這樣生活可以啊
[47:36] 可是你今天被別人接穿之後
[47:37] 我就要去中斷這個感情
[47:39] 她真的會感謝你嗎
[47:41] 你懂我意思嗎
[47:42] 我不知道
[47:43] 我覺得這種事情
[47:44] 太難去做處理了
[47:45] 但如果是我的話
[47:46] 我會直接很坦白跟大家講
[47:47] 我會覺得說
[47:48] 她幫她告訴我
[47:49] 我告訴她講
[47:50] 除非今天是我很好
[47:51] 超級要好的朋友
[47:52] 被搞的
[47:53] 或者說
[47:54] 我家人
[47:55] 我覺得家人寧願寫入了
[47:56] 如果說超級要的朋友
[47:57] 我都不一定會揭露
[47:58] 我真的都不一定會揭露
[47:59] 我就覺得說
[47:59] 到底搞我平時
[48:00] 每個人的家務是
[48:01] 你不知道
[48:02] 他們到底怎麼想的嗎
[48:03] 搞不好他們是
[48:12] 個人研究小菜雞
[48:14] 五星好評真牛皮
[48:16] 嗨大寧好
[48:17] 感謝上次結果關於光通訊
[48:18] 以及CPU的問題
[48:19] 會議良多
[48:20] 那接下來
[48:21] 關於光通訊裡面的光偶和器
[48:22] 不知道這個
[48:23] 題材是否了解
[48:24] 那邊所了解
[48:25] 當外部的
[48:26] 光先傳遞訊號
[48:28] 給GPU的時候
[48:29] 需要合器對準
[48:30] 像雅清陽大小的
[48:31] PIC
[48:32] 那想問光偶和器
[48:33] 在光通這樣的技術
[48:34] 是否
[48:35] 是最高的
[48:36] 趕緊來大解話
[48:37] 你不知道
[48:38] 兄弟這兩次問的問題
[48:39] 我都有點想了解說
[48:40] 所以你想要解決的問題
[48:41] 到底是什麼
[48:42] 因為我還是回到
[48:43] 大家前面所講的
[48:44] 就是說一份報告
[48:45] 可能每個人看
[48:46] 他要看的東西不一樣
[48:47] 那像我的話
[48:48] 會對於科普的東西
[48:49] 就沒有這麼在意
[48:50] 我只在意說
[48:51] 到底哪個東西會放亮
[48:52] 哪個東西會有好的價格
[48:53] 好的ASP
[48:54] 好的毛利
[48:55] 會說可能是寡戰
[48:56] 或什麼的
[48:57] 所以其實我們太清楚
[48:58] 你想要解決手
[48:59] 如果說你是要很了解
[49:00] 就是產業各個環節的話
[49:01] 那個其實去看
[49:02] 那種公司的
[49:03] 報告跟剪輯
[49:04] 可以講得比我清楚的
[49:05] 非常多
[49:06] 我只能夠用簡單的方式
[49:07] 去跟你說明
[49:08] 所以像
[49:09] 你講這個光偶和器
[49:10] 沒說就像你形容的那樣子
[49:11] 確實是一個
[49:12] 就是說
[49:13] 在CPU裡面
[49:14] 善識到比較高階的技術
[49:16] 可是光偶和器
[49:17] 如果你直接隨便跑去Google
[49:18] 你也可能會找到異光
[49:19] 異光也是光偶和器
[49:20] 只是說
[49:21] 他用的可能是那個
[49:22] 不可見光
[49:23] 可能是在消費跟工業產品這邊
[49:25] 那如果說你今天講的
[49:26] 這個光偶和器
[49:27] 我可以想像說
[49:28] 你應該講比較高階的
[49:29] 就是在這種
[49:30] DiSend你去做應用的話
[49:31] 那可能就FORCI
[49:32] 就是上拳
[49:33] 那他的這個FAU
[49:34] 可能就是說
[49:35] 在這個市場裡面
[49:36] 大家要討論過的一個東西
[49:37] 所以
[49:38] 現在講就說
[49:39] 對
[49:40] 就是在這個產業之上面
[49:41] 就讓你可以問我說
[49:42] 那個實施製程到底在幹嘛
[49:43] 我可以大概跟你講
[49:44] 可是我不知道
[49:46] 我的技能比較點在說
[49:47] OK
[49:48] 那我只要買哪一支
[49:49] 不是說
[49:50] 這個東西到底
[49:51] 它是很重要的環節
[49:52] 我想我真的也不清楚
[49:53] 我只知道說對
[49:54] 它是其中一個
[49:55] 也滿重要的環節
[49:56] 所以只能搭制這樣回答你
[49:57] 好
[49:58] 那這就拜拜
