[00:00] 歡迎收聽谷外微 聖夢宮本期節目由NordVPN贊助
[00:03] 最近準備要過年了 相信很多人都在規劃春節出國返鄉
[00:07] 回臺灣過年 機場 飯店 咖啡廳都擠滿了人
[00:10] 這個時候你會很常用到公共的WiFi
[36:57] IG
[36:57] IG其實會被洗掉
[36:58] 連書啊
[36:59] 你到我那個粉專
[37:00] 密我跟我講
[37:00] 或者你回來留言跟我講一下
[37:01] 我覺得蠻開心的
[37:02] 好那希望你們可以找到彼此
[37:04] 下面一位
[37:04] 古海小高養
[37:06] 嗨諾婭爸爸
[37:07] 請交出安哥燦笑照
[37:08] 因為密碼好難
[37:09] 六
[37:09] 謝謝太太好像不太笑
[37:11] 小孩燦笑來自於
[37:12] 諸位基因問號
[37:12] 一夢宮以前作動
[37:14] 那時候盤中A轉會理會嗎
[37:15] 或停損沒到不理
[37:17] 亦都是憑直覺
[37:18] 那養豬的前面一直開高
[37:20] 拉回幾天後才噴
[37:22] 二
[37:22] 請問有在補財庫嗎
[37:23] 看很多人都會補諸位以前不信神但又常捐藍色的不少是許願嗎三如果你發現開始禿頭會剃光還是去執法最後一個問題哪一個行情兩個解讀
[37:34] 轉折處有看結束
[37:36] 也有看上車的機會
[37:37] 請問如何比較正確的判斷
[37:39] 接近事實
[37:40] 好首先對我太太
[37:42] 她對外是不太笑
[37:44] 但對我的話還蠻會笑的
[37:45] 她就只是在演
[37:46] 我不知道她演什麼
[37:47] 然後再來就是
[37:47] 是不是來自於我的基因
[37:50] 對我覺得就小孩愛笑跟愛惡搞
[37:52] 這個可能是跟我比較類似
[37:53] 然後再來盤中A轉會不會理會
[37:55] 一般來講以前會
[37:57] 如果說成本高一點
[37:58] 或是你一買就立刻A轉
[38:00] 那真的就會去處理一下
[38:01] 但如果說成本已經是有稍微的被拉開
[38:04] 然後或者說可能你買進的理由
[38:06] 並不是你去做動能
[38:08] 你是有一些題材
[38:09] 或是有一些基本面支援
[38:11] 你是有一些訊息的話
[38:12] 那其實現在不太會管盤中的變化
[38:14] 以前會看就是什麼60分可以
[38:16] 只是我覺得我現在週期
[38:17] 真的是慢慢越拉越長
[38:18] 所以比較不會在意這個
[38:19] 那會不會什麼停損沒有到不理
[38:22] 其實停損也不會是一個硬性的
[38:23] 這個從以前到現在都是一樣
[38:25] 就是我不太會去硬設某一個停損位置
[38:28] 所以我很常跟大家講說
[38:29] 你知道有些停損位置
[38:30] 你設在那種猴子看都知道會破的地方
[38:32] 剛好這邊有一個前低
[38:34] 你就設在前低的位置
[38:35] 其實我覺得那都不是太好的位置
[38:36] 因為很多時候就是疊破刷一下
[38:37] 立刻拉回來
[38:38] 做一個下影線就走了
[38:39] 所以我都會自己稍微抓一些
[38:41] 就是我可能線上圖上面
[38:43] 不一定畫得到位置
[38:44] 或者有時候也要看盤中的狀態
[38:46] 就像說如果今天大盤在大疊
[38:48] 然後我的東西因為這樣疊破停損
[38:49] 我可能可以再等一下
[38:50] 可如果今天大盤是好好的
[38:52] 其他也都在漲
[38:53] 只有我的東西在那邊狂摔的話
[38:54] 那我可能就把它停掉
[38:55] 所以看狀況
[38:56] 那再想說有沒有在補財庫
[38:57] 沒有
[38:58] 那很常捐藍色的
[39:00] 是不是為了許願
[39:01] 不是
[39:01] 就只是單純覺得
[39:02] 世界上有一些人需要這樣的東西
[39:04] 我覺得那個是一種
[39:05] 怎麼講
[39:05] 施比受更有福
[39:06] 是你去做了之後
[39:08] 你看到人家的一些表情
[39:09] 你就真的會
[39:10] 在你不知道腦中的迴路
[39:11] 會稍微去rewire之類的
[39:13] 所以我覺得
[39:13] 如果你想要去試看看的話
[39:15] 你最早應該是要先去找那一些
[39:17] 直接把錢給在對方手上的人
[39:19] 去找一些什麼育幼院
[39:20] 那你也不要自己
[39:21] 一廂情願亂買亂送東西
[39:23] 你要先知道人家缺什麼
[39:24] 去送一些
[39:26] 怎麼講
[39:27] 送容所
[39:27] 然後或者甚至是
[39:29] 就只是一般日常的服務
[39:30] 人家給你Uber的時候
[39:31] 你就給他放個小費
[39:32] 或者說餐廳
[39:34] 你覺得特別好吃
[39:35] 酒很好喝
[39:35] 你就給人家一點小費
[39:36] 你真的會感覺到
[39:37] 一些不一樣的感受
[39:39] 你會知道說
[39:40] 因為我們小時候
[39:40] 像你阿嬤給你壓歲錢
[39:42] 偷塞一千塊
[39:42] 你超爽
[39:43] 對她來講一千塊沒什麼
[39:45] 可是你拿到這一千塊
[39:46] 你高興一整天
[39:47] 你希望他長命百歲
[39:48] 所以我就會覺得
[39:49] 不知道
[39:50] 反正就是有一些這種小行為
[39:52] 對我們來講
[39:52] 並不是負擔特別大的
[39:54] 可以為人家帶來一些快樂的話
[39:55] 那何樂而不為
[39:56] 所以心態比較偏向是這樣
[39:58] 都不是用許願的態度
[40:00] 那如果禿頭的話
[40:01] 我個人是認為
[40:02] 應該會先剃光
[40:03] 如果剃光看膩
[40:04] 可能就會去執法
[40:05] 但無論如何
[40:05] 不會像Steve Ballmer這樣
[40:07] 就中間他媽的一個大鐵蛋
[40:08] 那個髮型是我自己比較不喜歡的
[40:10] 那再來講這個
[40:12] 一個行情兩個解讀
[40:13] 這個就我講完
[40:14] 你知道很多人都是既要且要
[40:16] 你如果繼續留下來
[40:18] 你是不是可能會賺到更多報酬
[40:19] 你也可能吃回檔
[40:20] 你砍掉你有可能閃掉崩
[40:22] 可是你也可能後面再繼續漲就沒了
[40:24] 所以為什麼大家都會想問一個
[40:26] 就是你全都要的說法
[40:28] 不可能有這種東西
[40:30] 不可能
[40:30] 不然我就不會在節目跟大家分享說
[40:32] 有些東西我在那地方賣掉
[40:34] 我後面也沒有再買回來
[40:35] 你賣掉就是賣掉
[40:36] 賣掉之後其實要買回來就很困難
[40:38] 所以我才會一直跟大家講說
[40:39] 不畏眾生的觀念
[40:41] 就是你儘量不要賣東西
[40:42] 就是一次all in跟all out
[40:44] 因為你all out之後
[40:44] 其實你就會拒絕再去追蹤這個標的
[40:46] 後來要再買回來也都很難
[40:48] 所以我跟大家分享的一些小細節
[40:49] 其實懂聽的就會知道
[40:51] 這個是為自己的
[40:52] 人性的一些劣根性
[40:54] 或者是一些很難改的直覺
[40:56] 硬去把它瞧回來的某種機制
[40:59] 就是我用這些方式去克服它
[41:01] 所以你說到底這個地方是要上車
[41:04] 還是要下車
[41:04] 你就想吧
[41:05] 你下車是誰把你的股票買走
[41:07] 那些人就是要上車的
[41:08] 他就是跟你對坐
[41:09] 下面一位
[41:10] 嗨 Bill
[41:11] Happy New Year
[41:13] 今年讓大家發達的
[41:15] 到這邊掛了一個trump
[41:16] 好
[41:17] MK想問
[41:18] 我的理解是
[41:19] 實權的營收佔比DRAM比較高
[41:21] 所以理論上
[41:22] 我要再買一家NAND的公司
[41:23] 可以讓兩種配置都一半對嗎
[41:25] 那另外來這邊跟大家推薦
[41:27] 有空可以去上個EMT1
[41:29] 緊急救護員的課
[41:30] 以後遇到各種
[41:31] 需要緊急處理傷患的狀況
[41:33] 會比較知道怎樣去做面對
[41:35] 那面對任何危機
[41:36] 都是需要訓練的
[41:37] 不然遇到的時候
[41:38] 很容易腦筋一片空白
[41:39] 那另外請孟公用
[41:41] 最溫柔的嗓音
[41:42] 祝大家2026年績效噴高高
[41:44] 祝MK全家平安
[41:45] 非常感謝這位兄弟
[41:46] 實權的話
[41:47] 它本身也是有NAND的一個收入
[41:50] 只是就像你講
[41:50] 它的低潤收入是比較高一點
[41:52] 那你說假設你也想要去買一點NAND的話
[41:54] 你可不可以去找某一家NAND的佔比
[41:56] 可能比較高的公司去做一個補強
[41:58] 很籠統的說可以
[42:00] 可是實際上還是要猜
[42:01] 像你買實權
[42:02] 你買模組
[42:03] 那你可能挑
[42:04] 對方也是要挑模組
[42:05] 所以你到底是要買模組
[42:07] 還是你是要買顆粒
[42:08] 還是說是要買什麼
[42:10] 不知道某一個特定的題材
[42:12] 有戲份
[42:12] 但你可不可以用
[42:14] 這個很簡單的方式
[42:15] 說我今天手上有D-RAN
[42:16] 我想要有一點NAND
[42:17] 然後就隨便找幾個
[42:18] NAND的股票買
[42:19] 一般比較不會這樣子做
[42:21] 就是要更加的明確一點
[42:22] 才比較對
[42:23] 下面一位
[42:24] 住在男子宿舍的江江
[42:27] 生日祝福念我念我
[42:28] 孟公您好
[42:29] 先生與我都是您的忠實聽眾
[42:31] 尤其先生對您的觀點
[42:33] 常覺得心有慼慼焉
[42:34] 而且很自豪
[42:35] 在您推廣做尿派之前
[42:37] 他已經在執行了
[42:38] 今年先生也升格
[42:39] 為兩個男孩的父親
[42:41] 平時工作高壓
[42:42] 工時長
[42:43] 回家還是任命僱小孩
[42:44] 沒有怨言
[42:44] 在我心中
[42:45] 他是最棒的隊友
[42:46] 那希望艾達可以用
[42:47] 對安哥說話的娃娃音
[42:49] 祝福Mono
[42:50] 祝福你一家平安健康
[42:57] 新的一年績效長宏愛你
[42:59] 不是
[42:59] 我自己這樣講完之後
[43:00] 才發現說
[43:01] 我跟小孩講話的聲音
[43:02] 可能還蠻恐怖的
[43:03] 因為我都會高巴度
[43:04] 小安哥你又在幹嘛啦
[43:06] 就我都會用這個方式說話
[43:08] 那像這種地方爸爸
[43:09] 自己工作很辛苦
[43:10] 回家都還是有秩序幫我帶小孩
[43:12] 這個就是我們男人的榜樣
[43:13] 希望他平安健康
[43:14] 下面一位
[43:15] 114學測仔
[43:16] 孟公您好
[43:17] 可以幫我祝1月22號生日的
[43:20] Serena Shee生日快樂嗎
[43:21] 以下是我想對她說的
[43:23] 祝你在日本玩得開心
[43:24] 那很期待你從日本回來
[43:26] 再一起出去玩
[43:26] 那希望你們快樂
[43:28] 下面一位
[43:28] 宜蘭紅孟公
[43:29] 開發好男
[43:30] 來大好
[43:31] 新的一年就是要上來提醒古友們
[43:33] 去年的績效贏大盤了嗎
[43:34] 每天殺進殺出
[43:35] 是不是又浪費了一年呢
[43:36] 我就是那個超輸大盤的阿呆
[43:39] 請用川普的聲音罵我
[43:41] You're a dick
[43:42] 那by the way
[43:43] 聽說男生聲音越高
[43:45] 代表懶覺越大
[43:47] 孟公你怎麼看
[43:48] 應該不太對吧
[43:49] 我覺得這個東西應該
[43:50] 像有些人講說什麼
[43:51] 鼻子啊手指啊
[43:53] 我覺得都還好
[43:54] 最準的應該就體型吧
[43:55] 我自己猜測啦
[43:56] 就是說你比較垮的
[43:58] 比較大隻的
[43:59] 你看你人高馬大
[44:00] 手大腳大
[44:01] 你懶覺帶比較大
[44:02] 那可能也是蠻正常的
[44:03] 但用其他的話
[44:04] 可能都是一些另類的指標
[44:06] 但是我覺得等比例放大
[44:07] 那可能是最純的
[44:08] 下面一位
[44:08] 槓你媽的留言筆做股票難
[44:11] 儲存PSTG還有Future嗎
[44:13] 當初看好AI對儲存的需求
[44:15] 投了一些Pure Storage
[44:16] 但是大牛是上個月還可以一天爆殺
[44:19] 25%也太慘
[44:20] 到現在還是爛爛的
[44:21] AI對儲存需求難道沒有想象中大嗎
[44:24] 還是儲存透過AI變現的能力太差
[44:26] 花了幾天已經沒有耐心了
[44:28] Pure Storage也是我之前的愛股之一
[44:32] 我是沒有觀察它最近的一些變化
[44:34] 會爆殺可能市場都有一些疑慮
[44:36] 還是要去查一下到底詳細的理由是什麼
[44:38] 因為我最近沒有在看它
[44:38] 但你說是不是AI對儲存的需求
[44:41] 沒有想象中大
[44:42] 這個絕對是錯的
[44:43] 因為你看一下
[44:43] 像DRAN的報價
[44:44] 那個就是AI造成的
[44:45] 你看一下NAND的報價
[44:47] 那也是AI造成的
[44:48] 那他們的合約價格
[44:50] 我就理解像他的quota on quota
[44:52] 甚至直接要漲100%
[44:53] 那在這個NAND的報價
[44:56] 也是非常的恐怖
[44:57] 所以目前就是由AI所導致的
[45:00] 一個記憶體的漲價的風潮
[45:03] 那你說為什麼有些記憶體的股票
[45:05] 可能沒有受惠到
[45:06] 那都要去做一些細部的拆解
[45:08] 像前陣子有朋友來這邊問
[45:11] 他問那個CMO
[45:12] CMO的漲幅是不是就輸他的同業
[45:14] 8 2 9 9
[45:15] 或者是說一些模組廠
[45:17] 可能就輸其他的模組廠
[45:18] 或者說顆粒廠可能又怎麼樣
[45:19] 所以那個都是要去做一些細部的比較
[45:22] 就有時候你去買一整包族群
[45:24] 有些東西就確實會比較不漲
[45:26] 那可能有他的理由
[45:27] 但也有可能是市場誤會
[45:28] 然後後面他還漲
[45:29] 這個都還要去做一些拆解
[45:30] 但絕對不是什麼
[45:32] 儲存透過AI的變現能力太差
[45:34] 或是AI的儲存需求不大
[45:36] 沒有超級大
[45:37] 我下面一位
[45:37] 派大猩猩派大猩
[45:39] 第七次測試
[45:41] 孟公你好
[45:42] 因為密碼太難猜了
[45:43] 決定以後都選同一個時間蹲點
[45:45] 不要跳來跳去搞操盤
[45:47] 看看績效會不會好一點
[45:49] 在美商工作的老公
[45:50] 你可是從EP60就開始追的雲端鐵粉
[45:53] 您推薦的生產店跟餐廳
[45:55] 也成為我們定期光顧的愛店
[45:57] 孟公出版的夫妻相處
[45:59] 跟新稱指南一聲推
[46:00] 前陣子老公也跟我說
[46:01] 人生虛無找不到意義
[46:03] 不如睡到不省人事
[46:05] 那請孟公跟他開誓
[46:06] 你這輩子功德做這麼少
[46:08] 睡死也只是提早轉身成為
[46:10] 橫河跟腳皮的大腸桿菌而已
[46:12] 那也想透過孟公的金口
[46:14] 幫我祝老公Nick
[46:15] 可以在生日找到
[46:17] 除了累積賬面數字以外的安穩跟快樂
[46:19] 那因為他快樂
[46:20] 我也會快樂加倍
[46:22] 這真的很甜很餓
[46:23] 我覺得Nick很幸福
[46:26] 有這麼愛你的老婆
[46:27] 真的是很快樂的一件事情
[46:28] 那再來就是說
[46:29] 覺得自己的人生虛無
[46:31] 我認為這個是
[46:33] 可能我們從二十幾歲
[46:35] 轉三十歲
[46:36] 就是會經歷過的一段
[46:38] 怎麼講
[46:39] 有些人可能長
[46:40] 有些人可能短
[46:40] 但是我關注到
[46:42] 我自己跟大家分享這個之後
[46:43] 蠻多聽眾都在講一樣的東西
[46:44] 所以我覺得可能是
[46:45] 大家都經歷了類似的東西
[46:47] 因為畢竟二十幾歲
[46:48] 就是我們從
[46:49] 本來是完全都無憂無慮
[46:51] 然後每天只要在學校去研究
[46:53] 怎麼樣尿尿可以尿比較遠
[46:54] 然後昇華到
[46:55] 就是你現在開始要去照顧自己
[46:58] 然後可能甚至後面
[46:59] 要開始照顧你的老婆
[47:00] 照顧你的小孩
[47:00] 所以在極度的忙碌之下
[47:03] 有很多事情會改變
[47:04] 稍微到三十幾歲穩定之後
[47:06] 你會發現說
[47:07] 你過去的一些東西拿不回來了
[47:09] 不知道大家有沒有跟我一樣的想法
[47:10] 就是我以前打遊戲超爽
[47:12] 可是我現在打遊戲沒這麼爽
[47:14] 那是遊戲不好玩了嗎
[47:15] 我覺得不是
[47:15] 可能我的體力也變差了
[47:17] 可能是我有其他東西要擔心了
[47:19] 以前我是可以無憂無慮的
[47:21] 連續打個八個小時
[47:22] 現在我可能打一個小時
[47:23] 我就要去弄一個什麼東西
[47:24] 所以就感覺就不一樣了
[47:26] 可是同時我也不覺得
[47:27] 這是完全的悲觀
[47:28] 因為三十幾歲之後
[47:29] 你可能也發現新的東西
[47:31] 就像說像
[47:31] 我之前在打棒球的時候
[47:33] 那段時間我是超快樂的
[47:34] 雖然後面被大股詳病毀掉
[47:36] 因為它引起了一個棒球風潮
[47:38] 然後大家都去排隊打
[47:39] 我就不爽去了
[47:39] 但是至少那段時間
[47:41] 我是快樂的
[47:42] 然後後來打泰拳
[47:43] 我也覺得蠻快樂的
[47:44] 然後現在去收集一些
[47:45] 這種公仔也蠻快樂
[47:47] 前陣子是遊戲玩卡
[47:48] 但我現在也不喜歡買遊戲玩卡了
[47:49] 所以雖然這些東西
[47:50] 感覺都是一陣一陣的
[47:51] 不像那種童年的一些興趣
[47:53] 可能是給好幾年
[47:54] 可是我覺得我一直有
[47:55] 持續的探索
[47:59] 甚至我後面發現一個
[48:01] 但這可能也是我自己有病
[48:02] 我覺得在手遊
[48:03] 課金本身是比玩手遊還爽
[48:06] 我覺得在Steam買遊戲本身
[48:08] 是比打遊戲還爽
[48:10] 我不知道
[48:10] 但我變成是這樣
[48:11] 那一開始也覺得這是有病
[48:13] 可是後來覺得
[48:13] 我就心難接受
[48:14] 就快樂的買遊戲
[48:15] 就快樂的買skin之類的
[48:17] 所以希望他找到他
[48:18] 生命中的快樂
[48:20] 說不定不知道
[48:20] 可能是小孩的陪伴
[48:22] 可能是某一個新的興趣
[48:25] 或什麼的
[48:25] 反正要去找
[48:26] 如果說整天待在家裡的話
[48:27] 什麼都不會改變
[48:28] 臺中謝孟公
[48:30] 偷偷跟你說還不錯
[48:31] 又沒有未納量的資產BTC
[48:34] 又沒被卡掉
[48:34] 謝寶貝
[48:35] 推薦你YT搜尋PT.5
[48:38] 超負荷高八度
[48:39] 嚴厲斥責發瘋啦
[48:40] 裡面六分鐘有出現你
[48:42] 精華都超靠北
[48:44] 超好笑
[48:44] 可以抒壓看一下
[48:45] 雖然比不上八年前QQ
[48:47] 請問孟公
[48:48] 怎麼權衡體驗跟金錢的平衡
[48:51] 像是不把握
[48:52] 現在去看Curry
[48:53] 若等到很有錢的時候
[48:55] 可能已經退休了
[48:56] 目前還是小資族
[48:57] 仔細思考到底如何是好
[48:59] 這個我還蠻有經驗的
[49:00] 後面這個我還蠻有經驗的
[49:02] 就是立刻去
[49:03] 只要你現在有辦法去
[49:05] 你就立刻去
[49:06] 我必須跟大家講一件事情
[49:07] 有些東西年輕做
[49:09] 真的爽度比長大還要爽很多
[49:10] 像Radiohead演唱會
[49:12] 我那時候2012還2014去看的時候
[49:14] 超級爽
[49:14] 可是我德國連續看兩場
[49:15] 我坦白跟大家講爽度差太多了
[49:17] 或者是說你買的第一個摩托車
[49:20] 那個爽度跟你買的第一臺跑車
[49:23] 或是很貴四五百萬以上的車
[49:24] 爽度也差太多了
[49:25] 然後你第一次出國
[49:27] 就算你是搭那種超級垃圾的
[49:29] 什麼媽的廉價航空
[49:30] 還是說什麼超爛的服務什麼的
[49:32] 都還是比你現在做商務艙來的爽
[49:35] 你可能只有第一次進去爽
[49:36] 可是你之後就覺得
[49:37] 不少像我就超級討厭搭飛機
[49:38] 可是以前你光是上飛機本身
[49:40] 你就會心情很好
[49:41] 所以所有的東西都是越早做越好
[49:43] 只要這個東西不會很顯著的
[49:45] 破壞你的資產規劃的
[49:47] 一個累積的期程
[49:49] 它只是可能會花到一點錢
[49:51] 但是他買了一個體驗
[49:52] 我認為人生中只要是買體驗的東西
[49:54] 都是一定要買
[49:54] 然後越早買越好
[49:55] 這是我衷心的建議
[49:57] 好那拜拜
