[00:00] 歡迎收聽古埃維生物工本期節目由NordVPN贊助
[38:02] 然後或者是說
[38:03] 其實我們身邊在租客的朋友也很多
[38:06] 但其實也沒有像這位朋友
[38:08] 因為這朋友應該是我猜
[38:09] 是什麼處長嗎
[38:10] 還是什麼廠長之類的
[38:11] 應該直接蠻高的
[38:12] 所以對他來講是沒有壓力
[38:13] 可是對很多那種工程師來講
[38:16] 那個直接其實也不是說什麼
[38:18] 真的很差或什麼
[38:19] 可是他那個收入看起來很高
[38:20] 跟你講是珠北的物價
[38:21] 什麼都是很高的
[38:22] 所以他不一定有辦法
[38:24] 還是去過一個
[38:26] 就像他講的這種
[38:26] 匆匆容容遊刃有餘的生活
[38:28] 然後他就會去受到一些
[38:29] 就我們講的
[38:30] 因為有些人會去
[38:31] 塑造一種那種相對優越感
[38:33] 就我跟他看法是一樣
[38:34] 那種高調炫耀
[38:35] 跟要去下指導企業
[38:36] 下指導企業
[38:37] 不管你是的媽的窮鬼
[38:38] 還是超有錢都一樣
[38:39] 都是很討人厭
[38:39] 要表達的是這樣
[38:40] 那只是確實
[38:41] 他這樣一講之後
[38:42] 應該要讓我去反思
[38:43] 那我不應該用這個
[38:44] 一些諸科媽媽創群人
[38:46] 來作為一個
[38:47] 就是我去講說
[38:48] 這些製造育兒焦慮的一個物件
[38:51] 因為或許不是每個這樣
[38:52] 或許他們只是在過一般的生活
[38:54] 只是因為可能被媒體爆出來
[38:56] 或是轉貼出來的
[38:57] 很多是這樣子的
[38:58] 所以那個可能大家看了不熟
[39:00] 那確實那個也影響到非常多人
[39:01] 所以我才針對這個事情去
[39:03] 做一個討論
[39:04] 但非常感謝這位兄弟的分享
[39:06] 那就是一個
[39:06] 怎麼講
[39:07] 就是說可能很多人聽會覺得說
[39:09] 他活在另外一個世界
[39:10] 可是我自己其實也是在
[39:11] 類似的世界裡面
[39:13] 就對我來講
[39:13] 育兒他根本就不是什麼難題
[39:15] 或者說什麼
[39:16] 所謂的軍備競賽
[39:17] 在我們看來是很簡單的東西
[39:19] 那只是呢
[39:19] 他對很多人來講
[39:20] 可能是很痛苦
[39:21] 那我們為什麼會去講說
[39:22] 其實你不用去
[39:23] 太在意這樣子的東西
[39:25] 因為以我們自己
[39:25] 從小長大來說
[39:27] 就是我現在
[39:27] 給我孩子的東西
[39:28] 跟我爸爸當年
[39:29] 給我的東西比
[39:30] 其實是天差地遠
[39:32] 是差非常多
[39:33] 可是我不會
[39:34] 因為這樣子
[39:34] 我就講說
[39:35] 我爸當年
[39:36] 不應該他媽生下我
[39:37] 我覺得其實
[39:38] 他很多人是已經變成
[39:39] 這種非常的
[39:39] 怎麼講
[39:41] 就是他是對這個社會
[39:42] 有怨對
[39:42] 他最近網上
[39:44] 有人在討論
[39:44] 那種entitlement
[39:45] 他就覺得說
[39:46] 社會都欠他
[39:47] 其實不是這樣子
[39:48] 因為有錢
[39:49] 有有錢的養法
[39:50] 沒有錢也有沒錢的養法
[39:52] 如果你都沒有被生下來的話
[39:53] 你就感受不到這一切
[39:54] 當然這個聽在一些
[39:55] 想要自我毀滅
[39:56] 我就覺得說
[39:57] 這個世界就他媽的
[39:58] 那些地方很惡劣
[39:58] 他一定覺得說
[39:59] 你再講屁話
[40:00] 他就不想活著
[40:01] 說實在講
[40:01] 你不想活著
[40:02] 你想下去
[40:02] 你自己下去
[40:03] 你不要去拖著那些
[40:04] 想要認真生活的人
[40:06] 一起下去
[40:07] 或者說
[40:07] 你覺得自己應該
[40:09] 怎麼樣可以去
[40:10] 力爭上游
[40:12] 小朋友一定要
[40:13] 唸到什麼東西
[40:14] 吃東西一定要吃什麼
[40:15] 有機牧場
[40:16] 你去做這個選擇
[40:17] 你不要去影響別人
[40:18] 其實關鍵就是
[40:19] 你不要去影響別人
[40:20] 你不要去把自己的生活
[40:22] 或者說感受到的東西
[40:24] 去強加註在別人身上
[40:25] 你可以分享
[40:25] 可是你不要去講說
[40:27] 你沒有這樣
[40:28] 你就不可以做什麼事情
[40:29] 我覺得這個就是我們大家的共識
[40:30] 下面一位
[40:31] 富貴在險中求
[40:32] AIDA很怕你一怒之下
[40:34] 把節目停了耶
[40:36] 你要知道我們是有聽懂你重點的人
[40:38] 二三年從內地很失敗的回臺
[40:41] 開始聽你的節目
[40:41] 都按時收聽
[40:42] 還回聽二輪
[40:43] 二四年投報35%
[40:45] 二五年至今45%
[40:46] 我是要走入聽天命之年
[40:49] 又沒有任何槓桿的上班族
[40:51] 也滾到了八位數重返榮耀
[40:53] 不用靠主動收入過日真爽
[40:55] 所以拜託你不要停節目
[40:57] 很怕自己會失去投資方向
[40:59] 誠心用我的細雙倍
[41:01] 撐你的背超八行sorry
[41:03] PS你三五千萬還不做高鐵
[41:05] 讓很多人的筷子都抖掉了
[41:07] 非常感謝這位兄弟的支援
[41:09] 其實是不會這樣一怒之下就關掉
[41:12] 因為這個節目我們結緣的物件太多了
[41:14] 然後我其實非常享受在我們的QA環節
[41:16] 然後跟大家的每週兩次的分享
[41:18] 其實現在做起來是跟早期比起來又是更開心的
[41:22] 那所以呢
[41:23] 比較不會去在意那些有的沒有的東西
[41:25] 簡單來講就是說
[41:26] 我對我自己的評價
[41:27] 現在要求是第一個
[41:28] 我自己怎麼看自己
[41:29] 然後第二個就是家人怎麼看我
[41:31] 然後再來就有朋友怎麼看我
[41:32] 那最後可能才會是網友
[41:33] 或是我不認識的人怎麼看
[41:35] 那甚至這個東西不會太在意
[41:36] 那亦或是我可以給大家一個
[41:38] 雖然這個講出來可能又是某種程度的抱怨
[41:41] 可是這真的是大家如果放在心中
[41:42] 你未來遇到的話
[41:43] 對你有幫助
[41:44] 你要知道說
[41:45] 在世界上獲得好的評價
[41:47] 就是從hear say
[41:48] 從別人的口中
[41:49] 獲得好的評價
[41:50] 有兩種格式
[41:51] 這也是我後來發現的
[41:53] 雖然我已經發現幾年了
[41:54] 第一個就是
[41:55] 好的人說你很好
[41:56] 你敬重的人
[41:57] 你尊重的地方賢達們
[41:59] 或者說那一些
[42:00] 你覺得是一等一
[42:01] 你會給大拇指的人
[42:02] 他們說你好
[42:03] 那你就是一個很好的人
[42:04] 第二個就是
[42:05] 從那些非常討人厭的眼中
[42:07] 獲得說他覺得你是個廢物
[42:08] 或是垃圾
[42:09] 或是他很討厭你這樣的評價
[42:10] 如果說討厭你的人
[42:12] 是那種大家都討厭的人
[42:13] 這個叫做負負得正
[42:14] 所以其實很多時候
[42:15] 我會去看一下說
[42:16] 誒評論我的人是誰
[42:17] 我看一看
[42:17] 我甚至會笑出來
[42:19] 所以我不會因為這種東西
[42:20] 受到太多的影響
[42:20] 然後再講說這個
[42:22] 三五千萬還不做高鐵
[42:23] 這個誒
[42:24] 我跟你講
[42:24] 這個確實是我在分享完之後
[42:26] 然後就有人在我YT
[42:27] 講說我很矯情
[42:28] 這個就是說
[42:30] 他可能身邊
[42:30] 比較沒有這樣子的人
[42:31] 他不知道
[42:32] 像我也覺得我老婆很扯啊
[42:34] 你覺得我老婆會插
[42:35] 他去買他媽的
[42:36] 什麼Unicor
[42:37] 還有什麼Zara
[42:38] 然後他給我
[42:39] 把東西放購物車
[42:42] 他那個折扣
[42:43] 但他就是要這樣做
[42:44] 你逼他買
[42:45] 他還會跟你生氣
[42:46] 我們身邊也有同業是這樣
[42:47] 他就喜歡買折扣的東西
[42:49] 像我自己的話
[42:50] 你說三五千萬不做高鐵
[42:52] 是一個什麼很矯情的事情
[42:53] 三五千萬做高鐵
[42:54] 絕對是可以
[42:55] 你可以隨便做
[42:57] 可是為什麼會做不下去
[42:58] 因為當你可能三五千萬的時候
[43:00] 你發現說你前面的大哥
[43:01] 他買某個什麼雞巴東西
[43:04] 然後一進去就是
[43:05] 花個十二十億
[43:07] 然後在裡面當大股東
[43:08] 你會想要去做一些多餘的開銷
[43:11] 來減緩你追上他的速度嗎
[43:12] 你會想要去
[43:14] 就連我老婆那時候給我買房
[43:15] 我都跟她講說
[43:16] 你這個在減緩我們家庭的財富累積
[43:18] 因為我頭款拿出來
[43:20] 然後再付裝潢
[43:21] 我這樣付下去
[43:21] 那個錢我進去市場
[43:23] 我可以滾多少錢出來
[43:24] 所以那是一個相對值
[43:25] 就在我的角度是
[43:26] 這些錢都是可以再放進去
[43:27] 滾更多錢的
[43:28] 為什麼我要去花它
[43:29] 所以我自己甚至是
[43:31] 有點像在學花錢的人
[43:33] 因為我是很討厭花錢的人
[43:35] 然後後來才學會花錢
[43:37] 所以很討厭花錢
[43:38] 不是說什麼
[43:39] 情景持家
[43:41] 我出去吃飯
[43:42] 我付錢
[43:43] 沒有
[43:43] 我出去吃飯
[43:44] 跟朋友吃一吃飯
[43:45] 就算我沒有錢的時候
[43:46] 幾乎也都是
[43:46] 我會先講說我要付錢
[43:48] 我是很愛幫大家付錢的那種
[43:49] 所以我對別人是還算蠻大方的
[43:51] 可是我花我自己就會覺得
[43:53] 就有些東西
[43:54] 你奇怪了
[43:54] 我一樣是到臺北轉運站那附近
[43:57] 我搭國光客運
[43:58] 我在車上搖一搖
[43:59] 睡覺200塊
[44:00] 我搭高鐵是多一倍
[44:01] 為什麼我要搭高鐵
[44:02] 你知道會這樣想
[44:03] 到現在就不會這樣想
[44:05] 因為你現在有小孩了
[44:05] 有小孩之後你就知道說
[44:06] 靠北
[44:07] 你在車上搖一個半小時
[44:08] 你小孩在車上哭一個半小時
[44:10] 所以我當然要趕快到目的地
[44:12] 或者說你知道以前
[44:13] 我去搭飛機的時候
[44:14] 我就想說
[44:14] 是什麼樣的人有病
[44:16] 會跑去買商務艙
[44:17] 只是要多有病才會買商務艙
[44:19] 那個可能是貴五倍貴十倍
[44:22] 就是這麼貴的一個票價
[44:23] 怎麼會買
[44:24] 然後現在呢
[44:25] 我真的是能夠買商務艙
[44:26] 我就買商務艙
[44:27] 為什麼
[44:27] 因為我的背會痛啊
[44:28] 我坐後面我背好痛
[44:30] 靠背
[44:30] 我的媽我可以到前面睡覺
[44:32] 我花這個錢下去我痛不痛
[44:33] 我很痛啊
[44:34] 可是我還是會花
[44:34] 因為我就是必須
[44:37] 生活的一個要求
[44:39] 因為你可能家庭啊
[44:41] 或什麼改變
[44:41] 然後你必須做這件事情
[44:42] 你才化下去
[44:43] 不然平常我真的是沒有辦法
[44:44] 所以我其實比起來
[44:46] 算是一個很省的人
[44:47] 你要說我矯情也可以
[44:48] 但我真的算省
[44:49] 像有些人賺到錢
[44:50] 馬上就買跑車啊
[44:51] 買什麼
[44:51] 我都沒有在做這樣的開銷
[44:53] 可以買啊
[44:53] 可是就是就化不下去
[44:55] 這是我啦
[44:56] 所以我去跟大家講說
[44:57] 我化不下去
[44:58] 然後被人家說矯情
[44:58] 我想說不知道
[44:59] 這世界真的很大
[45:00] 下面一位
[45:01] 竹北臺原地富林
[45:03] 回答我
[45:03] look at my eyes
[45:04] 請問美樂地蟹的洗澡順序
[45:07] 我都是頭臉身體
[45:08] 有人說臉要分開洗
[45:09] 但我好懶
[45:10] 都是淋浴的時候一起洗
[45:11] 那另外停車被家人影響
[45:13] 一定要頭朝外
[45:14] 老公有這個習慣嗎
[45:16] 祝大家聖誕快樂
[45:17] 猛男懶叫頂扣口
[45:18] 亮女皮膚水噹噹
[45:20] 非常感謝這位
[45:22] 竹北臺原地富林的
[45:23] 各個吉言
[45:25] 那洗澡是怎麼樣洗
[45:27] 我是先洗臉
[45:29] 臉之後
[45:30] 然後再頭
[45:30] 然後就全身這樣一路擼下去
[45:32] 以前基本上也沒有在擦腳
[45:33] 都是買那種一罐
[45:34] 可以直接洗全身的
[45:36] 那隨便擼一擼就
[45:37] 就出去了
[45:37] 因為那個當兵訓練的
[45:39] 那之後就比較講究
[45:40] 就知道說你臉上的東西
[45:42] 你還是要用特別的洗面乳
[45:44] 因為如果你用其他的沐浴乳
[45:45] 就聽說這樣子比較不好
[45:47] 我也不知道
[45:47] 反正就老婆叫我做
[45:48] 我就跟著做
[45:49] 所以會把它拆開來
[45:50] 但頭跟身體基本上可以綁一套
[45:52] 就臉就是特別要稍微注意一下
[45:54] 雖然說感覺好像沒有什麼成效
[45:56] 就臉還是這樣
[45:57] 可是就至少老婆跟你倆就這樣做
[45:58] 然後再講說停車的話
[46:00] 就如果是我自己停的話
[46:01] 一定都是這樣子停
[46:02] 但如果說今天是回家
[46:04] 然後車上有小朋友
[46:05] 說小朋友真的坐不住
[46:06] 所以一樣就是跟上提QA講的
[46:08] 你被你的生活去推著
[46:10] 你去修改你的習慣
[46:11] 就你本來可能
[46:12] 甚至有點強迫症
[46:13] 我車子一定要停得很準
[46:14] 或什麼的
[46:15] 那只是因為現在
[46:15] 你小孩在那邊哭
[46:16] 你要怎麼辦
[46:17] 那兩個車位都你的
[46:18] 就沒差
[46:18] 就直接讓他斜著插進去
[46:20] 然後之後再調整
[46:21] 所以其實我們自己
[46:22] 確實是在這個習慣的方面
[46:24] 被小朋友調整了不少
[46:25] 就調整到一個
[46:26] 大家都舒服的模式
[46:28] 然後就開始知道說
[46:29] 反正效率
[46:30] 然後花錢可以解決的
[46:31] 都不是問題
[46:32] 這個是我們家的一個大原則
[46:34] 下面一位
[46:34] 南港潛水仔
[46:35] 潛水仔五星好評
[46:36] 主委你好
[46:37] 看到最近的事件
[46:37] 分享一個身邊的小故事
[46:39] 多年前朋友買宵夜的時候
[46:40] 遇到吸毒仔持小刀
[46:42] 搶路邊阿婆的錢包
[46:44] 當下二話不說
[46:45] 拿著安全帽衝去幫忙
[46:46] 在搏鬥中不慎打傷吸毒仔的眼睛
[46:49] 最後結果就是要賠償吸毒仔一大筆錢
[46:52] 沒有要討拍引戰的意思
[46:53] 純粹分享身邊的故事
[46:55] 對我來說
[46:56] 這位朋友就是勇者辛梅爾
[46:57] 希望能借主委的金口助這位
[47:00] 目前在關好臺灣分公司
[47:02] 這位朋友
[47:03] 早日三千前進華爾街
[47:05] 好
[47:06] 那麼也祝這位
[47:07] 見義勇為的新梅爾
[47:08] 可以順利的高升
[47:10] 那他現在講的這個東西
[47:11] 就是跟前幾集QA
[47:12] 有聽眾講的一樣
[47:13] 就像你在路上去幫別人
[47:14] 很多時候你會擔心說
[47:15] 不會被反噬
[47:16] 然後或者是
[47:17] 會不會公親變事主
[47:19] 就本來明明沒有你的事情
[47:20] 你一出手之後
[47:21] 變成是你跟對方的事情
[47:23] 你不覺得這個是一個
[47:24] 麻煩的一個狀態嗎
[47:25] 所以確實
[47:26] 現在在絕大多數的時間裡
[47:28] 以前我是那一種
[47:29] 甚至有點像樂子人
[47:30] 你知道嗎
[47:31] 我在路上看到說
[47:31] 有狀況我就去圍觀一下
[47:33] 或者說要幫忙
[47:34] 我一定會去幫忙
[47:35] 那現在呢
[47:36] 除非我今天看到一個小朋友
[47:37] 直接要被擄上車
[47:38] 或是一個阿嬤
[47:39] 直接被壓在地上踩之類的
[47:40] 不然我還真的不會去管
[47:42] 你們在那邊什麼
[47:42] 拉扯在那邊推擠
[47:44] 幹嘛屁事我直接走掉
[47:45] 雖然聽起來很像是很冷漠
[47:46] 但我只能夠說
[47:47] 不知道就是隨著時間的推進
[47:49] 後來你會發現說
[47:50] 那些還抱持著滿腔熱血的人
[47:52] 他們要麼是很天真
[47:54] 要麼他們真的是
[47:54] 社會上非常珍貴的人
[47:55] 所以我對這些人是比贊
[47:57] 只是我們現在
[47:58] 可以失去的東西太多了
[48:00] 我有小朋友要顧要什麼
[48:01] 所以有些東西
[48:02] 像以前那樣子
[48:03] 去熱血的介入
[48:05] 對我來講就是沒有辦法
[48:06] 但我還是會支援這些人
[48:07] 如果說他們有照理去
[48:08] 因為這樣子惹到麻煩
[48:10] 他們需要捐款
[48:11] 或者說他們需要一些聲援
[48:12] 我們都一定會站出來
[48:13] 可是你說
[48:13] 你自己要不要衝進去
[48:15] 是我現在還真的跟你講說
[48:16] 沒有辦法
[48:16] 我回家帶小孩
[48:17] 下面一位
[48:18] 米姑魯魚爪子
[48:19] I don't wanna Christmas tree
[48:21] 夢宮安安
[48:22] 瑪麗亞凱麗
[48:23] 甚至腳趾頭還沒有解凍了
[48:25] 近期看了VHM
[48:26] WW技術
[48:27] 後續因為記憶體需求
[48:29] 而受到更多的採用
[48:30] 但也注意到有很多的瓶頸
[48:32] 不過細電容
[48:33] 好像還是最近的看點
[48:34] 聽說IP股水很深
[48:36] 您對相關產業的看法
[48:37] 一樣是噴得在研究嗎
[48:39] 這位兄弟這樣一講
[48:40] 我早就在講APM
[48:41] AP Memory 6531
[48:43] 這個也是我自己
[48:44] 蠻喜歡的一家公司
[48:45] 他前面講的這個
[48:46] WW就是Web on Web
[48:48] 那VHM就是
[48:49] Very High Bandwidth Memory
[48:51] 他這個應用是在
[48:52] 目前聽說
[48:53] 那個客戶是Meta嚴禁
[48:54] 他之前是礦機
[48:55] 那他後面他講的這個細電容
[48:58] 細電容就是在講他兩個產品線
[49:00] 一個IPC一個IPD
[49:02] IPC就在講說放在
[49:04] 這個Silicon Interposer這邊去做使用的
[49:07] 然後那另外一個IPD就在講說
[49:09] 因為之後會進展到CoreOS L
[49:11] 所以他在載板裡面去買電容
[49:13] 所以理論上
[49:14] 如果今天在TSM這邊的產能是滿出來的話
[49:18] 那要去外面做
[49:19] 就要說要跑去Spill的話
[49:21] 那Spill的Interposer要跟誰拿
[49:23] 或者說這個電容要跟誰拿
[49:24] 就有可能會跟AP Memory拿
[49:27] 那前提是怎麼樣
[49:28] 我不知道
[49:28] 就是說像它的那個IPC那一塊的話
[49:31] 就我理解它的一個看點
[49:32] 會是在到底利基電這邊
[49:34] 有沒有辦法把那個良率拉上去
[49:36] 上次的法說好像講說
[49:38] 七幾趴
[49:38] 算是堪用了
[49:40] 那至於在載板這邊有沒有機會
[49:42] 就要看第一個大客戶
[49:43] 這些博通或什麼的
[49:44] 有沒有真的要給他東西
[49:45] 就我目前理解
[49:46] 他們是有一個IP授權
[49:48] 可是你說
[49:49] 是不是一個類似說
[49:51] 可以量產
[49:52] 然後獲得很大營收貢獻的東西
[49:54] 不太確定
[49:55] 只知道說這一塊的營收拉起來
[49:57] 那這個我可以講比較多
[49:58] 因為這只是我自己也有在注意
[50:00] 那一樣啦
[50:00] 就是稍微聊一聊產業的東西
[50:02] 不要聽了就隨便亂充
[50:03] 小心被修理
[50:04] 那這邊拜拜
