[00:00] 歡迎收聽股癌,我是聖夢宮,本集節目由Sally贊助
[40:42] 然後後來就有地方的聽眾講說
[40:44] 那個是什麼
[40:45] Blue Bulls
[40:46] 靠北
[40:46] 我以為在開玩笑
[40:47] 就真的你去找Blue Bulls
[40:49] 就是在講說什麼
[40:51] 反正就是你的那個睪丸是已經整個變成
[40:54] 類似那種青金青豹然後整個是藍色的
[40:56] 我想應該這個意思啊
[40:57] 就是說隨著你勃起勃太久的話
[40:59] 那真的會導致因為他充血過久
[41:01] 會有那種間歇性的疼痛
[41:03] 那需要一段時間才會緩解掉
[41:05] 所以他是有一個專有名詞去講他的
[41:06] 就叫做藍球
[41:08] 藍球Blue Bulls
[41:10] 下面一位
[41:11] 全馬霸夢宮奇卡就在4月底
[41:14] 無兒平安的登陸地球
[41:15] 我也正式的加入涅槃陣線聯盟
[41:17] 記得今年初產檢因為脈絡蟲問題
[41:21] 我們夫妻兩個擔心
[41:22] 在EP624留下在這邊的第一個留言
[41:24] 來抒發當時複雜的情緒
[41:26] 也得到觀音斷的祝福
[41:28] 後續每個檢查都順利的過關
[41:30] 直到孩子呱呱墜地的抱在手上
[41:32] 今天留言平安健康回報
[41:34] 真的感謝一路上幫忙的所有人
[41:36] 最最感謝的一定是老婆
[41:38] 也利用夢工的節目
[41:39] 在對8月22號生日的老婆Coby媽說
[41:42] 生日大快樂
[41:44] 記得保有你的少女心
[41:45] 我們一起陪伴我們的孩子
[41:47] 快樂健康長大
[41:48] 最後祝福孟恭
[41:49] 持續找到人生的樂趣
[41:51] 紅顏露筆熱愛
[41:52] 全家都健康平安
[41:54] 各位捏軟陣線
[41:55] 空中的朋友
[41:56] 復興節快樂
[41:57] 都能夠擁有男人健康的身體
[41:59] 跟最單純的快樂
[42:01] 其實從兄弟的留言
[42:03] 我可以完全感受到他的快樂
[42:06] 其實我也蠻希望
[42:07] 我不知道
[42:07] 我不能夠在我自己的節目留言
[42:09] 就是那時候安哥去做完各種檢查
[42:11] 然後最後面終於安全下莊的時候
[42:12] 不要亂力 flag
[42:14] 反正總之就是
[42:14] 那時候知道沒有問題的時候
[42:16] 我也很希望跟大家分享這個好訊息
[42:17] 可是我也沒有什麼人可以分享
[42:18] 但他現在可以分享出來
[42:20] 然後讓大家感受到這個能量
[42:22] 那不管是本來就很高興的人
[42:24] 繼續高興
[42:24] 或是說也正在面對
[42:26] 差不多事情的各位兄弟們
[42:28] 我們都希望可以去
[42:29] 抱持一個正向的力量
[42:30] 你知道人如果沒有希望的話
[42:33] 就真的就完蛋了
[42:34] 我們要有希望
[42:35] 我們要可以看到別人成功的案例
[42:37] 我們要真心的為別人感到高興
[42:38] 不要去當一個這個bitter的人
[42:41] 看到什麼都想酸一下
[42:42] 踩一下分析技術
[42:43] 以前小時候你這樣子可能就算了
[42:46] 長大之後你會發現
[42:47] 那種真心的為別人感到高興的人
[42:49] 他除了是幫別人帶來能量之外
[42:52] 他又幫自己帶來很多的能量
[42:54] 真的就像那種長輩講
[42:55] 那以前小時候看長輩在滑影片的時候
[42:58] 有一個長輩在我隔壁在滑
[42:59] 我最喜歡看正能量的東西
[43:01] 我想說老人家整天看雞湯廢文
[43:03] 但我不知道怎麼說
[43:04] 我現在有點懂他
[43:04] 下面一位Shang Chiu
[43:06] 親愛的孟恭去嘎
[43:07] 我自己也是一出生一歲後
[43:10] 是先天心臟病
[43:11] 變魔缺損
[43:13] 那也有做開心手術
[43:15] 到現在已經是有個四歲兒子的捏軟爸了
[43:18] 就像您說的自己當個爸媽
[43:19] 才可以瞭解當父母的辛苦
[43:21] 因緣機會之下
[43:22] 聽了您的節目
[43:23] 也買了一點0050
[43:24] 到現在大概存了四到五百萬的股票
[43:27] 那最近因為家中的企業稍有紛爭
[43:29] 在想是否辭掉家中週一到週日
[43:32] 都需要上班的工作
[43:33] 找個簡單錢少一點
[43:35] 六日都能夠休假的工作
[43:37] 陪陪小孩
[43:37] 就像你說的
[43:38] 可能13歲以後
[43:39] 他想要陪女朋友
[43:40] 以後再來找累積財富的工作呢
[43:42] 也不知道能不能活這麼久
[43:45] 聽以前開心的醫生說
[43:47] 之前的技術不一定可以活到五六十歲呢
[43:50] 那雖然現在技術應該更好
[43:52] 應該觀音大爺保佑
[43:54] 可以的啦
[43:54] 愛您
[43:55] 白了胃
[43:56] 紅眼鹿比超讚
[43:58] 非常感謝這位地方爸爸
[43:59] 我覺得這位兄弟一看就是非常的豁達啦
[44:04] 因為像我自己
[44:05] 如果我現在的這個存款是四五百萬的話
[44:09] 我應該是
[44:09] 我不知道去塑造一種焦慮感
[44:12] 因為我知道其實在這個世界上
[44:14] 可以賺大錢與否
[44:16] 很多時候那是命運決定的
[44:17] 你懂嗎
[44:18] 就是你的個性跟你的認知
[44:20] 只能夠決定上下緣
[44:22] 但是可以怎麼樣
[44:24] 那個是跟丟骰子沒有什麼兩樣
[44:26] 你叫一個億萬富翁重新來過
[44:28] 他不一定可以再當是億萬富翁
[44:30] 或者說什麼連續創業連續成功
[44:32] 那個機率其實都不高
[44:33] 所以我不知道去塑造那種恐懼感
[44:35] 只是以我自己來講
[44:36] 就是可能四五百萬
[44:38] 然後孩子又還這麼小的話
[44:40] 我可能還是會稍微的去追求
[44:42] 我要去辛苦一點沒有關係
[44:45] 那要稍微的多存一點錢
[44:47] 稍微的多賺一點錢
[44:48] 但這是我
[44:49] 一樣我來這裡跟大家分享
[44:51] 我都不知道教大家怎麼做
[44:53] 就是給大家另外一種思維
[44:54] 當我遇到脫韁野馬的時候
[44:56] 我可能會稍微的把你中和一點
[44:58] 我遇到太保守的
[44:59] 我稍微的把你推出去一點
[45:01] 那這位兄弟
[45:02] 因為說家裡有紛爭想離開
[45:04] 這我可以理解
[45:04] 就像我上集所提到的
[45:06] 其實我們之中很多人
[45:07] 是在爭吵的環境下長大的
[45:09] 不管是在家裡
[45:10] 或在學校以前遇到這樣
[45:11] 所以你光是聽到人家在爭吵
[45:13] 你斜壓就跑
[45:14] 你就會開始流手汗
[45:15] 你會渾身都很不舒服
[45:17] 所以我可以懂
[45:17] 想要離開這個環境
[45:18] 但是當然時間的彈性
[45:21] 是很重要的
[45:22] 只是可能還是稍微權衡一下
[45:23] 因為要知道其實孩子
[45:24] 有機會後面會有一些開銷
[45:26] 雖然其實養孩子
[45:28] 我覺得沒有像大家想象的
[45:29] 這麼困難
[45:30] 因為很多時候
[45:31] 孩子的開銷很高
[45:32] 那是因為你想要給他最好的
[45:33] 所以導致你需要花很多錢
[45:35] 如果說是用當年
[45:36] 你爸媽的方式養的話
[45:37] 那應該很多人都覺得
[45:38] 蠻容易的
[45:39] 那對就是陪伴的時間
[45:41] 非常的重要
[45:42] 所以你覺得陪伴重要
[45:43] 那當然也是可以
[45:44] 那只是像我自己會覺得
[45:45] 四五百萬
[45:46] 我可能還要再稍微的
[45:47] 努力一點點
[45:48] 所以就折總吧
[45:49] 稍微的抓一下吧
[45:50] 就是不要說
[45:51] 就是去找一個
[45:52] 超級輕鬆的工作
[45:53] 然後都不存錢了
[45:54] 雖然這個
[45:54] 某個程度上我可以懂
[45:56] 為什麼會有這樣的想法
[45:58] 因為畢竟醫生都曾經
[45:59] 跟你講過說
[46:00] 這個可能就是
[46:01] 搞不好就活到五六十歲吧
[46:03] 以前的案例來講
[46:04] 但現在科技都是越來越進步
[46:05] 可是我可以懂
[46:06] 就是當我今天
[46:07] 假如說我也曾經
[46:09] 或者說正在經歷一些
[46:11] 那種生死交關的事情
[46:13] 假如說我年輕的時候
[46:14] 假如說我開過行
[46:15] 或者說我後來假如說遇到
[46:16] 某一次可能不知道上班上了一半
[46:18] 發生那麼昏倒之類的
[46:19] 我跟你講我對世界的感受
[46:20] 會完全不一樣
[46:21] 我就會覺得說
[46:22] 我存錢到底要幹嘛
[46:23] 我應該跟我的孩子享受每一刻
[46:26] 雖然我們可能不一定
[46:27] 有積蓄在銀行裡面
[46:28] 但他媽爽就好
[46:29] 所以我完全可以懂你
[46:30] 那我覺得你就是相信
[46:32] 自己的這個直覺就對了
[46:34] 反正我真的覺得越長越大
[46:36] 越來越相信自己的直覺
[46:37] 平常就好好地把這個直覺養好
[46:39] 怎麼樣養好直覺
[46:40] 多觀察多聽多看
[46:41] 久了之後就會自己抓到一些pattern
[46:43] 下面一位PJ
[46:45] 拜託一定要念到
[46:46] 我感謝MK對留言測試仔的包容
[46:48] 明天8月9號是我弟的生日
[46:50] 想請您用肌肉猛男的聲音
[46:52] 幫我跟心電戰成戰長
[46:54] 說那四個字
[46:55] 生日快樂
[46:57] 雖然我們不是那種很親近的兄弟
[46:59] 但我們會是永遠的兄弟
[47:00] 我也永遠挺你的
[47:01] 我一直都相信
[47:02] 你會能成為像孟恭一樣的猛男
[47:05] 祝你健康快樂
[47:07] Happy Birthday
[47:08] 也感恩MK愛寧
[47:09] 好 為愛寧
[47:10] 祝你們兩兄弟都平安健康
[47:12] 下面一位
[47:12] 玉山國家公園
[47:14] 孟光安
[47:15] 小弟新竹菸酒生
[47:16] 最近剛寫完論文
[47:17] 準備丟期刊了
[47:19] 可以想四個字祝福我嗎
[47:21] 睡睡平安
[47:23] 不太對
[47:24] 年年有餘
[47:25] 還是不太對
[47:28] 洛陽紙櫃
[47:29] 這個洛陽紙櫃就對了
[47:31] 另外一律之職戰尿
[47:33] 馬桶會噴出來
[47:35] 就給我去裝小便斗
[47:36] 你說為什麼我叫
[47:37] 玉山國家公園
[47:38] 因為我套很高
[47:39] 對啊
[47:41] 其實蘸尿跟做尿
[47:42] 你知道我不會去硬性要求
[47:44] 大家都一定要做尿
[47:45] 之後我還發現說
[47:45] 就做尿就是不錯嘛
[47:46] 就是整個家裡
[47:47] 都可以維持的蠻幹淨的
[47:48] 所以那是一個選項
[47:50] 那真的要蘸的話
[47:51] 可以去弄一個小便斗
[47:52] 但是我不知道為什麼
[47:53] 我對小便斗的印象
[47:54] 不是太好
[47:54] 就是我就覺得小便斗
[47:56] 它蠻容易去積攢一些味道的
[47:59] 就是你要聞到很臭的馬桶
[48:00] 可能不容易
[48:01] 可是要聞到很臭的小便斗
[48:02] 幹真的是腐蝕皆是
[48:03] 就到處都是很臭的小變動
[48:05] 對啊反正就是自己的習慣
[48:07] 喜歡就好
[48:08] 下面一位
[48:09] Yu Chen
[48:10] 夢宮主委你好
[48:11] 好愛您的podcast
[48:13] 五星吹吹吹
[48:13] 最近回聽EP88
[48:14] 發現自己被四五月的行情養壞
[48:17] 我應該看好就慢慢買
[48:19] 便宜更繼續買才對
[48:20] 妄想天天漲停壞掉了
[48:22] 那最近跟觀音鬥愛
[48:23] 祈求太太考駕照順利完成
[48:25] 早上拜拜捐五千還願
[48:28] 那處主委一家人
[48:30] 身體健康天天開心
[48:32] 其實大家真的不用一直去
[48:34] 感覺到氣餒
[48:35] 或者說
[48:36] 媽的我怎麼會被行情養壞
[48:37] 因為我也是
[48:39] 他也是
[48:39] 大家都是
[48:40] 四五月的時候
[48:41] 真的就是覺得說
[48:42] 會不會真的AI造成的起點
[48:44] 就是先讓我們每個人都
[48:46] 富十倍之後
[48:46] 然後再說
[48:47] 後來發現
[48:48] 還是要紮紮實實的賺錢
[48:50] 產業還是要研究
[48:51] 基本面還是要看
[48:52] 不是每個東西都可以
[48:53] 一路漲停到無上限的
[48:56] 但對我來說
[48:57] 就是拉回來原本而已
[48:58] 因為我原本對股市的期待
[48:59] 就不是太高
[48:59] 像上集跟大家聊到
[49:00] 其實我覺得股市
[49:01] 是一個蠻壞的地方
[49:02] 只是這幾年
[49:03] 真的是行情特別好
[49:04] 那希望大家都可以
[49:05] 好好的挑事好
[49:06] 說不定後面還會播大的
[49:07] 嗯
[49:08] 我說大的上去
[49:09] 因為要真的大崩之前
[49:10] 我就一定會有一個
[49:11] 大的上去
[49:11] 那下面一位
[49:12] 傑西本人
[49:13] 夢宮去嘎
[49:14] 可以答應我在林口相遇時
[49:16] 帶我去您家洗大的嗎
[49:18] 拜託
[49:19] 題外話
[49:19] 股市下跌
[49:20] 讓我感到興奮
[49:21] 喜歡看論壇上的股民在挨
[49:23] 一直上漲
[49:24] 反而破壞遊戲體驗
[49:25] 有這樣的想法的
[49:26] 我是怪咖嗎
[49:27] 不會啊
[49:28] 這代表說就是
[49:28] 生來就是做股票的
[49:29] 就是在恐懼裡面
[49:31] 比較不會受到恐懼的影響
[49:34] 還能夠理性的做事
[49:35] 當然有兩種
[49:36] 一種就是不會受到恐懼的影響
[49:37] 然後真的就是被沉掉腳麻了
[49:39] 這也是一種
[49:40] 就是不會受到恐懼的影響
[49:42] 另外一種就是
[49:43] 不會受到恐懼的影響
[49:44] 可是還是可以做出很好的判斷
[49:45] 那就是代表
[49:46] 老天就是要讓你吃這一行飯
[49:48] 那再來
[49:49] 在我家洗大的
[49:51] 應該是沒有辦法
[49:52] 我不想跟男生洗澡
[49:53] 然後再來他的大頭貼真的有夠怪
[49:55] 他大頭貼是
[49:55] Michael Jackson留了一個
[49:57] 像希特勒的小鬍子
[49:58] 然後ID叫杰西本人
[49:59] 就不知道什麼意思
[50:00] 好那再見
