[00:00] 欢迎收听谷外,我是星风公
[41:38] 认为自己在炒股
[41:39] 还需要精进基本面的能力
[41:41] 有加入一家机构投顾做研究员
[41:44] 两个月后同事转正
[41:45] 我被资遣
[41:46] 虽然被资遣
[41:47] 但我每日工时食物小以上
[41:49] 那自己无愧这段时间的努力
[41:51] 想问孟公
[41:53] 你会建议我在职业方向
[41:54] 该怎么做比较好
[41:55] 个人目标是全职炒股
[41:57] 需要在前期收集各种能力
[41:59] 想听孟公当年顾问到
[42:02] 全职炒股的一个历程
[42:04] 首先我觉得你的方向是对的
[42:07] 就是你去做研究员
[42:08] 你被fire掉没关系
[42:09] 你就再去找一家研究员来做
[42:11] 其实还有蛮多投资公司
[42:13] 他们在找的是研究员slash操盘
[42:15] 就是一般他们都会给你钱
[42:16] 这个是还蛮多的
[42:18] 所以以我们身边来看
[42:20] 蛮多人都是靠这样子起家的
[42:22] 就是可能一开始蛮会做研究
[42:24] 然后公司给他一笔钱
[42:25] 他又有办法赚
[42:26] 他又可以去拿抽成
[42:27] 所以这个爬起来算是很快
[42:29] 这个方向我觉得是完全没有问题的
[42:32] 我当年的话是比较偏向是误打误撞
[42:35] 然后同时我是在网络上去找一些资源
[42:37] 因为我没有去外面去靠行
[42:40] 去跟一些交易士
[42:41] 即便其实在过程之中有这样子一个机会
[42:43] 但我就会觉得说
[42:44] 那个不是我要的一个本质
[42:47] 我的本质是希望自己有更大的弹性
[42:48] 因为那时候就是要陪老婆
[42:49] 每年要回两家两次
[42:50] 所以你回两家两次你需要机票钱
[42:53] 你需要有一个相对弹性的工作
[42:55] 所以其实我尽可能的找的都是一些remote的机会
[42:58] 所以包含跟人家交流也是
[43:00] 其实到现在都还是
[43:01] 然后你发现
[43:02] 你会意外的帮一些人打开开关
[43:04] 因为我觉得传统大家的互动
[43:05] 都还是会认为说
[43:06] 就是一定要见面
[43:07] 要喝酒
[43:08] 要应酬
[43:09] 或什么
[43:09] 但我自己默默的
[43:11] 就是自己身边有些朋友
[43:12] 以前也喜欢应酬
[43:13] 现在都不应酬了
[43:14] 然后再来就是真的有一群
[43:15] 可能跟我一起很要好的一些人
[43:17] 他们根本就是完全
[43:18] 我们平常是不会见面的
[43:19] 可是我们在网上超级要好
[43:21] 就大家都在网上讨论
[43:22] 所以你要去找到自己的一个圈子
[43:24] 那我觉得你目前的这个做法
[43:25] 是没有问题的
[43:26] 就是你多去跟这些机构
[43:28] 那希望可以找到一些机会
[43:30] 如果有人要给你代操的话
[43:31] 其实代表说你本金可以爬更快
[43:33] 如果当年我有这个机会
[43:34] 一定我会接
[43:35] 只是像现在人家叫我代操
[43:37] 我是绝对是不接的
[43:37] 因为我根本就不需要这种东西
[43:38] 我也不需要去
[43:39] 可能当任何的员工之类的
[43:42] 可是如果当年有这个加速器的话
[43:43] 我会去做
[43:44] 所以我觉得你往这个方向去找
[43:45] 一定找到
[43:46] 现在有蛮多
[43:46] 投资公司都在找这样子的人
[43:48] 至于要怎么样去找到这个投资公司
[43:50] 如果你有没有办法找到的话
[43:51] 其实就代表说能力不足
[43:53] 一定是有办法打听到
[43:54] 一定有办法问到
[43:55] 自己去试试看
[43:56] 下面一位
[43:57] MK大大你好
[43:58] 小弟長期有一間做POS機的IPC廠商
[44:02] 今年獲利率創歷史新高
[44:03] 軟體營收也成長數倍
[44:05] 但股價卻一蹶不振
[44:06] 漲沒有他的份疊跟大家一起下去
[44:08] 那小妹妹夢夢大大這時候要忍痛挺損嗎
[44:10] 祝福全家平安順心安哥健康長大
[44:13] 你這樣一講我大概就知道是什麼了
[44:15] 因為有在做硬體
[44:16] 額外又有切軟體
[44:17] 你在講飛捷是不是
[44:18] 飛捷的這個成績是真的開得蠻不錯
[44:20] 只是IPC的話
[44:22] 我前面有講過我自己的一些隱憂
[44:25] 就是我覺得可能像一些什麼
[44:26] BB Ratio跑上去吃
[44:27] 可能是因為缺料
[44:28] 那不一定是说什么
[44:29] 他后面一定会有办法
[44:31] 灌很多钱进来之类的
[44:32] 但是这个是一个比较笼统的说法
[44:34] 这各家公司不一定这样子的状况
[44:36] 大家参考就好
[44:37] 那实际上这家公司
[44:38] 我是有朋友在里面工作
[44:41] 我也是听说是还蛮不错
[44:42] 那只是你说为什么股价不会涨
[44:43] 我跟他讲
[44:44] 现在市场上太多
[44:45] 我想去问说
[44:46] 为什么他的基本面股价不会涨
[44:48] 就像台积电
[44:49] 我觉得他根本就不应该是在
[44:50] 2300块这个价格
[44:52] 我觉得他根本就是在
[44:53] 更上面的价格
[44:54] 或者说身边有一些老大哥认为说
[44:56] MTK他应该是要
[44:57] 八九千块一万块的东西
[44:58] 那怎么下在这个价格
[45:00] 其实就是
[45:00] 你知道投资的本质是什么吗
[45:02] 除了你去炒动能
[45:03] 因为动能很多时候是
[45:04] 类似人云亦云
[45:05] 你看到什么涨就买什么
[45:06] 可是如果说你今天
[45:07] 真的要去玩长投这个赛道的话
[45:10] 股价不如你的预期
[45:12] 那个就是为什么你来做长投
[45:14] 你懂我意思吗
[45:15] 它就是因为价格错
[45:17] 你觉得它应该是500块的东西
[45:18] 要下100块
[45:19] 你才买它
[45:20] 要100块跌到80块
[45:21] 你应该是要高兴的
[45:22] 但很多人他会把投资
[45:24] 跟可能去投机搞动能搞混
[45:27] 我不是说不能投机跟搞动能
[45:28] 因为那也是我自己会搞的
[45:29] 只是当你搞混
[45:30] 你就会认知失调
[45:31] 因为你明明就是都在看基本面
[45:34] 你看基本面
[45:35] 你也知道后来会好
[45:36] 你也知道他现在被误会了
[45:37] 就是因为他有被误会
[45:38] 才有更多肉
[45:39] 就像说如果他都没有被误会的话
[45:41] 那后面怎么还有肉
[45:42] 所以这些东西
[45:42] 你自己去想清楚之后
[45:44] 你会知道说
[45:45] 有时候你需要的是耐性
[45:46] 讲白一点是这样子
[45:47] 但是在建立耐性的路上
[45:49] 可能很多人就沉掉
[45:50] 因为你不确定你的
[45:51] 建立耐性的对象对不对
[45:53] 你可能爱错人了
[45:54] 你把自己托付在一个渣男的手里
[45:57] 这是有机会
[45:57] 所以我还是建议都先小量试单
[45:59] 确定自己的眼光好
[46:01] 确定自己的分析能力强之后
[46:02] 你可以再慢慢去把自己的部位放大
[46:04] 至于如果要去问说
[46:05] 为什么某个东西不会涨
[46:06] 我觉得现在每个人都想问这个问题
[46:09] 对像市场上这么多好东西
[46:10] 为什么不会涨
[46:11] 我觉得现在蛮多东西都跌到平均的价格
[46:13] 可是还是可以一直跌
[46:14] 我也不知道到底发生什么事
[46:16] 下面一位
[46:16] 和爱您撑住
[46:18] 挂号工作生活
[46:19] 希望你撑住
[46:20] 下面一位
[46:21] 苏映荣
[46:21] 感谢孟公每周固定的分享
[46:23] 这饺子真好吃
[46:24] 请问孟公喜欢吃韭菜水饺
[46:27] 是高丽菜水饺
[46:28] 有吃过荠菜水饺吗
[46:30] 爱宁 接力棒
[46:31] 都有吃过
[46:32] 我还蛮喜欢吃水饺
[46:33] 一定要加辣
[46:33] 下面一位
[46:34] 好 下面一位
[46:35] 蜜蜂的天敌黄老汉
[46:37] 我们要教训他保护小蜜蜂
[46:38] 抓了一个 抓了两个
[46:40] 给他做水牢
[46:41] 这是你的棉被
[46:42] 来了就回不去的地方
[46:43] 在咬小蜜蜂
[46:44] 虎虎旋旋的
[46:45] 阿乌 被教训了
[46:47] 教训到位了
[46:48] 又有一个疯掉
[46:49] 下面一位
[46:50] 喂 嗨嗨MK宝贝
[46:51] 所以台湾人 美国人 韩国人
[46:53] 到底会不会做股票
[46:54] 我现在是一个在伦敦念书
[46:56] 实习的硕士打工仔
[46:58] 虽然这一年绩效不错
[47:00] 近期也只是获利回吐
[47:01] 但因为在国外换了一个新的租屋处
[47:04] 要用钱周转
[47:05] 就会想说有在涨的东西
[47:07] 应该还是有点动能
[47:09] 不能够卖
[47:09] 别的东西组群没问题
[47:11] 不想砍在阿呆股
[47:12] 外面的东西现在又更便宜了
[47:14] 想买但没钱
[47:15] 这样有解吗
[47:15] 还是我太记要又要了爱你
[47:18] 不是这个就是
[47:18] 我们多年在节目里面
[47:21] 跟大家分享的
[47:22] 所有的股票仔
[47:23] 都会有的阵头
[47:24] 不管你今天多少钱
[47:25] 真的是不管多少钱
[47:26] 百万千万上亿的
[47:28] 大家都觉得自己的钱不够用
[47:29] 因为你总是有
[47:30] 更多想要买的东西
[47:32] 所以这是一个共通的阵头
[47:33] 那再来这时候该怎么做
[47:35] 是我的话
[47:36] 我一定是会去卖掉
[47:38] 表现比较不好的东西
[47:39] 然后来做生活
[47:40] 那再来就是
[47:40] 过去有跟大家分享过
[47:41] 有一个解方式
[47:42] 使用股票指压
[47:44] 只加股票指压
[47:44] 被大家都用满了
[47:45] 所以你应该是没有办法
[47:46] 不然其实它本来是一个
[47:47] 很好的工具
[47:48] 你只要不要开
[47:49] 要开到杠杆就好
[47:50] 就像说你需要50万
[47:51] 你有一千万的部位
[47:52] 你不要卖东西
[47:52] 你一千万的东西
[47:53] 你压进去
[47:54] 你也不用压一千万
[47:55] 你带50万出来
[47:55] 这个风险趋近于零
[47:57] 因为基本上
[47:58] 你去算一下杠杆倍数
[47:59] 金融海啸出来
[48:00] 你都不会被扫到
[48:01] 所以你用这个去腾出一点周转金
[48:03] 其实是很好的一个做法
[48:05] 只是因为现在不一定带得到
[48:06] 你可以去问看看
[48:07] 还是要强调
[48:08] 因为有时候在讲杠杆
[48:09] 有一堆白痴
[48:10] 觉得他妈的做到极端
[48:11] 然后回来问我说
[48:12] 你不是说可以这样做
[48:13] 我是跟你讲说
[48:13] 你要去些微的调动
[48:15] 就像說你1000萬去掉50萬
[48:17] 那一定沒問題
[48:17] 但你1000萬去掉600萬出來
[48:19] 600萬在融資金去買
[48:20] 然後你爆掉回來問我說什麼
[48:21] 你不是說可以開槓
[48:22] 那你就是低端
[48:23] 所以再來稍微講一下
[48:25] 很多時候我們要下警語
[48:25] 就是因為世界上白癡
[48:27] 真的比想像中的多很多
[48:29] 然後他們會跑來煩我
[48:30] 我也不想被煩
[48:31] 雖然理論上我不要理他們就好
[48:32] 但有時候我還是會覺得
[48:33] 那種恨鐵不成鋼
[48:34] 就是幹你這麼笨
[48:36] 我不教你
[48:37] 你媽媽也不教你
[48:37] 那以後誰救你
[48:38] 所以我還是要稍微教你一下
[48:39] 就會稍微提點一下
[48:40] 大家自己要注意
[48:41] 杠杆比例要算好
[48:42] 下面一位PJ
[48:43] 五星奉上留言测试
[48:45] MK能够聊聊光通讯吗
[48:47] 应该是未来趋势没错吧
[48:49] 虽然资金目前不在这
[48:50] 但总会迎来资金轮动的爆发吧
[48:52] 我是不是该及早布局
[48:53] 最近花了很多时间研究
[48:54] 发现一档还在低点
[48:56] 看准未来趋势
[48:57] 我决定all in这一档
[48:59] 7418
[49:00] 光 寄光 相寄光 相信光
[49:03] 一定可以迎来我人生的高光
[49:05] 7418
[49:07] 相寄光
[49:09] 这啥小啊
[49:11] 新贵观光事业
[49:13] 这个又一个陪到疯掉的
[49:16] 下面一位
[49:16] Ama
[49:16] 孟公好
[49:18] 我同样也是苗栗客家乡亲
[49:20] 好奇您会教孩子客家话吗
[49:22] 像我是听得懂
[49:23] 但不太会讲的人
[49:24] 谢谢优质的节目
[49:25] 陪伴我跟男友的空闲时间
[49:27] 那想请你祝我男友Justin
[49:30] 8月31号生日快乐
[49:31] 那谢谢他每个礼拜
[49:32] 从台南回来苗栗陪我
[49:33] 祝他工作顺利
[49:34] 不要太累了
[49:35] 那另外祝我们都可以
[49:36] 顺利的回台中工作
[49:37] 谢谢孟公祝福大家都能够
[49:39] 健康平安快乐
[49:40] OK那希望你们都可以顺利的回到台中
[49:42] 那会不会教孩子讲课讲话
[49:43] 我觉得我会稍微教他一点
[49:45] 但是应该不会去走我爸那种
[49:46] 比较hardcore的方式
[49:47] 我没有说我爸那个方式不好
[49:48] 只有我爸那个方式真的要付出很多心力
[49:50] 他小时候就是
[49:51] 我要跟他要东西的时候
[49:52] 一定会逛哈发
[49:53] 没有逛哈发
[49:54] 他就假装他听不懂
[49:55] 他就假装他不知道在说什么
[49:57] 那所以他对于这个母语的传承
[49:59] 真的是不予余力
[50:00] 包含说像是会训练我去演讲比赛
[50:02] 或什么的
[50:03] 也是非常感谢我爸当年在栽培
[50:05] 但是你说我会不会这样子去教我孩子
[50:06] 我觉得不会
[50:07] 但是一些基础的
[50:08] 或是当他跟他阿公在一起的时候
[50:10] 那他去讲客家话
[50:11] 我甚至会跟着一起讲客家话
[50:13] 我会鼓励他
[50:14] 但他不会是我的教学的agenda
[50:16] 就是我一定要教他会这个东西
[50:18] 我觉得还好
[50:19] 就是我对母语的传承比较
[50:20] 对没有那样的一个热忱
[50:23] 我知道这个有可能会踩到一些
[50:24] 那种母语狂热者
[50:25] 反正大家可以去做各自的东西
[50:27] 你知道每个人想教孩子的不一样
[50:28] 后来发现说教孩子本身
[50:30] 就是一个很大的
[50:32] 就是去分门别类的一个事情
[50:35] 好像有些人不给孩子吃糖
[50:37] 不给孩子喝汽水
[50:38] 不给孩子用AI
[50:39] 不给孩子看电视
[50:40] 不给孩子看iPad
[50:41] 不给孩子什么
[50:42] 一大堆啊
[50:42] 一大长串
[50:43] 但每个人都有自己的方式
[50:45] 我的大原则是
[50:46] 我会复制我小时候
[50:48] 觉得很棒的东西
[50:50] 给我的孩子
[50:51] 就是我爸妈
[50:52] 让我的一些美好回忆
[50:53] 我就会复制给他
[50:54] 像我爸以前跟我讲说
[50:55] proud of you
[50:56] 虽然长大一点之后
[50:57] 就再也不讲了
[50:57] 可是我就是一直让我儿子
[50:59] 知道说我对他很骄傲
[51:00] 那一些你自己觉得
[51:01] 比较辛苦的
[51:02] 比较难熬的
[51:03] 那可能就不要传给他
[51:05] 你就稍微的修正一下给他
[51:06] 但尽可能都是以
[51:07] 让他有一个美好的童年
[51:09] 作为一个核心
[51:10] 大概这样
[51:11] 但最近其实有一些新的想法
[51:12] 就是像我孩子
[51:13] 最近他比较忧郁一点
[51:15] 他甚至会讲出一些很夸张的话
[51:16] 我觉得说在7-11
[51:17] 跟他妈去结账的时候说
[51:18] 还是我去当小天使
[51:20] 我不想在这个世界
[51:21] 4岁的小孩怎么会讲这种话
[51:23] 因为他在学校
[51:24] 可能老师叫他吃肉
[51:25] 他不想要吃肉
[51:26] 他就觉得很忧郁
[51:27] 他回家就一直哭
[51:27] 他真的很讨厌吃肉
[51:28] 这时候我们当然会有一个想法
[51:30] 还是我们去学校跟老师说
[51:32] 就是不要让他吃肉
[51:33] 让他吃素就好
[51:34] 同时也会想说
[51:36] 会不会这只是他
[51:37] 不想去上课的一个理由
[51:38] 那再来也会想说
[51:39] 如果每件事情
[51:40] 我们都顺着他的意的话
[51:42] 他已经在一个
[51:43] 非常受保护的私校长大了
[51:45] 他如果连这种挫折都扛不下来
[51:47] 那我们一直要顺着他
[51:49] 会不会后面我们变成是害了他
[51:50] 所以其实很多东西
[51:51] 我觉得后面想法都会慢慢改变
[51:53] 像最早我也是说
[51:53] 孩子快乐长大就好
[51:55] 可我现在有一点点的改变是
[51:56] 没有他不能够太快乐
[51:57] 太快乐他真的会变快乐宝贝
[51:59] 就是你一定是该有的纪律
[52:01] 然后该怎么样子
[52:02] 因为发现说孩子很牛
[52:03] 他们很会转
[52:04] 所以你要设定一些跑道给他
[52:07] 再一次设定一些目标
[52:08] 所以可能我现在对母语没有感觉
[52:10] 但说不定后面会觉得说
[52:11] 母语他可能
[52:12] 不一定目标是母语
[52:14] 而是让他有一件事情可以做
[52:15] 然后可能到时候想法改变
[52:17] 所以这个很难说
[52:18] 那今天跟你分享一下
[52:19] 那再见
[52:19] 拜拜
