[00:00] 歡迎收聽谷愛,我是聖木公,本期節目由擅存益生菌贊助
[37:31] 女生戴著鴨舌帽低呼叫餐
[37:33] 旁邊的帥哥雖然也穿拖鞋
[37:35] 卻能夠操著一口流利的英文
[37:36] 跟對方侃侃而談
[37:38] 然後這個強大的氣場直接把我嚇呆
[37:40] 馬上收回對小孩的教訓
[37:42] 原來穿什麼不一定代表身份
[37:44] 這難道是吊嘎冠希圖的真人版嗎
[37:47] 這一點我覺得算是臺灣限定
[37:50] 就是臺灣你真的比較難去識別
[37:51] 有錢人長什麼樣子
[37:53] 因為它沒有一個固定的樣式
[37:55] 就是說可能有些就是一般的那種高腰庫
[37:58] 配一個Polo 3那種阿伯
[37:59] 公園阿伯
[38:00] 但是還有一個手機腰包
[38:01] 它有可能是一個退休公務員
[38:04] 它也可能是有10棟房子在收租的
[38:06] 他們都長一樣的造型
[38:07] 然後或者是說
[38:08] 因為我們自己身邊的朋友來講
[38:09] 我是沒有認識那些什麼富二代
[38:11] 我覺得富二代
[38:12] 我自己在可能古來之後有認識一些
[38:15] 但我也不會想去跟人家交心
[38:17] 但我看得出來他富二代
[38:18] 富二代你還是看得出來
[38:19] 就是老前的話我覺得他們還是會比較講究一些可是新錢的話我真的覺得絕大多數數是看不出來的這些新錢甚至有些已經比老錢還有錢了但是你就是看不出來因為他們就是很習慣於
[38:30] 就是說我就是穿uniclo
[38:31] 我全身都uniclo
[38:32] 我們自己同業有好多
[38:34] 都是全身uniclo
[38:34] 不然我自己是全身uniclo
[38:36] 然後直到那個孤僻的老闆
[38:37] 他真的是對我超好
[38:38] 就整天送衣服給我
[38:39] 最後他才變全身孤僻
[38:41] 因為我就懶得選嘛
[38:42] 你給我穿什麼
[38:42] 我就穿你的衣服
[38:43] 那不然我之前
[38:44] 也是全身都uniclo
[38:45] 可是你看不出來
[38:46] 就是我可能是還OK啦
[38:47] 就是還OK的
[38:48] 或者說我自己身邊那些朋友
[38:49] 我真的覺得說你都是看不出來的
[38:52] 就是你很難從他們的日常
[38:54] 可以去識別出他是有錢的
[38:55] 他可能就是都穿拖鞋
[38:56] 可是他接著要去開他的法拉利之類的
[38:59] 你穿了法拉利你就看得出來
[39:00] 類似這樣
[39:01] 所以他可能有些地方會很花錢
[39:03] 可是你沒有辦法在第一時間
[39:05] 就識別出這個人是很有錢的
[39:07] 但如果今天是在歐洲的話
[39:08] 我覺得你去一些高階餐廳的話
[39:10] 你就看得出來
[39:11] 我覺得是看得出來的
[39:12] 因為第一個是說他們會要求要打扮
[39:14] 可能大家都多多少少會衣裝一下
[39:16] 也沒有辦法像臺灣這樣子
[39:18] 就是可能你穿一個拖鞋
[39:19] 就混進去一個不錯的餐廳
[39:20] 這個是辦不到的
[39:21] 在歐洲這邊的話
[39:23] 就可能都會要求有一個
[39:24] 最基本的dress code
[39:26] 再來就是我覺得
[39:27] 看他們穿的西裝合不合身
[39:28] 然後以及
[39:29] 我覺得蠻多有錢人都喜歡穿豆豆鞋
[39:31] 然後可能配一個Apple Watch之類的
[39:33] 有些會帶兩隻手表
[39:34] 一隻Apple Watch
[39:35] 然後一根可能帶一個什麼百達斐利之類的
[39:37] 這個就看來說
[39:38] 這個人有錢
[39:38] 反正一般我覺得說
[39:39] 透過他的衣服
[39:41] 然後整個打理的乾淨程度
[39:43] 就可以大概知道說
[39:44] 他是不是boss
[39:45] 他是不是有錢
[39:46] 還是說他是高階打工仔
[39:48] 高階打工仔也是有錢的
[39:49] 就是說可能那種C-suite之類的
[39:50] 可是那個就比較偏向是領薪水的
[39:52] 但其實你看得出來
[39:53] 就從氣質
[39:54] 我覺得在歐洲我可以識別
[39:55] 可是在臺灣就連
[39:56] 這個是我的家鄉
[39:57] 我整天看臺灣人
[39:59] 我都很難看得出來說
[40:00] 誰是有錢的
[40:01] 有時候連我自己
[40:02] 像我老婆跟我講說什麼
[40:03] 那個人他感覺他比較辛苦
[40:04] 什麼的
[40:05] 我也真的覺得說
[40:06] 那個人看起來很辛苦
[40:06] 然後他說
[40:07] 幹那個人一點都不辛苦
[40:08] 這個真的看不出來
[40:09] 在臺灣是這樣
[40:10] 然後再講說什麼林口的高階牛排館
[40:13] 林口應該沒有什麼
[40:14] 真的那種非常高階的牛排館
[40:16] 林口比較貴的兩個
[40:17] 有在賣牛排的地方
[40:18] 一個就Amber Hill
[40:19] 就是教父系列的
[40:20] 然後另外一個是Rolling's Hill
[40:22] 那這兩個應該都
[40:24] 我覺得不知道
[40:26] 就高階也是看人
[40:26] 但是他們是好吃的
[40:28] 像Amber Hill我超愛
[40:29] 我整天跑去
[40:29] 可是我不會覺得說
[40:31] 它是很高階的餐廳
[40:32] 因為怎麼講
[40:33] 就是那種比較便宜的東西
[40:34] 幾百塊也就點得到
[40:35] 那很高階的餐廳
[40:37] 我講的是那一種
[40:38] 可能在臺灣人均是
[40:39] 在我的認知
[40:40] 大概四五千以上的
[40:42] 我會認為是高階餐廳
[40:43] 或者說可能一餐吃下來
[40:44] 一個人要一兩萬以上
[40:45] 都還是很多人會穿拖鞋
[40:47] 或者說穿一個T恤就進去
[40:49] 可是如果是這樣的一個消費
[40:51] 在羅馬地區的話
[40:52] 你應該看不到人家會穿拖鞋
[40:54] 或者有的沒有都會進去
[40:55] 大概是這樣子一個狀態
[40:57] 下面一位
[40:57] 我是前幾集問日K周K格局的粉絲
[41:01] 有些模糊之處
[41:03] 因此來請教
[41:03] 以下是日K格局顯示用頸線舉例
[41:06] 一群來大
[41:06] 用來判斷頸線的K棒區間
[41:09] 通常是抓幾根來判斷
[41:10] 二為什麼是用這個時間範圍
[41:12] 做判斷的依據
[41:13] 同樣是畫面縮到最小
[41:15] 可能因為APP
[41:16] 極限能夠呈現730天K棒
[41:18] 另外一個APP
[41:18] 能夠呈現365天K棒
[41:20] 標準的不一致
[41:21] 會導致我們同樣講頸線
[41:23] 但你我畫出的版本不同
[41:24] 從而判斷不同
[41:26] 括號大V區間突破是用幾天
[41:28] 真心希望可以聽到
[41:29] 高手詳細解說愛你
[41:30] 不是我覺得你連頸線
[41:31] 是什麼你應該都還不知道
[41:32] 因為頸線一般來說
[41:34] 不會搞到需要看到
[41:35] 300或是700多天的
[41:37] 這個有點那種超異了
[41:39] 我感覺啦
[41:39] 所以我隨便舉一個例子
[41:42] 你看一下友達
[41:42] 我印象中
[41:43] 友達去年到今年初
[41:45] 就去年差不多11月到今年初
[41:47] 那個就算是一個警線的突破
[41:49] 然後上去了
[41:50] 那個就算
[41:50] 那個就是一個警線
[41:51] 所以一般警線不會抓到這麼長的
[41:54] 下面一位謝昆林
[41:56] 哈哈我爸怎麼來留言
[41:57] 兒子爸爸很愛你哦
[41:58] 揪咪抱抱
[41:59] 幹這超靠背
[42:00] 下面一位跑得快先生
[42:03] 不知道這個留言不是跟上面的一樣嗎
[42:06] 然後下面
[42:06] 又一個又留一樣
[42:09] 不是啊
[42:09] 那個在問技術的兄弟
[42:11] 就幹
[42:12] 真的不用一直問一直問
[42:13] 你要自己下去做
[42:14] 一直問問題
[42:15] 沒有辦法進步的
[42:16] 下面一位阿棠
[42:17] 老公好
[42:18] 小弟物慾極低
[42:20] 味覺只分能吃跟還能吃
[42:22] 幾乎沒有花什麼錢在物慾
[42:23] 但入坑GK之後
[42:24] 人生首次直接重倉在興趣上
[42:27] 每天下班累到虛脫
[42:29] 回家坐在前面欣賞
[42:30] 是一種救贖
[42:31] 老婆小孩無法理解
[42:32] 他們比較聽你的
[42:34] 那求夢工斷
[42:35] 開導一句
[42:36] 並大喊
[42:37] 收女雕的大人不會變壞
[42:38] 感謝大喊愛您
[42:40] 其實我家裡也是
[42:41] 把一堆死人骨頭老婆
[42:42] 覺得說
[42:43] 操你買這個創作小
[42:44] 但我也是跟你一樣
[42:45] 我覺得是某種療愈
[42:47] 我不會每天盯著她看
[42:48] 可是我覺得說
[42:49] 這個玩具很酷
[42:50] 我想要買一個玩具
[42:51] 只是我小時候喜歡的玩具
[42:52] 跟現在喜歡的玩具
[42:54] 不太一樣
[42:54] 差不多這樣的一個感受
[42:55] 下面一位
[42:56] 柯柯遊戲要買萬代男夢宮
[42:59] 許願要許林口謝夢宮
[43:00] 感謝夢宮優質節目
[43:01] 一
[43:01] 想問像你跟你認識
[43:04] 投資界的大哥大姐們
[43:05] 都會怎麼教育
[43:06] 小朋友的金錢觀呢
[43:07] 二好奇你會跟Lisa
[43:08] 在小孩或是親戚間放閃嗎
[43:11] 像外國人伴侶那樣
[43:12] 謝謝愛您
[43:13] 首先第一個金錢觀
[43:15] 我覺得每個人
[43:16] 還是不太一樣
[43:17] 就是這種東西
[43:18] 你沒有辦法找到一個
[43:19] 一言以蔽之的東西
[43:20] 可是我覺得
[43:21] 可能有些觀念會是一致的
[43:23] 就像說像我們去教育小朋友
[43:24] 一定都會跟他講說
[43:25] 貸款不可怕
[43:26] 這個貸款特別是房貸
[43:28] 你要勇敢的貸下去
[43:29] 可是像我們自己的長輩
[43:30] 教的話很多時候就說
[43:31] 不要欠銀行錢
[43:32] 要趕快還錢
[43:33] 所以我覺得這可能是一個蠻大的差別
[43:35] 那至於小朋友的訓練
[43:36] 像有些人他會覺得說
[43:38] 這個錢是我賺的
[43:39] 所以我小朋友不應該花太好
[43:41] 我要稍微的窮養他
[43:42] 這樣的有錢人有沒有用
[43:44] 那有沒有那種就是覺得說
[43:45] 小朋友就是跟我一起
[43:46] 我們一起去享受人生的
[43:47] 也有
[43:48] 所以我不覺得
[43:48] 好像說有什麼特定的一個模式
[43:51] 這也是我在上集開頭
[43:53] 要跟大家表達的
[43:54] 很多人會想象說
[43:55] 什麼有錢人就會怎麼樣
[43:56] 沒有
[43:57] 其實人家只是彈性多疑
[43:58] 他不一定就會怎麼樣
[43:59] 那再來第二個
[44:01] 會不會在親戚跟小孩前面放傘
[44:03] 不會
[44:03] 是不做這樣的事情的
[44:04] 那我自己本身不喜歡
[44:06] 我老婆也不喜歡
[44:07] 所以很多時候很好笑
[44:08] 像是在那個岳母嫁的時候
[44:09] 岳母會硬把我老婆丟到我身上
[44:11] 說你們都不抱抱親親
[44:12] 快點親一下親一下
[44:13] 就這樣
[44:13] 那就好啦
[44:14] 就勉為其難兩個親一下
[44:15] 然後就
[44:16] 就我們不太喜歡去放傘
[44:18] 就我也不知道
[44:19] 有些人會想要放傘
[44:20] 但如果說你們是真的愛到咖蟬死
[44:22] 你們到哪都想要親親抱抱
[44:23] 然後被人家閃到別人
[44:24] 這我覺得還合理
[44:25] 可是有些人
[44:25] 就如果你是想要去閃人家的話
[44:27] 那你可能是有曝露狂暴
[44:28] 下面一位Jackie Lee
[44:30] 感謝孟公大提供優質好節目
[44:32] 帶我進入投資世界
[44:34] 雖然我只是定期定額的指數氣氛仔
[44:36] 金額不大
[44:36] 但還是賺了點錢
[44:37] 另外也感謝您帶我進入動漫世界
[44:40] 到處看了您推薦的福利聯
[44:42] 驚覺太好看了吧
[44:43] 也因此開始看其他的動漫作品
[44:45] 發現自己跟您一樣特別喜歡女角
[44:48] 像是晉級巨人的米卡莎
[44:49] 那請孟公大推薦
[44:51] 還有哪些特別喜歡的女角
[44:52] 拉皮
[44:53] 這我連想都不用想
[44:54] 那祝您全家平安健康愛你
[44:57] 我跟你講
[44:57] 米卡莎的那個配音員
[44:59] 就是尼基的拉皮的配音員
[45:02] 然後也是2B的配音員
[45:04] 就是Near Automata的那個配音員
[45:06] 所以我覺得就是這幾個
[45:08] 可能都可以先稍微看一下
[45:09] 那我覺得動漫世界
[45:11] 比股票世界來的重要
[45:12] 所以非常感謝
[45:13] 讓我有這個機會
[45:14] 引你進入動漫世界
[45:16] 雖然我在動漫世界
[45:16] 應該算是一個菜皮吧
[45:18] 可是我自己喜歡看的作品
[45:19] 我覺得這個真的都很不錯
[45:22] 就是說它可能相較於
[45:23] 我看的一些所謂真人演出的作品
[45:25] 動漫很多時候是
[45:26] 更加深刻的
[45:28] 下面一位
[45:28] 莊義
[45:29] 可以用年壽的聲音
[45:31] 大家
[45:31] 祝謝孟公
[45:33] 保姆一定覺得有病
[45:34] 祝謝孟公跟聽眾新年快樂
[45:37] 馬眼健康
[45:38] 下面一位
[45:38] 小豆芽
[45:39] 孟公大大
[45:40] 前陣注意到006204這檔ETF
[45:42] 理論上更加貼近全市場ETF
[45:44] 應該是更理想的長期指數投資標的
[45:46] 然而它規模拉不上去
[45:48] 成交量少的可憐
[45:49] 雖然可能因為近幾年的臺積電很強勢
[45:51] 讓大家偏好往全資股靠攏
[45:53] 但006204的表現也太不堪了
[45:55] 那請問有什麼
[45:56] 我沒有想到因素導致它變這樣嗎
[45:58] 這場ETF有抬頭的機會嗎
[46:00] 那祝福諸位全家安康愛您
[46:02] 對理論上要去做指數投資
[46:04] 找到全市場覆蓋的東西
[46:06] 會比較好一點
[46:07] 那只是當然
[46:07] 因為近年以美股來講
[46:09] 像前陣子也是期計頭非常的強大
[46:11] 所以有些人可能就覺得說
[46:12] 那我買VOO可能是大於VTI
[46:14] 那我覺得這個就是各取所好
[46:16] 反正它差距
[46:17] 嚴格上來說也不會到超級無敵大
[46:19] 所以我會覺得說
[46:20] 你要買像6204
[46:21] 然後或者說還是要6208還是62050
[46:23] 我覺得都OK啦
[46:24] 你只要有想清楚就好
[46:26] 那我覺得他們差距不會太大
[46:27] 那只是在臺灣會有一定程度的問題
[46:29] 相較於說VOVTI可能就真的覺得沒差
[46:32] 是在於說我覺得
[46:33] 因為像那個006204
[46:35] 他買的人是少嘛
[46:36] 是寄生蛋蛋生寄物
[46:37] 你買的人少
[46:38] 那當然你要去攤的費用就比較高一點嘛
[46:41] 那買的人多
[46:42] 那就有可能會像0050這樣去做降價嘛
[46:45] 那或者說6208要去跟0050競爭
[46:47] 他有去做降價
[46:48] 所以其實我最鼓勵的是多一點競爭啦
[46:50] 當今天競爭的人變多的話
[46:52] 自由市場的狀況之下
[46:53] 大家會去想辦法把這個費用給往下降
[46:56] 所以我覺得關鍵是在這個地方
[46:59] 那標的本身
[47:00] 我覺得沒有什麼太大的問題
[47:01] 那臺積電很強
[47:02] 那所以導致可能有臺積電的
[47:04] 各種成分的東西變得很強
[47:06] 沒錯
[47:07] 這個就是現在市場的一個狀態
[47:09] 但它有可能也只是一個短期的狀態
[47:11] 我覺得說
[47:11] 在過去的某一段時間
[47:13] 那時候老師講
[47:14] 那個分析師講說
[47:15] 什麼臺積電是dead money
[47:16] 我還心中有一點不以為然
[47:18] 然後真的被他講中
[47:19] 臺積電真的dead money了一整年
[47:21] 會不會哪時候臺積電又再一次的
[47:22] 變成是dead money
[47:23] 你不曉得啦
[47:24] 所以很多時候
[47:25] 你盡量不要用那個
[47:26] 後照鏡去開車啦
[47:27] 但理論是很重要的
[47:29] 就千萬不要覺得說
[47:30] 理論是不重要的
[47:31] 理論上就是
[47:32] 可以去做到
[47:32] 全市場覆蓋的東西
[47:33] 應該是很好的
[47:34] 指數投資的一個標的
[47:35] 那只是這陣子
[47:36] 可能臺積電好
[47:37] 所以大家就會覺得說
[47:38] 那我要臺積電多一點的東西
[47:39] 可是未來的某一天
[47:40] 可能大家就不一定
[47:41] 會這樣想了
[47:41] 所以為了去持平的話
[47:43] 其實盡量都還是去找
[47:44] 全市場的
[47:45] 只是因為在臺灣
[47:46] 全市場的可能費用高啊
[47:47] 那餐飲的人很少
[47:48] 所以我們就退而求其次嘛
[47:49] 就0050
[47:50] 006208
[47:50] 或類似這樣的東西
[47:51] 那下面一位
[47:52] good eyes
[47:53] 留言密碼測試
[47:54] 888愛你愛你
[47:55] 下面一位
[47:55] 澎湖要不要緊
[47:57] 孟古人大漢孟公萬安
[47:59] 跟著大漢移動到spotify留言
[48:01] 那謝謝孟公大漢
[48:02] 帶我們在股市南征北逃統一天下
[48:05] 學會在戰場上存活的法則
[48:07] 那希望可以一直跟著大漢的節目
[48:08] 一起共創孟股霸業
[48:10] 那非常感謝
[48:11] 下面一位
[48:12] 這個有點太長
[48:13] 雖然我們這邊不知道要用幾行去篩選
[48:16] 但這個太長就先跳過
[48:17] 下面一位
[48:18] bencentest
[48:19] 下面一位蔡品無
[48:22] 孟公粉絲來留言
[48:24] 請問挨大覺得2030年
[48:26] 特斯拉翻倍的機率高嗎
[48:27] 挨大還有補倉特斯拉倉位嗎
[48:29] 自己跟先生是保守型的投資人
[48:30] 除了特斯拉外只投大盤
[48:32] 希望可以趕快賺夠錢
[48:33] 靠定期定額投資將資產放大後退休
[48:36] 祝挨大全家平安健康
[48:37] 特斯拉我上次抄底
[48:39] 就是200多塊那一次
[48:40] 就是300多到280那一段有做抄底
[48:45] 然後後來就再也沒有再買進這一檔標的
[48:47] 就是因為不為夠了
[48:49] 除非他再上去我也再追
[48:50] 這一般可能就是要有變化
[48:53] 如果都停在同樣的地方的話
[48:54] 不會在同樣的一個地方買超多的部位
[48:56] 但我個人是蠻看好的
[48:57] 至於會不會在2030年翻倍
[48:59] 不知道這種事情太難講了
[49:01] 下面一位
[49:01] 投資體重穩長不迭
[49:03] 今天剛好生日就來留言看看
[49:05] 今年的運氣好到自己都不敢自信
[49:07] 如果有幸被唸到
[49:07] 我就來分享財運給大家
[49:09] 祝大家新年快樂
[49:10] 世事順心
[49:11] 股票彩券都獲利滿滿
[49:12] 恭喜這位兄弟
[49:13] 謝謝他分享他的歐氣給大家
[49:15] 下面一位
[49:16] Chia Yilin
[49:17] 感謝這個節目
[49:18] 從特斯拉800多到破千再分割
[49:21] 分享這麼棒的內容
[49:22] 祝全家健康平安
[49:23] 非常恭喜這位特斯拉長期持有者
[49:26] 那希望你一切順利
[49:27] 下面一位
[49:27] Alan Wang
[49:28] 孟公新年快樂
[49:29] 辦一個快樂寶貝
[49:30] 領口Tony
[49:31] 蔡問大哥
[49:32] 從無到有
[49:33] 如何研究一檔股票
[49:34] 已經把3653財報開啟了
[49:35] 上面好多數字
[49:36] 好像都很重要
[49:37] 但又好像都不重要
[49:38] 突破後跳上去打這招
[49:39] 他已經會了
[49:40] 還有別招可以教他嗎
[49:42] 感謝
[49:42] 那需要連其他三個概念股的財報
[49:44] 一起看嗎
[49:45] 還是怎麼做
[49:45] 那另外因為董事長跟CEO
[49:47] 也相當重要
[49:48] 如果說二代接手
[49:49] 像是Delta需要注意什麼嗎
[49:51] 那還是其實企業體質夠好
[49:53] 百克西瓜上去也可以
[49:54] 謝謝
[49:54] 那最後可以幫我評分
[49:56] 這個留言的快樂寶貝分數嗎
[49:57] 1到10分
[49:58] 十字最快樂愛你
[49:59] 不是我覺得敢跳上去追
[50:02] 然後還敢追一張
[50:03] 可能要兩三百萬的股票
[50:05] 我覺得說這個應該
[50:06] 快樂寶貝分數是蠻低的
[50:08] 而且又會自嘲
[50:08] 所以應該絕對不是快樂寶貝
[50:10] 那再來講說
[50:11] 3053財報需要去研究什麼東西
[50:13] 其實我覺得
[50:13] 怎麼講
[50:14] 這檔大家不會去看財報
[50:16] 在做交易
[50:16] 像我在節目跟大家分享的
[50:18] 什麼Stiffener跟
[50:19] 他要用的什麼
[50:21] 類似那種Ring的solution
[50:22] 或者說之後的MC
[50:23] 你在財報上你是看不到的
[50:25] 因為那都最新的東西
[50:26] 那都最新的東西
[50:27] 市場上在跟你競爭的
[50:28] 都是在看這些最新的東西
[50:29] 所以你在看財報
[50:31] 等於你在看一個
[50:32] 就是比較lag的東西
[50:33] 你可能可以看到
[50:34] 他們展望我提到說
[50:35] 他們要去做這些東西
[50:36] 可是這檔我覺得看財報不會贏
[50:38] 我真的覺得這檔做財報不會贏
[50:40] 然後再來說
[50:40] Delta二代接手
[50:42] 其實二代接手在臺灣
[50:43] 我覺得都算是好事吧
[50:44] 在我感覺是這樣子
[50:46] 臺灣反而是很多那種C-Suite的不願意退休
[50:49] 他就是媽的整天都還在握著公司
[50:51] 那四位可能還跟不上
[50:52] 我看到很多二代接手的感覺都還蠻不錯
[50:54] 至少以上是鬼來講
[50:55] 所以當然公司的制度好的話
[50:58] 白一顆西瓜上去應該也不會太差
[51:00] 他只要不要去亂做一些什麼大改動就好了
[51:03] 所以很多時候我覺得富二代最需要的是手
[51:06] 而不是去亂充
[51:07] 富二代不要整天想要創業搞現的東西
[51:09] 那個財富就可以守住
[51:10] 好那拜拜
