[00:00] 歡迎收聽谷外,我是孟公,本期節目由Cashback反多多贊助
[38:47] 我想說會不會最近一些團體跟機構
[38:49] 想說你沒有頭緒
[38:50] 怎麼近期的捐款越來越多
[38:51] 非常感謝大家都用
[38:54] 自己的能力範圍內的力量
[38:56] 來回饋社會一起幫忙
[38:58] 這個世界更加的美好了
[39:00] 就是我覺得很多時候
[39:01] 儘量不要去做一些
[39:02] 那種什麼呼籲的事情
[39:03] 那個是以前那種小朋友
[39:04] 最喜歡這樣做
[39:05] 呼籲大家一定要幹嘛
[39:07] 或者像是不知道
[39:07] 那種一些左載
[39:08] 也喜歡做類似的事情
[39:09] 整天都在什麼
[39:10] raise awareness
[39:11] 當然這個東西很重要
[39:12] 只是我覺得
[39:13] 真的下去做的人是最珍貴的
[39:15] 真的有做的人都是最偉大的
[39:16] 下面一位CH推個動畫
[39:19] 何宇和你新年快樂
[39:21] 下面一位Angela Cho
[39:23] 挨大您好
[39:25] 那我跟老公都是您的忠實聽眾
[39:27] 他是很久以前採訪過您的攝影記者
[39:30] 同時也是樂團貝斯手
[39:31] RT哦
[39:33] 是那個嗎
[39:34] Future After Second的RT嘛
[39:35] 因為我只記得這個貝斯手採訪過
[39:38] 然後後面還送我他的專輯
[39:39] 那去年因為任戴斷裂右腳開刀
[39:42] 樂團暫停演出了幾個月
[39:44] 那二月終於要回歸演出啦
[39:46] 請幫我祝老公演出順利
[39:48] 2月14號生日快樂
[39:49] 我跟兒子都愛你哦
[39:51] 你是最棒的老公還有爸爸
[39:52] 也祝來大家一家平安健康快樂
[39:54] 也祝你們全家健康快樂
[39:56] 那也希望老公的傷可以儘快的好起來
[39:58] 可以順利的演出
[39:59] 應該是阿提吧
[40:00] 還是有別人
[40:01] 那如果是別人的話
[40:02] 我不知道一時間想不起來
[40:03] 還要拿一些貝斯手採訪過
[40:05] 下面一位
[40:05] Tammy拜託唸叨我求求了
[40:08] 好想被唸叨
[40:09] 孟公您好
[40:09] 我是來自臺中的快樂寶貝Tammy
[40:12] 那我的男友是您的忠實天眾
[40:13] 您的節目陪伴我們每一段開車的時光
[40:16] 每次他都一定要聽完您的節目
[40:18] 他才肯聽我想聽的歌
[40:20] 那因為您的節目
[40:21] 加上他時不時的碎念與昂愛的教訓
[40:24] 那真的讓我在快樂寶貝的路上
[40:27] 受益良多
[40:27] 那2月7號是他的生日
[40:29] 想請您是否用馬斯克的聲音
[40:31] 我覺得你講過
[40:32] 馬斯克聲音很難學
[40:33] 因為雖然有特色
[40:35] 可是也其實沒有多少特色
[40:36] 那祝陳振軒
[40:38] Yeah
[40:38] Happy birthday
[40:39] Yeah
[40:40] Make money
[40:41] Make more money
[40:42] Yeah
[40:43] 就不像吧
[40:44] 可是他講話就是
[40:45] 要
[40:46] 愛他
[40:48] 謝謝他一直在照顧
[40:50] 最後也祝福您與家人
[40:53] 身體健康平安順行
[40:54] 非常感謝
[40:55] 一般會這樣
[40:56] 籤稱自己是快樂寶貝
[40:57] 都不會是快樂寶貝
[40:58] 快樂寶貝就是不知道
[40:59] 自己是快樂寶貝
[41:00] 才是快樂寶貝
[41:00] 下面一位
[41:01] 陳小瑜
[41:02] 希望捱打我老公跟Lisa仙女
[41:04] 可以找出最適合小朋友的生活方式
[41:06] 聽到學校改方針
[41:08] 可以想象超崩潰
[41:09] 真的超崩潰
[41:10] 也希望自己每天播出時間做功
[41:13] 可以績效大爆色
[41:14] 謝謝繼續做節目
[41:15] 感恩
[41:16] 非常感謝小魚的支援
[41:17] 對就有點像說
[41:19] 你本來規劃好的
[41:20] 一個完美的劇本
[41:21] 就是說
[41:22] 這邊不錯又離家近
[41:23] 可能學風又是你
[41:25] 支援你喜歡的
[41:26] 然後突然間人家跟你講說
[41:27] 沒有
[41:28] 現在學風驟變什麼的
[41:30] 然後我們就會覺得說
[41:31] 哇靠是不是要出事情了
[41:32] 但有可能我們真的想太多
[41:34] 只是我們就是習慣於
[41:36] 反正就是在事情發生前
[41:38] 就會先去找一些解方
[41:39] 就是我們比較不喜歡
[41:40] 去做被動的人
[41:42] 反正今天如果
[41:43] 我就已經識別到那邊有問題了
[41:44] 那我當然就先試著去找一些
[41:47] alternative solution
[41:48] 不一定我一定會走那種別的路
[41:50] 可是就是如果到時候真的
[41:52] 就要說發現說水土不符的話
[41:54] 我早就規劃好別的路線了
[41:56] 這個是我們喜歡做事的一個方式
[41:57] 所以其實真的還早
[41:59] 那只是就是會去提早想
[42:01] 因為我們聽說會開始變很硬
[42:03] 是國中以後的事情
[42:04] 還有好幾年還有七年
[42:05] 那只是對就是習慣都先把事情都想好
[42:09] 兄弟會拼音增
[42:11] 那孟公大大你好
[42:12] 身為你每集都有聽的忠實聽眾
[42:14] 很感謝不藏私的分享
[42:16] 最新的產業資訊跟生活點滴
[42:18] 第一次留言
[42:18] 想麻煩你祝我2月12號生日的老公
[42:21] 張欣欣同學能夠心情愉快
[42:23] 匆匆容容遊刃有餘
[42:25] 不被工作上的鳥事摧殘
[42:27] 那也祝孟公營收爆發
[42:29] 闔家平安喜樂
[42:30] 非常感謝這位聽眾的支援
[42:33] 那也希望你的老公可以
[42:35] 不被工作上的鳥事給纏到
[42:37] 一切平安健康
[42:38] 下面一位
[42:39] Charlene
[42:40] Aida你好
[42:41] 我是三重哈姆寶寶
[42:43] 雖然我是標準的氣氛仔
[42:44] 但每每聽到你分享日常瑣事跟QA
[42:47] 都是可以讓我笑到不行
[42:48] 想分享一個先生讓我感動的事情
[42:50] 有天我問他
[42:51] 為什麼不想跳到其他同業
[42:53] 讓薪資翻倍成長
[42:54] 他只回我
[42:55] 因為在兒子上國小以前
[42:57] 我都要準時下班
[42:58] 我想要每天陪他玩
[43:00] 當他最好的朋友
[43:01] 我感動了一下
[43:04] 當下我真的非常感動
[43:05] 覺得沒有嫁錯人
[43:07] 然後直南巧虎法力無邊
[43:09] 很多事情講了十年沒有用
[43:10] 但您的金口一開
[43:12] 先生立刻遵命
[43:13] 然後Lisa的IG文字內容超帥
[43:16] 我好喜歡
[43:16] 那最後祝福直南巧虎一家人
[43:19] 平安健康快樂
[43:20] 首先這個老公非常的偉大
[43:22] 那我也向他看齊
[43:23] 希望這個學長的力量
[43:26] 可以保佑我們這些後輩
[43:28] 有時候持續的去往
[43:29] 更好的一個家長的路上前進
[43:31] 我覺得這是非常好的觀念
[43:33] 我自己老實講
[43:34] 就是我假設在一般的企業上班
[43:37] 就是要打卡的那一種
[43:38] 那我今天知道有一個地方薪水比較好
[43:41] 我會不會做出一樣的決定
[43:43] 我老實講我不敢很有自信的說一定會
[43:46] 因為我也沒有體驗過
[43:47] 我也不知道
[43:48] 可是我覺得說
[43:49] 因為那是一個不容易做出來的決定
[43:51] 所以只能夠說老公是非常厲害
[43:54] 有兩把刷子
[43:55] 然後再講說我老婆的IG文字內容超帥
[43:58] 帥意思是講說她蠻衝的是嗎
[44:00] 我跟妳講她那個衝是已經被我修飾過
[44:02] 所以當然我不會去跟他講說什麼
[44:04] 手機拿了我幫你發文
[44:05] 只是他就從我說
[44:06] 我可以這樣講嗎
[44:07] 我就說不要
[44:07] 那個要改掉
[44:08] You will offend some people
[44:10] 我就說這個臺灣人
[44:11] 一直不喜歡聽到
[44:12] 因為我知道有些臺灣人
[44:13] 我們大家都知道
[44:15] 反正就是臺灣人
[44:16] 不喜歡別人講臺灣的不好
[44:17] 但其實對他來講
[44:18] 他說沒有
[44:19] 我也會講我們西班牙的不好
[44:20] 我也會講說
[44:21] 可能我家在羅馬哪裡不好
[44:22] 我說臺灣人不一樣
[44:23] 臺灣人很討厭你講
[44:25] 他們哪裡不好
[44:25] 所以你不要講他們不好
[44:26] 你不用去捧A踩B
[44:28] 你不用去做這種比較
[44:30] 你就是你要講別人好
[44:31] 我就講邊好你不用去拿
[44:32] 你這邊來比較
[44:33] 因為你會給人家幹
[44:34] 我會跟他講說
[44:35] 各地有自己的風土民情
[44:37] 他說奇怪了
[44:38] 我講西班牙爛的時候
[44:39] 我也覺得沒差
[44:40] 可是為什麼臺灣人會在意
[44:41] 我說臺灣人都會在意
[44:42] 所以後來他自己有發現
[44:43] 他有發現說
[44:44] 就像我們家裡一些長輩
[44:45] 很多時候跟他講說
[44:46] 什麼臺灣多好之類的
[44:47] 他講說對啦是不錯啊
[44:48] 可是老實講你講的東西
[44:50] 我們的國家也有啊
[44:51] 又不是說什麼只有你們有
[44:52] 所以他就會有這樣的一些思維
[44:54] 我就跟他說
[44:54] 你不要跟他起衝突
[44:55] 他以前就會跑到那種地方社群
[45:01] 我會嘴疏他喔
[45:02] 幹媽的講母語的嘴疏人家
[45:04] 因為你知道地方社群有很多那種
[45:06] 沒事找事做
[45:07] 我跟你講會整天在地方社群發文的
[45:09] 除了管理員之外
[45:10] 我覺得就基本上就快樂寶貝了
[45:11] 就是快樂寶貝
[45:12] 就是那種
[45:13] 不知道你路見不平
[45:14] 你也不爽
[45:15] 那你也不敢當面跟人家講
[45:16] 就整天要PO在那邊公審
[45:17] 然後你知道你那個公審也沒有意義啊
[45:18] 你也抓不到人家是誰啊
[45:19] 你就只是心中爽
[45:20] 跟很多人在做這樣的事情
[45:21] 然後有時候就是
[45:23] 怎麼講就挑戰到Lisa的價值觀
[45:24] 她之前就跑去跟人家吵架
[45:25] 然後後來就被我退群
[45:26] 因為我就發現說
[45:27] 跟他跑來跟他吵架
[45:28] 然後還吵一個人家
[45:29] 然後人家就跑來密我說
[45:30] 這你老婆
[45:31] 你不是網紅嗎
[45:32] 你不是什麼
[45:33] 你要管管你老婆吧
[45:34] 那一般是這樣子
[45:35] 你好好跟我講說
[45:37] 你老婆讓我受傷了
[45:38] 我還好跟你講
[45:39] 他這樣跟我講的時候
[45:40] 我當時候是直接
[45:40] 操爆他全家
[45:41] 因為類似說你就出來單挑
[45:42] 部長就出來單挑類似這樣
[45:44] 然後就是把他講到他也受不了
[45:46] 因為假帳號
[45:46] 我也知道說他是沒有什麼能力的人
[45:48] 才會在那邊嘴砲
[45:49] 然後他就講說
[45:50] 反正就是要對我們小孩不利之類
[45:51] 所以後來我就跟他講說
[45:52] 你講話要稍微收斂一點
[45:54] 那個限動
[45:54] 我知道唱首預言很爽沒錯
[45:57] 可是某個程度上
[45:58] 我們家在抿
[45:58] 人家在按
[45:59] 所以你不要去
[46:00] 抽動人家敏感神經
[46:01] 很多時候你就是
[46:02] 怎麼講
[46:03] 就是說一些很不爽的事情
[46:04] 你會覺得說不吐不快
[46:06] 可是老實講
[46:06] 你吐也沒有辦法改變什麼事情
[46:07] 你就只是展現說
[46:09] 你可能很有個性
[46:09] 所以你還是稍微的
[46:10] 就是為了我
[46:11] 或者說為了小朋友
[46:13] 就收斂一點點
[46:14] 雖然我自己的節目
[46:15] 也會去噴人家
[46:15] 可是我自己會注意那個尺度
[46:17] 就不會噴到人家
[46:17] 會覺得說
[46:18] 靠北我現在要拿命跟你拼
[46:22] 但我覺得人家真的會受不了
[46:23] 想要拿命給他評
[46:24] 所以他那個是有調整過
[46:26] 但我不希望去做太多限制
[46:28] 只是還是要告訴他
[46:29] 說我們有一些那種風土民情
[46:30] 你要去稍微尊重一下
[46:32] 就避免自己羅站有些麻煩
[46:33] 整天給人家燒也不是什麼好事情
[46:35] 下面一位
[46:36] E-SIM
[46:37] 哈嘍 孟公
[46:38] 感謝你的podcast
[46:39] 讓我去年第一次進場
[46:40] 臺股跟澳洲的ETF
[46:41] 這半年的績效13%
[46:43] 我會在澳洲持續推朋友一起天眼的節目的
[46:46] 祝你全家幸福快樂
[46:48] 健康馬格
[46:49] 其實我覺得這個Spotify
[46:51] 有一點蠻不錯
[46:52] 就是挺國際化的
[46:53] 所以我們從前面幾集Spotify留言到現在
[46:56] 都有各地的聽眾
[46:57] 確實我們的聽眾
[46:59] 雖然臺灣的佔比是最大
[47:00] 可是也一大堆美國人
[47:02] 然後在日本
[47:02] 然後在很多地方都有聽眾
[47:04] 所以可以去聽到他們的聲音
[47:06] 我覺得也蠻不錯的
[47:06] 下面一位
[47:07] 楊乙居MK大大
[47:09] 您好小弟
[47:10] 我從2021年開始聽您的節目
[47:12] 導正我非常多的股票知識
[47:14] 讓我更有能力去支援自己老婆
[47:17] 跟兩個寶貝女兒的愛好
[47:18] 有選擇的能力真的很舒服
[47:20] 自知應該是沒有機會請您吃頓飯
[47:23] 只好買張芝麻豆腐作為感謝
[47:25] 愛您
[47:25] 非常感謝支援綿豆腐
[47:27] 綿豆腐的老闆
[47:29] 這個張先生呢
[47:30] 是我們最早期的sponsor之一
[47:32] 所以他有會員在
[47:33] 很早就發現說
[47:34] 這個節目有料會有人聽
[47:36] 所以就直接拿那個新臺幣來支援我
[47:38] 希望我可以一直做下去
[47:39] 然後後來我們的事業跟他的事業
[47:42] 都是一起在成長
[47:43] 然後最近看到在中國那邊
[47:45] 有人在盜版他的綿豆腐
[47:47] 就是你做得夠好
[47:48] 對方就想要盜版你的東西
[47:49] 這也是一種肯定
[47:50] 雖然一定是很煩惱
[47:51] 但總是非常感謝
[47:53] 這個宜居的支援
[47:54] 也希望你平安健康
[47:56] 下面一位
[47:56] 竹北臺原地富林
[47:58] 孟公我老公
[47:59] 去年的祝福爸爸
[48:01] 名字叫阿錢
[48:03] 那今年更正一下
[48:05] 他的綽號是阿甘
[48:06] 請孟公老公
[48:07] 用川普的聲音唱一句
[48:09] Wish you a best happy birthday
[48:11] To the uncle
[48:12] 阿甘
[48:13] Sounds like Forrest Gump
[48:14] I know Forrest Gump
[48:15] Such a wonderful person
[48:16] 那下面一位
[48:17] Terrorist
[48:18] 靠北
[48:18] 他那個頭像放那個Ricardo Marlos
[48:21] 好像是念這個名字吧
[48:22] 反正就是那個紅色頭巾
[48:24] 然後在那邊跳舞拍gay片的
[48:26] 孟公好
[48:26] 我喝冰淇淋
[48:27] 下面一位
[48:27] Mia Huang
[48:29] 天哪
[48:30] 身為常年安卓粉
[48:31] 終於有機會留言了
[48:32] 想借助金口告訴辛苦工作的老公三一
[48:36] 希望他能夠早點休息
[48:37] 不要每天都那麼累
[48:38] 那也祝主一家天天平安開心
[48:40] 我們希望他可以多多休息
[48:42] 下面一位
[48:42] Henry
[48:43] 挨大孟公
[48:44] 您好
[48:45] 第一次留言
[48:45] 自從上研究所後開始收聽半年的
[48:48] 現在已經變成忠實的聽眾
[48:50] 很感謝您陪伴我
[48:51] 度過無數個假日騎車
[48:52] 來回桃園臺北的日子
[48:54] 那最近一個小煩惱
[48:55] 是我發現我看劇
[48:56] 看電影看不完一集
[48:58] 就想要關掉做其他事情
[48:59] 明明都是別人推薦的好劇
[49:01] 像是絕命律師
[49:02] 哈利波特之類的
[49:03] 那請問孟公有類似的經驗嗎
[49:05] 是如何解決呢
[49:05] 希望可以唸到我愛你
[49:07] 我覺得哈利波特會跳過的話
[49:08] 這個可能不知道
[49:10] 人格有問題吧
[49:11] 哈利波特很棒
[49:11] 但如果說絕命律師的話
[49:13] 可以理解
[49:13] 絕命律師也是很不錯的作品
[49:15] 可是就是說他沒有這麼的緊湊
[49:17] 所以也沒有這麼像
[49:19] 哈利波特的腦洞大開
[49:20] 有一些那種科幻的情節
[49:21] 所以就會變成說
[49:22] 你可能有別的事情要做的話
[49:24] 你就會想要跳過
[49:25] 你就會想要去分心
[49:26] 像絕命毒師我覺得也是
[49:28] 他特別是前面前幾集
[49:30] 或者說他老婆出現了急速
[49:31] 你真的會想要去做別的事情
[49:32] 你真的受不了那個女的
[49:34] 所以我覺得這蠻正常
[49:36] 像我也會
[49:36] 我比你更誇張
[49:37] 我會去先查劇透
[49:38] 劇透查了之後
[49:39] 發現沒有驚喜
[49:40] 我連看都不想看
[49:40] 只是我最近有試著去改變這件事情
[49:42] 試著去
[49:43] 我覺得因為現在節奏太快
[49:45] 然後太多東西可以分開我們的注意
[49:46] 所以大家都想要去
[49:47] 拿那種很快的刺激
[49:49] 我覺得腦袋有點被養壞掉
[49:51] 所以試著慢慢去看它
[49:52] 但是我只能夠說
[49:53] 你不孤單
[49:54] 只是這個東西儘量把它修正好
[49:55] 不然以後都很難獲得樂趣
[49:57] 那再見
[49:57] 拜拜
