[00:00] 欢迎收听谷外,我是孙梦宫,本集节目由NordVPN赞助
[38:46] 说不上为什么
[38:47] 我变得很主动
[38:49] 我爱上一个人
[38:50] 什么都会值得去做
[38:52] 甘思琴草莱
[38:53] 河边的风
[38:54] 在吹着头发
[38:55] 飘东
[38:56] 就像简单爱古来的优质好节目
[38:59] 因为凭证英雄的
[39:00] 逻辑魔法师家人们
[39:02] 及逝了猛攻老公
[39:04] 那请老公用猛男的声音
[39:06] 带惊喜感
[39:06] 那祝福逻辑魔法师的家人们
[39:09] 5月17号
[39:10] 生日快乐
[39:10] 我一定好饭店要庆生
[39:12] 谢谢孟公
[39:13] 老公我爱你
[39:14] 下面一位
[39:14] 谭肯奇
[39:15] 发疯了
[39:16] 严厉斥责
[39:16] 猛攻情报
[39:17] 用川普的声音说
[39:18] I like China
[39:20] 那这里的3K真好玩
[39:22] 下面一位Bonnie Pitt
[39:23] 你的好邻居
[39:24] 孟公家你好
[39:25] 我的生活圈跟你几乎重叠
[39:27] 超常遇到你和你的家人
[39:28] 很常早上带狗狗散步
[39:30] 都会看到你老婆带着小儿子散步
[39:32] 但都没有你
[39:33] 想说你是不是去打网球
[39:34] 那这次留言也没有要说什么
[39:35] 只是觉得为什么你业配情趣用品
[39:37] 感觉特别有灵魂
[39:38] 那代表你特别喜欢
[39:39] 对就是我们的大楼里面
[39:42] 好像有蛮多是
[39:43] 自己的地方听众
[39:45] 对就是有时候
[39:46] 生活习惯就被掌握
[39:47] 不然说被发现说
[39:48] 早上都会
[39:49] 没有扮演好父亲的角色都不见
[39:51] 因为在家看股票
[39:52] 工作是要搞股票
[39:53] 所以早上开盘时间
[39:54] 就会乖乖待在家里
[39:56] 下面一位
[39:57] Latazi
[39:58] 原来年轻人还会喝葡萄酒
[40:00] 五星吹捧
[40:00] 从2020转到现在
[40:01] 比起听爱大讲投资
[40:03] 我更兴奋听到你讲
[40:04] Burgundy跟五大酒庄
[40:05] 身为专业的进口酒商
[40:07] 听到你开始收集葡萄酒
[40:08] 我所有的开瓶器
[40:09] 都快按捺不住了
[40:10] 只要爱大需要进口商
[40:12] 老听众随时可以带命
[40:13] 帮你配置酒精资产
[40:15] 酒菜可以不当
[40:16] 但好酒不能不喝
[40:18] DESA万岁
[40:19] 挨大球翻牌
[40:19] 百普罗酒业
[40:21] 待醉酒的小职员
[40:22] 非常感谢这位听众
[40:23] 其实在我跟大家分享之后
[40:25] 就有蛮多各路的酒商
[40:27] 或是一些快乐好朋友
[40:28] 要来协助我
[40:28] 其实我们也就是找
[40:29] 我们林口在地的
[40:30] 一个叫做酒酒专饭所的
[40:32] 他们其实是做威士忌生意的
[40:33] 后来就是因为
[40:34] 我注意到他们有卖一些清酒
[40:36] 所以那时候清酒
[40:37] 就是整天去找他买
[40:38] 然后后来我就问他说
[40:38] 你有没有可能帮我叫红酒
[40:40] 然后接着我就整天
[40:41] 开一堆菜单给他
[40:42] 他都会帮我把东西找回来
[40:43] 非常屌非常厉害
[40:44] 而且还会持续的去开发新的方式
[40:46] 去帮我拿到
[40:48] 可能更加便宜的货源或什么的
[40:49] 然后跟一些专业代理
[40:51] 或是专业进口比起来
[40:52] 他们真的是非常非常的厉害
[40:53] 所以我后来都找他
[40:54] 那当然如果各位听众
[40:56] 因为我老婆说
[40:57] 我三个月内会退坑
[40:58] 我不晓得
[40:58] 但如果说我没有退坑的话
[40:59] 当然多多益善
[41:00] 大家要帮我推东西
[41:02] 要帮我找东西
[41:02] 我都非常感恩
[41:03] 像最近的话
[41:04] 就是那个乐花的代理
[41:05] 就问我说
[41:06] 你要不要来参加我们的品酒会
[41:07] 我应该有机会去报名试看看
[41:09] 那我也觉得蛮有意思
[41:11] 因为以前都不知道说
[41:12] 原来乐花在台华代理
[41:13] 所以我买的都是从什么日本
[41:14] 或是从哪里去搞来这样
[41:16] 然后发现说
[41:16] 品酒会这种东西也蛮不错的
[41:18] 为什么
[41:18] 因为就像说
[41:19] 像你要我去买那种Grand Cru
[41:20] 然后超贵的
[41:21] 我可以接受
[41:21] 因为我知道说Grand Cru
[41:22] 就是你的整个
[41:24] 那个portfolio里面最顶的
[41:25] 所以我花最顶的钱
[41:26] 去买最顶的东西
[41:27] OK
[41:27] 可是你要我花
[41:29] 可能十二十万
[41:30] 然后去买一个村庄级的
[41:32] 或者说什么一级元的
[41:35] 我心里过不去
[41:36] 但是看到这种品酒会
[41:37] 可以一次喝到这么多
[41:38] 然后只要付一点钱
[41:39] 这个我就超级喜欢
[41:40] 所以或许会想试看看
[41:42] 对
[41:43] 我觉得就是目前品酒这件事情
[41:44] 对我来讲是还蛮好玩的一个体验
[41:47] 但我真的是有可能就是在
[41:49] 不知道就一两个月之后
[41:50] 就全部都走完一轮之后
[41:51] 我就隐退之后
[41:52] 这是有机会的
[41:53] 但目前是觉得真的是还蛮有趣
[41:55] 蛮好玩的东西
[41:56] 那下面一位
[41:57] 以前不常吃家天天吃
[41:58] 旧朋友还是害朋友
[42:00] MK大好
[42:01] 我朋友这段时间当充
[42:03] 不管做多做空都是赔钱
[42:04] 威力超猛
[42:05] 那今天来跟我们借钱
[42:06] 才得知他已经赔了上百万
[42:08] 把新房的头款都赔掉了
[42:10] 那现在他为了不被老婆发现
[42:11] 要到处借钱去补这个大洞
[42:13] 但同时间又继续陷入
[42:14] 当冲下一把要赢回来的死亡循环
[42:17] 那苦劝朋友他已经深陷进去了
[42:19] 但看着他老婆po文
[42:20] 说期待人生的第一间房
[42:22] 觉得替他难过
[42:23] 很想要跟他老婆讲
[42:25] 早点阻止
[42:25] 不要让这个事情越来越严重
[42:27] 但讲了感觉会失去这位好朋友
[42:29] 但不讲又感觉过一段时间
[42:30] 会上社会新闻
[42:31] 那请问老大您会怎么建议
[42:34] 这个超难
[42:36] 这个超难
[42:36] 其实我真的非常讨厌烂毒鬼
[42:39] 因为像以前盘不好的时候
[42:40] 真的会有听众跑来跟我借钱
[42:42] 我觉得超屌的
[42:43] 就是你是觉得
[42:45] 妈我是开慈善机构是不是
[42:47] 然后再来就是
[42:47] 你这么烂
[42:48] 你怎么觉得我会借你钱
[42:50] 大家借钱一定是
[42:51] 就像银行一定是他妈的
[42:52] 雨天收散的
[42:53] 我知道你要嘎不过去
[42:55] 我还给你更多钱
[42:56] 然后赔死
[42:56] 我怎么可能这样做
[42:57] 所以除非我很好的朋友
[42:59] 不然我不可能
[43:00] 就是我知道说你的妈大烙赛
[43:02] 然后我还要去帮你
[43:02] 所以你各位也是要一样的想法
[43:04] 就是你知道这个人的trend record
[43:06] 就是跟大便一样
[43:07] 你怎么还会借他钱
[43:07] 然后再来是
[43:08] 这是一个怎么讲
[43:10] 就是说要借钱
[43:11] 有太多管道的社会了
[43:13] 现在有这么多管道可以借钱
[43:15] 所以如果说一个人
[43:16] 他必须要跑来跟你借钱的话
[43:18] 代表他的整个信用的评价跟状态
[43:20] 一定是奇差无比
[43:22] 他才需要走到这一步
[43:23] 那一样江湖还是会救急
[43:25] 如果说一些好朋友
[43:26] 要来跟你急用的话
[43:28] 还是会寄
[43:28] 那只是绝大多数的情况之下
[43:30] 特别是我已经借过太多次
[43:32] 然后钱都不会回来
[43:33] 那你也知道说你钱借出去
[43:34] 很好笑
[43:34] 你借他钱你是他的大爱
[43:36] 你借他之后
[43:37] 他变成是你的大爱
[43:38] 你要跟他求
[43:39] 他不一定会还你
[43:40] 或什么的
[43:40] 所以这是一个很难的事情
[43:42] 我之前跟大家讲这个
[43:43] 然后后来有人帮我分享出去
[43:45] 然后就下面有人讲说
[43:46] 他一定没有借过人家钱
[43:47] 他就不要哪一天削别
[43:48] 然后我想说
[43:49] 我们这些fucking loser
[43:50] 你们根本不知道
[43:50] 你们在讲什么
[43:51] 这个世界上就是有很多
[43:52] 不知道自己在干嘛的人
[43:53] 然后整天在网络上
[43:55] 畅所欲言
[43:56] 但我用我自己的经验
[43:57] 跟大家分享
[43:58] 因为真的是遇过太多次
[43:59] 我还是觉得
[44:00] 朋友之间
[44:01] 特别是当一个人来跟你借钱
[44:03] 但还是要强调
[44:04] 如果是很好的朋友
[44:05] 我也觉得你就是要帮他一把
[44:06] 但你已经知道他在做这种
[44:08] 就沉沦的事情了
[44:10] 是我的话
[44:10] 我不可能在借你钱
[44:12] 然后让你再继续赔下去
[44:13] 我会我妈我帮你创个业
[44:15] 你要不要看你去卖个什么东西
[44:16] 我投资我让你去做
[44:18] 我用别的方式帮你拉出来
[44:19] 因为不会的就是不会了
[44:21] 你再给他多余钱
[44:22] 他还是不会了
[44:23] 不要去相信这种用out的
[44:24] 你可能偶尔会在网上
[44:26] 看到一些声称自己什么
[44:28] 曾经破产过
[44:29] 然后后面赚回来的
[44:30] 那个叫做凤毛麟角
[44:31] 那个可能不知道
[44:32] 比那个可以钻进去受精卵的
[44:34] 那个金虫还要来的少
[44:35] 所以就尽量不要去做这种事情
[44:38] 因为你也帮不了他
[44:39] 你钱给他他还是在把他赔掉
[44:41] 然后接着你们也当不成朋友了
[44:42] 就很麻烦
[44:43] 但是你今天跑去当廖北亚的话
[44:44] 感觉你也是当不成朋友
[44:45] 我觉得最好的方式就是
[44:46] 赶快把他拉出来
[44:47] 看我们办法
[44:48] 就不要让他再继续赌下去了
[44:49] 他就是这种赌狗心态
[44:51] 现在想要把他拗回来
[44:51] 这种一般就是只会在更惨
[44:53] 下面一位
[44:53] Kuroto TW FT
[44:55] 想要找到好工作
[44:56] 祝福孟公事事顺心
[44:58] 希望孟公大大用自己的声音
[45:00] 祝福FT找到理想的工作
[45:01] 面对之前的工作职场霸凌
[45:03] 实在是身心俱疲
[45:04] 下定决心要离开之后
[45:06] 有一种松一口气的感觉
[45:07] 但也在下班的路上爆哭了好多次
[45:10] 那还要面对寻找下一次工作的未知数迷惘
[45:13] 我也没有我自己想象的强大
[45:15] 还有家人目前都支持我
[45:17] 那谢谢每周的梦工陪伴
[45:20] 好那我们先祝FT可以顺利的找到工作
[45:23] 那我必须告诉你
[45:24] 就是以这个稍微过来人的经验
[45:26] 虽然我吃头路的经验也没有到很长
[45:29] 但是我也遇到跟你一样的事情过
[45:31] 也有迷惘过
[45:31] 我曾经说
[45:32] 人生后面有更多
[45:33] 更坎的事情等着你
[45:35] 因为换工作
[45:36] 所带来的忧郁跟惆怅
[45:38] 在人生的一个
[45:39] 痛苦的排行
[45:40] 我认为一定是排在超级后面
[45:42] 我一定是超级后面
[45:43] 后面有更多更痛苦的事情
[45:44] 虽然你知道
[45:45] 我老婆很常说
[45:46] 我不会安慰别人
[45:47] 对啊
[45:47] 就是你现在就需要一个安慰
[45:48] 然后再跟你讲说
[45:49] 最惨的还在后面
[45:51] 但对
[45:52] 臭直男就长这样
[45:53] 所以我就说
[45:54] 你们一定要嫁八嫁九
[45:55] 嫁八嫁九
[45:56] 它会给你满满的情绪价值
[45:58] 他会勾着你拍照上传
[46:00] 用那种蛇精滤镜说
[46:01] 你就是我的妹
[46:02] 照顾你一辈子
[46:04] 挺你到底
[46:04] 你老板是哪一个
[46:05] 干 叫他出来输赢
[46:06] 开车过去C300
[46:07] 然后什么棒球棍抽出来之类的
[46:09] 不然我这集一直在讲八阿九
[46:10] 但我真的觉得八阿九
[46:11] 他们有一些人格特质
[46:12] 扣掉那种陈胸斗痕
[46:13] 或什么有的没有的
[46:14] 他们是一群蛮踏实的人
[46:16] 所以为什么他们交配机会
[46:17] 是比较高一点
[46:17] 我已经不知道在讲什么
[46:18] 反正总之
[46:19] 希望你可以找到理想的工作
[46:21] 其实有家人相挺是非常好的
[46:24] 我真的觉得在这种时间点
[46:25] 有家人可以站在你的背后
[46:27] 然后告诉你说
[46:27] 没关系回家
[46:28] 爸爸就会有东西给你吃
[46:30] 就像我爸妈也跟我讲这个
[46:31] 以前都会说
[46:32] 你不管是什么失业
[46:34] 或是什么出事情
[46:34] 还是有一天什么股票赔时
[46:36] 没关系你回家
[46:37] 就至少家里会有饭吃
[46:38] 要借钱给你没门
[46:39] 但是家里会有饭吃
[46:41] 光这样子就是一种安定剂
[46:43] 所以希望你可以平安顺利
[46:45] 像一位TK力
[46:46] 孟公安
[46:47] 当AI生产力泛滥
[46:48] 到处都是AI生产的垃圾文
[46:50] 也许这个时候品位的重要性
[46:51] 就会被杠杆放大
[46:52] 就像是以前的支部机时代
[46:54] 强调的是个人差异化的知法
[46:56] 服装设计师因为产量的问题
[46:58] 跨入门槛高
[46:59] 而当生产力解放之后
[47:00] 个人的设计工作室
[47:01] 跟差异化的美学设计发生质变
[47:03] 那记者看起来会被AI取代
[47:05] 不过取代的应该是
[47:06] 撰写文字的重复性工作
[47:08] 那能否追到对的人
[47:11] 问到对的问题
[47:12] 这个需求永远都不会消失
[47:13] 想法有点发散
[47:14] 不过总的来说
[47:15] 受到孟宫的启发
[47:16] 赞同科技的进步
[47:17] 则会带来更高质量的工作机会
[47:19] 大家一起听古来
[47:20] 一起变成更有品位的人
[47:21] 我完全认同这句话
[47:22] 就有点类似
[47:23] 那个Janson的说法
[47:24] 他就说
[47:25] 你其实去解决的是coding
[47:26] 你并不是解决
[47:28] 开发出一个好的software产品
[47:30] 你还是必须要去开发出
[47:31] 一个好的产品
[47:32] 那才是重点
[47:33] 只是你让这个过程
[47:34] 变得更轻松了
[47:35] 所以一样
[47:36] 就是工业化并没有去抹除掉
[47:38] 什么人类对于
[47:39] 制品衣服的一个需求
[47:40] 它只是就加速了
[47:41] 那会产生一些质变
[47:43] 会让里面的资源的分配
[47:45] 会开始产生一些变化
[47:46] 可能说
[47:47] 很多东西都可以交给机械
[47:49] 所以设计就变重要了
[47:50] 或什么的
[47:50] 但当然一段时间之后
[47:52] 又会产生一些新的变化
[47:53] 就类似说像那些快时尚的出来
[47:54] 又产生新的一些变局
[47:56] 但总而言之
[47:57] 就是我觉得科技的进步
[47:59] 看法跟你一样
[47:59] 它是让生产力去做药生
[48:02] 但是怎么样去做出一个好的产品
[48:05] 怎么样去解决人的问题
[48:06] 怎么样去满足人的需求
[48:09] 这个是不会改变的
[48:10] 所以现在有很多AI的工具
[48:12] 没错
[48:12] 那就像我们最常问大家的一个问题
[48:14] 所以你的产品到底在哪
[48:16] 你的shipment到底在哪里
[48:17] 每个人都说自己有传说厨具
[48:19] 到底传说料理在哪里
[48:21] 这个就还蛮有意思的
[48:22] 大家都会注意到
[48:23] 其实并没有所谓的传说料理
[48:24] 大量的被端出来
[48:26] 因为会解决事情的
[48:27] 终究还是那一部分的少数人
[48:29] 会有一些洗牌或什么的
[48:30] 但大家其实要努力的是
[48:33] 如何去解决大家的问题
[48:34] 而不是整天沉溺在焦虑里面
[48:36] 然后被一些焦虑商人
[48:38] 把你的钱赚走
[48:38] 我觉得很多在打这些AI焦虑的
[48:41] 他最后面下面就是要告诉你
[48:42] 他要卖一个AI课程
[48:43] 你去看一下是不是都是长这个样子
[48:45] 下面一位
[48:45] 拥抱开心
[48:46] 0050的FCN定期票据
[48:49] 这个不太想回答
[48:51] 这个FCN相关的东西
[48:53] 特别是你可以去搞到FCN的
[48:55] 就是所谓的专业投资人
[48:57] 所以你们应该就自己判断
[48:58] 我们不想去
[48:59] 去回答太多那种衍生金融品
[49:02] 我就跟大家讲
[49:02] 就保守的做0050
[49:04] 就是最适合大家
[49:05] 你要进阶
[49:06] 你要搞股票
[49:06] 要搞题材的
[49:07] 可以听我们节目找一些灵感
[49:09] 可是千万不要去玩一堆那种
[49:11] 叠床嫁物的东西
[49:12] 那当然他一定有一些
[49:13] 他的利跟弊
[49:14] 我也懒得去分析
[49:15] 反正我们就是
[49:16] 尽量让自己的投资交易
[49:17] 简单一点
[49:17] 大概这样
[49:18] 先语为
[49:18] 新手快乐吧
[49:20] 工作毫无动力的社畜
[49:22] 那请问孟公
[49:24] 如果战争还是没有落幕
[49:25] 到时候六月份
[49:26] 是不是没有油可以用
[49:27] 不知道孟公
[49:28] 对这个部分的风险评估
[49:29] 那另外也请孟公用
[49:30] 摇滚丝猴的云包
[49:32] 祝我的女儿小猪
[49:34] 不像
[49:37] 老婆雅文
[49:37] 永远青春美丽
[49:38] 祝大家一家平安
[49:39] 无事爱你
[49:40] 我不是很早就跟大家讲说
[49:41] 战争早就顿化了吗
[49:43] 忘记一两个月前
[49:44] 就跟大家讲这件事情
[49:45] 所以那个是我们对盘的一个敏感度
[49:47] 就是我们看到一些状况
[49:49] 看到一些反应
[49:49] 你这个地方该涨
[49:50] 有油价该喷没喷
[49:52] 那应该就动画了
[49:53] 所以即便他后面还是有在打
[49:54] 那股市就照喷
[49:55] 所以我觉得这已经不是什么重要的话题了
[49:57] 好 大家再见
[49:57] 拜拜
