[00:00] 欢迎收听谷爱,我是孟公,本集节目由NordVPN赞助
[40:21] 就很多时候他们跑来问我一些
[40:22] 什么生涯那种很长远的规划
[40:25] 或者说什么
[40:25] 投资是不是在大学就要开始很认真做
[40:28] 我都说你好好去体验人生
[40:29] 因为其实买到东西
[40:30] 你之后再回头去体验
[40:31] 那个感受是完全不一样
[40:33] 然后再讲说
[40:33] 红眼路笔团队相关的故事
[40:35] 我刚刚有转贴一篇包子
[40:37] 包子是谁
[40:37] 包子就是九日的制作人
[40:40] 就是赤足游戏的共同创办人
[40:42] 他有写一篇
[40:43] 关于他是怎么样去接触这些团队
[40:46] 辅导他们
[40:46] 然后把游戏做出来
[40:47] 那我们算是在相对后期
[40:50] 就是当知道说
[40:51] 有一些这种资金的需要
[40:53] 我们才开始去做介入的
[40:54] 所以像我自己跟伟盛
[40:56] 我们就是那种网友的状态
[40:58] 那我自己也会希望说
[40:59] 其实没有意外的话
[41:00] 会继续的维持网友的一个状态
[41:02] 因为我们不希望
[41:03] 一直去反这些团队
[41:05] 你现在在做什么
[41:06] 来跟我分享
[41:07] 跟我谈
[41:07] 没有啦
[41:07] 我们就是很阿萨利
[41:08] 反正我喜欢你的作品
[41:10] 那我想要支持你
[41:11] 钱丢下去
[41:12] 我们就是在背后默默的相挺
[41:14] 在背后默默的推广
[41:16] 所以未来跟这些创办人
[41:17] 没有意外的话
[41:18] 应该也是会维持这种
[41:19] 萍水相逢的关系
[41:21] 除非说可能有哪一款游戏
[41:22] 他真的是很需要我们下去跟他聊
[41:25] 像我自己有跟一些创办人
[41:27] 有那种比较深入交流的
[41:29] 可是一般来讲
[41:29] 我们就是在他们有提出要求之前
[41:31] 我们比较不会自己去做
[41:33] 这种太多的
[41:34] 你知道要去找人家聊天
[41:35] 他就没有时间
[41:36] 你知道他们家超辛苦
[41:37] 这个游戏上线
[41:38] 我们在那边享受
[41:39] 在那边体验的时候
[41:40] 他们团队是没有在睡觉的
[41:42] 为什么
[41:42] 他们就是随时在那边盯着说
[41:44] 有没有一些bug的出现
[41:45] 目前是没有什么那种恶性的bug
[41:47] 只是说有一些那种小bug跑出来
[41:49] 或是有一些玩家在体验
[41:50] 那种立刻的feedback
[41:52] 他们就要立刻去做处理
[41:53] 那连睡觉都不睡
[41:55] 我觉得超厉害的
[41:56] 所以当我们站在开发者这一面去看的时候
[41:58] 你就会发现说
[41:59] 真的是一切得来不易
[42:00] 以前可能玩个游戏
[42:01] 然后不爽那边干人家
[42:03] 想说老子花钱是大爷
[42:04] 未来我对于各种开发者
[42:06] 其实我不是那种人
[42:07] 但我是说
[42:07] 即便我不是那种人
[42:08] 我未来也会更加的去尊重这些开发者
[42:11] 因为当你站在他们的角度
[42:12] 去看事情的时候
[42:13] 就会知道说
[42:13] 世间的一切真的都是得来不易
[42:16] 如果想要去了解他们的故事的话
[42:17] 可以去看包子那一篇文
[42:18] 他们有写出这样子的一些相关的讨论
[42:22] 下面一位
[42:23] 韩国人不要再赌博了好吗
[42:24] 虽然跌到狗吃屎
[42:26] 还是看好功率半导体
[42:27] 像是ON ADI VSH VICR
[42:30] 尤其看好ON台股布局强茂德威等
[42:33] Fabulous或是小型的IDM
[42:35] 以及汉磊杰敏等功率半导体
[42:37] 制造跟封测厂
[42:39] 强茂跟德威应该都算是IDM
[42:42] 他们应该不是Fabulous
[42:43] 那请问Chika比较看好IDM
[42:45] 还是Fundry跟风策的爆发力
[42:48] 那另外补充个人的感受
[42:50] 很理解岳母的处境
[42:51] 青少年沟通不容易
[42:53] 想帮忙想沟通却都被拒绝
[42:55] 也不能够发脾气
[42:57] 就让小孩赶快长大
[42:58] 对没错
[42:59] 功率半导体最近也是跌
[43:01] 基本上就是市场上下
[43:02] 你所有看得到的科技AI related的东西
[43:06] 几乎都在跌
[43:07] 那看不看好
[43:08] 就是像我们目前去做新的review
[43:11] 那时候提到说
[43:11] 在月底开始会有一些IDM的场次
[43:14] 那目前TXN就德州一系列已经出来了
[43:16] 然后给出一个非常正向的展望
[43:18] 所以目前我们看的话
[43:20] 还是觉得随着400V的一个中介
[43:23] 然后到800V的时代
[43:24] 其实这些功率元件
[43:26] 它的发展都是越来越好
[43:27] 那高阶的厂可能把产能去集中在
[43:30] 这些福特数比较高的产品去做
[43:33] 那有些中低级的东西就会丢出来
[43:35] 亦或是他们可能自己不一定要丢出来
[43:37] 但他们的产能要for那些高线的东西
[43:39] 所以他就要去找一些外包的厂
[43:41] 所以其实我们也注意到一些
[43:42] 这些功率半导体相关的
[43:45] 不管是晶圆厂6寸8寸的
[43:47] 然后又或是后段的风策
[43:48] 你们去注意看他的那个营收
[43:50] 其实都开得很好
[43:51] 然后跟字节那个数字都很好
[43:53] 那至于为什么这个股价的表现会这样
[43:56] 老实讲因为现在就是科技股都在中杀
[43:58] 但这个确实是后面的一个趋势
[44:00] 就是持续的走在一个好的路上
[44:03] 那要小心就是
[44:03] 我们去评论产业是中性的
[44:06] 就是说我们就是看到产业有什么
[44:08] 就跟大家讲
[44:08] 产业一般来讲
[44:10] 它的趋势不容易改变
[44:11] 可是股价可能就会上上下下
[44:13] 所以自己还是要评估一下
[44:15] 可能什么时候去做买进
[44:17] 我们没有在带进出
[44:18] 再稍微讲一下
[44:18] 下面一位Tony Tsai
[44:20] 孟公大大你好
[44:21] 红颜鹿比看起来不错
[44:22] 玩上述的风格
[44:23] 让我想起夏日光祥曲
[44:25] 写绘图日记的生活
[44:27] 总是如此的美好
[44:28] 相信红颜鹿比一定也是赞的
[44:29] 另外想问一下
[44:30] 吕电荣跟原料化成博的状况
[44:33] 目前研究功力只看了一下法说
[44:35] 股东会有些许的研究报告
[44:37] 根本不知道报价去哪看
[44:38] 整天看着
[44:39] Nippon Kami Nichikon的股价流泪
[44:43] 我是不是砍一砍去指数好一点
[44:45] 不要等反弹的
[44:45] 我是快乐宝贝
[44:46] 其实也不要这样说
[44:48] 因为像那个
[44:49] Nichikon我自己本身
[44:50] 那也是我持股
[44:51] 那因为日本的股市
[44:52] 我比较像是说
[44:53] 就是放就是长头
[44:54] 所以我就没有去动它
[44:56] 那我回头一看
[44:57] 会发现说
[44:57] 哇靠怎么可以跌这么深
[44:59] 当然它可能上去的时候
[45:00] 也很快
[45:00] 只是按照我们目前
[45:02] 所看到的东西
[45:03] 像Nichikon的话
[45:04] 在9月它又有新一波的涨价
[45:07] 所以其实基本面的部分
[45:08] 真的都还是维持一样的一个状态
[45:11] 那当然我知道这时候一定有人讲说
[45:12] 像航运那时候可能在最高点的时候
[45:14] 你知道它营收还是继续开吧
[45:15] 可是股价又开始崩
[45:16] 不排除有可能是这样的一个情形
[45:18] 当然就是在产业的角度来看的话
[45:21] 目前驴电龙这边
[45:22] 我们一直知道说在市场里面是很缺乏的
[45:25] 那再来原料化成博的话
[45:27] 最近台系的有一家偏上游厂的
[45:30] 他们其实给出来的guidance也是非常好的
[45:32] 所以现在这个市场之所以
[45:34] 我觉得很难处理的点是
[45:35] 像过往我们知道
[45:37] 我们的经验就是
[45:37] 当我今天知道
[45:38] 在未来的几个月
[45:39] 或是一两季
[45:40] 那市场怎么样发展
[45:42] 那我就会知道说
[45:43] OK那所以我去做多股价
[45:44] 会赚钱
[45:45] 可是现在很靠杯的是
[45:46] 你不用去讲这些中小
[45:48] 你就说那种大型股票
[45:49] 连台积电连Google
[45:51] 你开好财报
[45:51] 你都要被杀了
[45:53] 你看那种得周一期
[45:54] 你开好财报
[45:54] 你就要被杀了
[45:55] 所以你怎么讲
[45:57] 就是我觉得这时候
[45:58] 用股价去做一些解释
[45:59] 可能是最后面会
[46:01] 会有点像是说
[46:02] 你两边都站不稳了
[46:04] 那到底现在该怎么样去评价这件事情
[46:06] 我只能够说
[46:07] 如果是已经射出很多的东西
[46:10] 像我自己的做法就是
[46:11] 我会用军线去做一些停利或是停损
[46:13] 那假如说他如果今天打到
[46:15] 我也不知道他叠啥小
[46:16] 可是我就是一定要保住我的一些获利
[46:19] 可能就会把他砍出去
[46:19] 但是我自己的习惯
[46:21] 我不是会把标的都砍光
[46:22] 就算现在真的是进入空头
[46:24] 我可能还会握着指数
[46:25] 在那边吃一些回档之类的
[46:27] 所以如果你真的觉得
[46:28] 就是可能屌不住了或什么的
[46:30] 那就出去吧
[46:32] 不管你现在是赚钱的状态
[46:33] 或者说是赔钱的状态
[46:35] 有时候市场就会遇到这样的事情
[46:37] 所以我们真的没有办法去
[46:38] 解释这些短线的东西
[46:40] 就像可能前面喷很多的时候
[46:41] 像有些东西会喷到
[46:42] 我讲说
[46:43] 我已经无法去评论那个股价
[46:45] 不知道为什么可以这样子喷
[46:46] 那下来的时候
[46:47] 也是一样的道理
[46:48] 我不知道为什么
[46:48] 有些人可以这样跌
[46:49] 就即便可能我们看蛮多东西的展望
[46:51] 是好的
[46:51] 不确定
[46:52] 所以一般来讲
[46:54] 就是我们还是要比较
[46:55] 类似我上集QA
[46:57] 有一个听众问
[46:57] 他可能看了我们一个主权
[46:58] 我说你等到他们集体表态
[47:00] 站上去的时候再来看
[47:01] 现在可能会比较偏向
[47:02] 用这种态度去做处理
[47:03] 因为你不确定
[47:04] 市场的下一棒是什么
[47:05] 特别是市场现在
[47:07] 基本上过去走的好的股票
[47:09] 很多都摔爆了
[47:10] 本来可能在两三个礼拜前
[47:11] 我们还知道说
[47:12] 有些族群他形态还是好的
[47:13] 可是现在几乎都爆开了
[47:15] 几乎都爆开了
[47:16] 所以接下来的反弹
[47:17] 可能要观察的重点
[47:19] 就会变成说谁先跳上去
[47:20] 可能那些东西会懂
[47:22] 其他的因为你知道
[47:23] 从前面到现在
[47:24] 这些科技股基本上都杀很深
[47:26] 所以他有一堆麦芽在那边
[47:28] 所以如果说没有很强的一个反攻上去的话
[47:30] 有可能就是陷入一个盘整
[47:32] 然后等到他盘出方向之后才会动
[47:33] 目前会这样去做看待
[47:35] 下面一位于老公是你的忠实听众
[47:37] 三不五时陪老公听
[47:39] 虽然股票的部分不太懂
[47:40] 但生活家庭的部分觉得很有温度
[47:42] 听说这边许愿很灵
[47:44] 备孕一年多
[47:45] 无果也不如高龄了
[47:47] 我和先生目前进入试管疗程
[47:49] 预计七月植入
[47:51] 拜托身后的观音保佑
[47:52] 一次植入成功平安生下
[47:53] 我和先生两人都捐
[47:55] 一个月的薪水
[47:56] 希望让我们可以顺利的当爸妈
[47:58] 试管这条路真的很辛苦
[47:59] 也祝福背运中的大家都能够顺利怀上宝宝
[48:02] 对我们身边有几个好朋友
[48:04] 他们确实都在走这一条路
[48:06] 那这条路呢
[48:06] 对女生来讲是非常煎熬的
[48:08] 所以地方的妈妈们真的都是辛苦了
[48:11] 那希望大家都可以顺利的
[48:13] 就是想要宝宝的就可以怀上宝宝
[48:15] 不想要宝宝的也不会意外怀上宝宝
[48:18] 大概这样
[48:18] 下面一位Josh Pan
[48:20] 孟公兄你好
[48:21] 从您的第一集开始听
[48:22] 后来更爱听您分享家人小孩的事情
[48:25] 我两个男生孩子
[48:27] 也从可以牵手抱抱
[48:28] 到现在已经是国中生
[48:30] 不给牵的年纪
[48:31] 真心觉得家人孩子们的健康最重要
[48:34] 也如同您之前提到
[48:36] 其实是孩子在陪伴着我们
[48:37] 让我成为更好的父亲
[48:39] 虽然虚掌你近20岁
[48:41] 已尽知天命
[48:43] 50岁的地方兄弟
[48:44] 财富累积也逊色您许多
[48:46] 不过跟太太确实从来没有开杠杆
[48:48] 也慢慢的有车有房
[48:50] 没有房贷了
[48:51] 看着股市大起大落
[48:52] 但心态诚如您提到的要平静
[48:54] 祝福您与听众们在这波动荡都能够避险
[48:58] 身体健康
[48:58] 关好红眼路比
[48:59] 要来跟孩子一起研究
[49:01] 上steam来玩看看
[49:02] 看起来真的不错
[49:03] 我有一个地方的好朋友爸爸
[49:06] 他还是大概
[49:07] K哥几岁
[49:09] 不知道他几岁
[49:09] 可能五十几岁
[49:10] 反正就是一个朋友
[49:10] 这位朋友他也是买了这款游戏
[49:13] 给他的孩子玩
[49:14] 其实我看了我觉得超感动
[49:16] 就是我们身边有些朋友
[49:17] 他们自己已经是可能没有办法打游戏
[49:19] 或是不喜欢
[49:20] 可是他让他的孩子玩
[49:22] 把这个东西传承下去
[49:23] 那看着他们的孩子
[49:25] 在打这些游戏的时候
[49:26] 哇靠那个是顺的
[49:27] 我就会觉得太好了
[49:29] 那希望大家都可以平安健康
[49:32] 那非常感谢你的各种feedback
[49:34] 也希望你后面顺利
[49:36] 下面一位
[49:37] 长不大的香菇
[49:38] 二推荐北海道之床
[49:40] 有机会在海上看到熊熊
[49:42] 牛排搭巴萨米醋的吃法
[49:45] 台湾好像不流行
[49:46] 但个人觉得很搭
[49:47] 那注目公益家长
[49:48] 还有美丽的丈母娘
[49:49] 天天开心身体健康
[49:50] 好非常感谢
[49:51] 那再见
