[00:00] 歡迎收聽谷外,我是孟公,本期節目由Dr.情趣贊助
[38:10] 我知道說信心指數這個東西我覺得有六七成的機率會漲類似我們在玩RO沖裝他就算告訴你有六七成機率會過可是有可能會爆所以不知道真的不知道所以對我們來說你後來去觀察
[38:22] 我覺得有時候這樣就是fake it tell you make it
[38:24] 當然不要很負面
[38:24] 就是說你去仿冒不是這樣
[38:26] 就是說模仿大家都從模仿開始
[38:28] 其實我們去看一下身邊一些厲害的人的portfolio
[38:31] 其實重壓型的人還是比較少一點
[38:34] 有可是比較少一點
[38:35] 絕大多數就是可能他也是壓個10檔15檔這樣子
[38:39] 那裡面有些輸有些贏
[38:40] 那只是因為整體市場
[38:42] 你知道大家最差最差
[38:43] 都還是會賺到一些Beta
[38:44] 或什麼的
[38:44] 所以其實長年下來
[38:46] 都會持續有去賺錢
[38:47] 那有時候會有一些失敗的東西
[38:48] 有時候會有成功的東西
[38:49] 那重點是說
[38:50] 你不要在每次的操作裡面
[38:51] 迷失掉自己
[38:52] 我們有些生命朋友
[38:53] 會迷失掉自己
[38:54] 就是他一開始可能
[38:54] 就是照大家這樣子配置去弄
[38:57] 然後穩穩的有賺
[38:58] 可是有時候
[38:58] 你發現說那種大賠
[38:59] 都是發生在
[39:00] 他突然間信仰之月
[39:01] 他突然間可能看到某一隻標的
[39:03] 幹就是他了
[39:04] 然後就說
[39:05] 然後可能就因為這樣就爆了
[39:06] 那當然也有人是因為這樣子
[39:08] 就是過去大家喊出來的一些名字
[39:09] 很多都是壓到單一標的
[39:11] 然後直接飛天的
[39:12] 有這樣子的人
[39:13] 只是我覺得還是慢慢來比較快
[39:15] 所以我還蠻認同這位兄弟的說法
[39:17] 那當然你要去賭那種財富列車
[39:18] 要拼一把塊的其實是可以
[39:20] 這很多時候會超乎你的想像
[39:22] 我覺得說像Pentier
[39:23] 現在大家都覺得他是一個不好的標的
[39:25] 可是前面狂噴的時候
[39:25] 大家都覺得很好
[39:26] 那再更往前
[39:27] 老聽眾應該知道
[39:28] 我們在IPO的時候上車
[39:30] IPO上車的時候他跌到破發
[39:33] 其實那時候我心中就有在想說
[39:34] 有沒有可能有問題
[39:35] 那你知道怎麼會這樣想嗎
[39:36] 因為過去就遇過類似這樣
[39:37] 就最後面就真的有問題的東西
[39:39] 那只是後面還是有成功的hold住
[39:41] 那可是到二十幾塊的時候
[39:43] 後來我就把它換成是Lipco
[39:45] 這應該是三四年前的節目
[39:46] 我跟大家分享
[39:47] 那結果那個Lipco全部變歸零高
[39:49] 也就是說我賺了翻倍的東西
[39:51] 然後在那一波就歸零高
[39:52] 因為賭太大
[39:53] 然後把它變成是選擇選擇爆掉
[39:55] 那最後面再回去報仇的時候
[39:56] 一樣是二十幾塊上車
[39:57] 那只是沒有想到
[39:58] 他竟然可以衝到這個一兩百塊
[40:00] 那時候也是想都想不到
[40:01] 所以很多事情是超乎想象
[40:02] 或是像近期的那個
[40:04] 日股的MACO真的傻眼
[40:06] 我真的是沒有想到說
[40:07] 它竟然可以這樣子
[40:08] 翻倍了才幾天
[40:09] 所以很難說
[40:10] 真的很難說
[40:11] 然後過去可能大家覺得不好的東西
[40:13] 很多時候都會sexy back
[40:14] 突然間轉身
[40:14] 過去大家覺得很爛的東西
[40:16] 突然就變很好
[40:17] 那種可能像以前的記憶體
[40:19] 大家覺得不喜歡
[40:19] 然後現在記憶體是最噴的東西
[40:21] 然後可能現在大家覺得說
[40:22] MCU是他媽的垃圾
[40:23] 可是我自己隱約的覺得
[40:25] MCU或是被動元件
[40:26] 有可能就是下一波東西
[40:27] 所以都很難說
[40:28] 市場是動態的
[40:29] 要隨時去維持這個腦袋的靈活
[40:31] 有時候會在網上看到一些那種
[40:34] 就是可能整天想要怪天怪地的
[40:36] 其實不用太在意那些人
[40:37] 因為一段時間
[40:37] 他們會換人
[40:38] 因為他們就死了
[40:39] 下面一位
[40:39] 彭兒猛攻你好
[40:41] 我和男友都是你的骨灰鐵粉
[40:43] 第一次留言八行我知道
[40:44] 真心希望你能夠一直陪伴廣大矮寶們
[40:47] 你的觀點分享
[40:48] 總能夠給我們滿滿的力量跟視野
[40:50] 我們常說的話是就像古來說的點點點
[40:53] 那2月24號是男友的生日
[40:56] 請你用美國店長的聲音祝男友
[40:58] 小彭兒生日快樂
[41:00] 轉職順利
[41:01] 順利健康減重15公斤
[41:03] 最愛你了
[41:04] 那他聽到猛公的祝福
[41:06] 應該會開心的飛起來
[41:07] 那感謝祝您一家平安健康
[41:09] 非常感謝這個朋友
[41:10] 跟他的男友的支援
[41:12] 希望你們平安健康快樂
[41:13] 下面為0083
[41:15] 哎呀您好
[41:16] 自己結尾可以只說一個字
[41:17] 拜嗎
[41:17] 好
[41:18] 那小弟一直想上來留言
[41:20] 和你聊天
[41:21] 但一直不知道想要留什麼
[41:22] 所以就一直在潛水
[41:24] 那現在只想要上來
[41:25] 跟各位分享一個
[41:26] 我跟兒子對話的內容
[41:27] 兒子兩歲半
[41:28] 有一天我在幫他換尿布的時候
[41:29] 因為兒子一直躁動
[41:31] 難以控制
[41:32] 我就隨口說了一句
[41:33] 快點穿尿布
[41:34] 不然等等小雞雞會飛走
[41:35] 兒子停頓三秒之後
[41:36] 默默的回一句
[41:37] 飛機
[41:38] 這個兒子從小就會講笑話
[41:40] 不錯
[41:40] 下面一位困寶
[41:41] 做了一個奇怪的夢
[41:43] 夢到我開著猛攻Chicard X的X
[41:46] 載著你們一家大小出遊
[41:49] 路上有說有笑
[41:50] 跟路上玩得很開心
[41:51] 最後猛攻看了我的股票持倉
[41:52] 叫我連電不要壓這麼重
[41:54] 掛號七成
[41:55] 小心一點
[41:56] 請問我該聽夢裡猛攻的建議嗎
[41:59] 愛您
[41:59] 非常感謝這個困寶的支援
[42:02] 竟然在夢裡夢到我
[42:03] 老王子就是
[42:04] 怎麼講
[42:05] 就是我自己還是比較喜歡先進製程
[42:07] 或者說所謂的業界頂尖的東西
[42:09] 那這其實某個程度上也造成了
[42:11] 像我在景氣玄廣谷的表現
[42:13] 就沒有這麼好
[42:13] 很多那種
[42:14] 怎麼講
[42:15] 垃圾翻身的故事
[42:16] 我覺得我比較少做到
[42:18] 或者說就算做到
[42:19] 也做不到全部
[42:20] 那以聯電來講
[42:21] 就是我去看他展望
[42:22] 我就覺得說
[42:23] 我不知道你要壓住
[42:25] 他什麼樣的故事
[42:26] 就是說成熟製程要突然間大缺
[42:27] 可是中國這邊開這麼多成熟製成
[42:29] 所以我覺得不知道你買這個是幹嘛
[42:32] 可是如果說你今天跑去買世界先進
[42:34] 跑去買Vanguard的話
[42:35] 我就會覺得還算合理
[42:37] 因為可能他可以吃到臺積電所釋出的一些東西
[42:40] 所以如果真的要去買成熟製成的話
[42:42] 我自己去選
[42:43] 這兩個我可能也會去選世界先進之類的
[42:45] 但很多時候像我這樣的一個想法
[42:47] 就跟我反而說
[42:48] 因為反正我這個經濟學院股並不是特別的會
[42:50] 說不定聯店後面就大屌噴
[42:52] 希望你一切順利
[42:53] 我覺得投資就是要相信自己
[42:55] 很多時候是這樣
[42:55] 就是你去聽別人講
[42:57] 你並不要去
[42:57] 因為我以前有講
[42:58] 他可能聽別人講完之後
[42:59] 然後去做一些調整
[43:00] 然後之後可能
[43:01] 事與願違要說
[43:02] 媽的別人害我
[43:02] 所以很多時候
[43:03] 我跟大家說
[43:03] 在股票在感情
[43:04] 都不要給建議
[43:05] 因為大家在可能對的時候
[43:07] 都會覺得他自己厲害
[43:09] 可是錯了
[43:09] 他就會去怪
[43:10] 那個給他建議的人
[43:11] 所以千萬不要去給人家建議
[43:12] 我自己在節目也不給建議
[43:13] 我就講我自己的想法而已
[43:14] 那所以
[43:15] 怎麼講
[43:16] 就有時候相信自己
[43:17] 你的一些判斷
[43:18] 你看起來是孤立無援的
[43:20] 大家都覺得說
[43:21] 現在就是要買臺積
[43:22] 你跟大家講連電也被笑
[43:23] 就搞不好拉不到一兩年的報酬
[43:25] 連電視跑影臺機
[43:26] 這都是有機會的
[43:27] 這我沒看過很多次
[43:28] 所以你要相信自己
[43:29] 下面一位Qtent
[43:31] 猛攻大您好
[43:32] 這已經是我第七次留言
[43:34] 希望今天也要被唸到
[43:35] 因為我身負重責大任
[43:37] 要來幫我的寶貝實現願望
[43:38] 又到了我寶貝一年一度的生日
[43:40] 他不要臉的提出
[43:41] 要小三祝他生日快樂的願望
[43:44] 瓜我不要懷疑您就是小三
[43:46] 那我只好來謝孟公許願
[43:48] 持許願
[43:49] 雖然已經過一段時間
[43:50] 但還是請猛攻用肌肉猛男的聲音
[43:52] 祝我的寶貝
[43:52] 阿婷
[43:53] 1月27號生日快樂
[43:55] 很快就會找到你喜歡的工作
[43:57] 並且發揮你所偷遊的概念
[43:58] 你要太長了
[43:58] 那也能夠遇到
[44:00] 世界上的博樂
[44:01] 績效大爆色
[44:02] 每天開心快樂
[44:04] 事事都順心
[44:05] 謝謝你包養
[44:06] 不是包養
[44:07] 差點講到包養
[44:08] 其實包養還不錯
[44:08] 包容我的一切
[44:10] 那我們要一起
[44:11] 攜手邁向更好的未來
[44:12] 愛你喲
[44:13] 同樣的祝福也送給
[44:14] 主委一家
[44:14] 以及各位聽眾
[44:15] 大家都棒棒
[44:16] 好那我們先祝阿婷
[44:18] 1月27號生日快樂
[44:20] 雖然已經錯過
[44:20] 但沒有關係
[44:21] 一個月內都還是有效
[44:22] 就像是東西掉到地上
[44:24] 三秒內細菌跳不上去
[44:25] 沒有問題
[44:25] 下面一位
[44:26] Hi MK
[44:28] 試試看你的密碼
[44:29] 好久沒有聽到GG大了
[44:30] 他還好嗎
[44:30] 去年FTX終於還我錢了
[44:32] 又可以投入市場了
[44:33] 希望大家股市順利
[44:34] 其實看到FTX的例子
[44:36] 就要知道說
[44:37] 人生是有很多的希望的
[44:39] 錢還是有機會還給你的
[44:40] 這時候我推薦大家
[44:41] 再去看一下
[44:42] 恆義吉他社的成果發表會
[44:44] 當我今天失去勇氣的時候
[44:45] 我就會看那個影片
[44:46] 看完之後
[44:47] 我就會重新的充滿勇氣
[44:48] 那GG大的話
[44:49] 最近都還是過得不錯
[44:51] 因為GD大算是後來
[44:52] 也變成是我私人的朋友
[44:54] 因為這個人真的非常有意思
[44:55] 他是法律專業的
[44:56] 就我自己的理解
[44:58] 後來也認識了一些朋友
[44:59] 也是我的朋友
[45:01] 反正就是說大家最後面
[45:02] 在可能不知道
[45:03] 某種尊尊教誨跟協助他之下
[45:05] 然後他其實已經連續好幾年
[45:07] 都有在賺錢
[45:08] 只是他還是很習慣的
[45:10] 就是有時候要看到一個標的
[45:11] 你們大家都說很好是不是
[45:12] 那我就要買一下
[45:13] 然後就把它打下去
[45:14] 他最新的嘗試是
[45:15] 他買了SNDK跟美光
[45:17] SNDK因為我手上沒有
[45:19] 我是不在意
[45:20] 但美光的話
[45:20] 我覺得他會輸
[45:21] 我覺得他應該是沒有辦法把我打下去
[45:23] 雖然我上次這樣講的時候
[45:24] 最後面是被砸下去
[45:25] 我上次應該說兩年前
[45:27] 兩三年前到時候是Meta
[45:29] Meta後來被他搞爆
[45:30] 然後接著後來Google
[45:32] Google我也是說不太可能
[45:33] 因為Google現在太旺了
[45:34] 就後來Google被他打下去
[45:35] 我們來看看美光會不會被他打下去
[45:37] 我真的覺得不太可能
[45:38] 而且劉德英買的位置也蠻高的
[45:40] 應該還OK
[45:42] 下面一位
[45:42] 澎湖要不要緊
[45:44] 新年來林口謝夢宮雲端拜拜
[45:47] 前程拜三拜股市
[45:49] 那裡面多幾個零
[45:50] 來才來來才來
[45:52] 新年祝孟公公主一家人
[45:54] 各位聽眾世事順心
[45:55] 滿年大吉
[45:56] 身體健康
[45:57] 持股馬上都漲停
[45:58] 愛你
[45:58] 希望漲到爆炸
[45:59] 下面一位Ethan
[46:00] 挨大大大大
[46:01] 先祝挨大跟各位聽眾新年快樂
[46:03] 我是內湖金融社畜
[46:04] 前任記憶體狂漲的時候
[46:05] 我賺到人生第一桶金
[46:07] 在猶豫要不要持續報的時候
[46:08] 聽到挨大某一集說
[46:09] 市場不是隻有記憶體可以操作
[46:11] 然後就毅然的出清全部
[46:12] 讓我在1月初就華麗退場
[46:14] 當然我也要謝謝老爸爸
[46:19] 孟公變孟公就覺得這是神機了吧
[46:22] 我每個月都會從公司的新轉戶
[46:24] 自動扣款給慈善團體
[46:26] 雖然不多
[46:27] 但希望之後可以越扣越多
[46:28] 那如果說哈利波特的
[46:30] 哈利波特企業掃把是光輪2000
[46:33] 那孟子他爸的是孟母3000
[46:35] 那最後祝來大家一家人
[46:38] 身體平安
[46:38] 事事順心
[46:39] 祝各位聽眾績效
[46:40] PS房子不是我叫我爸去帶的
[46:42] 是他帶完之後我才知道的
[46:45] 好啦
[46:46] 那反正總之就是
[46:47] 我覺得
[46:48] 怎麼樣
[46:49] 在股票這邊
[46:50] 我沒有辦法去做太多
[46:51] 所以行情的預測
[46:52] 因為有時候我們真的不知道
[46:53] 就像機體
[46:54] 我如果知道它會長成這樣的話
[46:55] 我臺股的機體
[46:56] 我是絕對不會賣的
[46:57] 那只是
[46:58] 那時候還是選擇賣掉
[46:59] 然後賣掉就去做別的故事
[47:00] 其實現在看起來
[47:02] 我覺得很難說
[47:03] 如果當時窮爆的機體
[47:04] 現在可能還是好一點點
[47:05] 會比我後來換到一些東西上
[47:08] 那絕對的
[47:09] 因為機體後來
[47:09] 還是變超級恐怖的一個東西
[47:11] 可是拉長看不一定
[47:12] 拉長看不一定
[47:13] 所以我們還是會維持一些彈性
[47:14] 很多時候當
[47:15] 市場有一些那種
[47:16] 最主流核心股
[47:17] 出來的時候
[47:18] 你就會注意到
[47:18] 像以前的聽眾
[47:19] 也會整天跑來問
[47:20] 你為什麼不買海域
[47:21] 你為什麼不買一下什麼
[47:22] 那時候大家最喜歡
[47:23] 問一個生技股
[47:24] 某一檔生技股
[47:25] 不是一堆人來問嗎
[47:26] 那我自己的習慣是這樣
[47:27] 就是說
[47:28] 我不會把人生的勝負
[47:30] 壓在一隻標題上面
[47:30] 所以我做到
[47:31] 我會做的
[47:32] 我看能懂的地方
[47:33] 我做到就好了
[47:33] 那接著我就是move on
[47:35] 我就下一個
[47:35] 所以其實是一種那種
[47:37] 勇於去把遊戲重新開啟
[47:39] 重新挑戰的一個心態
[47:40] 那當然有時候
[47:42] 你可能達到一個東西
[47:43] 然後達到底賺反
[47:44] 我恭喜你
[47:44] 可是其實也很多人是
[47:45] 這大一個東西
[47:46] 在這邊抱過一座山
[47:47] 什麼都沒有
[47:47] 所以還是看
[47:49] 這個都是很隨機的東西
[47:50] 希望大家都可以
[47:51] 做出最好的一個判斷
[47:53] 這個老爸是暖男
[47:54] 還幫你去貸款
[47:56] 讓你有錢可以去做投資
[47:57] 他去幫你扛風險的意思
[47:58] 要好好地抱抱自己的爸爸
[48:00] 下面一位
[48:00] 曾經想擁抱彩虹
[48:02] 盛開的花朵
[48:03] 那純真的笑容
[48:04] 突然有風吹過
[48:05] 那一轉眼只剩我
[48:06] 這是什麼歌詞
[48:09] 我想不起來
[48:10] 諸位新年快樂
[48:11] 想知道你平常都瀏覽哪些資訊
[48:12] 訂閱哪些內容呢
[48:13] 華爾街日報
[48:14] seeking alpha
[48:15] 富邦證券之類的嗎
[48:16] 最重是什麼呢
[48:17] 兄弟你講的這三個東西
[48:18] 應該是沒有辦法
[48:19] 真的把你帶來alpha
[48:20] 他可以看
[48:21] 他可以去幫你補充一些知識
[48:23] 只是怎麼講
[48:24] 就是說華爾街日報就是一個新聞
[48:26] 新聞對我們來講
[48:27] 你很難在裡面找到
[48:28] 真的可以大賺錢的東西
[48:29] 當然有時候真的會因為看報紙賺錢
[48:31] 就像說很多人說報紙都反指標
[48:33] 你看報紙
[48:34] 他可能已經跟你報很久
[48:35] 說原物料漲價
[48:36] 你隨便買你用料
[48:37] 都會賺錢
[48:37] 所以沒有這麼簡單
[48:39] 太多人都想用
[48:40] 簡單的方式去釐清市場
[48:41] 誰是正指標
[48:42] 誰是反指標
[48:43] 怎麼樣做就怎麼樣
[48:44] 沒有這種事
[48:44] 市場就是很隨機的
[48:46] 就是它有太多的變數了
[48:48] 所以報道
[48:49] 我不會覺得說是
[48:50] 你看了就會有效
[48:51] Seeking Alpha更比較說
[48:52] 它某種程度上
[48:53] 它是一種那種
[48:53] 加強版的論壇
[48:54] 那富邦證券的話
[48:55] 就是SellSide
[48:56] 所以SellSide
[48:57] 你有很多的選擇
[48:58] 那也不代表說
[48:59] 看了就一定會怎麼樣
[49:00] 因為有一堆標的
[49:00] 他可能設一個目標架
[49:01] 然後絕對就不會到
[49:02] 那有些標的呢
[49:03] 可能他覺得不行
[49:05] 然後之後就開始瘋狂的漲
[49:06] 那類似這件發哥在下修的時候
[49:08] 全部券商跑出來
[49:09] 輪流每個媽的跟進趕快下修
[49:11] 後面就有媽屌該一個大的
[49:13] 然後現在大家又要跑回去上修了
[49:14] 所以很多時候你就注意到
[49:15] 他們也是某個程度上人云亦云的
[49:17] 不知道嘴他們
[49:18] 真的不知道嘴他們
[49:19] 我意思只是說
[49:19] 就是這些資訊對我來講
[49:21] 他算是比較中性的
[49:23] 就是我不會認為說
[49:24] 在這邊可以看到一些厲害的東西
[49:26] 那再來
[49:27] 當然我自己有去
[49:28] 再做一些訂閱
[49:29] 像前陣子的話
[49:30] 我是有訂Semi Analysis
[49:31] 只是後來
[49:32] 怎麼說
[49:33] 因為我注意到
[49:34] 我的資訊的速度
[49:35] 跟他們是差不多的
[49:36] 所以就不需要再訂了
[49:37] 有時候我會透過這個方式
[49:38] 去拉近一些資訊
[49:39] 現階段的話
[49:40] 我反而覺得
[49:41] 我近期越來越有那種
[49:42] 反撲歸生的想法
[49:43] 就是你真的好好研究
[49:44] 一個公司的發展
[49:46] 去看它財務數字的一個變化
[49:47] 持續有在賺錢
[49:48] 持續有在成長
[49:48] 這可能是最好的一個分析
[49:50] 題材方面的話
[49:51] 當然你多訂
[49:51] 有時候你就有機會
[49:52] 撈到一些東西
[49:57] 然後反而去踩到一些雷
[49:58] 所以真的都很難講
[50:00] 最後面我甚至覺得說
[50:01] 投資搞到後來
[50:02] 有點像選取了
[50:02] 可能為什麼有些大老闆
[50:04] 他們最後面都蠻迷信
[50:05] 會去拜拜
[50:06] 是因為
[50:06] 老實講
[50:07] 你真的努力到一個極限中
[50:08] 你發現說
[50:09] 人生中有太多東西
[50:10] 是不可以空的
[50:11] 就像說你可能
[50:12] 在2019年2020年
[50:14] 你搭好了你的
[50:15] 這個公司的底子
[50:16] 準備要賺大錢的時候
[50:17] 或者說你在股票裡面
[50:18] 剛好是賺了很多錢
[50:19] 要準備all in說話的時候
[50:20] 武漢肺炎
[50:21] 你可以想到
[50:22] 有他媽武漢肺炎跑出來嗎
[50:23] 所以到最後我都覺得說
[50:25] 人生能夠賺多賺少
[50:26] 好像是有一點那種老天給你的
[50:28] 你只要認真努力你一定會賺
[50:29] 那只是說多跟少不一定
[50:30] 重點是說下檔的風險是可以去控的
[50:33] 就是有時候當你想要去上頭
[50:35] 想要去all in說話的時候
[50:37] 很多時候都會在那時候幫你上一堂課
[50:39] 所以這可能是要比較小心的一點
[50:41] 那其他時候就專注在
[50:43] 就像說你只有我在工作的
[50:44] 我就在專注本業
[50:45] 投資就是把錢配進去然後賣房
[50:48] 那如果說你的工作就是投資者
[50:49] 其實也不用問太多
[50:50] 因為你一定知道怎麼做
[50:51] 一般會跑出來問的就是
[50:53] 他不知道怎麼做
[50:54] 或是其實你沒有準備好
[50:55] 就類似說其實老樣子
[50:56] 每次在那邊問槓桿的人
[50:57] 其實你們全部都不適合槓桿
[50:58] 好 那這期影片到這邊 拜拜
