[00:00] 欢迎收听谷外,我是圣梦宫,本集节目由植村秀赞助
[38:17] 就有记者出来写故事了
[38:18] 但感觉都在瞎掰
[38:19] 大概就是MK以前说
[38:20] 记者出来写故事
[38:21] 切到什么题材
[38:22] 一样的概念
[38:23] 不知道MK会不会知道
[38:24] 什么故事
[38:24] 我不敢买
[38:25] 就单纯看戏而已
[38:27] 我的卡牌的话
[38:28] 我都是透過BUYE
[38:31] 就是一個BUYE
[38:33] 它是一個代購網站
[38:34] 然後它上面可以看到
[38:35] 不管是Wi-Fi或是什麼Mercury
[38:37] 然後跟另外一個忘記了
[38:40] 反正它有一個專門的卡牌網站
[38:42] 好像是MAGI
[38:45] 你都可以透過BUYE去做下單
[38:46] 然後再讓他寄回來
[38:48] 但大家還是自己要小心
[38:49] 你要知道上面就是有可能有些是詐騙
[38:51] 有些是假的
[38:51] 要注意一下
[38:52] 然後再講說有什麼故事
[38:54] 那一檔比較沒有聽說到
[38:56] 反正對沒錯
[38:56] 反正一個東西拉出去
[38:57] 就有记者帮他写故事
[38:59] 所以对
[38:59] 重点是有默拉出去
[39:01] 而不是
[39:01] 故事是说
[39:02] 有时候他一直在那边
[39:03] 但没有人要吵也没有用
[39:05] 下面一位
[39:05] Cream Pie King
[39:06] 我爱Karina
[39:07] 嗨老大
[39:08] 您去年11月
[39:09] 带诺娃去101观景台的时候
[39:11] 在一楼有遇到您跟您合照
[39:12] 那时候的诺宝
[39:13] 感觉是个很害羞的小宝贝
[39:14] 现在的诺宝还是很害羞吗
[39:16] 非常害羞
[39:17] 他是一个比较怕生的小孩
[39:18] 但是他在他的最好的朋友
[39:20] Jalen的带领之下
[39:21] 然后现在已经是有
[39:22] 比较外向一点
[39:23] 所以身为生父非常的骄傲
[39:25] 我伴侣是听你的广告就可以睡着的人
[39:27] 我爱你
[39:28] 很开心从古老集出又跟着猛攻
[39:31] 也在三年前得到你的古海明灯周
[39:33] 买了台中的房子
[39:34] 可惜不能够当邻居
[39:36] 最近感叹因为创业而让资金无法投入股市
[39:39] 而且是去年创业
[39:40] 要怎么平衡心境呢
[39:41] 好多神人都赚烂
[39:42] 那另外请问猛攻纪律的调整
[39:45] 以往个人的设定固定比例的损益就退场
[39:48] 但现在的情势好像需要做调整
[39:50] 猛攻有什么建议吗
[39:51] 祝猛攻猛攻爱的
[39:52] 且爱你的宝贝们
[39:54] 也都平安健康顺心顺利
[39:56] 不要想太多
[39:58] 就是有些钱就丢出去就丢出去
[40:00] 它会有另外一番的风景
[40:01] 那不然我也会想
[40:02] 我钱为什么要去投一些小生意
[40:04] 为什么要开一个校男
[40:06] 校男其实目前是走得非常好了
[40:08] 但总之就是
[40:08] 你的生命中不是只有在股票里面累积钱
[40:11] 还是要去做一些别的事情
[40:13] 我觉得这是很快乐的
[40:14] 然后再讲说这个
[40:15] 纪律方面
[40:16] 其实我不会去过度的强调纪律
[40:18] 这个长期的听众都知道
[40:20] 就像甚至我会讲说
[40:21] 有些停损点我会故意设在
[40:23] 你们大家都会在月线停损
[40:25] 那我就故意在月线下面一点点
[40:26] 因为有时候它洗下去之后
[40:27] 马上就拉起来了
[40:28] 所以对我来讲
[40:29] 这些东西本来就是应该要充满弹性的
[40:31] 特别是
[40:32] 就像说你说纪律停损
[40:34] 这个概念到底可不可以
[40:35] 可以
[40:35] 但是在应用方面
[40:36] 像你在台积电
[40:37] 然后你跟我讲说
[40:38] 你纪律停损五次
[40:39] 我真的会觉得你是白痴
[40:40] 就你到底有没有搞股票
[40:41] 可是你今天去买一个那种小拐股
[40:44] 然后你跟我讲说你纪律停损
[40:45] 我就会说你本来就应该这样做
[40:46] 因为如果你被人家埋掉怎么办
[40:48] 所以他就连在不同的标的上面去做应用
[40:51] 想法也不一样
[40:52] 所以他本来就是要有贪心的
[40:53] 就你不要用一个很死板的角度
[40:55] 怎么10%我就把它砍掉
[40:57] 这个一般是不是太好的做法
[40:58] 下面一位
[40:59] 我老婆Molly都叫我Lara
[41:01] 感谢永康奇美PICU团队
[41:04] Hey bro
[41:05] 我之前跟你分享小右好转之后
[41:06] 又因为一颗小小的粪食卡住小肠
[41:09] 那最近开了第三次刀
[41:11] 出生后直接住了皮股
[41:12] 将近了半年才出院
[41:14] 那目前已经出院五个月了
[41:16] 生长曲线也从低于3%
[41:18] 到现在50%了
[41:19] 感谢孟公跟观音导爱的加持小佑一切都往好的方向去发展中5月31号是我生日请你用喝完红酒茫茫的声音那祝我5月31号生日快乐小佑健康平安快乐长大
[41:31] 那再请您最甜的声音跟猫里说
[41:34] 老婆辛苦了
[41:35] 我会持续的当你的神队友
[41:37] 老婆爱你
[41:37] 那也祝梦宫去卡一家平安健康
[41:39] 绩效持续飞高高
[41:40] 请问这集emoji可以用一颗柚子吗
[41:42] 好大家一起走看看
[41:43] 那听到这个小佑的故事就很开心
[41:46] 因为我们也算是跟着小佑的爸爸
[41:47] 从一开始遇到蛮多困难
[41:50] 然后到现在慢慢的好转
[41:51] 一切都是往更好的方向
[41:53] 像这种事情就是要多一点
[41:54] 我很喜欢那种新闻上
[41:56] 或甚至在我们QA里面
[41:57] 这种暖心的故事
[41:58] 那我们希望小六可以健康长大
[42:00] 好久不见
[42:03] 好久没有留言了
[42:04] 最近亲人生病救急复发
[42:06] 真的感受到满满的无力感
[42:07] 虽然已经去附近的观音寺
[42:09] 发愿并捐赠
[42:10] 但是希望借助孟公的金口
[42:12] 以及被佑的观音朵
[42:13] 给予多一点的力量
[42:14] 希望可以保佑亲人的病情
[42:15] 可以好转并稳定控制
[42:17] 那最后祝福孟公一家
[42:18] 也都平安健康
[42:19] 爱你爱你
[42:20] 那希望你的亲戚可以身体健康
[42:22] 那请观音断来去保佑一下
[42:24] 那下面一位跳跳奶油
[42:26] 日本人最早追的番是莫娜鲁道
[42:29] 他讲的不是我讲的
[42:31] 梦光宝贝三个问题要请教
[42:32] 一红酒搞完了
[42:33] 要不要尝试探索威士忌
[42:35] 我们也没有想
[42:36] 因为我觉得威士忌太烈太强了
[42:38] 不一定
[42:38] 但不要把话说死
[42:39] 说不定会没有机会
[42:40] 但我其实不是一个非常爱喝酒的人
[42:43] 甚至之前是不怎么喝酒的人
[42:44] 我真的只是一个好奇心的驱使
[42:46] 二春田宣布要在工程线扩敞
[42:49] 华兴科跟光杰等台湾被动厂商
[42:51] 也在法说会表示会持续扩产
[42:52] 那被动族群的股价怎么还是一直喷呢
[42:55] 是因为2027年底才会完工吗
[42:57] 应该这样讲
[42:58] 就是现在是在一个
[43:00] 从本来成本驱动涨价到需求
[43:02] 驱动涨价的一个转换阶段
[43:04] 所以它不会因为在初期的扩产
[43:08] 就立刻的崩掉
[43:08] 那个你还是要看那个线图
[43:10] 去做一个交叉比对
[43:12] 简单来讲就是说
[43:13] 市场上很多人都想要去找一个
[43:16] 像我自己有跟大家讲过说
[43:17] 有些东西开始出现大扩散的时候
[43:19] 你就要有警讯
[43:20] 像我最近就分享一个
[43:21] 美光扩散的新闻
[43:22] 然后下面就有人讲说
[43:23] 孟公曾经讲过说
[43:24] 扩散就要小心
[43:25] 但不是
[43:25] 这就是我们讲
[43:26] 为什么有时候在股票里面
[43:27] 还是会有一些鉴别度
[43:28] 因为这么简单
[43:29] 我告诉你一个
[43:30] 什么小秘技
[43:32] 然后你就可以拿去赚钱的话
[43:33] 那每个人都发
[43:34] 那没有那么简单
[43:35] 因为你要看扩散是扩什么
[43:36] 像美光扩的
[43:37] 它是一个niche market
[43:39] 一个很小的应用
[43:40] 它其实跟消费级
[43:41] 跟伺服器等级
[43:42] 那是没有关系的
[43:43] 但很多人看到扩散就觉得说
[43:45] 不行了我怎么着
[43:46] 搞不好去放空
[43:46] 就给人家嘎到死喷出来
[43:48] 所以扩散不代表就是一定要死掉
[43:50] 甚至有时候你要看到它扩散
[43:52] 就像像台湾的铝电容厂商
[43:55] 有几家扩散幅度超大
[43:57] 这个我觉得是赞的
[43:58] 为什么
[43:58] 因为后来缺货代表你料最多
[44:00] 你最赚钱
[44:01] 所以那个是要看时间
[44:02] 如果你今天是一个
[44:03] 东西已经完全射出去
[44:05] 然后以及大家都知道说
[44:06] 变动力超缺
[44:07] 类似像像记忆体
[44:08] 大家都知道说
[44:09] 干超缺
[44:09] 然后突然有厂商说
[44:10] 老子要大扩散
[44:12] 那边你就要小心
[44:13] 所以他也是要看时间点的
[44:14] 简单讲就是说
[44:15] 同样的一句话
[44:16] 在高档跟在低档讲
[44:18] 那个感受是不一样的
[44:19] 三
[44:19] 怎么看发哥有可能跟TerraFab合作的消息
[44:23] 目前券商预估发哥的TP
[44:25] 都还没有把OpenAI跟TerraFab的题材
[44:27] 算进去就5000了
[44:28] 那这些纳进去的话
[44:29] 不就喷到火星
[44:29] 以上感谢回复
[44:31] 群组的猜股
[44:32] 持股猜职业
[44:34] 真的是好好笑又好好玩
[44:35] TerraFab合作的消息
[44:37] 我这边目前是没有听说到太多细节
[44:39] 那个好像是那个什么Jeff Poo
[44:40] 然后还有谁
[44:41] 郭敏奇
[44:42] 他们在写
[44:42] 我这边是还没有看到
[44:44] 那当然如果我后来有收到什么情报
[44:46] 我知道的话
[44:46] 我再跟大家做分享
[44:48] 然后再讲说这个持股才职业
[44:51] 就我之前跟大家分享的
[44:52] 其实我看你的持股
[44:53] 大概就知道你是怎么样状态的人
[44:54] 这个已经跟那个占卜有点像了
[44:56] 但是那不是玄学
[44:57] 就只是我大概知道
[44:58] 什么样的人会买什么样的股票
[44:59] 那真的都看得出来
[45:00] 像我们身边有些那种超肥的
[45:01] 就整天买那种最拐的股票
[45:03] 你一看到就知道说
[45:04] 这个人超股宅
[45:05] 但他也很厉害
[45:05] 他也很会赚钱
[45:06] 我没有去分一个高下
[45:08] 只是我就大概知道
[45:08] 你是什么类型的人
[45:09] 那真的是有办法
[45:12] 我就可以去猜他们在干嘛
[45:14] 有一个说自己怎么上班族翘班出来
[45:16] 你看持股
[45:16] 那个不可能上班族
[45:17] 那一定是卡侯兰
[45:18] 下面一位
[45:19] QQHQHHQHQHQJQQJJ
[45:23] 孟公谢谢我也是
[45:24] 谢谢孟公
[45:25] 从去年开始收听你的节目
[45:26] 也向周围的朋友推荐
[45:27] 有些麻瓜朋友喜欢当充听爆牌
[45:30] 我也懒得在劝他们
[45:31] 只想说现在除了最新上的听完
[45:33] 也在补之前没有听的
[45:34] 孟公根本是救世主2.0
[45:36] 愿孟公全家平安喜乐爱你
[45:38] 我爱你
[45:38] 下面一位万丹林佑佳
[45:40] 829919就卖了的
[45:42] 我真是韭菜
[45:43] 参试孟公您好
[45:44] 六年前听节目
[45:45] 绝对想不到
[45:45] 现在是这么哲学的台吧
[45:47] 最近遇到几个新的失业机会
[45:48] 祈求观音断
[45:49] 可以赐我足够的智慧
[45:51] 判断筛选
[45:51] 也祈求高雄的阿信面对
[45:53] 接下来的工作巨大转变
[45:55] 一切顺利
[45:55] 身心皆安好
[45:56] 我愿捐四分之一的本心
[45:58] 持续半年
[45:59] 别祝孟公一家健康平安
[46:01] 诺亚祈安快乐长大
[46:03] 谢谢
[46:04] 我之前都是在讲说
[46:05] 很多那种当声音
[46:06] 在那边妈的许大院
[46:08] 然后很烂的一个剂品
[46:09] 我觉得最近大家有点太大方
[46:11] 现在有点太大方
[46:13] 你们可以再收回去一点点
[46:14] 下面一位
[46:15] 我想要去掉金木炉
[46:17] 我想问问题
[46:17] 现在来大
[46:18] 从疫情开始听节目面
[46:20] 杠杆是1.2倍
[46:21] 九成台股
[46:21] 今年应该有解锁
[46:23] 一级玩家的成就
[46:24] 但没有什么人生目标
[46:25] 工作也没什么意思
[46:26] 还没有辞职
[46:26] 只是在赌主管
[46:27] 想之前我挂号
[46:29] 但已经等四个月了
[46:30] 朋友建议我辞职
[46:31] 去旅行之类的
[46:33] 想听主委的开示
[46:34] 白卫呼吸中指建议
[46:36] 直上最顶的呼吸机
[46:37] 关于设备一律直上
[46:39] 设备这种事情就是
[46:41] 你不直上
[46:41] 你就会整天在想说
[46:42] 就像说你买一个次加的
[46:44] 或第三名的
[46:44] 你就会整天想说
[46:45] 如果那时候是买最好的
[46:47] 会怎么样
[46:47] 所以一律直上
[46:48] 然后再讲说
[46:49] 要去赌主管资钱
[46:50] 就主管一直都不资钱
[46:52] 我觉得你就继续赌下去吧
[46:53] 搞不好后来是你跟主管
[46:54] 手牵手跑去日本看樱花之类的
[46:56] 下面一位正念小天使
[46:58] 日常小确幸
[47:00] 孟公尼亚
[47:00] 我男友是忠实的矮宝
[47:01] 我们常常听完你的podcast
[47:02] 就互相讨论
[47:03] 收获都很多
[47:04] 听了最新一集发现还大开始
[47:05] 会细细品味一些日常非常小的事情
[47:07] 非常开心
[47:08] 其实这个就是正念
[47:09] 以前我也是靠着正念
[47:10] 度过了一段很辛苦的日子
[47:12] 正念对情绪跟心情都非常有帮助
[47:14] 真的是很多的小缺心
[47:15] 都藏在我们觉得再平常不过的日常里
[47:17] 总之很替你开心
[47:19] 也希望之后听到你更多日常小缺心的分享
[47:21] 祝福你全家健康平安
[47:22] 非常感谢这位妹妹
[47:24] 我想法跟她是一样的
[47:26] 就是这个东西真的是改变生活非常多
[47:28] 以前想都没有想过
[47:29] 不知道原来日常的很多快乐
[47:31] 在这种小事情里面
[47:32] 下面一位
[47:33] 被说很臭很难过
[47:37] 今天偶然听到隔壁部门的人
[47:38] 说我是辛吉德臭臭泥
[47:40] 走路经过很臭好难过
[47:42] 赶快去洗澡
[47:43] 赶快去擦体香膏好不好
[47:45] 赶快去不知道
[47:46] 就是可能如果真的是
[47:47] 有一些汗腺的问题
[47:48] 去做一些出猫
[47:50] 去做一些雷射
[47:51] 那个都有帮助
[47:52] 下面一位
[47:52] CNC车神飞霸
[47:55] 挨大的拖鞋是什么牌子
[47:57] 嗨梦我老哥
[47:58] Tesla的好戏还在后头
[47:59] 想听你近期对Intel的看法
[48:00] 其实前面都讲过
[48:01] 我認為是CPU啦
[48:02] 5月24號是我跟老婆佩儀交往12週年
[48:06] 以及結婚兩週年
[48:07] 雖然平時對小孩以及家務事
[48:08] 我都只是當個台幣戰士
[48:10] 但他對於這個家無私的付出
[48:12] 還是很有體感的
[48:13] 那這次留言想要藉由孟公
[48:14] 閒失的嗓音做老婆
[48:16] 天天開心身體健康
[48:17] 我跟小飛都愛你喔
[48:18] 那更感謝主委每週無私的分析
[48:20] 那support我能夠持續的瘋狂輸出新台幣
[48:23] 願您全家平安喜樂
[48:25] 愛您喔我愛您喔
[48:25] 下面有位
[48:26] 吳老闆油漆塗妝
[48:29] 太早起床怎麼辦
[48:31] 孟公安我是吳老闆啦
[48:32] 上次在深藏店遇到你們一家
[48:33] 是我今年最爽的事情
[48:34] Liza很正 Choco很漂亮
[48:36] 孟公也有穿衣服 屌你阿姨
[48:38] 創業一個多月了
[48:39] 最近遇到一個大問題
[48:40] 每天都會過早起床
[48:41] 4點多就自然醒開始想工作的事情
[48:43] 感覺自律神經比跳跳奶頭還要跳
[48:45] 不知道您有沒有相關的經驗
[48:46] 和解決方法 愛您
[48:48] 然後這個是非常常見的事情
[48:50] 特別是當我今天可能又
[48:51] initiate某個新的東西的時候
[48:53] 我就會這樣子
[48:53] 反正你就是有idea
[48:54] 你就會立刻想要跳起來
[48:55] 我覺得就順應吧
[48:56] 後來你一定有一段時間會開始習慣
[48:58] 那你就会开始睡得比较好一点
[48:59] 好大概这样子
[49:00] 下面一位
[49:01] Wintering127
[49:03] 2021开始的听众来了
[49:04] 孟公您好
[49:05] 我是从大概2020到2021开始听的听众
[49:07] 早期您很常分享
[49:09] 不懂就买0050这种ETF的观念
[49:11] 我听了之后就上网查完概念也开始买
[49:14] 虽然一开始买这些大盘ETF
[49:16] 都只能够每个月1000定期定额
[49:18] 那现在随着薪水的增长
[49:20] 有多买到每个月5000
[49:22] 在市场上算是超级迷你小资
[49:24] 但还是很感谢孟公
[49:25] 让我在刚出社会的时候
[49:26] 就接触到这些观念
[49:27] 我不懂股票
[49:28] 但能够持续的投资大盘
[49:29] 加减存点钱
[49:30] 我还是很感恩孟公的分享
[49:31] 祝您全家健康快乐
[49:33] 谢谢
[49:33] 其实现在买0050
[49:34] 已经不只是存钱了
[49:36] 0050已经变标股了
[49:37] 所以你是在大赚钱
[49:39] 下面一位
[49:39] 简林祖谋
[49:41] 股市哪时候可以上车
[49:42] 知南乔乌孟公去嘎
[49:43] aka观音大爷的代言人
[49:45] 你好
[49:45] 别这样说
[49:45] 我绝对不是什么观音大爷的代言人
[49:47] 那个是妈的
[49:48] 你们整天都想要去蹭我后面的观音
[49:51] 所以我才加减帮忙你们
[49:53] 他说先祝福各位捏软联盟
[49:55] 快乐宝贝身体健康
[49:56] 目前双宝进入
[49:58] 吵架打架的阶段
[49:59] 希望诺牙跟安哥
[50:00] 没有这种问题
[50:00] 好奇问一下
[50:01] 假如你是一家公司
[50:03] 从微行出来
[50:04] 当全职股票仔之后
[50:05] 资产已经翻了几倍
[50:06] 那常听爆股仔夸自己
[50:08] 想说挑革最强的
[50:09] 来调整自己的心态
[50:10] 发愿资产可以到
[50:12] 不用烦恼的地步
[50:13] 每个月捐净收入的
[50:15] 10%做善事
[50:16] 直到永远
[50:17] 关于红酒想知道
[50:18] Jayle怕红图
[50:20] 跟红头乐花的一个感想
[50:23] 周董心爷梦宫
[50:24] 我的人称偶像周六有去酒会吗
[50:28] 这个人好像感觉知道太多事情了
[50:31] 那首先先想说几倍
[50:33] 太多倍了
[50:36] 真的太多倍了
[50:36] 那时候可能就是大概
[50:38] 不知道十几万的一个身价吧
[50:40] 现在的话就远超了
[50:42] 那是远超
[50:43] 所以没错
[50:43] 你知道天花板是很高的
[50:45] 当我觉得我自己这样好像很多的时候
[50:47] 没有一堆又比我更多的
[50:48] 所以你要知道说这个世界是非常大
[50:50] 钱是赚不完的
[50:51] 不用去跟别人比较
[50:52] 跟自己比较就好
[50:54] 然後再來講說紅酒的話這兩個的感想
[50:57] 那個酒神的酒的話蠻不錯的
[51:00] 只是它現在就全部都是老酒了
[51:02] 我會覺得說比較可惜一點
[51:04] 我如果我早一點入坑的話
[51:06] 我覺得感受會不太一樣
[51:07] 因為我自己本身並不是太喜歡老酒的味道
[51:10] 可能不知道有朝有日會吧
[51:12] 我覺得那個也是慢慢有在調
[51:13] 像我一開始就很喜歡
[51:15] 那時候跟大家分享說
[51:16] 就像納帕或者說一些南美的酒
[51:19] 因為它那個果香炸彈很爽
[51:21] 但我後來喝比較多一點之後
[51:23] 我更喜欢的是像伯根蒂的那种
[51:26] 比较细致内敛的感觉
[51:27] 就真的是很有料
[51:29] 那个远远流畅
[51:30] 然后甚至是在接下来的一个小时
[51:31] 两个小时三个小时味道都不太一样
[51:33] 我很喜欢那样的一个感受
[51:34] 但是如果是像伯根蒂的酒
[51:36] 他放太久的话
[51:37] 其实应该主要都是老酒都有一样的问题
[51:39] 你放太久
[51:40] 他那个味道是这样
[51:41] 就是你可能
[51:42] 你喝一开始前半小时是很不错
[51:45] 可是一个小时之后
[51:46] 那个味道甚至像一个大哥跟我形容的
[51:48] 像是断言而弃的跳下去
[51:50] 会这样子
[51:50] 所以一些老酒
[51:51] 它已经是很像那种
[51:54] 不知道就是你今天在海上搭帆船
[51:57] 然后你看路上的灯
[51:59] 已经晚上12点一点了
[52:00] 那种微微的闪烁
[52:01] 就是剩下一点点的
[52:02] 你会觉得比较可惜
[52:03] 当然它也是有它的风味在
[52:05] 但你会觉得
[52:05] 如果你早个十年去喝应该不一样
[52:07] 然后再来讲说乐花的话
[52:09] 我觉得乐花就是一个
[52:11] 它应该是伯根地
[52:12] 我们也喝到现在是最强的
[52:14] 就是它在果香跟酸味的掌握上面
[52:17] 我觉得是做到一个极限
[52:19] 所以因为这样子
[52:20] 才赶快去了解一下
[52:22] 它到底是怎么搞的
[52:23] 为什么它的东西
[52:23] 跟别人
[52:24] 你在同一块地上弄出来
[52:25] 你怎么会不太一样
[52:26] 然后后来查来知道说
[52:27] 它用了一个什么生物动力法
[52:29] 简单来讲
[52:30] 就是它相信葡萄是要快乐的
[52:31] 它要让葡萄随便长
[52:33] 所以它的葡萄
[52:33] 你去找那个博根地的照片
[52:35] 我相信有照片
[52:35] 我一定会去现场看一下
[52:36] 它的葡萄就会长得
[52:38] 都比别人来得高
[52:39] 那你会想说
[52:40] 它的东西这么好喝
[52:41] 那为什么你们
[52:41] 不要去抄它的方式就好
[52:43] 那可是最后面就发现说
[52:45] 它的方式
[52:45] 不一定是对的方式
[52:46] 就是你让葡萄这样去生长
[52:48] 长得比别人可能高一辈子
[52:49] 那它会产生一些问题
[52:51] 可能一些鸟害
[52:52] 有些虫害
[52:52] 那在太阳的曝晒方面
[52:54] 也会比较不均衡
[52:55] 那可是为什么
[52:56] 它可以弄得这么好喝呢
[52:57] 我相信可能就是
[52:58] 它花很多心力
[52:59] 去照顾它的葡萄之类的
[53:01] 那我相信是没有什么大秘密
[53:03] 因为你知道这些顶尖酒庄
[53:06] 特别是像这个乐花夫人
[53:08] 她以前也是从那个DRC出来的
[53:11] 所以就是不知道
[53:13] 她可能真的特别用心
[53:14] 她弄出来的东西
[53:15] 是真的有点不太一样
[53:16] 但是有没有办法去justify价格呢
[53:18] 我觉得这个就像是我刚才前面讲到的
[53:21] 那种深不逢时的味道
[53:22] 前面的深不逢时是比较偏向说
[53:24] 我也想在可能酒神的这个酒
[53:28] 在不到2010 2015之类的去做尝试
[53:31] 我相信会比我现在去喝会更喜欢
[53:33] 然后再来就是乐花的话
[53:35] 我也是爬了一些台湾的葡萄酒大使们
[53:37] 反正我就去找出说业界的专家
[53:39] 然后看你们推什么东西
[53:40] 我就全部像吃汉一样
[53:41] 全部都会把它看完
[53:43] 那就有人写到说
[53:44] 他在30年前去喝乐花
[53:46] 只要3000块
[53:47] 我想说这也是另外一个深不逢时
[53:49] 因为你现在随便去买乐花
[53:50] 你随便买一个村庄一级元的
[53:53] 可能就是10、20万左右吧
[53:54] 那你要去买到Ground Crew的话
[53:56] 像那个Richardburg是40、50万
[53:57] 那慕西尼的话
[53:58] 大概都是要破一两百万以上
[53:59] 它是现在最贵的红酒
[54:01] 那我自己的感受是这样
[54:03] 我觉得其实找一个村庄级的
[54:04] 来靠一下就可以
[54:05] 红头村庄级的
[54:06] 那你就找个
[54:07] 不知道五个朋友一起分
[54:09] 大家一人喝一点
[54:10] 这应该是一个
[54:11] 蛮值得去做的尝试
[54:12] 那特别是我
[54:13] 我感觉这个酒还在更高价
[54:15] 为什么
[54:15] 因为第一个是刚才前面
[54:17] 忘记几集前有跟大家聊到
[54:18] 它会控货
[54:19] 这个阿婆它是会控货的
[54:21] 它很厉害
[54:22] 然后第二个是它年事已高
[54:23] 所以你知道就是
[54:25] 当然我们非常讲一些不好的听的话
[54:27] 可是你知道有些人
[54:27] 当它变成传奇之后
[54:29] 它会升华到另外一个等级
[54:31] 到时候搞不好就是
[54:32] 更加恐怖的一个价格
[54:34] 所以对啦
[54:34] 就是类似投资吧
[54:36] 最好的时间就是十年前
[54:39] 再来就是当下
[54:40] 你再不买的话
[54:40] 指数后面又要再到更高的地方
[54:42] 差不多这样的一个感受
[54:43] 但我自己是没有再去做囤货
[54:46] 反正我都是买来把它喝掉
[54:47] 买来喝掉
[54:48] 然后真的很喜欢的
[54:49] 我就留一瓶放在那边
[54:50] 然后希望未来有朝一日
[54:51] 会有对的时间点
[54:52] 再把它拿出来喝一下
[54:53] 感受一下
[54:53] 我当时喝到的2010年
[54:55] 是什么味道
[54:55] 那我十年后喝到的
[54:57] 2010年是什么味道
[54:58] 所以我会觉得说
[54:59] 我应该要早一点入坑
[55:00] 那我不用喝多
[55:01] 但是我就是慢慢喝
[55:03] 喝点点
[55:04] 那可是喝的够长
[55:05] 可以感受到很多不一样的东西
[55:07] 我现在对这个东西
[55:08] 是真的觉得蛮有兴趣的
[55:09] 那这个酒庄会是蛮推的
[55:11] 大家拜拜
[55:12] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
