[00:00] 欢迎收听谷爱,我是盛梦宫,本期节目由NordVPN赞助
[37:18] 不知道你剛剛講那個
[37:20] 一些什么宇宙状况
[37:21] 让我突然想到说你知道那个创生之柱吗那创生之柱呢在Elden Ring里面就是有人这样说我不确定是不是真的是这样里面的那个手指其实就是创生支柱我不知道怎么跟你分享这个
[37:33] 我觉得蛮好笑
[37:33] 下面一位
[37:34] 卢洲科家艳
[37:36] 孟公孟公我老公
[37:37] 嗨孟公
[37:38] 我跟未婚夫在投资观念
[37:40] 人生观点
[37:41] 受你启发多年
[37:41] 真心感谢你陪我们一起成长
[37:43] 我们一句一年后要出国念研究所两年
[37:46] 目标留在当地工作
[37:47] 目前的资产配置90%台积电
[37:49] 可以申请学贷之外
[37:50] 还是需要准备一笔现金在身上
[37:53] 这个时间点很难说服自己卖出
[37:55] 那想请问孟公取卡
[37:56] 如果是这种人生大事
[37:57] VS投资持有的情境之下
[37:59] 如何取舍
[37:59] 会建议如何调整部位比较健康
[38:01] 还请求老公教化开心
[38:03] 感谢您祝福老公一家平安健康
[38:06] 家庭幸福美满
[38:08] 当然我会觉得钱就是要拿来花的
[38:10] 所以怎么讲
[38:12] 这是一个很难的题目
[38:13] 因为你如果问我的话
[38:14] 我也希望说每笔钱都丢进市场里面
[38:17] 那或是我们自己身边一些朋友
[38:18] 这很好笑
[38:18] 因为我们就是有可能在今年跟明年要开餐厅
[38:21] 所以那时候就有去弄一些东西
[38:22] 然后让自己身边一些朋友去试吃
[38:25] 因为他们是我们的TA
[38:26] 你知道吗
[38:26] 就在林口的新锐工程师
[38:28] 年收可能三五百万以上
[38:29] 那我们知道说他们可能对于这些花费
[38:31] 应该会比较宽松吧
[38:32] 因为都是已经有房子又有钱的
[38:34] 就没想到他们都整天在跟我讲说
[38:36] 怎么没钱
[38:37] 怎么吃东西要怎么样要省
[38:39] 然后怎么样少花一点
[38:40] 因为要拿去买股票
[38:41] 那所以最后面发现说这个阵头是
[38:43] 不管你是可能年收五百到年收三千一亿
[38:46] 你都有一样的困扰
[38:47] 就是很多人的心态
[38:48] 他是过不去的
[38:49] 他就觉得他不想花钱
[38:50] 他想把所有钱都丢进去
[38:51] 市场里面继续滚
[38:52] 因为市场很好
[38:52] 就是这样子想
[38:53] 可是当今天市场不好的时候
[38:54] 你就会开始注意到
[38:55] 很多人会陷动
[38:56] 就会po
[38:56] 很贵的酒
[38:57] 或是说很好的车子
[38:58] 骂的赔掉
[38:59] 不如去买台车
[39:00] 赔掉不如吃掉
[39:01] 所以那个是看市况的
[39:03] 我自己还是会比较站在
[39:05] 就如果说今天有一些人生目标
[39:06] 要去完成的话
[39:07] 那钱就照那来花
[39:08] 这是没有问题的
[39:09] 只是因为我们今天是
[39:11] 对市场有点了解的
[39:12] 我们对工具是了解的
[39:14] 我們可以有一些折衷的手段
[39:15] 這個我們以前節目有跟大家分享過
[39:17] 股票指壓
[39:18] 你可以把你的股票拿去指壓
[39:20] 指壓的利率一般
[39:22] 我是不知道大概是多少
[39:23] 可是我大概是2%多一點點
[39:25] 可能有些高的可能到2.5到2.7
[39:27] 但沒有過3%
[39:29] 所以它其實是一個非常低利的貸款
[39:31] 然後一般來說是這樣
[39:33] 它是可以無限展延的
[39:35] 但一樣我前面的利率跟可不可以展延
[39:38] 我不敢講的很滿的原因
[39:39] 是因為我算是成交量大
[39:40] 然後券商的地有給我比較好的
[39:42] 那我后来知道说有些散户
[39:44] 他可能没有办法拿到这样的地
[39:45] 所以你们要自己去问一下
[39:46] 那如果说他是可以无限展延的
[39:49] 然后跟他的利率是低的话
[39:50] 你不一定要现在把东西卖掉
[39:52] 我可不可以说
[39:53] 我先把我的股票都指压进去
[39:55] 我先借一部分出来
[39:56] 然后让我可以先出国念书
[39:58] 如果说后来真的是火烧屁股或什么的
[40:00] 我真的需要的时候
[40:01] 我就卖单薄品就好
[40:02] 因为你卖那个单薄品
[40:03] 单薄品就会自动回充掉你的借款
[40:05] 所以他理论上会让你有更多的弹性
[40:08] 东西不用卖
[40:08] 你一样可以去实践出国的梦想
[40:11] 而且这也不算是放大什么风险
[40:13] 因为你本来这个部位
[40:14] 你就是打算要卖
[40:15] 只是你现在延后去卖它而已
[40:17] 或者是你搞不好有其他的收入
[40:19] 你只需要有一个
[40:20] 类似蓄红池的概念
[40:22] 让你可以稍微周转一下
[40:23] 那就是一个非常好的选项
[40:24] 所以参考看看
[40:25] 股票指压
[40:26] 我可以去研究一下
[40:27] 那一样
[40:28] 我每次讲这种东西
[40:29] 我很怕的点是
[40:30] 就是一定会有一些快乐宝贝
[40:31] 他讲指压
[40:32] 然后从下开始全部去指压
[40:33] 然后后来他大爆炸
[40:34] 所以自己要量力而为
[40:36] 下面一位
[40:36] 快乐宝贝大韭菜
[40:37] 有人cue我
[40:38] EP67的很持久大大
[40:40] 密码在这里
[40:41] 不过您也留言成功了
[40:43] 孟公取嘎爱你
[40:44] 不是你还是没有讲密码是什么
[40:46] 下面一位
[40:46] 祝世界健康平安
[40:48] 祝全世界的人都健康平安
[40:50] 感谢孟公又指导节目
[40:51] 我可爱的雨昕
[40:53] 出生就被检查出听力异常
[40:55] 现在一岁四个月了
[40:56] 还是没有检验正常
[40:57] 无论是病毒或者基因衰减
[40:59] 都没有任何的问题
[41:00] 先前听到其他的小孩确定误判
[41:03] 脱离煎熬
[41:04] 很替他们开心
[41:05] 真好希望雨昕在未来确定是误判
[41:07] 听力正常健康快乐成长
[41:09] 如果正常将捐出八万元
[41:11] 请孟公替我向观音断
[41:13] 祝福雨昕健康平安
[41:15] 也祝福孟公全家平安
[41:16] 所有听众健康
[41:17] 谢谢孟公
[41:18] 我们希望雨昕的耳朵
[41:20] 可以快点好起来
[41:21] 这个Soundcheck
[41:22] 左边
[41:23] 左边
[41:24] 右边
[41:24] 右边
[41:25] 听一听这个耳朵立刻好起来
[41:27] 让爸爸开心
[41:28] 那也希望你可以健康快乐
[41:30] 平安的长大
[41:30] 那我们自己身边也有朋友
[41:31] 他是小孩子有这个耳朵的问题
[41:33] 他蛮常见的
[41:34] 我印象都蛮常听到的
[41:36] 那我印象中有些是
[41:38] 后面还是需要一些助听的东西
[41:40] 但他生活是无虑的
[41:42] 拿下助听的东西
[41:43] 其实是高科技的
[41:44] 所以他不会像你想象的很不方便
[41:46] 就是说button line是这样
[41:47] 就是最差就是这样
[41:48] 那好的话就蛮多
[41:50] 就突然间就好起来了
[41:50] 所以我们相信他会突然间就好起来
[41:52] 我们希望他可以顺利
[41:53] 下面一位
[41:54] 木炸菜衣里
[41:55] 孟公去嘎
[41:56] 谢谢您优质节目
[41:57] 孟公去嘎
[41:57] 您好
[41:58] 我男友是您的忠实粉丝
[42:00] 常常在开车的时候
[42:01] 一起收听您的节目
[42:02] 让我也入坑
[42:02] 谢谢你的优质分析
[42:03] 让我们收益良多
[42:04] 希望可以用肌肉猛男的声音祝福州保罗生日快乐
[42:08] 在这边祝孟公去搞全家平安
[42:10] 这样快乐
[42:11] 谢谢
[42:11] 这个怎么念
[42:12] 耶稣钉手中
[42:14] 妓女怎么赚钱
[42:15] 猜一个台湾地名
[42:17] 永康
[42:18] 括号台语
[42:19] 这是他讲的
[42:21] 这上面什么耶稣钉手中
[42:23] 跟这个都不是我讲
[42:24] 都他讲
[42:25] 他说下个礼拜四的晚上
[42:26] 不知道自己我们会聊到发哥的法说内容
[42:29] 注意到发哥自己预估在27年
[42:31] ASIC的市占率会拉到10到15%
[42:32] 但在这之前已经看到
[42:34] 有人喊到2027会到20%以上
[42:36] 这样的法说算不算是不合预期
[42:38] 感谢回复
[42:38] 那最后再补一个
[42:40] 好了红牛跟十字架
[42:41] 有什么共同点
[42:42] 两个都可以提神
[42:43] Jesus Christ
[42:45] 观音
[42:46] Mohamed
[42:46] 这不是我讲的
[42:47] 这是他讲的
[42:48] 观音
[42:48] 这不是我讲的
[42:49] 那他前面讲的那个东西
[42:51] 对没错
[42:52] 市场会提早喊出一些
[42:54] 蛮恐怖的数字
[42:55] 但是呢
[42:55] 必须得说在发哥讲完之后
[42:57] 我看了几家券商的报告
[42:59] 但他们开的数字
[43:00] 有些是比
[43:01] 我觉得市场传的小作文的数字都还高
[43:03] 不是有一个有看到EPS快到400去吗
[43:06] 你知道我那时候看到
[43:07] 就是海外的某一家盐调的朋友
[43:10] 给我看他们的data
[43:11] 然后讲说最好的状况
[43:13] 什么出到6到8million
[43:15] 可以到这个EPS
[43:16] 我直接想说这会不会太乐观
[43:18] 可是现在有些券商报告
[43:19] 就都直接敢这样子写了
[43:20] 那一般来讲
[43:21] 券商报告写的东西
[43:23] 跟最后面市场的谣言比起来
[43:25] 券商报告是相对会比较保守一点
[43:27] 所以不晓得
[43:28] 因为我觉得发哥
[43:29] 真的在过去一阵子
[43:30] 是已经涨了很多了
[43:31] 那只是我必须得说
[43:33] 就是我们本来在心目中
[43:34] 觉得是很夸张的剧本
[43:35] 就竟然有券商报告
[43:36] 敢把它写出来
[43:38] 所以甚至可能可以代表说
[43:39] 我们的想象力还不够丰富
[43:41] 搞不好可以更丰富之类的
[43:42] 这就是看后面的一些发展
[43:45] 所以确实就是从
[43:46] 可能本来手机的一个论述
[43:47] 转成AI之后
[43:48] 市场非常的买单
[43:49] 大家完全忘记手机那块
[43:51] 不屌了
[43:51] 反正完全去看AI
[43:52] 以为注意到AI可能在后面的
[43:54] 贡献是还蛮不错
[43:55] 我必须得说
[43:56] 我自己心中抓的数字
[43:57] 大概是我稍微看一下
[43:58] 市场新公布的报告consensus
[44:00] 我大概打个可能不知道八折之类的吧
[44:03] 我觉得那是有机会可以到啦
[44:05] 但对现在大家是很乐观
[44:06] 我觉得是偏乐观
[44:07] 那你说这样子公司的说法
[44:09] 不会是不合预期
[44:10] 还好因为是在公司讲完之后
[44:12] 他们才跑去做upgrade
[44:13] 所以应该只要担心的是
[44:15] 会不会前面一些人已经先买好了
[44:17] 然后趁这个地方丢一坨之类的
[44:18] 但你要知道这个就是坡段里面
[44:20] 必然会发生的一些起起伏伏
[44:22] 下面一位三重加酒族
[44:24] 爱心喷水喷水
[44:27] 爱心点茄子
[44:28] 六星U值节目推推
[44:30] 孟仔前几次你说去球场
[44:33] 有人在拍你乱看
[44:35] 是不是可以戴个墨镜
[44:36] 要直男去球场
[44:37] 不能够看啦啦队
[44:38] 真的太严格了
[44:39] 那另外现在没有什么人在聊机器人
[44:41] 但好奇你认为
[44:42] 可以换皮肤的女性机器人
[44:44] 会在2035年有望看到吗
[44:46] 那孟仔会买一只回去玩吗
[44:48] 那最后我女友的美甲工作室
[44:50] 空间成真美甲
[44:52] 施来足
[44:52] 包可在这边争道
[44:53] 地点是新北板桥
[44:54] 新浦站走路两分钟就到
[44:56] 所以账号是coolcats.many
[44:59] 那谢谢孟仔
[45:00] 祝你们全家身体健康平安
[45:02] 应该是没有办法买一只回家玩
[45:05] 那个会被制裁
[45:05] 我觉得我可能最多
[45:07] 就是去稍微看一下
[45:08] 这个东西我觉得也不会变成是主流
[45:10] 就像是有飞机杯之后
[45:11] 你说人家就不会用手铐枪
[45:13] 还是会
[45:14] 只是可能就是有一个新的选项
[45:16] 那一样很多人会说什么
[45:17] 有人型机器人之后
[45:18] 大家就没有交女友的一个需求
[45:20] 我反而觉得不是
[45:21] 讲反的是那些交不到女友的
[45:23] 会去搞这些人型机器人
[45:24] 你交到真人的
[45:25] 你干嘛还要去玩机器人
[45:27] 我自己讲这个
[45:27] 我都开始在怀疑我自己
[45:28] 因为可能机器人不会抱怨
[45:30] 不会有的没有的
[45:30] 不会问说晚上要吃什么
[45:31] 不会讲说你袜子乱丢
[45:34] 不会说什么
[45:34] 你怎么没有在打扫家
[45:35] 对
[45:36] 所以有些人可能会选极简
[45:37] 但我意思是说
[45:37] 它都是一个选项
[45:39] 类似我们比较不喜欢去捧A踩B
[45:41] 或者说谁取代谁一样
[45:43] 反正就是多一个选项
[45:44] 那我们的人类的生活
[45:46] 其实越来越富足的
[45:47] 你知道各式各样的人
[45:48] 都可以找到他
[45:49] 适合落脚的地方
[45:50] 那下面一位
[45:51] 眼前的黑不是黑
[45:54] 你说的白是茉莉奶
[45:56] 没事来听您唱歌的
[45:58] 看到留言区有同好
[45:59] 但沒有掌握到留言密碼幫留一下
[46:01] 鹽燒店的燕尾瀰漫
[46:04] 戈壁是過速罐
[46:05] 為什麼都是四聲
[46:06] 不是啊
[46:07] 這個你可能要等周杰倫開Podcast的時候
[46:10] 還是下次他演唱會
[46:11] 麥克風遞到你手上的時候
[46:12] 你就問他
[46:13] 確實為什麼會都是四聲的
[46:15] 鹽燒店的燕霧瀰漫
[46:18] 戈壁是過速罐
[46:19] 電力的罵罵唱
[46:21] 差到有三段
[46:23] 為什麼段要放在下個段
[46:25] 不知道
[46:25] 下面一位
[46:27] 博訊你最帥
[46:29] MK我偶像
[46:29] 这个是posting粉丝吧
[46:31] Seasons change and our love went cold
[46:34] Feed the flame cause we can't let go
[46:37] 不知道歌词太长
[46:38] 我自己会念到尴尬来发出
[46:40] 不知道为什么每个人都排流歌词
[46:41] 我其实我不太会唱歌
[46:43] 排流歌词我怕伤害到大家的耳朵
[46:47] 他说想请孟公唱一段posting
[46:49] 祝最帅的博勋5月3号生日快乐
[46:51] 因为爱你我们爱博勋
[46:52] 下面有位
[46:52] 第一次留言测试
[46:54] 股票只会涨不会跌
[46:55] 没错跟我最近的想法一样
[46:56] 真的只会涨不会跌
[46:57] 孟公武安想问问某南门口中的破译
[47:00] 是看总资产还是净资产
[47:02] 另外在FRED上面看到
[47:04] 有认真育儿的爸爸
[47:05] 通常信任活美满
[47:07] 想问问孟公对这个命题的看法
[47:10] 爱宁
[47:10] 首先一般来讲
[47:12] 我不知道大家的圈子是怎么样
[47:13] 因为我注意到我现在讲总资产
[47:15] 要把他的房子什么都算进去
[47:16] 然后甚至是把贷款都排除掉
[47:18] 我们的世界比较简单
[47:20] 我们跟身边朋友
[47:21] 大家一般在很少在问这种话题
[47:23] 但如果有聊到一般在讲AUM
[47:26] 就是你到底这个asset under management
[47:28] 你要有多少钱在你手上
[47:29] 这个是不含代钞的
[47:30] 就你到底有多少钱
[47:32] 所以这个是扣除掉你的质押贷款什么的
[47:34] 就你总共的净值是多少
[47:35] 所以一般是在讲净值
[47:37] 不是在讲这个总资产
[47:39] 因为总资产可能是含的贷款在里面
[47:41] 或者说可能含房地产
[47:42] 或者什么其他有的没有的东西
[47:43] 一般讲这个股票的净值
[47:45] 那再来讲说
[47:46] 是不是通常性生活美满
[47:48] 我觉得是吧
[47:49] 某个角度上来说是啊
[47:51] 因为你认真育儿
[47:52] 或说你回家
[47:53] 你老婆看到你
[47:54] 就是把什么地扫好
[47:56] 小朋友都安顿好
[47:57] 然后或者说什么洗碗机loading
[47:59] 全部装好什么的
[48:00] 这个老婆很难不动心
[48:01] 所以现生活美满也是正常的
[48:03] 兄弟们
[48:03] 这期节目就到这边
[48:04] 拜拜
[48:05] 古埃认证的边缘人
[48:06] 五星吹吹留言测试XXVI
[48:08] MK对于边缘运算的前景有什么看法
[48:11] 在企业消费性或是什么方向比较有机会
[48:14] 看着网络文章随股价涨跌一下
[48:16] 边缘运算即将迎来爆发
[48:19] 一下子边缘运算已死
[48:20] 我都分不清他到底是死还是活了
[48:23] 不是啊,他说古来认证的边缘人是不是因为你就是前面那个跑来问我那个
[48:27] 严华的那个吗,严华跟元泰嘛,那我直接说边缘人股票
[48:31] 就后来这两个党妈直接给我动起来
[48:33] OK,好那边缘运算到底什么东西
[48:36] 简单来讲就是你不用把它太sugar coating然后讲得很酷或什么的
[48:40] 其实边缘运算就是贩子那些不是在data center里面
[48:44] 然后是在你的口袋,在你的电脑,在你家里或在你的办公室的运算的能量
[48:49] 我们就把它视为是Edge computing,甚至是你的手机就是一个
[48:52] 那所以呢
[48:53] 就是如果说未来的运算
[48:55] 我们那些东西会往这个Edge去offload的话
[48:57] 那当然我们就可以去视为说
[48:59] 变化运算有机会迎来一波爆发
[49:00] 上一波大家想要炒这个话题的时候
[49:02] 是在讲说AIPC
[49:03] 然后最后面证明说AIPC就是一个joke
[49:05] 还是一个笑话
[49:06] 那时候我们自己买一台AIPC电脑的时候
[49:08] 也跟大家分享了这些心得
[49:09] 就我们觉得这个是华而不实的东西
[49:11] 那当然未来会不会突然间爆发
[49:13] 我们不确定
[49:13] 我们是可以合理的去期待说
[49:16] 确实会往那个方向去
[49:17] 因为低延迟
[49:18] 然后跟反应快
[49:19] 以及可能不用去占用太多的流量费用
[49:21] 那确实就会是厂商或是使用者
[49:23] 都想要的一个剧本
[49:24] 但近期是没有看到什么
[49:26] 特别的契机存在
[49:28] 但我觉得像Google的分享有意思
[49:31] 他在他电话会里面有提到说
[49:32] 他的TPU外销
[49:34] 其实某种程度上可以视为
[49:35] 是他Cloud的一个策略的一环
[49:36] 因为他有些客人
[49:37] 就是希望把那些东西
[49:39] 放在他们自己的Data Center
[49:41] 放在他们自己的机房里面
[49:42] 所以那个算不算是
[49:43] 某个程度的边缘运算呢
[49:45] 可能也算
[49:46] 因为他并不是在
[49:47] Google的中心化的Data Center里面
[49:49] 所以我觉得后面的界限
[49:50] 会越来越模糊
[49:51] 或许甚至根本不用去讨论这个东西
[49:53] 拜拜
