[00:00] 歡迎收聽谷愛,我是孟公,本期節目由木鶴單一麥芽威士忌贊助
[39:39] 其實就代表這些人他是沒有common sense的
[39:41] 他是活在某一種自己建構出來的世界
[39:43] 跟我們開頭聊到的那些人一樣
[39:45] 就是他們自己非常相信
[39:47] 某一套他們自己
[39:48] 掰出來的世界的邏輯
[39:50] 然後他們
[39:51] 也不能說他們
[39:52] 很完整的在執行它
[39:53] 反正就是為反而反
[39:55] 在做一些
[39:55] 他媽超奇怪的事情
[39:56] 所以很多時候
[39:57] 就是把事情迴歸到
[39:59] 最基本就好
[39:59] 你會很有效率
[40:01] 去識別一些人的動機
[40:03] 你想太多
[40:04] 你反而會把事情搞複雜
[40:05] 你就回到最簡單的
[40:07] 這件事情為什麼他會做
[40:08] 是不是對他有利
[40:09] 是不是對我有利
[40:09] 或什麼的
[40:10] 你用這種超級簡單的
[40:11] 利益的框架去套也可以
[40:13] 你就會把事情
[40:14] 完全的解出來
[40:15] 就不會像以前這麼複雜
[40:16] 然後去猜人家感受
[40:17] 還要讀空氣什麼的
[40:19] 那當然有好有壞了
[40:20] 就是我的這一套做法
[40:21] 我相信如果你把我丟到職場去的話
[40:23] 我可能也會有一點格格不入
[40:25] 因為有時候就是要有一些vague
[40:27] 就是要有一些那種捉摸不定
[40:30] 然後感覺說
[40:31] 大家都彼此稍微有一些空間的
[40:34] 那種打太極的感覺
[40:35] 那我是不太喜歡那樣子的東西
[40:36] 所以還好我在家自己工作
[40:37] 但是我相信各位聽眾
[40:39] 如果有些是在corporate ladder裡面爬的
[40:41] 你可能沒有辦法這麼的直白
[40:44] 或是不弄玄虛
[40:45] 或者是實話實說
[40:47] 那也沒有辦法
[40:48] 就只好演一下
[40:48] 下面一位米高玄師
[40:50] 拜天拜地唯一指定孟宮
[40:52] 那股票沒啥好求的東
[40:54] 好這個是上次說要把老婆灌滿的
[40:57] 那他可能又額外再留一次
[40:58] 我發現很多人是這樣
[40:59] 他就是不停的去刷留言
[41:01] 所以才會又重複出來
[41:02] 你只要留一次就一定會出來
[41:04] 那只是看Apple是怎麼樣去做安排
[41:06] 那因為我家人在海外
[41:07] 所以可能看到的時間
[41:09] 也跟大家不太一樣
[41:10] 下面一位OSIS7799
[41:12] 感謝孟宮
[41:13] 哈嘍孟宮
[41:13] 從疫情開始聽到老聽眾
[41:14] 來留言感謝了
[41:15] 孟公對我來說
[41:16] 如同山上優雅
[41:18] 一樣有如肉生活菩薩的存在
[41:21] 不是吧
[41:22] 一個對你來說是肉林之吧
[41:23] 那教會懵懵懂懂的
[41:25] 我許多知識跟觀念
[41:27] 在聽節目的這幾年
[41:28] 資產也持續增加
[41:29] 並買了間房
[41:30] 我時常在想
[41:31] 如果沒有孟公開這個節目
[41:32] 我可能一樣會是
[41:34] 那個老老實實工作
[41:35] 錢存銀行的人
[41:36] 那實在很感謝這個節目
[41:38] 讓我有機會聽到
[41:39] 與我不同階級的人的思維跟想法
[41:41] 那祝孟公一家大小平安快樂
[41:43] PS上次分享安哥照片給老婆看
[41:46] 他竟然說像馬如龍
[41:47] 那請問這個老婆是不是不能要了
[41:49] 我是覺得不太像馬如龍
[41:51] 但馬如龍是真的長得還蠻Q的
[41:53] 小時候應該是可愛的小朋友
[41:55] 那再來講說
[41:57] 他覺得非常高興認識我
[41:59] 但我覺得備受抬舉
[42:01] 可是老實講
[42:02] 很多時候就還是要回歸到
[42:03] 那個終局論
[42:04] 你不確定
[42:05] 就你現在可能
[42:05] 不知道就賺了一個房或什麼的
[42:07] 可是搞不好有時候
[42:08] 你也會敗在股票
[42:09] 然後說
[42:10] 幹你孃早知道幾年前不要聽股還
[42:12] 我就是乖乖把錢存一樣
[42:13] 我就一路都很安全了
[42:15] 所以未來會怎麼樣不知道
[42:17] 我們只能夠說
[42:18] 我們儘可能的把一些求生的秘訣
[42:21] 分享給大家
[42:22] 也不敢講說是我在教你
[42:23] 或是像你提到什麼
[42:24] 跟你不同階級
[42:25] 沒有我們大家都是同一個階級
[42:27] 都是在臺灣的一般人
[42:29] 我們也不是什麼貴族的後裔
[42:30] 什麼小都不是
[42:31] 就是一個正常人
[42:32] 所以只是我們知道一些美美角角
[42:35] 那你如果是長期聽我們的節目
[42:37] 也會知道說
[42:38] 有些題材有抓到
[42:39] 有些題材就算有抓到
[42:41] 股票一樣不會漲
[42:42] 有些題材抓錯或什麼的
[42:44] 所以其實也都是會犯錯
[42:45] 但是我覺得有些基本的觀念學起來
[42:47] 包含像是一些部位的控管
[42:49] 一些槓桿的調整
[42:51] 或是一些線圖
[42:52] 簡單的判斷跟產業
[42:53] 你要怎麼知道誰是bullshit
[42:55] 怎麼樣抓一些比例或什麼的
[42:56] 這個應該都是會蠻受用的
[42:58] 所以如果可以在這些觀念上面
[43:00] 幫到大家
[43:01] 那我個人也是覺得非常好
[43:03] 因為我自己也是透過很多長輩
[43:05] 前輩的幫忙之下
[43:07] 然後把觀念越調越好
[43:08] 下面一位
[43:09] 黃船戀戀
[43:11] 大方發願
[43:12] 有願必成
[43:13] 孟公斷
[43:13] 你好
[43:14] 最近大方發願運動
[43:16] 我來分享過去的成功案例
[43:17] 給大家正向回饋
[43:18] 想當年也是考嚴索
[43:19] 目標就是成大
[43:20] 但是應屆考出來
[43:21] 倍二沒有倍上
[43:22] 就決定嚴畢一年繼續拼
[43:24] 這年我就跟觀音斷髮願
[43:26] 讓我考上研究所
[43:27] 我就吃素兩年
[43:28] 結果三月放板還是倍二
[43:29] 掛號心理超幹
[43:31] 然後surprise
[43:32] 六月正想放棄的時候
[43:33] 突然收到通知
[43:34] 被取上了
[43:35] 哇靠真的大方發願
[43:36] 有願必成
[43:37] 然後就開始吃素
[43:38] 還願
[43:39] 希望給大家信心
[43:40] 回想不錯
[43:41] 再來分享案例
[43:42] 最後祝孟公一家出門在外
[43:44] 一切平安
[43:44] 處事順利
[43:45] 非常恭喜這位兄弟
[43:46] 也感謝你的案例分享
[43:47] 但很多時候
[43:48] 我不知道吐槽你
[43:49] 我是很好奇
[43:50] 你吃素幹他媽神明屌事
[43:52] 因為我自己也有朋友
[43:54] 他每次要許願
[43:55] 他都去許願說他吃素
[43:57] 我心中想的是
[43:58] 不知道
[43:59] 就吃素某個程度上
[44:00] 對你這種暴飲暴食仔來說
[44:02] 媽的你還減肥
[44:03] 身體的體型可能還變好
[44:04] 或什麼的
[44:05] 你完全都在自立
[44:06] 你吃素到底幫到神明什麼
[44:07] 除非那個神明他的願望就是叫你
[44:09] 不要去吃肉之類的
[44:11] 不然你吃素到底幫到神明什麼
[44:13] 所以很多時候我都會去思考
[44:14] 就像剛剛前面講的
[44:15] 為什麼我們有時候可以把一些東西
[44:17] 可能看得比較明白一點
[44:18] 因為我們就是迴歸到最簡單的
[44:20] 你用利益的框架都可以
[44:21] 雖然利益的框架只是其中一種框架
[44:23] 就是你這樣做到底神明獲得什麼
[44:25] 神明什麼小都沒有獲得
[44:26] 都是你在獲得東西
[44:28] 小泡芙也是你媽買回家自己吃掉
[44:30] 請問你覺得神明為什麼要grant your wishes
[44:32] 就是有時候會覺得
[44:33] 這個要幹不是故意又精進體
[44:35] 因為有時候腦筋會反應不過來
[44:36] 我跟我老婆平時都是用英文在講話
[44:38] 對所以就是
[44:39] 我就很好奇說
[44:40] 你沒有給神明什麼東西
[44:42] 你憑什麼跟他許願
[44:43] 所以也不是說什麼
[44:44] 我鼓勵大家一定要給神明一堆東西
[44:46] 有時候就是很單純
[44:47] 就是一個疑問
[44:48] 你想象一下神明假設真的存在
[44:51] 就真的有這一尊東西
[44:52] 或者說有一天你真的變神明瞭
[44:54] 然後有一堆信眾來找你
[44:56] 你要怎麼樣會
[44:57] 這某種將心比心吧
[44:59] 就這麼多信眾這麼多聲音
[45:01] 類似說人家講說
[45:02] Superman飛在半空中的時候
[45:04] 他會聽到各地的聲音
[45:05] 他什麼聲音都聽得到
[45:06] 包含人家的許願或什麼的
[45:07] 你要怎麼樣決定誰是priority
[45:09] 然後誰是排在後面的
[45:11] 所以我就是用這個邏輯去想
[45:13] 我就覺得說
[45:13] 你各位媽有時候太小氣了
[45:15] 就連那個吃素
[45:16] 我覺得都怪怪的
[45:17] 就想如果那時候你不是許吃素
[45:18] 你是許一個
[45:19] 我捐一點相互錢
[45:20] 幫你蓋廟之類的
[45:21] 還是怎麼樣
[45:22] 還是說我幫你推廣
[45:23] 我在我的什麼臉書線動
[45:24] 整天都講說
[45:25] 這個觀音廟超屌之類的
[45:27] 你幫他多找20個行眾
[45:28] 說不定你早就上了
[45:29] 說不定他媽第一年就上了
[45:30] 下面一位
[45:31] DDD AACCC
[45:33] 純愛戰士
[45:34] 愛大安前陣子去林老師那邊
[45:36] 抱持這一種去體驗的感覺
[45:38] 老師沒有說我什麼不好
[45:39] 但就說以後會很好
[45:40] 現在賺不了什麼錢
[45:41] 孟公會覺得有錢
[45:43] 這件事情會有代價嗎
[45:44] 對了我第一次會面完
[45:46] 老師叫我去會面第二次
[45:48] 然後再放一個錢幣
[45:49] 在裡面第一次給我的
[45:51] 紅包裡面就走了
[45:53] 那想問愛大
[45:54] 老師有叫你回去第二次嗎
[45:56] 我還是得強調一次
[45:57] 就是我跟大家分享
[45:58] 這個算命的體驗
[46:00] 當時我是算了超級多老師
[46:02] 真的是跟我朋友
[46:03] 大概每兩三個禮拜
[46:04] 就會跑去一次
[46:05] 然後我們都去
[46:06] 大家講什麼國師等級
[46:07] 然後什麼哪一個外資
[46:09] 什麼每年都會聽他分享
[46:10] 什麼小的
[46:11] 就是那種各種
[46:12] 大家講最強的老師
[46:13] 我們都全部去
[46:14] 也不要講踢館
[46:16] 但真的是抱持這一種
[46:17] 戲虐的態度
[46:18] 想說你們到底多會
[46:19] 就是為什麼會有這麼多
[46:21] 就是以前我也是不太信這樣的東西
[46:23] 然後後來就是
[46:23] 遇到了兩個
[46:25] 我真的覺得還蠻有料的老師
[46:26] 就是有嚇到
[46:27] 然後後來笑到說
[46:28] 我給大家的心得是什麼呢
[46:30] 我是跟大家講說
[46:31] 這是我最後的算命
[46:33] 後來就再也不會算命了
[46:34] 所以大家其實要聽
[46:36] 我最後講的這個話
[46:37] 很多時候我覺得很好笑
[46:38] 就是我節目跟大家講一些東西
[46:40] 然後大家會很一廂情願的
[46:42] 往另外一個方向去
[46:43] 就是我明明就叫大家說
[46:45] 其實你不需要去算命
[46:46] 就是我真的看到這種恐怖的人
[46:48] 然後也不是什麼
[46:48] 故意反向行銷或什麼的
[46:51] 故意講說
[46:51] 你不要去不要去
[46:52] 然後讓大家去
[46:53] 我是真的覺得說
[46:54] 你不要去這種地方
[46:55] 所以我不在意那些老師
[46:57] 到底講了什麼東西
[46:58] 那老師跟大家講
[46:59] 老師跟我講是講到
[47:00] 我是很好很好的那種命
[47:02] 那一般如果人家聽到這個
[47:04] 一定就怎麼樣
[47:04] 這個龍興大悅
[47:06] 從此我就整天找你當我的老師
[47:08] 我剛好相反
[47:09] 你跟我講我很好或什麼的
[47:11] 我就知道說
[47:11] 其實我這一生命是真的不錯
[47:13] 所以我不用你來幫我
[47:16] 這個reassure這一件事情
[47:18] 那同時我也覺得有點恐怖
[47:20] 因為就不知道什麼
[47:21] 就覺得你準成這樣子
[47:23] 會不會代表說
[47:24] 就是你知道太多我的資訊
[47:27] 其實我會有點害怕
[47:28] 他當然有講說
[47:29] 你之後可以再回來找我
[47:31] 反正我就不會再算命了
[47:33] 其實我本來還有要再去一個算命
[47:34] 但我還是得跟大家強調
[47:36] 因為我這個人是超級有彈性的人
[47:37] 就像是什麼
[47:38] 有些東西我本來不看好
[47:40] 可是這方面他突破了
[47:41] 我照樣上車
[47:41] 我就是很簡單
[47:42] 反正我的目標很明確
[47:43] 老子是來賺錢的
[47:44] 所以我雖然已經不想算命
[47:46] 可是那時候有一個朋友就跟我講
[47:48] 就是那時候陳天跟我去算命
[47:49] 他說他在夢到一個算命的場所
[47:52] 然後叫他去或什麼的
[47:54] 然後他就問他媽媽說
[47:55] 這個地方好算命的
[47:57] 因為在他老家附近
[47:58] 他夢到在他老家附近
[47:59] 就真的有一個算命的在那邊
[48:01] 然後是他媽媽小時候帶他去過
[48:03] 所以我覺得這個有屌
[48:05] 你要去嗎
[48:05] 你要去我陪你去
[48:06] 只是後來我還是沒有去
[48:08] 我就推另外一個朋友去
[48:09] 因為剛好就是有事情
[48:11] 然後他們那個名額又有限
[48:12] 有另外一個人想算我就叫他去
[48:14] 所以我其實態度是變得非常的free
[48:16] 我並沒有因為說
[48:17] 我看到了一些很強的算命
[48:20] 所以我就整個要依賴上去
[48:22] 所以還是得強調
[48:22] 我只是跟大家分享一些奇遇
[48:24] 請大家不要去依賴這樣子的東西
[48:27] 那我可能也是拿自身經驗
[48:28] 跟大家講
[48:29] 就是我都已經是提早大家
[48:31] 因為你們一定沒有算的我多
[48:33] 因為我真的是他媽壓起來
[48:34] 而且都是那種人家說很屌
[48:36] 然後可能腰架不菲的老師
[48:38] 所以我們就全上了
[48:39] 那所以我經驗一定是比大家多
[48:41] 我都跟你講說
[48:42] 學長已經看完了
[48:43] 告訴你不用
[48:43] 結果你們每個人還整天問說
[48:45] 那個孟公
[48:46] 大家去的是哪一個我要去
[48:47] 好玩就好
[48:48] 如果你覺得好玩就好
[48:49] 如果你的心態是
[48:50] 你真的想要問事
[48:51] 要解決什麼問題
[48:52] 我推薦大家不要去迷這種東西
[48:54] 這是我誠心的建議
[48:55] 下面一位
[48:55] 孟公我老公love
[48:57] 怎麼賣股票
[48:58] 孟公大家你好
[48:59] 之前說過不會在創新高的時候賣掉
[49:01] 那股票近期創高的時候
[49:02] 該怎麼判斷賣掉的時機點
[49:04] 那很怕賣飛或是又爆過一座山
[49:06] 祝你股票賺錢
[49:09] 他後面叫我用川普的聲音
[49:10] 反正總之就是
[49:11] 我們之前跟大家分享過幾個概念
[49:13] 在美股這邊可以用trading stop
[49:15] 也就是說當你的股價一直往上漲
[49:16] 他就把停地跟著往上射
[49:18] 那臺股這邊
[49:19] 我是喜歡看到那種大黑可以出來
[49:21] 就是一次把可能前面的幾個收盤價都打破
[49:23] 短線上我就會這樣出
[49:25] 可是不是每個部位都用很短線的思維去看
[49:28] 就像說手上有些東西是用長線思維
[49:31] 因為你知道說未來幾年數字的
[49:33] 我就不會這樣
[49:33] 可是有些東西是那種題材的
[49:35] 或者比較動能的
[49:36] 像什麼裝置產物
[49:37] 那就是比較動能
[49:38] 然後說衛星
[49:39] 其實我也是放在偏動能這一邊
[49:41] 所以就可能就像說突然有一個大長黑
[49:44] 把過去的幾個收盤價都打掉的話
[49:46] 有可能就開始去做減碼
[49:47] 或是用無日線實時線作為一個參考
[49:49] 這是一種
[49:50] 所以其實天地的方式有很多種
[49:52] 你也可以就是按時間定期定額慢慢賣也可以
[49:55] 那這邊拜拜
