[00:00] 歡迎收聽谷外,我是孫夢宮,本集節目由大鹽生醫贊助
[38:42] 反而是自己的損失
[38:44] 跟失敗都記得很清楚
[38:45] 但是我有一點跟你不一樣
[38:46] 所以我覺得我相對幸運
[38:47] 就是至少我對我自己的判斷
[38:49] 很有信心
[38:50] 雖然很多時候
[38:50] 我會challenge自己的判斷
[38:51] 我有時候當我犯錯的時候
[38:53] 還是會先自己罵自己
[38:54] 有時候還被人講出來
[38:55] 說我他媽真是一個廢物
[38:56] 然後嚇到耳子
[38:57] 但除此之外
[38:58] 我是很相信自己判斷的
[39:00] 我很相信自己的直覺
[39:02] 其他呢
[39:03] 不然像是說很難獲得成就感
[39:05] 或是不想與人社交
[39:06] 這個我也都是還算類似
[39:08] 但至少我相信自己的判斷
[39:09] 所以我認為說
[39:10] 你要相信自己的判斷
[39:11] 我簡單來講就是說
[39:12] 你可以稍微的看一下你的同儕
[39:13] 當然我們不知道去跟人家比較
[39:15] 不知道去攀比
[39:15] 不知道去踩人家
[39:16] 可是很多時候
[39:17] 就是你需要一個reference
[39:18] 就是覺得說
[39:19] 你跟你的同儕比起來
[39:20] 奇怪了
[39:20] 我的生活明明就還OK
[39:21] 那為什麼
[39:22] 感覺他們都過得比我快樂
[39:23] 那你一定是哪裡卡住了
[39:24] 所以就要把那個地方給修正好
[39:26] 那這個都是我們這一種
[39:27] 比較不容易感受到快樂的人的一個挑戰
[39:30] 我可以明白
[39:31] 那我還是得說
[39:32] 我最後面是很失敗的
[39:34] 就是還是沒有辦法在工作中
[39:35] 找到很多的快樂
[39:37] 我喜歡這個工作
[39:38] 可是我不會真的就說
[39:39] 哇
[39:40] 太高興了
[39:41] 這個工作真的讓我太爽
[39:43] 我反而是在養育小朋友
[39:44] 才找到我的一些成就感
[39:46] 所以
[39:46] 對這是我的一個解方
[39:48] 就是不一定會在你的生活之中
[39:50] 或所有物質上獲得滿足
[39:51] 即便這是很多人都告訴你的
[39:53] 對不對
[39:54] 就每次去社群討論
[39:55] 每個人都在講錢
[39:55] 大家覺得說錢就是生活中的一切
[39:57] 可是真的有點錢的人
[39:58] 他們就會知道說
[39:59] 這才不是生活中的一切
[40:00] 所以你應該要去找其他的東西
[40:02] 看有沒有辦法去感染自己
[40:03] 讓自己變成一個更開心的人
[40:06] 這很重要
[40:06] 希望你可以順利
[40:07] 我的話是在自己的家人
[40:09] 然後跟部分的朋友上面找到
[40:11] 希望你也可以
[40:11] 當然打電動也很好
[40:12] 下面一位Tony Pang
[40:14] 從疫情聽到現在第一次留言
[40:15] 大年老今天是自己的生日
[40:17] 從疫情開始聽到現在
[40:18] 今天生日忽然心血來潮
[40:20] 第一次留言
[40:20] 因為本身創業工作忙
[40:22] 投資都是買大盤居多
[40:23] 今年決定要多一點主動投資
[40:25] 聽說捱到這邊很靈
[40:26] 許願2026自己的投資順利
[40:28] 祝挨大家一家身體健康平安
[40:30] 其實這些年去做大盤投資
[40:32] 都賺翻了
[40:33] 像今年去買0050的30幾%
[40:35] 30幾%
[40:37] 那是很誇張的數字
[40:38] 所以非常恭喜各位
[40:41] 我們本來的說法是講說
[40:43] 反正你暫時沒有想法的
[40:44] 或是不想要太拼的
[40:46] 你可以買大盤或是趴大盤
[40:47] 就變成大盤變成一個超級強勁的對手
[40:50] 然後他的表現是超級好
[40:51] 因為我們本來對大盤的預期投射
[40:53] 是大概8到12%
[40:55] 這些年真的是非常好
[40:56] 所以也不一定要跨主動投資
[40:59] 但主動投資有它好玩的地方
[41:00] 也有可能因為這樣賺到一些暴擊
[41:02] 所以希望你順利
[41:03] 祝你生日快樂
[41:04] 下面一位
[41:04] 憨逼暴躁吉娃娃
[41:07] 差點被墊死
[41:08] 愛達安上次有些面唸到
[41:09] 史萬福特吉娃娃女友才沒有開噴
[41:11] 另外1月1號因為集團要合併
[41:13] 所以要半夜加班
[41:14] 沒有辦法跨年
[41:15] 女友生日的時候
[41:16] 搞不好也要線上支援
[41:17] 聽說這邊很靈
[41:18] 趕快來許願
[41:19] 希望一些順利
[41:19] 不要開天窗
[41:20] 媽的最好年終
[41:21] 不要少給哦
[41:22] 那如果喉嚨允許的話
[41:23] 希望我們的新店
[41:25] 憨吉1月4號
[41:27] Happy Birthday
[41:28] 那今天喉嚨還OK
[41:30] 所以可以
[41:31] 可以少你
[41:34] 我不知道做效果
[41:35] 真的卡住
[41:36] 下面一位
[41:36] 有一個跟主委
[41:38] 同天生日的女友
[41:39] 朋友比我多聽了400分鐘
[41:41] 這個祝福
[41:42] 我想送到第五次留言測試
[41:44] 那當初朋友知道
[41:46] 我在接觸股票就介紹
[41:47] 我一定要聽股牌
[41:47] 我是懸谷仔
[41:48] 朋友是指數仔
[41:49] 那這位朋友
[41:50] 現在在美國念博士
[41:51] 是我高中就認識的最好的朋友
[41:53] 那最近他老婆懷孕
[41:54] 想要藉助他的金口祝福
[41:55] 王博士
[41:56] aka大愛哥
[41:57] 小孩順利平安長大
[41:59] 老婆身體舒服一點
[42:01] 博士論文順利
[42:02] 想聊天就打給我
[42:03] 這是什麼
[42:05] 那種夢中的gay關係
[42:06] 我超級喜歡這種
[42:07] 就是說你知道
[42:08] 兩個男生超貼近的那種感受
[42:09] 雖然這樣講有點怪怪
[42:10] 可是我自己本身是很喜歡這種
[42:12] 就是bro love你知道嗎
[42:13] 男生之間互相關懷
[42:15] 互相相挺這樣的一個感受
[42:17] 像這樣的朋友其實是不好找
[42:18] 真的要找到那種無話不談的朋友
[42:21] 其實在長大之後是不容易
[42:22] 所以非常恭喜你們有這樣子的關係
[42:24] 我也非常感謝這位王博
[42:26] 大愛哥跟別人推薦我的節目
[42:29] 感謝你的支援
[42:30] 希望你的博士順利
[42:32] 希望你的老婆順利
[42:33] 也希望這一位朋友可以過得健康平安
[42:37] 也希望你們投資順利
[42:38] 下面一位廉價豆皮
[42:39] 豆皮曾經滿懷期待到胎兒的心跳停止
[42:43] 從勇敢嘗試到子宮外孕與試管
[42:46] 那這條路我走的傷痕累累
[42:48] 原本以為堅持就可以換來幸福
[42:50] 最終發現自己困在失敗的迴圈
[42:52] 跟被欺騙的婚姻裡
[42:54] 豆皮想把所有的祝福都留給快樂寶貝們
[42:57] 而我真的好累
[42:58] 這位兄弟
[43:00] 或者說這位姐妹
[43:01] 感覺是
[43:02] 就是面臨到了蠻多不好的事情
[43:06] 不知道
[43:07] 聽起來像是說
[43:08] 本來在嘗試baby
[43:10] 然後周邊發現說
[43:11] 另外一半根本就是
[43:12] 劈腿或什麼的
[43:13] 有時候這樣
[43:14] 當壞事出完的時候
[43:16] 我們有一個說法叫利空出盡
[43:18] 利空出盡之後
[43:19] 股價都沒有跌的時候
[43:20] 就是要止跌回升
[43:21] 雖然你可能覺得說
[43:22] 我在講吉祥話
[43:23] 在講幹話
[43:23] 可是大過年的新年
[43:25] 我在這邊一定是要祝福你
[43:26] 就是怎麼講
[43:27] 有時候當你可能
[43:28] 生命中遇到很多壞事的時候
[43:30] 你回頭看一下
[43:31] 你遇到很多壞事之後
[43:33] 是不是後面就是都會有一個
[43:35] 很不錯的反彈
[43:36] 因為像說就是你要把一些
[43:37] 很破的事情跟很破的人都經歷過
[43:41] 然後去把它太除掉之後
[43:42] 你才會到新的地方去
[43:44] 所以我希望這位兄弟
[43:46] 我這位姐妹
[43:46] 可以稍微的轉念一下
[43:48] 那希望這個祝福呢
[43:50] 還是回到你自己的身上
[43:51] 我希望你在接下來的一年
[43:52] 是順利的
[43:53] 希望你快樂
[43:54] 下面一位
[43:54] 好吃好玩好用
[43:56] 小雞逛超市
[43:57] 大家好
[43:58] 我以前也是不相信
[43:59] 聖誕老公公派
[44:00] 但有小孩之後
[44:01] 看到孩子起床
[44:01] 看到聖誕襪裡面的禮物
[44:02] 還有前一晚一直問說
[44:04] 聖誕老公公幾點來
[44:05] 從哪裡進來的興奮表情
[44:06] 那一瞬間就是幸福
[44:07] 那很榮幸小兒
[44:09] 括號七歲的英文名字
[44:10] 跟Noah一模模一樣樣
[44:11] 倍感榮幸
[44:13] 那小弟好友
[44:13] 有個超可愛的女兒
[44:15] 跟你同姓
[44:15] 叫做採恩
[44:17] 那是否有榮幸
[44:18] 請來到第一個直覺反應
[44:19] 幫採恩取一個英文名字
[44:22] 那祝全家平安喜樂愛您
[44:25] 採恩
[44:27] 就M吧
[44:29] 雖然聽起來會不會有點常見
[44:30] 但我自己是蠻喜歡
[44:32] 那時候反正就是說
[44:33] 我岳母的男朋友
[44:35] 有一次就跟我講說
[44:35] 你叫什麼名字
[44:36] 我那時候說我叫Freddy
[44:37] 反正我改了很多次的英文名字
[44:40] 因為在我們英文名字都亂取
[44:41] 小時候的時候
[44:42] 因為我很喜歡Terry Boger
[44:43] 就是二郎傳說那一位
[44:45] 所以我就說我要叫Kavy
[44:47] 因為你小時候你不會念
[44:49] 你就聽他講什麼Terry
[44:50] 你不知道那是Terry
[44:51] 你就以為是Kavy
[44:52] 所以你就跟那個英文老師說
[44:53] 我要叫Kavy
[44:54] 老師說沒有字叫Kavy
[44:55] 只有Kevin
[44:56] 所以我最早的英文名字叫Kevin
[44:58] 然後後來就又再改
[45:00] 就再改成別的
[45:01] 然後後來有一個老外朋友
[45:03] 就跟我講說你可以叫Seth
[45:04] 那Seth是一個不錯的名字
[45:06] 後來發現說Seth
[45:07] 就很多人都沒有辦法把它念出來
[45:08] 那所以呢
[45:09] 為了在這個飛行學校順利呢
[45:12] 後來就從善如流
[45:13] 就再改一個名字變Freddy
[45:14] 那我就跟這位
[45:16] 就是我岳母那個男朋友說
[45:17] 我叫Freddy
[45:17] 他說你的中文也是叫什麼Freddy
[45:20] 之類的那個通音字嗎
[45:21] 我說不是
[45:21] 我是叫孟公
[45:22] 他說那應該就叫孟公
[45:23] 我說可是因為我們亞洲人的名字
[45:26] 可能有些人不會念
[45:27] 所以我們為了要讓他們會念
[45:28] 我們就改
[45:28] 他說不會念是別人的問題
[45:29] 不是你的問題
[45:30] 所以我因為這件事情
[45:31] 雖然那個男的我蠻堵爛的
[45:33] 因為後來我跟大家分享
[45:33] 他講說我兒子是什麼
[45:35] fucking sushi跟dim sum
[45:36] 反正就是一個
[45:37] 靠北種族歧視的義大利人
[45:39] 可是他那時候講這一段
[45:40] 讓我感受很深
[45:41] 所以後來我就決定說
[45:42] 就我的兒子
[45:43] 他們就只有一個名字
[45:44] 所以像
[45:45] 祁安就Killian
[45:47] 諾亞就Noah
[45:48] 所以如果是彩恩的話
[45:50] 感覺就是M吧
[45:51] 因為就是
[45:52] 就彩恩就是M
[45:52] 或者說用彩去取名
[45:54] 可是彩應該是比較難取
[45:55] 對就大概這樣子
[45:56] 希望他喜歡這個名字
[45:58] 那
[45:58] 他前面講那個聖誕禮物
[46:00] 對就是
[46:01] 真的是你看到小朋友那種
[46:02] 他太
[46:03] 我兒子還準備了一碗牛奶
[46:05] 跟餅乾放在那邊
[46:06] 要給聖誕老公吃
[46:07] 那要感謝聖誕老公給他禮物
[46:09] 然後再來就是在前幾天
[46:10] 他也知道說
[46:11] 那種notice list的小朋友
[46:12] 不會有禮物
[46:13] 所以他表現得特別好
[46:14] 所以有這樣的一個
[46:15] 那種潔性的感覺是挺好的
[46:17] 我以前也是從
[46:18] 不喜歡聖誕節
[46:19] 或者說不在意聖誕節
[46:20] 然後到後來超喜歡聖誕節
[46:21] 下面一位
[46:22] lovegg
[46:23] 我們的老朋友又回來了
[46:24] 幫朋友五星留言
[46:25] 那另外就就特斯拉
[46:26] 朋友是一個對兒童網路足跡
[46:29] 特別注意保護的人
[46:30] 但小孩還是被人家拍了照片
[46:32] 長相PO網
[46:33] 然後批判的內容應該也不是什麼事實
[46:36] 感覺就對一個無行為能力的兒童進行po網批判
[46:39] 沒有什麼營養
[46:40] 希望接下來的法律戰順利加油
[46:42] 我們希望這個地方母親
[46:45] 在法律戰可以順利的勝出
[46:48] 確實我現在是對網路風氣
[46:50] 去批鬥小朋友這件事情非常的不以為然
[46:53] 我已經表態過
[46:54] 也表示過很多次
[46:55] 我覺得會去鬥一些比你弱小的東西的人
[46:59] 去鬥小朋友
[47:00] 鬥什麼服務你的人
[47:02] 或是去逗狗狗動物這種
[47:04] 我覺得這種人是最低賤最可悲的
[47:06] Picaron size好不好
[47:07] 你有種就去他媽嗆
[47:08] 跟你同樣size的人
[47:09] 幹他媽一堆娘炮之感
[47:10] 現在娘炮也不能亂講
[47:11] 因為我就是娘炮
[47:12] 我是gay好不好
[47:13] 所以先講
[47:13] 就有時候不小心脫口而出一些話
[47:15] 因為我們那種小時候的形容詞
[47:16] 一些快樂寶貝們
[47:18] 他們就是怎麼講
[47:20] 他沒有膽去挑戰跟自己一樣size的
[47:22] 然後就去挑戰那些什麼小朋友
[47:24] 去搞那些人
[47:25] 然後接著
[47:25] 你知道其實像中國一堆那種什麼
[47:27] 現中事件
[47:28] 在路上那種隨機
[47:29] 你知道很多跑去撞國小
[47:30] 他沒有總去撞
[47:32] 讓他可能心生不滿的
[47:34] 什麼老闆或什麼
[47:35] 當然不是鼓勵他撞老闆
[47:36] 我意思是說
[47:36] 你去挑那種冤有頭債有主的
[47:38] 他們都去挑小朋友
[47:40] 我覺得超噁
[47:40] 所以我真的覺得說
[47:41] 在臺灣會去針對小朋友
[47:43] 這些人要列管
[47:44] 這些人真的要列管
[47:45] 因為那種心理上一定有病
[47:46] 才會去挑弱小的
[47:48] 搞不好他媽
[47:49] 從小就會去分解小動物
[47:50] 這些人都要他媽查一下
[47:52] 很噁心
[47:52] 希望這位家長可以順利
[47:54] 下面一位
[47:55] 大餅餅餅
[47:56] 希望直男巧虎
[47:57] 能夠給我老公支援與鼓勵
[47:58] 老公Tim之影的忠實粉絲
[48:01] 最近這三個月他深受下背痛之苦
[48:03] 診斷是
[48:04] 劍客關節發炎
[48:07] 劍客關節是
[48:08] 劍椎
[48:10] 那是劍嗎?草字頭
[48:11] 與骨盆連結的關節
[48:14] 以前完全不知道這個地方發炎會這麼嚴重
[48:17] 他現在完全不能夠做
[48:18] 連走動都有困難
[48:19] 大部分時間都只能夠躺床休息
[48:21] 不能夠坐在電腦前面
[48:23] 真的是一件十分痛苦的事
[48:24] 希望可以借古埃大大的金口
[48:26] 祝我老公Tim
[48:27] 1月3號生日快樂
[48:29] 希望你的身體
[48:30] 可以早點好起來
[48:31] 一起出門
[48:31] 那也祝愛大家
[48:33] 身體健康平安
[48:34] 好
[48:35] 那我們先祝這位Tim
[48:36] 希望這個下背痛可以快點好
[48:38] 因為我下背也是會痛
[48:38] 而且我都是
[48:39] 痛到會很誇張
[48:41] 就是平常可能是說
[48:42] 你站太久
[48:43] 或者說你走太多
[48:44] 你會痛
[48:44] 那像我說是
[48:45] 站太久走太多
[48:46] 然後搭配說
[48:47] 像那時候坐飛機
[48:48] 從美國回來的時候
[48:49] 因為站久
[48:50] 然後又沒有睡好
[48:51] 然後外加
[48:52] 可能在飛機上躺的時候
[48:54] 又沒有躺好
[48:54] 所以導致那個背
[48:55] 就是積勞成疾吧
[48:57] 就直接是爆炸
[48:59] 所以回家我是連我爬上車都沒辦法
[49:02] 就整個像癱瘓一樣
[49:03] 然後跑去伸展之後
[49:03] 有稍微的好一點
[49:04] 所以下背痛痛起來要冷命
[49:06] 希望大家可以好好的關注這個議題
[49:08] 然後接著就是
[49:09] 可能那種硬舉要練一下
[49:11] 然後再來就是要儘量要一直站起來
[49:13] 所以我現在戴著Apple Watch
[49:14] 就叫我站起來
[49:14] 我覺得是蠻好的
[49:15] 那下面一位
[49:16] 三顆星跳過
[49:17] 這個看起來沒有任何的惡意或什麼
[49:19] 但一樣就是我們這邊是隻回應那一些
[49:22] 就是對我們是比較友善
[49:23] 然後有給五顆星
[49:24] 就當一個共識
[49:25] 不是說這五顆星真的很重要
[49:26] 或是會怎麼影響到收入跟流量
[49:28] 不會
[49:28] 但只是說就是我們來個共識
[49:30] 我們專注在這一些
[49:32] 真的很在意
[49:32] 或者說對這個節目有興趣的人
[49:34] 所以他可能是不小心話說
[49:35] 那下次再來
[49:36] 下面一位
[49:36] 林口太會吃飯
[49:38] 孟公還有大家新年快樂
[49:40] 大年好新年快到了
[49:41] 想請你用川普
[49:42] 今天太多川普了吧
[49:44] 那祝黃金單身團
[49:46] Happy New Year
[49:48] 還有猛男的語氣祝大
[49:50] 這我真的不會念
[49:51] 上面一個日
[49:51] 然後下面一個平浙的浙
[49:53] 還是就唸者
[49:54] 大浙西
[49:55] 1月4號
[49:56] 新年快樂
[49:57] 愛你
[49:58] 愛大家
[49:58] 希望大家新年快樂
[49:59] 拜拜
