[00:00] 歡迎收聽谷愛,我是孫夢公,本期節目由嘉宜國際2026全明星年菜大集合贊助
[35:40] 我覺得你這個去許願
[35:41] 都沒有誠意
[35:42] 你自己想想
[35:43] 如果今天我是神明好了
[35:44] 我坐在這邊
[35:45] 那當然我知道神明
[35:46] 他不是那種
[35:47] 怎麼講
[35:47] 唯利是圖
[35:48] 你給我多少錢
[35:48] 我才做什麼事
[35:49] 可是我感覺就是說
[35:50] 你許願某個程度上是
[35:52] 你發一個ticket給他
[35:53] 類似說客服專業家
[35:54] 會收到很多ticket
[35:55] 有些ticket發進來
[35:57] 兩塊
[35:57] 幹你孃
[35:58] 我幹嘛處理這個垃圾ticket
[35:59] 我先處理大客戶
[36:00] 大客戶
[36:00] 我也不是說什麼
[36:01] 你有錢我才要看你
[36:02] 可是意思就是
[36:03] 你整個是比較有誠意
[36:04] 當然先看你
[36:05] 你可能比較缺乏
[36:06] 就像說
[36:07] 我今天想要救我媽媽
[36:08] 我可能就甚至講說
[36:09] 我折我陽壽20年
[36:11] 我都要救我媽媽
[36:11] 你有決心
[36:12] 所以我如果是觀音大爺
[36:14] 我也先救你這種
[36:15] 你一萬塊小泡芙的
[36:17] 乾淨必要哄趕
[36:18] 我就覺得你這個是不對的
[36:19] 所以我幫你加
[36:20] 就五萬
[36:21] 那五萬你自己要分時期
[36:23] 慢慢捐給各個單位都好
[36:24] 反正你記得
[36:25] 你眼鏡好起來捐五萬
[36:26] 下面一位
[36:27] 宣宣物
[36:28] 為什麼只講群聯
[36:30] 最近提到群聯數字
[36:31] 群聯有競爭對手
[36:32] 請問果然怎麼看待
[36:33] 這兩間公司
[36:34] 希望可以一併分析
[36:35] CMO一起做比較
[36:37] 簡單講說
[36:38] 因為我沒有去過惠榮
[36:40] 沒有去過CMO
[36:40] 我只有去過群聯
[36:42] 然後群聯的這些高層們
[36:44] 當時帶我去看東西的時候
[36:45] 都帶我不飽
[36:46] 所以我很喜歡他們
[36:47] 大家應該如果有去研究過
[36:49] 這個公司的歷史就知道
[36:50] 這兩家兩子結很大
[36:52] 然後在約會呢
[36:53] 就是會撞對方
[36:55] 所以在我的角度是
[36:57] 反正怎麼講
[36:58] 我就喜歡群聯
[36:59] 我就多加一點群聯
[37:00] 你要跟我講的話
[37:01] 你也可以說代工廠
[37:02] 你怎麼不聊Vanguard
[37:03] 你怎麼不聊聯電
[37:04] 我就喜歡臺積
[37:05] 我就講臺積
[37:06] 那其他的
[37:07] 你說美國也有機認代工廠
[37:09] 我怎麼都不聊
[37:10] 就沒有興趣
[37:11] 那再來就是
[37:12] 講一個比較現實的
[37:13] 就是說在這一波的漲價
[37:15] 那不是Controller在飆
[37:16] 你講SIM是做Controller
[37:17] 那不是Controller在飆
[37:18] 它其實是你要有顆粒
[37:20] 你要夠多庫存
[37:21] 潘董手上下了不知道三四百億的庫存
[37:23] 所以還是有差就是其實在題材方面也是有差然後外加因為我跟這家公司比較熟所以我就會去多聊一點他們大概是這樣當然如果我今天有別的公司讓我去認識像艾斯摩爾之前我去看過
[37:34] 發課我去看過
[37:35] 我大概會去講一下他們
[37:37] 但是我其實沒有其他的意思
[37:38] 就是說什麼
[37:39] 因為你沒有找我去
[37:40] 我就故意不講你
[37:41] 不會 因為很多我沒去過的公司
[37:42] 我沒有進去過臺積電
[37:43] 我還是整天在跟你講臺積電
[37:45] 只是就是有時候是這樣
[37:46] 我們的注意力是有限的
[37:48] 我沒有辦法每個都跟你聊
[37:49] 如果說今天是用存產業角度跟你講
[37:51] 你要注意一下它的庫存
[37:52] 注意一下它的庫存
[37:53] 因為其實在長的東西
[37:54] 不是controller
[37:54] 是那些顆粒
[37:55] 所以這個自己要
[37:57] 稍微去比較一下
[37:58] 就有一些想法出來
[37:59] 下面一位
[37:59] Starbase根本就是夜城吧
[38:01] ICMS就是除絲盆
[38:03] 大家好
[38:03] 聽您分享最新一集
[38:05] NVIDIA ICMS
[38:06] 我腦中立刻浮現除絲盆
[38:08] 這種管理記憶的最佳化路徑
[38:10] 跟前陣子
[38:11] Enthropic推出的Skill
[38:12] 功能有異曲同工之妙
[38:14] 感覺軟硬體
[38:15] 目前面臨的
[38:15] 都是上下文處理的問題
[38:17] 如果模型幀六到
[38:19] 夠小夠聰明
[38:20] Asian主要的問題
[38:21] 應該在工具使用跟儲存
[38:23] 那也許把耗費Token的推理過程
[38:25] 記憶在Edge端
[38:26] 比存在資料中心的效益更好
[38:29] 那順便降低對光傳輸的極致需求
[38:32] 分享看看一種可能的劇本
[38:34] 謝謝Aida
[38:34] 這個也蠻有趣的
[38:37] 因為現在其實蠻多想要去搞Off Cloud
[38:39] 就是擔心說我的一些東西
[38:41] 或者說我們公司的內部的各種
[38:44] 有的沒有的東西
[38:45] 會上映給大家看到
[38:46] 那有沒有可能就是一些專業的知識
[38:48] 存在我這裡
[38:49] 然後透過某些方式
[38:50] 所在就是地端可以看到而已
[38:52] 然後接著會上雲的東西
[38:54] 可能是一些
[38:55] 假如說我要去搜尋
[38:56] 要問一些東西
[38:57] 我知道有些在IC Design
[38:58] 然後跟Fab裡面
[39:00] 他們有用類似的東西
[39:01] 就是自家的模型
[39:03] 其實模型的皮是自家的
[39:06] 裡面東西其實還是那些巨頭的
[39:07] 就是類似說
[39:08] 有些東西是沒有辦法上雲的
[39:10] 所以或許是同個邏輯在做思考
[39:12] 你這個說法是蠻有趣的
[39:14] 然後再來就是這個
[39:15] 廚師盆對
[39:16] 其實我覺得有點像
[39:17] 還蠻有趣的舉例
[39:18] 確實就是像哈利波特里面
[39:20] 看到那個東西
[39:21] 他從那一攤小裡面
[39:22] 然後拉一個
[39:23] 那種白白的東西起來
[39:24] 然後接著放在你的腦袋裡面
[39:25] 你就可以知道說
[39:26] 這個人他過去經歷過
[39:27] 看過什麼東西
[39:28] 其實真的很像
[39:29] 因為如果你跟AI
[39:29] 對話到某個程度
[39:31] 掏心掏肺之後
[39:32] 我真的是可以
[39:33] 從這裡面就會直接知道說
[39:34] 你是怎麼樣的一個人
[39:35] 把它具象化呈現出來
[39:36] 蠻酷的
[39:38] 說不定未來的世界
[39:39] 就像是哈利波特的世界
[39:40] 哈利波特那些東西
[39:41] 其實都是高科技的產物
[39:43] 只是說高科技到某個程度
[39:44] 你不用看到一堆機械的東西
[39:46] 你不用看到各種線路
[39:47] 跟什麼電力的東西
[39:49] 他就直接變成像魔法一樣
[39:51] 呈現給你看
[39:51] 我類似說
[39:52] 他的牆上的畫
[39:54] 哈利波特不是有牆上的畫會動嗎
[39:55] 那其實現在你就可以去
[39:56] 買一個那種電視面板
[39:58] 然後接著就讓它輪播
[39:59] 就是那個東西
[40:00] 其實就是一模一樣的東西
[40:01] 它也可以跟你互動
[40:02] 或什麼的
[40:02] 只是說電視面板
[40:04] 外面比較塑膠框
[40:05] 把它做成像畫框
[40:05] 它其實就變哈利波特那個東西
[40:07] 所以其實會不會
[40:08] 他的那個魔法掃帚裡面
[40:10] 也是不知道
[40:10] 某種科技的產物
[40:12] 然後只是最後面
[40:12] 就是看起來
[40:13] 那種反普規真的
[40:14] 回到一個最原始的一個情形之類
[40:16] 我不知道我這樣可以
[40:17] 但我很喜歡這種
[40:18] 有的沒有的亂聊
[40:19] 下面一位
[40:20] 林口喬科維奇
[40:22] 大家您好
[40:23] 我是從疫情期間
[40:23] 就聽到現在的老聽眾
[40:24] 這是我第一次留言
[40:25] 會想來留言的衝動
[40:26] 是要跟你分享喜悅
[40:27] 我的兒子今天出生了
[40:28] 看著太太從懷孕到生產的過程
[40:31] 真的覺得當媽媽很偉大
[40:32] 生產前一天
[40:33] 我的心情都還蠻平靜
[40:34] 但直到進了產房
[40:35] 看著兒子從太太肚子抱出來的
[40:37] 那一刻我的眼淚就止不住
[40:38] 有種說不出來的感動
[40:40] 跟心疼太太
[40:40] 謝謝您平時節目的分享
[40:42] 投資理財跟人生觀
[40:43] 都對我們很受用
[40:44] 愛您
[40:45] 非常恭喜林口Jokovic
[40:47] 喜獲鈴兒
[40:48] 那也恭喜他的太太
[40:50] 那也非常
[40:51] 怎麼講
[40:52] 就感同身受
[40:53] 再一次的把我拉回
[40:54] 那個產房的畫面
[40:56] 那我看到我自己兒子出來的時候
[40:57] 我也是哭出來
[40:58] 就平常根本就是
[40:59] 內線不發達的人
[41:01] 只有聽一些radiohack
[41:02] 會自溺到哭出來
[41:04] 可是除此之外
[41:04] 都不太會流淚的人
[41:06] 然後看到小票出來
[41:07] 你真的是忍不住
[41:07] 你就是太感動了
[41:08] 這個畫面太美妙了
[41:10] 然後你會感謝所有的醫師
[41:11] 感謝所有的護理師
[41:12] 然後你會感謝老天
[41:14] 感謝有的沒有的
[41:15] 一個生命的誕生
[41:16] 真的是草榜的
[41:17] 所以希望你在後面的育兒順利
[41:19] 下面一位
[41:19] 川普鬆掉的皮炎
[41:21] 請推薦幾個義大利美食
[41:23] MK小弟預計二月去度蜜月
[41:25] 從蘇黎世玩到拿破利
[41:27] 想問MK會覺得南裔的治安很差嗎
[41:29] 另外想請你推薦幾件義大利美食
[41:31] 白既期待又怕受傷害的新手人夫
[41:34] 你突然間這樣子問
[41:36] 我會有點想不太起來
[41:37] 你可能去找之前那種
[41:38] 聽眾帽做筆記
[41:39] 什麼義大利美食
[41:40] 你去Google應該找得到
[41:41] 應該有人有寫過
[41:42] 就是我都會
[41:43] 時不時的突然間想到一家
[41:44] 然後就推給大家
[41:45] 就有人問我覺得想到
[41:46] 只是我現在
[41:47] 我一次想過這家美食
[41:48] 我都想不太起來
[41:49] 那他從蘇黎世玩到拿破利
[41:52] 所以就是從瑞士
[41:53] 然後北伊這樣靠下來
[41:55] 我覺得南伊
[41:57] 我自己本身是不熟
[41:58] 所以沒有辦法跟你講太多
[41:59] 那北伊的話就算是熟
[42:01] 然後或者說羅馬是我最熟的
[42:02] 因為我們就住在羅馬
[42:03] 那基本上義大利跟臺灣的環境很像
[42:06] 他們也是在在南北
[42:07] 然後他們的南部也是摩托車很多
[42:09] 然後也是交通比較亂
[42:11] 一模一樣
[42:11] 然後南部的東西比較好吃
[42:12] 南部的人可能比較熱情一點
[42:15] 某個程度上是這樣
[42:15] 所以其實跟我們的這個北部南部
[42:17] 是有點類似
[42:18] 就是在南北的內容是完全差不多的
[42:21] 那只是也不是說在北部就會比較安全
[42:23] 特別是大城市
[42:25] 你在米蘭或說你在羅馬的鬧區
[42:28] 那都是比較危險的地方
[42:29] 你會遇到一些人
[42:30] 可能就上來塞一朵玫瑰花給你
[42:32] 然後就要叫你給他錢
[42:33] 或者說他會拿一些玩具
[42:35] 什麼丟到地上再發出聲音
[42:36] 然後你兒子看到就衝過去摸了一下
[42:38] 你就要付錢或什麼
[42:39] 所以他們會想盡各種方法
[42:41] 要削你的錢
[42:42] 然後再來就是有些人甚至要用搶的
[42:43] 只要注意到有人突然間靠近你
[42:45] 或是在擁擠的地方
[42:46] 那個包包就記得要放到前面去
[42:48] 因為他們拿刀子去割破你的包包
[42:50] 那這個我覺得不是僅限難易
[42:52] 就你在北翼或是中翼
[42:54] 也會發生的事情
[42:55] 或甚至是瑞士
[42:56] 都有機會發生這樣的一個事情
[42:57] 所以治安方面
[42:59] 我是覺得在歐洲就是沒有這麼好
[43:01] 歐洲的治安跟臺灣的治安是差很多的
[43:03] 所以你今天看到路上
[43:04] 大家突然間跑起來
[43:05] 你就趕快跑
[43:06] 你突然間聽到爆炸聲
[43:08] 你就趕快跑
[43:08] 你不要以為說
[43:09] 在臺灣你聽到爆炸聲
[43:10] 人家以為說
[43:11] 路邊在做效果
[43:12] 要有什麼活動了
[43:13] 或是說你看到大家跑起來
[43:14] 你以為是什麼
[43:15] 要拍片
[43:15] 沒有
[43:16] 你在歐洲
[43:16] 你只要感覺哪裡不太對勁
[43:18] 你就趕快落幹
[43:19] 一定要趕快跑就對了
[43:20] 美食方面的話
[43:21] 你去瘦一下
[43:22] 我現在真的是一時間想不太起來
[43:23] 但我覺得東西都還蠻好吃的
[43:25] 不會有太多的問題
[43:26] 下面一位
[43:26] Roof1386
[43:28] 嗨公公
[43:29] 追好關於面板廠轉型
[43:31] FOPLP玻璃基板
[43:32] 被迫採購半導體裝置天紅ALD
[43:35] 那是否意味著該重新定義
[43:37] 這類裝置廠的估值天花板
[43:39] 是否正在反映這從臺積電單一供應鏈
[43:43] 轉向跨界通吃的結構性re-rating
[43:46] 這個我想法剛好跟你反過來
[43:50] 就是說今天如果是面板廠轉型的話
[43:53] 他本來做的那種垃圾面板
[43:56] 當然我們沒有惡意
[43:56] 只是說在過去就是大家不太喜歡的東西
[43:58] 他只能夠去吃一個很便宜的估值
[44:01] 可是它今天變成是封裝等級了
[44:04] 可以去搞到半導體相關的一些東西
[44:06] 當然它目前都是先從P-MIC開始
[44:08] 像SpaceX那也是P-MIC類似的東西
[44:11] 這個就會有一個Rerate行情
[44:13] 因為這個東西可能是價格比較漂亮的
[44:16] 但一開始會有一些學習成本
[44:17] 後面有可能就價格會是比較漂亮的
[44:20] 所以它反而會Rerate
[44:21] 至於其他的廠商它吃到的話
[44:23] 那只是去修它的
[44:24] 可能Q的數字往上修
[44:26] 但是不是去修P
[44:28] 是修Q
[44:28] 就是說它的Quality是變多
[44:30] 那price的部分也不一定會比較高
[44:32] 賣到半導體裡面
[44:33] 說不定會是比較高的一個數字
[44:34] 那為什麼PE不會去修的主因
[44:36] 是因為如果你今天是從
[44:37] 他本來是提供這些裝置給半導體廠
[44:40] 然後到進去臺積電
[44:41] 我大概就可以用左邊稿杆跟你賭說
[44:44] 那個PE會上修
[44:45] 因為臺積電就是在臺灣人心目中的神
[44:47] 任何人可以坐進去臺積電
[44:49] 那個PE就會直接就修上去了
[44:50] 所以你看最近那個油田就是吧
[44:53] 油田不是那個oil fuel那個油田
[44:55] 臺股也是股票叫油田
[44:57] 他就是要進去臺積電
[44:58] 所以你看他就直接就拉一波上去了
[45:00] 所以我覺得是反過來
[45:01] 就如果說他今天是從別人要進臺積電
[45:04] 他就上
[45:04] 可是從臺積電要去進別人的話
[45:06] 不是修這個PE Ratio
[45:08] 而是可能就是說
[45:09] 他的那個Earnings會上去
[45:11] 所以當然去乘一樣的PE Ratio
[45:12] 那就會上去
[45:13] 但這個PE本身
[45:14] 我自己是猜不會因為這樣子上修
[45:16] 當然都是個人的想法
[45:18] 也稍微簡單跟你分享
[45:19] 下面一位地瓜球球球
[45:21] 今天是我生日
[45:21] 巧克力你好
[45:22] 1月10號是我的生日
[45:23] 雖然過去的一年
[45:24] 好像沒有什麼成就
[45:25] 也蠻多挫折的
[45:27] 但是還是活下來了
[45:28] 那可以祝我有個觸底反彈
[45:29] 跟健康順利的27歲嗎
[45:31] 祝孟公全家平安健康順利
[45:33] 祝你27歲快樂
[45:34] 我跟你講
[45:35] 我真的受到我老婆影響
[45:36] 我現在看到那種
[45:37] 就是叫我什麼MK啊
[45:39] 孟公啊
[45:40] 我怎麼就是比較
[45:41] 你知道就是跟我朋友
[45:42] 會叫我的方式一樣的人
[45:44] 我就會覺得說
[45:44] 我就心情很好
[45:45] 就是想要祝福你都順利
[45:46] 我老婆嗨的
[45:47] 老婆一直跟我講說
[45:48] 那些叫你古牌的
[45:49] 都不是你的朋友
[45:50] 哪有人會拿節目的名字
[45:51] 當你的名字來叫你
[45:52] 當然我是不在意
[45:53] 如果說我老婆這樣的東西
[45:54] 突然間在我腦中想起
[45:56] 下面一位
[45:56] 青出於藍更勝於藍
[45:58] 孟公我老公
[45:58] 孟公最近回聽到EP530
[46:00] 剛好呼應到這一集的跨年吃12顆葡萄
[46:03] 那麻煩諸位幫我念這個英文名字
[46:06] 走又來啦
[46:08] 那集我笑到不行
[46:12] 那最近我的那隻被我四歲的女兒的0050
[46:15] 跟老婆的0052壓在地上摩擦
[46:17] 回到家都很認分的洗碗打掃
[46:20] 對我就爛
[46:22] 這位兄弟我跟你講
[46:23] 很多時候臺美看起來短期脫鉤
[46:25] 都是一個短時的現象
[46:26] 要麼是臺股往下
[46:27] 要麼是美股往上
[46:28] 或者是臺股就會往下
[46:29] 美股就會往上
[46:30] 但不用擔心
[46:31] 這個NASDAQ
[46:32] 我覺得就是會上去
[46:33] 對那個名字
[46:34] 我到現在都還是有點忘記
[46:35] 好像是Leonel吧
[46:37] Leonel
[46:38] 反正就不要取這種
[46:39] 不會念的名字
[46:39] 下面一位
[46:40] 布魯斯威爾岡7788
[46:42] 大力推美股韭菜王
[46:45] 我要在這裡推
[46:46] 美股韭菜王Alan
[46:48] 它上面寫韭菜王
[46:49] 好像差小
[46:50] 昨天方格子會員直播
[46:52] 7點開播
[46:53] 竟然回答網友問題
[46:54] 到12點多真的太浮了太扯了
[46:57] 那重點是還在感冒人真的太好
[46:58] 平時文章的美股財報
[47:01] 分析內容知識量就給好給滿
[47:03] 分析也很準確回答也
[47:05] 滿滿那沒想到
[47:06] 在直播開到這麼久被感動到
[47:08] 要在捱到這裡大力推薦希望這麼好的人不要被
[47:10] 埋沒需要被大家看盡愛您
[47:12] Alan是我自己的好媽級
[47:14] 我過往應該已經有跟大家
[47:16] 講過說他的那個美股分析的實力
[47:18] 蠻強大的而且他這個AUM
[47:20] 也蠻大的也是有實力的人
[47:22] 所以我是很喜歡這位Alan
[47:24] 他以前是在
[47:25] 算了不要亂爆料
[47:27] 反正就是總之就是一個很厲害的
[47:29] 下面一位
[47:29] 我要完成蜻蜓點水
[47:31] 吃雞的華翔翼很難蜻蜓點水
[47:34] 我前幾天陪我快五歲的兒子唸書
[47:37] 在講什麼是擔心害怕的
[47:39] 我就問他說你怕什麼
[47:40] 他說怕做夢
[47:41] 我再問說你擔心什麼
[47:42] 他說我擔心爸媽不陪我玩
[47:44] 我瞬間被暴擊
[47:45] 就想到之前還到提到
[47:46] 小孩子不會記得你買多貴的玩具
[47:49] 只會記得你有沒有陪他玩
[47:50] 當下我愣了一下
[47:51] 原來我做的還不夠好
[47:52] 那也再次呼應
[47:54] 挨大之言提的
[47:54] 小孩最需要的是陪伴
[47:55] 而不是你給他多好的東西
[47:57] 你卻不在
[47:58] 這就是我講的嘛
[47:59] 你自己當爸才會知道
[48:00] 那些沒有當過爸的
[48:01] 就在那邊嘴你說
[48:02] 道不同不相為謀
[48:05] 那個懂的就懂
[48:07] 雖然我很討厭講
[48:08] 懂的就懂這句話
[48:09] 可是真的有時候
[48:10] 就是要講就懂的就懂
[48:11] 那這位兄弟
[48:12] 如果說有被重擊到
[48:13] 我覺得這很好
[48:14] 就立刻去做一些修正
[48:15] 我最近也被重擊到
[48:16] 跟你分享一下
[48:16] 就是有一天
[48:17] 我兒子已經洗完澡
[48:19] 然後裸體在外面
[48:19] 他沒說裸體
[48:20] 我剛想說
[48:20] 儘量不要裸體
[48:21] 那褲子趕快穿起來
[48:22] 然後我就問他說
[48:23] 你怎麼今天沒有找爸爸洗大的
[48:24] 他說因為爸爸你在工作
[48:26] 我說那你可以進來叫我
[48:28] 你進來叫我就會來陪你洗大
[48:30] 他說爸爸
[48:30] 可是你在工作的時候
[48:31] 你很兇
[48:32] 你會兇我
[48:32] 我說我不會兇你
[48:33] 我怎麼可能會兇你
[48:34] 我只是有時候會說
[48:35] 那你先出去
[48:36] 你等爸爸五分鐘
[48:37] 你等爸爸十分鐘
[48:37] 但這個其實在他眼中
[48:39] 他覺得說是我在兇他
[48:40] 所以你就想說
[48:41] 如果你沒有去意識到這件事情
[48:43] 如果當下我沒有問他
[48:44] 他在心中就這樣想
[48:45] 所以他長大之後
[48:46] 他可能不知道
[48:49] 他工作他都是躲在自己的辦公室裡面
[48:51] 我找他洗澡他都不陪我
[48:52] 他也不會記得說老子媽
[48:53] 這天干九成時間都在陪你洗澡
[48:55] 他就會記得說
[48:56] 我沒有陪他洗澡那一段
[48:57] 類似這樣就類似說
[48:58] 我就只記得我爸打我
[48:59] 我爸也對我很好
[49:00] 只是我爸打我的東西印象太深刻了
[49:02] 所以我就立刻跟他修正
[49:03] 我說不管發生什麼事情
[49:04] 你只要想要洗澡
[49:05] 你就來找爸爸
[49:06] 爸爸一定就會出去
[49:07] 所以我在後面就立刻去做一些調整
[49:09] 因為有時候真的是很忙
[49:10] 就我可能在接電話
[49:11] 在跟朋友講事情
[49:11] 然後接著他就想說要洗澡
[49:13] 我說你等一下
[49:14] 他就先去找什麼
[49:15] 谷谷找其他人幫他洗
[49:16] 那就讓我很難受
[49:18] 所以我就立刻去
[49:18] 做了一些調整
[49:20] 那前幾天睡覺的時候
[49:22] 看我兒子在床上
[49:23] 他就是拿著他的
[49:23] 那個寶可夢卡
[49:24] 就一疊
[49:25] 然後那個寶可夢卡
[49:26] 還混了
[49:26] 那什麼
[49:27] 獵魔女團
[49:29] 就是像大家非常喜歡的
[49:30] 什麼
[49:30] 那一首
[49:34] 然後獵魔女團的卡片
[49:35] 就一堆卡片
[49:36] 然後一張一張在那邊看
[49:38] 然後歪的卡片
[49:39] 還把它擺正來
[49:40] 我就覺得很感動
[49:40] 就是說
[49:41] 我們小時候是玩遊戲玩卡
[49:42] 然後長大之後
[49:43] 你兒子跟你類似
[49:44] 他可能已經沒有遊戲玩卡
[49:46] 可是寶可夢卡
[49:47] 我們也是共通的
[49:48] 他也是很喜歡這些卡片
[49:49] 他那邊數
[49:49] 這些東西你收到多少錢
[49:51] 不用多少錢
[49:52] 他就是很開心
[49:52] 他把它收好
[49:53] 然後放在他的床邊陪他睡覺
[49:54] 反正就還蠻感動的
[49:56] 好大家再見
