[00:00] 欢迎收听骨牙,我是圣梦宫,本期节目由NordVPN赞助
[38:52] 最近聊光通讯布局的话题蛮有趣
[38:54] 想询问一下前阵子在美股压住了
[38:56] Credo跟Celia Lab这个铜传输
[38:57] 但市场拉的是光
[38:59] 那这阵子Avago开完财报之后
[39:02] 铜又回来
[39:02] 有没有可能是短时间市场关注又回到铜
[39:05] 暂时变成铜进光退呢
[39:06] 虽然市场变大用量都一起上升
[39:08] 但资金的流动
[39:09] 有没有机会跟之前是相反的
[39:10] 单纯问一下相反的思路
[39:11] 看看您的见解
[39:12] 感谢孟公
[39:13] 祝福幸福美满
[39:16] 然后那这位兄弟的说法
[39:18] 就跟我
[39:18] 我刚前面稍微有聊一下
[39:20] 就是我认为是这样子
[39:21] 我也是觉得
[39:22] 两个东西都会持续的成长
[39:23] 特别是其实这两家公司的
[39:25] 这个财报的数字
[39:26] 或者说未来的投射
[39:28] 或者一些投片量
[39:29] 当然那个数字
[39:29] 有可能会改来改去
[39:30] 可是整体来看
[39:31] 就是趋势都是在上面的
[39:33] 只是我自己还是会相信
[39:34] 我认为硬要我猜的话
[39:36] 即便Credo
[39:38] 我现在手上是没有
[39:38] 但我手上有蛮多帽帘
[39:39] 可是我买帽帘
[39:40] 也不是在买
[39:40] 他跟Credo的故事
[39:42] 在买别的故事
[39:43] 那SR Labs的话
[39:44] 我自己手上還有吃過
[39:46] 但是我不認為這一波
[39:48] 就是他會直接噴走
[39:49] 我反而你要我猜的話
[39:51] 我猜他是逃命波
[39:52] 我不是說我要把它砍掉
[39:53] 但我意思是說
[39:54] 他應該不會談太遠
[39:55] 他應該只是一時間的氣氛
[39:58] 他只是一時間的氣氛
[39:59] 就是說市場可能穩定之後
[40:01] 我隨便假設
[40:01] 可能就是SR Labs
[40:03] 或是Cradle
[40:03] 我就是給你一個
[40:04] 可能20到25的multiple
[40:07] 本來大家其實都抓30
[40:08] 我自己本來是抓30
[40:09] 27年的30
[40:11] 後來發現說沒有這樣太貪心了
[40:12] 市場現在給不到這麼高
[40:13] 可能現在改成什麼
[40:14] 26年的20到25之类的
[40:16] 类似这样变成是他的target price
[40:18] 那如果今天是去看Lumentum
[40:20] 或是Coherent
[40:22] 然后跟XTI
[40:23] 或者台湾的光通的话
[40:24] 我可能就是给你26年的30到35
[40:26] 我会觉得会变成是这样子
[40:28] 那当然光通涨多的
[40:30] 一下掉下来也合理
[40:31] 因为前面真的喷很凶
[40:32] 那铜的话
[40:33] 我反而觉得他下去的空间
[40:34] 可能就不大了
[40:35] 但是你说他要直接
[40:36] 直接这种估值转换
[40:38] 然后变铜进光退
[40:39] 我觉得超难
[40:40] 超难
[40:40] 特别是以近期
[40:42] 特别是美股跟台股的趋势
[40:44] 都已经拉出来
[40:45] 很多时候那个趋势
[40:45] 形成是好几年的
[40:46] 它不会在短期内
[40:48] 就跑回去
[40:48] 同的那个趋势
[40:49] 所以甚至我会觉得
[40:51] 我自己可能一开始
[40:52] 都有一点点的错判
[40:53] 因为我会觉得说
[40:54] 同被错杀
[40:55] 但我现在可以理解
[40:56] 为什么会这样子
[40:57] 因为可能光的一些进展
[40:59] 是还蛮不错的
[40:59] 特别是有更多的消息
[41:01] 在后面会持续的催化进来
[41:02] GTC的时候
[41:03] 搞不好又要再端
[41:04] 新的东西给你
[41:05] 我们现在身边的人
[41:06] 都在猜
[41:06] Spectrum跟Quantum里面
[41:07] 可能会用到的各种东西
[41:09] 大家全部都在看光的东西
[41:11] 所以它还是会成长
[41:12] 没错
[41:14] 我认为
[41:15] 那可能高的会是在光那里
[41:16] 所以光修正完之后
[41:18] 应该还是继续爬
[41:18] 而且爬的应该会比铜多
[41:20] 我自己会这样猜
[41:20] 但是不代表说
[41:21] 两个不能够都压
[41:22] 可能我全都要
[41:24] 因为我的做法也是
[41:25] 我全都要
[41:25] 但是我光是比铜的配比再多一些
[41:28] 大概这样子
[41:29] 下面一位
[41:29] KangGGGJW
[41:32] 感恩爱您
[41:33] 孟公家您好
[41:34] 小弟最近在找不同领域的新工作
[41:36] 但有些不顺
[41:37] 是否继续待在舒适圈呢
[41:39] 挂号前还可以
[41:40] 但做起来真的无趣
[41:41] 那想请孟公家保佑找新工作
[41:44] 如果顺利的话会捐该核心的25%
[41:47] 那最后祝孟公Chika一家平安健康感恩爱你
[41:50] 不知道为什么被叫Chika觉得蛮爽的
[41:52] 因为在我太太跟岳母的一个影响之下
[41:55] 我觉得Chika是那种最亲密的叫法
[41:57] 所以他这样叫
[41:58] 我就有点想把我自己的软蛋夹起来的感觉
[42:00] 那再来是否要继续待在舒适圈
[42:04] 我觉得是这样子
[42:05] 就如果说真的觉得很无聊
[42:07] 那钱又不是你的priority的话
[42:08] 那当然就把工作换掉吧
[42:10] 好下面一位
[42:11] 传道桥头自然歪
[42:12] 推荐一部动画
[42:14] 判处勇者行
[42:15] 嘿孟公
[42:16] 这礼拜的
[42:17] 您给自己打几分
[42:18] 有哪里觉得自己做得好
[42:19] 哪里做得不好
[42:20] 那目前这波操作
[42:21] 对自己不是很满意
[42:22] 还在检讨自己
[42:23] 那推荐施文斌
[42:25] 在李子婷的直播上唱的
[42:27] 再会啦
[42:28] 心爱的
[42:29] 不愿意让
[42:30] 特别有感
[42:31] 其实我在唱台语
[42:32] 我只是有刚好看过这个直播
[42:34] 所以我印象
[42:34] 那祝大家这波都没亏顺心
[42:37] 那首先先祝你操作顺利
[42:40] 那我觉得偶尔会觉得卡住或不顺
[42:42] 那个是超级正常的
[42:43] 像如果是我们节目的老听众的话
[42:45] 也不用老啦
[42:46] 大概一年内
[42:46] 有时候就听到我在那边挨说什么
[42:48] 我不知道最近自己在干嘛
[42:49] 没有做
[42:49] 有时候就听到我在那边很昂西
[42:51] 就说我觉得最近的操作
[42:53] 真的蛮顺心的
[42:54] 所以那个都是怎么讲
[42:56] 就像你有good day
[42:57] 你有bad day
[42:57] 那是正常的
[42:58] 不会说什么
[42:59] 你练到某个程度
[43:00] 你就是全部都是good days
[43:01] 没有这种事情
[43:01] 那再来讲说
[43:03] 我帮自己打几分
[43:05] 我觉得应该帮自己打蛮高分的
[43:07] 我觉得这个礼拜highlight
[43:08] 当然就是昨天的那个尾牙
[43:10] 我觉得蛮不错
[43:11] 那像嘉伦就跟我讲说
[43:12] 他觉得我是一个很好的主人
[43:14] 那他知道这应该不是我的个性
[43:15] 这是我练出来的
[43:16] 但无论如何
[43:17] 我就让大家可能都还蛮舒服的
[43:18] 那这件事情我觉得非常的开心
[43:20] 那跟一些快乐好朋友
[43:21] 一起小酌一下吃个东西
[43:23] 吃到这种非常美好的食物
[43:25] 就觉得这个人生充满那种正向的力量
[43:27] 然后再来就是虽然在股票方面呢
[43:30] 一直受到不同的摧残
[43:32] 就前面可能是软体股很差嘛
[43:35] 然后现在软体股全部在那边大反弹
[43:36] 然后结果变成是我手上的光通股
[43:38] 跟半导体在那边吃大便
[43:39] 所以一来一往就
[43:40] 还是都没有赚到钱
[43:42] 美股大概冲它小
[43:42] 可是我不知道
[43:43] 我觉得台股的操作
[43:44] 又还蛮不错的
[43:45] 特别是把那个部位
[43:46] 直接一大堆都换到
[43:48] 我想要去的新地方
[43:49] 那我就觉得
[43:50] 有这样的机会
[43:51] 可以让我转过去
[43:52] 蛮爽的
[43:52] 可以补到票
[43:53] 那在自己的生活层面的话呢
[43:55] 陪儿子打Mesa Star
[43:57] 然后陪他去
[43:58] 就是可能路上散步啊
[44:00] 有时候他都会跟我讲说
[44:01] 爸爸开车摸车
[44:02] 他懒
[44:02] 他最近会跟我讲说
[44:03] 他想要散步
[44:04] 那我就跟他散步
[44:05] 当我牵着他手散步的时候
[44:07] 我觉得说
[44:07] 我现在是世界上最富足的人
[44:09] 所以我觉得我的蛮多
[44:10] 自我认同还是来自于家人
[44:12] 因为很多人可能看到我
[44:13] 就觉得说
[44:14] 你看他是录podcast
[44:16] 或者说他是做股票
[44:17] 所以会觉得说
[44:18] 这两件事情他可能做的还可以
[44:20] 他的成就感应该来自于在这里
[44:21] 没有真的没有
[44:23] 这两件事情都没有
[44:23] 为我带来什么样的成就感
[44:25] 或者说觉得自己很爽
[44:27] 那我反而是在生活中
[44:29] 可能把一些事情做好
[44:30] 或者说把一些犯错的东西给修正掉
[44:34] 但犯错的东西我要去修正掉
[44:35] 绝大多数都是在于
[44:37] 可能像工作相关的一些盲点
[44:39] 你过去知道
[44:39] 你在这个地方会摔
[44:40] 就你现在
[44:41] 既然不会摔了
[44:42] 那你就觉得
[44:43] 我现在要做一件蛮不错的事情
[44:45] 或是像Choco在那边叫的时候
[44:48] 像上期节目讲
[44:49] 一般那个时候我就会骂
[44:50] 我就会爆气
[44:50] 可是我竟然没有爆气
[44:52] 我竟然是深呼吸一下
[44:53] 然后觉得没有什么大不了
[44:54] 像这些东西都让我觉得
[44:56] 我干得不错
[44:57] 所以我的快乐来源
[44:58] 主要是来自于这些东西
[44:59] 那也希望你可以平安顺利
[45:01] 下面一位
[45:02] 为什么是一样的
[45:04] 在下面一位
[45:04] 无助的捏软阵线成员
[45:07] 配习不配习
[45:08] 傻傻分不清楚
[45:09] 亲爱的MK大大你好
[45:11] 我是一位年过半百的中年男子
[45:13] 因晚生关系
[45:14] 孩子正值青少年阶段
[45:16] 所以家中不时会有着大或小的冲突
[45:19] 平时听节目总喜欢
[45:20] 接收你一些独特的见解来供我参考
[45:23] 但可惜你的孩子现在还小
[45:24] 所以无法听你说说
[45:25] 有关你与青春期孩子的相处故事
[45:29] 这个难道再等个十年
[45:30] 他说我目前八位数的台币部位
[45:32] 投资资金约八成
[45:33] 都是放在ETF50跟6208
[45:36] 那最近有一档
[45:37] 诉求不配习的新ETF
[45:38] 9816要上市
[45:39] 因考量到所得税
[45:41] 证交税
[45:41] 再投入了手续费
[45:43] 补充保费的摩擦成本
[45:44] 有点心动
[45:45] 但9816有加入一些因子
[45:47] 来调配投资权重
[45:48] 虽然知道你长期
[45:49] 比较推荐
[45:50] 不加入其他因子的
[45:51] 纯市执行的ETF
[45:52] 我能冒着被你训话的风险
[45:54] 还是要听听你的看法
[45:55] 谢谢
[45:56] 祝全家平安健康
[45:57] 美满幸福
[45:58] 这位兄弟非常熟悉我
[46:00] 那从他的说话的方式
[46:01] 也知道是老听众
[46:02] 我们当然不会
[46:03] 没事去训老听众
[46:04] 没有这种无聊
[46:04] 很多时候就是
[46:05] 我还是得讲
[46:06] 这个节目有一些那种
[46:07] 巧妙的差别
[46:08] 像据我来说
[46:09] 上集最后一个人
[46:10] 他一样是在问我股票
[46:11] 可是我就一点
[46:12] 躁的感觉都没有
[46:13] 因为我就知道说
[46:14] 妈你买那种边缘人股票
[46:16] 虽然我不敢再乱讲
[46:17] 那个边缘人股票
[46:17] 大家看他眼花
[46:18] 这几天怎么样喷的
[46:20] 你就不会是那一种
[46:21] 就是可能
[46:22] 只有在大场会出现的人
[46:24] 就这种人
[46:24] 应该说每次都会有人
[46:26] 想要问一些产业或是股票
[46:27] 那是很正常的
[46:28] 只是有些是
[46:29] 在大多头才会冲出来的
[46:31] 那些人我可以很轻易的就识别出来
[46:34] 那这位地方爸爸
[46:35] 他一定不是这样子的人
[46:37] 就一看就知道了
[46:38] 那只能够说我们某个程度上
[46:39] 也像AI吧
[46:40] 因为大量的input进来
[46:41] 所以久了之后
[46:42] 就类似银行员收钱
[46:43] 我一摸就知道是假钞啦
[46:45] 就一摸就知道啊
[46:46] 我不敢说百分之百准啦
[46:47] 可是90%一定有啦
[46:48] 或者说我可能下去看一些社群
[46:50] 我光是看你评论
[46:51] 我已经知道说
[46:51] 我进去会看到你妈的
[46:53] hashtag什么东西
[46:54] 我会看到你啊
[46:55] 就是你的脸书
[46:56] 我看你的留言就知道说
[46:57] 你妈的
[46:58] 你一定是左边工作栏会挂满那一种
[47:00] 或者说你一定是会写社会大学的
[47:02] 或者说你一定是会
[47:04] 就是把所有的那种
[47:05] 妈的什么buff都上满
[47:07] 我是什么什么
[47:08] 这讲出来会得罪到人
[47:09] 反正有些人会
[47:10] 在自己的那个介绍
[47:11] 写一堆buff
[47:12] 那种怪小
[47:13] 我一看就知道了
[47:14] 那是一看就知道
[47:15] 所以对
[47:16] 有些人可能以为说他藏得很好
[47:17] 可是在我面前
[47:18] 你就是拿着一个老二
[47:19] 直接站在我面前的感觉
[47:21] 我不觉得
[47:22] 就是很难去做识别
[47:24] 那这位爸爸
[47:25] 他遇到问题
[47:26] 其实蛮多人都会有
[47:27] 就是你今天可能不知道
[47:28] 配息配爱的话
[47:29] 其实有一个方法
[47:30] 你可以找一些券商
[47:31] 那他们有些会帮你去做处理
[47:33] 不然说像是你把股票借出去的话
[47:35] 你如果借出去
[47:36] 然后对方拿去放空的话
[47:37] 那配息的话是配爱他身上
[47:40] 然后他还你资本利得
[47:41] 所以你可以用借券的方式
[47:42] 去规避掉一些
[47:43] 或是有些券商有在帮你做安排
[47:46] 就是一些那种比较新的做法
[47:48] 当然其实行之有年
[47:49] 只是现在有点台面化
[47:50] 就是说在配息前我帮你敲掉
[47:52] 然后在配息后再帮你敲回来
[47:54] 这个也是有
[47:55] 那或者是你去选择一些产品
[47:57] 然后这些产品是
[47:58] 他本身是没有在做配息的
[48:01] 只是当然他
[48:02] 有一好没有两好
[48:03] 他可能加入一些因子的条件或什么
[48:05] 那你可以啊
[48:05] 你就是我配息的部位
[48:07] 可能压在一定程度之下
[48:08] 压在某一个
[48:09] 这个叫缴税的位阶之下
[48:12] 那接着其他的在网上的
[48:13] 我就用其他的产品去把它补起来
[48:16] 这都是可以做的
[48:17] 所以本来就是说
[48:18] 当你的资金变大
[48:19] 你真的会有一些想法会不太一样
[48:21] 或是有些人会选择去用期货
[48:22] 只是期货如果今天是走正价差的话
[48:24] 那优势就不大
[48:25] 而如果是逆下差的话
[48:26] 那它也是一个蛮不错的选项
[48:29] 所以有很多这样类似的选项
[48:32] 那只是这些话题一般来说会
[48:33] 我自己的一个自我审查
[48:36] 我觉得比较敏感
[48:36] 就那种税务相关的东西
[48:38] 但这其实你现在去问GPT
[48:40] 他都会跟你讲
[48:40] 你问German来他就会跟你讲
[48:42] 你直接跟他说你的烦恼是什么
[48:43] 他就会跟你讲答案
[48:44] 所以真的有很多方法可以去
[48:46] 不要讲说规避
[48:48] 反正就是去降低一下
[48:50] 你可能要付出的负担
[48:51] 你还是诚实的纳税人
[48:53] 只是说我这个东西买多
[48:55] 我要缴这么多
[48:56] 那我就用其他东西去把它counter掉
[48:58] 即便这个东西可能是
[48:59] 有一些那种因子的成分在里面
[49:01] 只要它不要跟你心目中理想的产品
[49:04] 因为你理想的产品应该
[49:06] 你会买0050跟650
[49:07] 你应该是认同台湾股市指数的一个
[49:09] 这个宣估指标
[49:10] 它只要跟这个不会脱离太远的话
[49:12] 就来说可能最大权重差个几个百分点
[49:15] 但它费用或者说什么都压得很低
[49:17] 那也是没有什么太大问题
[49:19] 有时候不用太讲究
[49:20] 就像很多人会去争夺说
[49:21] 什么VOO VTS也比较好
[49:23] 其實在我的心目中
[49:24] 我就覺得說那個差異沒有真的到超級大啦
[49:26] 就是說有時候可能他好
[49:27] 有時候他好
[49:28] 但反正他都是美國市場的一個曝險嘛
[49:31] 大概這樣子
[49:31] 好那再念一個
[49:32] 留言專用昵陳
[49:33] 我已經花錢買遊戲了
[49:35] 居然還要花時間玩
[49:36] 嗨主委午安
[49:37] 209完了嗎
[49:39] By the way
[49:39] 櫻花雖然是餐館腳
[49:41] 但櫻花我婆常住大廳展示
[49:43] 必須的
[49:43] 尤其是夏日泳裝version
[49:45] 他講的是那個尼姬
[49:46] 櫻花我覺得還好
[49:47] 現在最喜歡的還是奈幽塔啦
[49:49] 那還沒有完
[49:50] 身邊朋友都說超級好玩
[49:52] 所以你這樣一講
[49:52] 我待會就下載
[49:53] 希望有時間可以稍微玩一下
[49:55] 那大概這樣
[49:55] 我希望大家下禮拜順利
[49:56] 好那拜拜
