[00:00] 欢迎收听股癌,我是陈梦宫,本集节目由擅存叶黄素赞助
[37:53] 那希望我的例子
[37:54] 可以给其他的听众当前车直检
[37:56] 白在林口的亲子诊所
[37:58] 前面看到孟宫区卡
[37:59] 推着安哥默默开心的地方爸爸
[38:02] 那非常感谢这位兄弟的分享
[38:04] 但有时候也不要太难过
[38:05] 因为我自己就是认识蛮多朋友
[38:07] 我觉得对他们来讲
[38:08] 就是可能投资就是一个手游
[38:11] 那就是一个手游
[38:12] 他就很抒压
[38:12] 他整天在那边乱点
[38:13] 就算你跟他讲正确的方式
[38:15] 他也不一定可以做
[38:16] 因为他可能也不靠这一个
[38:17] 所以有可能你也是这样子的人
[38:19] 王豪都想是这样子
[38:20] 那当然我们尽量就是知道一件事情
[38:22] 反正你任何的投资
[38:23] 都是先用现股去搞
[38:25] 现股做得好
[38:26] 你就可以股额优则起
[38:27] 就是把那个起落杠杆打开来
[38:29] 发现又做得不错
[38:30] 那你可能就是真的天选之人
[38:32] 但我还是建议大家都慢慢来
[38:33] 反正你先把一个
[38:34] 没有杠杆的工具完熟
[38:36] 你才去放大杠杆
[38:37] 就类似说你今天去做某一种新的投入
[38:40] 你不会说你什么都不会
[38:42] 然后你就去开一个
[38:43] 不知道什么火锅餐厅
[38:44] 然后投3000万吧
[38:45] 你总是可能前面
[38:46] 先做一些餐饮的东西
[38:48] 发现自己有料
[38:49] 再去加码
[38:49] 所以它其实跟人生的逻辑很像
[38:51] 就是你总是要先发现
[38:53] 你有一些线索
[38:54] 你真的可以做
[38:55] 你已经经过验证
[38:56] 然后你再去把它加大
[38:57] 可是不知道怎么
[38:58] 很多人进入股票市场
[38:58] 这种你存钱存个半天
[39:00] 然后你就整天说哈杠杆乱牙
[39:02] 你也不知道自己的trade record
[39:04] 是怎么样
[39:04] 你就下去
[39:04] 那都是很容易受伤
[39:06] 但是老生常谈
[39:07] 就是后来发现说
[39:07] 听不懂就听不懂
[39:08] 那希望大家这边都可以去跳脱
[39:10] 这样的一个恶性的循环
[39:11] 反正总之就是看对再下大
[39:14] 就是这样
[39:15] 你要怎么样知道自己看对
[39:16] 你报仇率会告诉你答案
[39:17] 好下面一位郭敬霆
[39:18] 孟公好
[39:19] 我是年近40岁的公务员
[39:22] 疫情期间开始收听节目
[39:24] 试着做了几档个股
[39:25] 发现自己没有什么天分
[39:25] 就开始投入大盘
[39:26] 并在大跌的时候信贷房贷加码
[39:28] 没有想到资产在今年
[39:29] 就提早达到设定的退休金额了
[39:31] 感谢主持人开开这个节目
[39:33] 陪我度过2022的沉默循环
[39:34] 乌鲁战争 关税 伊朗战争
[39:36] 坚定一定要留在市场的信心
[39:37] 而且改变我的人生
[39:38] 那不然也现在基层公务员
[39:40] 那可怜的薪水
[39:41] 我可能会是
[39:42] 退上怨天尤人的其中之一
[39:43] PS没有想到朱伟渝有玩中二
[39:45] 最近出的服装都好色好爽
[39:47] 不知道您最喜欢哪一个角色
[39:49] 这个中二的角色
[39:51] 我们可能就真的是不太方便
[39:53] 在这个节目跟大家分享
[39:54] 你说尼基我还可以推
[39:55] 虽然尼基可能蛮多人进去
[39:57] 有些人皱眉头
[39:57] 想说沙小怎么都是美韬
[39:59] 可是中二是一个
[40:00] 另外一世界的东西
[40:02] 很夸张
[40:02] 那我之前在玩这个游戏
[40:03] 给我老婆看到
[40:04] 我老婆讲说
[40:05] only creep will play this game
[40:07] 只有那麽怪咖会玩这游戏
[40:08] 我是说没有
[40:09] 你看我就会玩这游戏
[40:10] 我觉得我不是怪咖
[40:11] 虽然我只要讲到这边
[40:12] 一定很多听众想说
[40:12] 妈你就是怪咖
[40:13] 但我真的觉得我自己
[40:14] 算相对没有这麽怪
[40:15] 直到什麽时候
[40:16] 直到后来中二
[40:17] 他有办一场实体见面会
[40:18] 那当然我没有去
[40:19] 可是我在他的粉专上面
[40:20] 看到照片
[40:21] 我看到照片的时候
[40:21] 我就懂了
[40:22] 我老婆说我是对的
[40:23] 所以呢
[40:23] 这是一款真的
[40:24] 怎麽讲
[40:25] 就是蛮色的手游
[40:27] 他都在打擦边球
[40:29] 可是我觉得蛮有意思的
[40:30] 因为我觉得他的那个卡面
[40:31] 真的都做得还蛮漂亮的
[40:32] 如果真的硬要我选一个的话
[40:34] 我还喜欢塔祖吧
[40:35] 我觉得塔祖真的是一个很棒的角色
[40:37] 下面有位语言的力量
[40:38] 孟公大大好
[40:39] 之前有许愿
[40:40] 有找到理想的工作
[40:41] 就要捐出半个月的月薪
[40:42] 目前已经成功上岸
[40:43] 捐款计划也完成了70%
[40:45] 那预计到下个月可以完成
[40:46] 接下来也会挑几间定期定额
[40:48] 那感谢林彦的谢孟公跟观音大爱
[40:51] 那祝全家健康平安
[40:52] 听众事事顺心
[40:53] 非常感谢你对社会的贡献
[40:54] 下面有位恩
[40:55] 嗨 谢梦宫
[40:56] 你打瘦肉针
[40:56] 然后还没有瘦到肌肉
[40:58] 热量赤字加上蛋白的摄取
[41:00] 都有达标吗
[41:00] 因为觉得你不像是会放弃美食
[41:03] 该补乳清蛋白
[41:04] 那另外请问你有做有氧
[41:06] 或是针对肚子的操练吗
[41:07] 一样是久做足的
[41:08] 我肚子都不会消
[41:09] 男生跟怀孕一样
[41:10] 没有幸运见过你
[41:11] 也本人不知道
[41:12] 你有这个困扰吗
[41:13] 那Lisa说
[41:14] 以后还是会要打无痛
[41:15] 准备要抽女儿了吗
[41:16] 好期待你说的
[41:17] 以后可能会有很多小孩
[41:18] 要很多小孩的前提
[41:21] 还是要找到有空间
[41:22] 因为后来发现说
[41:23] 当然钱跟空间
[41:25] 某个程度上是联动
[41:26] 但没有去空间
[41:27] 是很难的一件事情
[41:28] 有时候有钱
[41:28] 也不一定可以解决
[41:29] 除非说你就自己
[41:30] 自己搞一个
[41:31] 不然你看
[41:31] 其实去找既有的建商
[41:33] 你要去搞到
[41:34] 五房六房以上的
[41:35] 其实很难
[41:35] 就是说根本就没有
[41:37] 这样子的案子
[41:37] 可能需求也是很低
[41:39] 所以你可能就要自己盖
[41:40] 所以不知道
[41:40] 我觉得空间是一个
[41:41] 要去思考的问题
[41:42] 如果可以解决空间的话
[41:44] 当然我其实真的
[41:46] 蛮喜欢小孩的
[41:46] 虽然可能在安哥之后
[41:47] 那时候我去讲一些
[41:48] 比较丧气的话
[41:49] 就是说假设我第一胎
[41:50] 是安哥的话
[41:51] 老实讲你不会想再生第二胎
[41:52] 因为压力太大
[41:53] 那个要扛的东西太多
[41:54] 但你知道人就是这样子
[41:56] 人就是不停地挑战极限
[41:57] 现在突然间又觉得说
[41:58] 好像多几个小孩
[42:00] 也没有问题
[42:00] OK的也可以handle
[42:02] 不要乱leaf flag
[42:03] 反正总是就是
[42:04] 心态上有一些改变
[42:05] 然后再讲说
[42:07] 是不是蛋白质摄取多大标
[42:08] 因为我有跟大家分享说
[42:09] 我在打瘦肉针的时候
[42:10] 我身体一个很奇妙的反应是
[42:12] 我的食欲是变得更好
[42:14] 也就是我每天都超级想吃东西
[42:16] 很饿
[42:17] 很像以前那种国中刚运动完
[42:18] 想要吃东西的那种感受
[42:19] 那可是那食量是稍微的小一点点
[42:22] 所以基本上该吃的东西都还是会吃到
[42:24] 那像我自己的话
[42:25] 我平常反而是担心我自己会吃太多
[42:27] 那有时候真的可能就刚好吃到足量
[42:29] 但是我确实都是会锁定蛋白质去吃
[42:32] 那这不是为了减肥
[42:33] 是我本来就很喜欢吃肉
[42:34] 就是我是我妈妈讲的霸呆
[42:36] 就是喜欢吃肉的人
[42:37] 所以可能是因为这样子蛋白质都有吃够吧
[42:40] 那外加也有持续的运动
[42:41] 有教练的督促
[42:41] 所以就导致其实注意到肌肉量是没有什么显著的下降
[42:45] 那反而就是掉肥肉掉比较多
[42:47] 那肚子的话就还是有
[42:48] 因为内脏脂肪还是相对高一点
[42:50] 但是像Mongero它有一个特色
[42:51] 就是它会去降这个内脏脂肪
[42:53] 所以我在观察一阵子
[42:54] 我再跟大家分享说内脏脂肪的一个变化
[42:56] 那确实一下整个人都是有小一个size
[42:58] 包含像是肚子或是什么love handle都有去变小
[43:00] 那我老婆甚至跟我讲说
[43:02] 再瘦下去的话
[43:03] 我就真的会看起来头很大一颗子
[43:05] 因为我天生头就比较大
[43:06] 然后现在身体又变小
[43:07] 所以就蛮好笑的
[43:08] 那之后有一些发现再跟大家分享
[43:10] 那下面会Timo
[43:11] 孟公大你好
[43:12] 第一次在留言希望被念叨
[43:13] 我们也跟太太正在经历备孕的阶段
[43:15] 希望可以加入你软正一些
[43:16] 那目前就在医院间来来回回做检查
[43:19] 太太的身体也因为这些药物的关系
[43:21] 状态气息服务
[43:21] 身心跟工作都被影响到
[43:23] 那希望可以跟观音大许愿
[43:25] 让宝宝来到我们的身边
[43:26] 即使未来会很辛苦
[43:27] 我们也愿意
[43:28] 那之后宝宝如果真的来报到
[43:30] 会固定去基金会认养一个孩子
[43:32] 直到孩子长大成年
[43:33] 那希望孟公可以用Noah的声音说
[43:35] 弟弟妹妹快去找小竹
[43:36] 他们报道哟
[43:37] 谢谢爱大
[43:38] 那祝你们全家健康平安
[43:40] PS图斯利亚好好吃
[43:41] 图斯利亚真的是一个很棒的餐厅
[43:43] 那希望这位朋友可以得窗所望
[43:45] 可以获得孩子
[43:46] 最好一次来两个
[43:47] 直接给你一个双胞胎
[43:48] 那希望你一切顺利
[43:50] 希望这个太太的身体呢
[43:52] 可以维持好
[43:53] 那身为老公
[43:53] 我们要尽量的去相挺
[43:55] 这个需要什么
[43:56] 你知道他们其实在去做这些
[43:58] 你知道备孕
[43:58] 对女生来讲是还蛮辛苦的
[44:00] 所以我们能够多做就多做一点
[44:02] 下面一位KKK
[44:03] 梦宫早安
[44:04] 我要来分享喜悦
[44:05] 我跟女友原本是认识十年的朋友
[44:07] 阴错阳差
[44:08] 为什么那个差
[44:09] 他会特别把它mark出来
[44:10] 然后是插入的差
[44:11] 变成女友
[44:13] 密集相处近一年
[44:15] 真的觉得她就是我的挚爱
[44:16] 是一种觉得自己上辈子
[44:17] 拯救整个村才换来的
[44:19] 希望听到所有的听众
[44:21] 都可以找到自己的幸福
[44:23] 那请梦宫祝福
[44:24] 我们在存钱买新房的路上顺遂
[44:26] 也祝梦宫烦恼少才会快乐
[44:29] 非常感谢你的祝福
[44:30] 那希望你们有情人终成眷属
[44:32] 希望你们可以顺利的存钱买到新房
[44:35] 下面一位小毛
[44:36] 孟公大您好
[44:37] 小弟是以题材跟营收来挑股票
[44:40] 看到突破红K进场
[44:41] 最近操作载板设定实时线卖出
[44:43] 过程中最高获利40%
[44:44] 在5月8号他破了10日
[44:46] 但我却因为看到各个社群都说
[44:48] 这是未来超级好
[44:49] 所以我就干脆来爆场线
[44:51] 就在5月15号看到破月线
[44:52] 以及大盘震荡
[44:53] 我怕爆过山就卖了
[44:55] 最终获利缩水了八成
[44:57] 小毛孟公大在这个过程中
[44:59] 我犯了哪些错误
[45:00] 不会研究基本面的人
[45:01] 是否就应该好好的短线操作呢
[45:03] 尤其听到主委在那天反而是加码
[45:06] 我瞬间泪崩
[45:07] 这个还是要跟大家分享一下
[45:09] 就是你千万不要太容易的受挫
[45:11] 那也不要太容易刷短线的一些影响
[45:13] 改变你长期的一些规划
[45:14] 那像那时候我跟大家讲我加码
[45:16] 我是不是有一直强调一件事
[45:18] 就是以前这个地方我也会减码
[45:20] 那只是因为这波很特别
[45:21] 就是真的拉出去太远了
[45:24] 就像我自己的五月表现又比四月更好
[45:26] 这个是一个非常传奇的年份
[45:27] 我不知道到底发生什么事情
[45:28] 所以我才会觉得说
[45:30] 这个地方我根本不需要减码
[45:32] 那虽然很痛
[45:32] 那虽然整个都卡住
[45:34] 也是处置
[45:35] 既然没有办法动的话
[45:36] 那我就加码一点
[45:37] 所以其实心态
[45:38] 是有这样的一个转变
[45:40] 就是你不可以
[45:40] 很简单的听成说
[45:41] 好像说大碟
[45:42] 我就跑进去
[45:42] 没有
[45:43] 以前的大碟我会减码
[45:44] 那时候节目都跟大家讲
[45:45] 以前这个地方
[45:45] 我们一定会减码
[45:46] 那只是因为
[45:47] 这次的状况不太一样
[45:48] 所以你会注意到说
[45:49] 根据每次的状况不太一样
[45:50] 或是一些想法的改变
[45:52] 它会有一些
[45:53] 主观上的细微的调整
[45:54] 甚至我会觉得说
[45:55] 这个主观上的细微调整
[45:56] 就是决定了
[45:57] 为什么你可能可以去吃
[45:59] 这一行饭的一个主因
[46:00] 但有时候也不要去讲得太快
[46:02] 就是你现在这样做是对的
[46:03] 不代表在之后就是对的
[46:05] 因为可能只是
[46:05] 现在这个市场适合你
[46:07] 就类似说有些动能仔
[46:07] 在动能盘做得很好
[46:09] 震荡盘就直接吃大便
[46:10] 那种震荡盘
[46:11] 明明就是说
[46:12] 最后面拉一个月看
[46:13] 他都停在原点
[46:14] 可是他钱都赔光了
[46:15] 会有这样的一个状况产生
[46:16] 所以我觉得你的做法没有错
[46:18] 就是你本来是设定说
[46:20] 十日线要走
[46:22] 现在就遇到十日线
[46:23] 所以你就走
[46:24] 那就算他后来直接开走的话
[46:25] 那对你来说那就是一个课题
[46:27] 你就知道说OK
[46:28] 那下次有些东西
[46:29] 我可能他洗到十字线的时候
[46:31] 我应该要有的是更多的耐心
[46:32] 可是反之呢
[46:34] 就是你一定有注意到
[46:35] 有没有东西他跌破十字线之后
[46:36] 他就一直下去了
[46:37] 所以你还要有砍在十字线
[46:38] 你懂我意思吗
[46:39] 所以你做的每个决定
[46:41] 他都有他的pros and cons
[46:43] 他都一定有他的好处跟坏处
[46:45] 那最终是你要lock in某一个方式
[46:47] 那当然这个方式
[46:48] 你可以去做一些弹性的调整
[46:50] 像我们这样
[46:50] 但你要大概抓到一个逻辑
[46:52] 就是你要怎么样去进出
[46:53] 可以稳定的把钱刷出来
[46:55] 这个是很重要的
[46:56] 所以这个其实跟我们前面讲
[46:57] 你会注意到说我们的观念
[46:58] 讲到后来我都自己都有点腻
[47:00] 我会觉得说
[47:00] 那观念其实真的都一样
[47:01] 甚至有时候你看到一些
[47:02] 就网上要嘴我
[47:04] 就想说他都在讲一样东西
[47:04] 不是因为真的就这样而已
[47:06] 真的就这样而已
[47:07] 就是拼你的时间
[47:07] 就像是你去听巴菲特演讲
[47:08] 你听一百次
[47:09] 他讲的东西其实都一样
[47:11] 真的都一样
[47:12] 因为就是这样
[47:12] 人家都把方法告诉你
[47:13] 你不会就还是不会吧
[47:15] 那人家也没有场招
[47:16] 因为真的就是这样子
[47:17] 那当然他可能有一些那种细微的touch
[47:19] 其实它需要一些时间的磨练
[47:21] 可是其实大致上真的都长这样
[47:22] 所以我不会觉得你的这个
[47:24] 做法是错的
[47:25] 甚至是要不是盘虾这么好
[47:27] 那一路喷
[47:28] 然后你甚至有一点那种
[47:29] 什么相对剥夺感的产生
[47:30] 你搞不好觉得你的决定是对的
[47:32] 因为有些东西下去之后
[47:32] 真的就下去了
[47:33] 所以锁定一个方式
[47:35] 那就按照这样去做
[47:36] 你都已经可以明确定位说
[47:37] 你是做题材跟营收
[47:38] 那相信就代表说
[47:39] 你一定是靠这样赚过不少钱
[47:40] 你才敢直接讲说
[47:41] 你是靠这样做
[47:42] 那没关系
[47:43] 有时候就是会被洗掉
[47:44] 正常好像觉得说
[47:45] 自己看好的某些东西
[47:46] 就不直接去提了
[47:48] 那个我在卖出之后
[47:49] 又在网上喷50%
[47:50] 你说会难过吗
[47:50] 以前会
[47:51] 以前绝对会难过
[47:52] 说我怎么这么笨
[47:53] 我怎么被洗掉
[47:53] 我应该下载怎么样
[47:54] 后面就不会纠结
[47:55] 因为我这个地方卖掉
[47:56] 我去别边赚更多
[47:57] 或者说我卖掉去别边
[47:59] 没有赚更多
[47:59] 可是在下一支又赚更多
[48:01] 所以你知道
[48:01] 你没有走到最后面
[48:02] 你不知道结果是怎么样
[48:03] 你这样不要用一两次的胜败
[48:05] 就去决定说
[48:05] 你到底是不是白痴
[48:06] 他不是这样看的
[48:07] 下面一位
[48:08] Gill172520
[48:09] 我兄弟今天生日
[48:11] 白塑胶医院的狗
[48:12] 你好
[48:13] 我是第一次留言的粉丝
[48:14] 5月27号是我的兄弟
[48:16] Furfurbear的生日
[48:18] 想对他说
[48:18] 我们从同学到同事
[48:20] 已经共患难超过十年
[48:22] 看着同学和战友们
[48:23] 都陆续下车
[48:23] 就剩我们两个
[48:24] 还没有认赔杀出
[48:25] 要跑记得要揪我
[48:26] 那最后想起来
[48:27] 当川普的声音祝他
[48:28] Happy birthday to you
[48:30] Wish you fortune
[48:31] A happy body
[48:32] And huge huge sexy muscles all over
[48:36] Most importantly
[48:37] Live a happy life
[48:38] 没有这有些不太像
[48:39] 川普会用的字
[48:40] 你要用一些那种
[48:41] Tremendous
[48:42] 哇
[48:42] incredible
[48:43] 这才是川普的字
[48:44] 那相信他听到会大爆色
[48:46] 我指的是股票的部分
[48:47] 感谢爱你爱你
[48:47] 下面一位
[48:48] Willy
[48:49] 梦宫去感恩
[48:50] 梦宫喜欢福利联
[48:51] Lisa喜欢紫罗兰
[48:52] 都是需要人生历练
[48:53] 才能够懂得经典
[48:54] 今天想要推荐
[48:55] 新海城的成名名作
[48:57] 秒速五公分
[48:58] 我听起来超怪的
[49:00] 你确定这不是像黑兽那种东西吗
[49:03] 秒速五公分
[49:04] 听起来超怪的
[49:04] 这部动画告诉我们
[49:06] 谁都不可能和谁在一起一辈子
[49:08] 人就是这样子
[49:08] 人必须要去习惯失去
[49:10] 那如果这句话有打中梦宫
[49:12] 强烈推荐去补完这部片
[49:14] 相信梦宫绝对会从中获得你的结论
[49:16] 那最后祝大家健康平安
[49:18] 然后可以用樱花的emoji当这集标题吗
[49:20] 可以就用这个emoji
[49:21] 那非常感谢推荐
[49:23] 我突然想到好像以前也有听众推荐过
[49:24] 那时候我做回看好像没有去看
[49:26] 所以这应该是正常的东西
[49:27] 后面再找来看
[49:29] 然后说人要习惯失去
[49:31] 我觉得就是
[49:31] 不然说像上题的QA回答
[49:33] 我觉得那位兄弟你缺的也是
[49:34] 你要习惯你会失去一些东西
[49:37] 你要习惯你会赔一点钱
[49:38] 你知道整體是好的
[49:39] 你就不要太專注在那些losses
[49:42] 你要專注在你得到什麼
[49:43] 你要專注在你家有的生活
[49:44] 專注在你的家人
[49:45] 那要去習慣一些時訊
[49:47] 沒錯這個說得太好了
[49:48] 那拜拜
