[00:00] 欢迎收听谷爱,我是鲜梦宫,本集节目由NordVPN赞助
[38:46] 还是有去做一些减码
[38:47] 那我還跟A君去解釋說
[38:49] 為什麼這些東西會減
[38:50] 你看他第一次掉下去拉起來
[38:52] 這邊我沒有動
[38:53] 第二次還給我軟
[38:54] 我就要先砍一些
[38:55] 為什麼
[38:55] 因為我上面卡了1000多張
[38:57] 我不粗一點的話
[38:58] 我後面如果真的再往下一根怎麼辦
[39:00] 所以其實你考量到這風險
[39:01] 不是你後面可以賺多少錢
[39:03] 是如果這邊就一直下去
[39:04] 你今年績效就爆掉了
[39:05] 所以我們反而不是擔心說
[39:06] 今年績效要再往上賠更多
[39:08] 是我們擔心說
[39:09] 如果這邊就直接往下怎麼辦
[39:11] 你會不會套一堆東西
[39:12] 你根本就沒有錢加
[39:13] 你要去止壓
[39:14] 壓力就會變很大
[39:15] 所以其實我會認為說
[39:16] 就不要去覺得
[39:17] 你知道很多人都喜欢把决定
[39:19] 放在某一个点位上
[39:20] 好像说都是一拳操人
[39:22] 就是拼一次
[39:23] 但其实部位是可以带状的
[39:25] 就是你昨天可能没有卖
[39:26] 你今天卖一点
[39:28] 你明天可能又买一点
[39:29] 后天又卖一点
[39:30] 这个都是有机会会发生的
[39:31] 就不要觉得说什么
[39:32] 我在一个关键的点位
[39:33] 我一定要去下很大的决定
[39:35] 特别是那个关键的点位
[39:36] 可能是恐慌
[39:37] 或者说波动超大的时候
[39:39] 你看到FIX都跳上去
[39:40] 一般FIX跳上去的时候
[39:41] 你做越多决定
[39:42] 其实都是越受伤
[39:43] 但我觉得该做的决定还是要做
[39:45] 像我自己
[39:45] 昨天跟今天
[39:46] 我都还是有解码的东西
[39:47] 那今天就是有加码一些东西
[39:49] 那所以这个并不是说什么
[39:51] 你要去赌说什么
[39:52] 哪个地方就是市场的低点
[39:53] 你怎么知道
[39:53] 现在这个地方就是市场的低点
[39:55] 搞不好反弹一阵子
[39:56] 后面再继续破底
[39:57] 那请问这阵子
[39:58] 抄底的人是怎么样
[39:59] 你说他们笨
[40:00] 他们也不一定笨
[40:00] 他抄的时候
[40:01] 他弹起来他有卖
[40:02] 他还是赢家
[40:03] 所以很多人都喜欢去用
[40:04] 单一的某个节点就去决胜负
[40:06] 但这个是很奇怪
[40:07] 就是说整个投资的交易
[40:09] 应该是一辈子的事情
[40:10] 他并不是说什么
[40:12] 就是可能要在某个地方
[40:14] 去拼一个生死
[40:15] 你只要可以去悟到
[40:16] 这件事情的话
[40:17] 我觉得你就会变得
[40:18] 更加的有弹性
[40:18] 下面有位
[40:19] 我好兴奋
[40:20] 嗨 孟公
[40:21] 我的姑姑是我爸的妹妹
[40:23] 那我的女儿看到
[40:24] 我姑姑的女儿的舅舅
[40:26] 要叫什么
[40:27] 没事
[40:28] 这是我太太跟我
[40:29] 两岁女儿的对话日常
[40:31] 只是想来感谢孟公
[40:32] 上周突然改录节目的时间
[40:34] 也为了水时间
[40:35] 继续找其他留言
[40:36] 因此念叨太太的留言
[40:38] 人生真的对她很不公平
[40:40] 但也总是在她快溺水的时候
[40:42] 会生出一根稻草
[40:43] 让他轻轻的可以喘一口气
[40:45] 当他听到你的祝福
[40:46] 会突然的惊喜
[40:48] 那让我也能够感觉
[40:49] 他打从心底的开心
[40:51] 那最后想再见孟公
[40:52] 金口对太太说
[40:53] 你辛苦了
[40:54] 未来只会更辛苦
[40:55] 但我一直都会在
[40:57] 那也祝大女儿小苹果
[40:58] 三岁生日快乐
[41:00] 你跟妹妹是爸爸妈妈
[41:02] 永远的宝贝
[41:02] 希望你们可以平安健康长大
[41:04] 本来为推荐孟公
[41:05] 一个YTLC Sign
[41:07] 里面的Toni
[41:08] 普世物华推销的公司的LED产品
[41:10] 却在这个直男
[41:11] 被各种政治正确言论霸凌的
[41:13] 世界中带来反攻的曙光
[41:14] 爱你
[41:15] 我超爱Tony
[41:15] What's up Tony my homie
[41:16] 就是Tony是一个
[41:17] 反正就是好像是在
[41:19] 中国的
[41:20] 东南的某一个省份
[41:22] 然后卖LED sign的
[41:24] 那因为他都是用英文
[41:26] 或者说他会讲超多语言
[41:27] 但绝大多数用英文
[41:28] 然后用英文去
[41:29] 行销到美国这边去
[41:31] 我记得他好像不是YouTuber
[41:33] 他应该是TikTok
[41:34] 他应该是抖音起来的
[41:35] 那影片的格式呢
[41:36] 就是可能在开头
[41:37] 我也先去放一个
[41:38] 那种很匪夷所思的片段
[41:40] 就是可能是
[41:41] 某个男的
[41:42] 或是某个女的去做一些很奇怪的主张
[41:45] 一般都是可能偏左的主张
[41:46] 那种极左
[41:47] 就是很夸张的主张
[41:48] 那他就会拿出来吐槽
[41:50] 就是这些东西
[41:50] 其实大家看都会觉得是会皱眉头
[41:53] 但是不知道为什么
[41:53] 就被他吐了一下之后
[41:54] 就会很好笑
[41:55] 因为你平常看到
[41:56] 你可能就只想滑掉
[41:57] 那可是呢
[41:58] 你看到是Tony的影片
[41:59] 然后配上一些很怪的
[42:00] 那种会皱眉头的东西
[42:02] 你就想看他是怎么样吐槽
[42:03] 所以就还蛮有趣
[42:04] 好笑
[42:05] 我也很喜欢他
[42:05] 下面一位
[42:06] 于恩蔡
[42:08] 于恩蔡
[42:09] 蔡于恩
[42:10] 防迷大大是吗
[42:11] 孟公好
[42:11] 请保持一天念Spotify的留言
[42:14] 这样国外的朋友们才比较方便留言
[42:17] 那Apple Podcast还会分使用国家
[42:19] 不在台湾都不会被念到
[42:20] 不过美国有时差
[42:22] 还是很难抢到留言密码
[42:23] 我知道出动AI帮忙
[42:25] 那算是终于找到AI Agent
[42:26] 可以帮我做的事情了
[42:27] 不过是好几次都失败
[42:29] 希望这次成功
[42:30] 那想问你
[42:31] 愚人节最难忘的经验是什么
[42:33] 最后宣传一下
[42:34] 每天都要看防迷
[42:35] 看到防迷一定要按赞
[42:36] 我真的是很喜欢防迷
[42:37] 甚至我觉得我的一些思想
[42:39] 有被房迷的一些说法给
[42:42] 不知道就是有被揉在一起
[42:44] 然后我觉得我可能某个程度上
[42:46] 我的思想有被他影响到一点点
[42:47] 就是知道正向的方向
[42:49] 非常感谢有这一位网友的存在
[42:52] 他是一位在美国的realtor
[42:54] 所以要买房子的都可以找房迷
[42:55] 当然他不是很在跟你推广说
[42:58] 你买房子要找我什么
[42:59] 他就是去每天分享一下
[43:01] 他脑中想的东西
[43:02] 真的是一股脑的丢出来
[43:03] 可是我看到我是觉得还蛮疗愈的
[43:06] 愚人节最难忘的经验是什么
[43:08] 就喜欢的女生跟我讲说
[43:09] 她喜欢我
[43:10] 然后最后她不喜欢我
[43:11] 下面会
[43:11] 我哭了
[43:13] Brett
[43:13] MK您好
[43:14] 请问您会想要送鉴定卡
[43:17] 给小朋友当生日礼物的
[43:19] 其中一项吗
[43:20] 那看到一张生日皮卡丘
[43:22] 感觉很适合当礼物
[43:23] 很想要中文日文英文都来一张
[43:25] 但是其实我知道
[43:26] 是我的一厢情愿
[43:27] 还是来个宝可梦公仔
[43:29] 比较便宜实在小孩也爱
[43:31] 没错
[43:31] 这位兄弟讲的东西
[43:33] 就是我们身为家长
[43:34] 很多时候会
[43:35] 他也不能够说是一个问题
[43:37] 但就是最后面你会意识到说
[43:39] 这个是我一厢情愿
[43:41] 就是你会觉得说
[43:41] 小朋友一定要什么
[43:42] 之前跟大家分享过
[43:43] 就是你可能带他去一个
[43:44] 不知道就是很贵的游乐设施之类的
[43:47] 可能你特地重金带他飞去日本
[43:50] 什么Disneyland
[43:51] 然后他给你他妈整趟都在哭
[43:53] 随便举例
[43:54] 反而是你可能在机场
[43:56] 后机的时候
[43:56] 旁边有一个那种小玩具间
[43:58] 然后小朋友在那边玩得超开心
[44:00] 所以你会发现说
[44:01] 就是小朋友要的东西
[44:02] 真的很简单
[44:04] 不像那种网络干文说
[44:05] 女人要的很简单
[44:06] 没有女人要的东西
[44:07] 蛮难的
[44:08] 小朋友要的东西
[44:09] 真的很简单
[44:10] 这个是真的很简单
[44:11] 所以一些那种
[44:12] 就是你真的以为说
[44:14] 靠北
[44:14] 这个是nothing的东西
[44:16] 这不用花到我的钱
[44:17] 不用花到我时间
[44:18] 然后你的儿子高兴一整天
[44:19] 有时候你看他这样
[44:20] 你就会跟着笑出来
[44:21] 太可爱了吧
[44:23] 所以确实是这样
[44:24] 那当然你还是可以去送一些
[44:25] 你认为是酷的东西给孩子
[44:27] 或是像我自己会放一些
[44:29] 我觉得是很棒的东西
[44:31] 给我的孩子听
[44:31] 那你会发现说
[44:33] 你们可以找到一些
[44:34] 共同的兴趣
[44:34] 就像说你送这个卡片
[44:35] 他即便不懂他的价值或什么的
[44:37] 但他可能意外的喜欢
[44:39] 那他可能也额外的开启一个新的路线
[44:41] 那也是蛮不错的
[44:42] 就即便可能一开始
[44:43] 有时候需要一些寻寻三邀
[44:44] 那我觉得比较硬逼
[44:45] 比较硬灌都是没有问题的
[44:47] 那像我儿子他很好笑的一点是
[44:49] 因为我后来不是买超级多的
[44:50] 游戏网鉴定卡吗
[44:52] 真的超过百张以上
[44:53] 那我儿子来我房间看一看之后
[44:55] 他最近突然间有兴趣
[44:56] 他就直接抽一张
[44:57] 你知道那张是什么吗
[44:58] 就是我之前跟他讲说
[44:59] 我把全日拍
[45:00] 那时候当下所有的库存都收回来的
[45:03] 那个化妆舞娘PSA十分
[45:05] 那他直接说他要这一张
[45:07] 我就他妈傻眼
[45:08] 因为我这么多卡片
[45:09] 你怎么刚好挑到
[45:10] 就是我的路坑的卡片
[45:12] 因为我本来就很喜欢游戏榜
[45:13] 他只是可能长大之后忘记
[45:15] 有一阵子那时候就看到
[45:16] 这个化妆舞娘卡片
[45:17] 我觉得太酷了
[45:17] 所以我就把它全包了
[45:19] 那你怎么就刚好挑到
[45:21] 我喜欢的这一张
[45:21] 那很多时候你真的会注意到说
[45:23] 就是孩子真的不能够投身
[45:25] 他跟你有很多相似的地方
[45:27] 或者你放一些音乐
[45:28] 有些他可能不喜欢
[45:29] 他相信他可能是不太喜欢Radiohead
[45:31] 可是他非常喜欢听亚索比
[45:33] 那我就觉得
[45:34] 这个还蛮感动的
[45:35] 所以你可以跟他探索看看
[45:36] 那尽量的
[45:38] 我们一般还是投其所好
[45:39] 就你知道他喜欢什么
[45:40] 就尽量给他那个东西
[45:41] 那某个程度上
[45:41] 你可以稍微去引导他一下
[45:43] 去喜欢一些
[45:45] 所谓的有品位的酷东西
[45:46] 认为是好的东西
[45:47] 身为爸妈都可以尽量的
[45:48] 去给小朋友
[45:49] 像因为
[45:49] Zary
[45:51] 是这样念吗
[45:52] A-Z-A-R-Y
[45:52] 想要推荐一个PS的游戏
[45:54] 给诺娃玩
[45:55] NEC跟NEC 2
[45:56] 是Sony本家制作的
[45:58] 动作类型游戏
[45:59] 可以两个人玩
[46:00] 也可以单人玩
[46:00] 很适合给小孩上手
[46:01] 剧情也很赞
[46:02] 我儿子大概也是
[46:02] 四岁的时候全破
[46:04] 强力推荐
[46:04] 另外我也想借这个机会
[46:06] 感谢我老婆
[46:06] 她情人节的时候
[46:07] 送了一组赛车方向盘
[46:09] 跟座椅给我
[46:10] 所以我想请孟公斗来
[46:12] 用猛男的声音
[46:12] 祝我老婆
[46:13] 大直林仙女
[46:15] 永远美丽
[46:16] 健康快乐
[46:17] 不是啊
[46:18] 太屌了吧
[46:19] 我觉得送方向盘还好
[46:20] 但送一个赛车椅
[46:22] 这个他妈超夸张
[46:24] 首先第一件事情是
[46:26] 台湾寸土寸金
[46:27] 他妈
[46:27] 他可以让你去
[46:29] 他妈摆一个这么大的东西
[46:30] 去占那个评效
[46:31] 那一瓶是多少钱的东西
[46:32] 他可以让你放在那
[46:33] 再来就是
[46:34] 先不管评效问题
[46:36] 就是女生
[46:36] 其实看到男生去放东西
[46:38] 一般来讲都不太喜欢
[46:39] 你在网上看到一堆
[46:39] 什么收藏品
[46:40] 被老婆拿去丢掉
[46:41] 这当然不是好事情
[46:42] 那只有说
[46:43] 就是有很多这样子的案例
[46:44] 更能够凸显说
[46:45] 您的太太
[46:47] 是一个非常伟大
[46:49] 跟大方的人
[46:51] 所以要好好的感谢他
[46:52] 非常感谢你推荐游戏
[46:54] 只是我儿子最近
[46:55] 他已经被我老婆限制了
[46:57] 因为我老婆认为说
[46:57] 他打游戏
[46:58] 打到他的情绪
[46:59] 有被受到影响
[47:00] 脾气变得不好
[47:01] 我怎么即便
[47:01] 其实我觉得不是这样
[47:03] 但就
[47:04] 家和万事心
[47:06] 老婆这样讲
[47:07] 我们就配合
[47:08] 所以现在可能
[47:09] 一到五的时候
[47:10] 我就陪他去玩
[47:11] 什么Mesa Star
[47:12] 或是去玩一些
[47:12] 公园的东西
[47:14] 或是他一样
[47:15] 可以看一些iPad
[47:16] 但他不能够打
[47:16] 现在只能够周末打
[47:18] 可能我们周末
[47:19] 有机会的时候
[47:20] 再来跟他玩一下
[47:21] 周末的话
[47:21] 他就可以畅饮
[47:22] 随便他打
[47:23] 他随便都要玩
[47:24] Pokopi
[47:24] 非常感谢你的推荐
[47:25] 下面一位
[47:26] Philip MK Chow Chow
[47:28] 我是听了快五年的
[47:30] 气氛仔加入涅槃阵线
[47:31] 9个月了
[47:32] 每天还是睡不饱
[47:32] 但只要看到女儿的笑脸
[47:34] 就心满意足
[47:35] 很喜欢你的育儿分享
[47:37] 有小孩之后才真正的知道
[47:39] 无事的爱是什么模样
[47:40] 那感谢辛苦的老婆
[47:42] Mona老婆我爱你
[47:43] 那另外想请MK用肌肉猛男的声音
[47:45] 恭喜3月25号
[47:46] 平安生产的朋友慧萍
[47:48] 欢迎加入育儿睡不着的行列
[47:51] 一哦一哦上餐厅
[47:53] 向左转
[47:54] 后面那是我自己乱叫
[47:56] 我也不知道怎么要叫
[47:57] 那个班长的声音
[47:57] 愿世上所有的美好皆如其而至
[48:01] 祝孟公一家平安喜乐
[48:03] 继续大报社
[48:04] 感爱你
[48:05] 下面一位
[48:05] 大理成冠希
[48:07] 孟公亲家公你好
[48:09] 你这个男人中的男人
[48:10] 甲主中的甲主
[48:11] 以下残酷二选一
[48:13] 没有在怕回答的对吧
[48:14] 一快乐女郎姐妹
[48:16] or黑魔岛女孩
[48:17] 黑魔岛女孩
[48:18] 二Olivia Rodrigo
[48:19] orDualipa Dualipa
[48:21] 三李朱恩
[48:22] 李亚英
[48:22] or李多慧
[48:23] 四三上优雅
[48:25] or波多野结衣
[48:26] 下一位伊隆马
[48:30] 发哥你怎么了
[48:31] 舅舅
[48:32] 我内伤了
[48:33] 舅舅发哥
[48:34] 发哥你到底怎么了
[48:36] 舅舅发哥
[48:36] 不知道怎么下面
[48:37] 刚好接这个留言
[48:38] 舅舅我还钱
[48:39] 我不要玩了
[48:40] 发哥你到底怎么了
[48:41] 其实发哥没有什么
[48:42] 太大的问题
[48:43] 我跟你讲前几天
[48:44] 我们刚好在跟朋友
[48:45] 在check后代的
[48:46] 就是那个移民封装
[48:47] 的相关东西的时候
[48:48] 那时候我们就
[48:48] 去稍微看一下
[48:50] Google的road map
[48:51] 它以前有一个叫
[48:52] Karina Fish
[48:52] 另外一个叫Humufish
[48:53] 然后我们就发现说
[48:55] Karina Fish不见了
[48:56] 那一开始
[48:56] 那时候我们的认知是
[48:58] KarinaFish是MTK的
[49:01] 那Humufish是Broadcom的
[49:03] 然后最后发现说
[49:03] 不对是反过来
[49:05] 所以是Humufish还在
[49:06] 在TPU的V9的RAWMAP上面
[49:08] 然后KarinaFish不见了
[49:10] 所以不知道Broadcom的东西变什么
[49:11] 还是说它有一个代号叫
[49:12] Mirope的那个东西会是Broadcom的
[49:15] 我们不确定
[49:15] 但有听众知道的
[49:16] 因为我们家讲的这个
[49:17] 我相信99%的人都听不懂
[49:19] 但听得懂的
[49:20] 你懂暗号的
[49:21] 欢迎来跟我分享一下
[49:23] 那个Mirope到底是什么东西
[49:24] 但反正总之就是
[49:25] 发哥在后面的TPU
[49:28] 还是有他的发挥的空间
[49:29] 但没有办法
[49:30] 就是网通也差
[49:31] 可能TV表现也不好
[49:33] 手机也不太好
[49:34] 可能因为这样子
[49:35] 有受到一些压抑
[49:36] 但是AI的梦想
[49:37] 还是摆在那边
[49:38] 下面一位
[49:38] 波波爱上梦工
[49:40] 嗨梦工chica
[49:41] 我大哥曹吉米
[49:42] aka乌日樱花耶稣
[49:44] 前阵子去打瘦瘦针
[49:46] 说五感之后
[49:47] 每天还是照午餐吃
[49:49] 我以为他突破医学极限
[49:51] 后来发现应该是剂量不足
[49:52] 毕竟你不会拿老鼠的剂量
[49:54] 用在鲸鱼身上
[49:55] 大哥要持之以恒
[49:57] 祝你减肥成功
[49:58] 一起大麦
[49:59] 挂号野爱梦工
[50:00] 我有想过是剂量问题
[50:02] 但我已经打到最高剂量
[50:03] 所以应该不是那个问题
[50:04] 不晓得
[50:05] 我后面会换一款药
[50:06] 因为我家其实是先打
[50:08] 我自己库存有的东西
[50:09] 后面再打新的东西
[50:11] 后来听朋友讲说
[50:12] 因为新的那一款
[50:13] 它是两个药合一的
[50:15] 所以应该比较屌一点
[50:16] 到时候再跟大家分享我的心得
[50:17] 我目前也是胃口是一样的
[50:19] 但是我觉得
[50:20] 那个是一个很好的心理Q
[50:21] 就是因为想说
[50:22] 老子针都打了
[50:23] 我都挨针了
[50:23] 我一定就是要
[50:25] 快速的降到医师要我到的一个位置
[50:27] 虽然也不多
[50:27] 就大概7公斤
[50:28] 就是可能
[50:29] 算起来是10%以内
[50:31] 应该是没有什么太困难
[50:33] 反正到那个地方的时候
[50:34] 再跟大家分享
[50:35] 拜拜
