[00:00] 歡迎收聽谷愛維生夢宮本期節目由米紅米紅生衣贊助
[38:23] 到處去聽人家講去買的話
[38:25] 他要贏的機率真的很低
[38:27] 就是說最後面你拉長看
[38:28] 那個期望一定是漲得不太好
[38:30] 只是呢
[38:30] 就是大家都只會記得說
[38:32] 幹你害我少賺這個
[38:33] 他不會因為說
[38:34] 他閃掉一些風險
[38:35] 然後來謝謝你
[38:36] 大多數人都不會
[38:36] 就類似像小胡這樣子
[38:38] 他就覺得說
[38:38] 賺錢都他自己厲害
[38:39] 然後賠錢呢
[38:40] 都是別人害的
[38:41] 類似這樣
[38:41] 好那下面一位
[38:42] 喬本叔叔大屌喬
[38:43] 桃園喜窗歡迎恰遜
[38:45] 哎那是我金融入門的恩人
[38:47] 最愛到遇到Howard Marks
[38:48] 然後被臭幹不懂投資
[38:49] 依工作要分析秘密金流
[38:51] 得知中國正侵略臺灣中
[38:53] 部件深且廣
[38:54] 許多臺灣黑幫
[38:55] 是中國在臺的準軍事力量
[38:57] 且現代侵略
[38:58] 已經不是用槍炮形式了
[39:00] 希望能夠藉由
[39:00] 挨大的金口點燃抗戰風火臺
[39:03] 不知道要怎麼點
[39:04] 這應該大家都知道吧
[39:05] 很明顯啊
[39:05] 有些是拿紅錢啊
[39:06] 不然就不會講出那樣子的話
[39:07] 然後再來
[39:08] 區塊鏈的應用在銀行算普遍
[39:10] 為什麼鮮少人知道
[39:12] 應該也不是說普遍
[39:13] 可能說部分東西
[39:14] 是有用到那樣子的東西
[39:16] 那知道又可以怎麼樣
[39:17] 就是重點是說知道可以怎麼樣
[39:19] 然後第三個
[39:20] 支援賴清德任命習近平
[39:22] 擔任臺灣副總統
[39:24] 這個應該是何強克在跑來留言這樣子的內容
[39:27] 好那非常感謝他的呼籲
[39:29] 請大家我也不知道該做什麼
[39:30] 就是我們應該很多人都已經知道吧
[39:32] 就是臺灣的一些那種黑幫分子
[39:34] 我說那種公廟宅
[39:35] 你很明顯他拿到錢就是對岸的
[39:37] 他才會去做出那樣子的一些表態
[39:39] 那隻能夠說
[39:40] 這要怎麼樣去做處理呢
[39:42] 你要花更多的錢把他們買回來嗎
[39:44] 好像也不是
[39:45] 那隻能夠說
[39:46] 你的小朋友要請他們遠離這些黑幫分子
[39:48] 差不多這樣的意思
[39:49] 下面一位兔兔愛吃草
[39:51] 感謝主委讚歎主委
[39:53] 大家好
[39:53] 上週來這邊許願
[39:54] 成功加入
[39:55] 捏軟陣線聯盟了
[39:56] 那上週催生順利
[39:58] 母子均安
[39:59] 寶寶也很貼心
[40:00] 沒有讓媽媽痛太久
[40:01] 是個可愛的女寶寶
[40:02] 那這幾天也是忙到
[40:04] 還沒有聽完前面的集數
[40:05] 還欠兩集
[40:06] 後面補回來
[40:07] 那此次回來這裡
[40:07] 分享好訊息
[40:08] 感謝愛大的祝福
[40:09] 希望愛大跟家人
[40:11] 平安健康
[40:11] 那也希望你的家人
[40:12] 平安健康
[40:13] 希望這個寶寶
[40:13] 快樂的來到這個世界上
[40:15] 然後可以平安健康
[40:16] 長大
[40:17] 那也恭喜你們
[40:18] 下面一位
[40:18] 臺中媽島
[40:20] 第二次留言測試
[40:22] 挨大你好
[40:23] 最近想要擺攤創業
[40:24] 可是家人對於我要去申請創業貸款
[40:27] 表示反對
[40:27] 因為覺得要把很多資料提供給政府單位
[40:29] 以後可能在經營商會比較綁手綁腳
[40:31] 而我自己也不想動用太多的股票部位
[40:34] 想請挨大開市
[40:35] 不是啊
[40:36] 你擺個攤位你是怎樣
[40:37] 你是有什麼國家機密
[40:39] 不可以給人家知道是不是
[40:40] 你要去申請補助
[40:41] 你本來就要提交一些東西
[40:42] 還是說因為家裡有人
[40:44] 不知道就是你們可能是做一些
[40:46] 我在想攤販嗎
[40:47] 還是什麼的
[40:48] 就是說你沒有繳稅
[40:49] 所以不希望一些東西
[40:50] 給政府看到
[40:51] 我自己猜想
[40:52] 只會這樣
[40:53] 不然你擺態
[40:54] 你要創業
[40:55] 你有什麼好資料
[40:56] 不能給人家看到的
[40:57] 那當然如果說
[40:57] 你的爸爸媽媽
[40:58] 是他有他的疑慮
[40:59] 就可能像我講的
[41:00] 你們可能賺的一些錢
[41:01] 是沒有繳稅的
[41:02] 我也不會在那邊
[41:03] 要很爭議
[41:04] 呼籲你說
[41:04] 一定每個人
[41:05] 都要乖乖繳稅
[41:06] 或什麼的
[41:06] 只是因為看來
[41:07] 應該就這樣
[41:08] 那就跟他講說
[41:09] 不然我不要去申請補助
[41:11] 你來補助給我好了
[41:12] 我要申請補助
[41:12] 我就需要繳這些資料
[41:13] 沒有辦法
[41:15] 不然誰要給我錢
[41:15] 重點是說
[41:16] 那不然誰要給你錢
[41:17] 去做這件事情
[41:18] 你最差
[41:19] 你說你要賣股票
[41:19] 你又不想賣股票
[41:20] 那你就知道
[41:21] 身心補助
[41:21] 你就知道給人家看
[41:22] 給人家看家人不滿
[41:23] 那就是不滿的這個人
[41:24] 看你要怎麼辦
[41:24] 你給我一些解方
[41:26] 你就看他要給你
[41:27] 什麼樣的解方
[41:27] 你就接受他就好
[41:28] 下面一位
[41:29] Wild in Heart
[41:31] 五星六星七星見
[41:33] 感愛大站臺愛大
[41:34] 最近照顧小孩
[41:35] 進入愛戰愛爬
[41:37] 討報地獄
[41:38] 能夠明白體會
[41:39] 之前愛大說的
[41:40] 小孩每天都在更新的感覺
[41:41] 而且我還發現
[41:42] 一個小確幸
[41:42] 就是在開車的時候
[41:43] 他在後座狂鬧
[41:45] 只要聽到Oasis的歌
[41:46] 他就會莫名的穩定
[41:47] 直到睡著
[41:48] 其他團就完全沒有用
[41:49] 想說這小子懂聽啊
[41:51] 想問一下海大
[41:52] 你會給小孩聽的
[41:53] 第一個樂團會是哪一個團啊
[41:54] 那最後請海大用金屬槍
[41:56] 做老婆12月20號
[41:58] 這金屬槍
[41:58] 這真的不會
[41:59] 直接
[42:00] 狗叫
[42:01] 真是快樂
[42:02] 那謝謝你
[42:03] 把家裡跟Zephyr
[42:05] 僱得這麼好
[42:06] 辛苦你了
[42:06] 祝海大全家幸福平安
[42:08] 小孩都平安健康長大
[42:09] 愛你
[42:10] 愛你
[42:10] 我並沒有刻意的去選擇
[42:13] 說什麼東西給孩子聽
[42:14] 我知道有些家長會
[42:15] 其實很多家長都很屌
[42:17] 他們真的是去想象一個貧困的東西
[42:19] 然後就希望孩子要長成那個樣子
[42:21] 我比較沒有
[42:22] 我的做法還是比較偏向是
[42:23] 反正我會去觀察我孩子喜歡什麼
[42:25] 然後我就會去尋尋三有他
[42:27] 在他的路線上給他一些指導
[42:29] 類似這樣
[42:30] 所以像音樂方面
[42:31] 當然有時候在車上我會放我的音樂
[42:32] 他就說他要放他的音樂
[42:34] 所以就會切來切去
[42:35] 但是我們有找到一些共識
[42:36] 像據來說在我playlist裡面
[42:38] 他比較喜歡的就是G-Dragon
[42:39] 他很喜歡G-Dragon
[42:40] 然後他喜歡像那個YOASOBI
[42:43] YOASOBI他也非常的喜歡聽
[42:45] 所以G-Dragon跟YOASOBI
[42:46] 大概是我跟我兒子的一個
[42:48] 有交疊的
[42:49] 然後再來就是
[42:50] 因為他的姑姑喜歡聽五月天
[42:52] 所以他也跟著聽五月天
[42:54] 然後五月天很多首歌他都會唱
[42:55] 那五月天我本身就還好
[42:57] 當然這不是什麼主流音樂
[42:59] 我沒有那麼中二
[43:00] 然後就只是就覺得還好
[43:01] 然後他非常喜歡五月天
[43:03] 所以他是五月天狂粉
[43:04] 之後假設有五月天演唱會
[43:05] 搞不好就會陪他去看
[43:06] 類似這樣
[43:07] 反正我不會覺得說
[43:08] 要把自己的東西
[43:09] 灌在小朋友身上
[43:10] 他能夠跟我喜歡
[43:11] 有重疊的東西就不錯
[43:13] 所以類似說
[43:14] 我覺得G-Dragon很有趣
[43:15] 只是不知道
[43:16] 韓團我沒有想說
[43:17] 要去充演唱會
[43:18] 但有一天我兒子
[43:18] 如果找我去的話
[43:19] 我一定很高興
[43:20] 好OK
[43:20] 那我們就一起去看吧
[43:22] 大概是這樣子的狀態
[43:23] 下面一位
[43:24] 基隆小華寶
[43:25] 基隆小華寶MK五安
[43:27] 這有點長
[43:28] 好念一下
[43:29] 從麥克風裝返
[43:31] 加你弄屌炮錄音室
[43:33] 訪談來賓的時候
[43:34] 開始停刮
[43:34] 好像找不到影片了
[43:36] 我是34歲
[43:37] 不婚不生
[43:37] 有女友的角落生物
[43:39] 不愛社交
[43:40] 也不喜歡浪費時間
[43:41] 在對我人生沒有幫助的人事物上
[43:43] 最近在幻想未來40歲理想的樣子
[43:45] 始終毫無頭緒
[43:46] 即便資產今年破了八位數加兩間房
[43:49] 但為了付房貸
[43:50] 每天還是做不喜歡的工作
[43:52] 對我的終局藍圖連草稿都畫不出來
[43:54] 喜歡的興趣也都沒有辦法變現
[43:56] 只知道如果我40歲還是這樣子不酷
[43:58] 那就要考慮傳宗接代了
[44:00] 我知道我在無病呻吟
[44:01] 但人生只有一次
[44:02] 不想要頻繁過一生
[44:03] 想問MK大期許的40歲是什麼樣的一個樣子
[44:06] 那另外請教MKCredo的財報上
[44:09] 宣稱自家的retimer功耗比A-Lab更低
[44:12] 而且成本更有競爭力
[44:13] 對A-Lab的股價血崩怎麼看
[44:15] 那A-Lab幾乎壟斷了PCIE Gen5 Retimer的市場
[44:19] 那現在扶持一個老二上來是要打價格戰嗎
[44:22] 還是被錯殺
[44:23] 那想問近期對A-Lab會有什麼操作
[44:25] 那最後請報跟泰山的周同學說
[44:27] 我不是平常沒在聽你講話
[44:29] 只是在想事情
[44:30] 請用音道小丸子的聲音
[44:31] 這不會
[44:32] 你才臭耳聾啊
[44:33] 關到臺語
[44:34] 不會念
[44:35] 那愛你就救
[44:37] 好那我們現在回答後面這個問題
[44:39] 那後面這個問題確實就是
[44:41] 市場最近很喜歡去屌殺的一個東西
[44:44] 就是他們會拿一個東西
[44:46] 然後就講說
[44:47] 那另外一個就要準備去死了
[44:48] 那我一直強調這樣的觀念是錯的
[44:50] 就像前面
[44:50] 因為Marvel出來講說
[44:52] 他要做什麼AEC
[44:53] 然後導致Credo跟Extra Labs重疊
[44:56] 那時候我不是也在節目跟大家講說
[44:58] 我覺得這是一個超級白痴的事情
[45:00] 你先看你自己的市佔有多少好不好
[45:02] 而且如果真的像大家講的
[45:03] 就是AI的發展是很好
[45:05] 什麼要有更多的scale out scale up scale across
[45:08] 或是更多的光通什麼應用什麼K格多少
[45:11] 那怎麼可能這些東西現在就進入價格戰跟邪害
[45:14] 你有沒有搞錯
[45:15] 所以就會覺得就市場在耍白痴
[45:17] 我最像前面虧鬥就買
[45:19] 然後買然後現在大家看到財報死命追全部倒給你
[45:22] 就看你們多喜歡
[45:23] 前面在那邊唱壞
[45:24] 然後現在拼命追
[45:25] 你有時候會覺得說就市場在做這種白痴的事情
[45:27] 然後或者是像SCR Labs
[45:29] 就是因為那個AWS re-invent說什麼
[45:31] 要去搞NVLink Fusion
[45:33] 然後大家在那邊狂殺亂殺
[45:34] 其實我還是覺得說是殺錯啦
[45:37] 但有些人可能會講說
[45:38] 大家看到什麼頭片數字變化
[45:39] 不知道什麼的
[45:40] 可是我覺得就一樣
[45:41] 基本面不要把它變成是什麼
[45:42] 當沖或是隔週沖
[45:44] 那是一個很奇怪的事情
[45:45] 就是重點你壓住的那個故事
[45:46] 是不是沒有改變
[45:47] 你是不是壓住AI的一個增量市場
[45:49] 那如果是的話
[45:50] 那一些短期的雜訊或什麼
[45:52] 就像那時候跟那個外資大哥吃飯的時候
[45:54] 他跟我講
[45:54] 他說其實很多都是noise
[45:55] 那真的都是noise
[45:56] 一下上修一下下調或什麼的
[45:58] 那最後面就問自己有沒有爆注嘛
[46:00] 每個人都會做分析
[46:02] 你到底抱住多少東西
[46:03] 過程中一洗
[46:04] 全部都下到全部砍光
[46:05] 所以它不太能夠這樣子類比
[46:08] 像在Credo裡面
[46:09] 它的PCIe Retimer
[46:11] 一般我們講是在AEC線材裡面
[46:12] 它是線上裡面的
[46:13] 在主動式電纜裡面的
[46:15] 如果我們今天在講說是ALAB的話
[46:17] 我們講的PCIe Retimer
[46:19] 是放在板子上面的
[46:20] 所以直接類比就是很奇怪
[46:22] 但是就像我講的
[46:23] 現在市場就很喜歡這樣吸引反應
[46:25] 像前面可能M9要去使用QBOO
[46:27] 所以怎麼樣就亂殺Nitobo
[46:29] 殺迭亭有病
[46:30] 就殺那個-10%以上
[46:32] 結果後來你頭部狂噴
[46:33] 一樣就一堆人那邊就被洗掉了
[46:35] 所以我覺得對
[46:36] 就是讓市場隨便去做他的反應
[46:38] 那像我自己的話
[46:39] 我前面這個部位
[46:40] 因為我的部位也跟大家非常好奇
[46:42] 就是Credo跟SR Labs
[46:43] 然後跟366我是拉一包
[46:45] 就這個組合是一包的
[46:46] 所以像Credo賣掉
[46:47] 那當然就去加另外的東西
[46:49] 就只有SR Labs可以選
[46:50] 因為366本質上跟Credo
[46:52] 是上下游的一個關係
[46:53] 所以不會再去做過多的加
[46:55] 所以我是這樣做
[46:56] 然後當然我也可能會錯
[46:57] 我就簡單跟你分享一下而已
[46:58] 如果真的要去賭說什麼
[47:00] Wildcard的話
[47:01] 那我反而覺得說
[47:02] 你不如去看8299
[47:03] 你不如看群聯
[47:03] 群聯的PCIE
[47:04] Redriver做很大嘛
[47:06] 然後現在Retimer
[47:07] 也是說什麼打入大廠
[47:08] 有些好訊息
[47:08] 是我會賭這個東西啊
[47:10] 那我不會認為是大廠
[47:11] 什麼的
[47:11] 現在就要橫向競爭
[47:12] 這個是很奇怪的
[47:13] 那再講說
[47:14] 40歲會是什麼樣子
[47:15] 我不知道欸
[47:16] 我真的不知道
[47:17] 我連可能不知道
[47:18] 接下來的一兩年
[47:19] 我希望自己什麼樣子
[47:20] 我都沒有什麼特別的期望
[47:22] 我現在是完全就是退縮到
[47:24] 我只希望把每天的事情做好
[47:26] 那其實
[47:26] 我覺得要把每天事情做好
[47:28] 就基本不容易了
[47:29] 特別是
[47:30] 以近期來講
[47:31] 就是不然
[47:32] 我就覺得心情特別低落
[47:33] 可能是你那種做動能的部位
[47:35] 那每天追
[47:36] 然後跟我朋友討論都說
[47:37] 又不勝被套
[47:39] 有時候去打一些題材
[47:40] 不勝被套
[47:41] 你覺得說
[47:42] 每天的小挫折
[47:43] 令你非常的難受
[47:44] 但如果你今天拉出來
[47:45] 你看你整體的進職變化
[47:46] 你一定是不會難受
[47:47] 可是還是就是覺得說
[47:48] 光是我要處理每天的東西
[47:50] 對我來說太多了
[47:51] 我要怎麼樣有一個投射
[47:52] 就是說未來會怎麼樣
[47:53] 那個比較像是那種
[47:54] 勵志作家可以跟你講的
[47:56] 你要先想象
[47:56] 你未來會怎麼樣
[47:57] 切畫藍圖
[47:59] 像是巴菲特說的
[48:00] 先想象一下自己死掉
[48:01] 那個覆文會怎麼寫
[48:02] 那你就儘量去完成那樣的角色
[48:04] 可是我不知道
[48:05] 我沒有辦法去想這麼遠的東西
[48:06] 我都覺得說
[48:07] 近期的事情我們都掌握不到
[48:08] 人生這麼多意外
[48:09] 這麼多有的沒有的東西
[48:10] 這可能是因為
[48:11] 身性是比較悲觀一點的人
[48:13] 所以就不會去想太多那種東西
[48:16] 我是儘量在學習樂觀
[48:17] 可是我其實是偏比較悲觀的人
[48:19] 那40歲該長什麼樣子
[48:21] 也完全沒有想法
[48:22] 但我即便是這樣講
[48:24] 就是說好像我覺得
[48:25] 我好像也沒有過得特別好
[48:27] 我怎麼樣
[48:27] 可是有時候
[48:28] 不知道
[48:28] 這可能社交的好處就在這
[48:30] 就出去跟人家吃飯的時候
[48:31] 然後人家就講
[48:31] 靠杯
[48:32] 你33歲
[48:33] 你已經有兩個小朋友了
[48:34] 就是你感覺已經是
[48:35] 經營到人家的中後期的階段了
[48:37] 所以好像也沒有什麼目標達成的
[48:39] 要不就這樣子
[48:40] 你還希望要什麼
[48:40] 希望我兒子上IV力
[48:42] 我也不會期待
[48:43] 他一定要會考試
[48:44] 反正就好好的過每一天
[48:46] 我想法真的這樣
[48:47] 不用去想太遠的事情
[48:48] 那根本就無法規劃
[48:49] 那再念一個
[48:50] Lucy YoYo Shin
[48:51] 謝謝鄉長YoYo爸
[48:53] 那大家好
[48:54] 謝謝你每週更新
[48:55] 可以開車上班聽鼓
[48:56] 還很快樂
[48:57] 雖然我常都只聽得懂
[48:58] 前言跟起為
[48:59] 感謝您製作節目
[49:00] 想積極感謝我先生
[49:01] 每天接送兩個孩子上學
[49:03] 祝福您全家平安健康
[49:05] 祝福每一個孩子
[49:06] 都平平安安睡覺
[49:07] 快快樂樂起床
[49:08] 真的
[49:08] 平安幸福平淡
[49:10] 就是一個
[49:11] 最好的事情
[49:12] 甚至你在家裡無聊
[49:14] 到這種的發現
[49:14] 這件事情本身
[49:16] 就是一個很奢侈的東西
[49:17] 在什麼你家人生病
[49:18] 或是有一些意外
[49:19] 你可以在家放空
[49:21] 本身是一個
[49:22] 就會令當下的你覺得
[49:23] 那時候的生活
[49:24] 真好的一件事情
[49:25] 所以我們要懂得知足
[49:27] 是非常重要
[49:27] 那就幫他感謝他的先生
[49:30] 感謝他接送小朋友
[49:32] 希望大家的小朋友都平平安安
[49:33] 健健康康
[49:34] 好那這邊拜拜
