[00:00] 歡迎收聽谷外,我是聖夢宮,本期節目由NordVPN贊助
[39:20] 夢中大大一家也是平安順利快樂
[39:22] 沒錯
[39:22] 這邊發現一句話
[39:24] 沒有訊息就是好訊息
[39:25] 電話不要想就是好事
[39:26] 下面一位
[39:27] 平安順心最重要
[39:29] 雙寶爸的心聲
[39:30] 之前老婆要我聽這個節目
[39:31] 本來覺得是個年輕小夥子的頻道
[39:33] 第一次聽到你對育兒的看法
[39:35] 尤其有一集說了
[39:36] 當你人生走到一個境界
[39:37] 想變換個角色
[39:38] 我似乎看到不同於財經頻道外
[39:40] 有點人文的溫度
[39:41] 而最近在你的節目中
[39:42] 我更仔細聽你的發言
[39:44] 很多時候都說出雙寶爸的心聲
[39:46] 不是每個男生都是外面心靈毒雞湯血的
[39:48] 男生只會甩手用腳泡奶粉
[39:51] 而是默默努力在過好每一天有孩子的生活
[39:54] 小孩真的不一定要出國
[39:56] 什麼創造共同的回憶
[39:57] 過好其實想出國旅遊的理由
[40:00] 他們希望你多陪伴他們
[40:02] 最近聽到一個親子專家說的
[40:04] 我們不僅是陪伴
[40:05] 更是在養成一個未來的成年人
[40:07] 囉嗦說了一堆
[40:08] 那祝福主委跟聽眾都能夠穩定中成長
[40:10] 健康快樂
[40:11] 那他前面講說年輕小夥子
[40:13] 我現在心情就特爽
[40:14] 就跟我之前節目講的一樣
[40:16] 就像如果說去買個啤酒
[40:18] 人家要跟你看證件
[40:19] 媽的心情超爽
[40:20] 對啊
[40:21] 就是三十幾歲已經很少人會講說
[40:23] 你是年輕小夥子
[40:24] 那再來講說這個親子專家的說法
[40:26] 我覺得有一個說法
[40:27] 我自己是更喜歡的
[40:28] 就是說你現在對這個孩子做的一切
[40:30] 就是在塑造他的童年
[40:32] 你知道你現在帶他去哪裡玩
[40:34] 或者跟他講什麼話
[40:34] 那個都是他的童年
[40:36] 他以後會想起來
[40:36] 就像我現在突然間就想到說
[40:38] 我爸以前會騎一臺
[40:39] 那個粉紅色腳踏車
[40:40] 然後載我出去
[40:41] 看什麼演唱會之類的
[40:43] 其實我不確定
[40:43] 是不是什麼演唱會
[40:44] 反正就是有一些那種公開的表演活動
[40:46] 然後有一場就是還在那邊打氣
[40:48] 然後打完氣之後
[40:49] 我爸還拿一些那種串珠子
[40:50] 然後放在那個輪胎的
[40:52] 那叫什麼鋼籃
[40:53] 反正輪胎上面一條一條的
[40:55] 就以前在那個上面
[40:56] 我們都會裝一些東西
[40:57] 讓它會發光
[40:58] 或者會發出一些聲音
[40:59] 然後後來在這個演唱會上面
[41:01] 我爸還會跳起來
[41:02] 去接一些糖果拿給我吃之類的
[41:04] 就是你會記得一些那種
[41:06] 美好的回憶
[41:07] 那當然有些回憶
[41:08] 可能就是說比較難過一點
[41:10] 可是整體來說
[41:11] 你看你爸爸對你做的一切
[41:12] 就是你現在會回想到你的童年
[41:14] 所以你現在對你孩子做的一切
[41:16] 就是他的童年
[41:17] 所以我們可以趁這個機會
[41:19] 不只是幫一個人去塑造他的童年
[41:21] 同時你不覺得
[41:22] 你跟小朋友去體驗一些事情
[41:24] 不然說像我現在拿一些寶可夢卡
[41:27] 給我兒子
[41:27] 跟他一起開卡包
[41:28] 我真的就想起我小時候
[41:29] 也有這些卡片
[41:30] 雖然我的卡片可能是盜版之類的
[41:32] 可是你真的就重新的
[41:34] 去把你的童年活一次
[41:35] 把你的人生再過一次的感覺
[41:37] 我覺得是非常充實的
[41:38] 像因為
[41:39] 可可可可
[41:41] 五個愛心
[41:42] 夢宮夢宮FX戰士九流美
[41:45] 2026居然要動畫化了
[41:46] 直接預定年度最恐怖的動畫
[41:49] 記得去看一下
[41:49] 先看福利點
[41:50] 福利點新的動畫非常的好看
[41:53] 又再一次拍出那種很倦勇的感覺
[41:55] 再來講說FX戰士九流美
[41:58] 這個其實真的蠻推大家去看的
[42:00] 因為它裡面的很多所謂的韭菜操作
[42:02] 其實就是很多人的日常
[42:04] 他直接把它演給你看
[42:05] 所以當你很意外的發現說
[42:07] 靠北這個人怎麼在跟我做一樣的事情
[42:09] 那你就知道說
[42:10] 你已經變成是典型的韭菜了
[42:12] 那不然我自己有時候看到都會心有慼慼焉
[42:14] 有時候你就會覺得說
[42:15] 這個地方感覺是穩贏大
[42:17] 我就是來all in
[42:18] 重壓
[42:19] 說哈大把的
[42:20] 然後就發現說surprise motherfucker
[42:21] 直接給你一個鐵拳之類的
[42:23] 然後把你洗掉之後再正式的開走
[42:24] 那所以後來隨著時間的精進
[42:27] 這個當然我們自己也慢慢的去找到一些
[42:29] 修改自己行為的做法
[42:31] 可是我覺得這部真的是把人性拍得很丁丁盡致
[42:34] 下面一位
[42:35] 車銀憂鬱起來了
[42:37] 結肉生日快樂
[42:38] 沒有什麼好問的
[42:39] 請來代用劉以豪的聲音
[42:40] 祝021中和新南路
[42:43] 節肉生日快樂
[42:45] 禮物你一定會喜歡
[42:46] 希望他喜歡
[42:46] 希望他生日快樂
[42:47] 下面一位
[42:48] 我愛778
[42:49] 新的一顆星跳過
[42:51] 下面一位
[42:51] 吳賈諾亞
[42:53] PSTG發生什麼事了
[42:54] 懇請MK解惑
[42:55] 嗨夢宮
[42:56] 我等黃金樹幽影特價等好久了
[42:58] 建議我直接買嗎
[42:59] 那如果本傳是10分
[43:01] 那這個DLC你打幾分呢
[43:03] 那另外不覺得
[43:03] 四三邪海這把刀真的很帥嗎
[43:05] 還是夢宮有什麼
[43:06] 特別愛的武器可以跟我分享
[43:08] 另外PSTG是記憶體漲價導致毛利率下降
[43:12] 所以才變下降嗎
[43:13] 可是不是代表儲存的需求在上升
[43:15] 它也是利多嗎
[43:16] 這樣理解是對的嗎
[43:18] 懇請猛攻解惑
[43:19] 因為在前一集還上上集有聽眾問到這個
[43:23] 所以我後來有稍微去看一下
[43:24] 就PSTG跟NetApp的表現都不太好
[43:27] 確實我自己本來會認為說
[43:29] 這兩隻應該算是
[43:31] 就是AI要去擴大雲端儲存的話
[43:34] 會受惠的股票
[43:35] 只是我認為下的一個主因
[43:37] 應該是跟NAND的價格上升有關係
[43:39] 這應該是有影響到
[43:41] 所以這兩個去幫忙大家
[43:42] 布這種算力儲存的公司
[43:45] 在近期的表現都有受到壓抑
[43:47] 但也不是說很差
[43:48] 就只是沒有漲
[43:49] 所以可能要等到價格稍微的平緩一點之後
[43:53] 再看有沒有機會了
[43:55] 確實這個也算是
[43:56] 假設我本來要去猜說
[43:57] AI儲存的話
[43:58] 我會選的一個標的
[43:59] 只是後來因為很明確的
[44:01] 有一些族群走出去
[44:02] 我們的做法就是
[44:03] 反正強勢的族群會一直加
[44:04] 所以就一段時間
[44:06] 沒有看到他了
[44:07] 那對我覺得應該是因為漲價造成的
[44:09] 大概這樣給你參考一下
[44:11] 然後再來講說
[44:11] 如果本傳是10分的話
[44:13] DLC幾分
[44:14] 大概8分或9分吧
[44:17] 我覺得艾爾登法環整體的設計
[44:18] 真的都太棒了
[44:19] 那我也很喜歡梅瑟莫的
[44:20] 這個角色的一個刻畫
[44:22] 那也喜歡他在DLC裡面
[44:26] 各式各樣BOSS的一個設計
[44:27] 那只是說他那個地圖
[44:29] 真的相對複雜一點
[44:30] 就是沒有像艾爾登法環
[44:32] 做的這麼的精妙
[44:33] 我個人認為
[44:34] 雖然某個程度上
[44:35] 有些人反而會更喜歡DLC
[44:37] 因為他那個箱庭搞得很複雜
[44:39] 然後有那種流暗花明又一村的感覺
[44:41] 那有一些特殊的景點
[44:43] 我自己本身也是非常的喜歡
[44:45] 那隻能夠說就是
[44:46] 他可能是更吃店鋪的東西
[44:49] 本身愛爾登法環就吃店鋪
[44:51] 然後這個東西可能又是在更加的吃店鋪
[44:53] 所以可能就是七分或八分吧
[44:56] 是我會建議直接買
[44:57] 如果說你本身並不是特別喜歡愛爾登法環的人
[45:00] 你再買這個你會更不喜歡
[45:02] 我認為是這樣
[45:02] 那13鞋孩子寶刀當然超級帥
[45:05] 他是OP到不行的
[45:06] 甚至有人會用
[45:07] 梅麗娜的聲音講說
[45:08] 這個fucking tarnish
[45:09] 就如果說你是拿
[45:10] 十三型魚海的話
[45:11] 你是disgrace
[45:12] 因為這個武器
[45:13] 就是完全的OP
[45:14] 我記得後面
[45:14] 有把它改弱的樣子
[45:16] 所以對
[45:17] 是一個好刀
[45:18] 沒錯
[45:19] 下面一位
[45:19] 這期節目就到這邊
[45:20] 拜拜
[45:21] 感恩MK五星吹捧
[45:26] 第七次留言測試
[45:28] 留言密碼真的好難
[45:30] 能不能夠請MK
[45:31] 幫我跟觀音鬥來許願
[45:32] 我可以留言成功
[45:34] 感謝無私分享
[45:35] 祝您健康長大
[45:37] 拜拜胖胖
[45:38] 抱歉我是說諾亞跟安哥
[45:39] OK對啊
[45:41] 我也希望他們健康長大
[45:42] 拜拜胖胖
[45:42] 那只是
[45:42] 我是覺得說許願
[45:44] 不要用在這種超級奇怪的地方
[45:45] 就是感覺那個額度是有限的
[45:47] 你還是把它收起來吧
[45:49] 下面一位
[45:49] 澳洲勞工Jeffrey
[45:51] 一心我照念
[45:53] 他沒有留一心
[45:54] 他自己寫一心
[45:55] 我要喜大的
[45:56] 那挨大你好
[45:57] 想請教一些問題
[45:58] 在推演一些供需方面
[45:59] 比如說零化因
[46:01] 未來可能出現的供需減縮的時候
[46:03] 食物上是怎麼樣判斷
[46:04] 我目前只能夠從高速傳輸需求會越來越快
[46:08] 這種需求端出發
[46:09] 再反推技術跟公司掛號
[46:10] 例如聯亞
[46:11] 但中間很多關鍵判斷容易變成腦補
[46:14] 想聽你怎麼驗證需求是真的
[46:16] 供給是真的跟不上
[46:17] 另外想起來大家用對安哥的聲音
[46:20] Jeffrey Lewis老師快點邀愛你
[46:23] 前面這部分的話
[46:25] 你說腦補這個老子心有慼慼焉
[46:27] 我跟你想的一模一樣
[46:28] 因為很多時候我們真的就是在腦補
[46:31] 老實講市場派很多時候真的就是在腦補
[46:34] 所以你跑去跟一些公司派講
[46:36] 他都說你們想的太誇張了
[46:37] 哪有這樣
[46:38] 像那時候還記得被動元件
[46:40] 我們可能在幾個月前
[46:41] 跟大家分享的時候
[46:42] 然後那時候有跟大家說
[46:43] 業內的人說我們是神經病
[46:45] 根本就沒有看到漲價
[46:46] surprise motherfucker
[46:47] 現在開始漲價
[46:48] 因為只能夠說
[46:48] 他們想象力不夠豐富
[46:49] 他們是非常專業的存在
[46:51] 所以他們就實事求是
[46:52] 一定要看到各種報價
[46:54] 怎麼樣才怎麼樣
[46:55] 可是在我們的角度
[46:55] 就是已經看到說
[46:56] 媽的AMD跟NVIDIA的server
[46:58] 他又用到量大這麼多
[47:00] 怎麼可能不會缺
[47:01] 或者說像我們講的
[47:03] 這個TLVR電感
[47:05] 我們就認為說一定會去一定會漲價
[47:07] 可是到最近才開始有一些人的報告去寫
[47:10] 可是我相信你去問業內的
[47:11] 他們可能都還不一定可以看到這個狀況
[47:13] 所以只能夠說
[47:14] 確實市場派很多時候會overshoot
[47:17] 就是我們會去過度的想象一些東西
[47:19] 然後你去問一些公司派的人
[47:22] 或者說這些從業人員
[47:24] 他們就是說你們在幻想
[47:25] 然後這邊發現說
[47:26] 沒有市場派有些想的是對的
[47:27] 所以它沒有一個絕對的標準
[47:30] 我只能夠說你的這個思路
[47:31] 就是你先去想象某個東西
[47:33] 應該會用到更多吧
[47:35] 類似這樣
[47:35] 然後你去反推去找公司
[47:37] 我覺得這個做法是沒有問題的
[47:39] 我認為是沒有問題
[47:40] 就算有腦補也是OK
[47:41] 這是很正常
[47:42] 反正就是買了之後
[47:43] 不會漲你也把它砍掉
[47:44] 對你買了之後
[47:45] 之後它都沒有漲
[47:46] 然後就算它真的告訴你說
[47:48] 會缺你還不是也不在意
[47:49] 因為來投資就是來賺錢的
[47:50] 講白點是這樣
[47:51] 所以有些東西你不會動
[47:53] 就算我知道你的狀況很好
[47:54] 我還是會解碼
[47:55] 或是像是我們BuySide朋友分享的
[47:57] 他那時候買美光
[47:58] 他說他買在忘記多少錢
[47:59] 反正就是很便宜的一個價格
[48:01] 然後他買了三個月都不會動
[48:02] 他直接被公司review到爆
[48:03] 就是每次都直接問你說
[48:05] 為什麼你要一直去持有這公司
[48:06] 為什麼你要持有這麼多
[48:07] 那周邊大噴之後
[48:08] 他們也不會回來跟你說聲謝謝
[48:10] 所以確實做投資
[48:11] 就會有這個績效跟時間的一個壓力
[48:13] 所以有時候就算你看對
[48:15] 跟時間不對
[48:16] 那也是錯
[48:17] 懂我意思嗎
[48:17] 就是你不能夠說什麼
[48:18] 最終就真的需求越來越好
[48:20] 這個不代表你對
[48:21] 你重點是你要有賺到錢
[48:23] 所以照你這樣的一個思路邏輯
[48:25] 我覺得是沒有問題的
[48:27] 那只是最後面
[48:28] 要怎麼去驗證這些需求呢
[48:29] 很簡單
[48:30] 就是像我們會去考究一些
[48:31] 合約價格的變化
[48:33] 或者說一些
[48:33] 哪家公司有拉貨
[48:35] 哪家公司有呈現漲價
[48:37] 或是哪裡有訂單跑出來
[48:38] 或什麼的
[48:38] 那以前的我的話
[48:40] 可能也是比較傾向說
[48:41] 我要從公司的法說
[48:42] 或是去看一些研究報告
[48:43] 來得到這樣的一個資訊
[48:44] 那當然現在的狀態有點不一樣
[48:46] 現在就有時候
[48:47] 可以直接拿到這些資訊
[48:48] 但我只能夠跟大家講說
[48:49] 有時候拿到這個資訊
[48:50] 還是不太會賺錢
[48:51] 因為你可能太領先了
[48:53] 也沒有用
[48:53] 你領先了半年
[48:54] 所以你根本也沒有賺到錢
[48:55] 甚至是賠錢的
[48:56] 因為你買了之後
[48:57] 它開始一直跌
[48:57] 那你最後面才發現說
[48:59] 半年後價格開始漲
[49:00] 可是那時候你的股票可能也沒了
[49:02] 或甚至是漲了之後
[49:03] 你的股票也不一定會漲
[49:04] 因為題材沒有在這裡
[49:05] 所以我覺得這個很難說
[49:07] 它沒有標準答案
[49:08] 但你要知道你在做的事情
[49:10] 是我們也在做的事情
[49:11] 就是完全一樣的
[49:12] 沒有錯
[49:12] 那只是會透過去問一些產業圈的人士
[49:15] 然後來做自己想法上的一些驗證
[49:17] 好那下面一位小林大學同學
[49:20] MK你好
[49:21] 孟公你好
[49:22] 六月命啊測試成功
[49:23] 下面一位
[49:23] 三錐頭顧
[49:25] 全職投資仔
[49:26] 五星好評
[49:26] 夢宮大
[49:27] 怎麼一直漲
[49:28] 哪時候要開崩啊
[49:29] 我可以投資仔嗎
[49:31] 高點到了快逃
[49:32] 怎麼是我可以投資仔嗎
[49:34] 這個來自於胡言亂語
[49:35] 那什麼時候會開崩不知道
[49:36] 但一般我們有一個
[49:38] 很簡單的參考標準
[49:39] 就是突然間來一個超級大黑K
[49:41] 其實像前幾天就有那樣子的一個黑K
[49:43] 那一般來講
[49:45] 如果那個黑K是在自己的獲利
[49:46] 沒有很多的時候
[49:47] 老實講就被洗掉
[49:48] 只是因為這波真的拉太遠了
[49:49] 所以蠻多人
[49:50] 我看身邊的都還坐在車上
[49:52] 沒有被洗掉
[49:52] 但如果再來一根夠大的
[49:54] 連續兩個
[49:54] 我覺得很多人都會開始解嗎
[49:56] 不然我自己
[49:56] 所以大概這樣
[49:57] 那再見
