[00:00] 欢迎收听谷爱,我是孙梦宫,本期节目由Raychen正级坐垫EX赞助
[39:28] 那除了被动投资
[39:29] 搭配多一些主动选股的操作
[39:32] 慢慢累积
[39:32] 感谢孟公这么优质的好节目
[39:34] 那真的佩服孟公
[39:35] 也祝你跟你的家人们都平安健康
[39:37] 非常感谢这位海外的小矮粉
[39:40] 蛮怪的
[39:41] 反正总之呢
[39:42] 如果你想要获得更多的报告的话
[39:44] 我觉得比较简单的方式
[39:46] 就是你多开一点户
[39:47] 你就可以获得蛮多这种
[39:49] 券商消赛的一个报告
[39:50] 那更进阶一点的话呢
[39:52] 就等到你的交易量够大的话
[39:54] 你就去开一个法人部的户头
[39:56] 像這樣子法蘭布的戶頭
[39:58] 他們有辦法再幫你搞到更多的資源
[40:00] 一般就會有一些可能LINE群
[40:03] 或甚至你可以直接跟你的音樂人對話
[40:04] 他就會幫你找一些海內外的報告
[40:07] 或是一些Call Memo都會幫你丟來
[40:09] 這個就等於說可以再更上一層樓
[40:11] 再來可能就是要有一些同好
[40:13] 因為每個人的注意力是有限的
[40:15] 我今天Call公司 Call ABC
[40:16] 你Call DEF
[40:18] 那我們就來做交換
[40:19] 這樣子大家都可以獲得很多的情報
[40:21] 所以他是慢慢的
[40:22] 他沒有那種一步登天的方法
[40:24] 蛮多人都想要问
[40:25] 一步登天的方法
[40:26] 但真的没有
[40:27] 那都是靠累积
[40:28] 老实讲你说累积到很多
[40:30] 你的绩效就会比之前更好
[40:32] 我得说有累积真的有差
[40:33] 可是到后面
[40:34] 那个编辑效益会递减
[40:35] 甚至你会有一点
[40:37] 受害于资讯太多
[40:39] 太多杂讯
[40:40] 或者说就算你的资讯是对的
[40:42] 可是你的资讯的
[40:43] 怎么讲
[40:44] 它的频率太高
[40:45] 导致
[40:46] 就像说像
[40:47] 我之前就跟一个大哥讨论过
[40:49] 因为那时候
[40:49] 我要跟他对一些头片数字
[40:51] 他自己跟我讲说
[40:52] 他都没有在看头片数字
[40:54] 我想说
[40:54] 你妈的你那么大的一个分析师
[40:56] 你这么有名
[40:58] 大家都在看你的报告
[40:59] 你没有在看投片报告
[41:00] 你是唬我的吧
[41:01] 他说他真的都不知道那些数字
[41:03] 他说那个叫noise
[41:04] 那这句话影响我非常大
[41:06] 因为老实讲在2023、2024
[41:07] 如果你可以掌握到一些
[41:09] 前段、后段、封装段的各种数字
[41:12] 你就可以赚钱
[41:13] 那直到现在
[41:13] 你已经很少听到人家
[41:15] 去追什么投片数字
[41:16] 或者是说可能今天
[41:18] Oracle或者是Meta
[41:20] 他妈拉起Rex
[41:21] 你应该很久没有看到这个数字
[41:22] 因为这一招已经是没有用了
[41:24] 就在后面在市场上是越来越顿化的
[41:26] 像那个大哥他的说法就是说
[41:28] 他不去看这种
[41:29] 因为你一下上修
[41:30] 你后面又下修
[41:31] 你下修之后
[41:32] 后面又再上修
[41:33] 那意义在哪
[41:34] 我只要抓到大方向
[41:35] 我只要知道说
[41:35] 哪些厂商可以吃到这一大单
[41:37] 我这样下就可以
[41:38] 所以他的做法
[41:39] 你甚至搞不好看新闻就好了
[41:41] 你还不用看一堆什么研究报告
[41:42] 懂吗
[41:43] 所以有资讯很好
[41:44] 但是资讯并不是一个绝对必要
[41:47] 没有就会死掉的东西
[41:48] 甚至我觉得很多时候是在考验你的眼光
[41:51] 大概是这样
[41:51] 那下面一位
[41:52] 台股云霄飞车
[41:54] 网美铁拳教育超好看
[41:56] 五星好评最爱
[41:57] 网飞最近的韩剧芯片
[41:59] 铁拳教育超好看
[42:01] 挂号有打打杀杀的片段
[42:02] 探讨各种学校的不良案例
[42:05] 内容也有提到不少小孩的部分
[42:06] 应该对您会有所帮助
[42:08] 那还大有机会也在YouTube念留言吗
[42:11] 那首先非常感谢你的推荐
[42:13] 然后再来讲YouTube念留言
[42:15] 之后有机会可能可以试看看
[42:16] 我觉得目前就是Apple跟Spotify
[42:18] 算蛮不错
[42:19] 因为已经算是可以cover到
[42:20] 绝大多数的听众
[42:22] 或许以后可以再加一个YouTube
[42:23] 可是因为YouTube有时候会有白痴
[42:25] 就YouTube我大概
[42:26] 可能每两三集
[42:27] 就会需要去封锁一些人
[42:29] 那当然我是不会去封锁
[42:31] 那些可能跟我意见相左的
[42:32] 可是我会去封锁白痴
[42:34] 就你今天讲白痴话
[42:35] 你就立刻被我封锁
[42:35] 因为我会觉得
[42:37] 不知道
[42:37] 还是只有我这样想
[42:38] 就是我看到白痴的留言
[42:40] 我会觉得说
[42:40] 你正在污染我的脑袋
[42:42] 就是你这种人
[42:43] 就应该要立刻出去
[42:44] 所以我很可惜
[42:46] 我只能够封锁留言
[42:46] 我觉得最好的做法是
[42:48] 应该是你连我的频道都
[42:49] 不能够看到
[42:50] 那这个是最好
[42:51] 只是好像没有办法
[42:52] 这样去封锁别人
[42:53] 但反正总之就是
[42:54] 对
[42:55] 如果上面的人
[42:56] 比较正常一点的话
[42:57] 就OK
[42:57] 就像前阵子
[42:58] 有一段时间
[42:59] 不是
[43:00] 我忘记Spotify还是Apple
[43:01] 应该Spotify
[43:02] 就是全部都在问股票
[43:03] 其实那段时间
[43:04] 我就想把Spotify留言
[43:05] 的这个机制给关掉
[43:06] 反正总之
[43:07] 我们就是会
[43:08] 弹性的去做一些调整
[43:09] 因为我真的很讨厌笨蛋
[43:11] 下面一位
[43:11] 黄三料
[43:13] 太神了
[43:14] 还敢下来啊
[43:15] 冰鸟
[43:15] 这是一个不公平的比赛啊
[43:17] 笑死人
[43:18] 他刚刚打我
[43:18] 我有退吗
[43:19] 微步都没有退
[43:20] 你们裁判是怎么判的
[43:22] 不是
[43:22] 我一步都没有退
[43:23] 你判我输
[43:24] 你从桃园新竹
[43:25] 你从桃园新竹
[43:26] 你从桃园新竹
[43:27] 你从桃园新竹
[43:28] 你从桃园新竹
[43:29] 他的手可以穿过我的巴巴
[43:31] 是哦
[43:32] 真的假的
[43:32] 那今天呢
[43:34] 风光明媚
[43:35] 风和日丽
[43:35] 所以今天的计划就是
[43:36] 早餐吃到饱
[43:37] 哇
[43:39] 这个好多回忆
[43:40] 下面一位
[43:40] 来
[43:42] Leonite1
[43:44] 123
[43:45] 我
[43:46] 艾大你好
[43:47] 我有两个
[43:48] 从国中到现在
[43:49] 每天都还是会在群组讲干话的好兄弟
[43:51] 挂号损友
[43:52] 这几年我们都会一直聊投资的事情
[43:54] 但都不是很正经的那一种
[43:56] 一个把挨大当成神
[43:57] 每个急速当天必听并认真分析
[43:59] 一个把川普当成神
[44:01] 说跟着偷卡赚就好了
[44:03] 他口啦不是偷卡啦
[44:05] 那希望挨大可以用川普的声音
[44:07] 跟他们两位说
[44:08] Kevin跟Wilson
[44:09] 祝你们股票都可以买买买
[44:11] 喷喷喷
[44:11] 那这样就能够两个愿望
[44:13] 一次满足了
[44:14] 我谢挨大
[44:15] 挂号我们的内梗是
[44:16] 只要有什么类似punchline的东西
[44:18] 就会窝来窝去
[44:19] 甚至到了泛滥的程度
[44:21] 其实有这样的一些好狗友
[44:23] 是蛮不错的事情
[44:25] 川普的话
[44:26] 确实是在市场
[44:27] 是属于那种呼风唤雨
[44:28] 只是川普的指标
[44:29] 后来也不太好用的原因
[44:30] 是因为他搞人
[44:31] 就像上次
[44:32] 一下跟你讲说
[44:33] 他要去躲岛
[44:34] 一下说他不要了
[44:35] 所以变成说
[44:36] 你会被双巴扒到死
[44:38] 但以前他叫你买股票的时候
[44:39] 那真的是非常准的时间点
[44:40] 所以我觉得川普
[44:41] 现在已经是收敛到
[44:42] 就是他跟你讲说
[44:43] 买股票的时候
[44:44] 你就买股票就对了
[44:45] 下面一位
[44:46] 一路向五万点
[44:47] Good morning, good afternoon and good
[44:49] 后面被卡掉
[44:49] 之南巧虎梦宫去嘎
[44:51] aka观音大爱受众您好
[44:53] 生日快乐
[44:54] 先祝各位捏软联盟
[44:55] 快乐宝贝端午快乐
[44:56] 梦宫会觉得很像楚门世界的主角
[44:59] 走在路上大家都认识你
[45:00] 你却不认识他们的感觉吗
[45:02] 总觉得古来像是陪我长大的节目
[45:04] 有点可以体会到
[45:06] 为什么有人会想追星
[45:07] 希望哪天可以在路上听到古来说
[45:09] I buy you all
[45:11] Can I get the first one
[45:12] 这个是黄仁勋的插队梗
[45:15] 就是他想要去第一个拿到
[45:17] 所以我就帮大家买掉
[45:18] 我不知道可以这样插队
[45:19] 如果可以这样子的话
[45:20] 其实我非常乐意
[45:21] 我非常乐意
[45:22] 就以后如果你看到我在排队
[45:24] 那你是在我前面
[45:25] 你认识我
[45:26] 你就来跟我讲说
[45:27] 孟光帮我付钱
[45:29] 然后我就会帮你付钱
[45:30] 我一定帮你付钱
[45:31] 甚至你不用讲说
[45:32] 孟光帮我付钱
[45:32] 你说孟光你要不要快一点
[45:33] 我就会去前面帮你付钱
[45:35] 因为我超级讨厌排队
[45:35] 我不知道可以这样插队
[45:37] 因为黄文勋真的太帅了
[45:38] 所以这个大家是允许这件事情
[45:40] 因为这个世界下
[45:42] 蛮多人是很容易被冒犯
[45:43] 我们不确定说
[45:44] 你这样子讲
[45:44] 会不会有些人说
[45:45] 怎样有钱了不起
[45:46] 但如果说
[45:47] 我前面是听众
[45:48] 你看到我在排队
[45:50] 因为我真的超级讨厌排队
[45:52] 你给我一个fast pass
[45:53] 我一定帮你付钱
[45:54] 好大家讲
[45:55] 下面一位
[45:55] CC Chen
[45:56] 超爽der
[45:57] 捡到留言密码的勒
[45:59] 欸孟公
[45:59] 你要去参加NB邀请的10k路跑吗
[46:01] 这样我要砸NB参加咯
[46:04] 那突然想不到
[46:04] 今天可以问什么
[46:05] 那我们就一起唱
[46:06] G.I.J.O.
[46:08] 加套到啦
[46:09] 欸会会去跑
[46:11] 只是当然
[46:12] 我不确定自己有没有办法跑完10K
[46:14] 因为我没有跑过这么长
[46:16] 当兵都是跑好像3K还5K
[46:18] 所以第一次跑这么长
[46:20] 应该前面会去稍微的做一点训练
[46:22] 大概这样
[46:22] 下面一位
[46:22] 用川普的语音包说
[46:24] 不懂六七梗的我们是不是老了
[46:29] 梦光宝贝想问
[46:30] 目前有吃什么健康食品
[46:32] 你说就是那种保养品吗
[46:34] 虾油 鱼油 综合维他命 叶黄
[46:39] 然后还有鸡酸
[46:41] 计算我觉得蛮不错
[46:43] 计算是很明显感受到
[46:44] 说有吃有差的东西
[46:45] 那二老公有没有用过
[46:47] Cloud的Fable 5模型呢
[46:49] 有的话有何感想
[46:50] 有好用强大速度快
[46:52] 我觉得目前AmpliPick的模型
[46:55] 真的都是还蛮屌炮的
[46:56] 那三有没有一时冲动
[46:58] 被洗出厂的经验
[46:59] 就是明明很看好
[47:00] 某档未来的前景
[47:01] 但因为当天的股价走势
[47:02] 真的太喜而冲动出清
[47:04] 那结果当天尾盘又涨回来
[47:06] 如果遇到这种情况
[47:07] 会选择认错买回
[47:08] 还是投入其他标的
[47:09] 那最后祝您60岁也能够成博
[47:12] 非常感谢
[47:12] 洗漱厂一定有
[47:14] 而且很常见
[47:15] 到现在都还是会有
[47:16] 那所谓的洗漱厂
[47:17] 我会直接把它视为说
[47:18] 反正就是达到我的条件
[47:20] 我开始停利
[47:21] 或是停损出去之后呢
[47:22] 然后接着就立刻开走
[47:23] 这个我都把它视为是洗漱厂
[47:25] 那只是以前遇到洗漱厂
[47:26] 就是很被动的接手
[47:27] 现在遇到洗漱厂
[47:28] 就是我会把它追回来
[47:30] 然后我追回来的部位
[47:31] 我就是洗不掉了
[47:32] 也就是说
[47:33] 就算你跌掉20%
[47:35] 我都是扒在上面
[47:36] 我可能追回来不会追这么多
[47:37] 但是我就是扒在上面的
[47:39] 所以一般我会有这个认错追回
[47:41] 就是我是蛮敢追回的
[47:42] 甚至追回是追在涨停价也没有关系
[47:44] 这个是我近期会这样子搞
[47:46] 那下面一位
[47:47] 听老婆话不丢脸
[47:49] 留言密码测试
[47:49] 以这些年默默固定听了
[47:51] 梦工去卡频道多年
[47:53] 感谢您这一路上的陪伴
[47:54] 有您真好
[47:55] 别的不说
[47:55] 当爸妈之后健康最重要
[47:57] 祝您全家幸福安康美满
[47:58] 请您帮我祝福家中老婆大人
[48:01] 6月20号生日快乐
[48:02] 感谢老婆有你的付出
[48:03] 才让这个家完整
[48:04] 那我们希望老婆生日快乐
[48:06] 要健康平安
[48:07] 下面一位科技业背锅仔阿全
[48:09] 拜托念叨我
[48:10] 好运一直来
[48:11] 孟公去港
[48:11] 您好小弟目前工作正面临
[48:14] 准备要进入PIP
[48:15] 或是拿钱走人的窘境
[48:17] 目前还没有找到下一份工作
[48:18] 又面临预售物
[48:19] 明年要交屋
[48:20] 希望借孟公的金口
[48:21] 祝福我工作瓶颈
[48:22] 可以快点跨越
[48:23] 早点更适合自己的工作
[48:26] 那生活家庭都顺心
[48:28] 并祝我和好友大宝
[48:30] 早日实现买房买车的梦想
[48:32] 明年顺利交屋
[48:33] 小弟会捐出五万的月薪
[48:34] 谢谢来大爱您
[48:35] 我们祝这个兄弟
[48:37] 早日达成他的目标跟愿望
[48:39] 那只是呢
[48:40] 我之前会进行一个大方运动
[48:42] 就有发现说
[48:43] 这边有很多的当生boy
[48:44] fucking当生因啊
[48:46] 就是他们太call了啦
[48:47] 他们许一个很大的愿望
[48:48] 然后他们call到爆炸
[48:49] 那只是后来
[48:51] 就是像我跟大家分享
[48:52] 我觉得我们这边有很多听众
[48:53] 他们又太大方了
[48:54] 就走到一个极限去
[48:55] 那所以呢
[48:56] 以你的案例
[48:57] 因为你目前正在换工作
[48:58] 同时你预售交屋
[49:00] 后面就开始要分期要给钱了嘛
[49:02] 那你又要去买车的话
[49:03] 你正在一个支出非常大的阶段
[49:05] 在这个阶段
[49:06] 我建议你先把钱留起来
[49:08] 你只要记得你之后
[49:09] 你要还月
[49:10] 你要捐钱
[49:10] 那之后的事情
[49:11] 但你会做到就好
[49:12] 你先把钱收起来
[49:13] 这也是我跟大家讲说
[49:14] 其实很多人在他累积
[49:16] 所谓的第一桶金的初期
[49:18] 你知道你前面的钱
[49:19] 其实是非常重要的
[49:20] 然后你跑去乱买一些东西
[49:22] 乱上一些课或什么的
[49:24] 当然你说是累积自己
[49:25] 可是其实你一直把钱花掉
[49:27] 本身也不是太好的事情
[49:28] 懂我意思吗
[49:29] 所以不管是捐或是花
[49:31] 前面的几笔钱
[49:32] 真的要非常非常的小心
[49:33] 我建议这个兄弟
[49:34] 好好地存起来
[49:35] 你之后可能不知道
[49:36] 就等到有点弹性之后
[49:37] 你再去把这个愿望给还掉
[49:39] 这没有问题的
[49:40] 那有什么神明还是什么小
[49:41] 他们一定会等你
[49:42] 下面一位
[49:42] Happy Birthday Chica
[49:44] 上星期六的生日快乐没有念到
[49:46] Semi Analysis提到800V HVDC延后
[49:49] AI电源族群全面下跌
[49:51] 但台达电目前主力人400V
[49:53] 800V延后反而可能延长其受益期
[49:55] 另外茂联KY买了DataCon
[49:57] 补足了Connector和PowerShop的产品
[49:59] 应该未来更强
[50:00] 怎么看这波市场的定价逻辑
[50:03] 这个应该是专业人士
[50:04] 那我觉得你讲的东西
[50:06] 就跟我在上集讲的内容
[50:07] 基本上是一样的
[50:08] 我那时候不是跟大家讲说
[50:09] 如果你说一些光的东西要遞延
[50:12] 那应该pluggable的东西要上去
[50:13] 可是pluggable的东西也被杀下去
[50:15] 就代表说其实不是在叠这个
[50:16] 它就是一个市场的情绪的通杀
[50:19] 那一样的道理
[50:19] 如果我今天讲说800V DC要延后
[50:21] 其实它只有两个路线去跑
[50:23] 那你说400V应该可以持续的走下去
[50:25] 或甚至它会有更长的一个受取
[50:26] 那它应该要上去
[50:27] 可是为什么它也跟着掉下去
[50:28] 所以这个就代表说
[50:30] 市场它并不是很理性的在做这件事情
[50:32] 同时是因为现在的盘正好在一个修正的阶段
[50:35] 所以我觉得大家不用去太在意
[50:37] 不管是Semi Analysis
[50:38] 还是谁发的什么报告
[50:39] 里面可能提到的东西
[50:40] Outsider这个
[50:41] 反正你只要记得
[50:42] 你要往过去看
[50:44] 就我跟大家提到的
[50:45] 你去注意一下过去的几个修正
[50:46] 如果你有经历过的话
[50:47] 当时修正的理由
[50:49] 是不是在后面可能过心高
[50:51] 或者说继续突破的时候
[50:53] 就没有人在意了
[50:54] 一定是这样子的
[50:55] 所以你不要在短期内去太在意各种消息
[50:58] 各种消息丢出来
[50:59] 你要做的只是去验证说
[51:00] 这个会不会对你的投资
[51:01] 不会造成毁灭的打击
[51:02] 如果不会
[51:03] 如果它只是一个短期的冲击
[51:04] 你真的不应该太在意它
[51:06] 它就是一个noise
[51:06] 就很类似说
[51:07] 我们最近一直举的例子是
[51:09] STR Labs
[51:09] 因为它真的算是一个很经典的案例
[51:11] 就是Sexy Bag
[51:12] 从200多掉到100
[51:13] 然后接下来是300多块400
[51:15] 那你还记得快100的时候
[51:16] 也是很多听众跑来问我吗
[51:18] 那我就是跟大家讲
[51:19] 虽然我也回答得很心虚
[51:20] 因为股价怎么会这样
[51:21] 可是我们看到就不是这样
[51:23] 我们看到明明就是好的
[51:24] 然后一堆人又在打入的时候
[51:25] 我说什么
[51:26] 这个股价表现是这样
[51:28] 就是因为什么光镜同推
[51:29] 还怎么几把小的
[51:30] 那现在我问你
[51:31] 三到四百人
[51:32] 你要怎么自洽你的逻辑
[51:34] 对不对
[51:34] 所以其实不用太在意
[51:35] 短线这些故事的变化
[51:37] 我还是维持我上集跟大家聊到
[51:39] 就是这些路线该推的
[51:40] 就是会继续往那个方向去推
[51:41] 它可能在过程中
[51:42] 会有一些path finding
[51:43] 或什么样的
[51:44] 那或是有一些delay
[51:45] 那是在RA的project
[51:46] 这边去delay
[51:47] 那你要知道在市场里面
[51:48] 现在有很多人
[51:49] 都是在去trade RA project
[51:50] 也就是说
[51:51] 他们是在交易一个
[51:52] 正在研发中的东西
[51:54] 那于是他们就会波动很大
[51:56] 因为研发中的东西可能会递盐
[51:57] 它不是像那种量产的东西
[51:58] 是非常稳定的
[51:59] 所以你要去接受
[52:00] 就是在过程中这样的一个震荡
[52:02] 它是一个正常的现象
[52:03] 大概是这样
[52:03] 好那再见
[52:04] 拜拜
