[00:00] 欢迎收听骨癌,我是圣梦宫,本期节目由Dr.CYJ赞助
[38:45] 什么东西是特别稀罕的
[38:46] 下面一位
[38:46] Andrew Jian
[38:48] 挨大你好
[38:49] 首先祝你全家身体安康
[38:52] 幸福美满
[38:52] 我跟女友都是你的听众
[38:54] 尤其是女友
[38:54] 她是以前旅章的研究员
[38:56] 与你一样都是事业内的人士
[38:58] 会定时听你的节目来当reference
[39:00] 那希望你可以用川普的声音
[39:02] 祝宜君
[39:03] 那希望他股票绩效
[39:09] 2026开红牌
[39:10] 谢谢
[39:11] 下面一位
[39:11] Sam761226
[39:14] 知安巧虎你好
[39:15] 上次留言说
[39:16] 我们的大学好友阿威
[39:18] 他装叶克摩在等心脏
[39:19] 但不幸在去年10月
[39:21] 还是离开世界了
[39:22] 听说他装叶克摩
[39:23] 破了台北龙总的记录
[39:25] 五个多月
[39:25] 那虽然当初就感觉机会渺茫
[39:28] 如今参加告别式送他离开
[39:30] 心里还是觉得很难过
[39:31] 那请问爱大
[39:32] 怎么面对好友中离跳game
[39:34] 那祝福挨打全家老小平平安安
[39:37] 健健康康快快乐乐
[39:38] 也希望阿威一路好走
[39:39] 那我们希望阿威一路好走
[39:41] 那同时
[39:41] 我自己是还没有这样子的一个经验
[39:44] 虽然有时候我去想了一下
[39:46] 我就觉得说这是很可怕
[39:47] 就像我不知道
[39:48] 我假设我自己是我父亲
[39:49] 然后看到他的什么兄弟开始过世
[39:51] 他的朋友开始drop dead之类的
[39:54] 那我现在自己身边
[39:55] 最靠近我的一个案例是
[39:58] 在那个特指部就是当兵的时候
[40:01] 我那时候是管银站
[40:02] 银站后面来接的学弟
[40:04] 然后就有一次
[40:05] 又看到他的脸书账号
[40:07] 就po说什么
[40:07] 他已经离开我们了
[40:09] 那我们怀念他什么的
[40:10] 如果想要去看他
[40:11] 最后一面的
[40:11] 可以在什么时间留什么
[40:12] 我就吓到想要杀小
[40:14] 就到底是杀小
[40:16] 他比我年轻
[40:16] 然后他怎么就这样就过世了
[40:18] 什么骑摩托车在哪里摔倒
[40:19] 那时候就有回家想一下
[40:22] 可是其实印象没有很深刻
[40:24] 也不是说什么跟他不够好之类
[40:25] 我的意思是说
[40:26] 就是可能真的要自己
[40:27] 身边很麻吉的朋友
[40:28] 会每天跟你打电动
[40:29] 我突然间他没有办法给你打电动
[40:31] 或者是说
[40:32] 自己的什么兄弟姐妹开始过世
[40:33] 我就觉得会开始感受到那种
[40:36] 可能身边有人走掉的恐惧吧
[40:38] 我觉得第一枪一定是你的家人走掉
[40:40] 你的爸妈
[40:40] 当你的爸妈走掉
[40:41] 其实就代表说你就是下一个
[40:43] next on the line
[40:44] 你知道吗
[40:44] 就是去直面死亡的
[40:46] 所以我可以想象这件事情是非常困难
[40:48] 只是我自己是还没有遇到
[40:49] 所以我也不知道怎么样去
[40:50] 跟大家分享
[40:51] 如果是我会怎么样去处理这样子的情绪
[40:54] 然后可能要等到后面
[40:55] 希望不早就不要太早遇到这样的事情
[40:57] 下面一位
[40:57] 跑得快先生
[40:58] 早安主委
[40:59] 两个股票问题有询问
[41:00] 拜托别骂我
[41:02] 一加减码的时机点
[41:04] 跟部位是怎么抓的
[41:05] 过去有提到
[41:06] 建议是带状停利
[41:07] 自己在这一块
[41:08] 就是涨一天打一张
[41:09] 或是跌一天减一张
[41:10] 那我感觉是
[41:11] 我的具体操作有错误
[41:13] 让自己身在其中
[41:14] 发现不了错误
[41:14] 相信来大帮看
[41:15] 二怎么验证
[41:16] 自己看错这件事情
[41:17] 时间区间抓多久
[41:19] 自己在基本面研究之后
[41:20] 觉得公司的体质
[41:21] 催化剂等故事都很OK
[41:23] 但常常我觉得好
[41:24] 市场觉得不好
[41:25] 或是不鸟我
[41:26] 那我不知道
[41:27] 要怎么验证自己确实看错
[41:29] 时间区间要给多久
[41:30] 如果用技术线图当判断
[41:31] 要怎么用
[41:32] 通常你怎么用
[41:34] 谢谢阿一大
[41:34] 首先就是我还是觉得
[41:36] 那是大家问问题的
[41:38] 一个态度问题
[41:39] 这个态度问题也很难去讲
[41:40] 因为想说我又没有看到你的人
[41:41] 我怎么知道你态度怎么样
[41:42] 但我能够说
[41:43] 因为我看的留言太多了
[41:45] 所以有些疑问
[41:46] 我就知道说你是很烦的人
[41:47] 然后我整天来问的
[41:48] 我都知道说
[41:49] 干嘛我不想屌你
[41:50] 因为我如果理你的话
[41:51] 那我现在跟你讲
[41:52] 那你赚钱也不会谢谢我
[41:54] 然后之后
[41:54] 别的时候就回来问我说
[41:55] 你不是说可以吗
[41:56] 所以我知道这些人
[41:57] 我现在都没办法识别
[41:58] 我很讨厌
[41:59] 但你看得出来不是这样子的
[42:00] 那我就稍微跟你讲一下
[42:01] 那首先像你这样的一个加减码
[42:04] 就是我们前面讲的CTA的一个做法
[42:06] 反正就是越涨越加
[42:07] 这个是没有问题的
[42:08] 其实这个做法是没有问题的
[42:10] 那你之所以可能会觉得说
[42:11] 你的操作有错误
[42:12] 就代表说你可能是买到在盘整的东西
[42:14] 所以你就觉得说
[42:14] 你好像在追涨沙碟
[42:15] 那如果是的话
[42:16] 那就是很明显
[42:17] 首先这个东西要先确实的走出趋势
[42:19] 如果你没有办法
[42:20] 看K线去知道走出趋势的话
[42:22] 你看均线
[42:23] 你看MA20 60
[42:24] 有没有是往右上角
[42:25] 甚至是你直接叫你儿子看
[42:27] 他说我发现说
[42:28] 小朋友看都比大人纯粹
[42:29] 大人会陷入到自己的僵局里面
[42:31] 如果是小孩看
[42:32] 这个股票是左上右下
[42:33] 还是右下左上
[42:34] 他直接可以告诉你答案
[42:35] 所以其实我觉得可以直接去
[42:37] 就找小朋友看
[42:38] 或者说你去透过一些技术指标
[42:40] MA MACD
[42:41] 有没有突破零轴向上
[42:42] 有的话那可能就是一个新的趋势
[42:44] 有没有每次的高
[42:45] 都比过去的高来搞
[42:46] 如果是的话
[42:47] 其实你用你的做法是没有问题的
[42:49] 我觉得是没有问题的
[42:50] 那再来讲说
[42:51] 看错这件事情
[42:52] 这个事情太难讲
[42:53] 就是有些东西是
[42:54] 你当下认为说
[42:55] 首先我们都知道说
[42:57] 我们的进场
[42:57] 会用基本面
[42:58] 作为一个base
[42:59] 就是先有基本面的base
[43:00] 那可能透过筹码
[43:01] 或是技术面
[43:02] 去做加减码
[43:03] 或是进出场的一个依据
[43:04] 可是很多时候是这样
[43:06] 就是一个东西
[43:06] 我们很喜欢
[43:07] 我们买了
[43:07] 然后都不会动
[43:08] 然后接着我们认输之后
[43:09] 他就拼命的往上喷
[43:10] 所以周边发现说
[43:11] 我知道的比市场快太多了
[43:13] 所以下次我要慢一点
[43:14] 所以这个绝对都是看个人
[43:16] 因为有些人就是可以等
[43:18] 有些人不能够等
[43:18] 有些人一等
[43:19] 你有没有看到
[43:20] 那个什么郑立军
[43:21] 她老公买那个旺红吗
[43:22] 那个多厉害
[43:23] 那个等几年
[43:24] 那个等几年
[43:24] 然后下瘾
[43:25] 在有些人眼中
[43:26] 他们讲说
[43:27] 这个家有凹单
[43:27] 在有些人的眼中
[43:28] 就是说这个家有价值投资
[43:30] 又可以深蹲
[43:30] 所以你看
[43:31] 其实真的会用
[43:32] 不一样的视角去看
[43:33] 会获得不一样的答案
[43:34] 像我自己也有那一种
[43:35] 就可能深蹲个半年一年之后
[43:37] 然后最后面获得
[43:37] 巨大报酬的东西
[43:39] 当然也有那一种
[43:40] 就是我可能才蹲个
[43:41] 不到两三个礼拜
[43:42] 我就想说
[43:42] 是不是我看错砍掉
[43:43] 然后就喷了
[43:44] 所以其实你可以
[43:44] 从我们的节目去做一些验证
[43:46] 好像前面我一直跟你讲说
[43:47] 老子家不玩报价了
[43:48] 我全部转去光了
[43:49] 我玩报价
[43:50] 我发现说我是被报价玩了
[43:52] 那会不会后面
[43:52] 你就看到一堆什么
[43:53] 被动眼镜报价的东西
[43:54] 全部喷上去
[43:55] 那这就不属于我了
[43:56] 所以我就不会去纠结
[43:57] 反正说人就是不停的往前看
[43:59] 那你今天压在一个东西
[44:00] 你如果真的很有自信
[44:01] 你就应该要在里面等
[44:02] 你发现它太慢
[44:03] 那你就减码一些
[44:04] 可是你还是要有东西在里面等
[44:05] 不然你后面
[44:06] 你会对自己交代不过去
[44:07] 你会觉得说
[44:08] 我明明该赚到的钱
[44:09] 为什么我没有赚到
[44:10] 只因为我没有耐心
[44:11] 所以那个其实需要时间去调
[44:12] 就是你到底是
[44:13] 相对市场是快
[44:14] 是慢
[44:15] 你的判断到底是对
[44:17] 是错
[44:17] 因为很多时候
[44:18] 是你自以为自己很好
[44:19] 就像你提到
[44:20] 你的想法其实偶尔我也会有
[44:21] 我也想说
[44:22] 会不会是市场有想到
[44:24] 我没有想到的东西
[44:24] 可是你真的经过几个案例之后
[44:26] 你就发现说
[44:26] 没有
[44:27] 其实很多时候是市场走得比我慢
[44:28] 你就有这个自信
[44:29] 但在有些东西上面
[44:31] 你还是会知道说
[44:32] 你知道就有些东西
[44:32] 你可能是领先
[44:33] 有些东西你可能是落后
[44:34] 所以它都没有一个绝对的东西
[44:36] 那一样
[44:36] 为什么我们去回答一些股票的东西
[44:38] 回答到后来
[44:39] 我甚至会觉得说
[44:39] 我也不知道要回答你什么
[44:40] 因为每个东西真的都是by case
[44:42] 你没有一个准则
[44:44] 可以用在所有的东西上面
[44:45] 但是我觉得如果硬要讲说
[44:47] 什么东西可以通用的话
[44:48] 就是你一定要了解你投资的东西
[44:50] 你够了解
[44:51] 那你也抓到这个东西的
[44:52] 营收跟获利的成长性
[44:54] 你只要营收跟获利没有看错
[44:55] 税后盈余的增长的角度
[44:58] 你没有看错的话
[44:59] 那基本上这个投资
[45:00] 要输掉的几率就偏低
[45:01] 只是有没有效率
[45:02] 有时候可能一等要等很久
[45:03] 那没有办法
[45:04] 那你真的都要很有效率的话
[45:06] 就是每天就打开那个什么XQ
[45:07] 然后看到成交额排行
[45:09] 什么前十名
[45:10] 或者说最涨的前十名
[45:11] 或者直接去买储值股
[45:12] 那都有效率
[45:13] 可是问题就是说
[45:14] 那那个胜负可能也是很快翻牌
[45:16] 如果压错地方
[45:16] 可能又一次赔很多钱
[45:17] 所以都有好有坏了
[45:19] 下面一位
[45:19] 卤肉饭好吃战士
[45:21] 问个老公
[45:22] 请问储值股停损的方式
[45:23] 该怎么样正确处理
[45:24] 比较好
[45:25] 目前是使用固定的
[45:26] 趴数停损作为封控点
[45:29] 但考量到被处置
[45:30] 只要少少的股票
[45:31] 就可以大幅的影响价格
[45:33] 感觉留着也不是
[45:34] 砍掉也不是
[45:35] 那想请问主委
[45:36] 关于此状况处理上
[45:37] 怎么弄比较好感谢
[45:39] 我自己在储值股的话
[45:40] 我第一个做的不多
[45:41] 那第二个是
[45:42] 如果我去做的话
[45:43] 我绝对不会用一个
[45:43] 什么绝对的价格去做填损
[45:45] 因为你也知道说
[45:46] 那个量是被抽掉
[45:47] 所以有时候它上下的
[45:48] 那个波动会很大
[45:49] 那如果说你有注意到
[45:50] 储值股的一些行进逻辑的话
[45:52] 你就会发现说
[45:52] 很多时候在储值里面
[45:54] 被狂追的
[45:55] 后面就会压回来
[45:56] 或者说被狂杀的
[45:57] 后面就会弹回去
[45:58] 所以其实蛮多人在处事里面
[45:59] 做的是区间
[46:00] 那就大概点你到这
[46:02] 反正你自己可以稍微的
[46:03] 找到一点逻辑
[46:04] 如果说你觉得
[46:05] 这个东西不好做
[46:06] 或是你不会做的话
[46:07] 你下次就不要在处事股里面做
[46:09] 你就避开
[46:10] 所以其实真的就是打不赢就不要打
[46:11] 你去加入一个你会的赛道
[46:12] 下面一位
[46:13] 红班长
[46:14] 梦宫杰伦的新歌你听了吗
[46:16] 那个不看歌词
[46:17] 听不懂他在唱什么的杰伦回来了
[46:19] 你喜欢哪一首新歌
[46:20] 可以用川普的语音
[46:21] 唱几首杰伦的歌吗
[46:23] 爱你
[46:23] 新歌还没有听
[46:25] 他出新专辑
[46:26] 我都不知道
[46:26] 那可能再找来听吧
[46:27] 非常感谢推荐
[46:28] 下面一位
[46:28] BBBBBB
[46:30] 想问孟公SpaceX
[46:31] 上市你会买吗
[46:32] 最近被马斯克要盖Terra Fab
[46:34] 搞得不太想买了
[46:35] 会买的话会买占比多少
[46:37] 没错
[46:37] Terra Fab是值额单线的东西
[46:39] 他可能真的会烧掉很多钱
[46:40] 而且可能会没有办法达成
[46:42] 他预定的目标
[46:43] 因为你要知道
[46:44] 其实在金人代工厂
[46:45] 这个生意上面
[46:46] 他并不是说什么一家垄断
[46:48] 而且马斯克需要的东西
[46:49] 严格上来说
[46:50] 并不是像State of the Art的晶片
[46:52] 所以像什么三星也会做
[46:54] 或甚至是说搞不好别家Fab
[46:56] 也是有机会会做
[46:56] 所以他的东西并不是真的超级需缺到
[46:59] 他要自己去拓展来做
[47:01] 不然就没有人要帮他做
[47:02] 就如果前面讲
[47:03] 他是因为价格的考量
[47:04] 所以他就什么都想要压价格
[47:06] 就要搞垂直整合制造
[47:07] 那当然就有可能会烧掉很多钱
[47:09] 那说我会不会买
[47:10] 我一定会买
[47:11] 他上次我一定会买
[47:12] 而且我是不管估价怎么样
[47:13] 我就会先买
[47:14] 那会买多少
[47:15] 不知道就最多就一两趴吧
[47:16] 先买个两趴
[47:17] 那一样就看对再加
[47:18] 下面一位
[47:19] 天公哪
[47:21] 老水友
[47:23] 阿妹啊
[47:25] 孟公你好小弟
[47:26] 因为他那个标题
[47:28] 直接写我们著名的客家歌曲
[47:30] 小弟今年37岁
[47:32] 结婚两年来
[47:33] 每个月都希望有天使降临
[47:35] 可惜至今未如愿
[47:37] 每当听到QA里的预音分享
[47:39] 真的是超级羡慕
[47:39] 捏软阵线的学长们
[47:41] 我也好想加入捏软仔的行列
[47:42] 那最后想请孟公
[47:44] 深厚的观音大爷
[47:45] 保佑我们今年能够有喜事
[47:46] 若能够成真
[47:47] 我一定会请尽所有去爱这个孩子
[47:50] 那谢谢孟公
[47:51] 祝大家身体健康平安快乐
[47:53] 这个观音大爱初一姐
[47:55] 下面一位Max大大
[47:57] 看到诸位的IG影片父爱喷发
[48:00] 对着自己的儿子发出耶的声音
[48:02] 觉得反差感好大
[48:04] 平时那个性感富有磁性的嗓音
[48:06] 竟然能够发出这么可爱的叫声
[48:07] 那听台通李一诚说
[48:09] 他会在小孩洗澡的时候
[48:10] 全裸跳舞给小孩看
[48:12] 诸位有做过类似的事情吗
[48:14] 然后想请问你对储值股的操作如何
[48:16] 如果一档股票即将进入处置
[48:18] 或是已经进入处置
[48:19] 最后会考虑先把资金撤出完
[48:21] 别的标的还在继续摆着不动
[48:22] 那光通今天好几颗
[48:24] 等某个今天被拉到20分处置盘的光通类股
[48:28] 明显弱很多
[48:29] 那最后注评两个儿子能够平安长大
[48:31] 不管长多后面被卡掉
[48:34] 那首先
[48:34] 对啊
[48:35] 其实最近很多人问处置股的原因
[48:36] 是因为最近一堆东西涨到进去处置股
[48:38] 那想的光通处置股
[48:40] 我自己手上也有
[48:40] 那甚至有一个是
[48:41] 进处置的时候
[48:43] 那时候大家想说
[48:44] 我会把它卖掉20分钟处置
[48:45] 然后现在已经涨到快要1000块去了
[48:47] 所以以我的角度是
[48:48] 我在处置前面布局的东西
[48:50] 我不太会因为处置股
[48:51] 我就把它卖掉
[48:51] 我自己是这样
[48:52] 那有些可能在意流动性的
[48:53] 会把它卖掉
[48:54] 但是我不会
[48:54] 然后再来就是在处置股里面的时候
[48:56] 只要有被重杀
[48:57] 一般我都会想去捡
[48:58] 因为我知道说流动性很低
[48:59] 所以今天人家可能去卖
[49:01] 它会超跌
[49:02] 所以我会反而是站在买房的位置
[49:04] 那有些朋友会选择去做什么
[49:06] 高抛低吸这些做法
[49:07] 这我不会这样做
[49:08] 一般来讲就是反正
[49:10] 要有任何的动作
[49:14] 真的是被搞到很紧绷
[49:15] 需要去动它
[49:15] 但我觉得啦
[49:17] 就如果你真的早就知道会紧绷的话
[49:18] 你应该在处置前
[49:19] 你就先把你的流动性拿回来
[49:21] 所以我不太在意这样的东西
[49:23] 然后再来讲说
[49:24] 有没有做过全裸跳舞给小孩看
[49:26] 我会去逗小孩啦
[49:27] 各种方式
[49:28] 但是还没有在他面前
[49:29] 就是可能全裸甩小鸟
[49:31] 像一成这样
[49:32] 我还没有做过这样的东西
[49:33] 但确实值得参考看看
[49:35] 下面一位Howard
[49:36] 那请问主委
[49:37] 已经听了周杰伦新专辑了吗
[49:38] 对女儿殿下一曲
[49:40] 满满小孩声音感觉如何
[49:42] 真的还没听
[49:42] 你们都一直讲
[49:43] 还有待会一定要听
[49:44] 下一位
[49:44] 波波爱上孟公
[49:46] 孟公去感恩
[49:47] 我是前几集说被主管针对的那一位兄弟
[49:50] 我真的没有问了
[49:51] 结果事后不理
[49:52] 我每集都多刷还从头复习
[49:55] 虽然没有被回答
[49:56] 但被念到也心满意足了
[49:57] 难怪下午工作效率爆棚
[50:00] 有种被上buff的感觉
[50:01] 挂号不浮夸
[50:02] 这次回来跟公主关于老大还愿间参拜
[50:05] 请孟公祝我2月24号生日快乐
[50:07] 以及业绩顺利签约
[50:09] 我就捐出一个月月星座公益
[50:11] 爱您
[50:11] 你上次没有说我也爱你
[50:13] 我也爱你
[50:14] 我已经忘记你上次来找我是什么事情
[50:16] 但反正总之就是
[50:17] 如果有帮到你各种层面上
[50:19] 你知道我弄成这样
[50:20] 就大家在那边随便乱许愿
[50:21] 我也不知道你们在那边许愿
[50:22] 是要冲啥小
[50:23] 是有病是吗
[50:23] 但我后来我为什么从善如流
[50:25] 接受的原因就是因为
[50:26] 我想说你知道
[50:27] 其实社会上很多人是缺乏一个寄托
[50:28] 他就只是想在这个地方讲话
[50:30] 他觉得说
[50:31] 他平常跟别人讲话
[50:32] 没有要屌他之类的
[50:33] 或者是不知道
[50:33] 就觉得跟我讲话
[50:34] 我跟他讲话就有点能量
[50:35] 那OK那可以帮到大家我就帮
[50:37] 但我绝对不是什么
[50:38] 自居什么神格化
[50:39] 什么教主之类
[50:40] 我觉得这种东西超无聊
[50:41] 我也只在意我自己的家庭
[50:42] 跟我有没有赚到钱
[50:43] 那其他东西
[50:44] 我的妈I don't give a shit
[50:45] 但如果大家觉得开心
[50:46] 大家觉得会被buff到的话
[50:48] 那当然我是非常乐意的
[50:49] 帮大家推一把
[50:51] 那这期视频就到这
[50:52] 拜拜
