[00:00] 欢迎收听谷爱,我是孟公,本集节目由比如我赞助
[40:02] 其实现在都在推估值什么的
[40:03] 现在回头看就觉得说好好笑
[40:05] 就是怎么一瞬间从那样的一个情景
[40:07] 变成是满地都是便宜货
[40:09] 现在的情况是这样子
[40:10] 所以你觉得它便宜是正常的
[40:12] 只是便宜不代表
[40:13] 它就不会再更便宜
[40:14] 特别是你现在回头看
[40:16] 可能像是2022年的台积电
[40:18] 300多块
[40:18] 你应该也觉得不可思议
[40:20] 其实那时候的600多块
[40:21] 就已经不是一个很贵的股票
[40:22] 就是它一样杀到300多块
[40:24] 然后后来它变成
[40:25] 一个2000多块的东西
[40:26] 只是你有办法活着
[40:27] 看到它变2000多块的那一天
[40:29] 那下面一位
[40:30] 巨型龟头
[40:31] 梦宫995
[40:32] 跌到现在早上起床
[40:34] 都不会沉泊了
[40:35] 每天起床都像是在被肛
[40:36] 不对被肛可能还比较舒服
[40:38] 老公可以救救台股
[40:39] 救救爱普吗
[40:40] 大盘今天这样算叠不叠出量
[40:43] 那虽然也才1.08兆
[40:44] 还有韩国人都可以去红干吗
[40:46] 都去跳楼跳一跳好了
[40:47] 不要这样啊
[40:48] 现在大家都是一起痛苦的
[40:49] 有韩国人的地方真的都没有好事
[40:51] 可以开始抵制韩国了
[40:52] 那另外祝福台湾的大家
[40:54] 明天库存都涨停
[40:55] 这个陈宁吉言
[40:57] 希望大家明天
[40:59] 至少给个人道走
[41:00] 让大家喘一下
[41:00] 让大家挑一下部位
[41:01] 我觉得是真的蛮需要
[41:03] 叠到这个位置
[41:04] 其实出个反弹是还算合理
[41:06] 那再来讲说
[41:07] 这个算不算出量
[41:08] 还好
[41:09] 认真说还好
[41:11] 就呼应到我们前面所提到的
[41:12] 可能真的太多人的成本
[41:14] 在很低的地方
[41:15] 所以现在其实就是一个那种
[41:17] 你得到的东西
[41:18] 你失去的痛苦
[41:19] 但是你没有到
[41:20] 就是觉得说
[41:21] 像前面的几波回荡
[41:22] 像那个2024年7月
[41:25] 鸿海为首的那个ODM大回荡
[41:28] 是很多人直接把全年获利输光
[41:30] 而且他不是可能在高档才加入的
[41:32] 他只是因为行情太疯狂
[41:34] 然后叠层嫁屋上去
[41:36] 后来一波倒下
[41:37] 就一直骂一整年都输光
[41:38] 今年我还比较少听到
[41:40] 就是我们身边的
[41:41] 然后有全年曙光的
[41:43] 几乎比较严重的
[41:44] 大概回到三四月
[41:45] 那比较不严重的
[41:47] 就是平常会扣现金
[41:48] 大概回到六月左右
[41:49] 那像我自己是回到
[41:50] 五月要往五月初的方向去
[41:51] 所以可能就是因为这样
[41:53] 才没有出量
[41:54] 因为我们在猜说
[41:55] 奇怪为什么都不会出量
[41:56] 到底是啥杀小
[41:56] 其实已经有很多东西
[41:58] 开始在断头了
[41:59] 只是就真的都没有爆量
[42:00] 可能原因在于
[42:01] 我觉得说像那个
[42:02] 过往大家很喜欢
[42:04] 那个瑶池金木
[42:05] 981A
[42:06] 它的很多成分股
[42:07] 大家笑他什么买在山顶
[42:09] 没有其实你去认真看
[42:10] 他有蛮多东西
[42:11] 他都还是赚钱的
[42:12] 非常扯
[42:13] 他其实他很早就开始在买
[42:14] 只是过去买山顶的很痛
[42:16] 然后对他来讲就是一个回吐
[42:17] 所以他甚至
[42:18] 他为什么没有去处分
[42:19] 那些东西的原因
[42:20] 是因为他就觉得说
[42:22] 都还是赚钱的
[42:23] 所以他搞不好甚至还要去加码
[42:24] 所以你如果站在这样的角度去看
[42:26] 就是今年因为真的喷太多了
[42:28] 其实你看贵买下跌成这样
[42:30] 他只是跌回去
[42:31] 就是那时候是什么
[42:33] 清明年假
[42:33] 就清明年假之后的起涨点
[42:35] 所以很恐怖
[42:36] 我希望下面不要再太深了
[42:39] 因为其实按照其他角度看
[42:40] 真的蛮多东西已经到便宜了
[42:41] 再往下真的就是让老板不在家了
[42:43] 那下面一位
[42:44] 困宝
[42:45] 明天是我的生日
[42:46] 可以跟我说说几句话吗
[42:47] 挂号跟罗志祥
[42:48] 妥中康同一天生日的
[42:50] 26岁澎湖男子
[42:52] 这个
[42:52] 虽然你会远离股票
[42:55] 要小心股票
[42:55] 股票是很恐怖的东西
[42:56] 下面一位
[42:57] 好了
[42:57] 生日快乐还是要讲
[42:58] 下面一位
[42:59] 唱诗班不唱诗在班砖头中
[43:02] 诸位无完
[43:02] 上次来留言
[43:03] 怕爆天阀要来了
[43:05] 感谢孟公大
[43:06] 让我现在还可以开心的
[43:07] 和我兄弟搬砖头中
[43:09] 当李专跟我说
[43:10] 还有子弹可以再加吗
[43:11] 我只能够回他
[43:12] 如果我有子弹
[43:13] 我就打爆你的头
[43:14] 希望大家都能够捏紧
[43:16] 扛过这一波
[43:17] 最后请用川普的鱼银包
[43:19] 祝我美丽的老婆
[43:20] 生日快乐要每天开心
[43:22] 鱼银包也讲不出来了
[43:23] 现在就是处在一个
[43:25] 在反省自己
[43:27] 深刻的去检讨
[43:29] 为什么前面贪便宜买这么快
[43:31] 买到现在其实有点
[43:32] 其实也不知道后面
[43:34] 该怎么办的一个境界
[43:35] 还是川普一下
[43:36] What a great woman this is
[43:39] Nobody knows birthday better than I do
[43:41] 好了那希望他可以
[43:42] 生日快乐平安健康
[43:44] 下面一位
[43:45] 龟头跳蛋
[43:46] 一个月前我抱着
[43:47] 死了算了的心情
[43:48] 欧印正二
[43:49] 现在仿佛站在顶楼
[43:50] 看着地面的大家
[43:51] 我以为我的心态
[43:52] 是真的死了算了
[43:53] 结果当这天来临时
[43:55] 还是会怕高
[43:56] 对啦
[43:58] 就是如果说你真的是
[43:59] 在过去的六七月才加入的
[44:01] 其实真的不要对自己
[44:03] 有太多的苛责
[44:04] 之前类似说那时候
[44:05] 其实也蛮多人是在2021
[44:07] 那种最顶峰的时候来加入
[44:08] 2020你看他一加入
[44:09] 直接跌一整年
[44:10] 那个也是极度的痛苦
[44:12] 他就会觉得说
[44:13] 股票就是骗人的东西
[44:14] 可是你问其他参与够久
[44:16] 就会知道说
[44:17] 这股票其实它是不错的东西
[44:18] 像我们前面讲的
[44:19] 都是在跟人家开玩笑的
[44:21] 就实际上它是不错
[44:22] 只是你要有那一个
[44:23] guts
[44:24] 你要有那一个胆识
[44:26] 可以扛住
[44:26] 随之而来的一些波动
[44:28] 所以很多时候我都讲说
[44:30] 奇怪了
[44:31] 每次都不会有人在
[44:33] 像这时候你来问我
[44:34] 可不可以全职交易
[44:35] 我就会觉得说
[44:36] 这个是一条汉子
[44:37] 都不会
[44:37] 都是在那种极好
[44:39] 就是monkey都会赚钱的时候
[44:40] 然后拼命问
[44:41] 然后像这种时候
[44:41] 就大家都拼命都不要了
[44:43] 所以真的是玩人性的地方
[44:44] 那下面一位
[44:46] MK
[44:46] 不是大人
[44:48] MK
[44:48] 昨天看到统神玩红眼鹿比
[44:50] 真的太搞笑了
[44:51] 我要去买新电脑来玩的
[44:52] 对了
[44:53] 我前面讲的实况主就在讲
[44:54] 他不好意思去点名人家
[44:56] 因为还是非常感谢人家支持
[44:57] 只是他妈的
[44:58] 为什么他会玩得很痛苦的原因
[44:59] 是因为他
[45:00] 他就不知道要右键按折
[45:02] 然后接着去叠成散招
[45:04] 之后再配shift
[45:05] 他给我从头到尾都平A
[45:07] 然后我们那种群组一起来观察他
[45:09] 说怎样
[45:10] 干他妈死里泼战神
[45:11] 第一次看到有人玩红眼鹿比打王平A
[45:14] 然后还真的就给他打过去
[45:15] 然后他就一直狂骂
[45:16] 说不知道这游戏在干三小
[45:18] 不是啊兄弟
[45:19] 不是啊教学要看一下
[45:20] 真的这样
[45:21] 下面一位赚钱治骨癌
[45:23] 孟光安不知道你的心情还好吗
[45:25] 那七月前两周
[45:28] 我的获利回吐很多
[45:29] 导致情绪低落
[45:30] 又不想把压力带给身边的人
[45:32] 无处出发感觉有点窒息
[45:34] 因为你的节目陪伴才有不孤单的感觉
[45:36] 后来检讨出许多可以改进的地方
[45:38] 心中踏实不少
[45:39] 想到孟公在面对压力的同时
[45:41] 还要接触到群众的负面情绪
[45:43] 不禁自作主张的替您感到心疼
[45:46] 希望您也可以保持身心健康愉快
[45:48] 讲完都觉得自己有点假了
[45:50] 但还是爱您
[45:51] 非常感谢这位兄弟的支持
[45:52] 确实对我来讲
[45:54] 这已经不是什么新鲜事情了
[45:56] 所以其实我才会想要把这个节目
[45:58] 就是可能调整成为
[45:59] 未来有一天
[46:00] 我们可能就专注去聊QH
[46:02] 因为这个节目对我来说
[46:03] 还是有它的价值存在
[46:05] 就是像我每次去跟大家问说
[46:07] 其实讲白讲
[46:08] 我会抛砖引玉
[46:09] 我想知道
[46:10] 可能随便举例
[46:11] Google或是Marvel的某一颗晶片
[46:13] 或是什么
[46:13] 我就稍微提一下
[46:15] 然后接着就一定会有听众来跟我讲
[46:16] 有点是我在钓鱼
[46:18] 对我来讲
[46:18] 这其实超级有用的
[46:19] 因为在我工作上面
[46:20] 会有非常大的一个帮助
[46:23] 只是就是变成说
[46:24] 因为我要维持这样的一个节奏
[46:25] 我就是要跟大家聊市场的东西
[46:27] 才会引起一些共鸣
[46:28] 可是聊市场的东西
[46:30] 然后特别在行情很好的时候
[46:31] 就会引来一群
[46:33] 比较不喜欢的对象
[46:35] 我也不会想去骂这些人
[46:36] 因为有时候
[46:37] 你也觉得人家蛮可怜的
[46:38] 但就会这样子
[46:40] 所以其实像前面行情很好的时候
[46:42] 有些新的听众可能会不懂
[46:44] 说为什么那时候
[46:45] 我会一直有点
[46:46] 明明行情很好
[46:47] 可是我在那种
[46:49] 一堆人涌出的状况之下
[46:50] 大家讲说什么
[46:51] 你去逛每个社群
[46:52] 每个人都爱什么
[46:52] 古来说古来说
[46:53] 孟公说
[46:54] 然后我在那时候说
[46:55] 我最怕这种人
[46:56] 因为2021我看过一次
[46:57] 就一样的道理
[46:58] 因为我就知道
[46:59] 我就知道说
[47:00] 就是这些人
[47:01] 他们后面就会变成
[47:02] 反正他当时怎么爱你
[47:04] 他后来就怎么恨你
[47:05] 那你不想要这种廉价的关系
[47:07] 其实对我来讲
[47:08] 我现在想要的是
[47:10] 就来说
[47:10] 你知道我在做红颜露宾
[47:12] 你会来支持红颜露宾
[47:13] 这样的人
[47:13] 或是你知道说
[47:15] 我今天在研究什么故事
[47:16] 你会来跟我分享
[47:17] 跟我讨论
[47:17] 其实我真的在路途中
[47:19] 我找到非常多这样子的听众
[47:21] 那非常感谢大家的支持
[47:22] 那只是就当然一定会引来一些
[47:24] 我可能比较不喜欢的受众
[47:26] 那没有办法
[47:27] 可能就只能够去接受它这样子
[47:30] 那希望自己有照理
[47:31] 也可以释怀这件事情
[47:32] 那非常感谢你的支持
[47:33] 也希望你可以
[47:34] 其实简单来讲
[47:35] 在每次的修正之后
[47:36] 理论上你没有倒下
[47:37] 你就会变更加强大
[47:38] 因为你看过你知道
[47:39] 所以像前面讲说
[47:42] 在去年三月
[47:43] 其实有些投资公司
[47:43] 因为这样就出事了
[47:45] 有时候觉得蛮可惜的
[47:46] 因为有些可能你认识里面的一些人之类的
[47:48] 然后你就知道说
[47:49] 假设他那波活下来
[47:50] 他下来一定又变更屌
[47:51] 可是他没有活下来
[47:52] 所以为什么我们一直去跟大家强调说
[47:54] 风险绝对是放在获利的前面
[47:57] 就是你在大多头的时候
[47:58] 大家会讲说
[47:59] 你为什么不要借报
[48:00] 为什么不要港报
[48:00] 为什么不要什么
[48:01] 你就all in 真哥
[48:02] 或者是你就买什么就好
[48:03] 但你就是要回答
[48:04] 就不会再有一些人去讲这些东西
[48:06] 因为就挂了
[48:07] 就是你就挂了
[48:07] 你就没有办法再面对后面的东西
[48:09] 所以其实每次的回答
[48:10] 真的是好好的去检讨自己策略
[48:12] 很棒的一个时间点
[48:13] 希望大家都可以持续的变强
[48:14] 那下面一位999
[48:15] 梦宫骑脚踏车
[48:17] 你会不会喜欢啊
[48:18] 最近有个朋友高中毕业之后
[48:20] 没有骑过脚踏车
[48:20] 只是骑了一小段U-Bike
[48:22] 他说是他近期觉得最放松的时候
[48:24] 这个我也非常推荐
[48:26] 就是蛮推荐大家
[48:27] 如果你已经很久没有骑脚踏车的话
[48:29] 你去租一个U-Bike
[48:31] 然后你选择五点半六点
[48:32] 太阳刚下山
[48:33] 开始有一点微风
[48:34] 然后你去骑脚踏车
[48:35] 你真的是超级舒压
[48:36] 特别是你很久没有骑
[48:38] 你会突然间有很多那种
[48:39] 小时候的回忆跑上来
[48:40] 像我有时候会陪小孩子去骑一下
[48:41] 那真的是一个蛮不错的运动
[48:43] 那下面一位
[48:44] Will C
[48:45] 梦宫去感恩
[48:46] 想问梦宫一开始有跟Lisa远距离过吗
[48:48] 小弟刚毕业研究生
[48:50] 生活混沌毫无章法可言
[48:51] 女友外国人感觉常常被我气到
[48:54] 又要开启安抚SOP
[48:55] 远距离到底平常都该注意什么
[48:57] 好难啊
[48:58] 那最后需要孟公用猛男的声音
[49:00] 祝各路英雄们
[49:01] 吃云饱态安全第一
[49:02] 打魂系游戏最怕摊刀的爱宁
[49:05] 这个说的真好
[49:06] 其实现在就是一个很怕摊刀的时间点
[49:08] 就像说像前几天不是有某一档机体去涨停吗
[49:12] 如果说你看到他转墙
[49:14] 然后你又冲进去的
[49:15] 你摊刀你又被干了
[49:16] 所以我现在真的是很怕那一种
[49:18] 就是还在那边很强的
[49:20] 我反而觉得说
[49:20] 你那种早早掉下来的
[49:22] 我会想选
[49:22] 所以这跟我的逻辑平常是相反
[49:24] 平常我会选
[49:25] 就是相对形态还好的
[49:26] 可是我现在发现说
[49:27] 这部行业里面你选形态好的
[49:29] 你就是后面会被教训得更重
[49:30] 所以真的是比较贪刀
[49:32] 那可能回归到投资的基本
[49:34] 哪些公司是你真的喜欢的
[49:35] 你研究你有convision
[49:36] 你知道他后面的发展不错
[49:38] 你至少你抱着这些东西
[49:40] 你心里也比较安定一点
[49:41] 那就是小量的去做持仓
[49:43] 可能知道这样子
[49:44] 那再来是不是有远距离过
[49:46] 有一小段时间
[49:48] 他刚来然后他又要回去
[49:49] 他没有立即就决定要搬来台湾
[49:51] 可是只要一进入远距离的状态
[49:54] 他就开始会整天猜忌
[49:55] 说我在干嘛或什么的
[49:57] 那后来其实也知道说
[49:58] 就是晚上可能
[49:59] 我就跟他讲说我要睡觉
[50:00] 但我就会跑出去找朋友之类的
[50:02] 但我现在已经是被改造到
[50:03] 我是不会再去做这样的事情
[50:04] 可是当时就是
[50:05] 我就觉得说你很烦啊
[50:06] 你一直打电话给我
[50:07] 然后一直问我要干嘛
[50:08] 你又不在我旁边
[50:09] 然后你又要管我要干嘛
[50:10] 我就觉得很痛苦
[50:11] 然后老婆后来也是够狠
[50:12] 因为她发现说
[50:13] 就是我会跟那边给一笑
[50:15] 你知道吗
[50:15] 就跟他讲说
[50:16] 你不要吵我要睡觉
[50:17] 然后后来我跑出去
[50:18] 其实我当下也不一定是要唬赖人家
[50:19] 你知道吗
[50:20] 就只是我睡一睡我无聊
[50:21] 出去跟朋友玩或什么的
[50:22] 然后他就非常不高兴这件事情
[50:24] 所以其实从那之后
[50:25] 他就开始去筛选我朋友
[50:26] 那是有一个前因在那里
[50:28] 但反正总之就是
[50:29] 当我老婆发现这件事情之后
[50:31] 她就很屌
[50:31] 她就直接义无反顾的就搬来台湾了
[50:33] 所以就从那时候就一路住到现在
[50:35] 所以远距离真的是一个比较困难的东西
[50:37] 这个我相信
[50:38] 特别是其实伴侣的结构本来就是
[50:41] 你们就是应该要在一起
[50:42] 一起去做一些事情
[50:43] 去吃东西
[50:44] 去散步骑脚车
[50:45] 去做一些有的没有的东西
[50:47] 不然你们为什么要在一起
[50:49] 对吧
[50:49] 如果说你们真的可以只靠
[50:51] 远距离神交
[50:52] 写个信
[50:54] 杀小的
[50:54] 那你们就是比友
[50:55] 你懂我意思吗
[50:56] 所以其实伴侣就是有一些责任义务
[50:59] 跟甚至有一些快乐悲伤
[51:01] 要一起去扛的
[51:01] 所以远距离是反人性的
[51:04] 我还是会希望大家
[51:05] 有情人终成眷属
[51:07] 如果真的距离非常遥远的话
[51:08] 可以尽快的聚在一起
[51:09] 因为这可能是唯一的正道
[51:11] 那再见
[51:12] 拜拜
[51:12] 拜拜
