[00:00] 欢迎收听谷爱,我是圣梦宫,本期节目由军企医美赞助
[39:14] 那猛然回首发现
[39:15] 整变人阿丁是男友界的天花板
[39:18] 这一拜六宝宝就要卸货
[39:19] 请指南巧虎传授几招
[39:21] 如何让阿丁在老婆生产的时候
[39:23] 成为人夫界的天花板
[39:25] 谢谢孟公
[39:26] 首先先祝你们生产顺利
[39:28] 如果要成为人夫界天花板的话
[39:31] 就是多点耐心多点陪伴
[39:33] 然后接着像之前
[39:34] 那是谁教我是
[39:35] 是曾博恩还是谁教我的
[39:36] 反正那时候就跟我讲说
[39:38] 要带一个吸管进去
[39:39] 因为他在喝水的时候
[39:41] 有一个吸管差很多
[39:43] 虽然听起来很怪
[39:44] 好像是一个很莫名其妙的建议
[39:45] 可是吸管后来真的有用到
[39:47] 所以吸管可能是一个不错的选项
[39:49] 那再来的话
[39:50] 你说这样是不是就
[39:52] 击败了80%的全国女生
[39:54] 意思就是说
[39:54] 就是这样的伴侣
[39:55] 就是可能是top 20
[39:57] 不一定
[39:58] 因为以我自己来说
[39:59] 我基本上也算是不咽不酒
[40:01] 我也喝酒
[40:01] 可是我喝酒是那种
[40:02] 就是反正有气氛对
[40:04] 场合对
[40:04] 或者说学术的探讨需求
[40:07] 是真的
[40:07] 我就想了解说这是什么
[40:08] 然后喝看看
[40:09] 但是我没有说什么
[40:10] 固定哪个时间一定要喝酒
[40:11] 或是什么一个礼拜
[40:12] 一定要喝几次
[40:12] 我没有这样子的习惯
[40:14] 那再来就是说
[40:15] 不喜欢到处社交
[40:16] 平常打游戏玩手机
[40:18] 这完全就是我
[40:19] 可是你说
[40:19] 因为这些特性
[40:20] 可以让我赢过
[40:21] 可能80%的男生
[40:23] 或者说成为
[40:23] top20的女生的伴侣
[40:26] 我倒觉得不是
[40:27] 就这个有点像是说
[40:28] 只是一种那种
[40:29] 个性的展现
[40:30] 就是你就是个宅男
[40:31] 宅男对于很多女生来讲
[40:33] 他们可能
[40:33] 为什么会讲说
[40:34] 给这些人的分数很高
[40:35] 是因为
[40:35] 你会发现很多女生是这样
[40:37] 就他们其实喜欢坏男生
[40:39] 他们喜欢那种
[40:39] 就是看起来
[40:40] 就是我讲说在厕所会
[40:42] 就连男生
[40:43] 像我自己都不太喜欢那种
[40:44] 你挡在镜子前面
[40:45] 人家要洗手
[40:46] 然后整天在那边
[40:47] 抓你自己的头发
[40:48] 刚好超堵然这种人
[40:49] 可是像这种人
[40:50] 就是很多女生会喜欢的
[40:52] 就是把自己都弄得帅帅的
[40:53] 干净利落什么的
[40:54] 你们自己喜欢这种人
[40:56] 然后你们被伤到之后
[40:57] 然后接着就出来
[40:58] 就要再讲说什么
[40:59] 为什么男生都没有办法
[41:00] 像这些宅男一样乖在家
[41:02] 可是我跟你讲
[41:02] 如果今天要让你去喜欢
[41:04] 这些宅男的话
[41:05] 你可能就嫌他说
[41:05] 他肌肉不够大
[41:07] 不够帅
[41:08] 然后没有打理自己
[41:09] 不够干净或什么的
[41:10] 对啦
[41:11] 所以就是怎么讲
[41:12] 就每个人都自己在做
[41:13] 这种嫌弃的事情
[41:15] 可是口弦体正直
[41:16] 身体还是很老实的
[41:18] 去选择喜欢的对象
[41:19] 所以这个应该不构成
[41:21] 就是让他成为
[41:22] 是前标的一个状态
[41:23] 但确实是我自己
[41:25] 也蛮认同这样子的人
[41:26] 就是说如果可以
[41:26] 让自己的生活单纯一点
[41:28] 应该是比较好的一个选项
[41:29] 如果说另外一半
[41:31] 也可以欣赏的话
[41:31] 那当然是更好
[41:32] 下面一位QQQ软糖
[41:34] 孟公孟公第一次留言就成功
[41:36] 嗨孟公
[41:36] 我是近一年才开始听你的节目
[41:38] 也是近年才踏入股市
[41:40] 请问一开始做股票的本金
[41:42] 是从多少开始的呢
[41:43] 近期要踏入研究所
[41:44] 很怕无法跟工作达成平衡
[41:46] 希望我顺利
[41:47] 也祝您全家平安顺利
[41:48] 绩效大报社
[41:49] 就大概几十万吧
[41:50] 甚至应该是不到
[41:52] 反正最早在弄股票的时候
[41:53] 就是直接拿那个
[41:54] 可能工作的存款
[41:55] 一点点下去玩这样子
[41:56] 那只是后来就
[41:57] 就越玩越大
[41:58] 所以其实每个人
[41:59] 那开始都是从很小
[42:00] 这个没有什么好问
[42:01] 就几乎每个人都是
[42:02] 除非是家里有矿富二代
[42:04] 才可以直接从
[42:04] 什么几百开始之类的
[42:06] 那其他几乎都是从几十开始
[42:08] 下面一位
[42:08] 苏苏希望挨大可以帮忙祝福
[42:12] 那挨大你好
[42:13] 我老公老肖是你的忠实听众
[42:15] 4月14号是他的生日
[42:16] 他最期待的愿望
[42:17] 就是希望能够得到挨大
[42:18] 祝贺他生日快乐
[42:19] 希望有这样的机会
[42:20] 非常感激
[42:21] 那我们祝4月10号的老肖
[42:23] 生日快乐
[42:24] 希望你一切平安
[42:25] 下面一位
[42:25] 竹北木木子
[42:26] 梦工去嘎安安
[42:27] 推荐HBO MAX的影集
[42:29] Heat It Rivalry
[42:30] 剧情很暖
[42:31] 画面steamy
[42:31] 配乐好听
[42:32] 建议跟Lisa一起看
[42:33] 上次留言讲到
[42:34] 来新竹工作也快要一年了
[42:36] 跟男友同居
[42:36] 真的没有办法吃完披萨
[42:38] 就爬爬
[42:38] 挂号川普云包
[42:40] 不是啊
[42:40] 你后面这个不可能用川普云包讲
[42:42] 他说预祝内湖黄周以5月13号生日快乐
[42:45] 全职投资之路安稳
[42:47] 祝福孟公一家
[42:48] 以及听众们平安健康
[42:49] 爱你爱你
[42:49] 下面有位
[42:50] 因儿孟公请帮我的谐音梗评分
[42:54] 孟公你好
[42:55] 你知道为什么日股大跌的时候
[42:57] 台股的打卖会逆势上涨吗
[42:59] 因为做股票的日本人会一直喊打卖打卖
[43:03] 那是打妹
[43:04] 一个酷酷的谐音梗请给分0分
[43:07] 没有那自己说的10分
[43:08] 没有这上面全部都要自己说的2分
[43:11] 下面一位
[43:11] 新店伟丹青二宝妈
[43:14] 给在家一打拼的老公
[43:15] 大家好你好
[43:16] 我是长期收听节目的地方妈妈
[43:18] 跟另外一半交往八年
[43:19] 加结婚13年
[43:21] 大部分的时间都是伟丹青一打二
[43:23] 挂号两个女儿
[43:24] 想请你帮我助同事忠实听众的另外一半
[43:27] 外地工作辛苦了
[43:28] 那相信我们会越来越好
[43:30] 持续往我们的目标迈进
[43:32] 在外地要好好的照顾自己的身体
[43:34] 一切顺利平安爱你的老婆
[43:37] 非常的暖心
[43:38] 那每次看到这种远距离的
[43:39] 我真的觉得不容易
[43:40] 希望你们可以早日团聚
[43:43] 可以找到一个好的工作
[43:44] 然后大家聚在一起
[43:45] 或者说更好的深浅
[43:47] 反正就希望你们全家人可以待在一起
[43:49] 因为两个女儿
[43:50] 如果是我的话
[43:51] 我应该也
[43:52] 怎么讲
[43:53] 就不会想要跑到太远的地方工作
[43:55] 或者说如果真的有这个必要
[43:56] 去那边工作
[43:57] 我一定也觉得内心蛮煎熬的
[43:58] 希望你们最后面都可以聚在一起
[44:00] 下面一位
[44:00] 古痴汉
[44:01] 梦宫去嘎
[44:02] 那请问梦宫去嘎
[44:04] 会去性爱成瘾
[44:05] 谈性说爱
[44:06] 欲望奇迹聊色吗
[44:08] 如果他没有邀约
[44:09] 这个应该
[44:10] 我不会去上任何的节目了
[44:12] 这个早期呢
[44:14] 可能有去接受一些什么访问
[44:16] 然后记者
[44:17] 有时候问说什么事件
[44:18] 可以来问我一下
[44:19] 我说好OK
[44:20] 但我现在都是完全不接受任何的访问了
[44:22] 那再来就是说这种聊社的
[44:24] 更不是我的属性
[44:25] 就我有时候会讲一些那种变态的东西
[44:27] 可是我比较没有办法很
[44:29] 你知道就是open
[44:30] 然后跟大家讲一些变态的东西
[44:32] 像不太一样
[44:32] 就有时候自己碎念是一回事
[44:34] 但跟人家在那边嘛
[44:35] 聊来聊去问来问去
[44:36] 那是另外一回事
[44:37] 这个对我来讲太刺激了
[44:38] 下面为
[44:38] 沦陷区气氛仔
[44:40] 那今天的孟公给自己打几分呢
[44:42] 一直不知道Spotify怎么留言
[44:43] 有回来甚是开心
[44:44] 那上周听到给自己打几分的QA
[44:47] 有种从干涸的井涌出泉水的感觉
[44:50] 觉得随着年龄会慢慢失去
[44:53] 关注生活美好的能力
[44:54] 从听到EP184
[44:56] 推荐孟公Chika人生设计课
[44:58] 那觉得是找到热情所在的一个好方法
[45:02] 祝孩子们都能够成为自己向往的样子
[45:04] Chika Chika
[45:05] 非常感谢这位感性的兄弟
[45:07] 下面一位DDlike07
[45:09] 机械键盘真的吵
[45:10] 听到一大拆风扇
[45:12] 就想到公司一堆人用机械键盘咔咔咔的
[45:14] 然后又有87%的人是戴着耳机
[45:17] 拜托真的好心一点
[45:18] 没错机械键盘真的有够吵
[45:20] 机械键盘只有自己在打的时候很爽
[45:22] 可是如果你今天隔壁的人
[45:23] 全部都在敲机械键盘
[45:24] 你一定是超不爽的
[45:25] 如果是戴着耳机就更靠北
[45:27] 因为像他说你暴改摩托车
[45:29] 自己戴抗躁耳机在骑一样
[45:31] 所以对就尽量避免
[45:32] 下面一位Jowah
[45:34] 第一次评分五星赞赞的
[45:37] 五星吹捧
[45:37] 听完上集感触好深
[45:39] 从小就是一个一直被说
[45:41] 这个也想学
[45:41] 那个也想学
[45:42] 但学不精的人
[45:43] 后来听众朋友说
[45:44] 不是鼹鼠是五鼠
[45:47] 那个是五鼠
[45:47] 因为我那时候直接看那个字体
[45:49] 不知道怎么把它念成是鼹鼠
[45:50] 他说五鼠就是
[45:51] 可能每个都想学
[45:52] 然后学都学不精的一种动物
[45:54] 他说但长大发现
[45:56] 自己其实都略懂略懂
[45:57] 也是不错
[45:57] 至少不容易被别人夸大言辞骗到
[46:00] 哈哈哈
[46:00] 那最后老公是你的粉丝
[46:02] 虽然不知道会不会被念到
[46:04] 但至少留个记录在这里
[46:05] 想请大家用川普的声音
[46:07] 祝我们
[46:07] Happy Anniversary
[46:09] 对没错
[46:11] 就是我觉得
[46:12] 当你对每个东西都有一些兴趣
[46:15] 有一个好处就是
[46:16] 怎么讲
[46:17] 就通财型的人
[46:18] 我认为是比较难被骗
[46:19] 因为等于说你对每个东西都会
[46:22] 至少有一定程度的概念
[46:24] 然后跟你可能看过百页的一些状况
[46:27] 那这些东西
[46:27] 其实某程度上会变成一种
[46:29] 那种pattern recognition的感觉
[46:30] 就是你已经大概知道
[46:32] 大家是怎么样玩的
[46:33] 所以你今天看到一个很奇怪的东西
[46:35] 你就会知道它可能有问题
[46:36] 就类似说
[46:37] 我们今天如果听到你跟我讲说
[46:38] 某些金融产品可以保证给你
[46:40] 什么8% 10%
[46:41] 那个雷达就会大响
[46:43] 就会知道说
[46:43] 干这个东西有问题
[46:44] 那并不是说什么
[46:45] 我们研究东西很深
[46:46] 是因为你可能看的东西够多
[46:48] 所以你会知道说
[46:48] 这个东西怪怪的
[46:50] 跟其他一些东西不一样
[46:51] 所以确实这个是一个意外的收获
[46:53] 下面一位
[46:54] 到底有谁知道
[46:56] 是几点钟方向
[46:58] 你才会找到暗号
[47:00] 没事啊
[47:01] 这是在请你唱歌
[47:01] 不是我觉得这很好笑
[47:02] 有时候看他们的ID加标题
[47:05] 就直接那个歌就上来了
[47:06] 很神奇
[47:07] 那如果念完名字跟标题都没唱
[47:10] 请补唱
[47:10] 刚才已经唱了
[47:11] 其实唱得蛮怪的
[47:12] 那不然就算拿到杰伦演唱会的票
[47:14] 也会没空去看
[47:15] 谢谢爱宁宁帅
[47:16] 听说杰伦是不是又要唱了
[47:18] 有听说一些江湖野兽
[47:20] 他好像要出来唱
[47:21] 那希望这次可以参与到
[47:23] 那下面一位
[47:24] 基隆气愤仔
[47:25] 第一次留言
[47:26] 希望能够被念到
[47:27] 这样超过八行吗
[47:28] 超过但念一下
[47:29] 孟公您好
[47:30] 先奉上五星好评
[47:31] 谢谢你持续制作这么优质
[47:32] 又有内容的节目
[47:33] 那想请主委一个小问题
[47:35] 小弟的爸爸PS
[47:36] 自称拥有高级营业员执照
[47:38] 在过年前买进食品龙头统一不少张
[47:41] 原本想说只是要小赚一笔红包
[47:43] 没有想到目前账面大概是亏损了2到3%
[47:46] 结果这几天又手痒加码
[47:48] 那从原本打算短进短出
[47:50] 变成的那存股领股息好了的长期策略
[47:53] 那想请主委大大
[47:54] 您怎么看这种从短打变长投的操作思维呢
[47:58] 那另外也想麻烦主委用诺亚的语气
[48:00] 帮我跟他说一句
[48:01] 基隆赚钱王者
[48:03] 不要再乱买股票哟
[48:04] 不然要把你丢回去
[48:05] 银行上班的哟
[48:06] 谢谢主委
[48:07] 以前我也觉得
[48:08] 这是一个不好的事情
[48:09] 就是理论上
[48:10] 当然你要有一定程度的SOP
[48:12] 你A理由进来
[48:13] 那你就是A理由出去
[48:14] 就是A理由灭失之后
[48:15] 你就把它砍掉
[48:15] 这个是很基础的逻辑
[48:17] 大家都知道
[48:17] 但我后来是这样发现
[48:19] 就特别是一些
[48:20] 那种出师的人
[48:21] 就是他就比较不会
[48:22] 怎么讲
[48:23] 就大原则上
[48:24] 都是有一个SOP的存在
[48:25] 可是问题就是说
[48:26] 因为当你今天看案例够多
[48:28] 你会知道说
[48:28] 某些个案是特别的
[48:29] 或是你愿意去尝试它
[48:31] 所以你确实有时候会不小心
[48:32] 就是说我买一个东西
[48:33] 然后最早真的只是想来做个价差
[48:35] 那我不小心被套了
[48:36] 那被套了之后呢
[48:37] 其实理论上我也知道
[48:38] 这笔就是要砍掉
[48:39] 但我看了他其他资料之后
[48:40] 我觉得说没关系
[48:41] 可以再等看看
[48:42] 那像这样子的故事
[48:43] 就会更加的去发生
[48:46] 那当然这个我觉得
[48:47] 在初期不是好事情
[48:48] 就如果说你今天是很菜的话
[48:49] 那你整天你买A理由
[48:51] 然后最后面你被套
[48:52] 你就去编什么BCD理由
[48:54] 职利率不错啊
[48:55] 这个法人按赞啊
[48:57] 法人在买啊
[48:57] 一收成长率不错
[48:59] 你就只是在赌价差跟事件的
[49:01] 你赌错你就应该出去
[49:02] 可是如果你真的做到有经验的话
[49:04] 其实我觉得有时候
[49:05] 这种战略弹性是OK的
[49:06] 就我真的觉得说
[49:07] 保持一点弹性是没有问题的
[49:09] 大方向上要有SOP
[49:10] 就你不要说什么
[49:11] 你的持股每一档都是这样搞
[49:13] 只要每个被套到的
[49:15] 你都去凹一个理由
[49:16] 然后变长头
[49:16] 这个就是叫难看
[49:18] 但如果说少部分这样子做
[49:19] 应该是没有什么太大问题
[49:20] 像我们自己有时候
[49:21] 也会有那种歪打正着的状况产生
[49:24] 你本来是买A题材
[49:25] 然后说没有喷B题材
[49:26] 你根本没有想过
[49:27] 这个是你没有办法规划到的东西
[49:29] 或者是说你买某一个故事
[49:31] 然后最后面你被套到
[49:33] 最后面你就觉得说
[49:34] 其实我好像在机会成本之下
[49:36] 也没有更好的地方可以去
[49:37] 我就留着好了
[49:38] 然后他就直接整个射出去
[49:39] 当你吃过几次这样子的甜头之后
[49:42] 其实你就会开始会觉得
[49:43] 这股票要有弹性
[49:44] 就很多时候我也跟大家讲说
[49:46] 理论上停损
[49:47] 纪律停损听起来是很赞很棒的东西
[49:49] 可是很多人整天纪律停损
[49:50] 然后停到自己都没有钱
[49:52] 你就会发现说
[49:53] 纪律停损也不是一个真的
[49:54] 所以的万解
[49:55] 就是什么都可以用这个去做
[49:57] 所以大概这样
[49:57] 那再见
[49:58] 拜拜
