[00:00] 歡迎收聽國外,我是孫夢宮,本期節目由綿豆腐贊助
[38:51] 所以他在憂鬱的時候
[38:53] 然後兒子又不會念書
[38:54] 他可能給你一巴掌
[38:55] 或者說臭屌你一下
[38:57] 好像也不是一個
[38:58] 就是很難以接受的事情
[38:59] 就你會懂
[39:00] 我現在是因為怎麼樣
[39:01] 我生活過得不錯
[39:02] 所以可能有些東西
[39:03] 對我來講
[39:04] 像我小時候
[39:05] 可能摔破一些東西
[39:06] 或者說我把一些東西弄壞
[39:08] 我會被教訓
[39:09] 因為那個對家裡來講
[39:10] 那個是一筆大錢
[39:11] 可是現在如果我兒子
[39:12] 把一些東西弄壞或什麼
[39:14] 我反而是說
[39:15] 你有沒有受傷
[39:15] 我是先擔心你有沒有受傷
[39:17] 東西壞了
[39:18] 反正我都可以再買過
[39:19] 那這個差距是因為
[39:21] 因為我日子真的過得比較好
[39:23] 就在物質上我是比較豐足的
[39:24] 所以我當然可以
[39:26] 比較簡單的去做出這樣的判斷
[39:28] 所以其實寄生上有一段是對的
[39:31] 雖然那個不完全是百分之百正確
[39:32] 可是你可以瞭解
[39:33] 為什麼他們會講出這樣的話
[39:34] 就是說有錢的話我也可以善良
[39:36] 有錢的話
[39:37] 你要善良
[39:39] 你的代價是比較低的
[39:40] 對不對
[39:40] 隨便捐個錢
[39:41] 對他來說
[39:41] 其實真的不是什麼大不了的事情
[39:43] 你沒有錢的時候
[39:44] 每一筆可能都是
[39:45] 你兒子的學費或什麼的
[39:46] 你怎麼可能可以亂花
[39:48] 你怎麼可能可以很坦然的接受
[39:50] 各種在你身邊發生的事情
[39:52] 沒事就好
[39:53] 大家平安就好
[39:54] 就除非你真的有一個非常寬廣的心胸
[39:56] 可是誰是完人呢
[39:58] 所以我因為我自己當了父親之後
[40:00] 我重新的去檢視我小時候所發生的事情
[40:03] 一開始我是有一些不理解的產生
[40:05] 那後來我覺得我現在又重新的回到一個妥協
[40:08] 所以撲印這個隆隆張張講的
[40:10] 就好好珍惜自己身邊的家人
[40:12] 只是老實講我跟我家人
[40:13] 我也不知道是不是因為小時候的這樣的一些嫌隙
[40:16] 因為有時候我心中在想的是
[40:18] 如果這個想法是隻有我有的話
[40:21] 那我爸爸媽媽應該還是會來找我
[40:23] 或是打電話給我之類的
[40:24] 但其實我爸媽也不會找我
[40:26] 所以我不會找他們
[40:27] 他們也不會找我
[40:28] 可能就是我們的共同的連線點是
[40:30] 就他們會想來看孫子
[40:32] 那就會去有一些對話
[40:33] 那我下期有時候跟他們對話的時候
[40:36] 我倒也是很怕
[40:36] 就是我講的東西
[40:37] 然後他們會不認同
[40:38] 或者說他們會怎麼樣
[40:39] 所以我就其實也不太敢講
[40:41] 就是有一些那些東西存在
[40:42] 但我覺得是接受了
[40:43] 反正就這樣
[40:44] 就是你有一個延復
[40:46] 因為這樣子
[40:47] 可能也是
[40:48] 為什麼你可以把一些事情做好
[40:50] 所以我到最後
[40:51] 是對這些東西都非常的接受
[40:53] 就是說
[40:54] 怎麼講
[40:55] 如果說你過得太舒服
[40:57] 太平淡的話
[40:59] 你可能沒有辦法有一個
[41:01] 怎麼說
[41:02] 有趣或者是說
[41:03] 有爆發性的人際發展
[41:05] 人格發展
[41:06] 可能就比較難
[41:07] 我自己是往這方面去想
[41:08] 因為特別是我看了一些
[41:10] 我喜歡的海內外的人
[41:12] 當他們去講
[41:13] 他們的一些什麼
[41:14] 童年遇到什麼事情
[41:15] 你很少看到說
[41:16] 那個都是very fucking happy
[41:17] 沒有啦
[41:18] 幾乎都沒有
[41:18] 幾乎都是
[41:19] 有一些小小的遺憾
[41:20] 那當然長大之後
[41:21] 就會去修補它
[41:23] 所以其實都有
[41:24] 我覺得我跟我的家人
[41:25] 也是持續的
[41:26] 有維持好不錯的關係
[41:28] 那我們既然就對這個
[41:29] 家人要多一點耐心
[41:30] 非常感謝這位聽眾的提醒
[41:32] 下面一位
[41:33] DGJFDHKGFSWHLP
[41:37] 有算過沒有超過八行
[41:38] 向林口謝孟公許願
[41:40] 大家好
[41:41] 我是從麥克風裝返
[41:42] 開始聽的上古聽眾
[41:44] 想向您許願
[41:45] 我這週五的碩班放榜
[41:47] 能夠順利爭取上的話
[41:48] 我願意把薪水的25%
[41:50] 都捐給兒童身障組織
[41:52] 從以前的新勇氣運動到您
[41:55] 會變成一個愛家愛兒童
[41:56] 有同理心的父親
[41:57] 小弟我小您六歲左右
[41:59] 也跟著您的心態一同成長
[42:01] 那謝謝來
[42:02] 大家成為我的空中好朋友
[42:03] 我也非常謝謝你
[42:04] 那這位兄弟的這個許願
[42:06] 我覺得完全沒有問題
[42:07] 就我覺得有料
[42:09] 那後面的觀音導演
[42:10] 可能也是有料
[42:11] 這個25%OK啦
[42:12] 那就捐
[42:12] 搞得像我是什麼神明前客一樣
[42:14] 但一樣我們都沒有任何的
[42:16] 對價收費關係
[42:17] 其實很多時候我看不過去
[42:18] 我有一點像是說我站在廟裡
[42:19] 然後我在那邊看到
[42:20] 有些跑來拜拜的人
[42:21] 跑來拜觀音拜什麼的
[42:23] 你們許願
[42:23] 你們太小氣了
[42:25] 但像這位
[42:26] 我覺得這樣就是有對價關係
[42:27] 沒有問題就一定會上
[42:28] 下面一位
[42:29] 古痴漢
[42:30] 前幾集談孝順有感
[42:32] 孟公我老公
[42:33] 聽到前幾集談到孝順有感
[42:35] 歐美沒有孝順這個詞彙
[42:37] 但他們有愛
[42:38] 看美劇親子之間也常表達愛
[42:41] 我覺得我們的孝順屬於理論型的愛
[42:43] 那實際跟父母是有距離且不善表達的
[42:46] 而歐美的是實作型的愛父母
[42:49] 不知道Lisa也常跟她母親彼此互相表達愛嗎
[42:52] 感謝孟公大提供一些感觸
[42:54] 這位兄弟講的對
[42:56] 就是我覺得他這個形容蠻有意思的
[42:58] 那我後來發現說也不是隻有我這樣
[43:01] 就是很多跟我同輩的
[43:02] 為什麼大家聽
[43:03] 可能我講一些東西會覺得有感覺
[43:05] 是因為我們在同個時代背景長大
[43:07] 就是現在搞不好2000年後的聽
[43:08] 就會覺得說
[43:09] 幹這個老人家在講谷
[43:10] 可是如果是什麼1980 1990的
[43:12] 你一定會覺得說我講的東西很有道理
[43:14] 因為就是我們可能在差不多的環境長大
[43:16] 我們去經歷過差不多的事情
[43:18] 我們打電話的時候是比一個6在耳朵旁邊
[43:21] 不是手掌
[43:22] 現在小朋友是用手掌你知道嗎
[43:24] 因為他們只看過平板
[43:25] 他們沒有看過話筒了
[43:26] 所以很多想法會不太一樣
[43:28] 然後以及其實我們跟家長有一些那種距離感
[43:31] 都是對的
[43:32] 甚至我自己去想了一下
[43:34] 我發現說
[43:35] 因為就是整個時空背景所致
[43:38] 也不是隻有八碼
[43:38] 不然說像以前我們的學校會體罰
[43:41] 會打你
[43:41] 那你的同學也會打你
[43:43] 我們下課的時候
[43:45] 那個廁所跟流水線一樣
[43:46] 我就曾經被同學講說
[43:48] 下一堂課換你
[43:49] 你要去那邊你要被打
[43:50] 因為反正我做一些事情
[43:51] 同學不喜歡他們要打我
[43:52] 那也曾經打躲避球打一半
[43:54] 本來也要被打
[43:55] 那剛好被叫來要打我的
[43:57] 那個人家外面的大哥
[43:58] 是我姐的好像不知道男朋友
[44:01] 還是怎麼樣
[44:01] 我忘記了
[44:02] 反正就跟我姐是認識
[44:03] 她說你怎麼回事
[44:03] 他們叫來打你
[44:05] 就類似這樣
[44:05] 還有因為這樣我沒有被打
[44:07] 所以我們這一輩的人
[44:09] 可能某個程度上
[44:10] 小時候去承受了一些壓力
[44:11] 包含說會被打
[44:12] 其實我覺得被打
[44:13] 真的會在你的腦部的
[44:15] 一些迴路上去改變一些事情
[44:17] 我沒有科學證據
[44:18] 我不知道
[44:18] 但我覺得應該有
[44:20] 就是你會有一些反應
[44:22] 然後會讓你可能不知道
[44:23] 就比較急躁
[44:24] 或者有時候會焦慮之類
[44:25] 我覺得那可能是
[44:26] 小時候有去受過一些壓力
[44:28] 或者說有被欺負過
[44:29] 被打是有關係的
[44:31] 所以後面的人
[44:32] 可能就不一定會懂我們
[44:33] 就變成是可能某種
[44:35] 有帶有一些創傷的一輩
[44:36] 但一樣
[44:37] 就是其實在往前推的話
[44:38] 一定都有更慘的
[44:39] 以前可能是掉起來抽之類的
[44:42] 或是像我爸的話
[44:42] 小時候要去什麼港田
[44:44] 我哪有跟過田
[44:45] 我小時候就不用跟田
[44:46] 雖然我老婆講說
[44:47] 我是什麼苗栗heelbilly
[44:48] 可是我還真的沒有跟過田
[44:50] 我還真的沒有住在heels裡面過
[44:52] 所以就是慢慢的有去做一些改變
[44:55] 我覺得其實也不是說什麼
[44:57] 很完全的什麼
[44:58] 我們的愛都是隻會理論
[45:00] 那就是說我們是走在比較
[45:02] 可能相對原始一點
[45:04] 我覺得我們這一輩的家長
[45:06] 蠻多就很像
[45:08] 大家心目中想象的
[45:09] 那種所謂的歐美的家長
[45:11] 會抱抱一情情
[45:12] 至少我現在看到的
[45:13] 所有聶阮正縣身邊的
[45:14] 全部都是抱著小朋友
[45:16] 整天在那邊抱著親著的
[45:17] 所以就很像我們所看到的
[45:19] 那種歐美的樣子
[45:19] 也有可能就是因為
[45:20] 人家去殖民別人
[45:22] 他們的物質比我們好
[45:23] 他們是走來比較前面
[45:25] 我們是後面狂追
[45:26] 靠我們的什麼半導體科技
[45:28] 然後才把我們的生活品質
[45:30] 也提升上去
[45:30] 所以他們可能只是
[45:32] 領先我們一陣子而已
[45:33] 那確實是在歐美這邊
[45:36] 我是看到比較多這種
[45:37] 所謂的愛的成分的東西
[45:39] 只是以新一輩的家長來講
[45:40] 我不覺得我沒有輸他們
[45:42] 我真的不覺得我們的育兒的方式
[45:44] 有輸
[45:45] 現在我可能去奧克薩娜家的時候
[45:47] 然後因為奧克薩娜
[45:48] 她就我老婆兩個弟弟妹妹
[45:50] 都還在學校
[45:51] 他們那些同學的家長或什麼的
[45:55] 我們也是變朋友會聊天或什麼的
[45:57] 我不覺得我們的教育有輸他們
[45:59] 或是我們對小朋友的愛有輸他們
[46:00] 就是說時代不一樣了
[46:02] 那Lisa會不會跟她母親互相表達
[46:05] Lisa是比較不會表達愛的那一種人
[46:07] 她是屬於比較冷感的人
[46:09] 所以她媽很多時候會講說
[46:11] 她女兒叫她
[46:13] 她都只叫她什麼Mart
[46:14] 就是類似說Mom
[46:16] 她不喜歡
[46:17] 她說應該叫什麼Mamachka
[46:19] 就是俄文都什麼Chika
[46:20] 那Chika就是比較有那種戀愛之意
[46:22] 因為她都會說Dochinka
[46:24] 她就叫她女兒Dochinka
[46:25] 可是她女兒都不會叫她Mamachka
[46:27] 然後讓她覺得非常的失望
[46:29] 所以我老婆是這樣
[46:30] 可是我岳母是盡力的有在表達愛
[46:33] 但也不要覺得說
[46:34] 這種愛的家庭就會一切都比較好
[46:36] 像有時候我會覺得
[46:37] 我家好的地方是
[46:39] 我爸媽是超級理性的人
[46:40] 所以簡單來講就是說
[46:42] 我不會有一天需要去擔心說
[46:44] 我爸媽可能不知道要睡路邊了
[46:47] 我要怎麼去安排之類的
[46:48] 他們是非常理性的去做規劃
[46:50] 可是我岳母是
[46:51] 我自己心中有時候想說
[46:52] 她可能以後要來臺灣
[46:54] 我要照顧她
[46:54] 不然她可能老了沒有辦法
[46:55] 類似這樣子
[46:56] 所以怎麼講
[46:57] 就是說每個家庭都有他的
[46:59] 要處理的點
[47:00] 那當然如果是更有愛的話
[47:02] 一定都是比較好的
[47:03] 下面一位
[47:04] 我是誰啦
[47:05] 哈嘍你好嗎
[47:06] 聽節目這麼久
[47:07] 想請MK大祝我1月14號生日快樂
[47:09] 也祝大家身體健康平安
[47:10] 生日快樂
[47:11] 那下面一位
[47:11] 老婆瘋狂買水晶
[47:13] 為什麼我老婆股票賠錢
[47:15] 反而不做家事
[47:16] 老婆跟朋友開始當蟲
[47:17] 當然賺少賠多
[47:19] 為什麼男生通常賠錢
[47:20] 就會多做家務
[47:21] 女生賠錢就可以
[47:22] 我就爛
[47:24] 那親愛的大家建議
[47:25] 開始用抗躁耳機
[47:26] 發覺右邊有時候
[47:27] 會有雜音出現
[47:28] 不知道有沒有其他人
[47:29] 有一樣的狀況
[47:29] 第一次留言
[47:30] 從一開始挨大的話語霸權
[47:32] 開始停
[47:32] 現在不僅有話語霸權
[47:34] 更有強大的情報收集系統
[47:35] 有沒有還想發揮的領域
[47:37] 例如改善小指化
[47:39] 祝福挨大一家平安健康
[47:42] 首先第一點的話
[47:43] 我覺得就接受
[47:44] 老婆自己選的
[47:45] 我自己選的就是要承擔
[47:46] 然後再來講說
[47:47] 抗躁耳機
[47:48] 右邊耳朵有一些狀況
[47:50] 再趕快去做檢查
[47:51] 像有一次我耳朵聽不到
[47:52] 趕快去做檢查
[47:52] 醫生跟我講說
[47:53] 這是什麼急性耳聾
[47:55] 還怎麼樣
[47:55] 所以就還好你有快一點來
[47:57] 趕快檢查一下
[47:57] 有些人可能因為這樣
[47:58] 然後有拖到
[47:59] 最後面就救不回來
[48:00] 如果你有趕快來
[48:01] 你有吃藥或什麼
[48:02] 馬上就可以救回來
[48:03] 所以我希望你
[48:03] 聽到我跟你講的這一段
[48:06] 就趕快先去看醫生
[48:07] 然後再講說話語霸權
[48:09] 然後後面有沒有什麼
[48:09] 想要發揮的領域
[48:10] 對
[48:10] 沒錯一開始我是有
[48:12] 那個不是說
[48:13] 我計劃很久
[48:13] 我叫話語霸權
[48:14] 是因為就剛好人家問到
[48:15] 還是我自己聊到
[48:16] 我就覺得說
[48:17] 話語霸權不錯
[48:17] 就是有在
[48:18] 假設你有什麼狀況
[48:20] 你可以幫自己伸冤
[48:21] 或甚至是像我們現在
[48:22] 去推廣一些東西
[48:24] 想要推一些遊戲
[48:25] 想要去介紹一些好人好事
[48:27] 你一講就會有一些影響
[48:29] 我覺得這個是蠻好的
[48:30] 其實我自己也很注意
[48:31] 不要去濫用
[48:32] 就是蠻多人可能紅了之後
[48:34] 他們就會覺得說
[48:35] 自己是Mr.NoYo
[48:36] 你知道嗎
[48:36] 就什麼都要評論
[48:37] 我是不去評論我不懂的事情
[48:39] 我非常去守這個奮計
[48:40] 我希望把自己的羽毛給顧好
[48:43] 才不會去害到自己
[48:45] 但害到自己是我最怕的
[48:47] 然後再來就是說
[48:47] 讓其他人失望
[48:48] 所以其實還是希望把自己
[48:50] 照顧好
[48:51] 是擺在第一優先
[48:52] 我的老公子
[48:53] 我覺得把自己照顧好之後
[48:54] 你就有辦法去照顧別人
[48:56] 所以自己要先瞧好
[48:57] 我覺得話語霸權
[48:58] 應該已經是相當程度有達到
[49:00] 然後再來
[49:01] 情報中心
[49:02] 這也是真的
[49:03] 我沒有往這個方向去努力過
[49:05] 但他講的對
[49:06] 我們家確實就是一個情報中心
[49:07] 很多時候我們知道的東西
[49:08] 大家也都有見證
[49:10] 像之前的Google的外賣
[49:12] 還要被一些粉磚碎嘴說
[49:14] 怎麼這個可能沒有
[49:15] 供應鏈嘗試才會講這個
[49:16] 誰沒有嘗試
[49:17] 誰沒有嘗試
[49:18] 很多時候真的都超乎大家想象
[49:20] 或是我們講說
[49:21] 一些東西什麼報價的變化
[49:22] 有時候一開始有被嗆
[49:23] 後面就發現說
[49:24] 我們的勝率很高
[49:25] 那不是說什麼我自己超強
[49:27] 就是因為我們已經是形成一個情報網
[49:29] 我們這邊就是一個情報網
[49:30] 那我自己也是很注意
[49:32] 就是有些聽眾跟我講一些東西
[49:34] 我是絕對不會去透露是誰說什麼
[49:36] 所以我們可以維持到現在
[49:37] 是一個很健康的關係
[49:38] 非常感謝大家的信賴
[49:41] 這是一個互相信賴
[49:42] 那後面有什麼想發揮的領域
[49:43] 我覺得比較沒有
[49:45] 我覺得現在就是比較偏向說
[49:46] 硬要講的話
[49:47] 像剛剛前面跟這些聽眾
[49:49] 聊一下自己的家庭跟小朋友
[49:51] 我覺得非常的滿足
[49:52] 所以我希望可以成為
[49:53] 大家在生活路上的一個陪伴者
[49:55] 大家這樣
[49:55] 拜拜
