[00:00] 欢迎收听谷外,我是星梦宫,本集节目由EVOASIS赞助
[40:08] 可以快乐健康平安
[40:10] 下面一位
[40:10] DKDKDK93
[40:12] 孟公大好
[40:13] 上次留言没有念到
[40:15] 才说是不是要直上五万不等人的
[40:18] 那这次直接修正一波QQ
[40:20] 我有个住在台北
[40:21] 从来没有开过车的老同学
[40:23] 为了接送可爱的女儿上幼稚园
[40:25] 人生第一台车要直上宝马啦
[40:27] 哈哈
[40:27] 那祝福内湖数据长行车平安开车大吉
[40:31] 那我希望他千辛车快乐
[40:34] 那下面一位
[40:36] 愿长单念一下
[40:37] 宾美式
[40:38] 哦哦梦宫区卡好
[40:39] Lisa和秋口诺亚安哥好
[40:41] 听了五年第一次留言
[40:42] 过去曾经有很多想说的话
[40:44] 真的要留言的时候
[40:44] 又不知道要从何说起
[40:46] 早期的我是完全听不懂
[40:47] 中间的气氛仔
[40:49] 那最近开始懂产业而已
[40:50] 还是听不太懂太细的内容
[40:52] 我和梦宫区卡同乡
[40:54] 梦宫区卡说话时的尾音
[40:55] 常常会有客家腔
[40:57] 让人觉得好熟悉
[40:58] 早期梦宫区卡在0050
[41:00] 还没有分拆时
[41:01] 停到006208相对便宜
[41:04] 当时的我有买
[41:05] 目前也翻一倍了
[41:06] 那我的工作忙碌也很孤独
[41:08] 听节目好像变成唯一的
[41:10] 类社交活动
[41:11] 那至少没有和世界脱节
[41:13] 而且许多听众的留言
[41:15] 也都会给我生活中的思考
[41:16] 谢谢各位兄弟姐妹们
[41:18] 那最后希望
[41:19] 孟公去搞用客家话
[41:20] 对即将过生日的
[41:21] 我说那四个字
[41:22] 你还没给牌
[41:24] 谢谢
[41:24] 为什么又要讲奇怪的话
[41:26] 就讲生日快乐
[41:28] 就讲生日快乐就好
[41:29] 为什么要乱接话
[41:30] 好啦
[41:31] 那前面讲的客家腔
[41:33] 其实我觉得
[41:33] 我客家腔没有很重
[41:34] 因为客家腔很好认
[41:36] 就是会说
[41:38] 哇
[41:38] 或是哪
[41:39] 哇
[41:39] 那个东西好贵吧
[41:41] 太贵了哪
[41:42] 这个就是可能
[41:43] 客家人讲话会这样子
[41:44] 然后或是说
[41:45] 游子带
[41:45] 游子带
[41:47] 我们不会讲睡袍带
[41:47] 我们讲游子带
[41:48] 然后或者说
[41:49] 一个人整天躺在那里
[41:50] 说
[41:50] 所以
[41:53] 那
[41:54] 这个
[41:56] 你一听就知道
[41:57] 那我自己本身
[41:58] 算是一半一半
[41:59] 就我妈妈是闽南人
[42:01] 花莲的闽南人
[42:02] 所以
[42:02] 可能就这样
[42:03] 有综合掉
[42:04] 就是没有真的很客家
[42:05] 但是其实我们家族里面
[42:07] 蛮多人讲话
[42:08] 就是像我刚才前面讲的那样
[42:09] 他会有很多的客家乡
[42:10] 所以偶尔还是会不小心
[42:12] 露出一点客家乡
[42:13] 我觉得蛮有趣的
[42:14] 那下面一位
[42:15] 可以问问美国人
[42:18] 到底会不会做股票吗
[42:19] 其实现实上不只是想问美国人
[42:21] 我想问台湾人会不会做股票
[42:22] 像就像说礼拜四的尾盘在那边拉
[42:24] 其实礼拜五有些东西
[42:25] 可以直接进攻
[42:26] 那确实有些东西有进攻
[42:28] 那只是后来就被灌回来
[42:29] 所以就代表说
[42:30] 现在已经是很多人失去了勇气
[42:32] 那再来在我刚才前面聊到说
[42:34] 11点12点的时候
[42:35] 其实有蛮多东西是攻回去
[42:37] 快要往平盘的方向走
[42:38] 我自己就跟着在那边狂敲
[42:40] 因为这个地方其实真的可以去做一个
[42:42] 很漂亮的下影线去反攻
[42:43] 只是尾盘有一堆人把它丢回来
[42:45] 我想说你们到底会不会做股票
[42:47] 当然现在讲是这样子
[42:48] 如果下礼拜一的妈妈
[42:49] 再开一滴继续往下走
[42:50] 我那个加码的应该也把他丢出来
[42:52] 反正你们不要玩
[42:53] 老子也不要玩
[42:53] 我们要协助把这个盘砸掉
[42:55] 所以现在就是有一种那种
[42:56] 就是全面恐慌的感觉出来
[42:58] 我觉得比上一波修正又再猛一点点
[43:01] 然后我们再观察会怎么样
[43:02] 下面一位
[43:02] 山中的大宝贝
[43:04] 孟公安
[43:05] 请问你可以用川普便秘的声音
[43:06] 宣布新竹周一台风假吗
[43:09] 也祝孟公宝贝股票收到天上去
[43:11] Constipated
[43:13] 没有办法
[43:14] 那就是希望新竹可以放假
[43:16] 因为我看到那个
[43:16] 好像是就在新竹吧
[43:19] 有一个那个autobike在公车旁边
[43:20] 直接被划水到
[43:21] 虽然对啊
[43:22] 这不应该笑
[43:23] 可是那个影片
[43:24] 我重看了太多次
[43:25] 那个太经典了
[43:26] 就很危险啊
[43:27] 所以如果说
[43:27] 真的这个风雨达标的话
[43:29] 还是希望有关单位
[43:31] 要稍微体恤一下
[43:32] 以前我是非常反对台风价的人
[43:34] 那后来发现说
[43:35] 不能够这么自私
[43:36] 我自己很喜欢工作
[43:37] 没错
[43:37] 只是有些人他确实是
[43:39] 可能他家里出来就有危险
[43:41] 我们要去在意一下这些人
[43:42] 所以我现在就站在放价派
[43:44] 就尽量放
[43:45] 随便放没关系
[43:46] 反正我前面被那个储值股关完之后
[43:48] 我现在对股票也有新的认知
[43:49] 我就想说
[43:50] 反正我就当成我整天都被关
[43:51] 也没有关系
[43:51] 好了那下面一个太长跳过
[43:53] 这下面一位
[43:54] Pack
[43:55] 孟宫去卡
[43:56] 自己可以用云霄飞车的emoji吗
[43:58] 好久没有在节目
[43:59] 听到有怪小的发言了
[44:01] 遇到下跌反而会开始期待听QA
[44:03] 想知道孟公会不会
[44:05] 有替在乎的人花钱
[44:07] 比花在自己身上还甘愿的感觉
[44:09] 虽然自己资产提高了
[44:11] 但觉得自己不值得
[44:12] 最后希望孟公可以用
[44:14] 猛男的语音包
[44:15] 祝我跟女友Peggy
[44:17] 保持愉快
[44:18] 一起变富一代
[44:19] 祝孟公一家平安健康又快乐爱您
[44:22] 我以前会很直接的跟你说
[44:26] 对没错
[44:26] 就是花在自己身上不值得
[44:28] 然后也不会花太多
[44:29] 但自从过去两个月的
[44:31] 疯狂红酒尝试之后
[44:33] 其实我是真的有点疯狂
[44:34] 所以我后来觉得说
[44:35] 我可能一次就花了好几年
[44:38] 应该可以花在自己身上的钱
[44:39] 但我的想法是跟你一模一样
[44:41] 就是我花在别人身上是比较开心
[44:43] 不然说像花在老婆身上
[44:45] 或是小孩身上
[44:46] 但如果是硬要选一个
[44:48] 花在小孩身上更夸张
[44:49] 就是你不会觉得这是一个问题
[44:51] 你买卡包给他
[44:53] 即便这个卡包
[44:53] 像有些卡包已经绝版了
[44:55] 像他很喜欢那个
[44:56] 好不要讲
[44:56] 因为讲的时候
[44:57] 一堆人在跑去买
[44:58] 也就在更贵
[44:58] 他喜欢某一个绝版的卡包
[45:00] 然后我就会去买那个卡包给他
[45:02] 那个卡包其实算起来
[45:03] 比一般卡包贵了
[45:04] 大概四五倍左右
[45:05] 可是当你看到他收到
[45:07] 然后在那边拆
[45:07] 然后还会自己跟你讲说
[45:09] 宝宝我今天可以拆两个
[45:10] 我赶快洗澡
[45:11] 因为洗完澡可以拆两个
[45:12] 然后我有时候他会想凹你一下
[45:14] 说宝宝我今天表现好
[45:15] 可不可以再多拆一个什么的
[45:16] 你就一直想要再买这个卡包给他
[45:18] 就即便你知道你是一个盘子
[45:19] 可是你就还是会
[45:20] 想要去让他开心这样
[45:22] 所以以前人家讲的什么
[45:24] 施比受更有福
[45:25] 我得说我在二十几岁的时候
[45:27] 不知道这件事情
[45:28] 我也曾经想过说
[45:29] 为什么要生孩子
[45:30] 脱油瓶
[45:30] 为什么要结婚
[45:31] 为什么要花这种钱
[45:32] 单身一辈子
[45:33] 快乐一辈子
[45:34] 这个想法我都有过
[45:35] 但就是对
[45:37] 有些东西
[45:37] 可能真的年纪一到才会懂
[45:39] 类似我们刚才前面讲的话
[45:40] 会发现说
[45:40] 我觉得人为什么越来越沉默
[45:42] 是因为你真的不需要
[45:43] 跟任何人讲太多
[45:44] 或试着去说服任何人
[45:45] 因为当你们是不同位阶
[45:47] 不同资产
[45:48] 不同的家庭背景
[45:49] 不同的家庭环境
[45:50] 不同的配置
[45:51] 你们真的是
[45:52] 有时候是没有办法对话的
[45:54] 那你现在跟人家讲
[45:55] 讲了半天也没有用
[45:57] 他懂他就是會懂
[45:58] 如果他不會懂
[45:59] 他一輩子跟你也沒有交集
[46:01] 所以你真的有需要說服的
[46:02] 只有自己家庭最核心的人
[46:04] 就大概是這樣子
[46:05] 但我完全認同你的說法
[46:07] 兄弟妹
[46:07] Good tone
[46:09] God tone
[46:10] God tone是懂神的ID是不是
[46:11] MK大
[46:12] 我很好大家好
[46:13] 恭喜你很好
[46:15] 兄弟妹
[46:15] 其實我已經快沒有很好
[46:17] 你知道嗎
[46:17] 這樣子一直疊下去
[46:18] 心中是不好受
[46:20] 最近不是在LINE上面
[46:21] 他有一個可以回報大家狀態的東西嗎
[46:24] 我看到每個說自己不平安的
[46:25] 没有一个是风灾水灾
[46:27] 每个都是股票跌很惨
[46:29] 然后在那边靠摇
[46:30] 说怎么下自己很惨
[46:31] 希望大家可以去救他
[46:32] 希望什么救援队
[46:34] 可以赶快到淹水的公园里面之类的
[46:36] 还是希望大家都在这次的
[46:37] 这个豪雨里面可以平安健康
[46:40] 股票的事情相较之下是小事
[46:42] 生命安全最重要
[46:43] 下面一位
[46:44] SF985213
[46:45] 谢谢孟公去给我们每周分享
[46:47] 自己的生活跟市场的观点
[46:48] 我7月5号生日
[46:49] 可以跟我说那四个字吗
[46:50] 生日快乐
[46:51] 你看这样是不是皆大欢喜
[46:53] 下面一位
[46:53] 原住民的台语怎么念
[46:55] 孟公好
[46:55] 我是今年要考教征的考生
[46:57] 在教育职场发现
[46:58] 总有一些老师很混
[47:00] 但他们却是正式教师
[47:02] 而我努力的教学
[47:03] 却还只能够当个代理教师
[47:04] 心里满满的不平衡
[47:05] 但庆幸有时候努力的付出
[47:07] 总有回报
[47:08] 那有时候接触我情绪的
[47:10] 不是身边的好友
[47:11] 而是那些学生
[47:11] 这里很灵验
[47:12] 我也要来许愿
[47:13] 倘若今年考上的话
[47:15] 我将分期捐出一个月的薪水
[47:17] 给流浪动物协会
[47:19] 那或是抽出十组黑马卡
[47:21] 给地方男性
[47:22] 麻烦孟公帮我做决定
[47:24] 爱你
[47:24] 我是觉得
[47:26] 因为你后面那个抽奖
[47:27] 我要把你抽太麻烦了
[47:28] 你就直接捐给这个流浪动物协会
[47:30] 我觉得是蛮好的
[47:32] 然后再讲前面那一段
[47:33] 我有一个unpopular opinion
[47:35] 但我认为应该蛮多人会感同身受
[47:38] 就是你这样子一个非常热血的想法
[47:40] 其实是好发语
[47:42] 就是因为你还没有真的进入到那个地方
[47:44] 所以你会觉得说
[47:45] 为什么有一堆他妈的废物主管
[47:47] 失位速餐不做事
[47:49] 然后他却可以是主管
[47:50] 为什么有那些人
[47:51] 他站着毛坑不拉屎
[47:52] 为什么有些医师
[47:53] 看起来没有医德
[47:54] 为什么有些
[47:55] 做股票的
[47:56] 然后现在整天在po干话
[47:58] 整天在喊救命
[47:59] 因为你还没有到那个地方
[48:01] 就你到那个地方之后
[48:02] 有时候你会发现说
[48:03] 你可能本来是满腔热血
[48:06] 但是你被一些学生
[48:07] 或者说被一些学生家长
[48:09] 或是被很多的办公室
[48:11] 术物给磨掉了
[48:12] 所以你就会长得
[48:13] 像是比较圆融的样子
[48:14] 然后看在一些新来的人
[48:16] 就会觉得说
[48:16] 你很混或什么
[48:17] 但那已经是一个
[48:18] 就是为了生存
[48:19] 而长出来的样子
[48:21] 所以如果你今天到一个环境
[48:23] 你看到那些人是长那个样子的话
[48:24] 你要思考的是
[48:25] 你想不想变成那个样子
[48:26] 因为你终究
[48:27] 你高几率会变成那个样子
[48:29] 你很难进去构造改革
[48:31] 然后让大家变成像你这种
[48:32] 满腔热血的样子
[48:34] 对我不想要帮
[48:35] 因为你看起来是一个新鲜人
[48:37] 好像帮你把未来去盖上了一个
[48:39] 这个怎么讲
[48:40] 黑暗的阴影的感觉
[48:42] 可是社会真的就是这样子运作的
[48:44] 所以你还没有进去之前
[48:45] 你都会觉得说里面的这些人
[48:46] 一堆站着毛坑不拉屎
[48:48] 可是你进去之后
[48:49] 你可能也变成是那样的人
[48:50] 当然我们还是希望
[48:51] 自己可以保有一些初心
[48:52] 希望有一些好事可以发生
[48:54] 但后来对社会
[48:55] 就比较不会有这么多的批判
[48:57] 因为你开始渐渐的懂得
[48:58] 大概是这样
[48:59] 下面一位
[49:00] Hikari
[49:00] 孟公我老公爱你
[49:02] 我是玛丽莎
[49:03] 我要祝竹男好友
[49:04] 闲抗力赚大钱
[49:05] 乖好爱大家
[49:06] 希望大家都赚大钱
[49:07] 下面一位
[49:08] 藤蛋蛋
[49:09] 孟公去搞我老公
[49:11] 掰开了进来吧
[49:12] 救救我
[49:12] 你看这个就是应该是
[49:13] 股票底太多
[49:14] 开始有一些发病的人产生
[49:16] 下面一位
[49:17] Andy5566
[49:18] 孟公去搞我
[49:19] 完全急速听你分享
[49:20] 和林口猛南门
[49:21] 在找有志人士
[49:22] 一起来林口发展
[49:23] 这是不是有力量之后
[49:25] 回馈社区的一种方式
[49:26] 也好奇想问孟公
[49:27] 当生意越大
[49:28] 也会伴随一些
[49:29] 复杂的关系吗
[49:30] 如果能够分享
[49:31] 再让小弟见面
[49:32] 那最后想请孟公老大
[49:34] 用金牌讲师的语气
[49:35] 跟我的老师女友说
[49:36] 要放暑假了
[49:37] 姐妹们
[49:37] 又送走了
[49:38] 可爱的一届
[49:39] 辛苦你了
[49:40] 那也祝孟公一家
[49:40] 平安健康
[49:41] 暑假也有
[49:42] 更多的美好回忆
[49:43] 那非常感谢这位兄弟
[49:45] 那前面讲的
[49:46] 事情是不是会变复杂
[49:47] 没错
[49:47] 所以其实我一向都是跟大家说
[49:50] 特别是那些创业的人
[49:51] 有时候来QA问问题
[49:52] 我就说我自己的经验是
[49:54] 股东不要太复杂
[49:55] 因为股东复杂
[49:56] 事情就会变复杂
[49:57] 就会变麻烦
[49:58] 所以绝大多数
[49:59] 像我自己参与的一些生意都是
[50:01] 我可能就是里面唯一一个股东
[50:03] 我可能是出超过七八成的钱
[50:06] 甚至是全资
[50:07] 但是我只拿十二十趴
[50:08] 这个是我家喜欢的一个模式
[50:10] 可是我还是希望说
[50:11] 创办人自己也要skin the game
[50:12] 就是你总是自己头要洗下去
[50:14] 如果说你都是在玩别人钱的话
[50:16] 我不能够期待
[50:17] 你一定会百分之百认证
[50:18] 你懂我意思吗
[50:19] 所以你没有多少钱
[50:20] 但是你愿意整个投习下去
[50:21] 这种人是我比较喜欢的
[50:23] 然后在林口目前
[50:23] 可能我们丢的东西
[50:24] 也是比较偏向说
[50:25] 我自己知道
[50:26] 这边可能需要这个东西
[50:27] 所以就去做这样的投资
[50:28] 那时候会分享说
[50:30] 就是自己身边朋友
[50:31] 大家可能想说
[50:31] 这个东西可以搞看看的理由
[50:33] 是因为人家刚好提到了
[50:34] 所以我就拿出来去讲这件事情
[50:36] 但是我觉得
[50:36] 如果真的下去执行的话
[50:37] 它不会是
[50:39] 可能像一些人想象的是
[50:40] 我们先去集资
[50:41] 然后弄一个fund
[50:42] 然后去投这些东西
[50:43] 这个可能我不喜欢这样的模式
[50:45] 他比较偏向是
[50:47] 就要说真的有一些屌的东西
[50:48] 你想要来林口做或什么的
[50:50] 我可以吃下
[50:51] 我就直接全部自己吃了
[50:53] 也不是说什么
[50:53] 我不想分我朋友或什么的
[50:54] 因为其实去投这种生意
[50:56] 对我们身边这种做投资来讲
[50:57] 他的投报率绝对都没有股票好了
[51:00] 所以其实每个人想做这件事情
[51:01] 都是有点类似像你讲的
[51:03] 那种社会服务学习的态度去做
[51:05] 但我还是会希望事情单纯一点
[51:07] 所以能够我全吃的
[51:08] 我一定是全吃的
[51:09] 可是身边可能有些朋友会发现说
[51:11] 这个东西我也有兴趣
[51:12] 你想要上车一点
[51:13] OK那也让你上车一点
[51:15] 但大家的心态应该比较偏向说
[51:16] 反正就是让这个创办人去搞
[51:18] 看看可不可以搞出什么样的东西
[51:19] 所以其实我是很不喜欢合伙生意
[51:22] 那自己目前可能有搞到的
[51:25] 比较偏向是合伙生意的
[51:26] 会像是笑男这样
[51:27] 可是笑男因为我自己就是过半的
[51:29] 所以大家连吵架都不用吵架
[51:31] 因为你们没有人投票投得赢我
[51:32] 所以就就是变成说
[51:34] 我都最多钱
[51:35] 那我就是去扛最大的风险
[51:37] 那失败我也是去赔最多钱
[51:40] 所以大家都不有一见
[51:41] 那我会比较喜欢这样的一个模式
[51:43] 就是我不喜欢说
[51:44] 当然大家会想说
[51:44] 应该都可以讨论
[51:45] 可以沟通
[51:46] 可是我的经验是
[51:47] 当今天人多
[51:48] 就是会嘴杂
[51:49] 所以最好的方式是
[51:51] 我当拿啤酒去你家的
[51:53] 你要投什么生意
[51:54] 你要做什么事情
[51:55] 我过去支持你
[51:56] 校男比较罕见一点
[51:58] 他算是我自己本身
[51:59] 是做庄的人
[52:00] 我其实是不希望
[52:01] 我希望越低调
[52:02] 然后躲起来越好
[52:03] 那只是因为刚好说
[52:04] 我们又找到一些
[52:04] 非常厉害的业绩人士
[52:05] 可以去帮我run这个东西
[52:07] 所以我可以接受
[52:08] 说OK我在里面
[52:08] 当一个做庄的人
[52:10] 当然目前上车的人
[52:11] 也都是自己的朋友
[52:12] 就他不会是那种对外募资
[52:14] 所以我觉得
[52:15] 就是事情一定要尽量的单纯
[52:17] 就是你尽量拿的钱
[52:18] 就是如果你是创办人
[52:20] 你就只拿少数几个人就好
[52:21] 你千万不要说什么
[52:22] 拿一堆人的钱
[52:23] 你要去迎合一堆人的期待
[52:25] 一堆人的想法
[52:26] 一堆人每个人都要给你意见
[52:27] 你甚至会失去
[52:28] 你本来的一个初衷
[52:30] 或是你想要做的东西
[52:31] 这个就会比较可惜一点
[52:33] 所以应该会走一个简单的形式
[52:35] 那这可能跟大家一开始
[52:37] 听到的东西不太一样
[52:37] 一开始是人家跟我讲说
[52:39] 可以这样的做
[52:39] 我就直接分享出来
[52:40] 我觉得是一个蛮好的idea
[52:41] 就你要知道说林口这边有蛮多人
[52:43] 他们是愿意去支持这样的东西
[52:45] 但实际下去做呢
[52:46] 应该理论上是
[52:47] 所有东西我能够吃
[52:48] 我就自己吃掉
[52:49] 那刚好身边朋友
[52:50] 假设你有不小心听到
[52:51] 你说你要上车
[52:51] 你也知道风险是什么
[52:52] 你要来你就可以来啊
[52:53] 这样子
[52:54] 可是不会是说什么
[52:55] 我要去揪人或什么
[52:56] 那个是我不喜欢的一个形式啊
[52:58] 好大家拜拜
