[00:00] 歡迎收聽谷愛,我是聖夢宮,本期節目由Ray Chen穩資坐墊贊助
[00:04] 各位最近這個行情我看很多人是睡不著覺,上沖下洗,磨來磨去
[39:26] 當然現在其實有蠻多家庭
[39:28] 是那種就是double income
[39:30] 其實兩個都有在賺錢
[39:31] 那只是
[39:31] 我覺得要接受一件事
[39:33] 就在臺灣
[39:34] 男生給自己的壓力
[39:35] 還是比較大
[39:36] 其實老實講真的這樣
[39:37] 像我們自己身邊的一些朋友
[39:38] 女生她們比較敢不儲蓄
[39:40] 可是男生比較不敢不儲蓄
[39:42] 就是會一直去想東想西
[39:44] 然後再來就是
[39:44] 花錢也會比較謹慎
[39:46] 因為在我們的認知裡面
[39:47] 當然這可能是我們自己去
[39:48] 搞自己吧
[39:49] 把問題搞複雜
[39:50] 可是像我就是很老派那種
[39:52] 我覺得說房子就應該是要男生買
[39:53] 就是我不會期待說
[39:55] 女方去什麼一起幫忙買房子
[39:56] 我就覺得說
[39:57] 這本來就是男生要做的事情
[39:59] 車子本來就是男生該買的
[40:00] 加油維修什麼
[40:02] 本來就男生該做
[40:03] 那你也可以講說
[40:03] 我大男人我傻小
[40:04] 但我的習慣是這樣
[40:05] 所以其實我們給自己的壓力會很大
[40:07] 那也因為這樣子
[40:08] 就是比較沒有辦法說什麼
[40:09] 我們現在什麼青春的一首讚歌
[40:12] 我們來感受一下人生
[40:14] 我要去海外
[40:15] 兩年什麼的
[40:16] 就是你做不了這種事情
[40:17] 你無法很坦然的去
[40:19] 接受就是不管是什麼樣的未來
[40:22] 反正我們就是開心的去面對他
[40:24] 沒有辦法
[40:24] 你一定會胡思亂想
[40:25] 我覺得男生
[40:26] 至少我自己
[40:27] 或者說我們身邊
[40:28] 很多朋友都這樣
[40:28] 他就會一直去想東想西
[40:29] 只是真的還是要
[40:31] 跟他勸一下
[40:32] 就是說像
[40:33] 好像上一集
[40:34] 上上一集有跟大家聊到的
[40:35] 絕大多數的憂慮
[40:37] 你最後面發現說
[40:38] 你都是在搞自己而已
[40:39] 就是事情發生
[40:40] 你就是兵來將擋
[40:41] 水來土掩
[40:42] 因為有太多的
[40:43] 你過去擔心的事情
[40:44] 其實最後面都沒有發生
[40:45] 然後最後面
[40:46] 真的讓你非常擔心的事情
[40:47] 是那些你根本想都沒有想過的
[40:49] 所以如果當你可以
[40:50] 誤懂這件事情的話
[40:51] 你就會知道說
[40:51] 真的出了問題
[40:53] 你再去煩惱
[40:54] 怎麼樣快速的去解決它
[40:55] 而不是在問題都還沒有出來之前
[40:57] 你就先開始擔憂說
[40:58] 有可能要常出差或什麼的
[41:00] 說不定在工作去一下之後
[41:01] 他媽的你就離職了之類的
[41:02] 或是說
[41:03] 說不定後來出差是一個超級快樂的事情
[41:06] 你可以怎麼帶你的老婆一起去
[41:07] 或者說公司給零用金很多之類的
[41:10] 就是真的很難講
[41:11] 你不知道
[41:11] 所以既然不知道
[41:12] 你就不要去為了這個東西擔憂
[41:14] 雖然講很簡單
[41:15] 像我自己也會為了未知擔憂
[41:17] 只是我們就是要互相勉勵
[41:18] 告訴彼此說
[41:19] 其實等到事情發生之後
[41:21] 我們再解決它就好
[41:22] 下面一位
[41:22] 挨大小粉絲
[41:24] 挨大小粉絲挨大你好
[41:25] 我是今年股災
[41:26] 開始聽你節目的小粉絲
[41:27] 感謝你陪伴著我
[41:29] 從論文卡關到現在
[41:30] 已經開始工作了
[41:31] 那另外想推薦您
[41:32] 看YT壽司坦丁
[41:34] 有關於失痛頓化的這一集
[41:37] 看完這一集之後
[41:38] 會有一種自己更瞭解市場的感覺
[41:40] 謝謝祝您平安順利
[41:41] 愛你哦愛你
[41:42] 下面一位
[41:42] 菜菜菜菜雞
[41:44] 五星好評吹吹
[41:45] 留言密碼測試6
[41:46] 挨大你好
[41:47] 現在想加入大盤
[41:48] 考量到期貨斷頭的風險
[41:50] 以及目前都是正價差
[41:51] 想從0685L往下開始扣
[41:53] 掛號雖然說是正額
[41:55] 但漲幅趴數基本上都跟加權一樣
[41:57] 那每下跌一趴進場一萬
[42:00] 預計打進50萬的部位
[42:02] 看過保管跟管理費都不算太高
[42:04] 請問這樣的策略是否屬於合理
[42:06] 謝謝大家解惑
[42:06] 掛號話說是不是太多人都知道
[42:09] 無線轉倉導致近期正價差
[42:11] 那個正價差或是逆價差有很多因素
[42:13] 不然像是利率啊
[42:14] 或者說當然市場的情緒啊
[42:15] 或者說避險的情緒什麼都會有所影響
[42:17] 那我覺得並不是太多人知道
[42:19] 這件事情而導致的一個現象
[42:20] 然後再來講說這個正二
[42:22] 一樣就是正二
[42:23] 像過去的集數有跟大家分享
[42:26] 絕大多數的狀況之下
[42:27] 我都會覺得說
[42:27] 那些你聲稱要長期持有的
[42:29] 我自己是不會去
[42:30] 首推這樣子一個標的
[42:32] 因為很多時候
[42:33] 就是你可能會承擔的
[42:34] 相對大一點的風險
[42:35] 那你不一定會獲得兩倍的報酬
[42:37] 這個是你要比較注意的
[42:38] 然後再來就是
[42:39] 雖然我講這個的時候
[42:41] 有些人就會認為說
[42:42] 你是不是反對
[42:43] 結果你看像前一波抄底
[42:44] 我直接跟他講說
[42:45] 我就是有在買正二
[42:46] 我有去買臺子期
[42:46] 但後來那個正二
[42:47] 我就是把它全部換臺子期
[42:48] 因為當我已經確定說
[42:50] 它那個地方
[42:50] 是我要去大膽買進的地方
[42:53] 我就覺得連正二都太慢了
[42:55] 我直接開可能更大的槓桿
[42:56] 去做這一段
[42:57] 那像這個就是說
[42:58] 在這個時間點
[42:59] 是我會去使用的一個標的
[43:01] 所以其實在我看來
[43:02] 我怎麼講
[43:04] 就我至今是很難想象
[43:05] 有人會想要去存
[43:07] 就是除了像什麼VTI
[43:09] VO, IVV, SPY, 0050, 6208
[43:12] 這類的
[43:13] 就是我覺得它是真的可以拿來常放
[43:15] 因為它的機制的東西
[43:16] 那其他的就是你去上面去
[43:18] 稍微加到天數
[43:19] 加一點鋼或什麼的
[43:20] 那個我都覺得是特化型應用
[43:22] 也就是應該是在特定的時間
[43:24] 拿來用的東西
[43:25] 那我覺得這個
[43:25] 這應該是就像他講
[43:26] 猜猜猜急啊
[43:27] 剛來啊
[43:28] 他也是可能沒有聽我們節目
[43:29] 所以就是問一個
[43:30] 就大家都一直狂問的東西
[43:32] 我還是要強調
[43:32] 就你覺得好你就買嘛
[43:34] 這很多人很奇怪
[43:35] 就是你覺得好
[43:36] 然後你又在那邊想東想西
[43:38] 你又不敢買
[43:39] 那像你這種人
[43:40] 就是很容易會遇到
[43:41] 你真的他媽嚇死他的時候
[43:42] 你一定是抱不住
[43:43] 因為你根本不夠了解這個東西
[43:45] 你根本不夠了解
[43:46] 你要去問的
[43:46] 那就算我跟你講說
[43:48] 很好可以報
[43:48] 然後他媽的
[43:49] 你看一下那個
[43:50] 0685
[43:51] 他可能回撤的時候
[43:52] 可以躲身
[43:52] 到時候可能就跑來講說
[43:54] 他說可以買
[43:55] 結果這樣子
[43:55] 就一定會
[43:56] 怎麼說
[43:57] 我已經知道這個結局
[43:58] 是長什麼樣子
[43:59] 所以很多時候
[43:59] 我不是不願意回答大家
[44:01] 是我請大家先三思之後
[44:02] 再問問題
[44:03] 因為很多時候
[44:03] 你自己連想都沒有想
[44:05] 這個是你們的辛苦錢
[44:06] 賺錢是不容易的
[44:08] 然後他媽的
[44:09] 隨便就要去市場裡面
[44:10] 買一個你不熟悉的東西
[44:11] 不覺得很屌嗎
[44:12] 就是怎麼這麼多人
[44:13] 敢做這麼屌的事情
[44:14] 所以還是要
[44:15] 這稍微想一下
[44:15] 這個東西不是不能用
[44:16] 只是說
[44:17] 在我看來是特化的應用
[44:19] 就是如果說
[44:20] 是有特殊的行情
[44:22] 要抄底
[44:22] 我怎麼會拿來用它
[44:23] 可是如果今天
[44:24] 不是什麼特殊的行情的話
[44:25] 就平常不會想要去
[44:27] 什麼無腦
[44:28] 長期持有這樣子的東西
[44:29] 特別用到無腦兩個字
[44:30] 我覺得都是比較危險
[44:31] 下面一位
[44:31] 張欣欣
[44:33] 好
[44:33] 乖您好
[44:34] 男友的朋友
[44:35] 最近剛結婚
[44:36] 可以請您祝張化雷老闆
[44:38] 跟宇宙超級無敵漂亮的陳老師
[44:40] 新婚快樂
[44:41] 要永遠幸福快樂
[44:43] 平安健康
[44:43] 祝各位一家身體健康
[44:46] 平安快樂
[44:46] 下面一位
[44:47] MICCCCC2X
[44:50] 院長跳過
[44:52] 下面一位
[44:53] Camille
[44:54] AKA Rebecca
[44:56] 大Rossi
[44:56] 八歲的妹妹
[44:58] 孟公您好
[44:58] 我是孟娟
[44:59] 我是去年才開始聽你節目的氣氛仔
[45:02] 雖然大部分都聽不懂
[45:03] 早期有聽過
[45:04] 但太多髒話
[45:05] 那時候的我可能太年輕
[45:06] 無法理解其中的奧妙
[45:07] 就沒聽了
[45:08] 那現在聽
[45:09] 很喜歡你真誠真實的
[45:12] 超快速反應
[45:14] 那12月1號是我弟弟Rosie的生日
[45:16] 雖然已經過了
[45:18] 但是還是在這天留言一樣有效吧
[45:20] 那請孟公用開第三家遊戲資本的聲音
[45:24] 祝Rosie38歲生日快樂
[45:27] 口袋不再有洞
[45:28] 那謝謝祝大家身體健康
[45:29] 績效大爆色
[45:30] 我們希望Rosie38歲生日快樂
[45:33] 那確實啊
[45:34] 就是我早期的節目會被人家反映說
[45:36] 就是幹比較多髒話
[45:37] 因為沒有辦法
[45:38] 我就是一個相對粗魯的人
[45:39] 而且我是很討厭廢話
[45:42] 然後外加
[45:42] 甚至是有點沒有禮貌的人
[45:44] 所以像我是那一種
[45:46] 會跟人家出來吃飯
[45:48] 其實我覺得你太無聊
[45:49] 我就直接隨便扒一個理由
[45:50] 就回家那種人
[45:51] 然後我是那一種
[45:52] 就是我可能跟你講話
[45:53] 然後我發現說
[45:54] 就你講話超白痴
[45:56] 我就會直接選擇
[45:57] 就從下開始都不要講話
[45:58] 就真的就完全不講話
[46:00] 然後就看你他媽
[46:01] 就多會講這種人
[46:02] 所以呢
[46:03] 其實我一開始是真的
[46:04] 比較不在意別人的觀感跟感受
[46:06] 就是這樣
[46:07] 所以就是
[46:08] 怎麼講
[46:09] 就講話的態度啊
[46:10] 或什麼的
[46:10] 就大家會感覺
[46:11] 比較我行我素一點
[46:12] 那我覺得後來的影響
[46:14] 是因為有小孩之後
[46:15] 我發現我小孩會學我講話
[46:17] 這真的是最關鍵
[46:18] 他一直在學我講話
[46:19] 所以我會比較收斂一點
[46:21] 有些表達
[46:22] 我就會去稍微拐個彎
[46:23] 我就不會講說
[46:24] 他媽的能夠白痴智障
[46:26] 幹你老師什麼
[46:26] 就是就不會再像以前
[46:28] 這樣子講話
[46:28] 那因為你知道
[46:29] 你講了他會學
[46:30] 或說像有時候
[46:31] Choco那邊狂叫的時候
[46:32] 以前就是Choco幹你孃的
[46:34] 或說媽的fucking dog
[46:35] shut the fuck up
[46:36] 然後有一次我講
[46:36] shut the fuck up
[46:37] 我兒子就在那邊
[46:38] Shut the fuck up
[46:39] 然後
[46:39] 你知道
[46:41] 當下你不能夠反應
[46:42] 因為如果你反應
[46:43] 你笑出來
[46:43] 或是你講說
[46:44] No no不可以講這個
[46:45] 他就會狂講
[46:46] 所以你要假裝不知道
[46:47] 然後等他自己忘記
[46:48] Shut the fuck up
[46:49] 因為他那一整天
[46:50] 他就是不管做什麼事情
[46:51] 他都Shut the fuck up
[46:52] 什麼的
[46:52] 所以你知道說
[46:53] 就是你講話
[46:54] 不可以這麼粗魯
[46:55] 就慢慢的有去做調整
[46:56] 那對我來說
[46:57] 那就是一個
[46:57] 人生階段的變化
[46:59] 那也不會認為說
[47:01] 好可惜
[47:01] 就是以前我講話這樣子
[47:03] 然後可能因為這樣
[47:03] 過濾掉一些聽眾
[47:04] 我反而覺得說
[47:05] 就是可以接受我一切的人
[47:06] 那現在我給大家最好的回報就是
[47:08] 這個知無不言
[47:09] 大家如果想知道什麼
[47:11] 我都儘量的回答
[47:12] 那大概這樣
[47:12] 下面一位
[47:12] App096109
[47:15] Pretty豆皮
[47:15] 離婚一段日子
[47:17] 慢慢體會投資
[47:18] 就像人生不斷的滾動調整
[47:19] 儘管常常低潮
[47:21] 也是會不斷的檢討自己
[47:22] 但看到明天的太陽
[47:23] 依然會勇敢的前進
[47:25] 謝謝喬虎的經驗談
[47:26] 所以是離婚會讓大家
[47:28] 更懂事更明白是嗎
[47:29] 就是他講的這個非常有道理
[47:31] 非常簡短的一段話
[47:32] 可是我覺得道盡了一切
[47:33] 下面一位
[47:34] 好下面一位
[47:35] 無數個想離婚的男子
[47:37] 老公好
[47:38] 小弟結婚三年
[47:39] 老婆的情感豐富
[47:41] 我神經大條
[47:42] 他覺得時常感受不到愛
[47:44] 我們很常因為一些小事吵架
[47:45] 而且又吵到沒有共識
[47:47] 我真的沒有辦法
[47:48] 無時無刻為對方著想
[47:49] 我常在想
[47:50] 難道結婚是要把自己變成一個
[47:52] 不是原本自己的樣子嗎
[47:54] 我到底是該找個
[47:55] 可以做自己的另外一半
[47:57] 還是要強迫自己改變呢
[47:58] 懇請指南老公教學
[48:00] 謝謝愛寧
[48:00] 這位兄弟
[48:01] 還是參考一下上面那一位
[48:03] 你看他離婚之後
[48:04] 你看他過得多
[48:04] 多坦蕩
[48:05] 沒有啦
[48:05] 就是我自己本身
[48:07] 跟你遇到的狀況
[48:08] 是有點像
[48:09] 就是我老婆
[48:09] 也是情感豐富的那一方
[48:10] 我也是神經大條的
[48:11] 然後她跟我講一些東西
[48:13] 她很常罵我的一件事情
[48:15] 就是說
[48:16] 像我有一個朋友離婚
[48:17] 她就問我說
[48:18] 為什麼她離婚
[48:19] 我說我他媽
[48:19] 我怎麼知道
[48:20] 她就跟我講她離婚
[48:21] 她離婚
[48:21] 你沒有問她
[48:22] 為什麼離婚
[48:23] 她幹我屁事
[48:24] 到底幹我屁事
[48:24] 就是我很常
[48:25] 因為這樣的東西
[48:26] 她就會覺得說
[48:26] 你為什麼對這些東西
[48:28] 都不想了解
[48:28] 或是她跟我講某些東西
[48:30] 然後她就是會期待
[48:31] 我要跟他討論
[48:32] 我要跟他講一些我的想法
[48:34] 可是我意思是說
[48:35] 不是你跟我講的幹嘛
[48:36] 就是說我一開始都願意聽
[48:38] 可是當你要去質疑我說
[48:39] 你什麼都不回應的時候
[48:40] 我就想說你跟我講的幹嘛
[48:41] 這一點都他媽都不重要
[48:43] 你跟我講的廢話
[48:43] 可是因為這樣子
[48:45] 我覺得我沒有辦法
[48:46] 跟我老婆在一起
[48:47] 其實沒有
[48:48] 就是我開始去接受一些事情
[48:49] 就是我後來覺得說
[48:51] 其實在感情裡面
[48:53] 我們先撇除掉一些
[48:54] 比較細項的東西
[48:55] 在大方向上
[48:56] 大方向其實是
[48:57] 我們的理想型會比較偏向是
[49:00] 我們自己希望成為的那一種人
[49:01] 所以你可能是一個比較內向的人
[49:04] 你就是會被一個外向的人給吸引住之類的
[49:07] 但不是每個人都這樣
[49:08] 可是至少在我的觀點
[49:09] 或是我觀察一些身邊蠻匹配的人都是這樣
[49:12] 所以他們某種程度上來說是一個互補的關係
[49:14] 他們未必是說就是通知性很高
[49:16] 然後都喜歡一樣的東西
[49:18] 因為那個可能會讓你沒有那麼舒服
[49:20] 我不知道怎麼樣去形容這種感覺
[49:21] 因為老婆之前跟我舉過一個例子
[49:23] 她會講說
[49:23] 你一直在那邊講說
[49:25] 你聽我講這些八卦
[49:26] 有的沒有的東西
[49:27] 你覺得他媽很無聊
[49:28] 或啥小的
[49:29] 如果今天你找到一個
[49:30] 跟你楊輝做股票的
[49:31] 我說很好啊
[49:32] 跟我楊輝做股票
[49:32] 可以跟我討論
[49:33] 我覺得這個不是一個
[49:34] 很棒的事情
[49:35] 他說可是呢
[49:35] 他會開始來質疑你的判斷
[49:37] 他會每天去尿
[49:38] 說你今天那個東西怎麼樣
[49:40] 什麼的
[49:40] 大概介入你的工作
[49:41] 像我老婆就從來都不會
[49:43] 跟我問什麼錢的事情
[49:44] 或者說你今天投資報酬率怎麼樣
[49:46] 他不會問
[49:46] 可是如果今天有一個人
[49:47] 他就是整天在那邊尿你這個
[49:48] 你會覺得會比較爽嗎
[49:50] 其實仔細想想
[49:50] 真的不會比較爽
[49:51] 所以我會可以接受一件事情
[49:53] 就是其實兩個伴侶之間
[49:56] 他們有很多的差異是OK的
[49:58] 他們只要有辦法
[49:59] 可以契合在一起
[50:00] 而且我們講的契合
[50:01] 其實不是在講說
[50:02] 是百分之百契合
[50:03] 因為很難
[50:04] 百分之百契合
[50:05] 不知道就那種soulmate
[50:06] 小說裡面才會出現的
[50:07] 可是現實的生活之中
[50:09] 就是一定有些東西
[50:09] 會讓你是不滿意
[50:11] 或是不開心的
[50:11] 我們自己身邊的一些朋友
[50:13] 他可能在
[50:14] 婚姻的關係結束之後
[50:15] 他們跟我們分享的一些東西
[50:17] 要稍微跟大家講一下
[50:18] 他們會提到
[50:18] 就是類似說
[50:19] 本來在婚姻裡面就覺得說
[50:21] 該你分手一定更好
[50:22] 離婚一定更好
[50:23] 就離婚之後發現沒有更好
[50:25] 因為可能自己也長大了
[50:26] 你想象的是
[50:27] 你可能二十幾歲那種
[50:28] 我離婚之後我就瘋狂做愛
[50:30] 就你發現你已經沒有力氣了
[50:31] 腰會閃到之類的
[50:32] 或者說你可能已經不想要
[50:34] 這種肉體的東西
[50:35] 你想要精神上跟人家去做什麼神交之類的
[50:37] 可是人家不一定可以去符合
[50:39] 你這樣一個需求
[50:39] 然後再來就是習慣的力量
[50:41] 真的是非常的龐大
[50:42] 當然我們也不是說
[50:43] 就是勸大家合不要離
[50:45] 我怎麼可以
[50:45] 只是說離了之後
[50:46] 也不一定會像你想象的
[50:47] 就是我就海闊天空
[50:48] 或者說你找到一個
[50:49] 可能允許你做自己的人
[50:51] 但不知道
[50:52] 他可能就沒有這麼情感豐沛
[50:54] 他也不在意你在幹嘛
[50:54] 他也不會關心你
[50:55] 他也懶得去問說
[50:57] 你的一天發生什麼事情
[50:58] 他也不會在你
[50:59] 可能受傷的時候
[50:59] 陪你哭或什麼的
[51:00] 這樣一定會更好嗎
[51:01] 不一定
[51:02] 所以我後來就比較
[51:04] 不會去用一個
[51:04] 單一面向去評論一個人
[51:06] 因為每個人
[51:07] 都是非常有層次的
[51:08] 然後像自己的伴侶
[51:09] 更是這樣子
[51:10] 他一定會有一些
[51:10] 讓你不開心的地方
[51:11] 可是一定也會有
[51:12] 讓你開心的地方
[51:13] 可是你跟這個人
[51:14] 在一起的時候
[51:15] 我覺得這個就人性
[51:16] 就是說
[51:16] grass is always greener
[51:18] 你一定會覺得說
[51:20] 隔壁的花園是比較漂亮
[51:21] 因為你每天跟這個在一起
[51:22] 你已經習慣了
[51:23] 就像你每天吃和牛
[51:24] 你不會覺得和牛是了不起的東西
[51:26] 你吃到海鮮就覺得
[51:27] 哇好爽哦
[51:28] 所以你就一直覺得說
[51:29] 是不是外面的世界更好
[51:31] 所以有時候儘量先
[51:32] 往後退一步
[51:34] 思考一下當初為什麼在一起
[51:36] 那現在你喜歡他的點
[51:37] 怎麼去把它羅列出來
[51:38] 如果說最後面發現說
[51:39] 就是跟這個人就是很痛苦的話
[51:41] 那當然就是可以去分開試看看
[51:43] 只是因為我自己有時候
[51:45] 也會掉入這樣子的盲點
[51:46] 就是跟人家吵架
[51:47] 或者說什麼
[51:48] 有些糾紛的時候
[51:49] 我又覺得說
[51:50] 不然就來簽字
[51:51] 討論一堆有的沒有的屁
[51:52] 討論啥小
[51:53] 可是其實後面冷靜下來
[51:55] 都會覺得這不是好事情
[51:56] 所以我給大家一個建議
[51:57] 就不管你做什麼樣的判斷
[51:58] 不要在你生氣的時候下判斷
[52:00] 生氣的時候下的判斷
[52:02] 一堆堆後悔
[52:03] 大概這樣
[52:03] 拜拜
