[00:00] 欢迎收听谷外,我是孙梦宫,本期节目由米红米红生医赞助
[39:50] 就是这种奇迹的发生
[39:51] 我现在很喜欢这种奇迹发生
[39:52] 特别是关于小孩子
[39:53] 希望这个孩子可以顺利健康的长大
[39:57] 成为这个善化之王
[39:58] 下面一位
[39:58] 快乐宝贝大韭菜
[40:00] 感恩爱您
[40:01] 安安主委
[40:01] 想请问您搬到林口之后
[40:04] 有没有爬过观音山
[40:05] 观音山上有个硬汉岭
[40:07] 是否身为猛男硬汉
[40:09] 就是要上去一趟
[40:10] 那想跟您说
[40:11] 上面的风景很好
[40:12] 尤其是出海口方向
[40:13] 本来空荡荡的地方
[40:14] 现在有了淡江大桥
[40:16] 那以后就是去林口更方便了
[40:18] 知道QA跟您一直聊股票
[40:20] 您一定会觉得烦
[40:21] 所以聊聊日常感恩爱您
[40:22] 对没错
[40:23] 就是股票回答久了
[40:24] 是真的还蛮烦躁
[40:25] 但你会注意到说
[40:26] 像前面的几集又聊股票
[40:28] 我都可以回答他们
[40:29] 那差别在哪
[40:30] 差别在于说
[40:31] 我觉得文字是有力量的
[40:32] 不管你是用留言的
[40:34] 还是用讲话的
[40:35] 其实特别是我们长时间去跟这些东西相处之后
[40:39] 我认为我已经可以感受得到你是想要干嘛
[40:42] 所以很多其实就是简单来讲
[40:44] 他不胜被套
[40:45] 然后他就要跑来问你说发生什么事情
[40:46] 那像举例来说
[40:48] 前阵子不是有些人会只去问一些特定的标的吗
[40:50] 你知道为什么吗
[40:51] 因为那时候那个标的要回答
[40:52] 可是那个标的下在新高了
[40:54] 新高的时候这些人就不见了
[40:55] 所以你就会觉得说
[40:56] 其实在我们的角度是会觉得说
[40:58] 那我一毛都没有跟你收
[40:59] 我如果没有跟你讲这些产业资讯
[41:01] 你根本不可能知道
[41:02] 就是都是我讲完之后
[41:03] 你才在报纸上或是哪里看得到
[41:05] 那你已经因为这样子
[41:06] 你捡到一些产业资讯
[41:08] 你因为这样子
[41:09] 你有赚到一些钱
[41:10] 然后回档
[41:11] 你开始在那边干干叫
[41:12] 我去扛你的心理压力
[41:14] 就是你为什么要把你的东西
[41:15] 抹掉我身上
[41:16] 像我会这么一直跟他讲说
[41:17] 那个东西怎么了
[41:18] 公司在干嘛
[41:19] 我都不会做这种事
[41:20] 因为我觉得只有
[41:21] fucking loser会做这种事情
[41:22] 可是QA就是一个
[41:24] 怎么讲
[41:24] 简单讲说我生活之中
[41:25] 其实遇不到这些人
[41:26] 因为跟我是不同位阶的人的
[41:28] 可是因为这个地方
[41:30] 它有点像是一个town square
[41:31] 所以大家都可以进来
[41:32] 所以我会去接触到一些
[41:33] 就是我平常根本就
[41:34] 我根本不会跟你对话的人
[41:36] 我只要你开口跟我讲之后
[41:38] 我就知道说你没料
[41:39] 我根本不可能跟你讲话
[41:40] 可是因为QA
[41:40] 我们就是那种服务学习的态度
[41:42] 所以我会去念
[41:43] 所以念久之后
[41:44] 我脑中就会产生一种
[41:45] 那种很反感的感觉
[41:46] 因为我知道问问题的
[41:47] 这个人脑子不好
[41:48] 所以我就觉得回答得很辛苦
[41:50] 但你会注意到
[41:51] 像有些他一样是在问股票
[41:52] 可是为什么
[41:53] 我不会有那种烦躁的感觉
[41:54] 因为我知道
[41:54] 他是像是那种大学宿舍
[41:56] 或者说他自己可能
[41:57] 也是做的还OK
[41:58] 然后大家是来讨论的
[41:59] 这个就不会有问题
[42:00] 所以一般我可能
[42:01] 很反感的東西
[42:01] 大家去注意都會有一定的pattern
[42:03] 他們其實都是同一類型的人
[42:05] 所以我就知道說
[42:06] 你們這些人就是很煩
[42:07] 所以我就不想屌你
[42:08] 大概講的對
[42:09] 我確實是蠻喜歡在QA去
[42:11] 看看大家的什麼家人
[42:13] 或是發生的一些事情
[42:14] 工作上或什麼這個蠻有趣的
[42:15] 因為股票
[42:17] 甚至很多時候我會想這樣子講的
[42:18] 就像我們自己身邊有些朋友
[42:20] 你知道他們可以第一線知道我在幹嘛
[42:21] 我會跟他們分享或什麼的
[42:23] 有些真的覺得他媽的超爛
[42:24] 就怎麼教都教不會
[42:25] 你給他點了N次
[42:26] 他媽的點都點不會
[42:28] 有些像有一個
[42:29] 以前跟我一起滑板的朋友
[42:30] 他也是有在听我节目
[42:32] 然后听到他会自己跑来
[42:33] 我会觉得很怪
[42:34] 因为我跟你认识这么久
[42:35] 他现在有点像说
[42:36] 变成是听众
[42:37] 他就说谢谢你的节目
[42:38] 然后他现在可能在股票
[42:40] 就超级会撸
[42:41] 所以那个某个程度上
[42:42] 我觉得也是有一点
[42:43] 就是说不会的就是不会
[42:45] 但是你不会也没有关系
[42:47] 我就跟你讲说
[42:48] 你可以去买指数
[42:49] 你买指数你就吊打一堆
[42:50] 自以为很会的
[42:51] 可是你又不愿意
[42:53] 然后你要去
[42:54] 自己在那边撸半天
[42:55] 撸不出来
[42:55] 然后又一直跑来问为什么
[42:56] 没有为什么
[42:57] 就是你不适合而已
[42:58] 就像是不知道
[42:59] 你慢慢想去追一个女生追不到
[43:00] 你也不用一直问一堆
[43:01] 人家不喜欢你而已
[43:02] 很多人就搞不清楚这一点
[43:04] 所以我一直来
[43:04] 所以我就觉得好烦好烦这样
[43:06] 所以非常感谢大家
[43:07] 跟我聊一点不一样的东西
[43:09] 这也是我比较需要的
[43:10] 可能有空去爬看看
[43:12] 因为讲的是硬汉林
[43:13] 身为硬汉一定要上去踩一下
[43:14] 下面一位汤菜菜
[43:16] 哦吼哦吼
[43:17] 留言密码两边都抓不到
[43:19] 健康最重要
[43:19] 在近期同事二宝出生之后
[43:21] 特别有感
[43:21] 宝宝刚出生就在家户病房
[43:24] 想借孟公庚身后的观音断
[43:26] 祝福哦吼想一家一切平安
[43:29] 健康快乐平安顺利
[43:30] 就请他先考个十万块限计
[43:32] OK那就希望这个
[43:35] 二宝可以顺利的度过
[43:38] 家务病房这一段
[43:38] 那这个其实我也是非常有画面
[43:40] 因为那时候到台大
[43:41] 好像七楼还八楼吧
[43:42] 那一边就是要观察的baby
[43:45] 然后一边是家务病房
[43:46] 非常严重的baby
[43:47] 那我就想说
[43:48] 我儿子是在观察的那一边
[43:50] 我就已经觉得说心情很差了
[43:51] 那我无法想象
[43:52] 在家务病房的那些家长
[43:54] 在想什么
[43:55] 所以希望大家都可以
[43:56] 这个顺利的度过
[43:57] 这个观念导爱会去支援一下
[43:58] 下面一位
[43:59] 王守大人
[44:00] 我好像追上他们
[44:01] 哈哈哈哈笑死
[44:03] 猛攻前几集有提到
[44:04] 跟A君说明
[44:05] 3月31号第一次掉下去
[44:06] 拉起来没有动
[44:07] 第二次软就要先砍
[44:08] 避免未来出不掉
[44:09] 那这边这串可以分享一波吗
[44:11] 像第一次掉下去再拉
[44:13] 这是指盘中的走势
[44:14] 还是一段日K的走势
[44:16] 像这个的话
[44:17] 它是盘中的走势
[44:18] 简单讲就是说
[44:20] 因为我们去买的一些标的
[44:22] 我们会
[44:23] 我们不会在某一天
[44:24] 就直接把东西买满
[44:26] 这个以我自己的习惯来讲
[44:27] 我比较不会这样做
[44:28] 所以一般我就是买了之后
[44:30] 然后你有持续的走出去
[44:31] 或者说你是横
[44:32] 但是那个趋势没有改变
[44:34] 均线往上的时候
[44:34] 你碰到我再点上去
[44:36] 我就一直加加加加加
[44:37] 所以会加到后来你的部位都会变到
[44:40] 就单一持股可能会甚至跑到二三十%左右
[44:42] 你本来你买的时候可能只有三%
[44:44] 或者说两%更少的资金
[44:46] 然后就一直往上点到很多
[44:47] 当你今天可能多到某个程度
[44:49] 这个市值又是落在
[44:51] 以我的规模来讲
[44:52] 大概你是可能三五百亿以下的
[44:55] 那就有机会我会变成是
[44:57] 市场里面的最大分点
[44:58] 那当我自己变最大分点之后
[45:00] 就会产生的问题是
[45:01] 当然我愿意跟你做到最后
[45:03] 如果今天是美股的话
[45:04] 是这样子
[45:05] 那台股有些东西
[45:06] 我看了我也是很喜欢你
[45:07] 但是因为我是用交易的心态进来
[45:09] 所以甚至我自己还在抓这个平衡
[45:11] 就是有时候你用交易的心态进去
[45:13] 到底是不是真的是最好的事情
[45:14] 因为你回头一看
[45:16] 你很多
[45:16] 假设你那时候用投资的心态的话
[45:17] 你应该赚更多
[45:18] 这题外话
[45:19] 那反正总之就是
[45:20] 因为你的筹码实在是太多了
[45:21] 所以你会知道说
[45:22] 如果你今天要去出货的话
[45:24] 你没有在量够大的时候出
[45:26] 你后面会很难出
[45:27] 你就会卡住
[45:28] 你就要陪大家做到最后
[45:29] 可是你可能同时
[45:30] 机会成本之下
[45:31] 你有更多想买的东西
[45:32] 所以这种时候会怎么样
[45:33] 就是说
[45:34] 我很常会在节目讲一个
[45:36] 其实要讲的是无赖的话
[45:37] 就是你们要不要玩
[45:38] 你们不要玩是
[45:39] 你们不要玩的吗
[45:39] 我也不要玩
[45:40] 而且我一定跑得比你更快
[45:42] 我一定跑得比你更凶
[45:43] 因为我成本就比你低
[45:44] 所以当我注意到说拉起来
[45:46] 而且拉不是我拉的
[45:47] 可能是别人拉的
[45:48] 代表说OK
[45:48] 这个地方可能要守
[45:49] 要守我就愿意陪你搭车
[45:51] 因为我前面
[45:52] 我也是跟著大家在那邊往上推
[45:53] 我也是在那邊買市價
[45:54] 所以OK大家有一個共識
[45:56] 可是如果今天你拉起來之後
[45:58] 又再被往下灌
[45:59] 而且灌下去的量狗大的
[46:00] 我其實用屁股想要知道說
[46:02] 那可能是過去那幾天的籌碼要出來了
[46:04] 之類的
[46:04] 那我為什麼要讓你先跑
[46:06] 我要也是我先跑
[46:07] 我先跑然後你賣更低
[46:09] 我賣在-3%到5%
[46:11] 你給我賣跌停
[46:12] 你賣跌停
[46:12] 我還考慮把你的東西撿回來
[46:13] 爽
[46:14] 就是你要自殺的話
[46:15] 我再撿你的東西
[46:16] 所以他其實有點這樣的一個思維在陪我
[46:18] 因為你的東西太多
[46:19] 你就卡住了
[46:20] 所以你如果沒有卡住的話
[46:21] 你會無法理解說我講的這東西到底是什麼
[46:23] 但如果你有卡住的話
[46:25] 應該可以很容易的理解
[46:26] 簡單來講說你不跑的話
[46:28] 那別人就跑避免更快
[46:29] 你就是留在裡面洗碗
[46:30] 那當然洗碗也沒有什麼不好
[46:31] 因為很多時候像那時候講的那一檔
[46:34] 他在最後面殺下去之後
[46:36] 後來又再新高了
[46:37] 所以簡單來講就是說
[46:38] 那我也是賣了一些在類似半山腰的位置
[46:41] 可是沒有辦法
[46:42] 因為我們擔心的是
[46:43] 假設我真的完全被卡住的話
[46:44] 會出的一些問題
[46:46] 所以不能夠完全用事後論去看
[46:48] 但那個操作是沒有問題的
[46:49] 所以這邊簡單跟你分享一下
[46:50] 下面一位
[46:51] 鸡们的妈
[46:53] 我爱孟公
[46:54] 孟公孟公
[46:54] 想问你选得出
[46:55] 人生最喜欢的一道食物吗
[46:57] 只能选一个
[46:58] 剩鱼片
[46:58] 完全不用想
[47:00] 剩鱼片
[47:00] 顺便跟你说
[47:02] 我要选烧鲜草叶
[47:03] 想请孟公帮我祝今天生日
[47:05] 配词生日快乐
[47:06] 天天开心
[47:07] 一向请你帮我用安哥的声音
[47:10] 跟他的小宝贝说
[47:11] 懵懵要乖乖吃饭
[47:13] 健康长大
[47:14] 也祝孟公一家都平安健康爱你
[47:17] 目前安哥还走这样
[47:18] 然后手一直指
[47:20] 他整天都指
[47:21] 他會指揮你知道嗎
[47:22] 他會指說他要去哪裡
[47:23] 所以你把他抱起來
[47:24] 他就開始指他要去哪裡
[47:25] 他是很有足見的小孩
[47:26] 然後他如果指我的房間的話
[47:29] 他會跟那個巡弋導彈一樣
[47:30] 他會去鎖定他的目標
[47:31] 所以他先指我的房間
[47:33] 然後接著你往房間走的時候
[47:34] 他手就會開始順著
[47:36] 因為你在走道上走
[47:37] 那個電腦是中心點
[47:38] 他就順著這個中心點一直指
[47:39] 他就是要這個台電腦
[47:41] 他坐在電腦前面
[47:42] 所以他也不會講話
[47:43] 然後他講話的時候
[47:44] 才有辦法模仿
[47:45] 下面一位
[47:46] 七七我是小劉
[47:47] 五星吹捧情侶感情增溫好節目
[47:50] 你好
[47:50] 我的男友小陈是
[47:52] 挨大的忠实听众
[47:52] 只要是挨大在节目上提到
[47:54] 他都会挂在嘴边说
[47:55] 古爱有时候blah blah blah
[47:56] 那想借由这个机会
[47:58] 询问挨大和老婆的相处上
[48:00] 有没有曾经被教育的经验
[48:01] 能不能够传授几招
[48:03] 可以增进感情加温的方法
[48:05] 救救我的直男男友小陈
[48:06] 虽然挨大推广的做尿
[48:08] 他至今都还不愿意尝试
[48:10] 但我想挨大说的话
[48:11] 直男一定会比较有共感
[48:13] 且愿意听进去
[48:14] 那谢谢挨大
[48:15] 祝挨大一家平安健康
[48:17] 首先非常感谢你的祝福
[48:18] 然后再
[48:19] 其实我自己也不是说什么老婆狗
[48:21] 老婆讲什么我就提
[48:21] 没有很多时候
[48:22] 他跟我讲东西的时候
[48:23] 也是先吵架
[48:24] 只是我不会把吵架
[48:25] 那段刻意的拿出来跟他分享
[48:27] 我就跟大家讲说
[48:27] 我觉得老婆很judgmental
[48:29] 当我觉得他judgmental的时候
[48:30] 其实那就是代表说有吵架
[48:32] 因为他整天过场说
[48:33] 这个人又怎么样
[48:34] 那个东西又怎么样
[48:34] I fucking hate this tree
[48:36] I fucking hate that chair
[48:37] 什么就他就是
[48:38] 你知道他很有自己的想法
[48:39] 按照他的说法是说
[48:41] 因为他从小就是没有什么朋友
[48:42] 所以他坐在教室的角落
[48:43] 他就看心心色色的同学
[48:45] 在那边耍猴戏
[48:46] 所以久了他就有一个那种pattern recognition的感觉
[48:48] 那这一点他真的蛮厉害的
[48:50] 他就帮我识别出一些可能未来潜在的风险
[48:53] 所以久而久之我就会知道说
[48:54] 这个人讲话虽然不动听
[48:56] 但是我愿意听
[48:57] 外加我们自己的工作之后
[48:58] 我们非常乐意被打脸
[48:59] 因为对我们来讲我们就是在赚钱的
[49:01] 所以你打我脸我可以赚钱
[49:02] 那我何乐而不为
[49:03] 所以你不会觉得说自己都是对的
[49:05] 但当然我觉得人活到一定的年纪之后
[49:07] 一定会慢慢的越来越难被改变
[49:09] 不然就不会看到那种
[49:10] 整天在插队的阿姨都是那种五六十岁的
[49:12] 北歐亂放屁的都是那種六七十歲
[49:14] 放水屁什麼的
[49:15] 因為他們已經不去管
[49:16] 這個世俗在想什麼
[49:17] 甚至你會發現說
[49:18] 你不管你還過得更快樂
[49:20] 你幹嘛要管說你老婆想什麼
[49:21] 你幹嘛要管說別人怎麼想
[49:23] 你幹嘛要管說下一個用公廁的人
[49:24] 會不會聞到你屍很臭
[49:25] 所以你在裡面不敢出來
[49:26] 在那邊噴香水
[49:27] 你幹嘛管那麼多
[49:28] 你不要把屎拉在外面就好了
[49:29] 所以他會可能有這個想法
[49:31] 就是我不需要去做這麼多修正
[49:33] 我只要這樣子我可以生活就好
[49:34] 我又沒有真的尿到外面
[49:35] 他不想要做尿
[49:36] 你就跟他溝通
[49:37] 所以是想要的人要去溝通
[49:39] 就類似說是覺得家裡髒的人
[49:41] 你要去打掃
[49:42] 所以你要去跟他溝通
[49:43] 他說這個家可能怎麼樣維護可以更好
[49:44] 但你要去把自己
[49:46] 好就算你用降規也好
[49:47] 你要降到他聽得懂的一個位置
[49:49] 你知道是跟投票很像
[49:50] 很多人投書的時候就說
[49:51] 對面都智障
[49:52] 白痴還是這樣蓋
[49:53] 你越是這樣溝通
[49:54] 對面下次就硬要蓋對面
[49:55] 你媽我們自己打漏一直這樣
[49:57] 你越嗆我
[49:57] 你跟我講說怎麼樣是不是老子擺著
[49:59] 老子 AFK怎樣
[50:00] 反正看起來是你比我怕輸
[50:02] 我不怕
[50:03] 我這場遊戲沒打到我沒差
[50:05] 看起來投票是你比我怕輸
[50:06] 我盖谁老实讲我没差
[50:08] 你盖这个你觉得你有差
[50:09] 你会气
[50:10] 我看你气扑扑我会超爽
[50:11] 很多男生其实是这种心态
[50:13] 所以你真的要去跟他沟通的时候
[50:15] 你要让他觉得你们是同一队的
[50:17] 而不是说我在跟你讲怎么样做比较好
[50:19] 或者说那个羡慕公他听他老婆
[50:21] 没有羡慕公也没有听他老婆
[50:22] 羡慕公才不是老婆狗
[50:23] 你做什么
[50:23] 女人讲话你讲什么东西
[50:26] 没有但我不会真的这样
[50:27] 但我心态是这样
[50:28] 我一直说一公差小
[50:29] 我来我跟你讲道理是什么
[50:30] 只是我可能是
[50:31] 老婆你听我讲
[50:33] 我会比较温柔的方式
[50:34] 但有时候我被他压到受不了
[50:36] 我还是直接让他喷爆他
[50:37] 但最后面大家就会慢慢的
[50:39] 可能找到一些方向
[50:40] 所以我觉得沟通最重要的
[50:41] 真的是你要先把自己
[50:43] 放在对方的位置
[50:44] 不管是高或低
[50:45] 你要让他觉得说
[50:46] 这个人是愿意听你讲话
[50:48] 跟听得懂的
[50:48] 那你再去做沟通
[50:49] 可能会比较有效
[50:50] 而不是去拿什么谁
[50:51] 这个人会听他老婆来压他
[50:53] 即便是他喜欢的人一样
[50:55] 所以尽量还是要去改善
[50:56] 这个沟通的方式
[50:57] 会比较好一点
[50:58] 那再见
