[00:00] 欢迎收听谷爱,我是星梦宫,本期节目由ZZSleeper-2度两感忘忧枕赞助
[38:11] 如果今天去把我的想法强加注给你的话
[38:14] 你可能就是每天晚上都不用睡觉了
[38:15] 就像说你这三十几趴现金
[38:16] 你直接把它丢进市场里面
[38:18] 你可能晚上就会一直去想它
[38:19] 你可能就是白天上班的时候
[38:21] 就会想要把盘打开来看一下
[38:22] 因为你现在所有的身家都在里面了
[38:24] 可是對我來講
[38:25] 其實當然我是愛看盤的人
[38:27] 可是我知道我自己的心態
[38:29] 有一點那種死而算的心態
[38:31] 雖然我其實真的很難死掉
[38:32] 因為我不會算是相對分散但我知道就即便我今天可能被連續鎖個幾個諜體那就一起下去罵大家都死一起死到差你們要亂賣是不是沒關係大家也下去我還跟著一起鎖諜體就是我有一種那種反正老子命都不要
[38:44] 你要怎麼跟我玩那種感覺
[38:45] 所以我也覺得說我錢放在股票裡面沒有問題
[38:48] 只是當然不是每個人都是我這種心態
[38:50] 他就會覺得說他不想要在盤不好的時候
[38:52] 然後在那邊算說什麼
[38:53] 今天股票加滷蛋
[38:54] 如果說我今天有一筆餘裕的錢
[38:56] 像我自己身邊有些朋友是在每年年初的時候
[38:58] 他可能就先提領一部分就拿出來
[39:00] 這是我今年要花的錢
[39:01] 今年要花钱
[39:02] 所以他一整年都不用担心说
[39:04] 因为市场的变化
[39:05] 那他的生活的习惯
[39:06] 要去做一些改变之类的
[39:07] 那其实很多改变
[39:08] 也不一定说你真的穷或什么的
[39:09] 那就只是你的心态上就受影响了
[39:11] 所以其实整个资产配置
[39:13] 也要去考虑自己的心态
[39:14] 跟耐受度的问题
[39:15] 那我觉得如果你这样子做
[39:17] 没有问题
[39:17] 你不需要去做任何的改变
[39:19] 你真的不用去追求说什么
[39:21] 我这样子还不够
[39:22] 我这个现金要缩哈
[39:23] 甚至要杠上加杠
[39:24] 因为你缩哈之后
[39:25] 对你下一个问题就是
[39:25] 那你要不要去买什么正额
[39:27] 你要不去刚刚加工
[39:27] 那就是每个人
[39:28] 有不一样的一个选择
[39:30] 所以不要想太多
[39:31] 下面一位
[39:31] 别再叠了留言密码
[39:33] Test123
[39:34] 单身一阵子
[39:35] 最近交女朋友了
[39:36] 不过被PIP准备要裁员了
[39:38] 难道这就是等价交换吗
[39:39] 那感谢最美温文
[39:41] 不离不弃的陪伴
[39:42] 那梦龙去卡
[39:43] 可以帮我跟观音大爷许愿
[39:44] 如果面试上了
[39:45] 我就捐半个月的薪水
[39:47] 祝大家平安健康
[39:48] 那这个就是一定会上
[39:49] 那下面一位
[39:50] 台中男上加男
[39:51] 请问大家照顾小孩子
[39:53] 怎么拿捏买礼物的分寸呢
[39:54] 会有一种只要花一点钱
[39:56] 小孩就可以获得超大的快乐
[39:58] 但又怕宠坏
[39:58] 那另外想请问来
[40:00] 大家会不会觉得
[40:00] 买ETF赚钱的快乐感
[40:02] 远低于个股
[40:04] 好那首先那个买礼物那一块呢
[40:06] 是真的比较
[40:08] 怎么讲难以拿捏
[40:09] 就甚至是连我自己
[40:11] 最近都刚被我老婆臭干一顿
[40:13] 那大家都知道说
[40:14] 我会带我的儿子去打Mesa Star
[40:16] 那基本上就是
[40:17] 整天都在Mesa Star那边玩
[40:19] 有的没有的东西
[40:20] 那很多时候呢
[40:22] 我兒子他就說他今天可能遇到超夢
[40:24] 就是他裡面的卡片有分白卡跟黑卡
[40:26] 那黑卡就是比較好的
[40:27] 那孩子也都看得出來嘛
[40:29] 他覺得這很酷他想要
[40:30] 那他可能打這個機台
[40:32] 有時候會抓到
[40:33] 抓到你就感覺他非常的開心
[40:34] 可是有時候沒有抓到
[40:35] 一次沒有抓到
[40:36] 兩次沒有抓到
[40:37] 第三次可能就開始哭
[40:38] 爸爸我真的很想要這個什麼的
[40:40] 為什麼這機台這麼壞
[40:41] 為什麼他不給我
[40:42] 你還要教他說不可以對機台生氣
[40:44] 那所以這時候就想要給他一個驚喜
[40:46] 就是去買他想要的那個卡片給他
[40:48] 那後來你看到你買這個卡片給他
[40:50] 你想到一個卡片
[40:51] 正版的也就几百块
[40:52] 就是你用课金去找玩家买
[40:54] 就这么便宜
[40:54] 所以我就很常一直买给他
[40:56] 他看到贾赫仁
[40:57] 我买给他
[40:57] 他看到那个menu上面
[40:59] 有一些卡片
[41:00] 他没有看过的
[41:01] 即便这个机台对战
[41:02] 也都没有遇到过
[41:03] 但因为他看到
[41:04] 他知道它的存在
[41:05] 他说他要
[41:05] 我就一直都会买给他
[41:06] 那以前都是可能两张
[41:08] 两张这样子卖
[41:09] 我也没有想太多
[41:10] 然后后来有一次
[41:11] 我们跑去加尔福那边的机台打的时候
[41:13] 然后遇到一个老哥
[41:14] 那个老哥一看到就知道说
[41:16] 就很像那种台北地下街
[41:17] 很有个性
[41:18] 他自己在他自己的世界里面
[41:20] 你在台北地下街看到那種戴手套那邊玩音樂機台的
[41:23] 然後那個老哥就是戴一個全罩式的那種耳機
[41:25] 一個人在靠兩個機台
[41:27] 我那時候還想說我在那邊排隊他會不會讓我玩
[41:30] 他會不會不讓我玩之類
[41:31] 因為他已經進入他自己的一個絕對領域之類
[41:34] 但他很nice
[41:35] 他還是用斜眼看到我們
[41:36] 然後就OK時間到他讓我兒子打
[41:38] 那我兒子打一打之後
[41:40] 他把那個卡牌拿出來
[41:41] 然後他看到他就說
[41:43] 怎麼全部都是黑的
[41:44] 你的卡都很好
[41:45] 爸爸你看看我這邊
[41:46] 他就把那個卡打開
[41:47] 他說我這邊有很多卡
[41:49] 因為我每天都在打
[41:50] 我已經花了可能好幾萬在上面
[41:51] 有時候我想要回一點
[41:52] 我這都是正版的
[41:53] 結果我都有裝保護套
[41:55] 不然他可能缺什麼
[41:56] 你就從我這邊買
[41:57] 我可能會賣的比較貴一點
[41:59] 但我一定都是正版的
[42:00] 然後我說你要賣多少錢
[42:01] 然後他跟我講
[42:02] 我還要人數不效你知道嗎
[42:03] 他說他什麼比較貴一點
[42:05] 你賣我十幾張黑卡
[42:07] 然後才什麼幾百塊
[42:08] 你知道我在網路上買那一張就三五百塊
[42:10] 甚至最貴的會到一千塊
[42:11] 然後他那個我一看
[42:12] 就知道是正版的
[42:13] 他賣了一個超級便宜的價格
[42:15] 我還要人數不效
[42:15] 我還要跟他說不用找了
[42:17] 這個你真的太好了
[42:19] 那就是因为说这个人很nice
[42:20] 然后他又卖得很便宜
[42:21] 所以我就一直扫台吧
[42:23] 所有的黑卡
[42:24] 甚至他有的
[42:25] 因为他有时候会弄不见
[42:26] 像他上次那个贾赫人王弄不见
[42:27] 在那边一直念念很久
[42:28] 我就把他所有黑卡
[42:30] 他妈直接全包
[42:31] 然后回来我就跟我老婆说
[42:32] 你看全部都买给他了
[42:34] 你看他现在是黑卡富翁什么
[42:36] 然后老婆就直接面不改色的
[42:38] 就喷我说
[42:39] 你小时候
[42:39] 如果你爸爸这样子做的话
[42:40] 你就失去一切的快乐
[42:42] 我才意会到
[42:43] 对我确实也在我的节目
[42:44] 跟大家分享过
[42:45] 就是像甚至是前一两集
[42:48] 那时候聊到那个民道讲的
[42:50] 他说他从可能没有钱
[42:51] 到有钱那个阶段是最快的
[42:52] 这是真的
[42:53] 就是你自己终于有办法去
[42:55] 靠自己赢得一个东西
[42:57] 像我那时候去打工
[42:58] 我赚到第一笔钱
[42:59] 我买了一把泰勒的吉他
[43:00] 18000就是Taylor Baby
[43:01] 小台的
[43:02] 那个我到现在都记得
[43:03] 但不知道
[43:04] 我就身为一个霸物团
[43:05] 觉得我很糟糕
[43:06] 因为他这些东西
[43:07] 他觉得说你有跟我要的话
[43:09] 我给你可能可以
[43:10] 我就一个一个给
[43:11] 你有好表现我给你
[43:12] 我认为这是OK的
[43:13] 所以这位听众
[43:14] 如果他有跟你要
[43:15] 他要很久
[43:16] 他有好表现
[43:17] 你给他一个可以
[43:18] 可是千萬不要自作多情
[43:20] 跟不知道就是太over
[43:21] 然後直接把一整套就說
[43:23] 爸爸知道還有更酷的全部給你
[43:25] 因為這個遊戲對他來講
[43:26] 可能意義就不大了
[43:28] 就是他可能現在就只會追求說
[43:29] 他只要這個黑色的卡片
[43:30] 而不是去玩遊戲
[43:31] 然後去擊敗王
[43:32] 拿到卡那樣的一個感受
[43:34] 所以這個真的要非常的注意
[43:36] 因為我老婆提醒我之後
[43:37] 我才想到我自己在節目
[43:38] 跟大家講過這件事情
[43:38] 我怎麼自己就忘記了
[43:39] 因為那時候可能只是遇到一個
[43:40] 熱心的買家又賣點便宜
[43:42] 我就全收包鬼
[43:44] 可是我不知道
[43:45] 我這個可能會破壞孩子的一些
[43:46] 我觉得他那个脑回路
[43:47] 都会受我影响
[43:48] 那所以以后
[43:49] 我会非常的小心
[43:50] 就确实就是
[43:50] 他有跟你要
[43:51] 要很久
[43:52] 那透过好的表现
[43:53] 可以获得
[43:54] 我觉得这样就很OK了
[43:55] 然后再讲说
[43:56] 会不会觉得买ETF
[43:57] 赚钱的快感
[43:58] 原地于个股会
[43:59] 所以其实我自己个人
[44:00] 是还蛮喜欢交易的
[44:02] 就算你可能今天跟我讲说
[44:04] 买某些东西
[44:05] 你放着
[44:06] 那那个绩效
[44:06] 不会输给我自己交易
[44:08] 我觉得我还是会自己交易
[44:09] 就是那是
[44:10] 怎么讲
[44:10] 就赚钱绝对是最重要的事情
[44:12] 可是对
[44:12] 研究产业
[44:13] 好玩
[44:14] 抠公司
[44:15] 认识一些
[44:16] 交易圈的朋友
[44:16] 我觉得还是蛮有意思的
[44:18] 所以那个是个人一个取舍
[44:20] 我确实想法是这样
[44:21] 没错
[44:21] 那下面一位
[44:22] 永静谢信达助世界永静
[44:25] 然后上面放三个水果的emoji
[44:28] 第一个什么
[44:29] 第一个青椒吧
[44:30] 第二个是椰子
[44:31] 椒椰
[44:32] 第三个是樱桃
[44:33] 椒椰桃
[44:35] MK爱宁
[44:35] 那上面是我不爱吃的蔬菜
[44:37] 就这样
[44:37] 我还以为他要留什么暗号
[44:40] 给我之类的
[44:41] 那下面一位
[44:41] Daniel19
[44:43] 留言给符合国中的李同学
[44:45] 认识了20年的老朋友
[44:46] 今天是生日
[44:47] 真的要祝你生日快乐
[44:48] 感谢孟公
[44:49] 让多年后重聚的我们
[44:50] 聊到彼此的近况的时候
[44:51] 那好同学透过你的节目
[44:53] 这几年的遭遇
[44:54] 还有公司都聊落直掌
[44:56] 那只因为这家公司
[44:57] 在国外的节目
[44:58] 有认真的提到
[44:59] 没有想到透过孟公
[45:00] 可以让我们多年后见面
[45:02] 一点都不陌生
[45:03] 孟公到底是怎么样
[45:03] 神奇魔法
[45:04] 哈哈谢谢孟公
[45:05] 李同学生日快乐
[45:06] 可以唱个生日快乐给我们
[45:07] 祝你生日快乐
[45:08] 祝你生日快乐
[45:09] 祝你生日快乐
[45:10] 对就是我们的节目
[45:12] 我觉得蛮有趣的一点是
[45:13] 蛮多听众都会跟我们说
[45:15] 这边有点像是一个
[45:16] 就是对他们来讲
[45:18] 有点像对答案
[45:19] 因为蛮多人
[45:20] 就像说我们聊到的一些IC Design
[45:22] 一些Fab
[45:22] 然后或者是一些零组件
[45:23] 他们在里面是做某个Project
[45:25] 然后他也知道说
[45:26] 这个东西量很大
[45:27] 然后Colonian是什么
[45:28] 可是他不知道它的终端是什么
[45:29] 然后在我们这边就
[45:30] 黄蓝大雾
[45:31] 突然知道是什么东西这样子
[45:32] 那也有人会在我们节目
[45:33] 听到一些东西之后
[45:34] 然后就跑去投履历之类的
[45:36] 所以对这个节目
[45:37] 确实有时候会有一些
[45:38] 意外的发展
[45:40] 那可以让大家充温旧梦
[45:42] 我觉得也是挺好的
[45:43] 祝大家生日快乐
[45:44] 那下面一位
[45:45] W底线YUNC
[45:46] 让老婆不再厌恶公仔的方法
[45:49] 上一集听MK大在讲
[45:50] 老婆一直觉得公仔有东西
[45:51] 于是我就在IG私讯留言
[45:53] 希望可以帮得上忙
[45:54] 谢谢MK大在节目上
[45:55] 对股市的分享
[45:56] 让我这个小白受益良多
[45:57] 非常感谢
[45:58] 只是呢
[45:58] 这个IG的私讯
[46:00] 是真的还蛮多的
[46:01] 特别是有时候去po一些
[46:02] 这个超级便便便的
[46:04] 一堆人都
[46:05] 整天tag我什么
[46:06] 那个谁又像你
[46:07] 那个谁又像你
[46:08] 反正长得像gay
[46:09] 那种最典型的装甲车给
[46:11] 就是比较
[46:12] 有一点也不一定白白
[46:14] 就肉肉胖胖有流胡子的
[46:15] 然后可能剃个什么寸头之类的
[46:18] 每个人都会tag我
[46:19] 然后这种都是
[46:19] 我只要把它转发
[46:20] 都超多人会留言
[46:22] 一直在那边笑
[46:22] 我可能发现
[46:24] 我也蛮喜欢给人家笑的之类的
[46:25] 所以就蛮了解
[46:26] 但总之就是被洗掉了
[46:27] 所以就那个
[46:28] 我应该是没有办法找到
[46:30] 但非常感谢你的建议
[46:31] 下面一位
[46:31] 安妮塔物
[46:32] 好运喷发到月球
[46:33] GOGO
[46:34] 首先先感谢
[46:35] 孟公有这个平台
[46:36] 去年的时候留言成功
[46:37] 今年一定要留言的
[46:38] 祝福好友甜牛奶
[46:39] 5月14号生日快乐
[46:41] 好运爆棚
[46:41] 那今年一起去了富士山
[46:43] 晚上一起聊天吃饭的日子
[46:44] 想到都觉得很开心
[46:45] 让我们一直开开心心的胡闹下去
[46:48] 我希望你们平安幸福
[46:49] 下面一位
[46:49] Yukita Malai
[46:51] 优质好节目
[46:52] 五星好评奉上
[46:53] 感谢孟宫无色分享
[46:54] 让我跟着赚钱
[46:54] 借助林口孟宫好人气
[46:56] 目前跟老婆积极备孕中
[46:57] 祝我们有天可以加入捏卵联盟
[47:00] 谢谢
[47:00] 今晚受孕
[47:01] 下面一位
[47:02] 想留言成功的人
[47:04] 孟宫大我爱你
[47:06] 那亲爱的孟宫你好
[47:06] 我是名字前面跟你一样
[47:08] 又是同样星座的小人
[47:10] 那每次看到你这么厉害
[47:11] 我都与有荣焉
[47:12] 孟公大是我的偶像
[47:13] 我的小孩两岁半是女儿
[47:15] 这个不一样
[47:16] 那这次听你
[47:17] 每次听你分享家长文都很有感触
[47:19] 非常感谢你的分享
[47:20] 今天是我第一次留言
[47:21] 希望可以成功的念出
[47:22] 今天留言是希望孟公大帮我相关
[47:25] 大哥许愿
[47:26] 今天可以考上正式的教程
[47:28] 这样就可以专注的陪伴小孩了
[47:29] 如果我能够考上今年的正式教程
[47:31] 我会捐出我一个月的全心
[47:33] 给失亲儿机构跟浪浪机构
[47:36] 希望孟公帮忙转达爱您
[47:39] 后面一个三
[47:40] 这个不用转达
[47:40] 因为就坐后面就有听到
[47:42] 如果大家觉得观音很理念的话
[47:44] 不知道你们各地有观音庙
[47:46] 观音是很神通的
[47:47] 你搞不好找在地的观音庙
[47:49] 也可以处理
[47:49] 希望你会上教证
[47:51] 下面一位
[47:52] 与Sandy老师分手的晕船仔
[47:55] 兄弟的小三们
[47:56] 希望我的兄弟们
[47:58] 都可以跟小三好好的在一起
[47:59] 常常看到我的兄弟们
[48:01] 跟小三吵架
[48:02] 我很难过
[48:02] 少子你们可以不要再吵架了吗
[48:04] 想请孟公大助
[48:05] 我的兄弟们都能够跟小三好在一起
[48:07] 不要一直吵架
[48:08] 朱孟公每次坐电梯都没有别人
[48:10] 这个祝福真的蛮需要的
[48:12] 我是真的听到后面有脚步声
[48:13] 赶快一直狂按关门那一种
[48:15] 然后如果说对方加速赶上
[48:16] 然后被对方对到眼睛的话
[48:18] 我还是会把门按开
[48:19] 可是我心中是死灰的感觉
[48:21] 你好你好
[48:23] 好 当然就赶快关门
[48:24] 或甚至是我有时候看到电梯已经在移动了
[48:26] 你知道我就在想说
[48:28] 我就不会去按下楼
[48:29] 就像说电梯从楼上下来
[48:30] 我不会去按下楼
[48:31] 因为我知道这电梯里面可能有人
[48:33] 即便他有可能是要下去接人上來的
[48:35] 但我就知道可能有人
[48:36] 我就是不要按
[48:36] 為什麼這麼多人喜歡
[48:37] 你看到我下樓上就跟人家按下樓
[48:39] 我現在講的不是說那種辦公室
[48:40] 因為辦公室電梯沒有辦法
[48:41] 那個就大家在進出
[48:42] 就家裡的電梯
[48:43] 不知道我都會閃人家
[48:44] 可是好像很多人都不閃
[48:46] 下面一位
[48:46] 林口大吉吉
[48:48] 夢工好帥
[48:49] 嗨夢工
[48:49] 請問對於SNDK財報以及未來的展望
[48:51] 有什麼看法
[48:52] 中間被洗出去過
[48:53] 這個記憶體沒有什麼好講
[48:54] 記憶體就是非常好
[48:55] 他就是非常好
[48:56] 那只是在前面
[48:57] 你也知道說
[48:58] 就是台灣或者說美國的記憶體
[48:59] 那时候都遇到一些
[49:00] 怎么讲
[49:01] 就开始大家会传一些逆风
[49:02] 是不是价格已经涨了
[49:03] 或什么的
[49:03] 所以那时候股价表现也不好
[49:05] 然后就有很多股市在那边运作
[49:06] 只是后来下
[49:07] 美国都全部涉出去
[49:08] 那台湾呢
[49:08] 我感觉是在涉出了边缘
[49:09] 那记忆体的各种展望
[49:11] 跟目前的情况
[49:12] 都还是好的
[49:13] 那只是当然
[49:14] 这股价已经反映到哪
[49:15] 我不知道
[49:15] 那我自己本身
[49:16] 现在记忆体
[49:17] 我也只是在那没光
[49:18] 那台股我早早就被洗掉了
[49:20] 那希望你可以继续搭车快乐
[49:21] 下面一位
[49:22] Nicole Lin
[49:23] 五星吹吹留言成功
[49:25] 男友陈伯道70岁
[49:26] 猛攻大大您好
[49:27] 我跟男友都是公务员
[49:28] AK你的忠实听众
[49:29] 那谢谢猛攻的节目
[49:31] 让我们在股票操作上
[49:32] 越来越有心得
[49:33] 就是希望你可以用川普的声音
[49:34] 帮我跟男友说
[49:35] 不是啊
[49:36] 这太难了啦
[49:36] 焦虑的时候多想想
[49:37] 我不要再把自己的手
[49:39] 抠到破皮
[49:39] 不然即便到加勒比海
[49:41] 靠靠手感也会不好
[49:42] 那就你帮他靠
[49:44] 然后说最后
[49:45] 祝您一家大小与狗狗
[49:46] 都平安健康
[49:47] 绩效大爆色
[49:48] 那希望这两位朋友呢
[49:50] 可以这个透过投资呢
[49:52] 那最后面就快乐到加勒比亚上面去
[49:54] 因为上次已经跟大家分享
[49:55] 我现在的人生目标
[49:56] 又稍微有点改变了
[49:57] 我不会觉得说
[49:58] 我想要去加勒比亚考枪
[50:00] 即便那曾经是我讲过的话
[50:01] 但我能够说
[50:02] 随着人生阶段的改变
[50:03] 一些事情真的会慢慢的改变
[50:04] 以前你想的是这样
[50:05] 你的梦想的那种样态是这样
[50:08] 可是你到某个时间点
[50:10] 你发现一下样态又不一样
[50:11] 那我昨天跟几个
[50:12] 这个投资的好朋友吃饭
[50:14] 那我们就有聊到说
[50:15] 因为有一位朋友
[50:17] 他现在在学黑管
[50:18] 我觉得蛮有意思的
[50:19] 就是这个也是
[50:21] 我现在想要努力的一个方向
[50:22] 不然说去学一点点的红酒
[50:24] 我是没有去上手评酒科
[50:25] 但是我就是直接就砸钱
[50:26] 然后反正你们讲的屌
[50:27] 我就一直去喝
[50:28] 一直去喝
[50:29] 那像这个我就还蛮喜欢的
[50:31] 然后跟一直去打网球
[50:32] 我也喜欢
[50:32] 然后跟一下教练的这个宽关节
[50:34] 那当然可能太全的时间
[50:36] 就被我排挤到
[50:36] 因为人的时间是有限
[50:37] 但其实我还蛮喜欢
[50:39] 这种有累积感觉的东西
[50:40] 因为我们昨天就聊到说
[50:41] 其实你后来发现说
[50:42] 这个时代的大家
[50:43] 其实生活都过得还蛮不错的
[50:45] 就是你真的要用砸钱买东西的话
[50:46] 其实你怎么讲
[50:47] 就只是纯久跟纯短的一个差别
[50:50] 大家都可以办到
[50:51] 那唯一一个难以取代
[50:53] 然后更让自己会很有踏实感
[50:54] 不会觉得说很容易被实在洗掉的东西
[50:56] 就是累积到自己身上的东西
[50:58] 所以家会一直想去做一些
[50:59] 累积到自己身上的东西
[51:01] 而不是某一种就是直接
[51:02] 怎么讲就是说很直率
[51:06] 然后跟很明显的一种心态
[51:08] 就像说加勒比亚考详
[51:09] 你就是有钱就可以办到
[51:11] 对吧
[51:11] 那可是你把网球打得很好
[51:13] 你把黑管吹得很好
[51:15] 你学会sax风
[51:16] 你学会调酒
[51:17] 你學會什麼
[51:18] 那個是你不一定是砸錢就會辦到
[51:20] 那需要持之以恆的練習跟品味的累積
[51:22] 所以現在很注重這種累積的東西
[51:25] 但這是我的改變
[51:26] 我不確定大家是不是這樣
[51:27] 那還是祝你可以在加勒比亞打槍順利
[51:29] 拜拜
