[00:00] 欢迎收听谷外,我是星梦宫,本集节目由NordVPN赞助
[39:46] 大家不一定知道我在干嘛
[39:47] 因为那个是G.I.J.O.
[39:48] 就要跑去跟一只狗狗讲话
[39:49] 说欸
[39:50] 然后那只狗狗
[39:51] 我刚刚那个是G.I.J.O.
[39:54] 但对啊
[39:54] 现在大家可能已经不知道
[39:55] G.I.J.O.是什么
[39:56] 所以可能只有我觉得好笑
[39:57] 然后没有人觉得好笑
[39:58] 然后她老公就觉得说
[39:59] 你怎么会推荐我
[40:00] 来听这么糟糕的人的节目
[40:02] 所以为了去弥补这一段
[40:04] 我们还是来想一下
[40:05] 要怎么样有一个这个胎教的东西
[40:06] 可是我真的没有办法去汪说
[40:08] 祝你生日快乐
[40:09] 其实可以
[40:12] 其实可以
[40:13] 但Choco不是这个声音
[40:13] Choco的声音蛮凶魂的
[40:14] 那个太难学
[40:15] 没有办法
[40:16] 那还是希望你生日快乐
[40:17] 那希望这个老公也会喜欢这个节目
[40:19] 下面一位
[40:20] Mr.Fish
[40:21] 梦宫Chica
[40:22] 无安
[40:22] 潜水许久第一次留言
[40:23] 想请你帮我跟女友Joy说
[40:26] 赶快投履历了
[40:27] 不要再修作品集了
[40:28] 你很棒
[40:28] 大家都说Fake it till you make it
[40:30] 他都会担心没有符合JD的需求
[40:32] 但我都跟他说先投了再说
[40:34] 那另外祝孟公全家平安
[40:36] 身体健康爱你
[40:37] 其实我真的蛮喜欢Fake it till you make it
[40:39] 但是Fake it till you make it
[40:40] 并不是说你去假装成为你自己不是
[40:42] 而是说你就试着从模仿开始
[40:45] 反正总之先把自己先稍微的去假想成
[40:49] 就如果说要去取得这个工作
[40:50] 它该会是什么样的样子
[40:52] 然后接着你就不要想太多
[40:53] 因为我曾经在网上看到一个说法
[40:55] 我觉得蛮有趣的
[40:56] 就像说你今天有办法被邀请到一个会议室去做面试的话
[40:59] 其实你已经是相对来说
[41:01] 击败非常多人了
[41:03] 你才有办法坐在那边
[41:04] 所以当人家来问你意见的时候
[41:05] 你就不要害怕就勇敢的回答
[41:06] 因为你光是可以坐在这边
[41:07] 你就已经是被选到
[41:09] 你光是有资格去投的话
[41:10] 你可能就已经是跟别人拉出一段差距
[41:12] 所以不要想太多
[41:13] 有时候你精心准备的东西
[41:14] 大家不一定会喜欢
[41:15] 类似有些节目
[41:16] 我自己是觉得说
[41:17] 可能这一集我真的是呕心沥血之中
[41:19] 非常多研究
[41:20] 非常多的东西都注入进来
[41:22] 就大家最喜欢我后面可能学狗叫的部分
[41:24] 所以会有这样子的前行发生
[41:26] 你无法去想象的一些状况
[41:28] 都是有机会会产生的
[41:30] 然后再来就是你可能也不一定会遇到
[41:32] 能够去欣赏你的人
[41:34] 或是说你可能在最没有预期的地方
[41:36] 遇到一个超级欣赏你的人
[41:38] 所以真的不要想太多
[41:39] 反正我觉得生命就是
[41:41] 你只要尽力过后之后就可以了
[41:43] 就是相信好事都会发生
[41:44] 下面一位陈薇薇薇
[41:46] 嘿梦工老哥最近把老板开除了
[41:49] 正在跑步机上看着股票市场的获利
[41:51] 想到今天刚好礼拜三来留言看看
[41:53] 谢谢孟公老哥
[41:54] 无私分享股票资讯给大家参考
[41:56] 感谢爱宁
[41:56] 什么时候会来台中办粉丝见面会
[41:58] 看到大家能够在林口跟金城武合照
[42:00] 有点羡慕
[42:01] 希望也可以在台中偶遇
[42:02] 帮评我的大头贴的猫
[42:04] 可爱吗
[42:04] 1-10分
[42:05] 注意加
[42:05] 平安
[42:06] 感谢爱宁
[42:07] 9分吧
[42:10] 那个领巾蛮可爱的
[42:11] 可是长得有点像AI的照片
[42:13] 这是一只好猫
[42:14] 虎斑猫
[42:15] 那台中的话
[42:16] 对偶尔会去一下
[42:17] 因为我姐姐住在台中
[42:18] 所以我是每次可能要去经过一下
[42:19] 都有遇到地方听众
[42:21] 下面一位
[42:21] Natasha
[42:23] 感谢猛公大的优质好节目
[42:25] 最近养了一只小狗
[42:26] 才觉得不是狗陪我们
[42:27] 是我们也要陪狗呢
[42:29] 所以想问猛公
[42:30] 出国玩的时候会想念秋口吗
[42:31] 遛狗会遇到露营怪人
[42:33] 有够气
[42:34] 然后猛公可以帮我说服一下
[42:36] 我老公医美不是坏东西
[42:37] 请让我花吗
[42:38] 保养品化妆品头发都可以的
[42:41] 好男人在全面有点啊
[42:43] 那最后拜托再安抚一下
[42:45] 所得税50万赌篮的我
[42:47] 我知道人外有人
[42:48] 但还是觉得很靠杯
[42:49] 真的没念到这则留言的话
[42:50] 我回家就约老公修干
[42:52] 老公今天晚上有福了
[42:53] 那再来
[42:54] 对医美真的不是坏东西
[42:55] 特别是像
[42:56] 我之前有去做军旗的医美
[42:58] 那我的感受是
[43:00] 我觉得这些女生伟大
[43:01] 她为了把自己弄得
[43:02] 可能更加的亮眼或什么
[43:04] 她是真的要去忍受一些痛
[43:05] 因为你叫我再去做的话
[43:07] 后来我自己是发现说
[43:08] 像凤凰跟音波效果真的蛮好
[43:10] 所以你叫我每年去可能是可以
[43:11] 但我的那个动机就比较少一点
[43:14] 就是觉得说为什么我要去哀痛
[43:15] 那我又看不到自己的脸
[43:16] 然后查类似这样
[43:17] 所以女生为了你
[43:19] 或者说为了
[43:20] 不知道常常有的没有的东西
[43:21] 也可能是为了自己
[43:22] 但她去把自己弄得更加的好看
[43:25] 那个是要承受东西的
[43:26] 所以你就可以想象成说
[43:28] 老婆打理自己
[43:29] 让你可能每天看到
[43:30] 你心情有变好
[43:31] 那你帮她多花一点钱
[43:32] 小事情
[43:33] 那再想说
[43:34] 对没错
[43:35] 就是不只是在遛狗
[43:36] 其实是遛自己
[43:37] 我觉得你就把心态转换成为说
[43:39] 有了狗之后
[43:40] 你会更加的去外面走动
[43:41] 对身体也是比较好一点
[43:42] 那露营怪人的话
[43:44] 对最近蛮多的
[43:45] 特别是有很多那种地方社团
[43:47] 像我們就有什麼林口大小事
[43:48] 那裡面超多怪人
[43:49] 就是世界上最怪的人都在地方社團
[43:52] 什麼天母的大小事
[43:54] 林口大小在什麼小
[43:55] 反正各地地方社團
[43:56] 一堆怪小都會在上面
[43:58] 當然他們一定會講說
[43:59] 你不要做壞事就不會拍你
[44:01] 可是其實有時沒事
[44:02] 他們也是整天在那邊拍別人
[44:03] 所以我覺得不是什麼好事情
[44:04] 就是如果你在路上
[44:05] 真的看到一些不喜歡的東西
[44:07] 你理論上是要直接跟人家講
[44:08] 而不是貼到網上來攻神
[44:09] 但這就是現在社會的一種文化
[44:12] 滿多怪咖
[44:12] 下面有位
[44:13] 困堡找謝夢宮主動選股贏大盤
[44:16] 但是跟0050正二比就輸了
[44:18] 我沒有開槓桿
[44:19] 但是看到無腦買正二賺比較多
[44:20] 因為懷疑是否自己不要努力了
[44:22] 雖然知道正二盤整持有長期會自損
[44:24] 如果調整一半加入正二的
[44:26] 我算不算是半放棄
[44:27] 不算
[44:27] 如果你真的覺得這個商品
[44:29] 他某個程度上適合你的話
[44:30] 當然都可以去試看看
[44:31] 只是絕大多數的人都是在多投
[44:33] 只會看到人家的好
[44:34] 然後在空投之後
[44:35] 大家就完全忘記一些有的沒有的東西
[44:36] 大家知道
[44:37] 下面有位KT Ho
[44:38] 是怎樣
[44:39] 劍虎山連三跟G5
[44:41] 真的要改成火箭发射站吗
[44:43] 那6月3号是前女友的生日
[44:44] 请孟公去卡
[44:45] 不用祝她生日快乐
[44:46] 我只是刚好想起这件事情
[44:47] 那这要是念出来
[44:48] 应该蛮好笑的
[44:49] 不好笑
[44:49] 那过了40
[44:50] 很少有机会可以疯狂大笑
[44:52] 而会有这种小趣味
[44:53] 就是很棒的一天
[44:54] 祝孟公天天都有小趣味
[44:55] 不好笑
[44:56] 下面一位PJ
[44:57] 五星奉上留言测试XLIV
[45:00] 那请问MK
[45:01] 关于持股的再平衡
[45:03] 那像我这种小散户
[45:05] 应该比较容易遇到高好吗
[45:06] 我有两档持股
[45:07] 最近的表现都蛮不错
[45:08] 分别达到持股总额的24%跟18%
[45:11] 我想要等等李嘉诚的Zoom
[45:13] 那应该就会被您拿出来举例了
[45:15] 那想问的是如果要做再平衡
[45:17] 时间点是否应该看占比动态调整
[45:19] 还是有周期性的
[45:20] 比如说每季或是半年
[45:22] 那遇到这种好行情
[45:23] 你有什么操作上的建议
[45:24] 或是该注意的感恩爱你
[45:26] 一般来讲会去做再平衡
[45:28] 就是你不会没事
[45:29] 想要去把一个涨得好好的东西减掉
[45:31] 可是假如说我今天就有东西要买
[45:32] 好像SpaceX要上了
[45:33] 你可能要去参加申购
[45:35] 或说你想要在
[45:36] 他跑到二级市场的时候去买
[45:38] 你就只好去把一些東西的部位給壓低
[45:41] 然後你就有錢去買SpaceX
[45:43] 假設你知道這樣子做的話
[45:44] 所以一般你有東西要買的話
[45:45] 你就只好這樣子去做提款
[45:47] 如果是其他的時間點的話
[45:49] 其實不一定會有事沒事去做這樣子的調整
[45:52] 除非你可能知道現在漲多的東西
[45:54] 你真的認為它漲多
[45:55] 你真的覺得市場在FOMO或什麼的
[45:57] 你檢碼去買一些現在剛好掉下來的東西
[45:59] 這樣也是可以
[45:59] 但一般都會有一個目的性
[46:01] 而不是有事沒事就直接去亂殺它這樣子
[46:03] 下面一位張正偉夢工前輩您好
[46:06] 请问杜阿力怕结婚
[46:08] 你会难过吗
[46:09] 不会
[46:10] 我们祝福他
[46:10] 下面一位
[46:11] Shang Chen留言测试机设养机中
[46:13] 下面一位
[46:14] 嘿嘿嘿
[46:14] 梦宫你好
[46:16] 我最近又电子养尾了
[46:17] 可以推荐一些游戏吗
[46:18] 关于红眼鹿比玩过了战
[46:19] 那就继续玩红眼鹿比
[46:20] 那再来呢
[46:21] 就是可能约莫在明后年
[46:23] 我们还有一个这个暗花夜战
[46:25] 也请大家再支持一下
[46:26] 那还有什么其他游戏
[46:28] 我不是跟大家讲说
[46:28] 我觉得尼姬还蛮不错的嘛
[46:30] 或者说棕色尘埃尔也还可以
[46:31] 但尼姬的整个故事性跟
[46:33] 角色的塑造
[46:35] 我是最喜欢的
[46:35] 所以就玩一下手游
[46:37] 后来发现手游
[46:37] 这样的每日任务
[46:38] 对我们来说也是蛮不错
[46:40] 就仪式感
[46:40] 以前会觉得说
[46:41] 手游的每日任务
[46:42] 好像是怎样
[46:42] 蛮有作业感
[46:44] 可是现在反而是
[46:45] 变成是仪式感
[46:45] 每天可以解一下手游任务
[46:47] 这还蛮高兴的
[46:48] 那不然就回去打
[46:49] 那个low的大乱斗
[46:50] 那我也蛮喜欢的
[46:51] 只是最近因为要念故事
[46:52] 给孩子听
[46:52] 很多时候我就睡着
[46:53] 晚上没有办法跟朋友打
[46:54] 下面一位
[46:55] 连工地的阿伯都在聊股票
[46:57] 孟公子哥你好
[46:57] 之前分享过
[46:58] 因为你的获利拉开
[46:59] 所以最近的大盘几次回挡
[47:01] 都不调整部位
[47:01] 甚至站在加码方
[47:03] 但是这样会有狼来的效应吗
[47:04] 因此想请问孟公大
[47:06] 您在接下来的大盘
[47:07] 以及个股分别看到什么
[47:08] 讯号会降杠以及减码呢
[47:09] 谢谢您的回复
[47:10] 祝福您持续便受全家平安
[47:13] 以最近的状况来讲
[47:15] 反正就大家都知道
[47:16] 我手上就是一大堆CPU
[47:17] 跟被动连接
[47:19] 当然他们可能开始都
[47:21] 不约同出现一些回挡
[47:22] 除了当然有些还是
[47:24] 持续站在右上角
[47:25] 我的角度是这样子
[47:26] 就基本上他现在回挡
[47:28] 你看他连十字线都没有破
[47:29] 他连十字线都没有破的话
[47:31] 那为什么要出去
[47:31] 甚至以我的成本来讲
[47:33] 我会想要凹到月线看看
[47:34] 因为有些大波段的东西
[47:36] 他可能最终都会踩到月线
[47:37] 然后再继续往上
[47:38] 所以那跟成本的位置
[47:40] 其实是有一定程度的关联在
[47:41] 讲讲就是这一波真的拉得太凶太猛
[47:43] 所以才不会有太多积极的调整
[47:45] 不然按照过往一般来讲
[47:47] 就是当大盘出一个长AK
[47:48] 你就会去做一些调整
[47:49] 只是现在大盘如果出长AK
[47:51] 我不会调整
[47:52] 但你说碰到月线
[47:53] 然后接着可能几天之内没有站回去
[47:55] 那应该还是会去做一些减嘛
[47:57] 所以可能会往这个方向去做规划
[48:00] 大概这样
[48:00] 下面一位刘环君
[48:02] 还是刘恒君
[48:03] 孟公你好
[48:04] 我是从去年开始收听的一个大三声
[48:06] 然后想问孟公
[48:07] 未来载板的需求看好
[48:08] 包括玻璃载板
[48:10] 那是代表钻孔
[48:11] 或是钻针类的股票
[48:12] 在未来应该会再喷一波吧
[48:14] 请示孟公大
[48:15] 然后小弟
[48:15] 我住巴黎很常上林口
[48:17] 希望某天可以遇到孟公一家
[48:18] 我记得大概在可能两三个月前
[48:21] 我们就有聊到TGV跟TSV
[48:23] 还有玻璃载板玻璃基板
[48:24] 那時候在講說Intel的EMIP
[48:25] 所以全部都聊過了
[48:26] 然後後來一些相關的類股也噴射
[48:29] 那我還有一個印象很深刻就是
[48:30] 反正那時候噴射
[48:32] 然後出現了回檔
[48:33] 就有幾個帳號就跑出來
[48:34] 很多時候會想說
[48:35] 這些帳號的背後一定都是社會的人渣
[48:38] 就是一定是社會邊角料
[48:40] 就是你那邊大掌都不講
[48:42] 然後開始回檔就說
[48:43] 哈哈哈哈古來又在割韭菜
[48:45] 每次都這樣割韭菜
[48:46] 然後後來噴爆
[48:47] 然後這些帳號就不見了
[48:48] 每次都這樣
[48:49] 就幾個免洗帳號跑出來
[48:50] 哈哈哈哈
[48:51] 你永遠都哈哈哈哈
[48:52] 錢永遠都是我們在賺
[48:53] 这个社会的废物真的是有够多的
[48:55] 大概这样
[48:55] 反正总之就是聊过了
[48:56] 下面一位
[48:57] Jimmy Huang
[48:58] 嗨我来忏悔
[48:59] 我就是严以待人
[49:00] 宽以律己的废物
[49:02] 以后会避免跟任何人来往
[49:03] 但有时候还是会想要设设
[49:05] 那帮我祝福Chuck
[49:06] 一家跟Irene身体健康
[49:08] 爆干油钱
[49:09] 这个跑来这边忏悔
[49:10] 下面一位Lizzie Chang
[49:12] 上次留言没有被念到
[49:13] 再接再厉
[49:14] 我是跟单载
[49:14] 每次听节目都会觉得
[49:15] 这是可以免费听的吗
[49:16] 最近美股持股
[49:17] 喷到像是觉得
[49:18] 需要捐钱的地步
[49:20] 虽然没有赚得像各位的台股一样
[49:21] 孟公要不要搞个基金会
[49:23] 我相信各方心中一定会捐报
[49:24] 那最后祝孟公一直像现在这样
[49:27] 快乐红眼路比卖爆
[49:28] 非常感谢这位地方妹妹的祝福
[49:30] 那你说会不会去搞一个基金会
[49:31] 绝对不会
[49:32] 就是我不会去搞任何一个东西
[49:34] 然后是会跟不特定多数人去做接触的
[49:36] 因为我是一个非常怕麻烦
[49:38] 然后在外加不欠这一条的
[49:40] 所以你看我们没有对听众收费
[49:42] 那搞游戏资本的时候
[49:43] 有人问说是不是要全部
[49:44] 没有要全部
[49:45] 才不需要各位的钱
[49:46] 弄自己的钱就好
[49:47] 那可能今天找到一些有趣的东西
[49:49] 要捐或什么的
[49:50] 就自己捐啊
[49:51] 像最近有
[49:52] 纪录片的导演
[49:53] 找我募款
[49:53] 我就捐啊
[49:54] 我就捐
[49:55] 反正对我来讲
[49:56] 我可以做的
[49:56] 我自己做啦
[49:57] 那我不能够做的
[49:58] 那就不要做嘛
[49:59] 也不会说什么
[50:00] 希望大家一起来啊
[50:01] 呼吁
[50:01] 我最讨厌搞这种
[50:03] 有的没有的
[50:03] 我会觉得说
[50:04] 就是大家其实
[50:05] 在生活之中
[50:06] 你过得好
[50:06] 你有一些能量
[50:07] 可以去帮别人
[50:08] 是很好
[50:08] 可是你不要整天在外面
[50:10] 就是好像在路上
[50:11] 来人家说
[50:12] 你要不要帮助小朋友
[50:13] 你不帮哦
[50:14] 你干嘛给人家压力呢
[50:15] 每个人都有压力
[50:16] 所以你想干嘛
[50:17] 你就自己去做
[50:18] 不要去找别人
[50:19] 我也不会去做这种聚众的事情
[50:20] 反正真的是想干嘛
[50:22] 就自己做
[50:22] 社会获得了你的帮助之后
[50:25] 不一定会变成一个更好的地方
[50:26] 那都是让自己心里
[50:27] 可能稍微的好过一点的事情而已
[50:29] 当然有赚钱
[50:30] 就找个适合的地方就去
[50:32] 或者说你找不到适合的地方
[50:33] 你可以简单一点
[50:34] 帮你服务的人
[50:36] 你就给他个小费
[50:37] 请他喝个饮料或什么的
[50:38] 卖你玉兰花的
[50:40] 这个200块就不用找了
[50:41] 500块就不用找了
[50:42] 这都是我觉得很小的事情
[50:44] 可是对你自己来讲是很充实的
[50:46] 对他来讲他一定是很高兴的东西
[50:48] 大家讲拜拜
