[00:00] 欢迎收听谷外,我是圣梦宫,本期节目由Ergotron赞助
[38:58] 對就是那個Bluey
[38:59] 後來知道那兩隻都是女生你知道嗎
[39:01] Bluey跟Bingo都是女生
[39:02] 我還以為說藍色那個是男生
[39:04] 結果沒有
[39:04] 兩個字都是可愛的女生
[39:06] 那他們就會
[39:07] 我記得Bingo是比較調皮的
[39:08] 像Bingo會
[39:10] 他有一個什麼魔術羽毛
[39:11] 然後他就會讓牙刷變得很重
[39:13] 然後那個Bluey就會跟著
[39:14] 在刷牙的時候就要趴到地上
[39:16] 因為太重了
[39:16] 然後或是說
[39:17] 他叫他爸爸停下來
[39:18] 然后他爸爸就会瞬间暂停
[39:20] 就会陪他玩
[39:21] 那我确实也是会去玩
[39:22] 孩子的游戏
[39:23] 我还是会试着让孩子去相信
[39:26] 像什么耶诞老人是真的
[39:27] 虎骨婆是真的
[39:28] 就是你不觉得这个世界
[39:31] 充满一点那种魔幻的感觉
[39:32] 会是更好的一个世界吗
[39:34] 就如果说你现在就跟他讲一些
[39:35] 什么理性科学现实
[39:37] 没有必要
[39:38] 因为他终究会学会
[39:39] 那活在一点梦幻的世界挺好
[39:42] 特别是一堆家长
[39:43] 你们自己不是也活在
[39:44] 梦幻的世界里面吗
[39:46] 整天想想说
[39:46] 哪天你就fire了
[39:48] 就是财务自由
[39:48] 整天想想
[39:49] 还没有结婚的
[39:51] 我一定会遇到
[39:51] 真命甜女
[39:52] 然后最后
[39:52] 随便找一个人
[39:53] 就结婚了之类的
[39:54] 所以你知道
[39:55] 其实我们大家都
[39:56] 活在想象里面
[39:56] 人是需要一点想象
[39:58] 是需要有一些vision
[39:59] 需要有一些
[40:00] 甚至是
[40:01] 怎么讲
[40:02] 一辈子不一定达到的
[40:03] 某一种东西
[40:04] 但你可以想象说
[40:06] 有一天你可以去
[40:06] 获得这些东西
[40:07] 那是很好
[40:07] 所以我觉得对小朋友的概念
[40:08] 是一样大概是这样
[40:09] 下面一位
[40:09] 迪化街的台南人
[40:11] 进财终于还钱
[40:12] 连本带利加倍还
[40:13] 但是还给前几集的听众
[40:16] 那身为二宝爸
[40:17] 也是捏卵联盟成员的老听众
[40:20] 想要拜托孟公推广联盟更名
[40:23] 捏屌联盟
[40:24] 因为捏卵只有痛
[40:25] 捏屌除了痛还有一点爽
[40:26] 比较符合当爸的真实感受
[40:28] 不能够说他错
[40:31] 但是捏卵
[40:33] 你感觉去外面跟大家自我介绍说
[40:35] 我是捏卵联盟的
[40:37] 还OK
[40:37] 你说我是捏屌联盟的
[40:39] 那不好听
[40:40] 所以那还是有一点
[40:41] 你知道我们要尽量让自己看起来是
[40:43] 因为我们现在是当爸的人
[40:45] 讲话要稍微收敛一点点
[40:46] 你大概知道是什么意思就好
[40:48] 然后他说
[40:48] 最后分享自己骨海的观察
[40:50] 一骨品好
[40:51] 绩效自然好
[40:52] 二做就对了
[40:53] 三骨灾体感
[40:54] 手抖买进大盘
[40:55] 回头看都很甜
[40:57] 这一看就是受过很多伤的人
[40:59] 他讲的完全正确
[41:00] 他说祝孟公家全家跟联盟成员
[41:02] 平安健康绩效密码在QA
[41:06] 首先第一个
[41:07] 骨品好绩效自然就好
[41:09] 这个骨品看是哪一种骨品
[41:11] 然后就来说
[41:11] 以我自己来讲
[41:13] 以前的股品这种东西是
[41:15] 怎么说
[41:16] 就原来是说
[41:17] 我会去在意说
[41:18] 身边朋友可能推哪些东西
[41:19] 然后他整天推的东西
[41:21] 都miss我什么的
[41:21] 这个就是以前我会觉得说
[41:22] 那你是不是故意在推一些烂货
[41:24] 可是到后来我现在的股品是这样
[41:26] 因为我知道说
[41:27] 每个人都是有赎有赢
[41:28] 不然像自己也是
[41:29] 那只是
[41:29] 你不可以你叫我来买一个标的
[41:33] 特别是你狂推我
[41:34] 你不是说什么
[41:35] 你只是分享说你家在买什么
[41:36] 你狂推我
[41:37] 你一直每天丢东西
[41:38] 跟我讲说多好
[41:39] 然后你说你自己买很多
[41:40] 然后我也知道你分点是哪个
[41:42] OK
[41:42] 然后我给你进去买
[41:43] 然后隔两天
[41:44] 你直接全部丢出来
[41:46] 如果说今天是
[41:47] 这两天是涨停板
[41:48] 然后你丢出来
[41:49] 那OK嘛
[41:50] 代表说你也赚钱
[41:51] 你可能已经到你的目标价了
[41:52] 没问题啊
[41:53] 不是呢
[41:53] 是你找大家进来
[41:55] 然后横盘横盘
[41:55] 你自己把盘砸掉
[41:56] 就是我们身边
[41:58] 其实有超多这种
[41:58] 就他自己把盘
[41:59] 直接给你他妈砸掉
[42:00] 然后就变成
[42:01] 形态就变差了
[42:02] 你最后面就是
[42:03] 我变成我留在里面洗碗
[42:05] 所以像我自己
[42:06] 如果说有聚众的
[42:08] 我尽量不做这种事
[42:09] 可是像之前
[42:10] 也有几次是聚众
[42:11] 没有办法
[42:11] 那有时候是那种朋友的压力
[42:13] 跟我俩说
[42:13] 他们公司怎么样不错
[42:15] 然后我就好
[42:15] 就揪一下大家
[42:16] 就最后面他妈整车被埋掉
[42:18] 但我就是这一个跳
[42:19] 我就是发现我赔
[42:20] 我是赔最多
[42:21] 对不起
[42:21] 这个可能是一个错误的讯息
[42:23] 或什么的
[42:24] 但我现在是尽量去避免这些东西
[42:26] 因为我自己也知道说
[42:27] 有时候给人家丢我也不爽
[42:28] 那再来就是
[42:28] 我如果去揪大家
[42:30] 那我自己
[42:31] 我已经知道有问题要丢
[42:32] 我叫你们丢
[42:33] 那你们丢完之后
[42:34] 我再丢
[42:34] 我也是他妈自己赔最多钱
[42:36] 但我知道这其实是合理的
[42:37] 那你干嘛一开始要找人
[42:38] 就都不要找了很久
[42:39] 所以我现在其实心态是比较平常
[42:41] 反正我真的都是搞自己
[42:42] 所以我想说那是一个发散收敛的过程
[42:44] 就是从一开始都是搞自己的
[42:45] 然后后来开始去打一些团战
[42:47] 然后获得一些收益之后
[42:49] 就想说以后都要打团战
[42:50] 后来没有又再收回来
[42:51] 所以下面又全部在做自己
[42:52] 我觉得这是很好的事情
[42:54] 那确实啊
[42:54] 股评好绩效真的会比较好一点
[42:56] 因为你在做的事情
[42:57] 你去雷到别人你去怎么样
[42:59] 其实某个程度上
[43:00] 你都是在别人的印象分数里面被扣分的
[43:02] 所以以后有一些好事情
[43:03] 就不一定会找到你
[43:04] 然后做就对了
[43:05] 绝对就是做就对了
[43:06] 就是我在那边讲
[43:07] 就是一堆人整天在问
[43:09] 你还看得出来
[43:09] 都同一个人在问的
[43:11] 你不赶快下去做
[43:12] 你整天问
[43:13] 你问一辈子你也不会进步
[43:14] 然后最后面
[43:15] 这个骨灾体感
[43:16] 手抖的时候
[43:17] 买进大盘回头看都很甜
[43:18] 没错
[43:18] 甚至有一个说法这样说
[43:19] 你买在你身体很不舒服的地方
[43:21] 一般来讲
[43:22] 你后来回头看
[43:23] 都会注意到是对的
[43:24] 这个是一个很有趣
[43:25] 要花时间去体会的东西
[43:27] 那下面一位
[43:27] 周周周周亚当
[43:29] 孟公孟公我阿公
[43:31] 孟公chika你好
[43:32] 上集留言完
[43:33] 我就用LINE PAY捐了
[43:35] 寒病基金会十万
[43:36] 关好我有个寒病的孩子
[43:37] 平时受到帮助很多
[43:39] 结果捐出去
[43:39] 马上要接到银行打来
[43:40] 问是不是被诈骗
[43:41] 然后LINE PAY
[43:42] 正好就被停权了
[43:43] 台湾搞出一堆麻烦制度
[43:45] 快乐宝贝
[43:45] 是不是也要负很大的责任啊
[43:47] 干
[43:47] 但又想到你说的
[43:49] 要不是有这些快乐宝贝
[43:50] 我们正常人也没办法
[43:51] 过上相对较好的生活
[43:53] 所以还是算了
[43:54] 快乐宝贝爱你
[43:55] 我跟妳讲
[43:56] 这真的是一个很复杂的情绪
[43:58] 我这样是
[43:58] 在前几集不是提到说
[44:00] 有一个听众来寻求我的帮忙吗
[44:02] 我本来是打算
[44:02] 我直接打钱给你
[44:03] 这最快
[44:04] 我钱给你
[44:05] 你要干嘛
[44:05] 你就自己去做
[44:06] 后来发现
[44:06] 不对啊
[44:07] 我钱给你
[44:07] 待会我账号被锁起来
[44:08] 所以我后来的做法怎么样
[44:10] 我就是买礼券
[44:11] 后来发现买礼券是一个很好做法
[44:12] 我全年买个几万
[44:14] 7-11买个几万
[44:14] 我就送你礼券
[44:15] 这样就解决问题了
[44:16] 所以以后可以考虑
[44:17] 用送礼券的方式
[44:18] 因为那已经是累现金了
[44:20] 那你的交易对象是这些商城
[44:22] 就比较不会遇到说
[44:23] 可能被扣除的问题
[44:24] 那确实我自己也是非常不爽
[44:27] 就是因为我们要去打诈
[44:29] 然后导致的
[44:30] 像大家的银行账号
[44:31] 你甚至有时候觉得
[44:32] 你的银行账号不是你的
[44:33] 你要汇款你要什么
[44:34] 那个行员是你老爸
[44:36] 你要拜托他
[44:37] 你要跟他解释一万年
[44:38] 他还要问你说
[44:39] 像我去设约定账号
[44:41] 你有买过他的东西吗
[44:42] 你会给我看他的报价单
[44:44] 我为什么要给你看他的报价单
[44:45] 到底他妈干你屁事
[44:46] 我心中想的这样
[44:47] 但我现在不会去乱喷
[44:48] 因为你知道什么
[44:48] 你乱喷他
[44:49] 他直接flag你账号
[44:50] 你更惨
[44:51] 你就只能够好好跟他解释说
[44:52] Oh my god
[44:53] 你要看报道
[44:54] 好好传给你看
[44:54] 这我钱
[44:55] 你在这干嘛
[44:56] 然后他们就想说
[44:57] 为了去防止打诈
[44:58] 我还是要强调
[44:59] 诈骗的全家死一死
[45:01] 我超级不爽
[45:01] 直接让他诈骗在
[45:02] 可是整天被诈骗的
[45:04] 我真的也得老实讲一句
[45:05] 你的智慧没有长到
[45:07] 你就是一定会一直被诈骗
[45:08] 所以这些人就算
[45:10] 你去设重重的关卡
[45:12] 你去看一下
[45:12] 那个打诈仪表板
[45:13] 大家去稍微去看一下
[45:14] 你看前面
[45:15] 我们银行已经绑门绑多久
[45:16] 那个数字还是可以创新高
[45:18] 就是说其实问题
[45:19] 或许真的不在这里
[45:20] 这只是其中一环
[45:22] 我也知道说
[45:22] 行员他也不想这样
[45:23] 你去问每个行员
[45:24] 一定要告诉你他也不想这样
[45:26] 是因为后来他们那些被诈骗
[45:27] 就跑回去讲说
[45:28] 银行为什么那时候
[45:30] 没有去进什么义务
[45:31] 进沙脚义务
[45:31] 你妈的你爸爸
[45:32] 还是你自己是白痴
[45:33] 活该被骗
[45:34] 为什么人家还要宝贝
[45:36] 是你他妈都几岁
[45:37] 就他们去靠杯
[45:38] 可能一些单位
[45:39] 那些管理单位又没有担当
[45:41] 不敢去讲出我讲的这种话
[45:43] 因为讲可能怕被公省之用
[45:44] 我也可以理解他们
[45:45] 但反正总之就是
[45:45] 好啊那就只好叫银行去收紧
[45:48] 对不对
[45:48] 你什么约定转账
[45:49] 以后再多拉个几天
[45:50] 类似这样
[45:51] 所以确实我们家的世界
[45:53] 已经很像是说
[45:54] 我们为了一些
[45:55] 会受害的快乐宝贝
[45:56] 导致绝大多数的正常人
[45:57] 我们生活全部都被影响了
[45:59] 可是当你出来讲这个
[46:00] 他们又讲说
[46:00] 怎样你家是同情诈骗吗
[46:02] 你是要鼓励诈骗吗
[46:03] 所以超难
[46:04] 那我的选项就是
[46:04] 老实不讲
[46:05] 反正我们是有方法的人
[46:07] 我们就玩嘛
[46:08] 对不对
[46:08] 像我刚刚讲的
[46:09] 你不能够捐现金
[46:10] 那你就买礼券嘛
[46:11] 反正大家共体时间
[46:13] 好不好
[46:13] 下面一位
[46:14] 天天甜甜甜
[46:15] 古爱五星推荐
[46:17] 那留言密码测试77
[46:18] 下面一位
[46:18] 剪刀石头布
[46:19] 我出剪刀
[46:20] 因为你是我的全部
[46:21] 100分
[46:23] 这句好
[46:24] 这我第一次听到
[46:25] 他说为什么这样子
[46:27] 你拉着我说你有些犹豫
[46:31] 老婆我的超人
[46:32] 蛮喜欢大家这样
[46:33] 突然有一个歌词
[46:35] 好像以前回到那种
[46:36] KTV乱唱歌的感觉
[46:37] 虽然可能有些听众想说
[46:38] 你那唱杀小蛋
[46:39] 我还蛮喜欢的
[46:40] 老婆的超人装呢
[46:42] 什么我的超人装到哪去了
[46:44] 我收起来了
[46:45] 在哪
[46:45] 你为什么想知道
[46:47] 我需要他
[46:47] 你休想跑去行侠仗义
[46:49] 这个晚餐我们已经计划两个月了
[46:51] 大众有危险吗
[46:52] 我的晚餐约会才会有危险
[46:54] 告诉我我的衣服在哪
[46:55] 女人我们说的是崇高的大爱
[46:57] 大爱我是你的老婆
[46:59] 我就是你这辈子最崇高的大爱
[47:01] MK敢像酷冰侠一样
[47:03] 用这种语气跟你饱说话吗
[47:05] 一般来讲是不太敢
[47:08] 就是怎么讲
[47:09] 我觉得结婚之后
[47:09] 有点像说寄人篱下
[47:11] 即便可能房子登记
[47:12] 在你自己的名下
[47:13] 但你就是寄人篱下
[47:14] 所以你就要尊重一下
[47:16] 因为我还是得说
[47:17] 就是我们这些态度
[47:18] 也不是说什么
[47:19] 我们是老婆狗
[47:19] 当然在一些眼中就是
[47:21] 但我觉得
[47:21] 特别是有小孩之后
[47:23] 那个感受很深
[47:23] 因为你付我两亿
[47:26] 叫我去把诺亚
[47:28] 他妈的头那么大一颗
[47:29] 从我的腮康生出来
[47:30] 因为我没有引导
[47:31] 我能够假设说
[47:32] 就类似方法
[47:33] 上个某个洞要打开
[47:33] 要生那个孩子出来
[47:34] 你给我两亿
[47:36] 我都跟你说不要了
[47:37] 所以你会知道说
[47:38] 就是太太付出的东西
[47:39] 真的太大了
[47:40] 所以就多让她
[47:41] 我们讲话就客气一点
[47:42] 这个是我给大家的一个
[47:43] 共勉之
[47:44] 就不是只有你在受苦
[47:46] 我也是
[47:46] 我们一起忍耐
[47:47] 因为他们也受了不少苦
[47:48] 差不多这样的一个概念
[47:49] 下面一位
[47:49] PXG
[47:51] 我还是不懂上个留言
[47:52] 到底他整个在讲什么
[47:53] 那个应该是有在嗑药
[47:55] PXGG
[47:56] 好想吃豚筋
[47:57] 嗨孟公
[47:58] 好奇孟公和Lisa
[47:59] 有小孩之后
[47:59] 还有两人世界吗
[48:00] 以前约会总能够说走就走
[48:02] 有小孩之后
[48:03] 几乎没有两人世界
[48:03] 还好太太很懂气氛
[48:05] 在外女强人
[48:06] 在家像直男屁孩
[48:08] 在家最爱讲些不答不起的dirty talk
[48:11] 那搭配上下棋的时候
[48:12] 看一支幼稚又好笑的互动
[48:13] 让我们维持感情温度
[48:14] 那需要孟公忙碌之余
[48:16] 也会在生活中保有小情调
[48:19] 关号不一定要学我太太
[48:20] 那4月20日
[48:20] 交出我太太三弟娃娃的生日
[48:22] 相亲孟公
[48:24] 祝他happy birthday
[48:26] 祝孟公一家平安健康
[48:28] 诺亚安哥快乐长大
[48:31] 爱你China
[48:32] 好了那对
[48:33] 因为他有教语音
[48:34] 我就服务他一下
[48:35] 那再来他讲说
[48:37] 这个不大不弃dirty talk
[48:38] 所以有人听得懂
[48:39] 我的不大不弃是什么
[48:41] 这应该是我们Haka fan里
[48:42] 我算我其实是一半一半
[48:44] 就一半Haka一半是闽南
[48:46] 但就是从小有被训练讲客家话
[48:48] 所以有时候就不小心
[48:49] 用到一些客家用词
[48:50] 我也觉得蛮好笑的
[48:51] 我们可以推广一下
[48:52] 不大不弃就是在搞那种
[48:54] 不三不四不上不下的东西
[48:55] 阿西巴拉
[48:56] 例子这样的一个意思
[48:57] 那你说会不会有这个
[48:59] 养人的世界会比较少一点
[49:01] 那一般其实我太太做不讲
[49:02] 她会刻意的经营
[49:03] 就在说就会找个时间
[49:05] 跟我讲说
[49:05] 我们可不可以一起去吃个中餐
[49:06] 只是蛮多时候我会拒绝她
[49:08] 因为中午我们在看盘
[49:09] 只是现在我生活有去做调整
[49:12] 其实一些小细节
[49:13] 真的影响到我生活很多
[49:14] 像我跟大家讲说
[49:15] 因为网球教练跟我约八点半
[49:17] 以前这个时间我绝对要看盘
[49:19] 但我现在为了要减肥
[49:20] 减肥是可能top priority
[49:22] 所以我破除掉了
[49:23] 这个固定的行为模式之后
[49:25] 导致我现在中午
[49:26] 有时候老婆找我出去
[49:27] 我也说好啊OK啊
[49:28] 我可以去啊
[49:29] 或者说你可能
[49:30] 紅酒本來只是想說去了解一下幹嘛
[49:32] 就是因為紅酒
[49:33] 你反而喜歡跟老婆去逛好市多
[49:34] 所以對就是兩人的時間是需要去經營的
[49:37] 就是兩方都要去用心
[49:38] 然後老婆有時候也會很感慨的講說
[49:40] 你還記得沒有諾亞以前
[49:41] 我們去八月島的時候
[49:42] 我們兩個人在幹嘛嗎
[49:43] 然後就會覺得說
[49:44] 其實兩個人的世界也滿好玩的
[49:45] 但我們都有一個共識
[49:47] 我們也知道說我們不是在自我安慰
[49:48] 就是有孩子之後
[49:49] 其實生活是變得更好玩的
[49:50] 但對如果你們今天還沒有生小孩的時候
[49:52] 你們是兩個人
[49:53] 你們就好好地把握
[49:54] 然後多累積一點回憶
[49:55] 因為下一次可能等到20年之後的話
[49:57] 大家講拜拜
