[00:00] 欢迎收听谷爱,我是孙梦宫,本集节目由尼谷青赞助
[38:36] 所以千萬不要在老公打電動的時候去中斷人家
[38:38] 我覺得這個是
[38:40] 希望各位地方太太都可以做到
[38:42] 你們每次都講說什麼我巧虎
[38:44] 你们管老公
[38:45] 但这个我跟你们讲
[38:46] 你真的不要做这种
[38:47] 没有品德的事情
[38:48] 老公在打电动的时候
[38:49] 不要烦他
[38:49] 有什么事情
[38:50] 打完电动再讲
[38:51] 一场时间没有多久
[38:52] 下面一位
[38:52] 辛罗天真
[38:54] 诸位对2327
[38:54] 这种简直惯犯的看法
[38:56] 怎么样
[38:56] 在宣布的时候
[38:57] 如何应对
[38:57] 简直带来的风险影响
[38:59] 感谢爱您
[39:01] 严格上来说是这样子
[39:03] 2327
[39:04] 他现在还原回去
[39:05] 还是是一个
[39:07] 2000多块
[39:08] 快3000多块的股票
[39:09] 在最高点的时候
[39:10] 甚至是4000多块的一个股票
[39:12] 所以其实当年
[39:13] 套在一千多块的人
[39:14] 全部都解套跟赚钱
[39:16] 就是我觉得当然
[39:18] 市场上有些人会不喜欢
[39:20] 说有些公司
[39:20] 你不是简直退大家钱
[39:22] 就说你不需要这么多钱
[39:23] 那后来又在争吃或什么
[39:25] 你就是想把人家稀释掉
[39:26] 把人家洗掉
[39:26] 这个其实很多公司
[39:28] 都在做类似的事情
[39:29] 只是我们在这边不好点名
[39:30] 因为我们节目的受众太多了
[39:31] 我也不想去得到任何人
[39:32] 反正大家去查历史
[39:34] 你问AI一定都可以告诉你
[39:35] 那种简直在争吃
[39:36] 把人家洗掉的
[39:37] 或者说什么先下市再上市的
[39:38] 很多啦
[39:39] 那该怎么样去评断
[39:41] 我老实说年轻的时候
[39:42] 我都觉得这些人在割韭菜
[39:44] 可是长大一点就会懂
[39:46] 像某记忆体厂
[39:47] 他们为什么那时候会这样做
[39:48] 或是某金融代工厂
[39:50] 为什么那时候会这样做
[39:51] 其实都有理由
[39:52] 因为当下可能不这样做
[39:53] 他也没有太多的选项了
[39:55] 所以他就是会伤害到一些既有的股东
[39:58] 然后等他真的变好之后
[39:59] 也不是当时赔他的那些股东可以赚到
[40:02] 所以在资本市场
[40:03] 我觉得至少他比起我们去做一些初级市场投资
[40:07] 他好处在于说
[40:08] 你发现这个公司有问题
[40:10] 就要说你觉得他是无良的公司
[40:12] 你就不要买它
[40:13] 就是市场的选择这么多
[40:15] 那你干嘛要去买了它之后
[40:16] 然后又再去干剿它
[40:17] 或甚至是你可以更坏一点
[40:19] 你知道它每次都用
[40:20] 同一个pattern去割韭菜
[40:22] 那我就问你
[40:22] 你为什么不要在
[40:23] 你知道它要割韭菜的时候
[40:24] 你在那边把它空爆之类的
[40:26] 所以我觉得
[40:27] 自己市场有趣的地方是
[40:28] 其实你不爽都可以不要做
[40:30] 或是你可以跟它对桌什么的
[40:31] 所以我们就不用去问
[40:32] 太多为什么
[40:33] 因为每家公司
[40:34] 可能都有它一贯的做法
[40:36] 像我有时候对一些公司
[40:37] 也有意见
[40:38] 你为什么要配那么多股息
[40:39] 我超级讨厌股息的
[40:41] 因为对我来讲
[40:42] 每个都要缴税
[40:42] 可是台湾的一些中小股民
[40:44] 他们超爱股息的
[40:45] 因为他们某个程度上
[40:46] 都觉得说
[40:47] 这个至少是配到我口袋里面
[40:48] 然后他们没有去摸到
[40:49] 可能28%分离课税这种
[40:51] 所以他没差
[40:52] 他说你配股息给我
[40:53] 我就觉得高股息赞
[40:55] 所以你看意见不一样
[40:56] 我喜欢他不喜欢
[40:58] 对于某些人来讲
[40:59] 其实我甚至这样说
[41:00] 一些在发CB
[41:02] 一些在搞宪争的公司
[41:03] 这个你如果去论坛问
[41:04] 大家也说割韭菜
[41:05] 他这个就是拉高
[41:07] 然后什么
[41:07] 就要去搞宪争
[41:09] 可是对某些人来讲
[41:10] 我们喜欢去买这样的标的
[41:11] 因为我知道公司要
[41:13] 好股票
[41:14] 我知道公司要搞
[41:15] 对我知道你要这样做
[41:16] 所以我们看得懂的
[41:18] 我们就会上车
[41:18] 所以你都可以去做自己的选择
[41:20] 就不会觉得说
[41:21] 这个是风险或什么的
[41:22] 因为其实简单来讲就是
[41:24] 你只要懂看的
[41:25] 你就会知道
[41:26] 那你说那些不知道的
[41:27] 莫名其妙被割到的
[41:28] 那就只能够说
[41:29] 比较遗憾一点
[41:31] 当然会希望说有关单位
[41:32] 看可不可以多一点警示的东西
[41:34] 但是就跟那个诈骗一样
[41:35] 就是你如果真的做太多限制的话
[41:37] 你反而是让正常人的生活
[41:39] 是没有办法做
[41:39] 只能够说你本来要去做股票
[41:41] 你就应该都要去了解这些东西
[41:43] 你不了解东西
[41:44] 你怎么会敢卖
[41:45] 对吧
[41:46] 然后下面一位大刚
[41:47] 孟公安
[41:48] 想请问如果说爸妈家里衣服很多
[41:50] 大概1000件那种
[41:51] 想要帮他们处理
[41:52] 但他们又会说
[41:53] 每件衣服都有感情的
[41:54] 该怎么办
[41:55] 目前才按兵不动的策略
[41:57] 是不是要等到属于他们的直男巧虎出现
[41:59] 靠着命运的第三方力量
[42:00] 才可以让他们开始断舍离
[42:02] 但老妈的直男巧虎是GDLOL
[42:04] 来自因为孟公而执行
[42:07] 做尿派许久的林口地方听众
[42:09] 其实蛮多人的爸妈都有囤物癖
[42:12] 像我自己的爸妈
[42:13] 在认识我老婆之前
[42:15] 也算是某种程度上的囤物癖
[42:17] 我爸爸是有洁癖的
[42:18] 就是我爸爸
[42:19] 他会把东西都打扫得很干净
[42:20] 可是他有很多东西
[42:21] 他就会觉得说
[42:22] 以后可能会用到
[42:23] 舍不得丢或者说怎么样的
[42:25] 所以他厉害在
[42:26] 他至少知道每个东西都在哪
[42:27] 结果你知道
[42:28] 我老婆才刚到我们家
[42:29] 可能头几次见面
[42:31] 他就受不了
[42:32] 就开始在我家丢东西
[42:33] 然后一开始
[42:33] 以前是这样
[42:34] 就是假设我们跟爸爸说
[42:35] 要把一些东西丢掉
[42:37] 或是你自己乱丢一些东西
[42:39] 他會把你臭幹
[42:40] 他真的就是臭幹你一頓
[42:41] 可是我老婆丟
[42:43] 他就可能也不好意思吧
[42:44] 他就沒有臭幹我老婆
[42:45] 他就是一臉那種很尷尬的尬笑
[42:46] 然後有時候會怎麼樣
[42:47] 他會在晚上的時候偷偷的去外面
[42:49] 然後把那些東西撿回來
[42:50] 我老婆就是再把它丟掉
[42:51] 所以我老婆也是那種
[42:52] 她就是Gangster你知道嗎
[42:53] 她沒有在操小
[42:54] 她就是丟
[42:54] 然後去冰箱
[42:55] 把冰箱的東西全部拿出來丟
[42:57] 丟一丟丟到後來
[42:58] 還真的就是家庭的節奏就改變了
[43:01] 所以不知道你去娶個養媳婦吧
[43:03] 還是怎麼樣的
[43:04] 因为就是要那种去颠覆他们传统
[43:06] 那我们又骂不下去
[43:06] 因为如果一样是台湾人
[43:07] 那可能就会觉得说他可以骂你
[43:09] 就是因为当时我家人这样被改变
[43:11] 反正就丢一丢之后
[43:12] 后来他们就懂了
[43:14] 那后来是怎样
[43:15] 后来像我帮家里添购一个新的冰箱
[43:17] 那时候就是跟我太太聊到说
[43:19] 以前我们家里的冰箱
[43:20] 有那种过期16年的番茄酱
[43:21] 超屌
[43:22] 然后再来就是
[43:23] 你知道以前我们是怎么样用冷冻库吗
[43:25] 就觉得所有东西丢到冷冻库
[43:26] 就是无敌了
[43:27] 它就是不会坏掉
[43:28] 所以人都过一堆那种塑胶袋包着的东西
[43:29] 那天就是刚好讲到这件事情
[43:31] 跟一个地方朋友
[43:32] 那我就说我们家冰箱是这样子
[43:34] 然后我老婆说
[43:35] 没有你知道你爸爸妈妈
[43:36] 你爸妈换新的冰箱之后
[43:38] 他们就很小心的在收纳
[43:39] 他们冰箱超干净的
[43:40] 我看到都吓到
[43:41] 所以这也是一个可能性
[43:43] 我把两个契机给你
[43:44] 一个是我老婆在那边丢东西
[43:45] 然后丢到我爸爸被迫习惯
[43:47] 然后另外一个是
[43:48] 帮他们换一些新的设备
[43:49] 或是你假设帮他改一些装潢
[43:51] 说不定他会想要维持
[43:53] 新的设备的干净跟整洁
[43:55] 他们就去做这样子处理
[43:56] 这两个小锦囊
[43:58] 希望对你有帮助
[44:00] 下面一位Jack Chang
[44:01] 是不是念过
[44:02] 念一下
[44:03] MK武安最近的盘试动荡
[44:04] 所以前新研究中
[44:06] 虽然过程不简单
[44:07] 有问题也没有办法
[44:08] 一次就修正好
[44:09] 例如逻辑不顺畅
[44:12] 表达不完整
[44:13] 没有问出好的问题
[44:13] 输出太过口语化之类的
[44:15] 当然是可以确定
[44:16] 自己每次都会被打磨
[44:17] 变累积一点
[44:18] 这也很令人开心
[44:19] 像是炼等一样
[44:20] 因为没有什么想问的
[44:21] 就麻烦MK无情工商
[44:23] 红眼路比一波
[44:24] 让像小弟这样子
[44:25] 没有玩过太多游戏的小白
[44:26] 也能够知道怎么体验吧
[44:27] 那祝您全家平安健康
[44:29] 天天开心爱您
[44:30] 不知道为什么觉得超感动的
[44:32] 就是一个
[44:32] 我认为是很重要的事情
[44:34] 然后蛮多听众
[44:35] 也把它当priority
[44:37] 他们留言会提到
[44:38] 我希望大家都身体健康
[44:39] 希望你们的股票都发大财
[44:41] 非常感谢这么多暖男
[44:43] 对希望大家都去玩这个红眼路比
[44:45] 那不知道怎么玩的呢
[44:46] 你去下载一个平台叫做Steam
[44:47] STEM
[44:48] 对因为确实有些人
[44:49] 他可能是完全不打游戏的
[44:50] 反正呢
[44:51] 網路有一個APP叫Steam
[44:53] 你下載下來之後
[44:54] 那個我們把它稱為是男生的百貨公司
[44:56] 雖然有些你可能也是男生
[44:57] 但你沒有打電動
[44:58] 你不是宅男不知道
[44:59] 但你只要下載這個男生的百貨公司之後
[45:01] 你就會變得跟我們身邊的一些女伴一樣
[45:04] 就是你會定期的想要上去逛某些東西
[45:06] 那你會買一些東西回家
[45:08] 那接著你可能一輩子都不會打開它
[45:09] 但是你會很驕傲的告訴大家
[45:11] 你收藏了什麼東西
[45:12] 像是可能你太太那種架上的香奈兒包
[45:15] 你就說你看我有全系列的
[45:17] 可能Witcher的遊戲還是什麼的
[45:18] 那其中有兩三款我沒有玩過
[45:19] 就爽就放在那边
[45:20] 以后的孩子可以玩
[45:21] 也不一定
[45:22] 因为现在蛮多人会买一堆Hgame
[45:23] 那可能又不敢跟孩子分享
[45:25] 他可能他死前的最后一个愿望是
[45:27] 除了这个低潮要清掉之外
[45:29] 我的Steam账号要帮我销毁掉
[45:31] 因为里面有太多有的没有的游戏
[45:32] 有可能这样
[45:33] 但他承载了很多人的回忆
[45:34] 那他也是很多人找到快乐的泉源
[45:37] 反正你抓到Steam之后
[45:38] 他就像是一个百货公司一样
[45:40] 然后很多游戏
[45:41] 然后在夏天在冬天都会有一些特价
[45:44] 就很棒
[45:45] 就让大家很有那种参与感
[45:46] 你可以在上面就去找
[45:48] 红眼路比
[45:48] 然后跟暗花夜战
[45:50] 就是晚上的暗
[45:52] 花花flower
[45:53] 夜夜玩
[45:54] 那战战放
[45:55] 这个也是我们的游戏
[45:56] 我们参与投资游戏
[45:58] 就先把它称为是我们的游戏
[45:59] 这个下有demo可以玩
[46:01] 红眼路比目前是有demo
[46:02] 但明天正式上市
[46:04] 你就可以拿出你的魔法小卡
[46:05] 刷下去
[46:06] 就算你可能不会玩游戏
[46:08] 你也可以让你的儿子玩
[46:09] 或是让你的朋友玩
[46:10] 希望大家都可以支持
[46:12] 优质的台湾游戏开发团队
[46:14] 下面一位
[46:14] Restling Chen
[46:16] 梦宫Chika安
[46:17] 发现打Chika的时候
[46:18] 会自动选自选成China
[46:20] China
[46:21] 7月10号是我女朋友的生日
[46:23] 麻烦帮我跟挂号试篮的女朋友说
[46:26] 那四个字
[46:26] 生日快乐
[46:28] 你看终于老实了嘛
[46:29] 那想请问你在新入股物语的女角排名
[46:33] 挂号SVE也可以
[46:34] 我每次都在Heli跟Abigail之间犹豫
[46:36] 祝梦宫Chika全家开心
[46:38] 诺亚安哥平平安安长大
[46:40] 这个人的性癖跟我一样
[46:42] 这样讲性癖好像不太对
[46:43] 偏好了
[46:44] 我也是觉得这个Heli
[46:45] 然后跟Abigail蛮不错的
[46:47] 那我没有记错的话
[46:49] 你可以去像是什么Nexus Mode
[46:51] 然后可以找到新入股的Mode
[46:54] 你可以把他们改得更性感的模样
[46:56] 这个给你参考看看
[46:57] 下面一位还在想ID
[46:59] 孟公安第一次留言
[47:00] 从以前就会有赔钱股票
[47:02] 不想认赔的坏习惯
[47:03] 前阵子稍微的改掉
[47:04] 但最近这种盘又觉得
[47:05] 好像凹一下会回来
[47:07] 该怎么改掉这个坏习惯呢
[47:08] 那另外想跟高雄金语冰说
[47:10] 虽然股市路上起起伏伏
[47:12] 看到别人跟单赚烂
[47:14] 会怀疑自己是不是研究方向错误
[47:16] 但是希望可以靠自己赚大钱
[47:17] 一起加油
[47:18] 也祝孟公全家身体健健康康
[47:20] 开开心心爱你
[47:20] 会爱你
[47:21] 这题我觉得不好回答
[47:24] 就理论上像我们都知道说
[47:26] 这个股票要有一定程度的纪律
[47:27] 就如果说你设定了条件
[47:29] 达成了
[47:30] 那你就应该要出场
[47:31] 那他可能是某一条均线
[47:33] 或者说某一次的财报的结果
[47:35] 或什么的
[47:36] 那如果说达成
[47:37] 理论上对
[47:38] 你就要比较硬性的出场
[47:39] 但是我必须得说
[47:40] 在过去的几年
[47:42] 我也变得
[47:43] 我不喜欢太硬性的填损
[47:46] 那我觉得我有这样子的改变是
[47:48] 我对我自己的研究实力
[47:50] 或是掌握度有更深的体会
[47:52] 我发现说
[47:53] 其实我东西几乎都会看对
[47:55] 所以除非是我知道
[47:56] 有更好的机会成本的地方
[47:57] 就是我换去那边
[47:58] 那个东西一看就是马上要喷的
[47:59] 我才会换过去
[47:59] 那不然有时候
[48:01] 就算他可能已经达到
[48:02] 过往我也要出场的地方
[48:04] 就在说他摸到月线了
[48:05] 那我就没有出去
[48:06] 因为以前我可能
[48:06] 这个月线我就会出去
[48:07] 可是现在就会觉得说
[48:08] 也懒得动了
[48:09] 反正就给他洗一洗
[48:10] 搞不好后面就再上去或什么的
[48:11] 因为你已经有一些经验
[48:13] 可以去支持你这样做
[48:14] 所以我会觉得
[48:15] 当然你现在没有经验的时候
[48:16] 你确实是要有一些
[48:17] 比较硬性的防呆机制
[48:19] 就类似说以前那个3.5磁片
[48:21] 不是反过来就推不进去吗
[48:22] 或者光碟片
[48:23] 如果你放反
[48:23] 它就没有办法读取
[48:24] 你要有一些这样的机制
[48:26] 去以防你上头了
[48:28] 你知道你被鬼牵走
[48:29] 或者说你晕车之类的
[48:31] 然后你可能会死在里面
[48:32] 你要设计这样一个机制
[48:34] 但是你后来开始稍微懂之后
[48:35] 我觉得我们都是用一个
[48:36] 部位上先去做封控而已
[48:38] 就比较不会像过去
[48:39] 去設一些那種很硬性的
[48:40] 停利的點
[48:41] 像這次老實講
[48:42] 那種中小在大回檔的時候
[48:44] 其實我也是因為說成本拉太遠
[48:46] 所以我前面也膨脹
[48:47] 因為以前就是
[48:47] 你知道這種東西都已經噴出去
[48:49] 都已經處置這麼多天了
[48:50] 以前怎麼樣
[48:51] 十日線我還在丟
[48:52] 再不記月線丟
[48:54] 就這一波有蠻多是
[48:55] 我快到季線我才丟
[48:56] 為什麼
[48:57] 因為你就覺得說
[48:57] 反正我賺這麼多
[48:58] 但後來真的回到季線
[48:59] 你也覺得蠻痛的
[49:00] 等於你少賺超大一段
[49:01] 但就這樣吧
[49:03] 我覺得那東西都有彈性
[49:04] 就像說如果今天這個東西
[49:05] 他並沒有噴這麼兇的話
[49:07] 我一定是守得很严
[49:08] 就是因为你想说
[49:09] 喷多了过往其实台股的惯性
[49:12] 在过去的半年一年
[49:13] 就是拉回随便买多一码
[49:14] 想说这次可能也一样
[49:16] 但这次就真的不一样
[49:17] 就回比较深一点
[49:17] 所以该怎么做还是有去做处理
[49:19] 这就是比过往慢
[49:20] 所以我觉得会有一定程度的弹性存在
[49:23] 但如果你是新手的话
[49:24] 尽量不要有太多的弹性
[49:26] 下面一位Renji
[49:28] 今年五月电脑展有看出
[49:29] 跟前两年比较起来
[49:31] 从之前的GPU散热方案
[49:32] 今年大部分摊位多了很多
[49:34] CPU跟800V的机柜方案
[49:35] 比起CPU感觉800V这一块
[49:38] 美股反映的还没有很多
[49:39] 是否可以期待下半年
[49:41] 有机会往800V去反映
[49:43] 以及主要在800V
[49:44] 有特别看好的美股企业吗
[49:46] 像是Navitas Wolfspeed
[49:48] 然后跟STM
[49:49] 可以啊其实可以
[49:51] 但是我觉得
[49:51] 可能这个比较难去处理
[49:54] 因为我们现在可能很习惯
[49:56] 我觉得因为过去的惯性
[49:57] 就是我知道说
[49:58] 可能国际族群在动什么
[50:00] 然后我们台湾的去找对应的
[50:02] 像记忆体或是被动元件
[50:03] 其实都成立
[50:04] 就会赚钱
[50:05] 只是像是在公立原件
[50:07] 台湾在喷的时候
[50:08] 美股是没有喷的
[50:09] 然后美股在更前面
[50:11] 他在喷的时候
[50:12] 台湾是没有动的
[50:13] 后面会怎么样
[50:14] 老实讲不知道
[50:15] 我们只知道说
[50:16] 就像你讲的这些
[50:17] power related的东西
[50:18] 他在市场上的表现都很好
[50:20] 就是我们可以确定的是
[50:21] 营收获利会好
[50:22] 但是我们不确定是市场会不会动
[50:24] 所以我如果要给你一个小建议的话
[50:27] 我会觉得你把它拉一包
[50:29] 然后相关的族群都拉一包
[50:30] 当有一天你注意到
[50:31] 他们都集体在喷什么
[50:32] 5% 8% 10%的时候
[50:33] 那时候再来看要不要介入
[50:35] 我觉得我会这样子抓
[50:37] 就是因为现在市场上
[50:38] 严格上来说
[50:39] 题材真的太多了
[50:40] 但你有耐心要用蹲的
[50:41] 没有问题
[50:42] 那只是如果是想要去
[50:44] 像你讲
[50:44] 你已经有感觉某个东西
[50:46] 你看到他们集体去表态的时候
[50:48] 一般那时候上去
[50:49] 可能效率会稍微好一点
[50:50] 不然你蹲
[50:50] 真的不知道蹲到什么时候
[50:51] 因为现在的选项很多
[50:53] 那至今感觉有在缩手
[50:55] 所以不确定会不会有些东西
[50:57] 可能后面就不涨了
[50:58] 他就在那边横到死之类的
[51:00] 所以要稍微的考量一下
[51:02] 但其实也没差
[51:03] 反正就进去蹲
[51:03] 那不會動一段時間之後
[51:04] 你發現說沒有意思你自己回走了
[51:06] 好大家再見拜拜
