[00:00] 欢迎收听谷外,我是星梦宫
[40:56] 我好喜欢工作
[40:58] 钱不在意
[40:59] 那可能是说家里有矿的才这样想
[41:01] 但绝大多数人其实你出来工作
[41:03] 你陪人家在那边打工做衣
[41:05] 打哈哈撒小的
[41:06] 你就是为了去换一口饭吃
[41:08] 老师简单来讲是这样
[41:10] 所以既然说这个工作
[41:12] 目前可以让你去满足
[41:14] 就是交屋的需求的话
[41:16] 即便你可能有一些不如意的东西
[41:18] 但是因为你的主因是你要去交屋
[41:20] 你当然就先忍耐
[41:22] 就先忍
[41:23] 可能就等到说贷款办下来
[41:25] 稳定之后
[41:25] 你再去换别的工作
[41:27] 我觉得这就是一个解方
[41:28] 可是你要了解说
[41:29] 你的生活的目的
[41:30] 你的目的并不是要跟你的老板妈的
[41:33] 变成是好朋友
[41:35] 一起去打高尔夫上酒店
[41:36] 不是
[41:36] 你是为了要交屋
[41:38] 所以只要这个东西
[41:39] 可以让你顺利的交屋
[41:40] 你管他是什么几百人
[41:42] 他只要不要说
[41:43] 让你上班上到
[41:44] 你只要一想到要去上班就很忧郁
[41:46] 那就没问题了
[41:47] 但如果说已经影响到你的心理的话
[41:49] 那当然就是取舍问题
[41:51] 你可不可以为了说
[41:52] 就是不要让自己心里这么难受
[41:55] 去延迟你交屋的梦想
[41:56] 如果可以
[41:57] 那当然就换工作
[41:58] 所以其实要先去理清楚说
[42:00] 你到底顺序是什么
[42:01] 然后类似像上一个QA一样
[42:03] 你到底买的理由是什么
[42:04] 那谁知道
[42:05] 你自己才知道
[42:06] 那除非说你自己知道这个理由
[42:08] 你又做的离一拉拉
[42:09] 那还有一个讨论的可行性
[42:10] 但如果说是要问那种开放性的问题
[42:12] 那太难了
[42:13] 因为每个人想的都不一样
[42:14] 下面一位
[42:14] 彭在要扁
[42:16] 原来要剪
[42:16] 他讲的不是我讲的
[42:17] 嗨老公
[42:18] 一直以来自己有做基本面的研究
[42:20] 但过程发现做的不太好
[42:21] 因此想请教
[42:22] 关于股票透过基本面的角度
[42:24] 买进的故事
[42:25] 怎么样抓才对
[42:26] 想听来大家用当年买PS4
[42:28] 或是PS5的故事举例
[42:30] 挂号单纯选发生很久
[42:32] 举例其他也可以
[42:32] 不太知道买进故事
[42:34] 这件事情要怎么看
[42:35] 单纯就预期PS4卖很好
[42:37] 供应链营收大增吗
[42:38] 但供应链那么多家
[42:40] 怎么知道谁有订单
[42:41] 对谁的营收大增最多
[42:42] 或是怎么知道哪个环节
[42:44] 是市场愿意炒的
[42:45] 想听来大家完整分享一次
[42:47] 许愿拜托
[42:48] 其实像你这样的一个问题
[42:50] 就是在过去的很多的集数
[42:52] 都是不停的重复
[42:53] 因为我们的逻辑都是一样的
[42:55] 我们都是用同样的东西去做一些讨论跟示范
[42:58] 像为什么会去讨论一些AI伺服器
[43:00] 就是我知道说在AI伺服器里面
[43:02] 有某一些环节
[43:03] 你用比较大的框架来说就是GPU
[43:05] 可是GPU设计的东西有什么
[43:07] 它有设计
[43:08] 有进元代工
[43:09] 有后段的测试
[43:10] 有这些探针卡
[43:11] 有下面的板子
[43:13] 一些封装的方式
[43:14] 然后跟最后面出货出去
[43:15] 组装厂
[43:16] 谁是用NVL的一个方式
[43:19] 谁是用Buy and Sell的方式
[43:20] 其实都影响到我们对它买进与否的一个判断
[43:23] 那或是说像前阵子有去聊到
[43:26] 因为你讲消费性产品
[43:27] 可能比较可以理解的话
[43:27] 我们那时候去做任天堂相关的股票
[43:29] 那任天堂相关股票
[43:31] 你今天出了一个Nintendo Switch
[43:33] 那大家可能觉得说
[43:34] 我就直接买任天堂就好
[43:35] 对这是一个解方
[43:36] 那可是有些人会想买什么
[43:37] 他会想买说可能PS4
[43:39] 或者说PS5
[43:40] 或者Switch的组装厂
[43:41] 那或是像我们会更进一步的去找说
[43:43] 我知道说你这个Switch里面
[43:46] 可能一些感测元件是用谁的
[43:48] 那我知道你的Dongo可能是用谁的
[43:50] 你的这接头是用谁的
[43:51] 那为什么会决定要去买它呢
[43:53] 因为就像说我今天如果去买
[43:55] 某一个大家的公司
[43:56] 那他的这个产品的组合
[43:58] 可能对他来说
[43:59] 对这个机子就算卖得很好
[44:01] 那我会受惠
[44:02] 可是我的营收的增长幅度其实不高
[44:04] 可是对一些公司来讲
[44:05] 他可能因为吃到这个
[44:07] 某一个小元件的订单
[44:08] 那即便说他只是里面的一个小元件
[44:10] 但你想因为他公司的市值是小的
[44:12] 所以对他来讲
[44:13] 这都是一个很大的营收的增长
[44:15] 所以我们会往这样去挑
[44:17] 那至于要怎么样挑这些东西
[44:18] 这就是怎么讲
[44:19] 你研究能力的一个差别
[44:20] 就原来是说
[44:22] 其实每个人都是去工作赚钱
[44:24] 简单讲生活中的每个人都这样
[44:25] 可是为什么有些人是郭台铭
[44:27] 有些人是黄仁勋
[44:28] 他们也是工作赚钱
[44:30] 可是有些人是
[44:31] 不知道你只能够去打打零工之类的
[44:33] 混口饭吃
[44:33] 为什么会有这样的差别
[44:34] 那就是认知程度的一个差别
[44:36] 所以像基本上我也不敢讲说
[44:38] 自己是非常的强大
[44:39] 像我刚才前面甚至直接跟大家说
[44:40] 很多东西我自己研究完之后
[44:42] 然后去跟产业的朋友讨论
[44:43] 才被踩刹车
[44:44] 因为发现说我想过头了
[44:45] 所以我觉得他是需要花很多时间
[44:47] 去堆砌的东西
[44:48] 其实看你的问题就知道说
[44:51] 你还在很前面的阶段
[44:53] 所以你会觉得你撞币是很正常的
[44:55] 你不要太容易的认为说什么
[44:57] 你只要随便研究
[44:58] 可以把大家打爆
[44:59] 哪有自己来讲
[45:01] 我一天十几个小时
[45:02] 你要拿什么跟我拼
[45:03] 你当然有可能拼我
[45:04] 就你可能天分比我好
[45:05] 我总算是有机会
[45:06] 只是看你的说法
[45:08] 就你应该还在很浅的地方
[45:09] 所以你不要去认为说什么
[45:10] 你只要随便研究一下
[45:11] 就可以把人家打爆
[45:12] 你去做几个周期之后
[45:14] 你会慢慢理解
[45:15] 有时候甚至是需要自己
[45:16] 给人家不知道
[45:17] 撞个灰头图链之类的
[45:18] 像我们之前在做
[45:19] 那个平概股的时候
[45:21] 以前这样做是有效的
[45:22] 会赚钱
[45:23] 后来就没效了
[45:24] 那为什么后来会没效
[45:25] 你就慢慢的理解
[45:26] 有些东西就算你看对
[45:27] 可是市场不喜欢
[45:28] 市场喜不喜欢怎么看
[45:30] 你后来就懂了
[45:31] 就看价格变化就知道了
[45:32] 这个东西如果真的
[45:33] 大家喜欢的话
[45:34] 那那个价格变化
[45:35] 一定会有感到让你发现
[45:37] 就是大家会去骂说
[45:38] 炒作
[45:39] 喷那么高
[45:40] 一堆人乱买
[45:41] 法人乱买
[45:42] 那个就是大家喜欢的东西
[45:43] 可是真的发生的时候
[45:44] 你敢不敢买
[45:45] 很多人不敢买
[45:45] 怕高
[45:46] 那这样去买便宜的东西
[45:47] 他便宜的东西都不会砸
[45:48] 就算他可能真的有收费
[45:49] 收啊
[45:50] 没有人喜欢还是不会动
[45:51] 所以最终股票还是回归到供需的
[45:53] 那你所有的研究
[45:54] 不管什么基本面
[45:55] 技术面 筹码面
[45:56] 那个都只是去想办法
[45:58] 去了解这个供需的变化是怎么样
[46:00] 我这可能要揣摩一下
[46:01] 下面一位大猪猪留言密码测试
[46:04] 只是想测试一下
[46:05] 顺便问一下
[46:05] 这位的钱包是否在桌子的左上角
[46:08] 挂或右上角
[46:08] 就这样
[46:09] 感爱你
[46:09] 我现在在我自己的口袋里面
[46:10] 下面一位气氛仔挑战二次留言
[46:13] KKKKKK
[46:14] 那孟公想问
[46:17] 如果有好一点的话
[46:18] 就太好了
[46:19] Oh yeah
[46:20] 那拜托猛攻用
[46:21] 舌都要爱再飙高音的语气
[46:24] 不是啊
[46:24] 这个是上次那个地方妈妈
[46:26] 是不是就一定要我唱舌都要爱
[46:28] 那真的没有办法
[46:29] 以前我们还会唱离歌
[46:30] 以前大家去KTV
[46:31] 最喜欢唱离歌
[46:32] 那只是现在离歌
[46:34] 也是没有办法上去
[46:35] 真的太难
[46:35] 而且我唱出来
[46:36] 我会破坏大家的耳朵
[46:37] 他说感恩梦工大大
[46:39] 好人一家一生平安
[46:40] 那另外推个香香的podcast
[46:42] 18.9
[46:43] 那主要是两位女主持人
[46:45] 分享自己身为女同志的
[46:47] 感情历程
[46:47] 家庭出柜
[46:48] 故事生活经验
[46:49] 跟各种观点分享
[46:51] 谢谢
[46:51] 下面一位
[46:52] 阿云
[46:53] 阿云你好
[46:54] 想请你推荐皮诺可可饭跟面各一道
[46:57] 谢谢目前五年来的陪伴
[46:59] 最近开始听你的每一集
[47:00] 都必须听了三次以上
[47:02] 希望你们一家继续幸福开心
[47:04] 饭的话就野菇炖饭还不错
[47:06] 面的话
[47:07] 我觉得肉浆面就还蛮好吃的
[47:09] 下面一位
[47:10] 6257
[47:10] 6285
[47:12] 新游戏什么时候要上线
[47:14] 饥渴中
[47:15] 我们最快应该第二第三季左右
[47:17] 轰炎路比
[47:17] 那接下来下一款的话
[47:19] 时间到会再跟大家介绍一下
[47:21] 那其实我们已经有游戏是上线中的
[47:23] 只是说我们
[47:24] 因为可能跟每个团队谈的deal不一样
[47:27] 所以不一定会去做一些宣传
[47:29] 所以大家可能已经默默的
[47:31] 有支持到我们的游戏
[47:32] 非常感恩
[47:33] 那再来
[47:34] 他这个是在留发财密码
[47:36] 很多时候我会注意到
[47:37] 我们听众来留一些号码
[47:38] 那些号码后来都很活泼
[47:40] 62577最近蛮多人在看的
[47:41] 就是他是光通
[47:43] 或者说像Marvel的后段
[47:45] 那这个最近确实像那个棋棒一样
[47:47] 有被绑在一起
[47:48] 大家一起来看
[47:49] 下面一位
[47:49] 古海人生
[47:51] 究竟死空头要如何存活
[47:53] 依可否MK推荐关注的做空大师
[47:56] 或是国内比较可以参考的
[47:57] 做空猛男跟名人
[47:59] 想多了解做空操作
[48:01] 或是空方的思维跟策略
[48:03] 二为什么问一
[48:04] 因为之前做多完全抱不住
[48:06] 常常跳空或是涨停
[48:07] 就忍不住出掉
[48:08] 但是做空反而可以忍受
[48:09] 每天被割一点
[48:10] 然后一次反咬一大口的操作
[48:12] 那目前长期下来报酬还是负的
[48:14] 是顺着自己的心性去调整操作
[48:17] 深入研究跟检讨
[48:18] 或是整个改掉操作比较好呢
[48:20] 感谢您的回复爱您
[48:21] 首先这位弟兄还是要强调
[48:23] 做多在股市里面的期望会是比较好的
[48:26] 而且其实一个很简单的数学
[48:28] 就是你做空最多就是100%
[48:30] 对吧
[48:30] 你做多是可能是无限大的
[48:32] 因为做空最多就跌到归零下市
[48:35] 你要去找人家拿股票来回补之类
[48:37] 所以建议大家都还是做多
[48:39] 那做空的话
[48:40] 国内当然也有名人
[48:41] 只是我们就
[48:42] 这绝对不是卖关子
[48:43] 不好意思讲
[48:44] 也不能讲
[48:45] 因为讲了可能会害到人家
[48:47] 简单来讲
[48:47] 做空就是一个仍然寒大的东西
[48:49] 甚至有些做空的人会搞到
[48:52] 被公司派去找
[48:53] 可能间谍去跟踪你之类的
[48:55] 就是真性色
[48:56] 就去看你在干嘛
[48:57] 然后去发一些黑函或什么的
[48:58] 所以做空的人
[49:00] 其实在市场里面是
[49:01] 比较不被喜欢的
[49:02] 但很多时候你会注意到
[49:03] 在一些讨论区里面
[49:04] 做空的人好像比较多
[49:05] 跟着打嘴炮
[49:06] 因为你去看空单
[49:07] 就知道说大家都没有空多少
[49:08] 可是真正的大空头
[49:09] 其实他们会很讲究要低调
[49:11] 那我身边是有这样子的人
[49:12] 我觉得他非常厉害
[49:13] 他有一个逻辑
[49:14] 我觉得超好奇
[49:15] 他讲说
[49:15] 我要去从一万档股票里面去找
[49:17] 谁会比较很难
[49:18] 可是我从喷起来的
[49:20] 一百只里面去找谁是假的
[49:21] 我觉得简单很多了
[49:22] 所以他跟你一样
[49:23] 他也是去恐然后忍受一下
[49:24] 被嘎被嘎
[49:25] 那可能最后面蛮多都是有收获
[49:26] 至少他是有赚钱的
[49:28] 那可是你都说
[49:29] 你自己是没有在赚钱的
[49:30] 所以不知道
[49:30] 搞不好你真的是选错方向
[49:32] 那国外的话
[49:32] 最有名一定就是那个Michael Burry
[49:34] 可是Michael Burry
[49:35] 我早期的节目有去分享说
[49:37] 我还蛮喜欢他的一些想法
[49:38] 但后来近期我不太喜欢他
[49:39] 特别是他开始把自己改名叫卡山卓卓
[49:41] 我就注意到这个人是很怪怪的
[49:43] 然后外加最后发现
[49:44] 真的是吗
[49:44] 以前都没有去调查到这一点
[49:46] 原来他的AUM这么小
[49:48] 他真的是很小资
[49:49] 就是当然过去我也很难想象
[49:51] 我会讲出这样的话
[49:52] 但现在看
[49:53] 就是至少跟我自己的生活圈比
[49:55] 他并没有很大资
[49:57] 其实跟我的想象也是一样
[49:58] 就是你去看股票会赚钱的那些人
[50:00] 几乎都是多头
[50:01] 你很少看到是时空头
[50:03] 所以这是一个怎么讲
[50:05] 选择比努力还重要的事情
[50:07] 那当然不排除
[50:08] 你是万中选一的一个空方大猛男之类的
[50:10] 但你的绩效已经会告诉你答案了
[50:12] 所以如果你的绩效已经告诉你说
[50:13] 就不是这样子了
[50:14] 那或许你要改善的是
[50:16] 你抱不住标的这件事情
[50:17] 好那这段时间再见
