[00:00] 歡迎收聽古埃,我是聖夢宮,本期節目由Backbone贊助
[37:23] 你捐30%至少30%30%的生活費把它捐出去你那個月就吃土沒關係啦你都考上了你要怎麼樣就吃土吃一個月也不會死掉啦你那個願就是說你要許下去的時候你的代價也要夠大不然有時候你不會害怕嗎
[37:35] 說幹你用一個超垃圾的東西去許願
[37:38] 然後還真的被你許到
[37:39] 你不覺得感覺就是
[37:40] 不知道就是
[37:41] 可能默默的某些東西會被拿走嗎
[37:42] 我都會怕這種事情啦
[37:44] 所以我就幫你加嘛
[37:45] 30%生活費也不是什麼大不了的事情
[37:46] 希望你可以順利考上
[37:47] 下面一位
[37:48] CC土兔
[37:50] 捏軟捏到跟癌癌大單單一樣大
[37:51] 癌癌大上次有幸被您唸叨留言祝福之後
[37:54] 我兒也順利的完成切肝手術了
[37:56] 切下來的部分
[37:56] 媽的比我握懶蛋的手還大
[37:59] 那謝謝您及各位的祝福
[38:01] 也希望接下來一切順利
[38:02] 感恩愛您
[38:03] 那是說本來想說
[38:04] 與其相信來路不明的老師
[38:06] 不如去買主動型
[38:07] 那至少真槍實彈的露給大家看
[38:09] 但今天看到00981A
[38:12] 買了0050ETF
[38:13] 那買ETF到底什麼騷操作
[38:15] 跪求夢工解惑
[38:17] 難道真的是想要更多的大吉吉嗎
[38:20] OK首先先恭喜你的孩子
[38:23] 然後順利平安
[38:24] 然後再來講說
[38:25] 981A買0050
[38:27] 我知道這個很多人在幹掉
[38:28] 就說這個某種程度上
[38:29] 是一種那種套娃娃
[38:30] 就抽你兩次手續費
[38:32] 你0050就已經要給人家抽費用
[38:34] 然後這個981再抽你一次
[38:35] 那我幹嘛不要直接買0050就好
[38:37] 可是問題是
[38:38] 你買981A某個程度來說
[38:40] 你就是買他的判斷
[38:41] 就是他去判斷說
[38:43] 我現在該配什麼東西
[38:44] 所以他搞不好
[38:45] 就可能跟我想法一樣
[38:47] 就是說如果今天
[38:47] 我是981A的操盤人
[38:49] 當然我沒有對外募資或什麼
[38:50] 可是你看很多時候
[38:51] 我不是跟大家講說
[38:51] 我不知道買什麼的時候
[38:53] 那這時候如果是投資我的人
[38:55] 可能會想說
[38:55] 幹你媽你要買0050
[38:56] 那我幹嘛不要自己買
[38:57] 可是問題是
[38:58] 它又不是全部都是0050
[38:59] 它有其他東西啊
[39:01] 那只是說當然買0050
[39:02] 這個是可以被公平的事情嘛
[39:04] 就可能對有些人會不喜歡
[39:05] 可是我就覺得
[39:06] 它只要不是說什麼
[39:07] 我去買00981A
[39:08] 就你買了50%的0050
[39:09] 那真的太過分
[39:10] 那真的就非常過分
[39:11] 可是如果說買一點點
[39:12] 我自己覺得還好
[39:13] 但言歸正傳
[39:15] 我自己不會去買這類的產品
[39:16] 所以也沒什麼要討論
[39:17] 我只是稍微分享一下
[39:18] 我自己的一個心得
[39:19] 下面一位
[39:19] 腰痛會不會是
[39:23] 追尖盤突出啊
[39:24] 可以去拍個電腦斷層照一下
[39:26] 那拜託孟公
[39:27] 模仿兔媽的語氣
[39:29] 兔媽誰也不知道
[39:30] 我不確定是不是啊
[39:33] 但其實後來發現說
[39:35] 很多時候腰痛
[39:35] 就是因為我真的坐太久
[39:37] 我只要不要坐這麼久
[39:37] 不會痛
[39:38] 那對有空可能去照一下
[39:39] 下面一位
[39:40] 國泰王陽明
[39:41] 五星吹到爪出來
[39:42] 挨大大安大
[39:43] 可以請教一下
[39:44] 有什麼披薩骨嗎
[39:45] 不就達美樂嗎
[39:47] Domino Pizza
[39:48] 不然要什麼
[39:49] 下面一位
[39:49] 路港韭菜王
[39:51] 抱著軟體股的科技業PM
[39:54] 來大您好
[39:54] 五星春香天
[39:55] 記得您第一次講軟體股的時候
[39:57] 我看了一輪
[39:57] 只有5211有聽過
[39:58] 心想賣翻譯筆
[40:00] 還沒倒的公司可以買吧
[40:01] 就一直抱到現在
[40:02] 看著臺股破三萬
[40:03] 哪一大建議我刪APP
[40:05] 還是信貸20%
[40:06] 不會買正二
[40:07] 感謝
[40:08] 5211是哪一支啊
[40:10] 我不知道
[40:10] 一般股票的那Ticker
[40:12] 你抱出來我都一定知道是什麼
[40:13] 這個蒙田
[40:14] 我還要手機拿出來Google
[40:16] 你知道
[40:16] 我知道蒙田
[40:17] 我跟他說我有掃過他
[40:19] 它不只是錄音筆
[40:21] 我沒有記錯的話
[40:22] 它還有在做那個
[40:23] 就是類似什麼
[40:26] 你去看一些什麼租屋網
[40:27] 然後可以看到裡面的那種3D鏡頭
[40:29] 我記得它有做類似的東西
[40:30] 因為我那時候在看軟體股的時候
[40:32] 我也是把臺灣的所有相關的都少過一次
[40:35] 然後這次我發現說
[40:35] 就臺灣的軟體股選項真的是非常少
[40:37] 那只是你切入的點蠻奇怪的
[40:40] 因為你的想法是說
[40:41] 賣翻譯筆還沒有倒可以買吧
[40:43] 那我的想法是
[40:44] 賣翻譯筆你怎麼還沒有倒
[40:46] 就是賣翻譯筆
[40:47] 現在誰需要翻譯筆啊
[40:48] 它已經是變成某種非常niche的應用了吧
[40:50] 以前可能說每個人都有一個
[40:52] 或是有一個無敵電子磁點
[40:53] 現在他媽誰會有那個
[40:54] 我手機就可以辦到啦
[40:55] 就有點類似說在我的角度
[40:57] 你有點像是跑去買某個什麼數位相機股
[41:00] 錄音筆股一樣
[41:00] 因為我手機都可以做到這些東西啊
[41:02] 好但我不是倡壞這家公司啊
[41:03] 我的意思是說在邏輯上有點神奇
[41:05] 因為一般我們會想買的東西是說
[41:07] 我知道這個東西市場性極好
[41:08] 然後我才去買它
[41:09] 而不是說這個東西媽的
[41:11] 現在外面這麼慘
[41:12] 它竟然沒死我來買它好了
[41:13] 搞不好這是某種淹屁股投資法吧
[41:15] 但我是不太認同
[41:16] 所以希望你一切順利
[41:18] 然後再講說
[41:18] 這個位置去信貸20%
[41:20] 不會買正兒
[41:21] 我不知道我感覺是蠻恐怖的
[41:23] 因為很多人其實
[41:24] 老實講會這麼喜歡正兒的原因
[41:26] 就是因為臺灣的大盤
[41:27] 在過去真的很好
[41:28] 而且我看到一個統計說
[41:29] 其實過去10年來
[41:30] 臺灣是世界最強的大盤
[41:31] 所以你當然
[41:32] 你會覺得說買正兒很好
[41:34] 如果你今天的國家
[41:35] 不是臺灣的話
[41:35] 你是其他國家
[41:36] 你還會覺得國家的正兒
[41:37] 是好東西嗎
[41:38] 所以其實蠻多人的投資
[41:39] 都還是看護照鏡在開車
[41:41] 並不是說正兒不能買
[41:43] 如果強調
[41:43] 就在一些時間點
[41:44] 我也有去買這個產品
[41:45] 只是我一直是不太相信
[41:47] 所謂的無腦買東西的一個
[41:48] 說法的原因是因為
[41:50] 我們隨便舉一個例子
[41:51] 如果說當年臺灣決定要去往中國靠
[41:53] 而不是往美國靠的話
[41:54] 你覺得你的正兒子長什麼樣子
[41:56] 所以沒有一個東西是真正無腦的
[41:58] 懂嗎
[41:58] 就是你一定要一直去思考
[42:00] 我是不喜歡無腦這個說法
[42:01] 而不是說哪個商品
[42:02] 我特別不喜歡
[42:03] 大概這樣
[42:04] 下面一位
[42:04] 三重九足
[42:06] 為什麼大家都要打留言密碼測試
[42:08] 六星推
[42:09] 阿夢你好有人叫你阿夢嗎
[42:11] 太多人叫我逆稱
[42:12] 我不想叫
[42:12] 我是去年GTC跟你拍照的聽眾
[42:15] 剛好我這個月1月24號生日
[42:18] 不用祝我生日快樂
[42:19] 因為女友莎拉當天要帶我
[42:21] 威斯丁體驗天夢之床
[42:23] 蠻期待的
[42:24] 不知道阿夢有什麼很屌的裝置
[42:26] 來增添你的睡眠品質
[42:28] 另外可以幫我用高速婆婆的聲音
[42:30] 謝謝莎拉公主你最美嗎
[42:32] 我不太會學
[42:34] 但我很喜歡高速婆婆這個角色
[42:36] 莎拉公主你真美
[42:37] 我覺得蠻變態的
[42:38] 說要去威斯丁體驗天夢之床
[42:40] 就是要瘋狂
[42:41] 你看剛剛有一個聽眾講
[42:43] 我是怎麼樣有直覺
[42:44] 我會知道說
[42:44] 我這邊如果講瘋狂做愛
[42:46] 是我平常會講的話
[42:47] 可是因為這邊
[42:48] 還是有些小朋友會聽嘛
[42:49] 那我如果講瘋狂做愛
[42:50] 那不就不太好聽嗎
[42:51] 所以你看我剛剛就收手
[42:52] 可是你看我還是講
[42:53] 我也不知道怎麼會講
[42:54] OK那祝你1月24號生日快樂
[42:57] 然後再講說
[42:57] 有沒有什麼很屌的裝置
[42:58] 來增加睡眠品質
[42:59] 沒有就是一個床加一個枕頭
[43:01] 枕頭如果可以夾在膝蓋中間
[43:03] 或是墊在膝蓋下面的話
[43:04] 我覺得其實整體的體驗會變好
[43:05] 然後床的話
[43:06] 我很喜歡我的棉豆腐
[43:11] 那再想說有沒有人叫阿夢都有
[43:13] 阿夢 夢夢 公公 阿公 夢公哥 公哥 小夢 小公都有
[43:19] 或是說你要叫什麼新北Faker也是可以啦
[43:22] 什麼林口最帥
[43:22] 這個其實我覺得都是蠻可以接受的
[43:24] 下面一位 加登亞一系怪小
[43:27] 這上次那個推入乳酸飲料的怪咖
[43:29] 所以你看其實就像前面那個問報告的聽眾一樣
[43:32] 你要夠特別人家才會記住你
[43:34] 所以像這個怪咖我就記得他是誰
[43:36] 我不是怪小啦 酷啊 你就是怪小
[43:38] CD差不多來平反一下
[43:40] 想問幾個問題
[43:41] 一記得捱打以前說過
[43:43] 都不會記得Lisa的生日
[43:44] 或是紀念日之類的
[43:45] 那飲食喜好
[43:46] 這些也不會記得嗎
[43:47] 如果都是Lisa記得你的
[43:49] 那你不記得她的
[43:50] 這樣她會覺得不平衡嗎
[43:51] 二
[43:51] 幫我用川普卡到雞的聲音
[43:53] 祝我跟女友學測
[43:55] 就上牙醫系剛溫
[43:57] 還是很怪
[43:58] 我還是覺得這個人超怪
[43:59] 但好就祝你上牙醫系
[44:01] 然後再來
[44:01] 第一個
[44:02] 沒有啦
[44:02] 沒有那麼誇張
[44:03] 生日記得啊
[44:04] 2月13號啊
[44:05] 紀念日的話
[44:06] 今天是真的
[44:10] 9月14嗎
[44:12] 今天是真的想不起來
[44:14] 那飲食的話
[44:15] 其實也沒有什麼好記不記
[44:16] 因為我老婆就是隻吃澱粉
[44:17] 她不吃肉
[44:18] 所以很多人講說
[44:19] 那幫Lisa準備什麼吃素的
[44:21] 沒有她也不吃菜
[44:22] 她是隻吃澱粉
[44:23] 所以這也沒有什麼好記的
[44:24] 那但是確實有蠻多東西
[44:26] Lisa會覺得說
[44:27] 我怎麼沒有在記
[44:28] 可能她的一些喜好
[44:29] 她會用的香水
[44:30] 那個我也都沒有在記
[44:32] 那會不會引發不平衡
[44:33] 對她很常都覺得說
[44:34] 我是這個感情裡面
[44:35] 沒有用心的
[44:36] 那甚至在今年的
[44:37] 聖誕節的時候呢
[44:39] 他後來才跟我講說
[44:40] 就是我們在
[44:41] 可能吃飯吃一餐
[44:42] 淡淡講說
[44:43] 就是很高興
[44:44] 他今年有聖誕禮物
[44:45] 那這個就去揭示了
[44:47] 就到底是一個
[44:48] 多不注重細節的廢物
[44:50] 還是要強調
[44:50] 這個是一個不好的事情
[44:51] 我已經一直有在改善
[44:52] 但你看
[44:53] 其實今年我是有準備嘛
[44:54] 但他一直說
[44:54] 去年我沒有
[44:55] 那重點是我連去年
[44:56] 我沒有準備
[44:57] 我都不記得
[44:58] 所以很多時候
[44:59] 我是覺得
[44:59] 對啊
[45:00] 就是我在細節的方面
[45:01] 我覺得是
[45:02] 我也不想全部怪給
[45:03] 腦內的構造
[45:05] 就不在意
[45:06] 你想說我自己的生日
[45:07] 我都不在意
[45:08] 我怎麼會在意別人的生日
[45:09] 我怎麼會管說
[45:10] 你他媽之間是什麼日子
[45:11] 可是我後來慢慢的去調整
[45:12] 不然說在節目裡面
[45:13] 一直呼籲大家說
[45:14] 這過節的氣氛很重要
[45:16] 其實我也是講給我自己聽
[45:17] 這次有記得準備
[45:19] 這個聖誕禮物
[45:19] 就覺得說蠻高興
[45:20] 確實我老婆已經很常抱怨
[45:22] 這個不平衡的東西
[45:23] 只是你就想辦法
[45:24] 在其他地方
[45:25] 讓它平衡回來
[45:26] 你去訂一個不錯的resort
[45:27] 這樣可能就解決一些問題
[45:29] 但我們還是要
[45:30] 試著去從根本去處理
[45:32] 就是可能自己要多用心一點
[45:34] 只是這個
[45:34] 我還在努力中
[45:35] 那我覺得跟前幾年比
[45:37] 可能有進步非常多了
[45:38] 下面一位
[45:38] 張阿仙
[45:39] 孟公公到此一遊
[45:41] 艾達您好
[45:42] 先祝福您好人一生平安
[45:44] 我男友是您的遠古聽眾
[45:46] 年紀越大
[45:46] 讓自己開心的事情越來越少
[45:48] 謝謝您成為我男友的開心之一
[45:50] 1月8號他生日
[45:51] 希望艾達可以用猛男
[45:53] 對他說
[45:53] 建議哥生日快樂
[45:54] 希望每一天都有一件
[45:56] 值得讓你開心的事
[45:57] 那另外你這個女友
[45:58] 教得好
[45:58] perfect
[45:59] 沉默之秋F
[46:00] 玩的時候超緊張
[46:01] 很抒壓
[46:02] 推挨大玩一個
[46:03] 這我還沒有玩過
[46:04] 非常感謝你的推薦
[46:05] 那希望你們兩個一切平安
[46:06] 下面一位
[46:07] 包金粉圓7777
[46:09] 渣男業務背叛我朋友
[46:11] 挨大安
[46:12] 請問有位同事
[46:13] 已經結婚了
[46:15] 有兩個小孩
[46:15] 最近跟公司同一個部門的
[46:17] 大奶女業務搞外遇
[46:19] 而那個大奶女業務
[46:21] 同時又跟部門裡的
[46:22] 一個男業務在一起
[46:23] 那由於我認識A的老婆
[46:25] A不止外遇
[46:27] 還一直說他老婆很廢
[46:28] 沒有工作
[46:29] 請問你覺得
[46:30] 我應該要跟A的老婆講嗎
[46:31] 謝謝來到解惑
[46:32] 這類的問題
[46:33] 我都會先問自己一句話
[46:35] 幹我屁事
[46:35] 所以其實你可以講說
[46:37] 我是一個冷漠的人或什麼
[46:38] 但是我只能夠說
[46:39] 可能會覺得我冷漠的人
[46:41] 他們沒有公親便宜事主的經驗
[46:44] 就是你可能想要去幫人家怎麼樣
[46:45] 然後最後面
[46:46] 明明是我幫你
[46:47] 明明是我跟你講
[46:48] 明明我揭露了什麼真相
[46:50] 就你們兩個怎麼都一起討厭
[46:51] 我怎麼一次失去了兩個朋友之類的
[46:53] 這個就是你蠻高几率會遇到的
[46:55] 首先你不知道
[46:56] A是不是自己也在玩嗎
[46:57] 搞不好A玩很大
[46:58] 因為我自己身邊的朋友
[46:59] 我不知道講
[47:01] 我每個身邊朋友都這樣
[47:01] 但是我觀察過一些案例
[47:03] 就是其實老公跟老婆各玩各的
[47:06] 一個提供經濟
[47:07] 一個提供情緒價值
[47:09] 實際上你覺得他們需要人家
[47:11] 去把這個遮羞布給掀起來嗎
[47:12] 其實我們都知道在各玩各的
[47:14] 你覺得他需要去掀起來嗎
[47:16] 或者說就算今天可能
[47:18] 不知道老公或老婆在家
[47:20] 然後他什麼樣
[47:22] 就是說他沒有工作
[47:23] 他在被另外一方養好了
[47:24] 那你去揭露這個
[47:26] 那是不是代表說
[47:26] 他們可能就要拆散
[47:28] 可是他現在可能當一個
[47:29] 不知道
[47:29] 富少或是富婆
[47:31] 當得很開心啊
[47:32] 他每天就拿他老公
[47:33] 他老婆錢
[47:34] 他也覺得這樣生活可以啊
[47:35] 可是你今天被別人揭穿之後
[47:37] 我就要去中斷這個感情
[47:38] 他真的會感謝你嗎
[47:40] 懂我意思嗎
[47:41] 就是我不知道
[47:42] 我覺得這種事情
[47:43] 太難去做處理了
[47:45] 但如果是我的話
[47:46] 我會直接很坦白跟大家講
[47:47] 我會覺得說
[47:48] 他媽剛好屌事
[47:49] 我幹嘛講
[47:49] 除非今天是我很好很好
[47:51] 超級要好的朋友被搞了
[47:53] 或者說
[47:53] 我的家人
[47:54] 我覺得家人你一定會介入
[47:55] 如果說超級要好的朋友
[47:57] 我都不一定會介入
[47:57] 我真的都不一定會揭露
[47:59] 我就覺得說
[47:59] 到底幹我屁事
[48:00] 每個人家務事
[48:01] 你不知道
[48:01] 他們到底怎麼想的吧
[48:02] 搞不好他們是
[48:03] 簽約在一起的
[48:04] 你怎麼知道
[48:05] 所以我真的很多時候
[48:06] 都會先問自己
[48:07] 幹我屁事
[48:08] 如果你真的正義感爆發
[48:09] 你要去處理的話
[48:10] 祝你一切順利
[48:11] 下面一位
[48:12] 個人研究小菜雞
[48:14] 五星好評真牛皮
[48:16] 嗨大您好
[48:16] 感謝上次節目
[48:17] 關於光通訊
[48:18] 以及CPU的問題
[48:19] 獲益良多
[48:20] 那接下來問
[48:21] 關於光通訊裡面的光偶合器
[48:22] 不知道這個題材
[48:24] 是否有了解
[48:24] 那麼現在所瞭解
[48:27] 傳遞訊號給GPU的時候
[48:29] 需要偶合器對準
[48:30] 像牙籤一樣大小的PIC
[48:32] 那想問光偶合器
[48:33] 在光通上的技術
[48:35] 是否是最高的
[48:36] 肯定還是大家解惑愛你
[48:37] 兄弟這兩次問的問題
[48:38] 我都有點想了解說
[48:40] 所以你想要解決的問題
[48:41] 到底是什麼
[48:41] 因為我還是回到
[48:43] 剛才前面所講的嘛
[48:44] 就是說一份報告
[48:45] 可能每個人看
[48:45] 他要看的東西不一樣
[48:47] 那像我的話
[48:48] 會對於科普的東西
[48:49] 就沒有這麼在意
[48:50] 我只在意說
[48:50] 到底哪個東西會放量
[48:51] 哪個東西會有好的價格
[48:53] 好的ASP
[48:54] 好的毛利
[48:55] 或者說可能是寡佔或什麼的
[48:56] 所以其實我不太清楚
[48:57] 你想要解決什麼
[48:58] 如果說你是要很瞭解
[48:59] 就是產業各個環節的話
[49:01] 那個其實去看那種公司的
[49:02] 報告跟簡介
[49:04] 可以講得比我清楚的非常多
[49:06] 我只能夠用簡單的方式
[49:07] 去跟你說明
[49:07] 所以像你講這個光合和器
[49:09] 沒錯就像你形容的那樣子
[49:11] 然後確實是一個比較
[49:12] 就是說在CPU裡面
[49:13] 算是那種比較高階的技術
[49:15] 可是光合和器
[49:16] 如果你直接隨便跑去Google
[49:17] 你也可能會找到翼光
[49:18] 翼光也是光合和器
[49:20] 只是說它用的可能是不可見光
[49:22] 可能是在消費跟工業產品這邊
[49:24] 那如果說你今天講的
[49:25] 這個光合器
[49:26] 我可以想象的說
[49:27] 你應該講比較高階的
[49:28] 就是在這種Data Center
[49:29] 去做應用的話
[49:30] 那可能就FOCI
[49:31] 就是上權
[49:32] 那它的這個FAU
[49:34] 可能就是說
[49:34] 在這個市場裡面
[49:36] 大家都討論過的一個東西
[49:37] 所以
[49:37] 簡單講就是說
[49:39] 對
[49:39] 就是在這個產業資上面
[49:41] 就讓你可以問我說
[49:41] 那個試試製程到底是在幹嘛
[49:43] 我可以大概跟你講
[49:44] 可是我不知道
[49:45] 就是我的技能比較點在說
[49:47] OK那我只要買哪一支
[49:48] 不是說就是我這個東西
[49:50] 到底它是很重要的環節嗎
[49:51] 老實講我真的也不清楚
[49:52] 我只知道說對
[49:53] 它是其中一個也蠻重要的環節
[49:56] 所以只能大致這樣回答你
[49:57] 好那再見
