[00:00] 欢迎收听谷爱,我是孟公,本集节目由东碧堂赞助
[38:47] 就是当时他卖一些股票
[38:49] 然后去买一个S-Class给家人
[38:50] 你说他会不会后悔
[38:52] 那个嘴炮上一定会讲说
[38:53] 早知道我留着
[38:54] 你看他股票资产要多多少少
[38:55] 可是你觉得这个资产
[38:56] 对他来讲都是重要的
[38:57] 所以我后来发现
[38:59] 其实买体验是人生中最重要的事情
[39:01] 因为你只有活一次
[39:02] 所以要尽可能的去买体验
[39:04] 不要一直想要去囤物资或什么的
[39:06] 就算你可能今天看起来
[39:07] 像是在买一些物资
[39:08] 可是重点也是物资带来的体验
[39:10] 就是不要为了花钱而花钱
[39:11] 我不知道为什么这么多人
[39:12] 会有这样的烦恼
[39:13] 就让他钱赚多就一定要乱花钱
[39:14] 这个不太对
[39:16] 下面有位Adam
[39:17] 安安主委之前有说过
[39:18] 光通走落会出来分享
[39:20] 最近有点软掉
[39:21] 希望可以听到光通相关的内容
[39:22] 还没有还早
[39:23] 真的还早
[39:24] 这个根本就不叫真正的软掉
[39:25] 真的要软掉
[39:26] 不会是长这个样子
[39:27] 那我觉得现在市场
[39:28] 已经是养出了一群人士
[39:29] 他们觉得可能每天跌一趴
[39:31] 就叫做大跌
[39:32] 跌三趴叫做崩盘
[39:33] 那当然这些人
[39:34] 后面一定都会受到
[39:35] 非常大的伤害
[39:36] 自己要有心理准备
[39:37] 就是你是会这样子讲话的人
[39:38] 除非你是反串的
[39:39] 那不然其实
[39:40] 因为每次多头
[39:41] 都有这样子的人出现
[39:41] 当这样的人多
[39:42] 我觉得后面会很惨
[39:43] 所以其实根本还没有出现
[39:44] 认真的一个回答
[39:45] 那再来
[39:45] 我也不会想要再
[39:47] 就像说他突然掉下来的时候去聊
[39:49] 因为到时候说
[39:50] 因为他喊听众截刀
[39:51] 我会认为说
[39:52] 就像我自己也不会
[39:52] 会想要车进去的时候
[39:54] 因为像前阵子
[39:54] 我自己在聊一些光设备的时候
[39:56] 就因为我就是他妈车进去
[39:57] 那当我今天前面又在那
[39:59] 我可能研究的重心也不会在那了
[40:00] 那当然他有很多的故事可以分享
[40:03] 他只是会等到
[40:04] 一样就是我们的节目
[40:05] 我们不可能去baby sit
[40:06] 每一支表底
[40:07] 我们现在可能最主要在看什么
[40:08] 我们就是聊什么东西
[40:09] 那当然他会一波一波换来换去
[40:11] 我觉得他最终就是会换回去广通
[40:13] 最后面市场发现说没有新鲜事
[40:15] 都是一些题材一直在轮动轮动这样子
[40:17] 下面位PJ
[40:18] 梦宫早安
[40:19] 请问梦宫在小资的时候
[40:20] 看到那群赚得比自己快的人
[40:22] 会不会觉得自己很烂
[40:23] 我从三月到现在明天就翻倍了
[40:24] 但是看到身边有人开大杠赚到十倍
[40:27] 就会觉得自己是不是白痴
[40:28] 虽然我知道还原杠杆后我的绩效比较好
[40:30] 但还是会觉得自己很烂
[40:31] 请梦宫分享一下
[40:32] 过来人的心路历程
[40:33] 爱你我也爱你
[40:34] 大家讲我还好没有很爱他
[40:35] 那我觉得这个东西跟资产没有关系
[40:38] 就像我可能在过去的两三个月
[40:41] 不是有一集聊到说
[40:42] 不是两三个月
[40:43] 好像是四月的时候吧
[40:44] 反正那时候因为四月
[40:45] 大家的绩效都超级好
[40:47] 然后我就去跟
[40:48] 反正就是身边比较聚资的一群人
[40:52] 然后就讲到这件事情
[40:53] 那同时提到说
[40:54] 感觉我绩效蛮妙的
[40:55] 因为真的一堆人赚的比我多
[40:57] 然后我讲完之后
[40:58] 我就被其中一位
[40:59] 我会尊称为大哥的人就
[41:01] 就喷我了
[41:02] 就说这个价值观偏差
[41:04] 一个月赚这样子
[41:05] 你用MTD算
[41:06] 你还不是用YTD
[41:08] 这个很多了
[41:08] 我就说
[41:09] 可是我们身边一堆更多
[41:10] 他说你不要比
[41:11] 你要看什么sharp ratio
[41:13] 你要看回档之后
[41:14] 他也在不在
[41:14] 反正都是一些老生常谈
[41:16] 可是真的发生在你身上的时候
[41:18] 你就会不舒服
[41:19] 所以我才会一直讲说
[41:20] 比较是快乐之贼
[41:21] 只要你有比较的心态
[41:23] 你就很难快乐
[41:24] 一个该是快乐的事情
[41:25] 你可能不知道
[41:26] 就今天获得一个什么女优
[41:28] 不应该举这个例子
[41:30] 就你获得某个偶像的签名照
[41:32] 然后或者说
[41:33] 你获得了某个新的成就
[41:35] 你可能突破一位数
[41:36] 你本来是一个超级开心的事情
[41:38] 结果你隔壁那一个
[41:39] 他有三张签名
[41:40] 然后他突破两位数
[41:42] 你突然间觉得说
[41:43] 我他妈是不是垃圾
[41:44] 你心情会掉到谷底
[41:45] 就只因为你去跟人家比较
[41:47] 你的快乐就没了
[41:48] 所以这样不要去跟人家比较
[41:49] 这个我到现在都在警惕我自己
[41:51] 就连我现在可能已经
[41:52] 我觉得我相对我早期已经好很多
[41:54] 可是你看
[41:55] 我都还会在四月的时候
[41:56] 跟大家聊这件事情
[41:57] 因为我真的去情谊一下
[41:59] 身边很拒之的说
[42:01] 你们现在怎么样
[42:01] 我真的也只是想要去讨个安慰
[42:04] 因为你看一堆人
[42:06] 像我跟你讲
[42:07] 不是跟你
[42:08] 我跟你们讲
[42:08] 不是说有一个
[42:09] 反正就
[42:10] 我还记得我刚认识他的时候
[42:12] 是他在Telegram里面
[42:13] 他还给我放那种
[42:14] 很女性化的大头贴照片
[42:16] 就想说这样子
[42:17] 我才会回他之类的
[42:18] 但反正总之就是蛮投缘的一个
[42:20] 我会称他弟弟
[42:21] 因为年纪真的是蛮小的
[42:23] 然后
[42:23] 什么哥
[42:24] 我终于破一亿了
[42:25] 谢谢大家
[42:26] 隔一段时间两亿了
[42:27] 隔一段时间三亿了
[42:28] 然后买一个房子
[42:28] 买超级贵的
[42:29] 然后我想说
[42:30] 我自己买林口的房子
[42:31] 那时候也才买三千万
[42:33] 你买一个破亿的房子
[42:35] 你还要问我股票吗
[42:36] 你还需要问我股票吗
[42:37] 我的房子才买3000万
[42:38] 然后现在也才涨到五六千
[42:40] 当然房子不是资产的唯一指标
[42:42] 但我就是调侃他
[42:44] 我意思是说
[42:44] 你这么会赚
[42:45] 你干嘛要问我
[42:46] 当然其实我们也都成长了
[42:47] 只是你看到人家
[42:48] 你想说你在他的位阶的时候
[42:51] 你也没有长得像他这么快
[42:52] 然后他长这么快
[42:53] 那我是不是
[42:54] 我真的是浪费我一生了
[42:56] 什么的
[42:56] 就会有这样的想法
[42:57] 但我觉得很正常
[42:58] 就每个人都有
[42:58] 你要做的是尽可能的
[43:00] 不要去跟任何人比较
[43:01] 大概这样
[43:01] 那下面有位Will Lin
[43:03] 孟公去搞五安
[43:04] 上次留言是4月市场爆冲
[43:06] 暂停了东非肯亚之旅的规划
[43:08] 好好享受市场的疯狂
[43:10] 顺便问了Token的价格趋势的看法
[43:12] 直到上周大家跟您有一样的感觉
[43:14] 发现追价无力涨不动
[43:15] 于是同事们跟早上都在专心的降部位
[43:19] 因为现在code都是AI在写
[43:21] 那等他狂吃Token的同时
[43:23] 总要有一些正式可以关注
[43:24] 于是除了继续出货之外
[43:26] 也重新的准备肯亚之旅的规划
[43:28] 那没有想到新闻谈出
[43:29] 肯亚西边的邻居乌干达
[43:31] 还有刚果爆发了伊波拉病毒
[43:33] 我想这就是观音断
[43:34] 要我们继续关注市场的意思
[43:36] 那只有个坏坏的想法
[43:38] 想赶快来一个沉默循环
[43:40] 给路上的少年古城上个课
[43:41] 那成长总是在受伤之后
[43:43] 最后祝孟公家永远找得到新兴趣
[43:46] 体验美好的人生
[43:47] 这个祝福一听就知道
[43:49] 这位已经就形同是我的老朋友
[43:51] 因为他已经是我的阵头了
[43:52] 我的阵头就是我会
[43:53] 非常投入一个东西
[43:54] 然后直接刷到满
[43:55] 然后就玩腻
[43:56] 然后就退坑
[43:56] 类似你看
[43:57] 我RO那时候花一百多万在买装备
[44:00] 我现在账号连开都不开
[44:01] 这仔细想想是很恐怖的事情
[44:04] 就是我到底在干嘛
[44:05] 我每次都是那种装备党
[44:07] 我就是直上
[44:08] 我什么都直上
[44:08] 然后玩一玩我就不想玩了
[44:09] 手游也是
[44:10] 但其实尼姬跟这个棕色尘埃
[44:13] 我现在还是非常感恩
[44:14] 因为玩了这么久都还在玩
[44:15] 可能是因为那个图面
[44:16] 真的长得蛮色蛮变态
[44:17] 就我还OK
[44:18] 我还喜欢
[44:19] 然后剧情又好
[44:19] 但是我真的很少
[44:21] 有可以很持续的兴趣
[44:22] 就除了这个股票
[44:23] 然后可能跟陪孩子玩
[44:24] 是不是好像
[44:25] 真的是想不到
[44:26] 那對就是後來也接受自己的這一點
[44:29] 就是反正我可以一直持續去找到新的東西好玩
[44:32] 然後去買各種體驗
[44:34] 那也是一個不錯的生活
[44:35] 那這位兄弟看起來應該是在做量化交易的
[44:39] 那你看吧
[44:40] 就是有時候我們節目講的一些東西
[44:41] 那真的是一個感受
[44:42] 那因為我們自己是主觀交易的
[44:44] 就是我並沒有用什麼大量的程式去做輔助
[44:46] 所以很多時候我真的講的就是一個
[44:48] 我感覺是這樣
[44:49] 但你看現在可以透過一些這種
[44:51] 可能做量化的人
[44:52] 因為他們可能一次刷不到50 100檔標的
[44:54] 然後他就會知道說那個東西真的拉不上去
[44:56] 所以我们当时的感受
[44:57] 就真的是这样
[44:58] 确实当时跟大家讲说
[45:00] 这个东西我感觉
[45:01] 以前点都会点上去
[45:02] 然后现在点不上去
[45:02] 然后回答就出现了
[45:03] 当然这不是要讲说
[45:04] 自己准或不准
[45:05] 这只是给大家一个验证
[45:07] 久了之后
[45:07] 你真的会对市场
[45:08] 会有一些自己的想法
[45:10] 这个想法不一定会很精准
[45:12] 就像说我知道
[45:13] 哪里是绝对高绝对低
[45:14] 不知道
[45:14] 可是就当你会觉得
[45:16] 身体不舒服的时候
[45:16] 有时候你要去听
[45:17] 你身体不舒服的讯号
[45:19] 你真的会开始相信
[45:20] 一些直觉这种东西
[45:21] 或是像这位兄弟讲的
[45:23] 他那时候本来要出去玩
[45:25] 但因为盘好
[45:25] 他就决定要留下
[45:26] 那其实也是一个直觉
[45:27] 然后再来就是
[45:28] 真的要去的时候
[45:29] 又遇到一些事情
[45:30] 所以这时候就要去
[45:31] 心难接受
[45:31] 生命给你的一些安排
[45:33] 既然没有办法
[45:34] 那就不要硬冲
[45:35] 因为我后来也发现说
[45:36] 这个蛮悬的
[45:37] 就是你想要去跟生命对坐的话
[45:39] 蛮多时候都会给你上课
[45:41] 就是时间到了
[45:42] 一些事情真的就是自然会发生
[45:44] 这个可能听起来很鸟蛋
[45:45] 真的也是要透过一些
[45:46] 可能量化的朋友
[45:47] 然后告诉我说
[45:48] 为什么我有这样的一个感受
[45:49] 但应该是这样
[45:50] 没错
[45:50] 因为自己的体感
[45:51] 已经去做过蛮多次的验证
[45:53] 下面一位
[45:53] VG6689TW
[45:56] 孟公安
[45:57] 我是之前说要清晨卖香肠的陈伯香肠
[45:59] 感谢孟公开始念Spotify留言
[46:01] 让我机会感谢你
[46:02] 在我最低潮的年
[46:04] 有幸听到你的节目
[46:05] 从此就像是老朋友般
[46:07] 每周两次的听您分享各种事情
[46:09] 也发现我们有很多想法都很相似
[46:11] 最近发现很多善意的小举动
[46:13] 竟然能够被别人记住
[46:15] 觉得蛮感动的
[46:16] 最后想要跟孟公说谢谢你
[46:17] 谢谢
[46:17] 同事苗栗人很骄傲
[46:20] 上次过年教不懂课语的朋友
[46:23] 跟他说客家话
[46:24] 亲戚拜年话
[46:25] 意大利 荷兰 墨西哥
[46:27] 这个是小学的笑话
[46:29] 小学有很多那种
[46:30] 有的没有的东西
[46:32] 像是什么mix egg
[46:33] 以前那种英文课
[46:35] 都会跟老师讲mix egg
[46:36] 然后觉得自己很好笑
[46:37] 就混蛋
[46:38] 然后再来他讲的什么
[46:39] 意大利 荷兰 墨西哥
[46:40] 就是意大利 荷兰 墨西哥
[46:42] 就是客家会讲说
[46:43] 你搞完很大一颗
[46:45] 然后没有洗过
[46:46] 你现在讲会觉得
[46:47] 就会有点那种cringe
[46:49] 杀小
[46:49] 可是以前小时候
[46:50] 真的觉得很好笑
[46:51] 大家会有很多这种
[46:52] 可能是方言的谐音梗子
[46:55] 这个真的是
[46:55] 想起蛮多以前的回忆
[46:57] 下面一位
[46:58] 会辣的番茄酱是什么酱
[47:00] 嗨梦工宝贝
[47:02] 先感谢爱大无私
[47:03] 分享各种市场的资讯
[47:05] 但也要担心
[47:05] 哪天爱大不更新
[47:06] 我就完蛋了
[47:07] 有自己试着去连接里面挖
[47:09] 发现难以在线化
[47:10] 那推顾梦工是用AI
[47:12] 爬会比较有效率
[47:13] 两个问题
[47:13] 一方面问你平常都是用什么
[47:14] prompt整理每日资讯
[47:16] 二爬下来的这些资讯
[47:17] 你怎么知道哪些有用
[47:18] 哪些画梦
[47:19] 怎么正确做好筛选这件事情
[47:22] 以前對我來講去看每日的新聞
[47:24] 跟每日的可能各家公司的重大資訊是蠻重要
[47:27] 但現在對我來講這個東西的重要度其實不大
[47:29] 像我確實有讓我的Proplexity Computer去幫我爬每日的新聞
[47:33] 之後我發現我沒有在看之後
[47:34] 那我就把它終止掉
[47:36] 就除非說今天真的我已經知道很多大事
[47:38] 或是有一些財報記的話
[47:39] 那我就讓我的agent去幫我抓資料
[47:41] 這個是我現在會做的事情
[47:43] 再來是不是會用什麼Prompt
[47:45] 就我覺得現在Prompt真的不是特別重要
[47:46] 重點是你要選到對的模型
[47:48] 所以像我覺得Proplexity Computer
[47:50] 一個月6000塊
[47:51] 然後幾乎都會把它用光再去做處置
[47:53] 我覺得這東西就很好
[47:54] 可能我今天去做資料蒐集的話
[47:56] 我蠻喜歡去用OPUS
[47:57] 如果今天是一些圖表整理的話
[48:00] 我就會喜歡用其他的模型
[48:01] 所以那個都要自己去做一些調整
[48:03] 因為可能像GPT的東西
[48:05] 有時候我自己是比較不喜歡
[48:07] 然後以前就是因為他會尬吹
[48:09] 他會讚美你
[48:09] 那個我很討厭
[48:10] 現在的話就還是覺得說OPUS是
[48:13] 可能比較精準一點
[48:14] 所以最好要自己去看
[48:15] 我覺得模型是比較重要
[48:16] 而不是你下的PROMP是什麼
[48:18] 哪一個資訊是有用跟沒用
[48:20] 那个其实某种程度上是一些体感的东西
[48:22] 就像说以现在的盘面来讲
[48:24] 你现在有看到很多东西开始出现回档
[48:25] 那我们就可以讲一个比较适快的
[48:27] 就是因为这些东西在回档
[48:29] 所以他们丢的好消息基本上都没有用
[48:30] 可是现在有些东西
[48:32] 在右上角在喷射中的
[48:33] 任何一个消息都可以变成是好消息
[48:35] 所以都有可能会放大后面的一些涨幅
[48:37] 所以我们还是会看当下的盘面去做决定
[48:39] 那这些东西其实都很难去把它写出来
[48:42] 那因为刚刚前面有一个量化的朋友
[48:44] 然后他大概有稍微讲一下他的想法
[48:46] 那我去echo他的想法
[48:47] 那我就突然想到
[48:48] 其实身边有一个做量化的朋友
[48:50] 也曾经跟我讲过这件事情
[48:51] 他就说
[48:51] 其实有一天
[48:52] 如果我可以把我的一些想法
[48:53] 讲出来
[48:54] 就你只要可以讲出来
[48:55] 然后可以让电脑去执行的话
[48:57] 我就可以轻松一半之类
[48:58] 可是我没有去试过这件事情
[48:59] 然后发现说
[49:00] 真的蛮困难的
[49:01] 他有吃一些判断
[49:02] 所以对
[49:03] 就是怎么样
[49:04] 这个没有办法明确说
[49:05] 但你会在我们节目里面
[49:06] 会感受到
[49:07] 有时候我可能前几天
[49:08] 还跟你说这个东西
[49:09] 我觉得不错
[49:10] 然后现在我突然间跟你讲说
[49:11] 这个东西可能还好
[49:12] 就类似说
[49:13] 前面我们都在讲战争
[49:14] 相关一些影响
[49:15] 然后在某一天的时候
[49:16] 那时候就跟大家说
[49:17] 我感觉战争顿化
[49:18] 我也不知道为什么
[49:19] 我会这样子讲
[49:20] 那在上集上上集
[49:21] 有朋友在那边讲
[49:22] 油价怎么样
[49:23] 我觉得就算后面
[49:24] 油价拉上去再崩下来
[49:25] 那也是后面的事情
[49:26] 可是重点是
[49:27] 你有没有抓到
[49:27] 四月这一整波
[49:28] 当下我就觉得说
[49:29] 感觉油价不中
[49:30] 那也不知道怎么形容
[49:31] 就是一个就感觉
[49:32] 其实就是去参照
[49:33] 线图走势
[49:34] 就是你可能本来
[49:35] 你知道这个消息出来
[49:36] 每次都会打下去
[49:36] 那突然这个消息出来
[49:37] 打不下去了
[49:38] 类似一下
[49:38] 软屁股不是开始转强吗
[49:40] 那如果后面
[49:45] 我連名字都記不起來
[49:46] 反正就是那個Enthropia老闆
[49:48] 整天在那邊末日言論
[49:49] 我真的不太喜歡他
[49:50] 他如果再出來狂放雷放不下去
[49:52] 你就知道說抵到了
[49:53] 所以就是這樣的一個感受吧
[49:55] 好 那就拜拜
