[00:00] 欢迎收听谷爱,我是圣梦宫,本集节目由绿藤生机赞助
[39:35] 所以一定会有东西会被你换掉
[39:37] 那你只要有这样的心态
[39:38] 就没问题了
[39:39] 所以不要觉得说
[39:40] 怎么跟大盘共生死
[39:42] 大盘不会死
[39:43] 你的个股有可能会死
[39:44] 我们的心态是这样
[39:45] 下面一位
[39:46] 冬瓜骑士爱你爱你
[39:47] 下面一位 星星
[39:49] 公哥小弟出社會後只有假日有時間打遊戲
[39:52] 加玩遊戲如果沒有朋友一起玩
[39:53] 會沒有開遊戲的動力
[39:55] 目前玩PUBG 英雄聯盟 星海爭霸
[39:57] 但這幾款遊戲近期都有點玩膩了
[39:59] 沒有新鮮感
[40:00] 求公哥推薦可以一場一局PVP或PVC的遊戲
[40:04] 愛您到火箭
[40:06] 我覺得從現在開始都是為GTA6去做暖身
[40:09] 在過程之中
[40:10] 就是不管你要玩什麼小遊戲
[40:11] 我覺得都沒有什麼太大問題
[40:12] 我近期其實玩比較多的都是手遊
[40:15] 就像我跟大家講的尼姬
[40:16] 尼基加是我生活的一个重心
[40:17] 我每天早上去解他每日任务
[40:19] 我觉得非常开心
[40:20] 我课经也课得很开心
[40:21] 他现在又要上夏季活动了
[40:23] 你看那个泳装造型
[40:24] 这个我真的没有办法
[40:25] 我钻石全部都先除
[40:27] 现在六十几万钻石
[40:28] 准备要抽到爆炸
[40:29] 如果你是要跟一些朋友玩的话
[40:31] 我想一想
[40:33] 可以跟朋友合作一起玩的
[40:35] 有一个什么Orc Must Die
[40:37] 兽人必须死
[40:38] 那个我觉得是蛮不错的小品
[40:40] PUBG跟英雄联盟
[40:42] 其实就可以一直玩
[40:43] 英雄联盟如果你平常都是在玩什么舞台的话
[40:45] 我觉得你要玩那个大乱斗
[40:47] 大乱斗很赞
[40:48] 其实我在数个月以前
[40:50] 我都是每天跟朋友来打大乱斗
[40:51] 只是后来因为我儿子要念故事
[40:53] 然后现在
[40:53] 我觉得可能是因为
[40:55] 我的生活做起变得比较正常
[40:56] 一直有在运动或什么
[40:57] 所以时间到我就想睡觉
[40:59] 我现在一段时间
[40:59] 也没有跟朋友打英雄联盟
[41:00] 不然我会一路打下去
[41:01] 我觉得大乱斗超赞
[41:03] 所以能够玩的游戏
[41:04] 其实就是那几款
[41:06] 大家现在就是为这个GTA6
[41:08] 去做暖身
[41:09] 认为是这样
[41:09] 下面一位
[41:10] Terence 公主 武安
[41:12] 当路边的阿伯都在all in的时候
[41:14] 是不是就要来天罚了
[41:15] 那请用诺娅的语音包
[41:16] 祝我最charming的妹妹生日快乐
[41:18] 要永远幸福
[41:19] 你知道以前有个说法是这样
[41:22] 插鞋桶
[41:23] 那最近有一个很流行的说法是说
[41:25] 所谓的插鞋桶都已经插到开鞋店了
[41:27] 现在是插鞋桶
[41:28] 因为在过去大家都在讲说
[41:30] 什么谁谁谁插鞋桶插鞋桶
[41:31] 然后大盘从他妈一万点插到家家四万多点
[41:34] 所以后面搞不好又要在五万多点
[41:36] 我觉得都是有可能会发生的
[41:38] 那理论上就是尽量不要去把身边的每个人都当白痴
[41:41] 什麼哪一個阿姨要進來
[41:42] 或是之前大家也喜歡拍嘛
[41:43] 什麼在開戶的地方
[41:45] 看到一個什麼比丘尼跑進去
[41:46] 就是說大盤到高點了
[41:48] 對可能在當時你事後回頭看
[41:50] 半年後他真的就是高點
[41:51] 可是5年後再回頭看
[41:53] 哇靠那些比丘尼的成本超級低
[41:55] 他買來之後就給我跑到山上去念經
[41:57] 念一念下山之後
[41:59] 直接還贖靠北太賺了
[42:00] 就有可能會有這樣的情形產生
[42:01] 所以這樣比較整天去笑人家擦血統
[42:03] 因為搞不好別人也覺得是擦血統
[42:05] 就像是很多時候會看到一些
[42:06] 那種超白痴的文
[42:07] 一看到就要說媽自己在那邊虛構
[42:08] 我今天在餐厅
[42:10] 怎么隔壁的人都在聊股票
[42:11] 那你他妈怎么不想想说
[42:12] 你搞不好在餐厅
[42:13] 你朋友问你股票的时候
[42:14] 你隔壁的那个人
[42:15] 也在上网po文说
[42:16] 我隔壁在聊股票
[42:17] 你也不知道你隔壁的谁
[42:18] 你搞不好你隔壁的是那种少年董
[42:19] 超级会赚
[42:20] 或者说什么全职投资人
[42:21] 他已经这样做好几年
[42:23] 你是第一年进来
[42:24] 然后你觉得市场热度高
[42:25] 对他来讲
[42:25] 他已经看过不知道几个市场热度高
[42:27] 所以这样不要去把大家都当笨蛋
[42:29] 就是还是要见招猜招
[42:32] 然后大盘是没有这么好去做预期
[42:38] 不得不说
[42:39] 就在过去的一段时间
[42:40] 真的有点像是说
[42:42] 在送分的感觉
[42:43] 我就身边
[42:43] 没有赚烂的是少数
[42:45] 这个很罕见
[42:46] 就到底为什么会变这样
[42:47] 我能够说
[42:47] 就我前面讲了
[42:48] 台湾钱淹脚木
[42:49] 大家都非常赚钱
[42:50] 你看经济成长率就证明了
[42:52] 其实现在整体的状况
[42:53] 真的都是还蛮不错的
[42:54] 只是当然后面会不会发
[42:56] 会
[42:56] 但这个法如果是
[42:57] 就像说两年后才来
[42:58] 两年后才来一个超大的法
[43:00] 可是两年内一堆人
[43:01] 他妈血赚到爆炸了
[43:02] 可能最后面就是剩下一些
[43:03] 真的不会封控的人
[43:04] 才会被洗掉
[43:05] 可是呢
[43:05] 你这两年的差距
[43:06] 其实也可以差很多
[43:07] 就像是
[43:08] 你知道我们在身边
[43:09] 真的都是不乏那种
[43:11] 可能从2020年
[43:12] 就一路看空到现在
[43:12] 很屌
[43:13] 那随时盘拉起来
[43:14] 就在看空的
[43:15] 那就是一路从一万多点
[43:16] 看空到现在四万多点
[43:17] 然后什么都没买到
[43:18] 就算最后面真的在
[43:20] 什么随便举一下
[43:20] 六万多点的时候
[43:21] 然后出一个崩盘
[43:22] 你觉得那可以崩回去
[43:24] 让你当初去笑的那些朋友们
[43:26] 然后他们的资产跟你一样吗
[43:27] 没有啦
[43:28] 人家都已经走远了
[43:29] 他回50%
[43:29] 他都还是赢你好几倍啊
[43:31] 所以盡量要持續的去參與市場
[43:33] 這個我覺得蠻重要的
[43:35] 那下面有位
[43:35] Jaco Chen
[43:36] 夢宮老公無安
[43:38] 我一直想知道
[43:38] 為什麼一堆人喜歡叫你夢宮chica
[43:40] 不是應該是chigger嗎
[43:41] 是不是應該端正視聽一下
[43:44] 那另外我跟我的小群好隊友呼籲一下
[43:46] 東哥你他媽機械人
[43:48] 到底什麼時候才可以cue到人
[43:49] 三項一則到底是三小
[43:51] 那另外想請教夢宮
[43:52] 如果持股能夠算命
[43:53] 那滿手TGV的我是什麼很賤的人嗎
[43:56] 愛您
[43:56] 沒有你是為夢想而勇敢自習的人
[43:59] TGV的肋骨会差吗
[44:01] 你知道像那个什么
[44:02] 恋人店包子店
[44:04] 他们最近的表现不都不错吗
[44:06] 然后之前那个TGV
[44:07] 做专孔的几家也都很冲啊
[44:09] 但最近开始出现一些回档啊
[44:11] 只能够说
[44:11] 如果你都是买在山顶的话
[44:13] 那一定是不好受了
[44:13] 那我会说为梦想而自习
[44:15] 因为我们确实是有看到
[44:16] 在不管是Corpus
[44:18] 或者说Intel的E-MIM相关
[44:20] 都有类似的应用会产生的
[44:22] 那当然像很多人争论的点是说
[44:24] 所以到底是什么
[44:24] 是什么Glass Carrier
[44:25] 还是什么Intel Poser
[44:26] 这个我们可能在几个月前
[44:27] 跟大家分析过它之间的差异
[44:29] 但不重要
[44:30] 反正题材对了
[44:31] 就是还是会持续的
[44:32] 我觉得这个话题
[44:33] 在后面都一直被关注
[44:34] 整个搜集家可能资金没有在这边
[44:36] 确实在后面会看到
[44:37] 蛮多应用的一个产生
[44:39] 那在过程之中
[44:40] 就是没有办法
[44:42] 最高有时候就会受到伤害
[44:43] 类似说记忆体
[44:44] 那时候也蛮多人中间受到伤害
[44:45] 后面又在一波大的
[44:46] 那这要怎么去做一个论断呢
[44:48] 所以要相信自己的判断
[44:49] 如果都研究好的话
[44:50] 那就做好吧
[44:52] 那再想说
[44:54] 机器人到底
[44:54] 什么时候才能够cue到人
[44:56] 有种cue一个人给我看看
[44:58] 我们都会这样讲
[44:59] 你有种cue到给我看看
[45:00] 然后再来
[45:01] 依着落出三项口给
[45:03] 我觉得可以吧
[45:03] 三项或是那个寒冰霸权
[45:05] 应该是没有什么太大的问题
[45:06] 然后再来讲说
[45:07] 为什么叫chigga
[45:07] 不是chigger
[45:08] 因为chigger是那个
[45:09] Chinese
[45:10] 就是那个什么Rich Brian
[45:12] 他以前叫自己是Rich Chigger
[45:13] 之后后来他改了
[45:15] 他现在变Rich Brian
[45:15] 他就不叫那个
[45:16] 因为那个比较有那种
[45:17] 可能会有那种种族歧视的味道
[45:19] 大家不喜欢
[45:20] 不管你是去讲这个Chinese
[45:23] 或者说你是在讲那个黑人
[45:25] 其实都不好
[45:25] 我们尽量不要用这样的一个字
[45:27] 那只是chica跟chigas是不一样
[45:29] 因为他可能是新的听众不知道
[45:30] chica是因为
[45:31] 那时候我跟大家分享
[45:31] 就是因为我太太是墨尔多瓦人
[45:33] 他们是恶意的
[45:34] 其实有点复杂
[45:36] 我太太是西班牙人
[45:37] 但总是他是墨尔多瓦裔
[45:38] 但因为他们都讲恶文
[45:40] 所以我就讲说恶意
[45:41] 背后的框架在这样
[45:42] 他们对于一些恋爱的东西
[45:44] 后面就会加上chica
[45:45] 所以像如果今天Jaco兄
[45:47] 我想要叫你说
[45:48] 就是可爱的Jaco之类的
[45:50] 那就是Jaco chica
[45:51] 类似这样
[45:51] 所以像我老婆以前会叫我BB chica
[45:53] 当然这比较浪漫一点
[45:54] 因为BB就是baby
[45:55] 就baby Chika
[45:56] 我自己听到我觉得
[45:57] 妈我都起鸡皮疙瘩
[45:58] 但有些人就因为这样
[46:00] 叫我梦宫Chika
[46:01] 是这样
[46:01] 所以对
[46:02] 他不是那个Chigger
[46:03] 不一样
[46:03] 那下面一位
[46:04] Black Chew
[46:05] 梦宫Chika安安
[46:06] 刚讲完
[46:07] 听大大的分享
[46:09] 总是能多些不同角度的思维
[46:11] 也祝Chika一家平安顺遂
[46:13] 想问梦宫对于欧恩
[46:15] 因为并购而大跌的看法如何
[46:17] 谢谢
[46:17] 这个就是很多时候很常见
[46:18] 去吃人的就会崩
[46:20] 不管什么
[46:21] 就是在市场上面
[46:22] 大家就是很流行这样的一个玩法
[46:23] 那吃人的就是有可能会大跌
[46:25] 所以你很难去解释
[46:27] 为什么会这样
[46:27] 其实美股很多时候都会
[46:29] 突然间给你一个回马枪
[46:31] 好像之前我自己的一些持股
[46:32] 像那个CrossTry
[46:33] 也是整天突然那种崩下去
[46:35] 你想说到底发生什么事
[46:36] 可是其实可能一段时间之后
[46:38] 回头看就发现说
[46:38] 就根本就没事
[46:39] 那以我的角度来看的话
[46:41] 我觉得它就是一个整病
[46:44] 然后去补上自己
[46:45] 可能缺乏拼图那一块的
[46:47] 某一种做法
[46:48] 它变成那个公司
[46:49] 算是可以去补足它这一块
[46:51] 然后它本身也有在做
[46:52] 那个触控面板相关的东西
[46:54] 那但那可能不是他
[46:56] 吃他的一个主因
[46:57] 所以简单来讲就是说
[46:57] 他只是想去完善他的portfolio
[46:59] 但市场对这件事情
[47:00] 就反应非常大
[47:01] 那至于你说
[47:02] 安生美虾的业绩状况
[47:03] 或者说未来大环境怎么样
[47:05] 还蛮不错的
[47:06] 那公司也都是给
[47:07] 非常正向的一个评价
[47:08] 我能够说那应该是
[47:09] 反正因为病狗
[47:10] 很多时候大家就是会去杀
[47:12] 那个病人的那一方
[47:13] 应该比较偏向这样的一个原因
[47:15] 下面一位
[47:15] John
[47:16] MK想问你几岁AUM达到A9
[47:18] 感谢回复
[47:19] 肺炎期间
[47:20] 差不多
[47:20] 下面一位
[47:21] ABC23698
[47:23] 孟公安
[47:24] 今天不是我的生日
[47:25] 可以对我说那四个字吗
[47:27] 谢谢
[47:27] 银杨卡
[47:28] 下面一位
[47:29] CHI
[47:29] 孟公安
[47:30] 如果地球是一张脸
[47:31] 那你知道它鼻子在哪里吗
[47:33] 最近看到你很常运动
[47:34] 还报名了10K长跑
[47:36] 想问你
[47:36] 有没有兴趣参加明年的High Rocks
[47:38] 只要跑8公里就好了
[47:39] 希望可以在现场跟你合照
[47:41] 上面的答案是非洲
[47:42] 因为非洲有很多黑头
[47:43] 我刚刚本来心中
[47:45] 还在想说什么圣母峰之类的
[47:47] 因为圣母峰比较高一点
[47:48] 看来这个
[47:49] 真的是一样米养百种人
[47:50] 世界上他妈各种怪咖都有
[47:52] 那大家想说
[47:53] 会不会去报那个
[47:54] 我根本不知道他什么东西
[47:55] 那你说为什么会去报
[47:56] 那个10K长报
[47:56] 就是单纯是因为
[47:57] 因为我们前面的sponsor
[47:59] 是New Balance嘛
[47:59] 然后他就跟我讲说
[48:00] 我们后面有一个跑步
[48:01] 你有没有来
[48:01] 我当然是他妈不会去
[48:02] 有病我根本去跑步
[48:03] 那只是我就把这件事情
[48:05] 就跟一个
[48:05] 很爱跑步的朋友讲
[48:07] 我说他没有找我去跑步
[48:08] 他说10K你可以试看看
[48:10] 10K是一个蛮好入门
[48:11] 而且其实11月那个时间
[48:13] 应该算是没有那么热
[48:15] 那我不知道为什么
[48:16] 我突然间就觉得说
[48:16] 马的来都来了
[48:17] 所以我们就跟几个朋友
[48:19] 就一起组团
[48:20] 然后我们就去报名了
[48:21] 然后那也报名成功了
[48:22] 所以是这样
[48:23] 那我以前最多就是跑3K 5K
[48:26] 因为当兵的时候要跑
[48:27] 所以我不确定
[48:28] 我自己会不会跑10K
[48:29] 但是我已经规划好
[48:29] 从9月开始我就去做练习
[48:31] 那简单来讲
[48:32] 就算我没有办法跑10K
[48:34] 就算说我8K
[48:35] 我就快不行了
[48:36] 我他妈命都没了
[48:38] 我也要跑10K
[48:38] 你懂吗
[48:39] 因为不能够丢脸
[48:40] 因为现场一定会遇到一些
[48:41] 什么听众或啥小的
[48:42] 我心中的想法就是
[48:43] 我怎么样
[48:43] 我死活都要跑到最后面
[48:45] 我一定要把这个比赛给完结掉
[48:47] 所以听好的
[48:48] 就是给自己一个那种
[48:50] 类似说随堂考
[48:51] 因为我们长大之后
[48:52] 就没有人会给我们考试了
[48:53] 有时候考试真的会给你一些motivation
[48:55] 因为想把一些事情做好
[48:56] 所以因为有一个随堂考在那边
[48:58] 所以我觉得在前面
[48:59] 应该就先把这个10K给练好
[49:00] 说不定还会意外的喜欢上跑步之类的
[49:03] 那不知道
[49:04] 现在不敢乱leaf flag
[49:05] 下面一位
[49:05] Nester Wu
[49:07] Aida你好
[49:07] 看到限动马上跑来留言
[49:09] 这个一定就是上次的那个
[49:11] 留言直接复制贴上
[49:13] 因为我这次没有贴限动
[49:14] 他说目前我跟Neo
[49:15] 从澳洲打工度假
[49:17] 回来也已经一个月了
[49:19] 30岁的我们
[49:19] 目前在各方努力着
[49:21] 每天就是念书
[49:23] 看股
[49:23] 念书
[49:24] 晚上在看美股
[49:25] 也从你身上学到很多
[49:26] 相关产业知识
[49:27] 最近女友子宫
[49:28] 加上
[49:28] 鸡胎流
[49:30] 有变大的迹象
[49:31] 她很担心
[49:31] 但去看了医师说没关系
[49:33] 问题不大
[49:33] 定期追踪就好
[49:34] 希望你能够跟我的女友说声加油
[49:36] 祝妮娅能够开心的
[49:38] 做任何她想做的事情
[49:39] 但健康永远是最重要的
[49:41] 我也会一直陪在她身边
[49:42] 也祝大家一家健康平安顺心
[49:45] 希望尼亞可以順利的康復
[49:48] 要知道錢隨時都可以賺
[49:50] 但健康跟對愛的人的陪伴
[49:52] 那個有時候過了就沒有機會
[49:54] 所以要好好把握好
[49:55] 那拜拜
