[00:00] 欢迎收听谷外,我是圣梦宫,本期节目由NordVPN赞助
[40:17] 产后的一些荷尔蒙的影响
[40:19] 他不一定听得进去不需要担心如果说之后一阵子一两年后还是这样子的话可以沟通看看但我也不知道你到底你的目的是什么你是希望他就不要在家里所以你可以在家里
[40:30] 袜子套吊子还是怎样
[40:31] 我不太晓得
[40:32] 但理论上都可以沟通看
[40:34] 但你要知道
[40:34] 就是可能刚生完那一段时间
[40:36] 他们会非常的护子
[40:37] 这个是很正常的
[40:38] 下面一位
[40:39] 阿哲
[40:40] 孟公大你好
[40:41] 留言密码测试
[40:42] 最近我也打了瘦瘦针
[40:43] 跟你的情况很像
[40:44] 血压都在边缘了
[40:45] 希望可以顺利的瘦下来
[40:47] 而且降低血压
[40:48] 最后祝您生活愉快
[40:49] 兄弟我还是建议就是可能要搭配运动
[40:52] 因为后来跟几个朋友交叉比对之后
[40:54] 我相信血压的部分应该不是因为受痛症
[40:57] 受痛症可能最多就是像医师那时候跟我讲的
[41:00] 你降10公斤可能就10毫米拱住是这样
[41:02] 只是我后来就是在尻了
[41:04] 像网球功能训练或什么的
[41:06] 所以这个应该是影响最显著的部分
[41:08] 就是整个身体的状况都改善
[41:10] 我觉得你可以把它视为说
[41:12] 你针打都打了
[41:13] 你要挨针
[41:13] 你可能还会有一些不舒服的副作用
[41:16] 来都来了
[41:16] 那你就一不做二不休
[41:18] 顺便把一些运动都抠起来
[41:20] 一次把它弄到位
[41:21] 希望你可以顺利
[41:22] 下面一位
[41:22] 唱诗班不唱诗在聊股票
[41:25] 这次没念过
[41:26] 好念一下
[41:27] 诸位无安
[41:28] 感谢录制优质好节目
[41:30] 让股市小白我认清现实
[41:31] 不再盲目下单
[41:32] 欧运指数谢谢
[41:33] 请用猛男的声音
[41:34] 跟随我唱诗班的老友们说
[41:36] 全力做多台股
[41:39] 大不了一起去工地搬砖头
[41:40] 那另外祝天母美妹生日快乐
[41:43] PS尼基不是只有阿尼斯
[41:45] 还有牡丹
[41:45] 对啦
[41:46] 这个就是那个上一集
[41:48] 什么
[41:48] 讲人家是牡丹
[41:49] 所以他的牡丹是尼基的牡丹
[41:51] 那这个女生很罕见
[41:53] 他竟然有在打尼基
[41:55] 那还知道牡丹这个角色
[41:56] 牡丹这个角色
[41:57] 真的是有那个反差萌
[41:59] 我也蛮喜欢的
[41:59] 好了
[42:00] 那祝这个天母美妹生日快乐
[42:02] 下面一位Jack Chang
[42:04] MK可以分享研究的经验吗
[42:06] 我发现每次自己研究一个领域
[42:08] 都会变成一根锤子
[42:10] 觉得世界上所有东西都是钉子
[42:11] 怎么不晕传自己的研究
[42:13] 保持客观的想法呢
[42:14] 平常都是谁帮你踩刹车的呢
[42:17] 天气最近好热
[42:18] 我们家喜欢去市场买仙草
[42:20] 冰起来后切碎加蜂蜜
[42:22] 再加一点牛奶
[42:23] 非常好吃又消暑
[42:24] 有机会的话推荐MK一定要试试看
[42:26] 祝您全家平安健康
[42:27] 好那这位兄弟讲的研究到晕船
[42:29] 其实是一个非常常见的现象
[42:31] 就是至今我都还是会看到
[42:33] 身边有些朋友在跟我推标的的时候
[42:35] 你就会知道说
[42:36] 他已经把它扩大延伸解释到很多
[42:39] 全世界都要用这家厂商的产品
[42:42] 那个谁也要学他的东西
[42:44] 反正大家在做研究
[42:45] 会不会再去做推广的时候
[42:46] 都会变成是这样的一个情形
[42:48] 那你要怎么样去维持一个客观的想法
[42:51] 简单来讲
[42:51] 就是跟人生中的所有事情一样
[42:53] 你被态度矫正之后
[42:55] 你就会比较震惊一点
[42:56] 你如果今天这个标的
[42:58] 你买了
[42:58] 你那边卡口蓝
[42:59] 其实我们过去也看过很多这样子案例
[43:01] 就是人家推的东西
[43:03] 没有意义
[43:03] 那算是自己的朋友
[43:04] 但你就知道他在瞎推
[43:05] 就你已经知道他在瞎推
[43:06] 然后你有认识一些产业的朋友
[43:08] 那可能他有被推到
[43:09] 然后大家在那边讨论
[43:10] 就说你有听到那个谁推什么吗
[43:12] 有
[43:12] 然后大家想说
[43:13] 那个一定就是fucking好小
[43:14] 可是每天都在涨
[43:15] 涨到后来我们都还是服他
[43:16] 反正你有办法把标的轰上去
[43:19] 那就是算你厉害
[43:20] 然后他也会觉得真的都是他对
[43:22] 即便他的东西可能漏洞百出
[43:24] 但是股价就真的在涨
[43:26] 在涨的时候谁会说他错
[43:28] 你出来跟大家讲说他错
[43:30] 大家也觉得你是笨蛋而已
[43:31] 因为股价就是硬道理
[43:33] 所以一般就是你可能今天去研究了半天
[43:36] 你买了然后立刻被态度矫正
[43:38] 东西立刻崩下来
[43:40] 或者说怎么样都不会移动的话
[43:42] 那你就会开始去思考说
[43:44] 是不是我研究错了
[43:46] 是不是我想的太没好了
[43:48] 所以这个可能跟
[43:50] 不知道为什么突然间被点通
[43:52] 这位兄弟有问题
[43:53] 突然点通一件事情
[43:54] 就其实
[43:55] 不然说像我们在市场里面
[43:57] 一直做交易
[43:58] 要不是有这些踩刹车的时刻
[44:00] 像过去的两个礼拜
[44:02] 你真的会变成一个
[44:03] 无限膨胀的人
[44:04] 你真的会觉得自己是无敌的
[44:06] 真的是这样
[44:06] 然后搞不在家里
[44:07] 开始讲话就大声
[44:08] 女人水果端过来
[44:10] 这个是意图
[44:11] 我不会这样
[44:12] 但我一直说
[44:12] 你如果这个盘让我涨两年
[44:14] 说不定我讲话
[44:15] 就往那个方向去靠拢
[44:16] 赚钱我最屌
[44:18] 那就是因为会有一些盘整
[44:21] 会有一些修正
[44:22] 会有一些事与愿违
[44:23] 或甚至是时间的错配
[44:25] 你是对的
[44:25] 但他等半年一年后才涨
[44:27] 你就会慢慢变成一个谦逊的人
[44:29] 你在做假设的时候
[44:30] 你就不会去设定的太严苛
[44:33] 那我讲的是比较偏向说
[44:35] 因为我们是在家自营
[44:36] 所以我们唯一的
[44:37] 对答案的对象就是市场
[44:39] 就是你到底有没有赚到钱
[44:40] 可是如果你今天是去外面工作
[44:42] 就不一样
[44:42] 像之前朋友就有分享
[44:43] 他那时候在白赛
[44:44] 然后他买一堆美光
[44:45] 被他老板当狗在那边骂
[44:47] 最后面美光发生什么事情
[44:49] 大家都知道
[44:49] 可是因为他买太早
[44:50] 所以他那个部位
[44:51] 其实是被公司给砍掉
[44:53] 后来当然我有问他说
[44:55] 公司有没有跟你道歉
[44:55] 说你看对
[44:56] 他说没有
[44:56] 公司后面有追回来
[44:57] 可是公司也不会跟他说一声谢谢
[44:59] 因为在公司的角度
[45:01] 就是当下你其实有很多事可以做
[45:02] 你没有必要在那边等一年
[45:04] 你可以后面可能突破之后
[45:06] 你跪二三十趴追回来
[45:08] 也是划算的
[45:08] 为什么
[45:09] 因为你过去这一年
[45:11] 你可以赚超过30%
[45:12] 所以如果你今天在外面上班的话
[45:14] 会有很多方式帮你修正回来
[45:16] 主要是你身为一个研究员
[45:18] 你研究的时候
[45:19] 你推的东西都不会动
[45:20] 或是说都没有造成任何的买盘
[45:23] 或甚至是track record是很差的话
[45:25] 你就立刻就被公司给教育了
[45:27] 所以一般来讲
[45:28] 对看你在哪一个环境
[45:29] 只是像我们这种在家对自己负责的
[45:31] 市场的走势就会给你上课
[45:34] 如果你是错的研究
[45:36] 可是一直涨
[45:37] 你真的也会误以为你是对的
[45:38] 所以我会觉得
[45:39] 其实一开始遇到一些挫折
[45:41] 可能对一个人的人格发展来说是好的
[45:43] 就是他不要说什么
[45:44] 长到某个位置已经够大
[45:46] 然后才犯一些致命的错
[45:48] 可是因为他已经形成一种自尊了
[45:50] 他知道他过去都是对的
[45:51] 这就会导致一些万劫不复的现象产生
[45:54] 所以我宁愿你是一个
[45:56] 可能对自己没有太有自信
[45:59] 你会去做很多的确认
[46:01] 你会整天旁征博弈
[46:03] 你会想要不停的反复去做验证
[46:05] 这可能是一个比较好的事情
[46:07] 我真够说就是去研究完
[46:09] 然后会觉得
[46:11] 就是所有东西都应该是
[46:13] 你想的那个美好样子
[46:14] 这个是很正常的
[46:15] 直到盘面告诉你另外一回事
[46:17] 而且盘面有所谓是错的
[46:18] 下面一位
[46:19] 安州欠
[46:20] 梦宫无安
[46:21] 不知道您暑假
[46:22] 安排带孩子去哪里度假
[46:24] 推荐几个距离不远
[46:25] 又舒服的好地方给您
[46:27] 一北海道大自然环境好
[46:28] 公园好玩
[46:29] 适合小孩也不热
[46:30] 东西又好吃
[46:31] 顶级温泉旅馆安静舒服
[46:34] EX赫亚必知座
[46:36] 这位兄弟是未来人是不是
[46:39] 因为我最近就刚好就订了北海道
[46:41] 但那都不是我订
[46:42] 我就请A君
[46:43] 就请A君去稍微的规划一下
[46:45] 然后他一样有先规划一个
[46:47] 他跟我讲说应该是很好的
[46:48] 因为我刚刚讲说
[46:49] 就你不要订太鸟的
[46:50] 我不想跟一堆人挤在一起
[46:52] 所以就有先订一个
[46:53] 好像要先稍微跑到
[46:55] 离市区远一点的地方
[46:56] 就离扎黄比较远的
[46:58] 应该可能就是你讲类似这样
[47:00] 它是一个洗温泉
[47:01] 然后舒服的地方
[47:02] 然后接着再去市区里面
[47:04] 我看A君规划的超级好
[47:05] 就是带孩子
[47:07] 又有什么
[47:07] 这边可以看一看
[47:08] 那边有什么东西
[47:08] 可以看一看
[47:09] 好久没有这种东西
[47:10] 因为我后来跟我老婆旅游
[47:11] 都是我们会选那种
[47:13] 最费的地方
[47:13] 那没有任何的行程
[47:15] 就是随意走走
[47:16] 那甚至会故意
[47:17] 在同一个点
[47:18] 就停好几天这样
[47:19] 那第一次又有人
[47:20] 帮我们把这个行程规划好
[47:22] 还有订好包车
[47:23] 我觉得非常期待
[47:25] 到时候再跟大家
[47:25] 分享一些心得
[47:26] 然后第二个
[47:27] 要推澳门巴黎人
[47:29] 请直上玉匾峰
[47:32] 收费的细水区
[47:34] 应该连安哥
[47:35] 都可以下去玩滑水道
[47:36] 这一定要screenshot
[47:38] 然后第三个
[47:39] 台中古官洪系诺亚
[47:40] 进去一秒到日本
[47:42] 夏天的细水池是山泉水透新凉
[47:45] 很棒
[47:45] 以上都是小滴带孩子去过
[47:47] 觉得适合孩子的地方
[47:48] 暑假一起加油
[47:49] 爱你
[47:49] 非常感谢Enzo
[47:50] 那三
[47:52] 我一直想去试看看
[47:53] 这应该也会去一下
[47:54] 我是去北海道
[47:56] 然后外加巴厘岛
[47:57] 就是去这个最熟悉的地方
[47:59] 因为巴厘岛是我很喜欢
[48:01] 超级废
[48:01] 可以完全关在一个
[48:03] 封闭的园区里面
[48:05] 里面有很多个餐厅
[48:06] 然后可以吃来吃去
[48:07] 我们已经在各式各样的
[48:08] Villa跟Resort之间换来换去
[48:10] 这次就是换回去
[48:12] 跟老婆相遇的
[48:14] 也不能说相遇
[48:15] 就求婚的
[48:16] 这个
[48:16] Ayana
[48:17] 那希望会有不一样的感受
[48:19] 虽然其实
[48:20] 我在想现在回去
[48:21] Ayana应该没那么喜欢的
[48:23] 因为那时候是因为
[48:24] 年纪轻
[48:25] 那对我们来讲
[48:26] 就是买到东西
[48:27] 还是很新鲜
[48:28] 后来我发现
[48:29] 特别是我跟我老婆
[48:30] 我们两个很像老人家
[48:31] 其实我们很讨厌
[48:32] 拥挤的地方
[48:34] 所以后来都会去找一些
[48:35] 基本上是没有人的地方
[48:36] 所以上次才跑去那个
[48:38] 宝格丽的
[48:39] 宝格丽就干你真的
[48:40] 那个泳池
[48:41] 我大概从来没有看过
[48:42] 超过三个家庭
[48:43] 在他那个大泳池
[48:44] 超扯
[48:44] 就是都没有人
[48:45] 但是我们非常喜欢
[48:46] 那这是因为岳母
[48:48] 岳母是非常喜欢热闹的人
[48:49] 所以好啦
[48:50] 就去订一个
[48:50] 应该有可能是最热闹的
[48:52] resort
[48:53] 然后看会发生什么事情
[48:54] 大概这样
[48:55] 那也希望你暑假快乐
[48:56] 那再念一个
[48:57] 诸位龟头比头大
[48:59] 我觉得我坏掉了
[49:00] 之前的华星科吃的太饱
[49:01] 每天睁开眼睛就是涨停
[49:03] 不到半年就达成破百%的报酬率
[49:05] 那之后开始震荡
[49:06] 某天大跌时狠心砍掉
[49:08] 就拉尾盘以为砍在阿呆股
[49:10] 结果之后股价越来越低
[49:11] 现在没有一个礼拜
[49:12] 20%的报酬率都觉得超没有效率
[49:15] 我的价值观是不是坏了
[49:16] 那然后虽然卖掉了
[49:18] 但还是很好奇MLCC到底怎么了
[49:20] 尤其日本那几间干到底是怎样啊
[49:22] 有这样爬上去又重摔腰斩的
[49:24] 那最后想问CCL和风策
[49:26] 诸位未来比较看好哪一个部分
[49:28] 感谢回复
[49:30] 虽然在这个节骨眼
[49:31] 再去讲被动元件的基本面
[49:33] 大概可能也没有多少人在意
[49:34] 但其实我们目前看是no change
[49:37] 而且它的那个lead time
[49:38] 还是越来越长
[49:40] 然后有一些暂停交货的情形产生
[49:42] 但是有没有办法去justify
[49:43] 一下它的股价
[49:44] 我们就不去做评论
[49:45] 因为被动元件
[49:45] 我们很早就跟大家讲
[49:46] 我们现在不会再去评论了
[49:47] 因为那真的色太远
[49:49] 那色太远
[49:50] 对你看就是会有一些这种
[49:51] 巨大的回荡产生
[49:53] 那目前我们看都是状况是差不多的
[49:56] 其实产业的变化
[49:57] 真的没有像股票变化这样
[49:59] 整天怎么
[49:59] 今天涨停明天跌停
[50:01] 然后大家觉得是不是发生什么事
[50:02] 其实都没事都是一样
[50:03] 只是可能前面就炒太高
[50:05] 有可能这样修正一下之后
[50:06] 说不定继续走
[50:06] 像记忆体也是这样子
[50:08] 那一样我不知道暗示说
[50:09] 这个被动人均会继续走
[50:10] 我们不去讨论被动人均
[50:11] 因为它已经是真的喷太远的东西了
[50:13] 但就产业面来看
[50:14] 目前是没有什么太大的变化
[50:16] 然后再来讲说
[50:17] CCR跟风策比较看好哪个部分
[50:19] 其实两个都很看好
[50:20] 所以两个都是觉得
[50:21] 在后面的状态应该说很好
[50:24] CCR的话跟载板不用讲
[50:26] 它就是市场上最缺的东西
[50:29] 我現在看到漲價性是頓化的一個情形
[50:31] 我根本就已經懶得去看這個漲價性是哪一封
[50:34] 反正就知道說就是一直漲
[50:36] 這個載板跟CCL其實目前的情形都是這樣子
[50:39] 然後在封測的話
[50:40] 要看是哪一個環節的封測
[50:42] 目前整體來看
[50:44] 因為像昨天6770就那個力基電
[50:46] 他們有開一場會
[50:48] 那他裡面算是幫蠻多人開了法手會
[50:51] 他把整個很多產業的東西都講出來了
[50:53] 那就是有提到說像是這個工綠的封裝
[50:56] 他们目前也是处在一个非常紧绷的状态
[51:00] 他们有去生产这个功率MOSFET
[51:01] 然后就说其实已经满很久了
[51:03] 客人都一直在叫他在家或什么的
[51:05] 所以我们目前所看得到的
[51:08] 不管你是偏向像AI NVIDIA这边的Koiec
[51:11] 那个状况也都很好
[51:13] 那再来可能到功率元件这里
[51:16] 或者说IC的后段封测
[51:18] 目前看到都是一个供不运球的状态
[51:22] 就是整体的表现
[51:23] 当然它里面你要去细部去拆分
[51:25] 可能消费性的没有这么好什么
[51:27] 但整体来看
[51:28] 它的架动应该都拉得很不错
[51:31] 然后后面应该也是会持续的去做涨价
[51:33] 再来像最近那个金财
[51:35] 他也是嘛
[51:35] 他也是后段封测
[51:36] 他是TSM的那个OS的外包啦
[51:39] 只是这个故事其实蛮久了
[51:41] 但最近也是疯狂的在表态
[51:42] 所以其实我们也是有注意到说
[51:44] 对就是封测非常的强势
[51:45] 那这两个去比
[51:47] 我觉得都很好了
[51:48] 他可能封测算是一个相对性
[51:50] 可能筹码没有这么重的东西
[51:52] 那CCL的话
[51:53] 也不能说他筹码重
[51:54] 但至少他就已经很久了
[51:56] 这已经讲到懒掉讲好几年
[51:57] 就我们节目甚至也就提了好几年
[51:59] 我不知道收割意思
[51:59] 我意思说就是理论上是人尽皆知
[52:02] 只是说因为真的很好
[52:03] 所以就一直在往上推
[52:04] 跟一些那种探诊卡
[52:05] 想说撒小怎么可以推到这里
[52:08] 后来都变成是法人的战场
[52:09] 法人自己推
[52:10] 推到了上千上万这样
[52:12] 所以对
[52:13] 有点类似这样子一个情形
[52:14] 但他比较不是一个新鲜事
[52:16] 所以我们已经不会在节目
[52:18] 再去刻意的跟你聊
[52:19] 像什么载版CC
[52:20] 因为那没什么好聊
[52:21] 就是大家都知道他很好
[52:22] 他只是没有想到说
[52:23] 哇靠可以好这么久
[52:24] 就像没有必要
[52:25] 整天跟你聊台积电一样
[52:26] 差不多这样的一个意思
[52:27] 所以我们会去找一些
[52:28] 那种中小的次族群
[52:29] 去讨论的原因
[52:30] 那个可能是一个新的东西
[52:32] 因为旧的东西一直去loop的话
[52:33] 那节目也不用录了
[52:35] 那么每天都讲一样的东西就好
[52:36] 所以我们会一直去
[52:37] 找寻新的东西
[52:38] 只是对有一些东西
[52:40] 可能它是那种长期的故事
[52:41] 像我自己的那种投资公司
[52:43] 我也会放一点东西在里面
[52:44] 就放着不掉它
[52:45] 大概是这样的一个情形
[52:47] 所以目前来看的话
[52:48] 对都是蛮看好的
[52:49] 那只是封测可能算
[52:50] 比较相对新一点
[52:52] 那可能是在表态刚开始
[52:54] 那CZL或说宅版
[52:55] 那都早就已经多头
[52:56] 不知道走多久了
[52:57] 那再来讲说
[52:58] 是不是价值观跑掉
[53:00] 我今天才刚跟那个法师
[53:02] 那个天传法师就聊到这件事情
[53:04] 我说我不知道
[53:05] 我这两个礼拜
[53:05] 我开始觉得我不会做股票
[53:06] 因为过去真的是那种族群切换
[53:08] 你买进去很有效率
[53:09] 随便点一点
[53:10] 就直接就冲涨停
[53:11] 那或者说你随便去找东西
[53:14] 跟着去推涨停
[53:15] 然后接着隔天就开高
[53:17] 都是很稳的
[53:17] 只是对
[53:19] 就是过去一阵子是失效了
[53:20] 那当然我们不会去很悲观说
[53:22] 所以未来就会失效
[53:23] 就可能是现在是这样子
[53:24] 但是我也发现说
[53:25] 我超白痴的
[53:26] 才稍微的横盘
[53:28] 那个静止横一下
[53:29] 我就跟人家那边抱怨讲说
[53:31] 我感觉我自己已经不太会做股票
[53:33] 可是其实今年真的是非常好了
[53:35] 你回头看的时候
[53:36] 今年是非常好
[53:36] 所以其实大家
[53:37] 现在有比较专注的是守成
[53:39] 不要在这种震荡的时间
[53:40] 让自己钱可能吐了去太多
[53:42] 各种试错成本拉太高
[53:43] 那就不太好
[53:44] 然后希望不知道
[53:45] 就来都来了
[53:46] 希望今年就一路好
[53:47] 好到底好不好
[53:48] 帮大家都刷那种历史新高
[53:49] 不是超爽的吗
[53:50] 那希望后面可以顺利
[53:51] 拜拜
[53:53] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
