[00:00] 欢迎收听谷外,我是孟公
[39:12] 然后在后面的假设有一些不好的事情发生
[39:15] 也要知道说
[39:15] 我们都会跟你一起扛下去
[39:17] 一起相信市场
[39:18] 我大概这样
[39:19] 那下面一位
[39:20] 梦宫大大推荐你玩本土游戏公司制作作品的还愿
[39:25] 游戏时长大概三个小时
[39:27] 这不只是恐怖游戏
[39:28] 根本是一场关于沉默成本谬误的血泪教学
[39:32] 主角杜锋于完全示范的
[39:34] 什么叫做满手烂单不肯止损
[39:36] 还要加杠杆迷信
[39:37] 最后赔上身家性命直接断头
[39:39] 那身为风控大师
[39:41] 你玩这个游戏一定会气到想开喷
[39:43] 但那种80年代台湾的压抑感
[39:45] 做得极其精致
[39:47] 像是双宝吧
[39:48] 这种毁灭性父爱的后劲
[39:49] 真的会让你生理不适
[39:51] 强烈推坑
[39:52] 这个赤竹是台湾超级优秀的
[39:55] 一个游戏工作室
[39:57] 那我们跟他们的一些团队
[39:58] 也是有一些互动
[39:59] 那绝对是非常挺他们的作品
[40:02] 他们所有的作品
[40:03] 我觉得都非常的棒
[40:04] 那包含说像比较新的一款
[40:06] 那个打架的九日
[40:08] 那个也是极好的一个作品
[40:10] 推荐给大家
[40:10] 那再来讲说
[40:12] 就是可能看到一些游戏
[40:14] 或者作品会想要开喷
[40:15] 我觉得很正常
[40:16] 就是其实如果没有一些
[40:17] 头铁命印要去硬干的人
[40:20] 要怎么样拍出一些
[40:21] 就你明知山有虎
[40:23] 你明知这个地方进去
[40:24] 就是会遇到鬼
[40:25] 你明知这个门开下去
[40:27] 所有的观众都在跟他讲说
[40:28] 不要开那个门
[40:29] 你看他去后面有东西
[40:30] 他就是要去开
[40:31] 你不坐死就不会死
[40:32] 他就会坐死
[40:33] 那些日本的什么国高中生
[40:35] 就是要闯进去鬼屋弄一下什么的
[40:36] 所以可能就要想着说
[40:38] 就世界上就是有这些偷贴仔
[40:39] 才会有故事可以分享
[40:41] 确实
[40:41] 就如果说每个人真的都是非常理性
[40:44] 非常沉着的话
[40:44] 那没有什么故事好讲
[40:46] 下面一位Karen
[40:47] 一集都听好几次的卢洲K报道
[40:51] 谢谢您的优质好节目
[40:53] 不管是秋狗干你娘
[40:54] 育儿投资都让我获益良多
[40:56] 非常之疗愈
[40:56] 那请用诺娜的语音包
[40:58] 和推荐我听古来的马吉清普J说
[41:00] 靠古来怎么可以这么好听
[41:02] 不是你写了我要怎么讲
[41:04] 因为诺尔后面是U
[41:05] 谢谢你开一路以来的照顾
[41:09] 有你真好
[41:10] 那也祝孟公一家
[41:11] 所有的古来听众和草草小宝贝
[41:14] 平安健康快乐
[41:16] 一切都好
[41:16] 爱你
[41:17] 下面一位
[41:18] 好业好运还没跑
[41:20] 老公午安
[41:21] 想请问该如何调试
[41:22] 看到别人的持股一直喷一直喷之后的心态调整
[41:25] 你看吧
[41:26] 很多时候我们跟我们听众
[41:27] 真的是同步
[41:28] 应该是说可能在市场里面
[41:30] 稍微有一定水准的人
[41:32] 开始已经知道自己在干嘛的人
[41:33] 蛮多都会面临到同样的挑战吧
[41:35] 他说过去一个礼拜
[41:37] 我以为每天持股里面有亮灯
[41:38] 已经算很好了
[41:39] 但身边的人玩别人抱的几只新贵股
[41:42] 每天都在涨三五十趴
[41:44] 最多的一个礼拜有两百趴了
[41:46] 他抱给我
[41:47] 我都说那个看不懂
[41:48] 先不要买下被当快乐宝贝笑
[41:51] 他们投入的总水位也不低
[41:53] 同为上班族
[41:53] 这一个礼拜的绩效
[41:55] 已经看不见他们的车尾灯
[41:56] 心态真的会大受影响
[41:57] 那我也经历过身边的人玩虚拟币暴富
[42:01] 但这次感受到真的是差到不行
[42:04] 那想问孟公有过这种嫉妒以及焦虑的心态吗
[42:07] 爱你
[42:08] 我其实不会是嫉妒跟焦虑
[42:11] 比较像是说
[42:12] 我会去反思我自己怎么样做
[42:14] 可以更好的那种郁闷
[42:16] 就像我前面分享的
[42:17] 就是我比较不会去嫉妒别人
[42:18] 因为我知道我有的东西可能已经
[42:20] 怎么讲
[42:20] 就是有时候不要只比单一面相嘛
[42:22] 你一定有很多面相
[42:23] 可能是赢过你朋友的啊
[42:24] 你可能有很好的家庭啊
[42:25] 你可能有很好的太太
[42:27] 很好的小孩
[42:28] 或者很好的生活的品质
[42:29] 很好的睡眠
[42:30] 或者说你老二特别硬直
[42:32] 就是说每个人都有他的强项
[42:33] 所以这样不要跟别人比
[42:35] 但我也会感受到难受
[42:36] 只是我难受是比较像是说
[42:38] 我会去反求租集
[42:39] 我会觉得说
[42:40] 为什么我没有办法掌握到这么大
[42:42] 但有时候你想通之后
[42:43] 你就会知道
[42:43] 像我前面讲的
[42:44] 在24年爱婆鸿海
[42:46] 古奇杠爆的
[42:47] 有很多人最后面就是
[42:48] 一毛都没有带走
[42:49] 甚至盗陪
[42:49] 那也不知道说
[42:51] 你去笑之前
[42:51] 就后面可能会这样
[42:52] 我意思是说
[42:53] 很多时候故事
[42:53] 你不要只看一段
[42:54] 你要看长一点
[42:55] 所以很好笑
[42:56] 我去找一些市场的大哥谈心
[42:58] 然后你来找我谈心
[42:59] 然后我再安慰你
[43:00] 但他们在安慰我
[43:01] 所以对啊
[43:02] 希望这个安慰的力量有传下去
[43:04] 那稍微讲我自己的例子
[43:05] 我自己本身其实是买了蛮多台股的新贵股
[43:09] 那只是当然我也没有想过说这波会这样盘
[43:11] 那其实很多我自己提早就已经丢掉不少
[43:14] 就像三太市
[43:15] 三太市是自己一个产业上的朋友
[43:18] 他后来有去交易室了
[43:19] 只是这位他四十几块就跟我讲
[43:21] 所以那时候就买了不少
[43:23] 然后到400多的时候卖掉
[43:24] 现在三太子大家看一下
[43:25] 再来就是正美
[43:26] 正美的话
[43:27] 七十几块去建蛮多仓的
[43:29] 然后后来
[43:30] 大概在一两百块的时候
[43:32] 就丢掉了绝大多数
[43:34] 大家看一下正美是多少
[43:35] 所以你不可能每个都爆住
[43:36] 但我还是有留到一些
[43:37] 这个怎么讲
[43:39] 余伟
[43:39] 那只是那个对我的整体的资产
[43:42] 是不会有太大的变化的
[43:43] 所以其实老实说
[43:44] 你心中也会想
[43:46] 就为什么那时候没有可能全仓爆住
[43:48] 就你可能本来买到5% 10%
[43:50] 为什么你没有全仓爆住
[43:51] 只是这个就是
[43:52] 怎么讲
[43:53] 就事后论
[43:53] 你换个角度讲
[43:55] 我们有没有成功用
[43:56] 可能相对大仓
[43:57] 然后抱住喷出去的东西
[43:58] 有啊
[43:58] 像最近可能
[44:00] Marvel CPU
[44:01] 就都是大仓
[44:02] 所以很多时候
[44:03] 我们只是会去专注在
[44:04] 我们没有拿到
[44:05] 或者我们失去的东西
[44:06] 你要仔细看你所拥有的
[44:08] 说不定你已经是
[44:09] 非常幸运的人
[44:09] 我只能够这样子讲
[44:10] 只是难免
[44:12] 就是你会想去跟他比较
[44:13] 你想看一下
[44:13] 那个是正常的
[44:14] 我们这样去压制这样的情绪
[44:16] 因为嫉妒心
[44:17] 它是快乐之贼
[44:18] 这个是很恐怖的
[44:19] 下面一位
[44:20] 像梦公安
[44:21] 小弟的哥哥
[44:22] 是资深听众也是气愤仔
[44:24] 常常说要进场
[44:25] 但都在等
[44:25] 4月16号是他生日
[44:27] 麻烦孟公用肌肉猛来的语音
[44:28] 包跟他说
[44:29] 杀戮奇哥
[44:30] 生日快乐
[44:31] 投资最好的时间是
[44:32] 十年前和现在
[44:33] 谢谢孟公
[44:34] 祝孟公一家人身体健康
[44:35] 我觉得这句话
[44:36] 真的是讲了非常好的一句话
[44:38] 就是
[44:38] 怎么讲
[44:39] 最好的时间点就十年前
[44:41] 因为你总是回头看
[44:41] 讲说早知道
[44:43] 我就买这种房子
[44:44] 以前最流行讲说
[44:44] 早知道新一区还是田的时候
[44:46] 我就去那边买田
[44:47] 然后现在最流行
[44:48] 应该就是说
[44:49] 早知道台股在那个位置的时候
[44:51] 我就他妈的买什么
[44:52] 0050 6208
[44:53] 甚至去买正二
[44:54] 其实人生没有这么多早知道
[44:56] 甚至是你知道的时候
[44:57] 你敢不敢去做
[44:58] 所以有些人可能会怨自己的爸妈说
[45:00] 早知道我爸妈那时候
[45:02] 有去买一些房的话
[45:04] 我们家下就会跟隔壁那个
[45:05] 因为他爸妈当时买很多房
[45:07] 一样就赚很多钱
[45:08] 你现在买房没
[45:09] 你还不是没买
[45:11] 所以你那边讲你爸妈
[45:12] 整天在那边靠背原生家庭
[45:13] 你有没有做
[45:14] 你还不是没有做
[45:15] 那之后你儿子就会一样去靠背你
[45:17] 所以你真的就是
[45:18] 你十年前没有start
[45:19] 没有关系
[45:20] 那你就start now
[45:20] 那当然现在你看你又有一万个理由嘛
[45:23] 那现在台股大盘是38000
[45:24] 不是没有人叫你他妈在38000all in啊
[45:26] 你可以38000开始投资嘛
[45:28] 慢慢投嘛
[45:29] 就算回到26000
[45:30] 你这样一路摊下去
[45:31] 然后最后面可能如果在新高
[45:32] 4万点5万点你都赚钱嘛
[45:34] 只是你最后面就会发现
[45:35] 就当然我们都讲的
[45:37] 好像有时候很轻描淡写嘛
[45:38] 这个股市赚钱怎么讲
[45:40] 就是说他说难不难
[45:42] 但是呢说简单也不简单
[45:44] 因为总是一堆人说来说去
[45:46] 哈拉一大堆
[45:47] 然后都不敢拿钱出来买嘛
[45:49] 或者买了之后就在那边干干叫
[45:50] 但其实要去扛过一些市场的波动
[45:53] 真的是不简单
[45:54] 像可能过去几次的一些修正
[45:56] 像这次的美衣修正
[45:57] 那个算是还蛮OK的
[45:59] 没有到很大
[45:59] 去年4月
[46:01] 那个就真的是恐怖的
[46:02] 2022年
[46:03] 你想我们都可以扛过这些东西了
[46:05] 我们才有资格去领到这些报酬
[46:06] 所以其实在市场里面
[46:09] 打一真的不容易
[46:09] 特别是可能在崩的时候
[46:11] 还有很多人在笑你说
[46:12] 你买了什么东西
[46:13] 像现在讲这个都没有人相信
[46:15] 回听一下2022节目
[46:16] 那时候讲台积电好是要被骂的
[46:18] 是要被骂的
[46:19] 就代表说你不懂投资
[46:20] 你都会觉得台积电是好的公司
[46:21] 所以你要如何去扛过这些
[46:23] 其实真的不简单
[46:24] 那我认为
[46:25] 反正你只要愿意开始的话
[46:28] 就是一个好的开始
[46:29] 但很多人都会很害怕
[46:30] 或者说他开始
[46:31] 那他就直接贪心
[46:33] 直接选择all in
[46:34] 然后可能一堆东西套在山顶
[46:35] 还有相对高的地方
[46:36] 然后就导致他后面的投资的规划
[46:39] 都被破坏掉
[46:39] 所以心态是非常重要的一环
[46:41] 那下面一位
[46:42] 困宝
[46:43] 我是那个梦到在你们出游
[46:46] 连电压七成的快乐宝贝
[46:48] 用战斗陀螺打爆小孩
[46:49] 结果王牌掉了
[46:51] 被捡走放进保障区
[46:52] 前天他亲手还给我
[46:54] 我这次送他无敌的时钟幻想
[46:56] 关号其实是通年三秒交也跟他说明的
[46:59] 那说只能够练习不能够比赛
[47:01] 看他拿去教训其他小孩
[47:03] 被问轴心怎么怪怪的只会打哈哈
[47:05] 我不戳破他这样算混蛋吗
[47:07] 最近怎么这么多人在玩战斗陀螺
[47:10] 好像真的还蛮有趣的
[47:11] 那再来我记得这位听众
[47:13] 因为那时候他讲联电的时候
[47:15] 我不知道该他讲说
[47:16] 就是很难讲
[47:17] 搞不好未来的某个时间轴
[47:18] UMC的报酬会跑得不错
[47:20] UMC最近确实是有涉到
[47:21] 所以你看他还是有赚到他的钱
[47:23] 所以在投资界面不一定
[47:25] 这也是一个案例
[47:26] 就是那时候大家都想说
[47:27] 你应该要全部是台积电
[47:28] 当然台积电表现都很好
[47:29] 那个绝对没问题
[47:30] 我自己本身也是台积电长期的股东
[47:32] 只是你看他买联电的
[47:33] 像我自己是没有买联电
[47:34] 他还是有办法可以赚到他的钱
[47:36] 就是每个东西都会有他的
[47:37] 像Andy Warhol讲的
[47:39] 就是你的15秒
[47:40] 你就是会有你的15秒
[47:41] 你总是有机会的
[47:42] 所以要相信自己投的东西
[47:44] 下面一位
[47:45] 还在苗栗念书的菜菜子
[47:47] 嗨梦宫去搞
[47:48] 是上次那位揭发你筹码
[47:50] 生一颗蛋蛋的小弟
[47:51] 这边来推荐一部超级赞的动漫
[47:55] 给梦宫以及各位的听众
[47:56] 虽然没有妖术奶棚的扬眼画面
[48:00] 在许久之前
[48:01] 节目中有提到海边的曼彻斯特
[48:03] 那知道梦宫演爱
[48:04] 这部一国日记也是差不多的味道
[48:06] 怎么整部文系可以好看到
[48:09] 我想要用左边的高丸去插读的程度
[48:11] 大家真的不要错过这部作品
[48:13] 那期望30年后
[48:14] 孟公作为一个成功的老爸
[48:16] 会在节目的开头聊到
[48:17] 诺亚安哥跟你抱怨
[48:19] 年纪到了身体开始走下坡
[48:21] 那你用猛男的声音嘲讽他们
[48:23] 老爸我还天天成伯啦
[48:25] 那如此般欧美父子的感情
[48:27] 美好画面爱您哟
[48:29] 他说那个海边的曼彻斯特
[48:31] 真的是我非常喜欢的一部作品
[48:33] 然后刚刚讲到文系
[48:34] 我突然想到有另外一部老婆很爱
[48:36] 然后我一开始看不太喜欢
[48:37] 但后面也蛮喜欢的
[48:38] 叫做什么紫罗兰永恒花园
[48:40] 他也是那种就是
[48:41] 闷闷的慢慢的闻戏
[48:43] 那可是
[48:44] 这个怎么讲
[48:45] 就是说可能要有一点历练
[48:46] 有一点年纪之后
[48:47] 看会觉得特别有味道的东西
[48:49] 这也是为什么
[48:49] 我可能特别喜欢第一季的福利点
[48:51] 就是那样的一个感受是很特别
[48:53] 那非常感谢你的推荐
[48:54] 那下面一位
[48:55] Evian Huang
[48:57] 孟公安
[48:58] 这不知道是第几次留言了
[48:59] 都抽不到
[49:00] 那最近听上古吉数说
[49:02] 您的握推可以100公斤做10下
[49:04] 请问是训练多久
[49:05] 可以达到100公斤10下
[49:06] 孟公是练武奇才吗
[49:07] 那最后想请教孟公
[49:09] 以前大学毕业的时候
[49:11] 是先当兵吗
[49:12] 要毕业的感觉很奇妙
[49:14] 觉得迷茫
[49:14] 感谢孟公解惑
[49:15] 那最后就孟公全身身体健康
[49:18] 全家身体健康
[49:19] 安哥诺亚健康快乐长大
[49:20] Lisa永远美丽爱你
[49:21] 我大概是从大学的时候开始推吧
[49:24] 然后当兵的时候有比较认真
[49:26] 因为那时候我们闪讯那边
[49:27] 有一个健身房
[49:28] 然后那时候有一个同梯
[49:29] 都会带我去做训练
[49:30] 所以从那边开始就
[49:31] 有比较认真接触
[49:33] 然后后来是去
[49:34] 在机师训练的时候
[49:35] 我们都会跑去台东大学的健身房
[49:37] 然后那时候就有一个
[49:38] 壮哥朋友会教我
[49:39] 从那之后
[49:40] 我就自己都密集有去健身房
[49:41] 那对最高的时候
[49:42] 大概是可以推到100公斤
[49:44] 那只是现在的话
[49:45] 大概没有办法
[49:45] 现在大概就是80
[49:46] 然后去做8到10下左右
[49:48] 那也不会想要再去往上再去推了
[49:51] 就是可能自己有感受到
[49:52] 那个肌肉的味道就好
[49:54] 然后最近甚至是像我的教练
[49:55] 我以前都是那一种
[49:56] 比较迷信说
[49:57] 我要练到有点那种
[49:58] 肌肉的延迟性酸痛
[50:00] 我才会觉得说我练到
[50:01] 但我最近找了教练跟我讲说
[50:03] 他是不建议这样
[50:04] 他建议说每天都练
[50:05] 然后就练到恰到好处就好
[50:06] 所以也慢慢再去做一些调整
[50:08] 现在比较不会去逼自己了
[50:09] 那很幸运我是在还没有受伤之前
[50:11] 就已经去明白到这一点
[50:13] 反正就是不用一昧的去追求
[50:15] 多大的一个重量
[50:16] 只要持续的维持在不错的轨道上面
[50:19] 应该就不错
[50:20] 大概这样
[50:20] 好大家再见
