[00:00] 欢迎收听谷爱,我是星目公,本集节目由擅存叶黄素赞助
[38:31] 就是不吃晚餐
[38:32] 然后存0050就好
[38:33] 谢谢AIDA
[38:34] 简单讲就是
[38:36] Uber当充并不是一个好东西
[38:38] 那当然我知道
[38:39] 这个话一讲下去
[38:40] 有时候就会断到一些人的财路
[38:42] 或者有些人说
[38:42] 我真的就这样做
[38:43] 我会赚钱
[38:44] 就像是不知道
[38:44] 有些人在讲赛
[38:46] 他也会讲到赚钱
[38:47] 我不知道
[38:47] 就有些人可能会付钱
[38:48] 去看人家吃大便之类
[38:49] 我随便乱讲
[38:50] 意思就是说世界很大
[38:51] 什么人都有
[38:52] 所以怎么讲
[38:54] 就你不要去拿一个特例
[38:55] 想要去打击大家的概念
[38:58] 因为我们其实看的东西
[38:59] 很多是在看通案
[39:00] 那当然其实像我自己
[39:01] 就像前几集有一个听众说
[39:03] 他会开什么四五倍杠杆
[39:04] 去抄底都成功的
[39:05] 这个如果你跑去
[39:06] 找一些那种劝试的人
[39:07] 他们一定会想说
[39:08] 就不要这样做
[39:09] 你这个是什么
[39:10] 幸存者偏差whatever
[39:11] 那可是呢
[39:12] 其实在我自己的角度
[39:13] 我也很常跟大家分享
[39:14] 这样的概念
[39:15] 就是严格上来说
[39:17] 每一个成功人士
[39:18] 你要去拿他作为一个role model
[39:21] 然后说我们要怎么样变成他
[39:23] 然后都会有人跟你讲说
[39:24] 这个叫幸存者偏差
[39:25] 因为你不可能
[39:26] 你照抄他的过程
[39:27] 就变得跟他一样嘛
[39:28] 那只是这个不代表说
[39:29] 我们就是要鼓励大家都
[39:31] 当一条这个人生中的NPC
[39:33] 或是杂鱼
[39:34] 然后就是过着一个一般的人生
[39:35] 那一般人生也没有不好啦
[39:36] 那只是意思是说
[39:37] 我们就是相信说
[39:38] 各种事情都是有机会
[39:39] 可以成功的啦
[39:40] 所以以我现在的角度
[39:41] 是我不会想去阻挡任何人
[39:42] 你想要怎么做
[39:43] 你就去做吧
[39:44] 那如果你是我儿子的话
[39:45] 我就直接告诉你说
[39:46] 干你不要这样做
[39:47] 因为那个是胜率低
[39:49] 那期望是不太好的一件事情
[39:51] 那所以像你的认知就好很多
[39:53] 你说就是不吃晚餐
[39:56] 但这可能也不是太好的事情
[39:57] 如果是营养师
[39:58] 或是一些医师
[39:59] 就告诉你说不要这样
[40:00] 那去存0050
[40:01] 我觉得存0050
[40:01] 就是一个蛮不错的概念
[40:03] 那现在也蛮多人
[40:04] 会在存0050
[40:05] 或者指数的概念之上
[40:06] 然后去加点葱
[40:07] 加点蒜
[40:08] 开点缸或什么的
[40:10] 那个都是一些变化
[40:11] 有些人就靠这个
[40:12] 就开始要跟大家收一些钱
[40:13] 或什么
[40:14] 我能够说
[40:14] 反正在股票市场里面
[40:16] 首先第一个
[40:16] 你就避开一些什么无本当初
[40:17] 第二个就是避开
[40:18] 整天要给你拿钱的人
[40:20] 整天要给你拿钱的
[40:21] 我觉得很多都有问题
[40:22] 因为股票会赚钱的话
[40:24] 就你可以自己去赚
[40:25] 真的是这样子
[40:26] 当然有些人这时候讲说
[40:27] 这家伙你不是有广告什么的
[40:29] 我跟你讲
[40:29] 其实你在Pockets节目要录到
[40:31] 有人要来找你广告
[40:32] 而且你还不广告一些
[40:33] 有的没有的什么财经课程
[40:35] 或是什么ETF
[40:36] 这本身是要超大的一个纪律
[40:38] 然后其实录节目本身
[40:39] 是比做股票难
[40:40] 严格上来说是这样
[40:41] 虽然对我来讲是轻松的事情
[40:42] 我能够说是天分
[40:43] 就刚好
[40:46] 我們身邊一狗票了
[40:47] 可是這些人如果去做節目會不會賺錢
[40:49] 那其實就不一定這麼簡單
[40:51] 那一樣的道理就要跟大家分享說
[40:53] 所以我絕對會鼓勵大家說
[40:54] 你看你可以去什麼投資買內容或什麼
[40:56] 可是我不會跟人家說
[40:57] 你趕快去錄Podcast
[40:58] 因為這個機率太低了
[40:59] 就是你要成功的機率是極低的
[41:01] 所以盡量不要去做這樣
[41:02] 就是你可以很明顯看得出來說
[41:04] 贏面是很低的事情
[41:05] 然後這是給大家的一個建議
[41:07] 那下面一位美品的員工
[41:09] 大家好你好
[41:10] 我是那間被調高價格公司
[41:12] 高三百的員工
[41:13] 所以就是萬紅
[41:15] 那不好意思容我發洩一下
[41:16] 马子在干嘛
[41:17] 发疯是不是
[41:18] 调那么高
[41:19] 是要我们公司做到七四一四
[41:21] 晚上还有路人在外面寻
[41:23] 有没有加班是沙小
[41:24] 作为员工一定是请假请好请慢
[41:26] 然后目标是躺着领分红
[41:28] 你做多公司股票
[41:29] 我就做空公司的时间
[41:31] 气死人了
[41:32] 那不好意思
[41:33] 发泄完的老民歹事
[41:35] 那祝孟公家身体顺心一路平安
[41:38] 那当然其实在
[41:40] 我每次跟大家分享完之后
[41:41] 就有很多的
[41:42] 就是可能从业人员
[41:44] 就会来跟我讲一些
[41:45] 跟我意见相左的东西
[41:47] 那我总会跟大家讲一件事情
[41:48] 就是说
[41:49] 其实你站在股东的角度
[41:50] 跟站在员工的角度
[41:52] 你的看法一定会差很多
[41:54] 甚至可以讲的比较极外一点
[41:56] 就是你站在股东的角度
[41:58] 他们对员工的管理
[42:00] 是稍微苛刻一点
[42:01] 成本是压制的很好
[42:02] 那或者是调薪的幅度
[42:05] 空的刚刚好
[42:06] 没有太多
[42:07] 可是大家又很始终的留下来
[42:09] 这个对股东来讲
[42:10] 是超级好的事情
[42:11] 可是对员工来讲
[42:11] 就是妈的干你
[42:12] 几把垃圾公司都中的
[42:13] 所以真的会有一些
[42:15] 想法上不一樣
[42:15] 那當然在跟大家聊完的那一集之後
[42:18] 有人跟我說怎麼可能
[42:19] 我現在才看到業績是怎麼
[42:20] 一二月多少錢
[42:22] 怎麼可能後面可以做到那個數字
[42:24] 那只能夠說這就是員工跟股東
[42:26] 或是說投資人
[42:26] 或是有一些情報能力的人的差別
[42:28] 因為我們已經看得到
[42:29] 就是後面的一些報價
[42:30] 那個報價就翻一倍
[42:31] 所以你說前兩個月一個月31
[42:33] 那後面再翻一倍
[42:34] 那如果後面再報價
[42:35] 再往上再調個80% 120%以上的話
[42:38] 你去算
[42:38] 其實他算的那個數字是還OK的
[42:41] 就是真的是有機會可以碰到的
[42:43] 那當然那可能就代表說
[42:44] 就是有很多員工會做到很累很辛苦
[42:46] 但你就往好處想
[42:47] 如果說公司有配股
[42:48] 然後有一些福利的話
[42:50] 那你也都會吃到
[42:51] 像TSM的員工之前也都講說
[42:52] 什麼賣乾爆乾
[42:54] 半夜要On Call啥小的
[42:55] 可是當你拿到很大一包的時候
[42:57] 心情就超級爽
[42:59] 因為身邊有蠻多朋友都拿到超大包
[43:01] 有時候看到我也覺得很羨慕
[43:02] 說太好了
[43:03] 當然不是羨慕他們的工作
[43:05] 我們都是羨慕人家的結果
[43:06] 很少人會去羨慕人家的因
[43:08] 下面一位
[43:09] Y91N30217
[43:11] 挨大你好我是台中南區地方調酒師
[43:14] 可以用猛男的聲音幫我助
[43:15] 好挨寶兼天使客人兼我兄弟
[43:18] 黃伯漢3月17號
[43:20] 春春快樂
[43:21] 感恩挨大祝挨大
[43:23] 尿尿不分岔
[43:24] 非常感謝
[43:24] 下面一位
[43:25] 陳陳
[43:26] 這是最後一個
[43:27] 所以我們今天節目會提早結束
[43:29] 我現在拉了一下
[43:30] 這可能是
[43:31] 反正就是用近期的留言
[43:33] 然後是
[43:34] OK反正今天就到這
[43:36] 陳陳說
[43:37] 夢宮你好
[43:38] 我是去年開始收聽您的節目
[43:40] 我是做制造业的上班族
[43:42] 上班很无聊
[43:43] 不知道要做什么
[43:44] 无聊就是顶天
[43:45] 共饮领导力
[43:46] 类似地下组长之类的
[43:49] 前年有被约谈当组长
[43:51] 但今天只有加300太少
[43:53] 又要管理
[43:54] 又要去开懒趴会
[43:56] 宁愿继续这样子做
[43:57] 又不想跟其他人一样
[43:58] 所以要做出改变
[43:59] 收进国家节目
[44:00] 真的让我学习很多
[44:01] 变成看主管都像猪一样
[44:04] 不知道
[44:04] 我没有教大家
[44:05] 看主管都像猪一样
[44:06] 他说这几年
[44:07] 我们公司都承接
[44:08] 上市柜的基台
[44:09] 像是半导体
[44:10] 试试制成的机台
[44:11] 各类的机台
[44:12] 那都是我开发完成
[44:14] 并且指导外国人
[44:15] 关号越南人独立作业
[44:16] 关号白铁汉街
[44:18] 那小梦工
[44:19] 如果自己要创业
[44:20] 会投资我吗
[44:21] 关号开玩笑的
[44:22] 那对于制造业的看法
[44:23] 是怎么样
[44:24] 是否可以创业
[44:25] 关号汉街白铁跟铝合金
[44:28] 那我的目标
[44:29] 就是把现在服役的公司干倒
[44:31] 成为制造业的台积电
[44:32] 有没有很帅很壮热
[44:33] 听起来可能有些人
[44:35] 以为说这个人在发梦
[44:37] 可是实际上
[44:38] 我们看到的蛮多案例
[44:39] 像台湾的一些知名散热厂
[44:41] 就是他在某个地方做一做之后
[44:43] 然后发现说
[44:44] 我东西应该可以做得更好
[44:45] 价格更有竞争力就出来
[44:47] 或者说一些设备厂
[44:48] 其实也是有听过很多类似的故事
[44:50] 所以你讲的这件事情
[44:52] 其实是很多创业家富豪发家之路
[44:55] 他本来在某个地方做
[44:57] 做一做他掌握到一些know how之后
[44:59] 他就自己出来做一个更好的产品
[45:00] 然后击败原本的公司
[45:01] 然后赚超级多钱
[45:02] 所以这是一个很好的梦想路线
[45:05] 我也希望你会成功
[45:07] 我们还是找一些留言把它念完
[45:09] 不然我这样感觉
[45:10] 我在水时间会有一点不好意思
[45:12] 我看一下有没有其他几个留言
[45:15] 跳跳奶头
[45:17] 大家好我是跳跳奶头
[45:18] 大家今天过得好吗
[45:20] 早知道不要找留言是沙小
[45:22] 那大家知道什么东西
[45:23] 红红的闻起来像油漆吗
[45:25] 挂号笑点即将降临
[45:26] 答案是红色油漆
[45:29] 哈哈
[45:30] 超难笑
[45:32] 相原位ship945
[45:34] 猛攻好三重桥本还奈又来了
[45:36] 我是资深矮粉
[45:37] 老公近期也终于变成固定听众
[45:40] 那不知道未来
[45:40] 我会不会在路上遇到梦宫
[45:41] 今天是我老公的生日
[45:43] 想请你用肌肉马来生
[45:44] 做到生日快乐
[45:44] 那决定不生孩子
[45:46] 我们要一直当彼此
[45:47] 最好的情人跟朋友哟
[45:49] 回班后总是在
[45:50] 回国后总是在加班
[45:52] 辛苦了
[45:53] 那不管你做什么
[45:54] 我都会支持你的
[45:55] 非常浪漫
[45:56] 下面一位
[45:56] 好下面一位
[45:57] 就是这一集最后一则QA
[45:59] 所以他连续两集跑来留
[46:02] 然后都他妈留错时间
[46:03] 但是这集因为留错时间
[46:05] 意外被念到
[46:06] 下面为欧巴桑
[46:07] 5000星好评
[46:08] 第五次推荐
[46:09] 梦工大大一个好兴趣
[46:10] 煮菜给家人吃
[46:11] 一开始是煮给女友吃
[46:13] 看着他每次满足的表情
[46:14] 让我的厨艺不断提升
[46:15] 做饭真的很适合
[46:17] 我们这种直男研究精神
[46:18] 跟股票一样
[46:19] 现在已经煮给
[46:20] 两个女儿跟女友吃了
[46:22] 其实我自己本身
[46:24] 对于煮饭这件事
[46:25] 就是有时候怎么讲
[46:26] 半吊子
[46:27] 就是我妈叫我
[46:28] 去帮忙翻炒个东西
[46:29] 我老婆叫我
[46:30] 去帮她弄什么东西
[46:31] 其实当下我是觉得很疗愈
[46:32] 但是为什么
[46:32] 我自己没有煮饭呢
[46:33] 最主要原因还是在于说
[46:35] 你想到备料就觉得很累
[46:36] 想到去收拾碗盘就觉得很累
[46:38] 所以我之前是有想过说
[46:40] 有没有可能就是说以后的
[46:41] 不知道就几个社区大楼
[46:43] 可能就会联合去跟
[46:45] 不知道全联还是说隔壁哪一个
[46:47] 然后就包下可能有一小区这样子
[46:49] 然后这个小区呢
[46:50] 反正就大家就跟那个什么
[46:52] 7-11的寄杯咖啡一样
[46:54] 那你只要过去扫一下
[46:55] 你就可以拿你今天份的食材就好
[46:57] 就是你不用说什么
[46:58] 你买一堆冲回来
[46:59] 然后你只切一点点嘛
[47:00] 因为对我来讲
[47:00] 我光是看到那个
[47:01] 我就觉得说心很痛
[47:02] 不是说钱的问题
[47:03] 就是我就很討厭說
[47:05] 我只用一點點
[47:05] 然後就要把它丟掉
[47:06] 因為我們也用不到這麼多
[47:07] 家庭沒有這麼大
[47:08] 除非說你真的每天都要煮
[47:09] 可是你又不想每天都要煮
[47:11] 你只想要偶爾氣氛一下
[47:12] 那光是想到有一堆料會被浪費掉
[47:14] 就覺得說好還是不要煮
[47:15] 還是叫Uber就好
[47:17] 所以如果說有人可以去
[47:18] 把這些人集合在一起
[47:19] 然後我每次都是拿我要的量
[47:20] 然後我今天心情好
[47:21] 我就來煮一點東西
[47:22] 我就有意願覺得變很高
[47:24] 或者是說不知道
[47:25] 就有時候還是隨著時間的變遷
[47:27] 那後來就會去做一些別的事情
[47:29] 像我最近就開始有比較多跑步
[47:31] 我以前是不太喜歡跑步
[47:33] 那只是最近突然觉得说
[47:35] 跑步蛮不错的
[47:36] 所以很多时候
[47:36] 你慢慢发现说
[47:37] 就自己也像
[47:38] 我们后上那个梗图
[47:39] 就是你坐在化妆台前面化妆
[47:41] 然后最后慢慢变成一个小丑
[47:43] 就是你那边笑说什么
[47:44] 只有老人家会做什么
[47:45] 然后你就慢慢的
[47:46] 你变成是那个老人家
[47:47] 下面一位
[47:48] 钟义宏
[47:49] 孟公您好
[47:50] 之前提到美光股价
[47:51] 要下去会有点困难
[47:53] 但自从公布
[47:54] 哈瞎GG的持股之后
[47:56] 那直接来了一个战争
[47:58] 全面通杀
[47:59] 跪求GG的心理阴影
[48:00] motherfucker
[48:01] 那另外主委新po的照片
[48:04] 安哥的脸型越看越像你好
[48:05] 在基因有重新洗牌过
[48:07] 那诺亚安哥还是好可爱
[48:09] Lisa好漂亮
[48:10] 主委有穿衣服
[48:11] 这种真的很坏
[48:12] 真的很多人都一直来提醒我说
[48:14] 这个我是在洗肌
[48:15] 不是这种事情
[48:16] 我自己是知道
[48:17] 你不用一直提醒我
[48:18] 然后再想说美光要下去有点困难
[48:20] 这美光后来又跑上来了
[48:22] 没错
[48:22] 那下面一位宝宝兔
[48:24] 我想要许愿
[48:25] 那如果说能够顺利在三个月内
[48:27] 把我生命中的第一间套房卖出的话
[48:29] 我会捐给慈善机构十万元
[48:31] 那谢谢孟公一直来制作优质好节目
[48:33] 祝福您全家平平安安健健康
[48:35] 那当然就希望这个宝宝兔可以顺利卖出啦
[48:38] 那可以成功的还愿啦
[48:39] 下面一位
[48:40] 新竹逆袭
[48:41] MK大好
[48:43] 我是因为先生开始收听的
[48:45] 现在变成我们生活中的一个固定陪伴
[48:47] 人生真的不容易
[48:48] 每个人都有自己正在面对的难关
[48:50] 我们家也经历了一些低潮
[48:52] 那弟弟自杀离世多年
[48:54] 家人都没有真正走出那一段阴霾
[48:56] 那没有想到又遇到了新的考验
[48:58] 我被诊断出罕见疾病
[48:59] 而爸爸也确诊
[49:00] 生物腺癌末期
[49:02] 目前在积极接受化疗
[49:03] 有时候会觉得
[49:04] 人生怎么这么难
[49:05] 但即使如此
[49:06] 生命中还是出现
[49:07] 让人重新相信奇迹的时刻
[49:09] 我的两个宝贝女儿
[49:10] 都是透过试管婴儿努力来的
[49:12] 对我来说
[49:13] 她们真的是生命送给我的礼物
[49:14] 也是我最骄傲的事情
[49:16] 最后想要谢谢我的神队友想象
[49:18] 谢谢你一直给力的陪我育儿
[49:21] 一起面对生活的各种挑战
[49:22] 未来我们还是要继续并肩努力
[49:24] 爱你
[49:24] 这个就是一个非常好的
[49:26] 正向的案例
[49:27] 因为其实生活真的对他蛮坏的
[49:30] 这样看起来
[49:31] 遇到各式各样的事情
[49:32] 希望你的父亲可以顺利的化疗成功
[49:36] 希望你的罕见疾病可以好好的处理掉
[49:38] 确实就像他讲的
[49:39] 很多时候当特别是发生一些事情之后
[49:42] 你会回归到那些最初的美好
[49:45] 最基本的美好
[49:46] 回到那种像小时候不知道
[49:47] 就在夏天午后骑脚踏车去找货店的感受
[49:50] 光是看到小朋友每天对你微笑
[49:52] 就是一个很大的能量
[49:53] 希望之后生命可以对你好一些
[49:56] 那这期视频就先拜拜
[49:57] 谢谢大家
