[00:00] 欢迎收听谷爱,我是圣梦宫,本集节目由Sally赞助
[38:59] 癫痫吞咽困难头小肌肉异常
[39:01] 多数的孩子活不过十岁
[39:03] 这样告诉所有的听众
[39:04] 我们常常所谓的烦恼
[39:05] 可能跟这种状况比真的不值得一提
[39:08] 换个心态
[39:09] 或许人生能够有不一样的滋味
[39:12] 那另外这件事情
[39:13] 给我一个启发
[39:14] 我现在觉得
[39:15] 骂人脑残智障
[39:16] 低能儿
[39:17] 可能都不如骂干你娘
[39:19] 干你娘的程度
[39:19] 可谓是轻太多了
[39:21] 股票都完美股
[39:22] 满手AI infra
[39:23] 感觉要遭天谴的爽
[39:25] 唯一买的台股
[39:26] 6451
[39:27] 一买就跌30%
[39:28] 不过我觉得还好
[39:29] 感觉有底子
[39:30] 和题材兜底
[39:31] 那如果最终爆喷的话
[39:33] 买贵几十块小事情
[39:35] 那最后请用
[39:36] 跟儿子高八度的声音说
[39:38] 我现在已经比较少了
[39:39] 我会尽量用那种
[39:40] 成熟男人的声音
[39:41] 跟孩子说话
[39:42] 就是说
[39:43] 愿大家平安健康
[39:44] 身体真的是最重要的
[39:46] 你各位
[39:47] 这位兄弟讲的东西呢
[39:48] 其实跟我前几天
[39:50] 在那边滑短影
[39:51] 看到的一个影片
[39:52] 有点像
[39:52] 那他就是
[39:53] 反正就是一些快速剪接啦
[39:55] 然后那么一脸
[39:56] 那种忧郁装逼的样子
[39:57] 可是他写的内容蛮有趣的
[39:58] 他说
[39:59] 曾经你以为
[39:59] 搬出家里就会快乐
[40:01] 曾经你以为
[40:02] 自己开始工作
[40:03] 赚到第一笔钱
[40:04] 就会快乐
[40:05] 曾经你以为
[40:06] 当你的存款
[40:07] 有一百万的时候
[40:08] 你就会快乐
[40:08] 曾经你以为
[40:10] 当你今天终于
[40:11] 找到一个人结婚
[40:12] 你就会快乐
[40:12] 可是各位摸摸自己的软蛋
[40:14] 问你自己
[40:15] 你现在是不是整天在那边抱怨说
[40:16] 你可能没有很快乐
[40:17] 或是你没有很满足
[40:18] 那再来他另外一个影片
[40:20] 也是类似的一个东西
[40:21] 虽然看起来很像干片
[40:22] 可是某个程度上有点到
[40:23] 我就想说
[40:23] 你会抱怨你的工作
[40:25] 代表你至少有工作
[40:27] 一堆人是没有工作
[40:28] 你会抱怨你的食物
[40:29] 代表你至少有地方
[40:30] 可以坐着吃东西
[40:31] 一堆人是没有东西可以吃
[40:32] 所以你可以抱怨
[40:34] 就代表说
[40:34] 其实你已经是拥有了
[40:35] 所以真的是有时候
[40:36] 这是一个心理上
[40:37] 要去讨论的东西
[40:38] 最近真的是在股票里面
[40:40] 市场仔很多都赚到翻调
[40:41] 像我们今天
[40:42] 就是跟几个市场的巨鳄
[40:44] 我们有一个群组
[40:45] 大家有时会在里面
[40:47] 可能稍微聊天一下
[40:47] 然后就聊到说
[40:49] 简单来讲就是说
[40:50] 反正这一波真的很多人
[40:51] 他在短短一段时间
[40:52] 就赚超级无敌多的钱
[40:54] 那我就说
[40:55] 各位的大屌
[40:57] 等到你们可能突破了
[40:58] 台湾的富豪百大之后
[41:01] 如果你们有要盖皇宫的话
[41:03] 可以让小弟去参观一下
[41:05] 就有一位人说
[41:06] 他稍微的捞一下资料
[41:08] 好像要突破百大的话
[41:10] 只要有个两三百亿就好吧
[41:11] 那他讲完之后
[41:13] 我就想说
[41:13] 其实那个跟想象中的数字
[41:15] 比起来好像是低蛮多的
[41:16] 那其中一个大哥就直接讲说
[41:18] 你看这个叫价值观偏差
[41:20] 就像行情好到
[41:21] 大家都觉得说
[41:22] 好像发财赚钱是很容易的事情
[41:24] 那一般我们的经验
[41:25] 我们知道这样子
[41:26] 就是后面一定会罚你
[41:27] 只是我觉得大家都想要做到最回客
[41:30] 好像最近不是
[41:31] 已经有很多券商是晴天收散
[41:33] 他不是雨天收散
[41:34] 晴天就先收散
[41:35] 他不讓你去做延展
[41:37] 他不讓你去借更多錢
[41:38] 就連我自己的一些戶頭
[41:40] 最近有新開的
[41:41] 要叫他把我信用額度開高
[41:43] 都沒有辦法
[41:43] 會鎖一個上限
[41:45] 他說能夠給你開這樣
[41:46] 其實已經很好
[41:46] 因為現在一堆地方
[41:47] 都已經是不給開了
[41:48] 所以代表什麼
[41:49] 台灣人一堆人在借錢炒股票
[41:51] 這個就是大家自己要小心
[41:53] 知足常樂非常重要
[41:55] 等到哪一天回檔的時候
[41:56] 也要知道說
[41:56] 至少你曾經有賺到一筆錢
[41:58] 有賺到就好
[41:59] 回一些就是保護費
[42:01] 全民會
[42:02] Lumi 夢宮chika 你好
[42:04] 请问孟公会常常跟Lisa聊天吗
[42:05] 我的另一半说
[42:06] 我跟他聊天都聊太浅
[42:08] 但我的工作跟他相反
[42:09] 是需要接触很多人群讲话
[42:11] 很好经济神
[42:12] 那伴侣说他需要花很大的努力
[42:14] 我才会想将话题往下带入分析
[42:16] 那想起孟公开示
[42:18] 怎么取得之间的平衡
[42:19] 谢谢您
[42:20] 祝全家健康平安顺心
[42:22] 所以兄弟完全就是问错人了
[42:24] 因为以小弟的状况来讲
[42:26] 我老婆也是很常说
[42:27] 我怎么都不讲话
[42:28] 你在节目不是很会讲吗
[42:29] 你平常怎么不讲话
[42:30] 那我觉得也不是因为
[42:32] 我节目把话都讲完
[42:33] 是我平常真的
[42:33] 话越来越少了
[42:35] 我觉得我以前话很多
[42:36] 可能某个程度上是
[42:37] 我是一个people pleaser
[42:38] 我就想让大家开心
[42:39] 我就觉得说
[42:39] 不知道大家尴尬在那边
[42:41] 就很尴尬
[42:41] 所以就要讲一些笑话
[42:42] 就要去做一些事情或什么
[42:44] 但我觉得他是完全可以接受
[42:45] 我就最安静的那一个人
[42:46] 那所以我在家里
[42:47] 我也是不太会去讲东西
[42:49] 我唯一比较热衷的时候
[42:50] 是讲我老婆听不懂的东西
[42:52] 而且我可以看到
[42:52] 她眼中有一丝的放空
[42:54] 可是还是尽量的去回应我
[42:56] 像我刚才说
[42:56] 我一些研究发现或什么的
[42:58] 那她不是特别在意
[42:59] 然后她就还是会听我讲
[43:00] 那这时候他就会抱怨说
[43:01] 你看每次我都会听你讲话
[43:03] 可是我在讲话的时候你都不听
[43:04] 那我都会说
[43:05] 不是啊
[43:06] 你跟我讲卡戴山又怎么样
[43:08] 你都是跟我讲一些花边新闻
[43:09] 这些花边新闻
[43:10] 我就真的是
[43:11] 就give zero shit嘛
[43:13] 那他说
[43:13] 老实说你的工作
[43:14] 我也是give zero shit啊
[43:16] 那这时候我就会说
[43:17] 没有啊
[43:17] 我的工作是
[43:18] 不知道有生产力的
[43:19] 蛮酷的啊
[43:20] 是产业
[43:20] 跟我自己讲讲
[43:21] 我也知道说对了
[43:22] 某个程度上
[43:23] 你知道他那些花边新闻
[43:24] 他也是可以有生产力的
[43:25] 对吧
[43:26] 他也是可以
[43:26] 你知道有些那种娱乐圈的人
[43:28] 就靠这个赚钱
[43:28] 所以他跟生产力与否
[43:30] 是没有什么太大关系
[43:31] 就只是你到底有没有用心
[43:32] 去听别人讲话
[43:33] 所以我后来我去训练
[43:34] 就是当我太太在讲话的时候
[43:35] 我尽量不要让她讲两到三次
[43:37] 因为有时候她真的会讲
[43:38] 两次到三次
[43:39] 很夸张
[43:39] 就她已经整个故事讲完
[43:41] 所以我说我太太是非常耐心的
[43:42] 她已经讲了30秒
[43:43] 然后我真的是突然回声说
[43:45] sorry你刚才讲什么
[43:46] 然后她再讲一次
[43:47] 我在sorry你刚才讲什么
[43:49] 我是真的会连续去忽略
[43:51] 那这不是一个好事情
[43:52] 这是非常坏的一个示范
[43:53] 但我觉得近年
[43:55] 我有开始慢慢的去改
[43:56] 那其中一个非常有效的做法
[43:59] 是把自己的时间线切开来
[44:01] 那这个也是要非常感恩
[44:03] 自己有孩子之后
[44:04] 孩子带给我的一些改变
[44:05] 什么叫把时间线切开来呢
[44:07] 因为像我的工作是属于
[44:09] 基本上我非常的有弹性
[44:10] 所以我可能可以明天就买机票去哪里
[44:13] 就像可能各位听众看到
[44:14] 有时候我就什么突然间就回娘家
[44:16] 就两个月
[44:16] 或者说什么突然间就去巴厘岛
[44:17] 或什么的
[44:18] 我可以随时跑来跑去
[44:19] 可是交换的是怎么样
[44:20] 我可能到深夜都在工作
[44:22] 就是我虽然是有弹性的
[44:23] 可是我的工作量是非常大的
[44:24] 那我可能今天就算是
[44:26] 跑去巴厘岛
[44:27] 然后大家在Villa里面游泳
[44:28] 我可能还是坐在旁边
[44:30] 去敲我的笔电
[44:30] 去看一些东西
[44:31] 那这个就会变成说
[44:33] 你看起来是时间弹性跟自由
[44:35] 没错
[44:36] 可是呢
[44:36] 你会在
[44:38] 你可能该放松的时候
[44:39] 你都还是在想事情
[44:40] 那后来怎么样去做一个企业格
[44:42] 就像我就知道说
[44:43] 我现在晚上的某个时间点
[44:44] 我就一定要念故事
[44:45] 给我孩子听
[44:46] 那一样的道理就是
[44:47] 我可能过了晚上六点
[44:48] 后来才发现说
[44:49] 一些大老板
[44:49] 他们可能在一些访问
[44:50] 都会提到这样子的东西
[44:51] 五点半回家之后
[44:52] 我就是不接公司的电话
[44:54] 我覺得就是這個概念
[44:55] 就是你要去做一個切割
[44:56] 這個時間就是for家人
[44:58] 那所以for家人不一定是說
[45:00] 你要侷限於自己
[45:01] 我就知道聽我老婆講話
[45:01] 沒有你可能是for你的孩子
[45:03] 那你老婆就一起或什麼的
[45:04] 但至少你知道說你有時間
[45:06] 你是空下來的
[45:06] 那今天如果有人密你
[45:08] 你會知道說這個時間是神聖的
[45:09] 我沒有辦法回你
[45:10] 我覺得這個後來幫助我很大
[45:12] 也因為這樣子
[45:12] 我也知道說
[45:13] 那我他來跟我講話的時候
[45:14] 那這個時間點
[45:15] 我不應該去想我自己的事情或什麼
[45:16] 即便我覺得我的事情很重要
[45:17] 但他的事情也很重要
[45:19] 所以我認為那是一個
[45:20] 心態上要去改變的
[45:22] 他也不是說什麼你的工作特別忙碌
[45:24] 因为像我们的工作也很忙碌
[45:25] 那都是某个层上的一个借口
[45:26] 是说你的工作可能是已经是
[45:28] 高度渗透到你的生活了
[45:30] 导致你的生活跟工作
[45:32] 其实是已经失去平衡的
[45:34] 那不是说一定要work life balance
[45:35] 因为我们都知道说
[45:36] 如果你要追求极致卓越的话
[45:38] 你不会有work life balance
[45:40] 不会有这种东西
[45:40] 但至少平衡板要稍微
[45:43] 把它敲回来一点点
[45:44] 不然可能就会气力止散
[45:45] 这个要小心
[45:46] 下面一位
[45:47] 系谷金城武
[45:48] 孟公大
[45:49] 我的梦想是有一天
[45:50] 可以像孟公一样
[45:51] 过上真正自由自在的生活
[45:54] 想做什么就做什么
[45:55] 不用再受朝九晚五的工作束缚
[45:57] 而且能够至少
[45:58] 每一季都带着全家人出国玩
[46:00] 那另外想起
[46:01] 孟公祝我和太太
[46:03] 加州戏谷的Andrea
[46:04] 是念Andrea还是Andre
[46:06] 如果念错不好意思
[46:07] 那6月3日结婚
[46:10] 8周年快乐
[46:11] 一路走来辛苦老婆
[46:12] 异乡的陪伴跟照顾
[46:13] 让我两个宝贝儿子
[46:15] 都能够快乐长大
[46:16] 也祝福他早日恢复窈窕好身材
[46:19] 一起迎接更美好的未来
[46:20] 非常正向的一个留言
[46:21] 看到这种东西心情就很好
[46:22] 就像我刚才前面所提到的
[46:25] 对我的时间是弹性的
[46:26] 但某个程度上
[46:27] 我的时间也算是被绑死的
[46:30] 因为据来说
[46:30] 我就是每天
[46:31] 像我前面甚至可以
[46:33] 直接在某一集就开头
[46:34] 然后跟大家很高兴的分享说
[46:36] 我因为网球
[46:37] 我破除了
[46:38] 我早上一定要坐在电脑前面的
[46:40] 这个routine
[46:41] 已经不知道他妈几年了
[46:42] 那我因为打网球
[46:43] 去改变这件事情
[46:44] 就是心中还是会觉得
[46:46] 有一点罪恶感
[46:47] 但当下是非常开心的
[46:49] 所以呢
[46:49] 经常讲就是我们很常去看别人生活的时候
[46:51] 这也不是只有各位
[46:52] 就像我自己也会这样
[46:53] 看一些大哥
[46:54] 因为我很羡慕他
[46:55] 这么有钱或什么的
[46:56] 但你可能不知道
[46:57] 就是别人辛苦的点在哪
[46:59] 那当然不知道跟大家卖说
[47:00] 我很辛苦什么
[47:00] 意思就是说
[47:01] 你尽量不要去羡慕任何人
[47:03] 然后你要去小心
[47:04] 你去许的任何的愿望
[47:06] 你想要成为他或什么
[47:07] 可是你真的去变成他
[47:08] 或像是我某个
[47:09] 通常我变成了
[47:10] 我小时候可能想要成为的某一个样子
[47:12] 可是呢
[47:13] 其实跟自己想的呢
[47:14] 是有一点不一样的
[47:15] 你还是会有你的忧虑
[47:16] 还是会有你的难过
[47:17] 有你的担心或什么的
[47:18] 那这个就是我们很常举的一个老题目
[47:21] 就是那个安东尼波登
[47:23] 大家一定觉得说
[47:24] 他是全世界最好的工作
[47:25] 最好的生活
[47:26] 可是这个家伙可能
[47:28] 最后面心理上的某些关卡
[47:29] 还是不一定过得去
[47:30] 或甚至是一些rockstar也是
[47:31] 你是万人膜拜的对象
[47:33] 你为什么会选择去结束自己的生命
[47:36] 所以我觉得在生命的追求之中
[47:38] 去让自己在当下就获得快乐是很重要的
[47:41] 所谓的当下获得快乐
[47:43] 就是说你要去欣赏你生活中的点点滴滴
[47:45] 而不是整天就是我希望变成谁
[47:47] 我希望可以怎么样
[47:48] 你可以有一个目标
[47:49] 可是其实生活的快乐
[47:50] 真的是在当下
[47:51] 这可能听起来很干
[47:52] 可是好难去形容
[47:54] 有点类似说
[47:55] 我上集在聊酒的时候
[47:56] 就有提到说
[47:57] 酒商老板讲说
[47:58] 可能最好喝的酒
[47:59] 是跟一群胡群朋友
[48:00] 然后他妈的
[48:01] 在路边喝的啤酒
[48:03] 你当下没有好好去感知它
[48:05] 是因为你可能不够成熟
[48:07] 可是等到你真的可以去
[48:08] appreciate那个moment的时候
[48:09] 你已经是回不去了
[48:10] 或甚至最近看到
[48:12] 明道的一个影片
[48:13] 反正他在那边讲说
[48:14] 他钱都不会留给孩子
[48:15] 这个我是不认同
[48:16] 我觉得留东西给孩子
[48:17] 没有什么不好
[48:18] 不用去排挤小孩
[48:19] 但是他讲的观念是对的
[48:20] 他就说
[48:21] 他觉得他人生最快乐的时候
[48:23] 是从没有钱
[48:24] 然后开始到有钱的那个阶段
[48:26] 那最快乐
[48:26] 这真的是还蛮快乐
[48:27] 这一段时间很棒
[48:29] 那你真的开始获得一些资源
[48:30] 你开始不用去
[48:31] 在这个全联去看价格的时候
[48:33] 你不一定会是最快乐的时候
[48:35] 所以有可能你现在
[48:36] 就在最快乐的一个时候
[48:38] 你现在就是最自在的时候
[48:39] 那个要体会一下
[48:41] 像因为
[48:41] 看样子应该会在国外遇见吧
[48:45] 不用躲在家里哪里都不去
[48:46] 那请问孟公
[48:47] 以前动能也是短周期吧
[48:49] 关于你从很瘦小到现在壮壮的经验分享
[48:52] 一如何改变有短座场
[48:54] 二怎么适应一开始回测的金额
[48:56] 跟后来回测的金额
[48:57] 那虽然知道是看%数
[48:58] 但也差太多了
[48:59] 二年前你进市场的时候
[49:01] 普遍可能是喷到三到五根就没了
[49:03] 那怎么驾驭现在的超紧喷行情
[49:05] 还是你本身就很会爆
[49:06] 或许如你所说的特质
[49:08] 你很有弹性
[49:09] 光学校
[49:09] 那谢谢抽到
[49:11] OK
[49:11] 怎么样从短变长
[49:13] 我注意到身边每个短变长
[49:15] 都是资金变大
[49:16] 资金变大自然就会变长
[49:18] 那当然你说是资金变大
[49:20] 是本质还是说是年纪
[49:22] 因为在资金变大过程中
[49:24] 大家也都变老了
[49:25] 你会注意到大家变老
[49:26] 大家都不会想要
[49:27] 整天坐在电脑前面盯盘
[49:29] 所以我觉得有短变长
[49:31] 是势必会发生的事情
[49:32] 几乎我身边的所有人都这样
[49:34] 即便是一些做量化交易的人
[49:37] 他们可能也开始
[49:38] 有一些长头都不会
[49:39] 所以我认为那是必然的
[49:40] 甚至你不用去刻意训练
[49:42] 就你时间到就是会发生
[49:43] 那是说这时间到
[49:44] 你妈早上就是翘不起来之类的
[49:46] 那再讲说这个金额
[49:47] 这个金额确实要花时间去收息一下
[49:50] 它不容易
[49:51] 你会看到你有一些回档出现
[49:53] 然后接着你就很焦虑
[49:54] 会很受不了
[49:55] 但如果你用%看
[49:56] 你会发现这个%可能跟之前是差不多
[49:58] 所以我觉得它有点像是说
[50:00] 你在短期内暴富的太快
[50:03] 你的知识认知感受度
[50:05] 什么没有跟上的话
[50:06] 你会很容易去把你现在赚到的东西
[50:09] 给丢回去
[50:10] 你会赔回去
[50:11] 那没有办法
[50:11] 那是因为你的认知是还没有跟上
[50:13] 你要感受到没有跟上
[50:14] 但是一段时间之后
[50:16] 一定都会慢慢的适应
[50:17] 这个真的是要
[50:18] 有点类似说要
[50:19] 帮自己full proof
[50:20] 你就要知道说
[50:21] 你不要去盯那个金额
[50:22] 你就是要看百分比
[50:24] 或者说甚至你不用
[50:25] 整天去算这有的没有的
[50:26] 你就直接用净值看
[50:27] 所以我自己是蛮推荐
[50:29] 都用净值去追踪
[50:30] 你的部位就好了
[50:30] 这个是很简单的
[50:32] 因为你拉长一看
[50:32] 就会发现说
[50:33] 你现在很焦虑
[50:34] 可是你的净值
[50:35] 明明整个长线
[50:36] 是走得好好的
[50:36] 或许没有出
[50:37] 什么样的一个大问题
[50:38] 所以这个真的是
[50:39] 心态上要调整的东西
[50:41] 然后再讲说要去怎么样处理一下超紧喷行情
[50:44] 接下来说你没有办法什么东西都报到
[50:47] 像我前面才刚刚举过一些新贵的例子
[50:49] 像正美
[50:50] 正美买超不及便宜的
[50:51] 或者说三太四也买超级便宜的
[50:53] 可是后来整个喷出去的时候
[50:55] 那个部位一定都是慢慢的降低
[50:56] 可是有些部位你从头到尾都干大场的
[51:00] 可是他就是不会喷
[51:01] 这个势必会发生
[51:02] 但后来会知道说
[51:04] 当你的部位变多变散的时候
[51:06] 你比较容易吃满波段
[51:07] 可是当你想要去把部位都压满的时候
[51:11] 你势必会在涨多的时候
[51:13] 你就去思考说
[51:13] 是不是我要卖一点
[51:14] 对你看起来短线上是卖对了
[51:16] 可是很多时候你长线看会发现
[51:17] 早知道我都不要卖
[51:19] 但是你也不能够这样去
[51:20] 把眼光都盯着同一个东西
[51:21] 因为你换来换去
[51:22] 说不定你最后面换到一个
[51:23] 你最后的真命天女
[51:25] 然后帮你赚超多钱之类的
[51:27] 所以我认为这个也是一个
[51:28] 过度被聚焦
[51:29] 然后可能不是特别重要的东西
[51:31] 只要你的净值是一直有在上去就好
[51:33] 只要你跟大盘比
[51:34] 你有outperform
[51:35] 就没有什么太大的问题
[51:36] 那过程中的一些有的没有的事情
[51:38] 你可以把它视为是
[51:41] 我都是這樣的一個感受
[51:42] 今天節目到這邊
