[00:00] 欢迎收听谷外,我是圣梦宫
[38:51] 我去帮记忆体的股价做倍数
[38:54] 因为你知道它涨好几倍了
[38:55] 它是涨好几倍的东西
[38:56] 所以一个涨好几倍的东西
[38:58] 确实可能会因为说
[38:59] 各式各样的风吹草动
[39:01] 都有机会把它打下去
[39:02] 但是如果你用产业面的角度
[39:03] 你说记忆体就不需要了吗
[39:04] 那一定是在讲bullshit
[39:05] 所以如果今天有一个白痴
[39:07] 跑出来跟你讲说
[39:08] 就贴这个新闻
[39:09] 然后说我们再也不用
[39:10] 用到这么多记忆体
[39:11] 你就知道说这个人就是白痴
[39:12] 就类似前面那种各种去
[39:13] 不然说什么
[39:14] 这个AI就是会把所有Google都杀掉
[39:17] 就是白痴
[39:18] 然后再说
[39:18] AI就是会让以后都不需要用到任何的software
[39:21] 这个也是白痴
[39:22] 所以你可以用这种很简单的方式去
[39:24] 筛掉一些人
[39:25] 这就是我们为什么在上级的开头会想喷
[39:27] 就是说这个世界其实是很复杂的
[39:30] 你很难就是说
[39:31] 因为怎么样
[39:32] 所以就是怎么样
[39:32] 这个非A即B
[39:34] 非黑即白
[39:35] 这类的东西
[39:36] 然后就简单的就打翻一传的东西
[39:38] 这个其实都是缺乏思量的东西
[39:40] 你可以拿来打打嘴炮
[39:42] 可是拿来做产业分析
[39:43] 或者做股票投资
[39:44] 我会觉得这个一定是没有办法赚到什么钱
[39:46] 那下面一位
[39:47] 我也是会在办公室使用机械键盘的人
[39:55] 对于一个需要长时间打字的马农
[39:57] 使用机械键盘真的会舒服很多
[39:58] 而且现在新出的键盘也都有主打静音的设计
[40:01] 那个人觉得还是跟个人的习惯有关系
[40:03] 毕竟也是有遇过使用一般键盘
[40:05] 但很用力在敲键盘的同事
[40:06] 那虽然现在写程式大多数是给Cloud去写
[40:10] 写完再看有没有问题
[40:11] 那另外3月28号是我的生日
[40:13] 可以请孟公去给他祝我生日快乐吗
[40:15] 今年的生日愿望
[40:16] 还是能够在股市赚钱
[40:19] 让我去日本玩
[40:20] 那挂号去日本玩
[40:21] 到底是什么感觉点JPG
[40:23] 不是啊
[40:24] 这位兄弟
[40:24] 我觉得你只是懒啊
[40:25] 因为老实讲
[40:26] 去日本真的不是一个
[40:27] 什么难度很高的东西
[40:28] 日本现在你透过什么红眼航班
[40:30] 然后外加一些什么商务旅馆
[40:32] 你可以用超便宜的价格就去到
[40:34] 所以去日本甚至是比国旅便宜啊
[40:36] 兄弟
[40:36] 所以你只是懒惰
[40:37] 你不是没有办法去日本
[40:39] 你不要把日本这种东西
[40:40] 当成是你的愿望
[40:41] 这样很low
[40:41] 你去许一个比较大的愿望
[40:43] 把人生的愿望要大一点
[40:44] 下面一位
[40:45] 气氛仔Zen
[40:46] 可恶太常被跳过
[40:47] 感谢孟公每周的分享
[40:49] 气氛仔听得津津有味
[40:51] 记得孟公以前被大儿子逼着打电动
[40:53] 听到被糖尸
[40:54] 春眠不觉晓的经验跟骄傲
[40:56] 好萌无敌可爱哟
[40:58] 请孟公用死了都要爱
[41:00] 在飙高音的语气
[41:01] 家真的没有办法
[41:02] 而且阿信他也唱不上去
[41:03] 祝我们数了都要爱
[41:05] 数二周年依然爱
[41:07] 感谢孟公大大
[41:08] 好人一生平安
[41:08] Choco也快乐平安
[41:09] 最后贪心的许愿
[41:11] 希望能够托观音大爷的福
[41:13] 今年能够如愿的怀上小宝宝
[41:15] 也保佑各位听众大家身心健康
[41:18] 有这个气氛载进
[41:19] 感觉是一个非常快乐的人
[41:21] 人生就是要多跟这样子的人在一起
[41:23] 希望他可以顺利的怀上小宝宝
[41:25] 下面一位财经大师的朋友
[41:27] 阿巴阿巴阿巴阿巴阿巴二
[41:30] 嗨又是我啦
[41:31] 我那前几年all in mv翻了好几倍
[41:33] 说财经的朋友又开市了
[41:35] 满手mv说去年零交易
[41:37] 说是长期持有
[41:39] 还拿巴菲特持有可口可乐来比较
[41:41] 我很佩服能够报者不卖
[41:43] 但只有买NV到底是什么策略
[41:45] 那叫运气好
[41:46] 不要乱教别人
[41:47] 对就是先强调
[41:49] 我们绝对不是酸葡萄
[41:51] 但一般我们看到一个人
[41:52] 特别是他没有太多进出的经验
[41:54] 他只是all in一只表底
[41:56] 然后接着他赚很多钱
[41:57] 他有机会是赛道的
[41:58] 因为有很多人都是做一样的东西
[42:00] 可是他们all in到错的东西
[42:02] 他就赔钱
[42:02] 这个不是要当酸葡萄
[42:03] 我还是觉得说
[42:04] 你可以all in赚钱的人
[42:05] 我非常羡慕
[42:06] 只是一般来讲
[42:07] 我们会去相信大数法则
[42:09] 你一个东西
[42:09] 你只要一直反复执行
[42:11] 然后他证明说
[42:12] 期望值是正的
[42:13] 绩效是好的
[42:13] 那才代表说
[42:14] 这个东西是可行的
[42:15] 那不然有点像是说
[42:16] 你今天去签乐透
[42:18] 签了一组号码
[42:19] 那你正头讲
[42:19] 就跟大家讲说
[42:20] 反正我跟你讲
[42:20] 要怎么赚钱
[42:21] 你就是去找一个乐透店
[42:22] 进去你就写下这些号码
[42:24] 你就会赚钱
[42:24] 那个就是比较偏向
[42:26] 是有点那种
[42:26] 事后论的角度
[42:27] 但一般你去讲这个
[42:29] 人家就觉得你是酸民
[42:30] 所以像我们知道
[42:31] 我们也都是看破不说破
[42:32] 但也不是说鼓励大家
[42:33] 一定要一直交易或什么的
[42:39] 你自己就赚钱
[42:39] 你不会去教别人
[42:40] 因为你就是说
[42:41] 反正运气好
[42:42] 自己知道就好
[42:43] 你要知道什么是运气
[42:44] 什么是实力
[42:44] 这个蛮重要的
[42:46] 下面一位
[42:46] 快乐宝贝大韭菜
[42:48] 感恩爱您安安主委
[42:49] 想谢谢您提供优质好节目
[42:50] 让我这个快乐宝贝
[42:51] 可以学到很多的观念
[42:52] 跟了解市场的消息
[42:53] 我也想谢谢其他
[42:54] 愿意分享产业
[42:55] 或是帮节目做笔记的人
[42:57] 或是团队
[42:57] 像是哭马俊哥
[42:59] 李奇大大
[42:59] 定毛等
[43:00] 虽然互不认识
[43:01] 但就像是空中的朋友一样
[43:02] 最后祝主委
[43:03] 跟大家都身体健康
[43:04] 持股喷上天
[43:05] 感恩爱您
[43:06] 诸位您那边看留言有几行
[43:08] 我这边看有12行
[43:08] 我这边看有7行
[43:11] 我这边看有7行
[43:12] 那对
[43:13] 就是非常感谢有这么多的听众
[43:15] 会帮忙去echo我的一些说法
[43:18] 或者是说
[43:19] 有些人会去帮我做笔记
[43:20] 那他里面提到的一些
[43:22] 就是我帮我去做笔记的大大们
[43:24] 那我也是有看过
[43:25] 那觉得应该是还蛮不错的
[43:27] 就是怎么讲
[43:27] 我自己对于笔记这件事情
[43:29] 还是比较两极化的一个想法
[43:32] 就是有些我看了喜欢
[43:33] 我知道说这个写的好
[43:34] 可是有些他们都是在抄意
[43:36] 或者说透过AI去写我的东西
[43:39] 那我就觉得
[43:39] 其实那个跟我的本意已经有偏差调
[43:42] 所以真的也不要觉得说
[43:43] 什么AI是无敌的
[43:44] 然后过度去仰赖他
[43:45] 总之就这样
[43:46] 反正我还是建议大家
[43:47] 你要去获得这个节目的一些
[43:49] 所谓的资讯或者我的感受的话
[43:51] 你最好都自己来听
[43:52] 就类似说有时候
[43:53] 我们会自己去听一些法术
[43:54] 或为什么
[43:54] 因为你其实光是听一个人的口气
[43:56] 你就知道说他对这个东西
[43:58] 是正向还是负向或什么的
[43:59] 虽然我知道现在有些很变态的人
[44:01] 他们的AI也有去训练
[44:02] 说去听法说
[44:02] 然后判断他是乐观还是悲观
[44:04] 很变态
[44:05] 但我们还是会选择
[44:06] 是自己去听这些东西
[44:08] 特别是跟赚钱
[44:09] 是有直接关系的东西
[44:10] 最好是自己多了解
[44:11] 不要看太多二次的资讯
[44:13] 下面一位
[44:13] 竹北肥宅
[44:15] 竹北末代马农
[44:16] 听上集真的是心有戚戚焉
[44:17] 身为末代马农
[44:18] 真心觉得有LM真的太棒了
[44:20] 有许多原本只存在自己想法
[44:22] 但被限制在自身熟悉的领域
[44:24] 有LM之后
[44:25] 真的是更容易把想法给实现出来
[44:27] 女儿跟诺亚同届
[44:29] QA问最大愿望那里
[44:30] 听到的当下
[44:31] 想的跟你一模一样
[44:32] 那最后想祝福
[44:33] 最近被layoff的学弟
[44:34] 一切顺利
[44:35] 是公司烂不是你烂
[44:36] 希望那个学弟可以顺利
[44:37] 那也非常感谢
[44:38] 猪背肥宅的一个echo
[44:40] 其实我觉得应该
[44:41] 是有蛮多涅槃仔的想法
[44:42] 都会跟我是差不多的
[44:43] 就是怎么讲
[44:44] 就你真的走一遭之后
[44:46] 你就会觉得
[44:46] 就当然你年轻的时候
[44:48] 很多人会跟你讲
[44:49] 不一样的想法
[44:49] 甚至你自己
[44:50] 也会有不一样的想法
[44:51] 你会觉得说
[44:51] 我们赚钱就已经这么辛苦了
[44:53] 干嘛要把钱花在别人身上
[44:55] 现在不是很多人
[44:55] 在讲小朋友都在讲钱吗
[44:57] 怎么讲都是钱
[44:58] 那当然你说钱重不重要
[44:59] 钱真的很重要
[44:59] 可是我整个说
[45:01] 就是有体验过的人
[45:02] 你去问有体验过的人
[45:03] 你不要每天都问那种
[45:04] 在网络上的单身仔键盘仔
[45:05] 你去问真的有体验过
[45:06] 当然有些会给你不好的意见
[45:07] 就像有些人会告诉你说
[45:09] 他觉得他爸妈可以去勇干
[45:10] 可是有些人觉得说
[45:11] 他爸妈是他最好的礼物
[45:12] 这世界上本来就是
[45:13] 每个人会有不一样的看法
[45:14] 可是至少就是说
[45:15] 很多去体验过的人
[45:17] 他们的想法可能会跟我一样
[45:19] 就是比较偏向说
[45:19] 我们以前都以为是那样
[45:20] 可是当我们去体验到之后
[45:22] 我们发现说
[45:22] 很多东西是我们帮自己
[45:24] 上的一些枷锁
[45:25] 我们的思想的框架
[45:26] 是我们自己帮自己去预设的
[45:28] 但你实际体验到之后
[45:29] 你会发现人生
[45:30] 有很多不一样的东西
[45:31] 你会开始了解到
[45:32] 就像说像以前我都觉得说
[45:33] 什么我爱她
[45:34] 什么我爱这个女生
[45:36] 那个是真正的爱
[45:37] 我真的超级爱她
[45:37] 我每天都会想她
[45:38] 可是当你有孩子之后
[45:39] 你才知道说
[45:39] 什么叫真正的爱
[45:40] 你才知道什么叫说
[45:41] 今天如果我跟你讲说
[45:42] 什么二选一
[45:43] 两个人去躺轨道
[45:44] 那选这个火车要点过谁
[45:46] 你会毫无疑问的直接选自己
[45:48] 你绝对不会选你孩子那里
[45:49] 可是如果今天是女朋友跟老婆的话呢
[45:50] 不一定能够想一下
[45:52] 但如果今天是孩子的话毫无疑问
[45:54] 所以这个是一个很特别的感受
[45:56] 那有体验过的可能就可以理解
[45:58] 那时候我讲的那一段话
[45:59] 那我相信我讲那一段话
[46:00] 我自己是没有特别的去想它
[46:02] 但因为你在讲我就想起来
[46:03] 我想说可能有一些单身的
[46:04] 就觉得说
[46:05] 干 给掰
[46:05] 什么这个家就是什么孩子控制
[46:07] 但那真的要体验过你才会明白
[46:09] 很多事情你没有看过
[46:10] 你是不知道
[46:11] 就下从不可与兵
[46:12] 下面一位
[46:13] 二宝匠
[46:14] 气愤仔从2025拜新年流到了
[46:17] 过了扫木端五万生
[46:20] 会不会卡掉
[46:20] 一直都没有抓到联密码
[46:21] 想送生日祝福都送不出去
[46:23] EP647提到周遭的人登出
[46:26] 想起高中时的梦中梦到妈妈走了
[46:30] 醒来第一件事情就是打电话回家
[46:31] 问了高中是住宿
[46:33] 一整天心情都不好
[46:35] 很难想象真的遇到会怎么样
[46:36] 祝大家生活顺遂
[46:38] 可以的话计划永远走在意外前
[46:41] 管好把握当下
[46:42] 开心管好撒花
[46:43] 对啊确实是要把握当下
[46:45] 那像我自己的父母
[46:46] 最近也开始有比较密集的拜访
[46:49] 可能是发现说
[46:50] 这个小孩变得好玩之后
[46:51] 就有比较常出现
[46:52] 那他们出现的时候也会
[46:54] 就尽量
[46:55] 像我知道我儿子都是蛮黏我
[46:57] 但我就会尽量躲起来
[46:58] 让他们可以跟这个孩子多一点记忆
[47:00] 那当然当我自己跟我爸妈
[47:02] 做一起的时候
[47:02] 我也会希望去搞一点有趣的
[47:04] 好吃的东西
[47:05] 或者说好喝的酒或什么的
[47:07] 然后就送他们
[47:08] 然后他们有时候很高兴
[47:09] 他们可以回去跟他们
[47:10] 什么登山队分享之类的
[47:12] 虽然跟爸妈不一定会有太多的东西
[47:14] 可以对话
[47:15] 但尽量能做就做
[47:16] 就不要让自己有一天会后悔
[47:18] 下面一位
[47:18] 波波爱上孟宫
[47:20] 爱上孟宫那一天三
[47:21] 孟宫去感恩
[47:22] 我是今天交车特粉
[47:24] Y好好开
[47:25] 希望有一天可以在路上看到你
[47:26] 然后上演一段
[47:27] 冯迪索跟保罗沃克道别时
[47:29] 深情款款的戏码
[47:31] 感觉都很感人
[47:32] 不说了
[47:33] 我要先去多点几股特斯拉股票了
[47:35] 祝所有特粉出入平安
[47:37] 在外都有超充可以宠爱你
[47:38] 特斯拉的股价
[47:40] 最近真的他妈相当大变
[47:41] 还是要稍微的谨记一下
[47:42] 我们在过去
[47:43] 好像是两集
[47:44] 三集前我跟大家聊到
[47:45] 他去搞TerraFab
[47:46] 我们的一些看法
[47:47] 最主要是
[47:48] 我觉得在财务上面
[47:49] 一定是一个累赘
[47:50] 当然有可能
[47:52] 真的给他搞起来
[47:53] 后面因为IDM的关系
[47:54] 他可以省下一些成本
[47:56] 他的整个毛利数字
[47:57] 拉上去或什么
[47:57] 但那个真的是
[47:58] 比较偏很远的东西
[47:59] 有点类似
[48:00] 我感觉他有点像
[48:01] 之前Meta的
[48:02] Transition阶段
[48:03] 就是他要去搞
[48:04] 那种元宇宙
[48:05] 那时候不是
[48:06] 股价跌要烂掉吗
[48:07] 当时勇敢去买
[48:08] 但后面是赚翻
[48:09] 可是当下你叫我买
[48:10] 其实我真的不太敢买
[48:11] 因为我已经看不太到
[48:12] 你后面要搞的东西是什么
[48:13] 会不会你真的把
[48:14] 所有广告的收入
[48:15] 都投进去元宇宙
[48:17] 事后证明说
[48:18] 其实这个看法是没有错的
[48:19] 因为它元宇宙的东西
[48:20] 后来就真的就收掉了
[48:22] 它不干了
[48:22] 可是我们没有想到
[48:23] AI的横空出世
[48:25] 然后外加它是有填损
[48:26] 所以股价要上去
[48:27] 所以有时候还是
[48:28] 意高人胆大
[48:29] 敢压的人
[48:30] 说不定你加压下去
[48:31] 因为大家都担心
[48:32] 它的Terraflap的财务问题
[48:34] 后面它突然就缩掉
[48:35] 它不做了
[48:36] 然后就又紧盘的不晓得
[48:37] 所以这个股票其实是很难讲的
[48:40] 反正最后面会发现说
[48:40] 能够赚到最多钱的是那些信仰仔
[48:42] 反之会赔到最多钱的
[48:45] 也是那些信仰仔
[48:46] 所以有梦最美希望相随
[48:48] 下面一位
[48:49] 竹科神山阿滴
[48:51] 大猫咪的爸爸来了
[48:52] 29岁开始觉得体力不如大学生
[48:54] 开始吃益生菌
[48:55] 马卡B群那些保健食品
[48:57] 也买了1.5升的水壶
[48:58] 逼迫自己一天要喝一罐以上
[49:00] 周五的戒酒日也戒掉了
[49:02] 周五的饮酒日也戒掉了
[49:03] 变成一周跑步四天
[49:04] 重训一天的生活
[49:05] 仔细想想自己
[49:06] 怎么会有这么大的转变
[49:07] 思考到才认知到
[49:08] 自己很怕死
[49:09] 很怕没有办法陪伴
[49:11] 女儿还有即将出生的儿子
[49:12] 一起长大
[49:13] 毕竟我想继续当
[49:14] 全世界心灵最富有的帅老爸
[49:16] 那最后想寄挨大的金口
[49:18] 跟观音斗爱的保佑
[49:19] 祝福我老婆Jane
[49:20] 五月二宝平安诞生
[49:22] 今年博士顺利毕业
[49:23] 好那我们希望
[49:24] 二宝可以平安健康的长大
[49:26] 那可以尽快的睡过夜
[49:28] 那也希望
[49:28] 太太的博士可以顺利拿到
[49:30] 那这位爸爸讲的
[49:31] 就是我开头的心得
[49:32] 所以有时候我其实
[49:33] 可以慢慢的理解
[49:34] 因为以前我都讲说
[49:35] 我不知道这些人
[49:36] 到底听这些节目干嘛
[49:37] 特别是有些是
[49:37] 业界的高手或什么的
[49:39] 他们其实不一定需要
[49:40] 去了解我们讲的
[49:41] 一些产业相关的东西
[49:42] 他们自己就比我更了解
[49:43] 但可能就是这种时候吧
[49:45] 就我现在就觉得
[49:45] 我跟这个bro是连在一起的
[49:47] 就我完全懂他在讲什么
[49:48] 然后他一定也懂我在讲什么
[49:49] 所以我们希望自己
[49:51] 都可以维持到很好的状态
[49:52] 然后去陪伴孩子
[49:53] 大概这样
[49:54] 好那这就拜拜
