[00:00] 欢迎收听谷爱,我是沈木工,本集节目由善存赞助
[41:17] 然后再封装
[41:18] 或者说可能后面前回台积
[41:21] 因为市场的资金的取向非常的明显
[41:23] 那你说光通是不是好东西
[41:25] 绝对都是好东西
[41:26] 也是持续的在正确的路上前进
[41:29] 只是股票这种东西有趣的就是
[41:31] 像我们前面
[41:32] 就像过去一阵子
[41:34] 几乎都在cover被动元件的东西
[41:35] 那我会跟大家讲说
[41:36] 后面有涨价线要出来
[41:37] 只是我还是跟你讲说
[41:38] 涨价线出来不代表会涨
[41:40] 因为涨价线出来就代表说
[41:41] 是一般散户都会知道
[41:43] 这个东西可以搞了
[41:44] 可是你看他们买
[41:45] 就是买在我们两三倍的价格之后
[41:47] 然后再问说
[41:48] 为什么会这样跌
[41:49] 然后再发一些梗图
[41:50] 说什么陈泰明在收割大家
[41:51] 不是啊
[41:52] 自己资讯能力差
[41:53] 自己不会做股票
[41:54] 不要乱怪人家
[41:55] 陈泰明家是多少人的恩人
[41:57] 带多少市场中的
[41:59] 这种中小大户
[42:02] 一起赚到钱或什么的
[42:03] 所以其实每次一个东西上去跟下来
[42:06] 就是一定会有人赚到很多钱
[42:08] 然后跟有人受伤
[42:09] 干干叫
[42:10] 然后跟他的孩子说
[42:10] 以后不要玩股票
[42:11] 那所以我觉得是这样子啊
[42:14] 就是我已经算是很明智的
[42:16] 就是我都没有去跟你聊这个
[42:17] 因为就故事资金都不在这
[42:19] 很明显你今天去看一下
[42:20] 美股的Luminton Coherent
[42:22] 或者说台股这些光相关的东西
[42:25] 你说好不好
[42:26] 其实都好产业都好
[42:27] 就像是你说Vidya好不好
[42:29] 好啊
[42:29] 不会涨啊
[42:31] 不会涨没有用啊
[42:32] 你知道吗
[42:32] 我们去看市场的东西的时候
[42:34] 我们不是只是单纯的去看
[42:36] 产业相关的东西
[42:37] 我们也会去随着
[42:39] 就像市场资金有没有在这里
[42:41] 法人有沒有在這裡
[42:42] 你知道嗎
[42:42] 因為我看到太多人一直在問這個
[42:44] 我就知道因為光前面超熱嘛
[42:45] 所以你不覺得那時候
[42:46] 真的敏感度也點很高
[42:48] 我那時候如果
[42:49] 我就再持續跟你聊的話
[42:50] 一定會有一些人就會怪到我身上
[42:52] 就說你看你在高檔拱大家
[42:54] 即便我們可能在很低檔
[42:55] 就一直在講這個東西
[42:56] 所以對啦
[42:57] 那是有一點那種市場敏感度的東西
[42:58] 我覺得因為目前故事就沒在這
[43:00] 所以沒什麼好聊的
[43:01] 就可能等到後面有新的故事
[43:03] 最近可能有一個新的故事
[43:05] 是什麼
[43:05] Semianalysis竟然跑去跟發行商
[43:08] 他們有搞一個光的ETF
[43:10] 跟另外一个不知道什么的ETF
[43:11] 你可以稍微去看他的选股
[43:12] 我觉得他选到的东西
[43:13] 有机会会短谈一下
[43:15] 有机会
[43:16] 但就很明显市场的资金没有在这边
[43:19] 所以等到后面可能市场的资金
[43:21] 跑回来这里
[43:22] 我们自己的资金也跑回去这边的时候
[43:23] 你就会发现我们就会去聊这个东西
[43:25] 因为资源是有限的
[43:27] 前面他讲是这样子
[43:28] 所以这就是为什么
[43:29] 会在市场里面去抓一些题材
[43:31] 就像过去可能很多人很喜欢价值股
[43:33] 然后他们就说
[43:34] 为什么价值股都没有在跑
[43:36] 为什么都是在跑成长股
[43:37] 就是你可以选择抱怨
[43:39] 你也可以选择加入
[43:40] 今天要講是這樣子
[43:40] 那當然你今天去做投資的話
[43:42] 你自己投資的角度的話
[43:43] 那你不要認為說
[43:45] 他是沒有人要的孩子啊
[43:46] 你為什麼不轉個念想說
[43:48] 之前這麼貴你都願意追
[43:49] 現在便宜了
[43:50] 為什麼你不要了
[43:52] 你懂我意思嗎
[43:52] 所以還是要去有一些研究的底子
[43:55] 在背後原因在這邊啊
[43:56] 因為有些東西
[43:57] 最後面真的會證明你是對的
[43:59] 中間他可能會休息
[44:00] 滿長一段時間
[44:00] 舉例來說像記憶體
[44:01] 中間也休息一段時間
[44:02] 然後最後面走了
[44:03] 那個後面的那一波嘛
[44:05] 我們不敢說是最後一波
[44:05] 只是就是
[44:06] 前面也是有橫盤的
[44:08] 一大段時間這樣
[44:09] 那我会觉得
[44:10] 光通可能也是类似的情景
[44:12] 然后等资金流回去再说
[44:13] 就看一些事件
[44:14] 有没有办法驱动
[44:15] 像我们刚才前面讲的一些
[44:16] 那种严调机构
[44:17] 跑去搞ETF
[44:18] 就看一下会不会有办法带动
[44:20] 如果没有办法带动
[44:21] 如果拉起来马上软掉的话
[44:23] 那就代表签证
[44:23] 没有在这边
[44:24] 下面一位
[44:25] 威格欧
[44:26] 孟公去卡
[44:26] 7月15号是我生日
[44:28] 可以跟我说那四个字吗
[44:29] 大鸣大放
[44:31] 我不知道怎么讲这四个字
[44:33] 自从听了您的节目
[44:35] 跟快乐好朋友们
[44:36] 打大混战开局
[44:37] 一定都是全屏
[44:38] 孟公我老公
[44:39] 希望哪天可以遇到真神
[44:40] 祝您全家快乐平安
[44:43] 爱您
[44:43] 最近真的是没有空去打这些游戏
[44:46] 那也希望以后可以遇到大家
[44:48] 下面一位
[44:48] 会辣的番茄酱是什么酱
[44:51] 辣番茄酱
[44:52] 嗨老公
[44:53] 有个基本面的问题想要请益
[44:55] 不知道是哪里有问题
[44:56] 近期在看驱动IC的产业
[44:58] 龙头那几只
[44:58] 研究过后发现
[44:59] 2027的展望都不好
[45:01] 没错
[45:01] 那挂好资讯来源
[45:03] 各家劝报
[45:04] 大家都去搞驱动IC本业以外的
[45:06] 有的资源放SOC
[45:08] 有的放电子纸IC
[45:09] 有的放车用相关
[45:10] 但为什么股价的线图拉开
[45:12] 现在还是很强
[45:13] 挂号月格局偏右上
[45:15] 是不是我的研究
[45:16] 少考虑了什么要素
[45:17] 导致我的结论
[45:18] 跟目前股价呈现相反的状况
[45:19] 希望得到劳工的提点
[45:21] 爱你
[45:21] 这位兄弟或这位姐妹
[45:23] 所讲的东西
[45:24] 就是我们在过去几集
[45:25] 不是一直有跟大家聊到说
[45:27] 台湾的一些design house
[45:28] 然后有一些DDIC的东西
[45:30] 都在转强
[45:31] 可是就我们的考察
[45:32] 我们发现说
[45:33] 它是成本导向的一个转嫁
[45:34] 我们不是去聊说
[45:35] 成本导向的涨价
[45:37] 然后跟需求导向的涨价
[45:39] 只是就我们看来
[45:41] 成本导向的涨价也都是有成功
[45:44] 这些Design House涨价几乎都有出去
[45:46] 所以就会导致说
[45:47] 有点像是它前面已经是
[45:49] 进入了某一种button
[45:50] 当然这个button不知道什么时候会bounce up
[45:53] 会跑出来会改出颓势
[45:56] 可是至少代表说
[45:57] 就算我现在业绩还是维持很平
[46:00] 惨淡
[46:01] 可是至少我把价格反映出去
[46:03] 我的获益的状况
[46:05] 就会稍微的去做一些改善
[46:06] 所以我覺得他現在在這種Transition的階段
[46:09] 那只是Transition的階段
[46:10] 很多時候股價就會先跑
[46:11] 就像剛剛前面所聊到的一些封測的股票
[46:15] 沒有注意到類似的情形
[46:16] 他其實他的產業button是在
[46:19] 差不多現在或者說稍早一點點而已
[46:23] 可是他的股價已經先從底部上來
[46:25] 很長一大段了
[46:26] 這就是股票會跑在前面
[46:28] 那只是一般後面假設要再繼續上的話
[46:31] 他就是需要有一些新的故事
[46:33] 這些故事包含但不限於就是本業的改善
[46:36] 他有可能就像你讲的
[46:37] 他去做一个业外的东西
[46:38] 像台股的有一些工具机的股票
[46:41] 他不是过去在喷吗
[46:43] 可是后来喷一喷也蛮多软掉了
[46:44] 为什么那时候会喷
[46:45] 就是因为他们可能有切到机器人的故事
[46:48] 然后这个机器人的故事
[46:50] 他也不是直接对到终端客户
[46:51] 他只是出某一个component
[46:53] 到某一个模组那边
[46:55] 然后那个模组的终端是用在机器人上面
[46:58] 他就说他自己是机器人
[46:59] 然后他的营收的占比
[47:00] 那时候我们之前有跟大家聊这一段
[47:02] 就工业电脑
[47:03] 然后跟一些这些工具机
[47:05] 它营收占比是在5%以下
[47:07] 超低3%什么
[47:08] 可是光是这样就会喷
[47:09] 为什么
[47:10] 因为他用他本业的EPS
[47:13] 去乘上机器人的估值
[47:15] 所以他本质上是某一种PE rating的上修
[47:18] 他是去修他的PE先的
[47:20] 他的earning并没有跟
[47:21] 可是他的PER
[47:23] 他那个ratio先拉上去了
[47:24] 那股价就跳上去了
[47:25] 所以我会觉得
[47:26] 现在有蛮多的IC design都是这样子
[47:28] 可是有一些IC design
[47:30] 有趣的是
[47:31] 当这个转折发生的时候
[47:33] 你想要去找低点
[47:35] 你就不一定找得到了
[47:36] 一个很经典的案例就是
[47:37] 联发科在他很多涨停之前
[47:40] 大家还记得那时候
[47:41] 他手机的东西被下销
[47:43] 然后不是就大逃杀吗
[47:45] 刚好杀一段
[47:46] 后面大家就进来去买单
[47:48] 他的AI故事就啪啪啪啪啪
[47:49] 就好几根涨停就出去了
[47:50] 那出去之后
[47:51] 当然你一定就会看到
[47:53] 很多人会跑出来干剿说
[47:54] 那个没有那么快
[47:55] 他没有win那么多case
[47:56] 一堆还在block on上面
[47:58] 不知道道理大家都懂
[47:59] 可是问题是市场的资金
[48:01] 某个程度上
[48:01] 他们都会有一种那种博弈的心态
[48:03] 你今天如果给他赌到的话
[48:05] 他就是直接再拉上去
[48:06] 他就让那种想追的人
[48:08] 根本就追不到
[48:08] 或是你根本就等不到
[48:09] 便宜的价格
[48:10] 那赌错怎么办
[48:10] 赌错就再杀回来而已
[48:11] 就这样而已
[48:12] 所以市场资金会提早去跑
[48:14] 所以有一个说法是这样
[48:16] 说股市是经济的橱窗
[48:17] 这个我觉得
[48:18] 大多数的环境下是成立的
[48:20] 不要看到很短线
[48:21] 就让他可能
[48:21] 三个月半年来看
[48:23] 如果说他那个趋势
[48:24] 已经有形成的话
[48:25] 一般就是有一些东西
[48:26] 正在巧妙的改变中
[48:27] 目前我们确实是
[48:29] 在消费性这边
[48:29] 还没有办法看到
[48:31] 有好转的迹象
[48:32] 那确实你的调查也是正确的
[48:35] 就像是大概可能在数个月前
[48:36] 我们有跟大家分享说
[48:37] 有一些面板
[48:38] 有一些那种消费性的东西
[48:39] 我们注意到他在拉货
[48:41] 可是我们的判断是
[48:42] 这些不管是什么HP
[48:44] Lenovo或什么
[48:45] 他们去做拉货
[48:46] 他们只是一个就是补库存的动作
[48:48] 所以他不会持续
[48:49] 那当然有些人可能
[48:50] 光是这个补库存的动作
[48:51] 他就可以去炒一下股票之类的
[48:53] 但一般要有延续性
[48:55] 就一定要有后面的东西
[48:56] 那我目前看法是跟你一样
[48:57] 就是目前我们是没有办法看到
[48:58] 那当然有一些design house
[48:59] 他去做的新东西
[49:01] 那反而是
[49:02] 就会类似像那时候工具机一样
[49:03] 他有机会就是
[49:04] 把那个乘数直接拉上去
[49:05] 然后外加
[49:06] 因为他过去没有涨多
[49:07] 没有涨多的东西
[49:08] 有机会就有一个补涨的行情
[49:10] 那是完全是另外一种做法
[49:12] 跟平常大家去做的那种
[49:13] 可能在AI势头上的强势股
[49:15] 是不一样
[49:15] 可是就是落后的东西
[49:16] 确实还是有一些补涨的空间
[49:18] 那下面一位
[49:19] 来去菜市场看欧人
[49:23] 来吃水果
[49:25] 孟公大您好
[49:27] 当初是太太推荐
[49:28] 才来听您的节目
[49:28] 一晃眼也三年了
[49:29] 很感謝大大無私的分享
[49:31] 最近太太在求職上不是很順利
[49:32] 遇到的老鳥同事對新人都不是很友善
[49:35] 如果太太能夠找到心儀的工作
[49:37] 我將捐出我月薪的三分之一
[49:38] 給流浪動物相關的機構
[49:40] 感謝觀音大愛
[49:42] 因為我今天在外面
[49:42] 但是觀音大愛
[49:43] 我們相信她是無遠弗屆的
[49:45] 她應該會聽到
[49:45] 那希望可以讓你的太太
[49:47] 也非常感謝她介紹我給你認識
[49:50] 這樣聽起來有點怪怪
[49:50] 就是介紹我節目給你認識
[49:52] 那希望她可以順利的找到工作
[49:53] 不要遇到一些這種不好的人
[49:56] 那希望你們一切平安
[49:57] 好 那拜拜
