[00:00] 歡迎收聽谷外,我是星風公,本期節目由Sally贊助
[37:55] 所以我覺得臺灣
[37:56] 其實有非常多很棒的團隊
[37:57] 那也非常感謝你
[37:58] 持續支援我們臺灣的團隊
[38:00] 下面一位
[38:00] 一恩物
[38:01] 孟公您好
[38:02] 前陣子讀完底層邏輯
[38:03] 受益良多
[38:04] 本來以為是翻轉認知的通識好書
[38:07] 結果女友卻說
[38:08] 脆上一面倒負評
[38:09] 甚至大部分的評價都是
[38:11] 這是一本看的完全沒用
[38:12] 很浪費時間的書
[38:13] 這讓我陷入深深的自我懷疑
[38:15] 難道我真的是個認知底下的快樂寶貝嗎
[38:18] 那想請問孟公讀過這本書嗎
[38:20] 對他的評價如何
[38:21] 那另外
[38:22] 想希望你用諾亞的聲音跟聽眾說
[38:25] 祝各位聽眾新年快樂
[38:27] 有明年在一起炒股
[38:28] 有感愛你
[38:29] 很多時候講
[38:30] 就是我不覺得書這種東西
[38:33] 會是一個
[38:34] 就像說就是每個人看了
[38:35] 都一定會有共鳴
[38:37] 或者很有感覺的東西
[38:38] 書就是一個作者
[38:39] 他某個程度上
[38:40] 人生的濃縮嘛
[38:41] 所以可能對你有效
[38:43] 可能對別人沒有效
[38:44] 所以有些大家覺得
[38:45] 很好的東西
[38:45] 不一定對你有效
[38:46] 只要你不是故意
[38:47] 跟大家對著說
[38:48] 因為有些人會故意就是
[38:49] 大家在聽什麼音樂主流
[38:50] 我故意不聽
[38:51] 書我就要看非主流
[38:52] 那種就是要耍酷的吧
[38:54] 那種自以為酷酷集團的
[38:55] 那這種例外啦
[38:57] 那絕大多數的時間點呢
[38:58] 我覺得
[38:58] 可能大家覺得有用的書
[39:01] 不一定是那一種
[39:02] 可以在你的像工作或生活方面
[39:04] 幫助你超大的東西
[39:05] 因為怎麼講
[39:07] 這些人類是說
[39:08] 我們有時候在市場裡面
[39:09] 我們尋求的不是說
[39:10] 但我們最終是希望說
[39:12] 市場的共識是我們的認知
[39:13] 就是我們的東西
[39:15] 應該要走在市場的共識前面
[39:16] 因為這樣才可以賺錢
[39:17] 所以如果說一個東西
[39:19] 是大家都覺得很不錯
[39:21] 那你看理論上這東西
[39:23] 對他可能可以讓你舒服
[39:24] 可是他幫助你去獲得一些
[39:26] 怎麼講
[39:27] 千瞻的優勢的機率
[39:29] 就會相對低一點
[39:30] 當然他還是有可能會啟發你
[39:31] 或什麼的
[39:32] 只是我會認為說
[39:33] 你不一定一本書
[39:34] 會獲得最大的收益的來源
[39:37] 是因為很多人在推這本書
[39:39] 不是
[39:39] 可能你就剛好缺這個
[39:40] 你去補這個
[39:41] 所以不用因為說
[39:42] 別人覺得這本書好
[39:43] 然後才要去看這本書
[39:45] 我覺得是反過來的
[39:46] 反而是你看這本書
[39:47] 你有很多的體會的話
[39:49] 那是蠻不錯
[39:49] 但是要小心
[39:50] 確實有些書本
[39:51] 他是
[39:52] 我之後有空再來
[39:54] 跟大家討論一下
[39:55] 哪些書是我覺得
[39:56] 大家看了會生病的
[39:57] 就像毒雞湯
[39:58] 或是一些
[39:59] 怎麼講
[40:00] 他很明顯
[40:01] 他取樣是有誤的
[40:02] 或者他整個論述是有誤的
[40:03] 那個人就真的
[40:04] 你看的時候會害到自己
[40:05] 真的有一些書是這樣子
[40:06] 可是絕大多數開卷有益
[40:08] 就是去了解一下別人的想法
[40:10] 只要不要當審敗
[40:11] 我覺得理論上都是會幫助到你
[40:12] 那你不一定要去盲從別人
[40:14] 下面一位
[40:14] 純水英子
[40:16] 孟公大哥您好
[40:17] 請您祝福我的貓咪咪
[40:19] 可以安詳的離去
[40:20] 不要再投胎
[40:21] 做地球上的生物太累了
[40:23] 那能的話就在上面等媽媽哥哥
[40:26] 去找你就好
[40:27] 乖乖的哦
[40:27] 那愛你的哥哥謝謝孟公那還有想問孟公您覺得CNC這個產業在臺灣還要救嗎那如果沒有大學學歷的我還能夠去做什麼那還要養一個女人好累
[40:38] 請孟公大哥開示
[40:39] 祝您一家平安快樂愛你
[40:41] 不知道CNC這個
[40:42] 已經是太細的東西了
[40:45] 它是超出我的認知範圍了
[40:46] 理論上我會覺得說
[40:48] 每個產業都有它發展的一個可能性
[40:50] 它只是有沒有可能
[40:51] 可以發展成聚落
[40:53] 或是讓很多人賺錢
[40:54] 那個就是不一定的事情了
[40:55] 那個就是不一定的
[40:57] 或者說以臺灣來講
[40:58] 我們可能把專業都是點在
[41:00] 跟半導體相關的東西
[41:01] 其實甚至嚴格上來說
[41:02] 是臺積電一家非常強
[41:04] 所以他養活了超級多的supply chain
[41:06] 然後這些人都因為他在賺錢
[41:08] 所以他們可能有些
[41:09] 像一些散熱廠好了
[41:11] 他們被NVIDIA
[41:12] 或者像臺積電這些AI的東西帶起來
[41:14] 你知道他最早
[41:15] 他們在做的東西
[41:16] 就是一般的金屬加工
[41:18] 然後後來就發現說
[41:19] 有一些高附加的應用
[41:21] 可以賺到很多錢
[41:22] 他們就往那個方向去企業
[41:24] 所以我還是覺得
[41:25] 各行各業都有他的機會
[41:27] 就是不會很容易的
[41:28] 就想說哪一個行業
[41:29] 就是實定的
[41:30] 一定不行或什麼的
[41:32] 就像是realtor這種
[41:33] 滿街都是的
[41:34] 臺灣的這種房地產的店面
[41:36] 不是都會說比7-11多嗎
[41:38] 可是真的超強的
[41:39] 還是可以超強
[41:40] 所以我儘量不會去
[41:42] 把一些產業說成是它不行
[41:44] 我覺得都還是有
[41:45] 它發展的可能性
[41:46] 只是說餅大不大
[41:47] 餅越大的地方
[41:48] 或者說越順風
[41:50] 越南海的地方
[41:51] 當然機會是越大
[41:52] 那理論上這個東西
[41:53] 在臺灣它不會是一個
[41:54] 很順風的東西
[41:55] 所以還是可以去思考看看
[41:57] 到底該怎麼樣做不教
[41:59] 但是我覺得各個月做到頂尖
[42:00] 一定都是可以賺錢
[42:01] 大概這樣
[42:01] 所以沒有辦法給你太多的建議
[42:03] 下面一位
[42:03] 可以請直男巧虎大神協助地方媽媽
[42:07] 讓老公知道生產前後住院期間
[42:10] 有多狼狽多沒隱私
[42:11] 完全不需要婆婆或是男方親戚
[42:13] 待在旁邊幫忙嗎
[42:14] 我們需要的是老公
[42:15] 直男的幸福靠大神守護了
[42:18] 祝大神新年快樂
[42:19] 我們也祝Full新年快樂
[42:20] 希望你生產順利
[42:22] 那這邊好
[42:23] 先叫你老公過來
[42:24] 跟家過來耳朵盯著
[42:26] 兄弟我跟你講一下
[42:27] 因為生產是一個
[42:29] 首先我先講你進產房前
[42:31] 特別是你老婆開始在
[42:33] 就小朋友已經準備要出來
[42:35] 開始在動胎動
[42:36] 然後已經準備要去看開脊子的時候
[42:38] 你會先進入一個非常緊張恐慌的局面
[42:41] 當然有些女生會有什麼破水的狀況產生
[42:44] 其實那個對於女生來講
[42:45] 他們應該會希望
[42:47] 這個不是在什麼公共場合
[42:48] 或是有一堆人的環視之下
[42:50] 所以最好就是另外一半陪伴就好
[42:52] 那接著到醫院之後
[42:54] 就會有一些procedure要做
[42:56] 當然在產房裡面
[42:57] 就是先幫你什麼刮毛
[42:58] 然後有些生產
[42:59] 要剪會影或什麼的
[43:00] 所以它會產生一些傷口
[43:03] 後面也會有一些惡路要排
[43:05] 甚至是有些女生
[43:06] 可能會無法動彈道
[43:09] 就你要幫她洗
[43:10] 所以你要拿瓶子
[43:11] 還要裝溫水
[43:12] 然後幫人家洗下面這樣
[43:14] 所以她不是一個
[43:15] 就是像大家可能
[43:17] 在Instagram有時候看到
[43:18] 但我相信有些媽媽
[43:19] 她真的比較幸運
[43:20] 她生完之後就活蹦亂跳
[43:21] 然後可以
[43:22] 或是像凱特王妃
[43:23] 我覺得他也超屌
[43:24] 他可能是
[43:24] 不知道皇族的壓力吧
[43:26] 叫你要下去
[43:26] 給大家拍個照什麼的
[43:28] 可是我覺得
[43:28] 生完真的是一個
[43:29] 很狼狽的狀態
[43:30] 或是有些人
[43:31] 根本就是動彈不得的狀態
[43:32] 然後在這種情況之下
[43:34] 旁邊又圍繞著一些
[43:35] 雖然你會覺得說
[43:36] 這不就是家人嗎
[43:37] 可是對於女生來講
[43:38] 她很脆弱的時候
[43:39] 她可能不希望這些
[43:40] 當然我也知道
[43:41] 那是你家人
[43:41] 你是我家人
[43:42] 我都知道
[43:42] 概念我都懂好不好
[43:44] 但是兄弟
[43:45] 因為那些人
[43:46] 並不是我最親近的
[43:47] 甚至他連自己的媽媽
[43:48] 都不想要在旁邊的
[43:49] 然後你叫這些人去看他
[43:50] 然後如果他哪邊痛
[43:52] 或是哪邊要叫醫生弄一下
[43:53] 或是怎麼樣
[43:54] 下面要洗一下
[43:54] 他要怎麼開口
[43:56] 你媽媽在那邊說
[43:57] 你先出去嗎
[43:57] 或什麼的
[43:58] 所以他確實是一個
[43:59] 我覺得最好的狀況之下
[44:01] 就是除非兩方有共識
[44:03] 就是說很相信婆婆
[44:05] 或是很相信岳母
[44:06] 然後他們要來幫忙
[44:07] 這個是OK
[44:08] 可是如果說一方有任何的疑慮
[44:10] 那就要立刻
[44:11] 身為老公要拿出你的擔當
[44:13] 就是說先不要
[44:14] 好像那時候也是
[44:15] 我們回家裡
[44:16] 我一開始也是搞不太清楚狀況
[44:18] 老實講
[44:18] 所以我是用我的經驗
[44:19] 跟大家分享
[44:19] 因為我也是那種
[44:20] 臭指南搞不清楚的
[44:21] 但我老婆會教我
[44:22] 一開始我也覺得說
[44:24] 你們要來看小孩可以
[44:25] 我們回到家
[44:26] 可是後來才發現
[44:26] 不對啊
[44:27] 你回到家
[44:28] 幹老婆累得要死
[44:29] 雖然已經有休養一陣子
[44:30] 可是回到家
[44:30] 那是一個心態挑戰
[44:31] 你在月子中心
[44:32] 是有超多人幫你
[44:33] 或是在醫院是有人幫你
[44:34] 你在什麼都還搞不清楚
[44:36] 中央治療
[44:36] 別人來看
[44:37] 你可能要叫他戴口罩
[44:38] 要噴消毒
[44:39] 後來如果小朋友
[44:40] 真的不小心生病的話
[44:41] 你又要怪誰或什麼
[44:41] 所以他其實是
[44:43] 我覺得蠻需要
[44:44] 另外一半站出來相挺的
[44:46] 就如果說
[44:47] 對方真的有任何疑慮的話
[44:48] 你們就要以最小家庭單位
[44:50] 就是你跟你老婆跟你小孩
[44:52] 作為一個主軸
[44:53] 那其他人呢
[44:53] 能夠不加入就不要加入
[44:55] 也不要跑去亂
[44:56] 像現在我自己也知道
[44:57] 人家剛上網
[44:58] 我絕對不會跑去亂人家
[44:59] 因為我們是過來人
[44:59] 所以希望兄弟可以聽進去
[45:01] 我覺得你太太講的這東西
[45:03] 並不是說他是特例
[45:04] 或是他要求特別多
[45:05] 這個是很正常的
[45:06] 就請配合他
[45:07] 下面一位
[45:07] 傑瑞老公你好
[45:09] 我是從麥克風裝返的急速開始聽
[45:11] 踩點過天雲廟神桌水上人家
[45:15] 市民大道湧鬥
[45:17] 順意色情鮭魚
[45:18] 這些夢宮經典打卡點
[45:20] 共上過五次IG限動的古惠及聽眾
[45:23] 過年準備要去日本獨立
[45:24] 也會去吃老公推薦的東京入路拉麵
[45:27] 來留言只是想要感謝老公
[45:29] 總是在行情不好的時候分享觀念
[45:30] 陪大家一起抱團取暖
[45:31] 行情好的時候分享產業資訊
[45:33] 幫助擴充套件認知邊界
[45:35] 過去五年陪伴我度過了
[45:37] Crypto爆雷的血虧
[45:38] 七年感情結束等種種低潮
[45:40] 這兩年也感謝大牛行情
[45:42] 讓資產持續累積
[45:43] 人生也過得踏實
[45:45] 算是撥雲見綠
[45:46] 目前人生的夢想
[45:48] 是希望在路上遇到孟公
[45:49] 好好抱抱你並說聲謝謝
[45:51] 最後因為外婆也是苗栗客家人
[45:53] 希望可以聽您用客家話跟我說
[45:55] 加油啦 掉兩個紙白
[45:57] 祝福孟公全家
[45:59] 不是
[45:59] 只是講說外婆是苗栗人
[46:01] 聽起來很溫馨
[46:02] 然後直接叫我講
[46:03] 就是客家話可能最髒的髒話之一
[46:05] 祝福孟公全家平安健康
[46:07] 聽眾們新年快樂愛您
[46:09] 其實像這位Jerry的留言
[46:12] 就是有些聽眾講說
[46:14] 你這個節目怎麼可以持續這麼久
[46:15] 因為他們其實也懂
[46:16] 有些人可能會講說
[46:17] 這個傢伙他有收入
[46:19] 他當然會做
[46:19] 沒有你其實看一堆YouTuber
[46:21] 或是一些人
[46:22] 他們有收入
[46:22] 他們之後也不一定做
[46:23] 因為每個人會做下來
[46:24] 其實最後都不免的會有一些倦怠感
[46:26] 那我真的說我這個節目
[46:28] 當然他也不是說什麼特別的格式
[46:31] 只是說很慶幸那時候自己突發奇想
[46:33] 認為QA是節目的一個重點
[46:35] 所以QA要放超過一半以上
[46:37] 那QA確實是
[46:39] 像剛剛前面有些聽眾
[46:40] 他問一些產業的東西
[46:41] 我也不會想到在節目裡面講
[46:43] 但你QA問我就直接告訴你
[46:44] 那或者說像這種
[46:46] 真情流露的一些feedback
[46:47] 其實真的是支援我
[46:48] 可以持續的抱持著新鮮感
[46:50] 然後甚至是有點期待的
[46:52] 想要來錄這個節目的一個核心
[46:54] 那我也希望在路上遇到Jerry
[46:56] 那也希望你在日本的旅行
[46:59] 平安健康
[46:59] 我們一定會相遇的
[47:01] 下面我也臺中朋友院
[47:02] 我想報名滴滴打人APP的原始股東
[47:05] 加打手
[47:05] 這什麼東西
[47:07] 好 下面一位
[47:08] 昨天好聽了許久才第一次留言
[47:10] 請教主委提到大峰會尊重減碼
[47:13] 但如果又繼續往上
[47:14] 主委會選擇怎麼上車呢
[47:15] 還請開始
[47:16] 謝謝好人一家平安
[47:17] 剛好就是這集所聊到的
[47:19] 或是過去幾次的大峰
[47:20] 其實都可以稍微聽一下
[47:21] 我們都會去做出類似的評論
[47:23] 因為每次
[47:23] 這已經算是一個procedure了
[47:25] 就是如果看到這樣的一個狀態
[47:26] 就去做相對應的一個調整
[47:28] 那希望你可以參考參考
[47:30] 下面一位
[47:30] 祝MK一家在國外平安順心
[47:33] 開心快樂
[47:34] 那希望MK能夠祝燕珠2月4號生日快樂
[47:38] 祝福
[47:38] 老公祝你福壽與天奇
[47:40] 慶賀你生日很快樂
[47:41] 年年都有金魚
[47:42] 隨隨都有金棗
[47:43] 恭喜你恭喜你
[47:44] 好那我們祝他生日快樂
[47:45] 下面一位SW
[47:47] 那想請問老公跟Lisa是怎麼幫諾亞戒尿布的
[47:51] 我大女兒家三歲
[47:52] 為了戒尿布
[47:53] 我跟先生能做的都做了
[47:54] 買玩具給貼紙去遊樂園
[47:56] 甚至帶他去買任何他想要的東西
[47:58] 但他就是很抗拒去馬桶上廁所
[48:01] 說真的每天洗尿室的褲子
[48:02] 內褲洗到很厭世
[48:04] 還有我們住紐西蘭
[48:05] 家裡到處都是地毯
[48:06] 現在走到哪都是尿騷
[48:07] 我也超崩潰
[48:08] 聽起來真的超級崩潰
[48:10] 諾亞那時候
[48:11] 其實我覺得
[48:12] 我們好像沒有刻意的去做訓練
[48:14] 其實諾亞家睡覺的時候
[48:15] 我們還是會讓他包著
[48:17] 只是他一般就是不會尿
[48:18] 就很久才會尿一次
[48:19] 在日常就是完全不需要包尿布
[48:22] 那時候的做法是
[48:24] 反正不管去哪裡做什麼事情
[48:25] 我們都會先帶他去廁所
[48:27] 反正不管怎樣
[48:28] 就是先去廁所
[48:28] 你尿不出來
[48:29] 就是說爸爸站在這裡陪你
[48:31] 或者我就先尿
[48:32] 然後跟他說換你
[48:33] 類似這樣
[48:33] 把它變成是某種遊戲
[48:35] 或是某種挑戰
[48:35] 然後讓他持續的去上廁所
[48:37] 他後來就會習慣
[48:38] 他要在那邊上廁所
[48:39] 那當然我這樣講
[48:40] 可能會
[48:41] 有些人會覺得說
[48:42] 我也是這樣做
[48:43] 為什麼沒有效
[48:43] 能夠說每個小朋友的發展軌跡
[48:45] 可能不太一樣
[48:45] 我覺得他說
[48:46] 像我兒子在現在
[48:47] 都還是會有一些
[48:48] 大舌頭的狀況
[48:49] 他可以正常發言
[48:50] 只是他就是不知道
[48:50] 是懶還是怎樣
[48:51] 他舌頭就喜歡放出來
[48:52] 所以美國店長或什麼的
[48:54] 就還是會有那個發言的問題
[48:55] 那我知道有些小朋友
[48:56] 不過這個問題
[48:56] 所以每個小朋友
[48:57] 其實面對的難關不太一樣
[48:59] 那我兒子
[48:59] 我不記得有刻意的訓練他尿
[49:02] 因為好像蠻容易就上手
[49:03] 就一開始有尿溼褲子幾次
[49:05] 可能是不知道
[49:06] 就五到十次以內吧
[49:07] 在學校有時候會尿溼褲子
[49:08] 學校會換回來
[49:09] 但印象中是
[49:11] 沒有什麼很大的挑戰
[49:12] 就稍微有一個轉換陣痛期而已
[49:14] 然後接著就上手了
[49:15] 那我覺得可能
[49:16] 跟我們每次去廁所
[49:17] 硬叫他一起去有關係
[49:18] 因為其實絕大多數的時間
[49:19] 他都會說他不要去廁所
[49:21] 就是他都會說他晚嘛
[49:22] 他要怎麼樣他不要去
[49:23] 可是他可能突然間在路上
[49:25] 就是說我快尿出來
[49:26] 就他一尿就是瞬間
[49:27] 從零到一百就要尿出來
[49:28] 所以可能有些小朋友
[49:29] 就是說你沒有一直帶他去廁所
[49:31] 你想說等他講
[49:32] 就他就沒有跟你講
[49:32] 他順便就直接尿在褲子上
[49:33] 之類的有可能是這樣子
[49:35] 所以可能往這個
[49:35] 放下去努力看看
[49:36] 讓它變成是一種遊戲
[49:37] 然後持續的帶去
[49:38] 那再念最後一位
[49:40] Raymond J
[49:40] 這邊也要給五星好評
[49:41] 大家認為下個五到十年
[49:43] 是哪些產業發展
[49:44] 讓你比較興奮的
[49:45] 那關於Starlink
[49:46] 有可能像動漫或是電影那樣子
[49:48] 一顆顆網狀穿接在太空
[49:50] 你說什麼戴森環之類的
[49:51] 以前總覺得太科幻
[49:53] 但現在又覺得真的能這樣幹
[49:55] 最後祝孟公的小朋友們度假愉快
[49:58] 掛號挨大放假
[49:59] 不會愉快就不祝福了
[50:01] 這位兄弟也是非常瞭解我
[50:02] 只是我現在試著要愉快
[50:04] 只是讓人放假本身
[50:05] 還是沒有半夜兩點起床
[50:07] 看盤來的開心
[50:08] 我覺得未來五到十年的話
[50:11] 我覺得五到十年有點遠
[50:12] 就太遠了
[50:12] 因為什麼事情都有可能發生
[50:14] 就像是你可能在2018的5到10年是AI
[50:17] 你可以想到會有AI嗎
[50:18] 那時候甚至人家問我說
[50:20] NVIDIA的老黃
[50:21] 那時候他們就有在做AI相關的東西
[50:22] 只是我可能在早期節目
[50:24] 甚至都會直接跟大家講說
[50:25] 那個還是在夢裡面
[50:26] 可是後來一發生就很快
[50:28] 所以我覺得5到10年可能真的太難講
[50:30] 因為現在科技太快了
[50:31] 但如果說以近期的話
[50:32] 我們明確看得到
[50:34] 甚至有訂單的就低軌道衛星
[50:36] 反正就是在2026 2027會絕地大爆發
[50:39] 再來可能我覺得在可能3到5年內
[50:43] 大家會意識到說
[50:44] Power的一個重要性
[50:45] 我們現在講的Power
[50:46] 不只是像過去聊Delta
[50:48] 當然Delta臺達電
[50:49] 都還是在很好的一個方向
[50:50] 我現在講的Power
[50:51] 是直接回到電廠那邊去了
[50:53] 就如果說一些油國跟油商
[50:56] 它可能是在發動機時代的
[50:57] 一個最大受惠的話
[50:58] AI時代的一些受限
[51:00] 當然我們現在都念得出來
[51:01] 像什麼先進製程
[51:02] 先進封裝
[51:03] 然後或者說場地
[51:04] 或什麼的
[51:05] 可是大家也知道電力
[51:06] 你就會發現說
[51:07] 其實像是什麼製造端
[51:08] 這些東西
[51:09] 都是還蠻容易解決的
[51:11] 可是真的比較難解決
[51:12] 會是電力這一塊
[51:13] 所以電力商可能某個程度上
[51:16] 後面會變成說
[51:17] 直接跟這些Token
[51:18] 搞不好可以算出一個公式
[51:19] 就是我多少電力
[51:21] 我就可以做多少Token
[51:22] 就類似說我們現在會用GW
[51:23] 去作為一個衡量的標準一樣
[51:26] 所以他們就會類似說
[51:27] 新時代的石油
[51:28] 我覺得
[51:29] 電力商我自己還沒有找到
[51:31] 真的很想要投資的機會
[51:33] 我只知道說
[51:33] 反正就是在美國的
[51:34] 恒生類股買一買
[51:35] 其他地方我不知道
[51:36] 我自己還沒有去做
[51:38] 大規模投資
[51:39] 還在思考
[51:39] 但確定這個應該會是一個
[51:41] 蠻大的方向
[51:42] 然後再來的話
[51:43] AI就不用講
[51:45] AI大家都會
[51:45] 那只是AI的下一步
[51:47] 我覺得就是
[51:47] 這些Agentic AI的各種發展
[51:50] 那現在的一個大災問就是
[51:52] 有些人是相信說
[51:54] 科技巨頭會取代一切
[51:55] 但是我的信仰算是相反
[51:57] 我算是跟Mark and Jason
[51:59] 在訪問裡面所提到的
[52:00] 那一套是比較類似
[52:01] 就是我覺得說
[52:02] 人類的一些互動的方式
[52:04] 其實沒有這麼容易改變
[52:05] 所以2C的東西
[52:06] 會被巨頭吃掉
[52:07] 這應該是無庸置疑
[52:08] 就類似說你家不會有一些
[52:09] 什麼2B的browser
[52:10] 對全部都是用Google的
[52:12] 所以土C的東西
[52:13] 就是被他們吃光
[52:13] 可是土B的一些價值應用
[52:15] 在後面應該會很大
[52:16] 就像是Parent
[52:17] 為什麼可以交易
[52:18] 在這樣的一個估值
[52:18] 我覺得就是大家
[52:19] 已經提早去猜
[52:20] 那樣的一個夢想
[52:21] 會買的人就這樣子想
[52:22] 那一定會慢慢的
[52:24] 去從一些
[52:25] 所謂的軟體公司裡面
[52:26] 去找到說
[52:26] 他因為這個AI的匯入
[52:29] 效率變得更高
[52:30] 或者說他的整個
[52:31] 利潤數字變得更好
[52:32] 這個我覺得也是
[52:33] 在接下來的幾年
[52:34] 應該會很明確
[52:35] 可以看到的東西
[52:37] 那除此之外的話
[52:38] 我覺得都是一些
[52:39] 比較中小趨勢
[52:40] 有時候我比較不喜歡去講那種
[52:41] 就是一些商業雜誌會告訴你
[52:43] 未來人類十大東西
[52:45] 機器人 奈米 機器人 治療
[52:48] 那個都是在打高空講屁話
[52:50] 其實你在股票要賺錢的話
[52:52] 除了有夢之外
[52:53] 也要儘量在可能半年一兩年之間
[52:55] 要看到營收進來
[52:56] 所以我們會盯著比較緊一點
[52:57] 所以如果說把它變成
[52:59] 沒有那麼宏觀的東西
[53:00] 比較微觀一點的話
[53:01] 那散熱產業我覺得也會再大爆發
[53:03] 雖然現在有些環節
[53:04] 就像什麼QD已經是一堆人都可以做
[53:06] 可是越靠近晶片端的一個散熱
[53:09] 其實那個是後面超大的一個瓶頸
[53:12] 因為TDP都變超高
[53:14] 所以我覺得這邊也會出大事
[53:16] 就是用微觀的角度來看
[53:18] 那已經可以想象得到
[53:19] 它的訂單跟它的ASP
[53:21] 會拉到很高很高
[53:22] 所以如果用很宏觀的角度
[53:23] 當然什麼機器人
[53:25] AI
[53:25] 什麼自駕車什麼的
[53:27] 這個猴子都會講
[53:28] 那只是我們把它拉到
[53:30] 比較可以實戰面的話
[53:31] 就像我跟大家所聊到的衛星
[53:34] 或是能源
[53:36] 應該是很快就可以看到
[53:37] 一些營收穫利的不一樣
[53:38] 然後或是Agentic AI的一些軟體
[53:41] 或者說整合公司
[53:42] 或甚至就是巨頭
[53:43] 他自己本身
[53:44] 因為他還算是軟體公司
[53:45] 然後以及像是這個散熱液
[53:48] 我覺得也是一個
[53:49] 應該後面會出大事的東西
[53:51] 所以簡單講就是這些東西
[53:53] 那當然如果要去舉更多的話
[53:55] 一定還有
[53:56] 只是現階段能夠想到的
[53:57] 或者說自己手上有在搞的
[53:59] 我覺得這些東西是非常有機會的
[54:01] 好那大概這樣
[54:01] 那這期影片就到這
[54:02] 拜拜
