[00:00] 欢迎收听谷外,我是星风公,本期节目由NordVPN赞助
[38:27] 下面一位Jackie Lee
[38:29] 请问孟公大有喜欢听的动漫歌曲吗
[38:32] 我最近很喜欢咒术回战第三季的OP
[38:35] A.I.Z
[38:37] 跟福利联第二季的ED
[38:39] The Story of Us
[38:40] 这两部最新一季都完结了
[38:42] 但有好消息告诉你
[38:43] 福利联第三季即将在2027年的10月播出
[38:47] 听说第三季黄金相片很精彩
[38:49] 所以我一定要健康平安的活下去
[38:51] 祝您和听众们也都健康平安爱你
[38:54] 很有趣
[38:55] 福利店在第一季的时候
[38:56] 我觉得是一个超级倦勇
[38:57] 跟大家推的作品
[38:58] 可是第二季我看到
[38:59] 现在断断续续我都还没有看完
[39:01] 所以又是一个善变
[39:02] 所以我这个人就是他妈善变
[39:03] 有时候想想我他妈也是蛮可怜的
[39:05] 为什么都没有东西是我超爱
[39:07] 然后可以一路拼到底
[39:08] 为什么
[39:09] 为什么我的花一堆钱买装备之后
[39:11] 我现在只剩下每天上去打三王
[39:13] 我连逛的乐趣都没了
[39:15] 为什么我的人生会这样
[39:16] 下面一位
[39:16] Wayling
[39:18] 梦宫Chica最近趋势火到
[39:20] 没有什么要问的
[39:21] 本来想说之前盘不好
[39:23] 要去旅游不操作了
[39:25] 但幸福来得太快
[39:26] 什么杠杆都没上到
[39:27] 就直接创新高
[39:28] 只好推迟去肯亚的计划
[39:30] 继续在工作岗位
[39:31] 一边看盘一边写code
[39:32] 几个月前在软体股被杀了
[39:34] 乱七八糟的时候
[39:35] 灵气一动想说
[39:36] 我们这写马农
[39:38] 会不会以后要去传艺中心
[39:40] 表演人工写code
[39:41] 结果梗传的超快
[39:43] 现在网络上已经看到
[39:44] 几次别人在用了
[39:45] 最后想想还真的有个问题想问
[39:48] 知道孟公觉得未来Token会越卖越便宜
[39:51] 还是有天专业领域除了AI
[39:53] 没人会的时候
[39:54] 然后变得爆干贵
[39:55] 想听听您的看法
[39:57] 最后祝您与家人平安健康
[39:59] 非常谢谢这位兄弟
[40:00] 我心得跟他一样
[40:01] 就最近真的是盘火到
[40:02] 也不知道跟大家讲什么
[40:04] 好像说你随便设飞镖都会赚钱
[40:05] 然后再来讲说Token是会越来越贵
[40:08] 还是说会越来越便宜
[40:10] 我个人是觉得说Token一定是会越来越便宜的
[40:12] 我们讲的是说以大趋势来讲
[40:15] 就是说如果你今天是拉什么周线
[40:17] 或是月线来看的话
[40:18] 应该都会一直往下
[40:19] 那实在短期
[40:20] 也当然会有像最近就是反弹
[40:22] 最近大家会注意到说一些
[40:23] 可能像以前的Hopper
[40:25] 它的价格竟然是在逆势上涨的
[40:27] 那这什么意思呢
[40:28] 这其实就是代表说
[40:29] 因为你下去用AI模型就会注意到
[40:31] 我们也是一直跟大家提到
[40:32] 这样的一个概念
[40:33] 就它其实很多人用的时候
[40:34] 就会变笨
[40:34] 那为什么它变笨呢
[40:36] 简单说因为算力不够
[40:37] 因为大家建制的量是不够的
[40:38] 所以等到可能建制的量是
[40:41] 你不用到完全的sufficient
[40:42] 它只要可能有稍微的跟上
[40:44] 接着产能越拓越多的话
[40:47] 就会注意到
[40:48] 它应该是维持一个下降的趋势
[40:50] 我是这样相信
[40:51] 只是说因为AI的爆发
[40:52] 其实超乎蛮多人的想象
[40:54] 其实前面有蛮多公司
[40:55] 他们不一定在拓产的时候
[40:57] 都敢大手大脚
[40:58] 甚至是有很多的瓶颈
[41:00] 到目前都还是没有办法去做解决
[41:02] 像是一些美系的设备厂
[41:04] 直接告诉你说
[41:04] 我们的设备其实可以卖更好
[41:06] 那只是因为clean room
[41:07] 就是无尘室盖得太慢
[41:09] 所以就告诉你说瓶颈就在那边
[41:10] 那台积电这边
[41:12] 甚至是直接被大量的客户在靠背说
[41:14] 那个怎么不赶快扩
[41:15] 可是你也理解公司的思维
[41:17] 他怕说这会不会
[41:18] 就只是另外一个半导体的循环
[41:20] 就是他的cycle
[41:21] 是可能稍微大一点
[41:22] 那我现在扩很多
[41:23] 最后面可能要
[41:24] 承受很大伤害的是我
[41:26] 但我觉得到现在
[41:27] 就是已经run了
[41:28] 可能两三年以后
[41:29] 这个AI风潮
[41:30] 让大家有渐渐的相信
[41:31] 而且真的是有产出
[41:33] 蛮多的收益
[41:34] 所以说不定台积电
[41:35] 又会再进一步的上修
[41:36] 我自己觉得几率很高
[41:37] 所以如果说
[41:38] 大家都持续的去上修
[41:40] 去满足需求的话
[41:41] 我认为你拉一个长趋势
[41:43] 那个价格是会越来越便宜
[41:44] 它会有点像是Cloud的一个状态
[41:47] 它应该不会是逆势变得超级贵
[41:50] 如果是这样子的话
[41:51] 会有蛮多东西都会失效
[41:53] 就是我们在市场里面的估值
[41:55] 或是一些研究
[41:56] 就整个都是要打掉重联
[41:57] 但我相信应该不会有这样的情形
[41:58] 其他的一些短期内的报价上涨
[42:01] 是因为AI真的爆发的太快
[42:03] 产能是卡住
[42:04] 就有这样的一个情形
[42:05] 后面开始疏通之后
[42:06] 应该就会越来越便宜
[42:08] 那下面一位
[42:09] 是我啦
[42:09] 嗨 孟公
[42:10] 4月16号是我女友叶比的生日
[42:13] 她的愿望是有机会可以开发我的皮炎
[42:15] 那想问孟公这样是可以的吗
[42:17] 那最后详情孟公用性感猛男
[42:19] 被开发皮炎的声音
[42:21] 祝我女友4月16号生日快乐
[42:23] 爱您救命
[42:24] 像这种讲话
[42:25] 不搭不起的
[42:26] 就赶快去开她屁眼
[42:27] 下面一位
[42:28] 孟公去嘎好
[42:29] 我是鼻涕先生
[42:30] 想借助你的金口用周董的声音
[42:33] 不错哦
[42:34] 不像
[42:34] 那下个月19号生日的
[42:38] 露露公主生日快乐
[42:39] 那想跟她说谢谢
[42:42] 总是在我很脆弱跟迷惘的时候
[42:43] 陪着我并鼓励
[42:45] 那同时呢
[42:46] 我也很珍惜我们与生俱来的默契跟缘分
[42:49] 未来还要一起去解锁世界七大奇迹
[42:51] 跟更多的美食
[42:52] 那另外想问主委有提到自己美股的
[42:55] 某些部位是长期持有的
[42:56] 请问主委会针对这些部位去
[42:58] sell短期的深度价外扣合约
[43:00] 去赚取一些权利金吗
[43:02] 那或是对这样的cover code策略
[43:04] 有什么心得跟建议呢
[43:05] 望主委开示
[43:06] 那最后祝主委一家人都能够平安健康爱你
[43:09] 我在2022的时候就sell很多这样子的cover code
[43:12] 自己去做long show之外
[43:13] 然后也去卖了很多扣
[43:14] 那只是
[43:14] 我会觉得说
[43:16] 这个在多头行情
[43:17] 特别是
[43:18] 随时有东西会喷起来的时候
[43:19] 你这样不要去卖
[43:20] 因为你会抽机
[43:21] 不只要18名
[43:22] 赚到一点点全利金
[43:23] 然后你股票
[43:23] 直接给人家抠走
[43:24] 这个就会比较亏一点
[43:26] 但如果说
[43:27] 你知道这个股票
[43:27] 就是常年在盘整的话
[43:29] 或许你可以去卖看看
[43:30] 可是如果它波动不大
[43:31] 卖的价格也不会太好
[43:32] 那所以简单讲
[43:33] 就是说可能在之前
[43:34] 对我来说
[43:34] 这是一个值得做
[43:36] 有CP值的事情
[43:37] 那只是现在对我来讲
[43:38] 是我完全不会想要去
[43:39] 做这样子的事情
[43:40] 给你参考一下
[43:40] 那下面一位
[43:42] 开屏需要开屏器
[43:43] 升职需要升职器
[43:44] 我亲爱的老公您好
[43:46] 我是一位就读台中大学的大学生
[43:48] 那我从高中就开始听您的节目
[43:50] 谢谢您陪我一整个大学的时光
[43:52] 我预计在今年的六月毕业
[43:53] 小弟有幸被选为毕业智词代表
[43:56] 我希望在智词的时候
[43:57] 可以引用您说过的话
[43:58] 不知道合不合适
[43:59] 如果要送年轻人三句话
[44:01] 你会说什么
[44:02] 您的毕业典礼有邀请谁参加
[44:05] 我可以在上面讲
[44:06] 秋狗干你娘吗
[44:07] 祝您全家身体健康爱您
[44:09] 不是啊
[44:10] 你在讲什么吗
[44:11] 干我屁事啊
[44:12] 然后再讲说
[44:12] 我毕业典礼有邀谁
[44:14] 已经没有什么印象
[44:15] 小时候的话
[44:16] 我爸妈应该有去
[44:16] 可是长大之后
[44:17] 我就没有什么印象
[44:19] 应该就是可能
[44:20] 那时候的女朋友之类的吧
[44:21] 那再讲说
[44:22] 要送年轻人三句话
[44:23] 要讲什么
[44:24] 我跟你讲
[44:25] 要送年轻人送钱
[44:26] 一堆长辈就是
[44:27] 整天我送你三句话
[44:28] 我们不需要花
[44:29] 我们需要钱
[44:29] 你就跟那些长辈讲说
[44:31] 要送三句话之间
[44:31] 你先送我钱
[44:32] 不要喇叭一大堆
[44:33] 哈拉一大堆
[44:34] 一毛拿不出来
[44:35] 下面一位
[44:35] 喂 梦公主
[44:36] 选我选我
[44:37] 留言真的好难
[44:38] 流道妈妈都已经
[44:40] 跟观音菩萨游玩了
[44:41] 那希望这次可以成功
[44:43] 请观音大大
[44:44] 带着我的母亲
[44:45] 开心的到处行善玩乐
[44:47] 那生病的时间
[44:48] 您辛苦了
[44:49] 现在你都好了
[44:50] 你会一直住在我们的心里
[44:52] 但整理你的东西
[44:53] 还是会流泪
[44:54] 希望大家都健康
[44:55] 平安幸福
[44:56] 好 我们希望你的母亲
[44:58] 可以跟观音菩萨开心玩
[45:00] 下面一位
[45:01] 纯水英子
[45:03] 嗨 孟公大哥您好
[45:04] 上次节目说的戒烟的事
[45:06] 我一直觉得你真的很屌
[45:07] 可以说戒就戒
[45:08] 戒烟真的是超难
[45:09] 环境也是一个问题
[45:10] 妈的我到现在都还是戒不掉
[45:12] 但是您太猛
[45:13] 以前都抽那么重
[45:14] 我现在是改到抽最淡
[45:16] 但还是戒不了
[45:17] 还有我最喜欢EP19
[45:20] 心情不好都会去停战
[45:21] 祝全家大小平安健康
[45:24] 爱您好爱您妙
[45:24] 其实我戒烟也是戒了好几次
[45:26] 我从头到尾都没想说我戒烟很简单
[45:27] 我戒烟是戒了好几次好不好
[45:29] 戒烟甚至已经变成是
[45:31] 我的某一种那种定期的运动一样了
[45:33] 那只是后来一段时间就
[45:35] 莫名其妙的就戒掉了
[45:36] 然后那段时间我记得
[45:37] 我还有去健康检查
[45:39] 就有去稍微的照一下肺
[45:40] 为什么
[45:41] 因为那时候有听到一个说法
[45:43] 就是说很多这个肺癌患者
[45:45] 抽烟的患者
[45:46] 那他们在知道自己中肺癌之前呢
[45:49] 其实都是刚好在戒烟的那个阶段
[45:51] 那时候看了一个访问
[45:52] 还什么提到这个
[45:53] 就是说那是身体告诉你说
[45:54] 你不能够再抽了这样
[45:56] 所以那时候我超紧张
[45:57] 跑去做检查
[45:58] 然后就真的有照到说
[45:59] 什么废油一些东西
[46:00] 然后后面是没事
[46:01] 所以我觉得戒烟本身不容易
[46:04] 那时候后来是有
[46:05] 掌握到一些诀窍
[46:07] 就是一开始可能你说戒烟
[46:09] 但是你是恶戏
[46:10] 就是你马上又再拿起来抽
[46:12] 那后来你真的可以戒一段时间
[46:13] 我觉得环境真的超级重要
[46:14] 所以你要离开那些
[46:15] 你过往会想要去抽烟的一些环境
[46:18] 只是在上集跟大家分享
[46:19] 这个呼吸法之后
[46:20] 是有一些朋友有讲说
[46:22] 他们就是靠这个方法去戒烟的
[46:23] 就真的是到外面去省呼吸
[46:25] 所以或许你可以试看看
[46:26] 那希望你顺利
[46:27] 下面一位
[46:27] BBBBB
[46:29] 安梦宫上集说
[46:31] 回档杠杠叫
[46:32] 现在创新高那个股票
[46:33] 是不是6XX5
[46:34] 你有check到他的订单
[46:36] 光是一加拉的量
[46:37] 那个金额就占比他市值的一半吗
[46:39] 没错
[46:40] 6285起机确实是在他的
[46:43] 大客户SpaceX的Sarling
[46:45] 这边拿到了很多订单
[46:46] 那数字确实是差不多落在
[46:48] 你讲的这个位置
[46:49] 而且是用现在的市值去算
[46:51] 也差不多是这样
[46:51] 那但是呢
[46:52] 这个兄弟看起来是很高兴的
[46:54] 跑来说他获得一个东西
[46:56] 但你去回听我们一月的节目吧
[46:57] 这个已经讲到烂掉
[46:59] 我可能不一定有直接跟你讲详细数字
[47:00] 但那时候是
[47:01] 也算是我们发现趋势就跟大家讲
[47:03] 我们发现说
[47:04] MACO你做一堆卫星板
[47:06] 怎么不用涨
[47:06] 结果后来MACO直接快速的翻倍
[47:08] 那其实也是发现说
[47:09] 大家只知道Router
[47:10] 大家不知道上面的PCBA
[47:12] 其实那时候就已经知道说
[47:14] 大概产值是多少
[47:15] 所以还是要强调一下
[47:16] 就是我们不去针对股价做评论
[47:18] 因为这些东西全部都已经是涨到翻掉了
[47:20] 我们确实是在产业的第一线就有发现
[47:24] 然后并且跟大家分享
[47:25] 只是后来就是很多人在拉起来之后的回答
[47:27] 一直问我
[47:28] 然后我就觉得很烦躁
[47:29] 其实不是只有这一档
[47:30] 就一大堆股票都是这样子
[47:32] 或像是设备股
[47:33] 其实家里也是蛮多人喜欢tag我
[47:34] 问我说设备股怎样
[47:35] 然后之后碰上去这些人又不见
[47:37] 因为其实对我们来讲
[47:38] 我们会知道说这个股价的涨跌
[47:40] 有时候不一定是百分之百联动到基本面
[47:43] 有时候可能只是资金没有在这里之类的
[47:45] 所以他有时候会出现一些盘整或怎么样
[47:46] 所以我们无法去针对每日的涨跌去做解释
[47:49] 再来是要大家要有一些button line要知道的事情
[47:51] 但总之就是说
[47:53] 这个趋势是有掌握到
[47:54] 那同时也是有做了
[47:56] 那现在我可能有持股
[47:57] 也可能没有持股
[47:58] 所以我们不去针对这个股价
[47:59] 做太多的评论
[48:00] 但你讲的东西为真
[48:02] 那当然他还是有可能
[48:03] 有一些潜在的隐忧
[48:05] 就像说现在全世界的厂商
[48:06] 都面临同样的问题
[48:07] 记忆体如果拿不到的话
[48:08] 或者说一些关键元件拿不到的话
[48:10] 他没有办法出货
[48:11] 所以有机会会有一些
[48:12] 递盐的状况产生
[48:13] 可是该有的订单
[48:14] 就是应该都是会有
[48:15] 那只是你用应收看
[48:16] 很恐怖没错
[48:17] 可是你用EPS看就还OK
[48:20] 因为它其实基本上这个业务
[48:21] 算是它公司的毛利的均值
[48:24] 稍微再高一点点
[48:25] 就我理解是这样子的一个情形
[48:27] 所以有点类似说像鸿海跟广达
[48:29] 如果你今天用它的GPE
[48:31] 或者说VR的营收去看
[48:32] 都非常的恐怖
[48:33] 可是如果你今天换算成为EPS的话
[48:34] 那就会收敛回来
[48:36] 所以我不知道
[48:37] 其他市场是不是在玩这个故事
[48:38] 因为这家公司
[48:39] 它其实除了卫星的故事之外
[48:42] 它还有像是LCOS
[48:43] L-COST的光交换器的相关的故事
[48:47] 只是它没有这么快贡献
[48:48] 其实很多时候你不知道
[48:48] 市场到底是它喜欢的东西什么
[48:50] 但我们可以针对我们知道的
[48:51] 简单跟你们分享
[48:51] 其实这个真的算是老梗
[48:53] 就你瞎很高兴的跑来跟我说
[48:55] 你有没有check到这个
[48:56] 我们在一月底的时候
[48:57] 就跟大家讲这件事情
[48:58] 所以大概是这样
[48:59] 那接下来
[49:00] 波波爱上孟公
[49:02] 嗨孟公
[49:02] 前阵子陈宁金口业绩表现得非常顺利
[49:06] 也捐出说好的一个月月薪做公益
[49:08] 上网研究了好几间
[49:09] 觉得认真也需要大家支持的公益团体
[49:11] 分别捐了四间
[49:12] 那也上家福基金会定期定额
[49:14] 认养了一个小孩
[49:15] 其实觉得为善不欲人知
[49:16] 但希望抛砖引玉
[49:17] 让这个大方运动发光发热
[49:19] 让整个社会更有爱
[49:21] 谢谢孟公爱你
[49:22] 其实我是管不到
[49:23] 整个社会到底是怎样
[49:24] 我并不是那一种什么
[49:25] 吉愿他利
[49:25] 然后或者是
[49:26] 这个社会可以怎么样
[49:28] 讲一堆那种空话的
[49:29] 对我来讲就是
[49:29] 我们自己能够做的
[49:30] 我们就这样做
[49:31] 你这些听众
[49:32] 因为你们跑来我的场子
[49:33] 然后去一堆许愿
[49:35] 然后又许得很小气
[49:36] 我看来就不爽
[49:37] 就嘴一下
[49:37] 特别是你知道
[49:38] 其实我已经扛了很多压力
[49:39] 因为很多听众都在讲说
[49:40] 可以以后不要念那些生日的吗
[49:42] 不要念那些许愿的
[49:42] 干我屁事
[49:43] 你知道我现在是这样想
[49:44] 我是还蛮喜欢的
[49:45] 但我一直说
[49:45] 好吧那既然都是一个
[49:47] 大家的环境
[49:48] 那你们要许愿的
[49:48] 你们就大方一点
[49:49] 那或许可能某个程度上
[49:51] 推动了一个
[49:52] 所谓的好的社会风气
[49:53] 那也不是我的本意
[49:54] 但反正就是大家
[49:55] 开心就好健康就好
[49:56] 那再见拜拜
