[00:00] 歡迎收聽谷愛,我是聖夢宮,本期節目由NordVPN贊助
[37:34] 簡簡瓦嘎奈
[37:35] 叫天天不應
[37:37] 叫哥哥不靈
[37:38] 五星好評推特員孟公你好
[37:40] 之前看到財經網紅提到了麻將理論
[37:42] 讓我想到要推一部動漫
[37:44] 動牌給大家
[37:45] 即便我不懂麻將
[37:46] 但還是看得懂在動漫中
[37:47] 大家除了想拿到自己要的牌
[37:49] 還要思考其他人想要什麼牌
[37:51] 如果覺得這把必輸了
[37:53] 也要思考如何才能夠輸最少錢
[37:55] 這跟好幾集前說到的做臺股
[37:57] 有時候要一些心機
[37:59] 有異曲同工之妙
[38:01] 那另外想請教孟公
[38:02] 如果未來有廠商真的推出
[38:03] 性愛機器人和機器人啪啪啪
[38:05] 能夠算是在經驗人數里面嗎
[38:07] 感謝開示愛您
[38:09] 我覺得那不算
[38:10] 就我們之前有聊過
[38:11] 在Cyberpunk的世界裡面
[38:12] 特別是在那個
[38:14] 那什麼
[38:14] Lucy那一部
[38:15] 忘記叫什麼名字
[38:16] 反正就演出來
[38:17] 就未來有些人
[38:18] 怎麼講
[38:19] 如果是在社會相對底層一點的
[38:21] 你可能就沒有求偶的能力
[38:23] 你只能夠看VR打手槍之類
[38:25] 或是你就跟那種機器人
[38:26] 就是如果是有能力的
[38:27] 你還是要看真人醫師
[38:29] 如果是有能力的
[38:29] 你還是想要接觸真人就至少那個Cyberpunk相關的一些影集或是漫畫是這樣演給你看的那我也是相信就是應該不會有人把這個當成是什麼幾人斬的一個依據然後再來講說就是他上面講
[38:43] 什麼麻將相關的東西
[38:44] 是不是要思考
[38:45] 別人要怎麼排
[38:45] 沒錯
[38:46] 就很多時候
[38:46] 我們都會做這樣的一個猜想
[38:48] 特別是跟朋友討論到
[38:49] 後來有時候
[38:50] 會有點偏向玄學
[38:51] 就當你把基本面
[38:52] 都解完之後
[38:53] 那你要思考的是
[38:54] 下這個基本面
[38:55] 是不是已反映的
[38:55] 那如果說
[38:57] 你知道它是還沒有反映
[38:58] 因為股價過去是盤整
[38:59] 那你也要思考的是
[39:01] 如果我買出來
[39:02] 然後它突破之後
[39:03] 那接著人家看到突破
[39:04] 去看新聞
[39:05] 看到我們所知道的這些資訊
[39:07] 他會不會想要繼續追著買
[39:09] 如果不會的話
[39:10] 那你買那麼多什麼
[39:10] 因為你最終都是要丟給別人
[39:12] 所以就會去思考一下這一塊
[39:14] 然後再來講說
[39:15] 逃跑的時候也會
[39:16] 覺得說像你今天
[39:17] 可能是部位比較大的
[39:18] 你逃跑
[39:19] 你是有機會會殺到自己的
[39:20] 那請問一下
[39:21] 你到底該怎麼樣逃跑
[39:22] 所以其實有一些調整的方式
[39:24] 就像有些人會用匯博
[39:25] 就是我A券商買
[39:27] 然後我全部弄BCD去出
[39:28] 就騙大家說我還在
[39:29] 這些人會這樣做
[39:30] 然後或者像我自己
[39:31] 蠻喜歡的一招
[39:32] 就是去不影響市場的狀況之下
[39:34] 我去設自動下單
[39:35] 就是我可能不知道
[39:36] 每20秒丟一張
[39:38] 就丟罵兩個小時之類的
[39:40] 那這樣子大家就看不出來
[39:41] 說我大戶要出貨
[39:41] 可是後來你盤後也看出
[39:42] 這個人既然都跑光了
[39:44] 然後可是當下是看不出來
[39:45] 這個人有在離場之類
[39:46] 所以確實是有蠻多這些細節
[39:48] 但我覺得這個可能
[39:50] 就你時候到你就會
[39:51] 就你問可能不知道
[39:52] 就數年前的我
[39:53] 未來知道自己會這個招數
[39:55] 我也不知道
[39:55] 就是很多時候是你遇到之後
[39:57] 所以我才推薦大家說
[39:58] 你真的都先去做
[39:59] 你不要問一堆問題
[39:59] 因為先去做
[40:01] 有時候這樣
[40:01] 就是你去問一堆
[40:02] 但那些東西不一定是你用得到
[40:04] 但是你自己去做
[40:05] 然後你哪裡卡住了
[40:06] 你知道哪裡是瓶頸
[40:06] 立刻去修整
[40:07] 那些全部都是你會用到的
[40:09] 所以其實有蠻多東西
[40:09] 是後來後天學會的
[40:11] 就你遇到之後
[40:12] 你就要去解決它
[40:12] 當你發現說
[40:13] 媽的每次出貨會卡住
[40:14] 或是當你發現說
[40:15] 媽的每次去買進
[40:16] 然後被人家騙炮
[40:17] 你就會去找出一些方案
[40:19] 去解決這個
[40:19] 然後這個解方
[40:20] 其實有時候只是用你
[40:21] 就是別人要用
[40:22] 他不一定用的順
[40:23] 大概這樣
[40:24] 下面一位
[40:24] 謝謝孟公大大
[40:29] 孟公大大你好
[40:30] 我是從2020開始聽股癌
[40:31] 那年也是我的股票投資元年
[40:32] 我去開戶開始買6208
[40:34] 因為不想要每天看盤
[40:36] 被數字跳動影響
[40:37] 所以ETF為主
[40:38] 五年多過去了
[40:39] 剛看獲利率加168%
[40:41] 真的很感謝孟公大大
[40:42] 不藏私的分享
[40:43] 也謝謝當年的我
[40:44] 有實際行動去開戶
[40:45] 祝福孟公一家人
[40:46] 健康平安
[40:47] 事事順心
[40:48] 也期許自己可以成為更有能力
[40:50] 回饋社會的人
[40:51] 愛寧喲
[40:51] 希望你在未來的投資也順利
[40:54] 確實我還是推薦
[40:55] 所有的人在入場的時候
[40:57] 都是以植株的ETF為主
[40:59] 因為它可以讓你比較好的去了解市場
[41:02] 然後跟著市場的脈動
[41:03] 去感受一下每次
[41:04] 不管是什麼大漲
[41:05] 或是崩盤的一些情緒的變化
[41:07] 再來它也是相對穩健的一種標的
[41:09] 因為如果裡面的東西不好
[41:10] 就會被太掉
[41:11] 如果說今天漲到市值夠
[41:13] 它也會被加進來
[41:14] 所以你永遠都拿著
[41:15] 可能市場上最hito的標的
[41:17] 用那種老人的說法
[41:18] 最hito的東西都在我的組合裡面
[41:20] 所以它是一個很好入場的工具
[41:23] 即便是到後期
[41:24] 還是很多人會持有這樣子的工具
[41:25] 包含像我自己也是
[41:26] ok下面一位
[41:27] 天天qoo
[41:28] qoo
[41:30] 有種果汁真好喝
[41:32] hello袁小姐快樂
[41:33] 五星推推
[41:34] 想來問問技能數分叉很多的孟公
[41:36] 對於政府標案有沒有了解過
[41:38] 那同事跟我分享
[41:39] 他看到一堆公部門的工程標案
[41:41] 看起來也都蠻有利潤的
[41:43] 但我覺得可能水很深
[41:44] 我們太嫩不要碰太多字了
[41:46] 謝謝大大
[41:47] 其實這樣子
[41:48] 就是怎麼說
[41:49] 我的技能數點的廣
[41:51] 並不是說什麼
[41:51] 我真的是什麼都會
[41:53] 而是我就是一個好奇的心態
[41:54] 所以像以前就曾經被
[41:56] 我們一起練團的朋友講過
[41:57] 你幹嘛不要專心練一個樂器就好
[41:59] 我就不想
[41:59] 我想要每個東西都玩看看
[42:01] 就是我來講說
[42:01] 玩看看是很重要的事情
[42:02] 所以我可能每個東西略懂一點
[42:04] 比較偏向那種通才型的
[42:05] 可是你說有沒有點到那種
[42:07] 可能七八十分以上不一定
[42:08] 真的不一定
[42:09] 可能是股票錄節目
[42:10] 可以點的比較高一點
[42:11] 可是其他
[42:11] 我只是稍微的瞭解一下
[42:13] 那你問我標案
[42:14] 我一定是不懂標案的
[42:15] 只是很多時候
[42:17] 我都還是用一個比較簡單的
[42:19] 怎麼講
[42:19] 就思考框架跟大家分享
[42:21] 你行你上
[42:22] 當你覺得說
[42:22] 那個地方都是暴利
[42:23] 那個地方超好賺
[42:25] 怎麼一堆慣老闆
[42:26] 怎麼利潤怎麼樣
[42:27] 你去
[42:28] 因為基本上我們這邊
[42:29] 不是一個管制的經濟
[42:30] 絕大多數的東西
[42:31] 除了部分那種特許行業之外
[42:33] 你都是可以去的
[42:34] 你真的覺得這很好賺
[42:35] 你去開看看
[42:35] 很多時候你去開的時候
[42:36] 你就發現說
[42:37] 跟你想的不一樣
[42:38] 就像你剛才講說
[42:39] 什麼政府的標案
[42:39] 感覺是很有利潤
[42:40] 為什麼沒有一堆人去搶
[42:43] 你就去思考這件事情
[42:44] 或者說
[42:44] 為什麼每次得標
[42:45] 都是固定那些人
[42:46] 當然得標的人有可能
[42:48] 他有各式各樣的age
[42:49] 這個age可能是說
[42:50] 我的工程技術真的比別人好
[42:52] 或者說
[42:53] 我就是有辦法把標籤
[42:54] 壓到比較低的一個狀況
[42:55] 或者說
[42:56] 我真的就認識一些人
[42:57] 都是有可能的
[42:58] 那隻能夠說
[42:59] 很多時候你去看別人的行業的時候
[43:00] 你都會覺得說
[43:01] 別人那個那麼簡單
[43:02] 但你自己下去做
[43:03] 你就發現說不簡單
[43:04] 下面一位
[43:05] 他說那是B
[43:06] 生日快樂
[43:08] 感謝大家一直以來提供優質節目
[43:09] 可以幫我用川普的聲音祝
[43:11] Chester
[43:12] Happy Birthday
[43:13] 那祝各位聽眾
[43:15] 氣笑大爆子
[43:16] OK
[43:16] 那下面一位
[43:16] Jack Help Me
[43:18] YT搜尋超負荷的骨癌
[43:20] 可以看到夢幻聯動
[43:21] 欸 孟公孟公你好
[43:22] 最近晚上時間一到
[43:24] 就開啟美股
[43:25] 看了兩分鐘之後
[43:25] 就關掉
[43:26] 繼續看超負荷的精華
[43:27] 那請幫我用
[43:28] 超負荷的聲音
[43:29] 怪我不會
[43:30] 2017年的版本說
[43:31] 現在是誰被美股幹啊
[43:34] 哈
[43:34] 那另外年高的臺股
[43:35] 怎麼說
[43:36] 尼哥
[43:37] 他講的
[43:39] 幹嘛你發瘋啦
[43:41] 嚴厲斥責
[43:41] 祝何家身體健康
[43:43] 那個我好像有看過
[43:43] 因為之前有人在Tag
[43:44] 給我丟給我看
[43:45] 這是一個
[43:46] 看起來是在電腦前面
[43:48] 或雅霄那一種
[43:49] 就以前的國動那種味道
[43:50] 下面有位
[43:50] 古埃派來的
[43:52] Spotify低能兒一堆
[43:53] 孟公安
[43:54] 可惜這次沒有更新食譜
[43:56] 前一兩年過得太順
[43:57] 更有順心
[43:58] 還生了女兒
[43:58] 最近兼職的公司倒了
[44:00] 每個月收入瞬間少三萬
[44:02] 不嬉戲了
[44:02] 其實每當遇到一些困境
[44:04] 心裡都已經有答案
[44:05] 上來留言只是討拍
[44:06] 或是尋求認同
[44:07] 但心裡也會很興奮
[44:08] 硬剛過去
[44:09] 又是可以變強的時候
[44:11] 不知道有沒有人
[44:11] 有一樣的一個想法
[44:12] 這個我覺得
[44:13] 要有一個經驗的堆疊
[44:14] 特別是當你過去
[44:16] 遇到蠻多不順的事情
[44:17] 然後你現在回頭看
[44:18] 就會發現說
[44:18] 那些不順的事情
[44:19] 都變成了你的養分
[44:21] 就是如果你沒有遇到
[44:22] 那些事情
[44:22] 搞不好你就不會
[44:23] 娶到現在的老婆
[44:24] 你就不會有現在的創業
[44:25] 你就不會有現在的資產
[44:26] 或者blah blah
[44:27] 所以當你經歷過越多事情
[44:29] 其實你會對於
[44:29] 生命中的一些變局
[44:31] 特別是有時候
[44:32] 即便是把你打倒在地上
[44:33] 你都會有點變態的微笑說
[44:35] OK那這次回頭看
[44:36] 我一定會發現我變得更屌
[44:38] 我也會有一點這樣的感受
[44:39] 只是還是難免在當下
[44:41] 會心情受到一些影響
[44:42] 只是後來發現說
[44:43] 那個調整的時間是越來越短
[44:45] 就是比較不會那種自憐自艾
[44:47] 世界要害我
[44:49] 那個主力要割我
[44:50] 全部都怪別人
[44:51] 其實就會開始去思考說
[44:52] 有沒有辦法去透過每次的逆境
[44:54] 讓自己變得更猛
[44:55] 下面一位卡麗南坡萬
[44:57] 卡麗南坡萬
[44:58] 孟公您好
[44:59] 我跟我太太卡麗
[45:00] 都是您的忠實聽眾
[45:01] 感謝你每週分享有趣的生活體驗
[45:03] 跟實用的投資資訊跟投資的觀念
[45:05] 也很佩服您回覆聽眾的問題
[45:07] 獨特見解
[45:08] 2月8號是我太太卡麗的生日
[45:09] 雖然生日已經過了
[45:10] 還是希望可以在2月的最後一天
[45:11] 能夠被孟公大用迷人的嗓音
[45:13] 祝她生日快樂
[45:13] 那恭喜我們的好朋友Chris
[45:15] 加入捏軟聯盟
[45:17] 昆昆能夠平安順產
[45:18] 那並祝福孟公一家
[45:19] 以及所有聽眾身體健康
[45:21] 平安喜樂
[45:22] 那我們祝卡麗生日快樂
[45:23] 非常感謝你們夫妻的支援
[45:25] 下面為三重九足
[45:26] 你看那個大悠悠
[45:28] 阿夢六星推推
[45:29] 我又來了三重家九族
[45:31] 好險你不是住在後裡
[45:33] 因為就變后里系是嗎
[45:35] 那對了
[45:35] 我女友之前問我
[45:37] 為什麼這麼愛看
[45:38] 轉生異世界題材的動漫
[45:39] 我跟她說
[45:40] 因為可以暫時逃離工作
[45:41] 很舒壓
[45:42] 但其實因為女角
[45:43] 常常都有大悠悠
[45:44] 那最近在看的
[45:45] 東島單三郎
[45:47] 想成為假面騎士
[45:48] 角色記憶也有大悠悠
[45:50] 推薦阿夢看一下
[45:51] 馬上截圖
[45:52] 那另外
[45:52] 女友在碎上面看到
[45:55] 說很多金融男都愛上酒店嫖妓
[45:58] 這真的嗎猛公
[45:59] 還好我是動漫金融仔
[46:01] 他沒有說錯
[46:03] 他沒有說錯
[46:03] 就是蠻多金融人
[46:05] 他們都喜歡上酒店
[46:06] 我們之間的同業很多這樣子的人
[46:09] 所以我以前都傻傻的
[46:10] 我就笨
[46:11] 我就會跟我老婆講說
[46:13] 當然我不會真的去賣我一些朋友
[46:15] 但我就會給她看說一些限動
[46:17] 你看他們整天開香檳
[46:19] 香檳girl
[46:19] 或者說又去哪裡玩
[46:21] 哪裡party
[46:21] 然後在開什麼酒
[46:23] 我都跟她說你看我都在家
[46:24] 我都沒有跟這些人混在一起
[46:26] 我是一個相對好的爸爸
[46:27] 因為我老婆很多時候都講說
[46:28] 感覺在家裡都沒有在做事情
[46:31] 換一換去
[46:31] 我說難道你要我出去
[46:32] 跟他們一樣這樣嗎
[46:33] 那我以為講了會獲得一些好評
[46:35] 就不是
[46:35] 他說你知道物以類聚
[46:36] 就你跟這些人在一起久了
[46:38] 其實你會變成那樣子的人
[46:39] 所以他很多時候他都會管制說
[46:40] 我到底要跟誰出去
[46:41] 或是我要去哪裡
[46:43] 要幹嘛要多久
[46:44] 他都會問到很細
[46:45] 就是因為他覺得我身邊的
[46:46] 所謂的壞影響很多
[46:48] 但我覺得這點不壞
[46:49] 他們可能就是
[46:50] 你知道就好女色
[46:52] 如果說你是單身
[46:53] 你好女色
[46:54] 至於有一些老婆在好女色的話
[46:56] 我就覺得
[46:57] 可能就不是什麼太好的事情
[46:58] 但確實他沒有講錯
[47:00] 我覺得金融圈喜歡上酒店是真的
[47:02] 嫖妓的話我不太確定
[47:03] 但很喜歡上酒店是真的
[47:05] 那大家都知道
[47:06] 這已經是一個公開的
[47:08] 也不能說秘密
[47:09] 就是公開的事情
[47:10] 每個人真的都知道
[47:10] 下面一位
[47:11] 馬家家
[47:12] 超爽得
[47:13] 撿到100塊
[47:14] 感謝夢宮優質節目
[47:16] 小弟最近迷上了明朝
[47:18] 那就去研究一下這類遊戲
[47:19] 掛二次元的手遊
[47:20] 其實臺灣也有具備開發的條件
[47:22] 但近年幾乎都沒有成功的案例
[47:23] 和AI討論一下
[47:24] 他的結論是
[47:25] 沒有願意砸錢扛風險的老闆
[47:27] 想請問謝董
[47:28] 對於臺灣發展服務型二次元手遊的看法
[47:30] 謝謝
[47:31] 祝全家平安順心
[47:32] 兄弟你就立刻去開發
[47:34] 然後接著你來跟我們
[47:35] 肖南或是烏山Pitch
[47:36] 如果有機會的話
[47:37] 我們會非常願意投資你
[47:38] 我們目前看下來
[47:40] 我們是沒有去物色到太多手遊的案子
[47:43] 有注意到一些
[47:44] 可是目前還沒有出手
[47:46] 確實都還是鎖定在PC Steam上面的一些遊戲為主
[47:50] 或是一些那種獨立平臺
[47:52] 目前我們看到的東西是這樣子
[47:53] 當然如果有人有一個
[47:55] 這個開發的夢想
[47:56] 然後真的有做出一些prototype
[47:57] 歡迎來找我們
[47:58] 下面一位
[47:59] 佐藤健好帥
[48:00] 孟公您好
[48:01] 我先生是您的大粉絲
[48:03] 我們都在車上收聽您的節目
[48:04] 常常在我聽得很專注的時候
[48:06] 他會突然間在旁邊鬼叫
[48:08] 被嚇得一跳的
[48:09] 我不免會瞪著他罵幾句
[48:11] 這時候他就會拿出
[48:12] 您來當擋箭盤
[48:13] 說孟公也常常亂叫
[48:14] 希望孟公可以規勸他
[48:16] 不要常常鬼叫嚇人
[48:17] 那一起孟公用猛男拉鍊
[48:19] 夾到G的聲音
[48:21] 祝我先生
[48:21] 佐藤東瓜
[48:23] 生日快樂
[48:24] 手上持股漲不停
[48:25] 但是要懂得賣哦
[48:26] 不要抱過一座又一座的山
[48:28] 不一定啊
[48:30] 有些東西是這樣子
[48:30] 就是說
[48:31] 怎麼講
[48:31] 一座又一座的山
[48:33] 然後風風相連到天邊
[48:34] 最後面媽呀
[48:35] 超級遠的
[48:36] 很難講
[48:36] 就是長期自由
[48:37] 跟短線的思維
[48:38] 是不太一樣
[48:39] 那像我自己
[48:40] 也是慢慢的
[48:41] 在往更長線的方向去走
[48:42] 然後再講說
[48:43] 這個亂叫的部分
[48:44] 那是早期的我啦
[48:45] 其實後來
[48:45] 我就比較少亂叫
[48:46] 那我的關鍵的一個節點
[48:48] 就是有一次在好市多
[48:49] 這個故事應該講過很多次
[48:51] 但新聽眾可能不知道
[48:52] 反正我就是會在路上突然
[48:53] 就突然間就這樣大叫了
[48:55] 我也不知道為什麼會這樣
[48:56] 我老婆說可能是不知道
[48:57] 某種新的陀螺一世之類的
[48:59] 反正就突然tick了一下
[49:00] 就會大叫
[49:01] 那之後還有一支好事說大叫
[49:03] 然後就立刻有聽眾上來講說
[49:04] 可以跟你拍照嗎
[49:05] 所以我就覺得說
[49:06] 不知道大叫本來是我的一種習慣
[49:08] 跟抒壓
[49:09] 然後現在已經變成是
[49:10] 有些人可能以為說
[49:11] 怎樣你要故意大叫
[49:12] 吸引人家注意力來跟你拍照嗎
[49:14] 所以後來我就
[49:14] 把這個習慣改掉
[49:16] 有時候還會突然間抽一下
[49:17] 就想要叫
[49:18] 可是就會忍住
[49:19] 下面一位
[49:20] Ming Wai
[49:21] 林口最帥二寶爸
[49:23] 夢工大大
[49:24] 嗨夢工大大
[49:24] 我是最近半年
[49:25] 開始聽節目的氣氛仔
[49:26] 最近這集聽到
[49:27] 在聊太陽能跟電網的建制
[49:29] 大陸廠商從太陽能到
[49:30] 除能佔據全球市場的大頭
[49:32] 不過蠻好奇
[49:33] 臺達在整套的電源供應
[49:34] 都有相關的方案
[49:35] 但市場上好像
[49:36] 只關注它的電源供應
[49:37] 會不會可能臺達帶領一波
[49:39] 臺股太陽能供應鏈
[49:40] 去搶市場
[49:41] 很好奇夢工的看法
[49:42] 希望有機會可以聽到你分享
[49:43] 謝謝
[49:44] 那祝福大家一家平安健康
[49:46] 諾亞安哥平安開心長大
[49:48] 泰達電
[49:49] 就是我們的老聽眾
[49:50] 應該知道
[49:50] 是一個我非常喜歡的公司
[49:52] 它真的是什麼小都會做
[49:53] 不管是什麼
[49:54] 散熱相關的solution
[49:55] power
[49:56] 或是你講太陽能
[49:57] AI server什麼都有
[49:58] 只是它的狀態
[50:00] 也不是說問題
[50:01] 就它的狀態
[50:01] 其實跟NVIDIA有點像
[50:03] 就NVIDIA
[50:03] 我們過去好像去討論
[50:04] 什麼它的什麼
[50:05] 汽車相關
[50:06] 電玩相關
[50:07] 就是說在整個營收站裡面
[50:08] 都被Data Center
[50:09] 碾壓過去
[50:10] 所以其實
[50:11] 你就算那些有契機
[50:12] 你很難帶領大家向前衝
[50:14] 因為大家只看你電壓Center
[50:16] 你的估值也是電壓Center給出來
[50:18] 所以Delta的案例其實也類似
[50:19] 就是這家公司大家關注的都是
[50:21] 你的Sidecar的狀況怎麼樣
[50:23] 你散熱的狀況
[50:23] 或者說你的PowerRack的狀況怎麼樣
[50:25] 所以就算它有一些東西
[50:27] 你知道它多才多藝
[50:28] 它也會做像那種居家的
[50:30] 電動車的那種充電樁的Full Solution
[50:33] 它可以幫你做到
[50:34] 只是這個東西
[50:36] 你說它有電動車體材
[50:37] 你說市場會不會去炒它電動車體材
[50:38] 我不認為
[50:39] 因為就是就算有起量
[50:41] 那個佔比也是不大
[50:41] 那一樣的道理
[50:42] 太陽能也不是一個很核心的東西
[50:44] 所以營收佔比這件事情
[50:46] 是我們很常在看題材的時候
[50:47] 會去強調的一個重點
[50:49] 就是說你要營收佔比夠高
[50:50] 或者說即便它可能佔比不高
[50:52] 它現在可能只有5%
[50:53] 可是它在三年內會變成30%
[50:55] OK那這個東西就可以看
[50:56] 所以如果營收佔比
[50:57] 沒有辦法在短期內拉上來
[50:59] 或是在現階段
[51:00] 它並不是佔比很高的東西
[51:01] 我們不會把它視為是
[51:03] 有機會被這個題材輪動
[51:04] 給帶上去的東西
[51:05] 所以其實有時候
[51:06] 你會注意到一個有趣的現象
[51:07] 就是一個股票漲上去
[51:08] 各自表述
[51:09] 像你現在就認為說
[51:10] 有沒有可能是因為太陽能
[51:11] 所以它有這一波漲幅
[51:13] 但在我的角度
[51:14] 我也覺得說
[51:14] 這波絕對不是在漲那個
[51:15] 絕對是在漲
[51:16] 可能AI Server Related的一個故事
[51:18] 因為那個東西佔比真的太小
[51:19] 但每個人都會找到自己的故事
[51:21] 去幫這個股票的上漲
[51:22] 或是下跌去找一個說法
[51:24] 大概是這樣
[51:24] 好那再見
