[00:00] 欢迎收听谷爱,我是星梦宫
[40:27] 或甚至是像我的孩子那时候
[40:29] 在他一岁前蛮多状况的时候
[40:31] 就是你知道你不孤单
[40:32] 我觉得这个是蛮重要的
[40:33] 因为现代人的社会
[40:35] 就像说我们有这个节目好了
[40:37] 你说我儿子那样子
[40:39] 我可以跟谁讲
[40:40] 老实讲我没有人可以讲
[40:42] 我真的没有人可以讲
[40:43] 我也没有办法跟我爸妈讲
[40:45] 对
[40:47] 所以就是有一个平台
[40:48] 可以稍微的抒发一下
[40:49] 然后大家也来这边抒发一下
[40:51] 我觉得是蛮好的事情
[40:52] 那我希望你一定会顺利
[40:54] 那也希望这个观音会保佑你
[40:56] 让这个孩子呢
[40:58] 就再一次的回到你们身边
[40:59] 下面一位
[40:59] 青出于蓝更胜于蓝
[41:01] 帅哥相信魏哲嘉
[41:02] 明年换新家
[41:03] 信了
[41:04] 我信了
[41:05] 下面一位
[41:05] Jack Chang
[41:06] 安安孟公我又来晚了
[41:08] 我是上次说会部分参考
[41:10] 你想法的大四生
[41:12] 那次被你念到
[41:13] 刚好是我跟女友交往的第一千天
[41:15] 那同时还第一次被老公念到留言
[41:17] 太幸福了吧
[41:18] 当下直接爽到
[41:20] 发了一个文记录
[41:21] 顺便告白老公
[41:22] 括号我不是gay
[41:23] 那结果因为没有先发
[41:25] 跟女友的一千天纪念文
[41:27] 被女友直接定在墙壁上面下不来
[41:29] 在这边奉劝所有捏软的
[41:30] 跟还没捏软的弟兄们
[41:32] 千万不要跟我一样
[41:33] 这是不好的示范
[41:33] 那小弟也没有练过
[41:35] 虽然过来还是这样
[41:35] 请梦光中诺雅撒娇的声音
[41:37] 跟我的女友说
[41:38] 永永我最爱你了哟
[41:39] 520快乐哟
[41:40] PS现在参考的比较多
[41:42] 但死而算了的心态
[41:43] 可能也学到一些
[41:44] 那不得不说
[41:45] Lisa真会调教爱你
[41:47] 对
[41:48] 其实我觉得那个死了算了的心态
[41:50] 真的是在工作上帮助很多
[41:52] 其实后来把它用
[41:54] 比较文雅的方式说的话
[41:55] 就是破釜沉舟
[41:56] 反正我在很多的一个决定上面
[41:59] 我都用破釜沉舟的心态
[42:00] 那当然这个破釜沉舟
[42:01] 也不是像刚才前面讲的
[42:03] 就是去预知未来或什么的
[42:04] 反正我的想法就是说
[42:05] 我从过去累积到现在
[42:07] 可能30分的东西
[42:08] 那我下一批
[42:10] 我就是愿意用这个30分在下去赌
[42:12] 我不会说什么
[42:12] 30分然后再额外再记20分这样
[42:14] 反正就是我有多少
[42:15] 我就会去赌多少
[42:16] 那我的想法就是说
[42:17] 反正你先退的
[42:19] 你就输了
[42:19] 所以这个跟川普的
[42:20] 有些逻辑蛮像的
[42:22] 就是说反正就是
[42:22] never back off
[42:23] 那一直往前冲
[42:24] 那只是当然
[42:25] 现在会开始有一些
[42:27] second thoughts
[42:28] 有一些想法还不一样
[42:29] 为什么
[42:29] 因为你开始有人要顾
[42:31] 你知道你家绝对不能倒
[42:33] 以前就会觉得说
[42:34] 我倒了又怎么样
[42:34] 我就从头来过
[42:35] 可是我现在倒了
[42:37] 我小孩学费谁要付
[42:38] 或什么的
[42:39] 所以会做一些
[42:40] 更加保守的决定
[42:42] 所以那有时候也是说
[42:43] 看阶段
[42:44] 就以前我确实是很奉行这样的一个做法
[42:47] 那现在呢
[42:48] 也不完全说是因为我老婆调教
[42:49] 是因为你的条件也改变了
[42:51] 所以有些事情你没有办法像那样子做
[42:53] 就有点类似说
[42:54] 不知道你可能18岁的时候
[42:55] 你会试着什么倒过来屌之类
[42:58] 还是说什么嫁起来屌之类
[42:59] 然后你现在你这样子做的话
[43:01] 你可能就腰闪到
[43:02] 你的女伴直接摔在地上
[43:03] 我不知道怎么要举这个例子
[43:05] 但就是您懂我意思吗
[43:06] 有些事情你那时候可以做吗
[43:08] 你现在不能这样做
[43:09] 你会说你在打脸过去的自己吗
[43:11] 没有嘛
[43:12] 条件不一样了
[43:13] 所以对人要为之弹性的来讲
[43:15] 下面一位Eric Lee
[43:16] 想问孟公有没有玻璃心的时刻
[43:18] 有的话要怎么练就被别人骂或大吼的心理冲击
[43:22] 我因为玻璃心人生过得极度不顺
[43:24] 那去心理智商也没有什么用
[43:26] 也想来祈求观音断
[43:27] 愿能够让我成为有自信的人
[43:30] 那也希望我能够快点找到理想的工作
[43:32] 找到工作的话将捐半个月的薪资给台大儿童健康基金会
[43:37] 关号目前手中只有20万
[43:39] 没有办法捐太多
[43:40] 最后祝孟公身边的人
[43:41] 和孟公在乎的人
[43:42] 都能够一生平安顺遂
[43:44] 也谢谢孟公这几年陪伴着大家
[43:46] 其实我一直都是一个
[43:48] 蛮玻璃心的人
[43:49] 随着这几年节目的影响
[43:51] 我觉得我慢慢的
[43:53] 没有这么玻璃心
[43:54] 所以像之前我确实会去看一下
[43:56] 就是有时候你看到自己被骂
[43:58] 那你就会去看说
[43:59] 骂你的人是谁
[44:00] 我就会去帮你找出来
[44:01] 就看说你有多屌
[44:02] 当然我看到后来就会发现说
[44:04] 其实怎么讲
[44:06] 我们是幸运的人
[44:07] 老实说是这样子
[44:08] 我们也不想再去讲刺激别人的话
[44:09] 但是你就去搜出来之后
[44:11] 你就立刻知道说
[44:12] OK为什么有些人
[44:12] 对你会有一些意见
[44:13] 也不是说什么
[44:14] 他们一定是lesser
[44:15] 他们一定是比你不如
[44:16] 或什么
[44:16] 只是就是
[44:17] 不知道大家懂不懂
[44:18] 我想要去表达的意思
[44:19] 反正就是你查完之后
[44:20] 你会释怀
[44:21] 那当然久而久之之后
[44:22] 就知道说
[44:23] 那你不用去对
[44:24] 每个人讲的东西
[44:25] 那么的在意
[44:26] 因为你可能
[44:27] 不会想要变成他
[44:28] 你懂我意思吗
[44:29] 所以我现在想法是这样子
[44:31] 我去听到一个批评
[44:33] 我后来比较有感觉的是
[44:34] 你如果是我想要变成的人
[44:36] 你是我的偶像
[44:38] 或者是说你是我的榜样
[44:39] 我就会觉得蛮难过的
[44:41] 我可能就会玻璃心
[44:42] 我就去思考说
[44:43] 是不是我哪里做错什么
[44:44] 可是如果你只是一个网友
[44:47] 或是一个朋友
[44:48] 或甚至是你是我的某一个家人
[44:50] 我重视你
[44:51] 但是你不是我look up to的人
[44:52] 我知道我已经比你高这么多了
[44:55] 所以以前你讲的一些话会刺到我
[44:57] 你现在讲的话
[44:58] 我就会觉得很好笑
[45:00] 我就觉得同言同语
[45:01] 就类似Jensen Huang不是有讲吗
[45:02] 他不是说
[45:03] 他的爸爸妈妈到现在
[45:05] 就是都还是会跟他讲说
[45:07] 好哪里可以做得高
[45:08] 他已经是
[45:09] 他的公司这么屌
[45:11] 他开启了这个AI的盛世
[45:13] 他single handedly
[45:14] 把大家从2022的泥淖
[45:16] 整个拉出来
[45:17] 结果他把他妈妈
[45:18] 都还是觉得说
[45:19] 他拿来可以做得很好
[45:20] 所以你最终
[45:21] 不知道
[45:21] 我相信
[45:22] 你看他还是有写信的人
[45:24] 他自己手上也曾经
[45:26] 好像是跟员工对赌
[45:27] 就吃一个东西
[45:27] 所以某程度上
[45:29] 我可以懂这样子的人
[45:30] 他年轻也曾经
[45:31] 会想要证明自己
[45:32] 给他爸妈看
[45:32] 我乱猜的
[45:33] 但我觉得一定也是
[45:34] 就像我也会想要证明
[45:35] 自己给一些人看
[45:36] 后来发现说
[45:38] 不是啊
[45:38] 当我越想要去证明自己
[45:40] 别人会越多东西可以去算
[45:42] 或者是说
[45:44] 当别人讲一个东西
[45:45] 我往心里去的话
[45:46] 他搞不好他讲完
[45:47] 他根本就已经完全忘记这件事
[45:48] 他只是在网上打嘴巴
[45:49] 或是他只是看到你
[45:50] 你知道就
[45:50] 有些
[45:51] 我们亚洲的不是
[45:52] 蛮喜欢看到你就说
[45:53] 你又变胖了
[45:54] 他只是随口讲一句话
[45:56] 你就想了一整天说
[45:57] 我是不是变胖了
[45:58] 我是不是要少吃一点
[45:59] 你很亏
[46:00] 你超亏的
[46:01] 所以我没有办法跟你讲说
[46:03] 怎么样不玻璃心
[46:04] 因为我就是会玻璃心的人
[46:05] 那只是我是怎么样走出来
[46:07] 就大量的这个曝露疗法
[46:08] 长期的曝露在这里面
[46:10] 好像2022就算是我的低潮之一
[46:12] 我就觉得说
[46:13] 我也是很认真在跟大家分享
[46:15] 我也是没有跟大家收钱
[46:17] 回档的时候
[46:17] 我一定也赔得比绝大多数人多
[46:20] 甚至99.9%的人
[46:21] 应该都不会赔得比我多
[46:23] 当然赚你也不会赚比我多
[46:24] 因为那资金量体的问题
[46:25] 那可是为什么我要去扛这些压力
[46:28] 我也都尽力了
[46:29] 那个盘也不是我可以决定的
[46:31] 你知道就像有些东西我看好
[46:32] 你知道我也是很好奇说
[46:34] 公司怕再创下小
[46:35] 你不赶快出来认真做多
[46:37] 不赶快把业绩弄好
[46:38] 或什么的
[46:39] 大家不骂他
[46:40] 然后会骂说
[46:41] 跟你介绍的我
[46:42] 可是问题就是对我来讲
[46:43] 这就是我工作的一环
[46:44] 我就总是要去介绍东西
[46:46] 总是要去探索
[46:47] 我有办法把它介绍出来
[46:49] 代表说我已经探索完
[46:50] 只是有时候
[46:51] 那短期的股价是怎么样
[46:52] 老实讲我也不知道
[46:53] 所以你有你的赢
[46:55] 你有你的输
[46:55] 有很多人他是很重视
[46:58] 你赢的部分
[46:59] 或是说你输的部分
[47:00] 他也是同样的重视
[47:01] 谢谢你跟他分享
[47:02] 你去专注在这些爱你的人
[47:04] 你不要去专注在那些
[47:05] 就是你赢的
[47:07] 他就想说
[47:07] 他不就盘好
[47:08] 你输的他就说
[47:09] 你看他做什么赔钱
[47:11] 以前我有去专注这些不好的
[47:12] 所以我之前跟大家分享过
[47:13] 另外一个把我带出来一个
[47:15] 很主要的一个东西是
[47:17] 我去观察到
[47:18] 大力帕的歌会有人按倒站
[47:20] 你妈你反社会吧
[47:22] 大力帕还好
[47:24] Radiohead的歌
[47:25] No Surprise
[47:26] Fake Plastic Tree
[47:28] 有人会去按倒站
[47:30] 你懂吗
[47:31] 这种
[47:31] 顶尖的作品
[47:34] 有人会去按导站
[47:35] 你说这不是你的风格算
[47:36] 他竟然去按导站
[47:37] 所以你知道这个世界很大
[47:39] 如果你只要在意每个人说的话
[47:40] 你真的要去听的话
[47:42] 你会爆炸
[47:42] 所以我最终的想法是这样子
[47:44] 你要去mute掉一些人
[47:46] 所谓的mute掉
[47:47] 不只是在line上面
[47:49] 去把它变静音
[47:50] 你要试着去淘汰掉一些
[47:52] 甚至是你的朋友或是家人
[47:53] 你要去降低
[47:55] 去接触这些负面的东西
[47:57] 因为这个东西真的会影响到你
[47:59] 然后它会去让你有表现不好
[48:01] 就是类似比马龙效应
[48:02] 如果大家都是很看好你的话
[48:04] 其实你真的会越做越好
[48:05] 你尽量去
[48:06] 把自己放在一个对的环境里面
[48:08] 我叫你不要去在意别人的说法
[48:10] 那是很难的
[48:11] 但是我的经验是
[48:12] 反正你大量的暴露之后
[48:13] 你慢慢的
[48:14] 你总是会学会
[48:15] 有些人可能很快就学会
[48:17] 因为他就是天生皮厚
[48:18] 像我也是天生敏感的人
[48:20] 所以我花了蛮多时间
[48:22] 但我还是学会了
[48:23] 所以希望你也可以学会
[48:24] 下面问
[48:24] Kevin Chang
[48:25] 孟公好
[48:26] 想问你到底是用什么宽发力
[48:28] 最近儿子学会了
[48:29] 骑两轮脚踏车
[48:30] 为父的我好感动
[48:32] 很神奇的感觉
[48:33] 感觉到这个小孩
[48:34] 突然有一个很大的跃进
[48:35] 然后不知道为何
[48:37] 当我看着儿子骑单车的时候
[48:38] 一直想到贾博斯说
[48:40] 电脑是人类心智的脚踏车
[48:42] 这句话
[48:42] 推荐爸爸们还没有体验过
[48:44] 可以赶快去体验一下
[48:45] 但接下来就是要一直叫他
[48:47] 慢一点刹车刹车
[48:48] 以及疯狂去河滨公园飙车
[48:50] 还有我抽中Vondi的票
[48:52] 好爽
[48:53] 谢谢老婆让我去看
[48:55] 恭喜你
[48:56] 那时候我看到又是抽选
[48:57] 我就放弃
[48:57] 我现在对于这种抽选
[48:58] 我真的是非常不喜欢
[48:59] 反正就有缘再来看
[49:02] 那再来讲说
[49:03] 什么叫做宽发力
[49:05] 所谓的宽发力呢
[49:07] 就是
[49:07] 我用一个简单的举例
[49:09] 你先是直立的站着
[49:12] 然后接着呢
[49:12] 你试着用
[49:14] 类似深蹲的方式
[49:15] 那只是你用
[49:16] 左脚作为一个支点
[49:19] 然后试着蹲下去
[49:20] 就是重心是放在你的左脚
[49:22] 那这时候你就注意到
[49:22] 你的右脚的膝盖
[49:24] 应该是会往内旋
[49:25] 那脚尖在地板上
[49:26] 应该也是会往内旋
[49:27] 因为像说这样折下去
[49:28] 所以你整个人会有点像是说
[49:30] 往左下角缩
[49:31] 然后屁股会稍微的顶出去
[49:33] 这时候你就会注意到
[49:34] 说你的髋部是很紧绷的
[49:36] 那这时候你用力的一踩
[49:38] 你就会注意到
[49:39] 你那个髋可以把你推出去
[49:40] 当然这需要一点时间去学
[49:41] 因为我也是花蛮多时间在巧会
[49:43] 那如果要辅助的话
[49:45] 就是搭配
[49:45] 就像说你这样缩起来之后呢
[49:47] 那刚才讲你左脚是支点
[49:49] 那这时候你的右手先整个人拉
[49:51] 把你的胸拉开之后
[49:52] 再搭配你的髋
[49:54] 然后再用你的左手挥出去
[49:56] 挥棒或者说投球
[49:57] 或者说挥拍的一个动作
[49:59] 就是一个完整的运动的循环
[50:01] 所以这样子就会让你
[50:02] 可能可以发出更大的一个力道
[50:04] 比你本来只是用手去挥来的大很多
[50:06] 所以宽的发力真的是还蛮关键
[50:08] 而且改变了我生活中蛮多的事情
[50:10] 那非常恭喜你的孩子学会骑脚踏车
[50:12] 我真的很感动
[50:13] 就像是我孩子最近学会游泳一样
[50:16] 当然你知道说
[50:17] 他可以在一个小池里面
[50:19] 从A游到B
[50:19] 他不会溺死
[50:21] 而这个就超令人感动
[50:22] 那一方面会觉得说
[50:24] OK孩子又长大了
[50:26] 我们年纪也可能变大了
[50:28] 那二方面就是说
[50:29] 好像说这个生命已经传承下去了
[50:31] 那我们真的是一个蛮特别
[50:33] 蛮感动的体验
[50:34] 这应该很多地方爸爸都可以
[50:37] 有同样的一个感受
[50:38] 那这样
[50:38] 好那再见
[50:39] 拜拜
