[00:00] 歡迎收聽谷外,我是星夢宮,本期節目由NordVPN贊助
[37:58] 什麼要把設計師找到山上去打斷他手指
[38:00] 這個都他媽聽過
[38:01] 所以感覺這個是本來就很容易起爭議的地方
[38:04] 希望你早日釋懷
[38:05] 這個就是說很常見
[38:07] 跟設計師公班起爭議
[38:08] 就像我們之前的旅館也是
[38:10] 也是騎到不行
[38:11] 所以我覺得你就釋懷吧
[38:14] 然後這種事情就是會發生
[38:15] 下面一位還在苗栗唸書的蔡蔡子
[38:17] 孟公去嘎利賀
[38:18] 抱歉內容有點長
[38:20] 花了一年半終於把節目追完了
[38:21] 目前還在努力二刷中
[38:22] 要說孟公的觀念多重要
[38:24] 那概念就像Faker
[38:25] 觀念比操作還要重要幾百遍
[38:27] 前陣子有聊到吃素的話題
[38:29] 小弟也有想法要分享一下
[38:30] 瓜奧沒有要站對籌
[38:32] 那神明可能看重的是
[38:33] 誠意或是你付出
[38:35] 瓜奧犧牲了多少去做善事
[38:36] 而甲採也是選擇了
[38:38] 不吃更好的放過
[38:39] 會出現在餐桌的可愛動物
[38:41] 所以才有吃素還願的說法吧
[38:43] 那另外小弟對於上次的淡淡論
[38:45] 也有疑問
[38:46] 在臺通那集
[38:47] 孟公有跟Lisa對賭朋友的為人
[38:49] 感覺是有數哦
[38:50] 那現在應該是沒有左邊淡淡的吧
[38:53] 那希望孟公用金牌講師的聲音
[38:55] 對我說兄弟們別混了
[38:56] 趕緊畢業
[38:57] 出去賺錢帶家人出國玩
[38:59] 我愛說實話
[39:00] 那最後祝福各位聽眾及孟公一家平安健康
[39:03] 以後回孃家不會生病
[39:04] 安哥會越來越勇健的
[39:06] 愛寧
[39:06] 我為愛寧這個還在苗栗唸書的菜仔子
[39:09] 非常感謝
[39:09] 叫我孟公去吧
[39:10] 這是非常親密的叫法
[39:12] 然後差點懷孕
[39:13] 那再來講說這個金牌講師
[39:15] 金牌講師現在已經
[39:16] 我不知道我的YT好久沒有推給我
[39:18] 幾乎快忘記這個人了
[39:19] 那希望他現在一切都安好
[39:21] 那上面說是不是我欠Lisa一顆蛋蛋
[39:24] 聽起來好像是
[39:25] 所以以後好像只能夠用右邊蛋蛋讀
[39:27] 因為左邊蛋蛋已經屬於我老婆
[39:28] 因為那次最後面是她對
[39:30] 那再講說
[39:31] 神明可能在意的是
[39:33] 你付出犧牲了多少去做善事
[39:35] 不過我覺得還是怪怪的
[39:36] 就當然如果站在一個慈愛萬物的角度
[39:39] 有可能是這樣子
[39:40] 可是以我們的在地神明來講
[39:42] 他們其實是各司其職
[39:43] 有些可能是負責海的
[39:45] 有些是負責什麼
[39:46] 是農工商某一塊的
[39:47] 所以如果你今天找到一個動物的神
[39:50] 那動物的神這樣想
[39:51] 我覺得就還蠻合理的
[39:52] 可是如果你隨便找一個神
[39:53] 然後說你要吃素的話
[39:54] 我還是覺得不一定會成立
[39:56] 為什麼
[39:56] 因為就算你吃素
[39:58] 我想說你吃素吃一年好了
[39:59] 好那接著你又再回去吃肉
[40:01] 不知道為什麼在我的感覺
[40:03] 就是覺得說
[40:04] 所以現在怎樣
[40:04] 現在老大不是神明
[40:05] 老大是你
[40:06] 是你決定說
[40:07] 啊好啦你叫我不要吃肉
[40:08] 我就一年不吃肉啊
[40:10] 我就感覺說怪怪的啊
[40:11] 但當然
[40:12] 呃我覺得每個人
[40:13] 反正心誠則靈嘛
[40:14] 你只要是用
[40:15] 有對應到的東西去許願都可以
[40:17] 我只跟大家分享我的看法
[40:18] 就跟你分享你的看法一樣
[40:20] 我的看法就是覺得說
[40:21] 這個你沒有真的
[40:22] 加惠到這個神明啊
[40:24] 我就覺得說
[40:24] 你真的要去加惠到這個神明的話
[40:26] 你應該是要做一些
[40:28] 直接對他有利的東西
[40:29] 那當然其實神明搞不好
[40:30] 就像很多人講的
[40:31] 他根本就不在意
[40:32] 什麼人間的利益或什麼的
[40:33] 反正就那種最最理想的想象
[40:35] 但是我自己比較習慣
[40:37] 不用這樣的框架去想事情
[40:38] 所以反正就大家只要覺得
[40:40] 你許願的token是ok
[40:42] 那你真的都有換到東西
[40:43] 你就維持吧
[40:44] 類似說東西沒有壞就不用修
[40:45] 那下面一位
[40:46] ship945
[40:48] 孟公你好
[40:49] 第一次留言有點緊張
[40:50] 我是三重喬本還奈
[40:52] 想借孟公的頻道
[40:53] 感謝今天情人節
[40:54] 在國父經驗館找停車位的時候
[40:56] 揮手跟我老公說他要離開了
[40:58] 車子在後面讓給我們停的特斯拉車主
[41:01] 想跟他說聲謝謝還有新年快樂
[41:04] 讓我們想買特斯拉了
[41:05] 順便想問孟公對於本次關稅公佈
[41:07] 跟車價的預期看法
[41:08] 最後好人一生平安
[41:10] 謝謝孟公愛你
[41:10] 當然就是美國車
[41:11] 就是可以預期而變得更便宜
[41:13] 在美國車更便宜的狀況之下
[41:15] 也有可能會進階的去促進到
[41:18] 其他車子為了要去競爭
[41:19] 就再把價格再壓到更低
[41:21] 所以我覺得
[41:21] 對臺灣的車價整體來說
[41:23] 一定是一個利多
[41:24] 所以利多是說
[41:25] 站在消費者的角度來看
[41:27] 那你說你想買特斯拉
[41:28] 特斯拉不是在剛剛宣佈說
[41:29] 這個關稅不會影響到他車價嗎
[41:31] 他可能是少數幾個
[41:33] 不會被影響到的東西
[41:34] 但我覺得
[41:35] 覺得說如果這個美國車開始屌賣
[41:37] 他銷量在往下掉的話
[41:38] 他會不會在降價
[41:39] 會啦
[41:39] 他一定就在降價
[41:40] 而且特斯拉在馬斯克的掌舵之下
[41:42] 就是儘可能的一直有在做降價
[41:45] 所以應該
[41:46] 整體來說
[41:47] 覺得這個車價應該是會往下
[41:48] 除非有一波這個需求的暴增
[41:50] 逆勢拉上去之類的
[41:52] 不然就還是會往下
[41:53] 因為一切都是看供需
[41:54] 下面一位
[41:55] 狗鬧那麼累
[41:56] 祝孟公新年快樂
[41:57] 世事順心
[41:57] 非常感謝
[41:58] 下面一位
[41:59] Inchan
[42:00] 孟公哥安安
[42:01] 先祝新年快樂
[42:02] 馬上報復
[42:02] 我是624級被念QA的
[42:04] 定期定額七份仔
[42:05] 現在被唸到QA後的兩天
[42:07] 欠我錢的老闆
[42:08] 就主動還清了半年的款項
[42:10] 真的好感謝孟公哥的金口
[42:12] 哇靠
[42:13] 這裡真的好靈驗
[42:14] 法院甚至都還沒有正式發支付命令
[42:16] 給對方就解決問題
[42:17] 不管這集業配什麼內容
[42:19] 我都決定先買爆
[42:20] 那就算用不到也會捐出去
[42:21] 一輩子愛您
[42:22] 祝孟公哥全家人身體健康
[42:24] 一切安好績效大爆色
[42:26] 那我記得這位兄弟
[42:27] 那非常恭喜可以把錢拿回來
[42:29] 因為其實把錢拿回來
[42:30] 是一個非常非常難的事情
[42:31] 這個時代我覺得借錢很容易
[42:33] 那銀行的信貸或什麼
[42:35] 他都是包不得你趕快去跟他借
[42:36] 所以當一個人已經走投無路
[42:38] 到要來跟你借錢的時候
[42:39] 基本上要救他就很難
[42:41] 除非是自己的好朋友
[42:42] 你要幫一下是OK
[42:43] 但是我經驗就是
[42:44] 借出去的錢
[42:45] 你要再拿回來
[42:46] 那個難度是極高
[42:47] 極高
[42:48] 所以可以拿回來
[42:49] 就算是非常幸運的人
[42:50] 下面一位
[42:50] Bullshit
[42:51] 海大你好
[42:53] 我太太是Bullshit
[42:54] 我覺得你改個名字
[42:55] 因為這樣很像你Fucking Bullshit
[42:57] 太太是你的忠實聽眾
[42:59] 我即將成為男寶爸
[43:00] 平時會固定收聽您的節目
[43:02] 讓我順利入坑
[43:03] 先感謝您每週提供精彩的分析
[43:07] 太太預想期3月20號
[43:08] 祝福辛苦的Sylvia
[43:10] 母子平安健康順產
[43:12] 兒子的名字已經想好了
[43:13] 取名謝孟公
[43:13] 希望大家一樣旺旺旺
[43:15] 非常感謝您帶給我們知識與力量
[43:17] 祝您和家人平安喜樂愛你
[43:19] 我是建議取別的名字
[43:21] 但希望你們順產
[43:22] 下面一位
[43:23] 六哥哥
[43:24] 猛公你好
[43:25] 小弟今年25歲
[43:26] 平常在家全職做股票
[43:27] 股票淨值約2500萬
[43:29] 有房有車
[43:30] 借無貸款
[43:30] 自然經濟狀況尚可
[43:32] 最近女友跟她的母親
[43:33] 有提到我的工作跟經濟狀況
[43:35] 對方態度很不屑
[43:36] 認為錢不是重點
[43:37] 人就是要出門上班
[43:39] 受到社會的規範
[43:40] 我跟女友都不以為然
[43:41] 掛號女友很支援我
[43:42] 那如果你看Lisa
[43:43] 遇到會怎麼做呢
[43:44] 那最後祝猛公
[43:45] 新年快樂
[43:46] 績效大爆色
[43:49] 所以聽你的說法
[43:50] 你的女友AKY的老婆
[43:52] 絕對沒有問題
[43:52] 其實完全不用屌他媽
[43:54] 實際上就真的是這樣
[43:55] 因為現在結婚
[43:56] 只要兩方的意思表示一致就好了
[43:58] 你們兩個都覺得OK
[43:59] 兩情相悅
[43:59] 你們去簽了就結婚
[44:00] 對方媽媽說什麼
[44:01] 一點他媽都不重要
[44:02] 當然有時候
[44:03] 你會不想要把局做差
[44:05] 覺得大家還是可以當朋友
[44:06] 看怎麼樣溝通
[44:07] 或許假設要折中的話
[44:09] 你就搞一個交易室
[44:10] 你就搞一個辦公室
[44:11] 然後說那是你的交易室
[44:12] 就是某某投資公司
[44:13] 類似我們身邊一堆人
[44:13] 都在做這樣的事情
[44:14] 其實就把它變成是一個網咖
[44:16] 大家可以在那邊下單
[44:17] 然後可能可以養一個研究員
[44:18] 然後接著用這研究員去扣公司
[44:19] 你也不一定需要他的報告
[44:20] 但我感覺很多人都在做這樣的事情
[44:22] 你就這樣子搞
[44:23] 然後就說我在外面
[44:24] 其實是有一個投資公司的
[44:25] 我並不是什麼在家做股票做交易
[44:27] 因為有些人聽到在家做交易
[44:29] 確實它不是一個好東西
[44:31] 就是至少在一些
[44:32] 可能一些銀行要放款給你
[44:33] 你跟他說你在家做交易
[44:35] 他不一定會喜歡你
[44:35] 或者說一些長輩在家做交易
[44:37] 他覺得說你不務正業
[44:38] 即便他們不知道說
[44:39] 你交易可能賺很多錢
[44:44] 我自己有觀察到
[44:45] 像我們身邊一些
[44:46] 做交易做投資
[44:47] 做到有錢
[44:48] 他們也會去投資一些實業
[44:49] 然後他的title
[44:49] 不一定會掛說
[44:50] 他是什麼交易師
[44:52] 或是什麼投資公司的老闆
[44:53] 他喜歡掛他做的那個實業
[44:54] 我類似說
[44:55] 會不會以後
[44:55] 我想要跟大家介紹
[44:56] 講說我是創投家
[44:57] 我是做湘南資本的
[44:58] 可能也會
[44:58] 因為我覺得說
[44:59] 做交易這個
[45:00] 你就想一堆詐騙子
[45:01] 也是說他自己在做交易
[45:02] 網路上騙人家做crypto什麼
[45:03] 然後每個都說自己做交易
[45:04] 可是你做創投
[45:06] 不是每個人都可以做
[45:06] 類似這樣
[45:07] 所以有些人就會把自己掛不同的title
[45:08] 可能也是為了去融入社會吧
[45:10] 之類的
[45:11] 但其實我自己是不太在意這樣的事情
[45:13] 但我知道有些人可能
[45:14] 覺得你想要折衷
[45:15] 你不想讓他難過的話
[45:16] 那你就可以照我的說法
[45:18] 你就去搞一個小辦公室
[45:19] 那個租金沒有多少錢
[45:20] 那這樣子可能他會比較放心一點
[45:23] 那你的女友可能也會覺得說
[45:25] 這樣好像沒有辜負媽媽
[45:27] 那這樣子大家就皆大歡喜
[45:29] 反正那個支出也是小的
[45:30] 但退一萬步講
[45:31] 就如果你今天可以不屌他的話
[45:33] 那就可以完全不用屌他
[45:34] 因為基本上結婚是兩情相悅
[45:36] 你管他們岳母想什麼
[45:37] 下面一位
[45:37] Yan Chou Chen
[45:39] 夢光好
[45:39] 我覺得炒股的模型很棒
[45:41] 但硬要說的話
[45:42] 你還缺一種模型
[45:43] 快樂寶貝指數
[45:44] 你應該制定快樂寶貝指數模型
[45:46] 藉此判斷市場的情緒高低
[45:48] 該模型內容必須有
[45:49] 打方向燈時
[45:50] 後車低能額的加速比例
[45:52] 整天來留言問操作
[45:53] 和想當全職投資人的比例等等
[45:55] 相信這麼好用的指標
[45:57] 開放給粉絲使用
[45:58] 必定能造福社會新年快樂
[46:00] 其實這個指標
[46:01] 我們以前就有類似的東西
[46:03] 類似說在Telegram裡面有一個
[46:04] 我們那時候講說沉默迴圈
[46:06] 因為每次跌
[46:07] 那些很熱絡的人就會不見
[46:08] 可是因為我覺得最近行情太好
[46:09] 所以沉默迴圈已經很久沒看到
[46:11] 那一方面也有可能是
[46:12] 那時候的一些回檔
[46:14] 已經把一些笨蛋都塞掉了
[46:16] 但其實最近在問股票的人
[46:17] 真的又有感的上升
[46:19] 包含說在Telegram裡面
[46:20] 要tag我問股票的人
[46:21] 而且都是問那種
[46:22] 怎麼講
[46:23] 非常技術面的東西
[46:24] 我個人是覺得
[46:25] 當然技術面本身是重要的
[46:26] 可是技術面一直對我來說
[46:27] 都是一個像輔助的角度
[46:29] 就是我去了解一下市場在想什麼
[46:31] 那就是說一天的K-BON
[46:32] 就是反映了一天的交易的軌跡
[46:34] 那他對我來講就是一個輔助
[46:35] 可是很多人都想要去
[46:37] 怎麼講就是過度的聚焦在那個東西
[46:39] 也不是不行
[46:39] 因為我們身邊有朋友
[46:40] 就真的是全部在做那個東西
[46:41] 但我就覺得
[46:42] 當每次很多人在問這個時候
[46:44] 真的就是有一點
[46:45] 感覺說高點快到了
[46:46] 可是這一波真的是拖很久很久
[46:48] 這波真的臺股太猛了
[46:49] 我也不知道到底發生什麼事情
[46:50] 那美股的話
[46:51] 其實已經非常有感在罰人了
[46:53] 已經在罰了
[46:54] 那下面一位狗哥
[46:55] 股市熱起來
[46:56] 怎麼一堆人就在問技術現行的問題
[46:58] 那個不是問AI就好了嗎同學
[46:59] 所以跟這位兄弟所講的一樣
[47:02] 確實是技術分析的東西
[47:03] 你可以問AI就好
[47:05] 因為像我們身邊的一些
[47:06] 就像說有一個波浪之鬼
[47:09] 他就是會跟AI去討論他的波浪
[47:11] 然後他說跟AI討論
[47:12] 其實比跟人討論還有意思
[47:13] 就是AI他會去幫你撈一些資料
[47:15] 然後去幫你做統計
[47:17] 所以其實是更有意思的
[47:18] 所以確實技術分析的東西
[47:20] 我覺得你可以去問AI就好
[47:21] 像基本面的東西
[47:22] 你去問AI的話
[47:23] 因為AI的東西
[47:24] 他就是去撈網路上的各種
[47:26] 不然像是說什麼檔案
[47:28] 或者說一些說法
[47:29] 一些新聞或什麼的
[47:30] 基本面的東西
[47:31] 反而是AI打不出來的
[47:32] 但其實我覺得現在很好笑的是
[47:34] 確實是在AI討論上面
[47:35] 去問技術面的
[47:36] 我感覺是比較少
[47:37] 很多人去問基本面
[47:38] 然後他就會很高興的
[47:39] 把它貼在粉磚
[47:40] 或是貼在一些討論區裡面
[47:42] 然後我看到我都會想搖頭
[47:43] 就是你去問AI
[47:45] 一些產業相關的東西
[47:46] 特別是有時候
[47:46] 你有太多自己的主觀的輸入
[47:48] 就你想把兩家公司扯在一起的話
[47:50] 那AI就會跟著你一起瞎掰
[47:51] 然後再來就是最新的產品
[47:53] 其實AI是看不到
[47:54] 所以確實反而在
[47:58] 但是量化分析應該已經某個程度上
[48:00] 可以去交給AI做討論
[48:01] 下面一位Stick
[48:03] 嗨夢宮我是鮭魚
[48:04] 以前股票亂買亂賣
[48:06] 發現都是大賠小賺
[48:07] 去年直接加入大盤
[48:09] 不僅輕鬆
[48:10] 又有更多心思可以好好生活
[48:12] 我跟女友都是您的忠實聽眾
[48:13] 希望您可以幫我用肌肉猛男的聲音
[48:15] 跟女友說
[48:16] 小雞兒又吃飽睡好
[48:18] 活力滿滿的愛您
[48:19] 愛您
[48:19] 大盤確實是一個
[48:21] 我覺得很適合大家的選項
[48:22] 包含我自己都有一些賬戶
[48:25] 是幫我的孩子去做指數的投資
[48:27] 當時的想法很單純
[48:28] 就是說有一天我可能股票要翻船
[48:30] 我算老實講
[48:31] 我家股票翻船機率是極低
[48:32] 那這flag我也不怕
[48:33] 我在那邊直接插下去
[48:35] 因為就已經是走配置流了
[48:36] 所以翻船機率極低
[48:38] 就真的翻船
[48:38] 就是臺灣的市場是直接去死之類的
[48:41] 所以那時候的想法就是說
[48:42] 有朝一日有可能會有
[48:44] 超烏預期的狀況發生
[48:46] 至少我可能有一些
[48:47] 相對穩健的東西可以留給孩子
[48:49] 只是現在看也覺得說
[48:50] 好像沒有什麼特別的意義
[48:51] 但我自己有在做這樣子的配置
[48:53] 指數確實是很適合大家的一個選項
[48:56] 下面一位6880531
[48:58] 嗨 挨大你好
[48:59] 我今年26歲
[49:00] 是少數的二字頭iPhone
[49:01] 也是從第一集就收聽到
[49:03] 現在的股位聽眾
[49:03] 除了抽獎外
[49:05] 第一次留言
[49:05] 去年過年才開始買股票
[49:07] 還當了好幾年的氣氛仔
[49:08] 知道要從0050無腦開始買
[49:10] 所以我出入股市第一年就有賺錢
[49:12] 而且去年大盤真的很強
[49:14] 只買0050我的績效就有接近50%
[49:16] 過後4月股災有加倉的關係
[49:19] 謝謝挨大讓我收穫滿滿
[49:20] 祝全家平安
[49:21] 確實以臺灣的指數來講
[49:22] 因為過去有報酬
[49:23] 實在是非常恐怖
[49:26] 很多人的報酬是直接屌出指數
[49:28] 因為過去指數大概
[49:29] 常年在8到12%之間的時候
[49:32] 其實拉長看就三五年
[49:33] 要贏指數的人就很少了
[49:34] 像他那種指數
[49:35] 整天都幾十%的
[49:37] 我覺得應該更難
[49:38] 好那這邊拜拜
