[00:00] 欢迎收听谷爱,我是孟公,本集节目由台扎苦火星生技赞助
[38:55] 问任何的问题
[38:56] 你会想要问什么
[38:57] 我也想要问宫崎英高
[39:02] 是怎么样去想到
[39:04] 他的这个世界线跟创作的
[39:06] 因为像我自己非常喜欢
[39:07] 爱尔登法环的整个剧情
[39:09] 包含说每个道具的一个说明
[39:11] 很多都让我觉得印象很深刻
[39:13] 然后让我流连在那个世界里面
[39:15] 有点让我走不太出来的感觉
[39:16] 所以我不知道
[39:17] 你知道我个性其实很善变的人
[39:19] 我有很多那种突发奇象
[39:21] 其实大家节目听久了都知道
[39:23] 突然间要做这个
[39:24] 突然间做那个
[39:24] 所以你搞不好下个月问我
[39:26] 就不是想问宫崎英高
[39:27] 但我现在
[39:27] 我第一个想到的是
[39:28] 我想要问宫崎英高这件事情
[39:30] 下面一位
[39:30] 挨真实猎人
[39:32] 先祝秋口生日快乐
[39:34] 那请问可以报名
[39:35] 当孟宫起嘎的看门狗吗
[39:37] 干
[39:37] 那最近几个操作很糟
[39:39] 开始追高杀低
[39:41] 看来该放慢脚步
[39:42] 降低操作频率了
[39:44] 想问孟宫觉得
[39:44] 食音元件在光通的应用
[39:46] 有什么看法
[39:46] 祝大家身体健康
[39:47] 那去健检大长进的时候
[39:49] 不用在被捅的时候醒来
[39:51] 谁会在被捅的时候醒来啊
[39:53] 然后在食音元件的话
[39:55] 我对台股的都不太熟
[39:56] 在美国交易所的
[39:58] 旺昌之前
[39:59] 我跟大家稍微的聊过
[40:00] 包含说他可能在一些
[40:02] 这个server
[40:03] 或者说相关的应用
[40:04] 这个我可能是
[40:05] 比较有在注意
[40:06] 台股的石英元件
[40:07] 我感觉大家好像
[40:08] 也是在做一个
[40:09] 什么缺口涨价的故事
[40:11] 这个我真的是不太熟悉
[40:12] 所以没有办法跟你分享
[40:14] 就什么西华
[40:15] 然后跟另外一个经济
[40:16] 然后大家都在看这个
[40:17] 但我没有去追踪这个主题
[40:19] 但是要强调
[40:20] 因为现在是百花齐放的状态
[40:22] 所以甚至有些东西
[40:23] 搞不好不一定真的有故事
[40:24] 因为他就是骂满地都飙股
[40:26] 所以大家都找个题材
[40:26] 就直接就上去了
[40:27] 那等到后来开影之后
[40:28] 我早上就做验证
[40:29] 那下面一位
[40:30] Eugene Huang
[40:32] 谢谢孟公陪伴我上班的时光
[40:34] 希望可以用川普的口气
[40:35] 跟我的好朋友老赵说
[40:36] 生日快乐
[40:37] 古爱人生顺遂
[40:38] 平安健康第一次留言
[40:39] 希望可以念到
[40:39] 让我六月的寿星朋友得到惊喜
[40:42] 祝平安
[40:42] 希望他生日快乐
[40:44] 下面一位
[40:44] 牛拍小陈
[40:45] 孟公去吧您好
[40:46] 很谢谢孟公无私的分享
[40:48] 虽然感觉自己还是个快乐宝贝
[40:49] 但自从推男友天的节目之后
[40:54] 无数个男友加班的通勤时光
[40:56] 可以请你对6月5号生日的小刘
[40:58] 说那四个字吗
[40:59] 生日快乐
[41:02] 那再麻烦用肌肉猛男的声音
[41:04] 鼓励小刘
[41:05] 你是最棒的
[41:05] 工作辛苦了
[41:06] 我会一直陪伴你的
[41:07] 爱你
[41:07] 那感谢孟公
[41:09] 让我们生活增添了乐趣跟目标
[41:11] 祝孟公6月生日快乐
[41:12] 以及孟公全家跟听众们
[41:14] 万事顺心
[41:14] 一起鸡叫大豹
[41:15] 我说爱你
[41:15] 也希望你们两个
[41:16] 百年好合
[41:17] 下面一位王大卫
[41:18] 嗨孟公
[41:19] 我终于在5月正式离开
[41:21] 急诊这个有毒的工作环境
[41:22] 现在转换跑道后
[41:24] 每天身心舒畅
[41:25] 不只考试都考100分
[41:26] 家庭关系都变好了
[41:28] 我要echo
[41:28] 孟公曾经说过的
[41:29] 如果有一个工作
[41:30] 让你一想到上班就忧郁
[41:32] 就尽早离开
[41:33] 没有一个工作
[41:34] 值得你用心理的健康去交换
[41:36] 我有讲过这个话吗
[41:38] 但我都蛮认同这个
[41:40] 所以我可能真的讲
[41:40] 因为有时候我蛮多的
[41:42] 所谓人家讲什么
[41:43] 金句
[41:43] 我不觉得是金句
[41:44] 我就是当下一个感受
[41:46] 就随便吐出一句话
[41:47] 然后有些人就
[41:48] 就觉得好像那句话不错
[41:49] 但那真的都是靠赛顺乱讲的
[41:52] 然后说除非钱真的够多
[41:54] 那在急诊的那一段时间
[41:56] 就算持股连续三天涨停
[41:58] 也无法平复工作上受到的波澜
[42:00] 那最后先上一个长期祭品
[42:02] 如果40岁前完成我的财务目标
[42:04] 我各捐给老婆
[42:05] 我的光头宝贝儿子
[42:06] 跟社福机构100万
[42:07] 算了不要给老婆好了
[42:09] 反正我的钱本来就是他的钱
[42:10] 祝你们全家身体安康
[42:12] 那恭喜大卫离开急诊
[42:14] 当然这种东西好像
[42:16] 我不知道现在觉得有点矛盾
[42:18] 因为我们这个节目
[42:19] 某个程度上来说
[42:20] 有一点那种
[42:21] 就是社会的
[42:22] 怎么讲
[42:23] 就是你不敢说
[42:25] 你要去端正
[42:25] 可是你讲的一些东西
[42:26] 是真的会影响到一些事情
[42:28] 所以我们不敢讲的太绝对
[42:30] 当然我希望每个医师
[42:31] 都去追求生命中的青鸟
[42:33] 不要说待在一个超累
[42:35] 然后又有毒
[42:36] 然后又可能不知道
[42:37] 要整天被一堆奥给干
[42:39] 然后同时薪水又没有很高的地方
[42:41] 可是同时我也知道说
[42:42] 这个社会真的就需要
[42:43] 有这样子的一些地方
[42:45] 那所以对
[42:46] 我不能够鼓励大家都
[42:47] 一定要逃离某些地方
[42:48] 我只能够说就希望你们
[42:49] 真的都找到适合
[42:51] 然后你们喜欢的地方去
[42:52] 那最终环境都会改善
[42:53] 为什么
[42:54] 因为当越来越多人醒来
[42:55] 像这位兄弟这样
[42:56] 你真的开始缺工
[42:58] 缺到爆炸的时候
[42:59] 就涨了
[43:00] 就像其他一些服务业的薪水
[43:01] 就涨了
[43:01] 因为没有办法
[43:02] 缺工缺到爆炸
[43:03] 或是像以前让我去做工班的
[43:05] 可能也是停很久
[43:06] 可是后来因为这些盖厂的
[43:08] 要抢这些工班
[43:09] 所以全部都涨
[43:10] 所以有时候就真的是要
[43:11] 有蛮多的人开始醒来
[43:14] 或是真的就是怕不爽不要干
[43:15] 他以前都天天想说不爽不要干
[43:16] 然后他真的有一天
[43:17] 他真的就不爽不干了
[43:18] 然后跟着不爽不干的人超多之后
[43:20] 这时候就有溢价权了
[43:22] 当然一个地方还是很多人
[43:23] 前仆后继都要进去的时候
[43:25] 那个溢价权是一辈子都上不来的
[43:27] 他也是这样
[43:27] 那希望大家都可以平安健康快乐
[43:29] 下面一位FJ
[43:30] 五星留言推推推
[43:31] 我是捏软阵线的一员
[43:33] 23周早产额的爸爸
[43:35] 孟公二宝
[43:36] 遇到的无奈跟无助
[43:38] 跟我非常的有同感
[43:40] 我们一起加油
[43:40] 那我想问半导体导线价
[43:43] 目前市场看涨价需求增加
[43:44] 确实有几个概念股也是涨一波了
[43:46] 不晓得有没有机会跟着记忆体
[43:47] 要被动元件一样喷高高
[43:48] 那谢谢孟公解答
[43:50] 祝孟公全家身体健康平安顺利
[43:52] 那个顺德就是啊
[43:52] 就确实我们只有看到说
[43:53] 他们的状况是还蛮不错
[43:54] 那我觉得可能也呼应到我自己讲的
[43:57] 就是tier1的东西可能是记忆体
[43:59] 然后或甚至是被动元件
[44:00] 它本来也是算是tier2
[44:01] 然后现在也拉到tier1去了
[44:03] 那2347都有蛮多东西
[44:05] 就市场下的故事很多
[44:06] 像戏精元其实也是表现的蛮好的
[44:08] 我一直都认为说
[44:09] 他应该不会这么早反应
[44:10] 可是大家就偏偏
[44:11] 现在就要去搞它
[44:12] 所以就是东西很多
[44:14] 只是可能
[44:15] 我认为你要去观察一下
[44:16] 前面几个tier的东西
[44:17] 像那时候记忆体
[44:18] 开始在软掉的时候
[44:19] 是不是就是很多东西都起来了
[44:21] 就那种一惊落万物生的感觉
[44:23] 因为钱都卡在里面
[44:24] 那一样的道理
[44:25] 就是我相信说被动元件
[44:26] 如果开始休息
[44:27] 我们不知道什么时候休息
[44:27] 但如果它开始休息
[44:28] 开始走横盘
[44:29] 应该也会注意到
[44:31] 很多那种二三四tier的东西
[44:32] 就会跟着上去之类的
[44:34] 或是说等到大家都开始休息的时候
[44:36] 就注意到台积电就会开始上去
[44:37] 就是这个市场的资金
[44:38] 是真的蛮有趣的
[44:39] 那下面一位老江
[44:41] 一直没有办法在Apple Podcast留言的苹果仔
[44:43] 梦宫chika好
[44:45] 这是小弟第七次留言
[44:46] 希望可以被念到
[44:46] 小弟今年大三一直是你的忠实听众
[44:48] 那听到前几集
[44:49] 您说有纪录片导演找您筹资
[44:52] 想问一下我的壁制短片
[44:53] 是否也可以找您募资呢
[44:55] 那梦宫想看企划书跟剧本
[44:57] 也可以传给梦宫看
[44:59] 我之前有私讯给您
[45:00] 但没有看到
[45:01] 我的ID是不要被念出来
[45:03] 当然我会想要去支持各种
[45:06] 我觉得有趣的东西
[45:07] 只是呢
[45:08] 币制
[45:08] 币制不是说去找
[45:11] 不知道以前我们那种
[45:12] 学校大学要去做计划的时候
[45:14] 就不是找那些店家吗
[45:15] 其实你现在回头看
[45:16] 觉得那些店家真的是佛心
[45:17] 就是你那个版面赞助
[45:18] 根本就不值多少钱
[45:20] 可是他们还是会出钱帮你做
[45:21] 就币制这种东西应该是
[45:23] 你可以走这个管道
[45:24] 就可以去做到
[45:25] 那如果说有缘分
[45:26] 被我看到或什么的
[45:27] 我有兴趣
[45:28] 那当然还是有机会
[45:29] 就是我还是有去
[45:30] 像之前也有大学生会找我要钱
[45:32] 就他们可能需要去办什么活动
[45:34] 就是真的是有看到才会去
[45:35] 但是你知道我们没有办法
[45:37] 每个都盯
[45:38] 然后每个我就是
[45:39] 资金全力投入在这
[45:40] 那个可能就是像我们去
[45:42] 搞了一个这个游戏创投之后
[45:44] 我们才会去盯每个小东西
[45:45] 那如果今天没有去特别看的话
[45:47] 就是有看到才会去做
[45:48] 那我丢的那一个纪录片是蛮大的
[45:51] 是跟这个台湾科技是有关的
[45:54] 只是我没有想到说
[45:55] 我本来以为说人家票房不错
[45:57] 应该蛮有的
[45:59] 就这些做纪录片的导演
[46:01] 真的蛮伟大
[46:01] 所以我有支持
[46:02] 那我身边的朋友也有支持
[46:03] 就是我们就一人一单
[46:04] 就上车这样
[46:05] 那对
[46:07] 我不知道该怎么回应
[46:09] 就是当然如果今天有缘看到
[46:10] 那又有兴趣的话
[46:11] 可以出手
[46:12] 可是没有办法
[46:13] 就是每个人都整天跑来找我要钱
[46:14] 所以会困保
[46:16] 某个人有想过
[46:17] 除了现在的状况
[46:18] 自己会做什么其他的工作吗
[46:19] 如果当初翻身失败
[46:20] 或是一开始就不缺钱的两种时间线
[46:23] 爱你
[46:23] 这题可能要在脑中跑一下模拟机
[46:27] 就好
[46:27] 如果说翻身失败
[46:29] 那翻身的话
[46:29] 就是那时候可能
[46:30] 股票开很大的杠杆的时候
[46:32] 那假设那时候就大闹赛的话
[46:34] 会怎么样
[46:35] 我觉得应该会继续
[46:36] 就是有可能就是继续熬
[46:39] 然后可能再多熬一阵子
[46:40] 但我相信会熬出来了
[46:42] 因为事后回头看
[46:43] 发现说自己的个性
[46:44] 然后跟那种
[46:45] 就是我蛮喜欢去找新鲜的东西看
[46:47] 就像是我在市场里面
[46:48] 整天去找新的题材
[46:49] 我觉得这是一个很高兴的事情
[46:51] 然后或是
[46:51] 我的心脏可能是相对大的
[46:53] 因为也有看到有朋友
[46:54] 有传人家讨论区讨论
[46:55] 我说就这个人怎么会
[46:56] 随便就在自己的身上这样扎针
[46:58] 他真的是太reckless
[47:00] 他太不小心了吧
[47:01] 我真的是这样子
[47:02] 我真的是那种
[47:03] 我今天如果到什么
[47:04] 亚马逊的什么部落
[47:05] 他叫我去喝什么死藤水
[47:07] 我会喝
[47:07] 我真的会喝
[47:08] 然后或是像
[47:09] 我昨天才跟A君讲说
[47:10] 我看到那什么
[47:11] 阿美族有一个喜酪
[47:13] 就是生烟猪肉
[47:14] 那看起来超难吃的
[47:16] 可是我就想吃
[47:17] 我就想知道说
[47:18] 那到底是什么东西
[47:19] 我刚想说
[47:19] 你去找一个来给我吃
[47:20] 所以对
[47:22] 我的个性确实就是
[47:23] 比较偏向那种
[47:24] 有点神农藏白草的感觉
[47:26] 那有些人讲说
[47:26] 这会不会很危险
[47:27] 或什么的
[47:28] 但我就觉得说
[47:28] 其实你生而再世
[47:30] 你本来随时都在跟风险并存
[47:31] 当然你不要没事去做死
[47:33] 可是你知道我们去尝试的这东西
[47:35] 也不是说什么没有人做过
[47:36] 就是有这么多人
[47:37] 他的可能民俗习惯就这样
[47:39] 类似说你跑去冰岛吃尿尿鲨鱼
[47:42] 真的超恶超难吃
[47:43] 可是我就会去尝试
[47:44] 所以我觉得就是这个工作
[47:46] 他蛮符合我自己的
[47:48] 就是无论如何我就会一直去尝试
[47:49] 那当然我不是那种就是头铁硬干型的
[47:51] 我身边有蛮多
[47:53] 我觉得比较偏向那种少年古城个性的是
[47:55] 他们永远都是开极大的杠杆
[47:58] 然后接着你已经看过他爆炸又起来
[48:00] 爆炸又起来
[48:01] 可是他们就是打死不退
[48:03] 我是那种就是我不笨
[48:04] 我觉得我也不知道说那些人就是笨蛋
[48:06] 我意思是说
[48:07] 我今天我试了一个东西
[48:09] 我发现不行
[48:09] 就像说像我上集说
[48:11] 我那个针这样乱打
[48:12] 那第一次我没有学会
[48:14] 我觉得没差
[48:14] 因为我身体没有不良反应
[48:15] 第二次我就开始意识到说
[48:17] 对哦
[48:18] 下次我再这样会有问题
[48:19] 所以我其实是很大胆
[48:21] 可是同时我会知道说
[48:23] 我在哪里曾经翻车过
[48:24] 我就下次不会这样做
[48:25] 所以无论如何最终已经修正到
[48:27] 可以去做这件事情
[48:28] 我认为
[48:29] 所以应该就会继续做那个
[48:31] 但如果是一开始就不缺钱的话
[48:33] 那就是要回归到
[48:35] 就是假设我从原生家庭到大学毕业
[48:39] 然后都是不缺钱
[48:39] 我会做什么
[48:40] 那一定就是你大学的东西
[48:41] 你会延续嘛
[48:42] 对不对
[48:43] 因为你可能没有必要去自己赚钱
[48:46] 去尝试别的东西
[48:47] 你就会去做你当下有的东西
[48:49] 然后去做延伸嘛
[48:50] 所以那时候大学刚毕业的时候
[48:53] 我喜欢的东西是
[48:54] 那时候是就是怎么讲
[48:56] 有点那种摇滚文青吧
[48:58] 就是听团仔啊
[48:59] 觉得自己人听的东西最屌之类的
[49:01] 所以有可能会去搞一个
[49:02] 什么黑胶唱片行之类的
[49:04] 然后生意超差
[49:05] 然后靠爸爸的钱居经营
[49:06] 因为你今天讲说
[49:07] 平行时空不缺钱
[49:08] 我爸是在现在现实生活中的时空
[49:12] 是没有办法让我这样做的
[49:13] 但如果说我爸爸让我不缺钱的话
[49:15] 我觉得我就会去搞一个
[49:16] 黑胶唱片行
[49:18] 然后我会去搞一个live house
[49:19] 然后那时候也非常喜欢玩滑板
[49:20] 所以那时候跟朋友也有议议过说
[49:22] 我们要去搞一个空间
[49:23] 就像是the world一样
[49:24] the world下面有什么刺青店
[49:26] 什么都有
[49:26] 我们要搞一个更大的
[49:27] 因为真的有讨论过
[49:28] 我们在苗栗去圈一块地
[49:30] 然后接着我们要去盖一个室内的板厂
[49:32] 那接着呢
[49:33] 里面可以直接变成是一个lifehouse
[49:36] 然后外加有卖什么黑窖
[49:38] 然后跟调酒或什么的
[49:39] 我认为我就去做这个东西
[49:40] 然后去做了之后
[49:41] 可能就会发现说
[49:43] 刚好意外生意成功的话
[49:44] 就一直做嘛
[49:45] 那如果失败的话
[49:46] 可能就会在里面
[49:47] 也发现一些东西
[49:48] 像我的个性
[49:49] 就会发现
[49:50] 哪个东西可能是有搞头的
[49:51] 我就会往那个方向去切
[49:52] 所以我只能够想象到这
[49:54] 大概这样
[49:54] 因为每个人的人生
[49:56] 充满各种随机性
[49:57] 所以最终都还是要明白说
[49:59] 每个人呢
[50:00] 蛮大程度都是运气的产物
[50:02] 或是就算你无法接受这一点的话
[50:05] 你要去问自己一个问题
[50:06] 如果你今天是在八步星级内亚
[50:09] 或是你是在什么超级奇怪的地方
[50:11] 什么十字山共和国
[50:13] 你有办法做到像你今天这样吗
[50:15] 没有办法嘛
[50:15] 所以可以看懂这点
[50:17] 就会知道说
[50:17] 啊人生呢
[50:19] 就是有很多的随机性啊
[50:20] 那我们如果过得不错的话
[50:22] 也不要全部都觉得是自己厉害
[50:23] 那个也是有环境所造成的
[50:26] 大概这样
[50:26] 所以太难去讲说
[50:27] 一定会怎么样了
[50:29] 就像说马斯克这样的一个聪明决定
[50:31] 我很喜欢的人
[50:32] 他如果没有移民到美国
[50:33] 他一样在南非的话
[50:34] 有办法变成瞎这么屌吗
[50:37] 我觉得以他的个性
[50:38] 他还是会变成一方之霸
[50:40] 只是绝对就不是首富
[50:41] 我的感受是这样
[50:43] 那再见
[50:43] 拜拜
