[00:00] 歡迎收聽谷愛維生物工本期節目由扇存贊助
[38:31] 所以後來我也算是說
[38:32] 搞懂了一點人性
[38:33] 我覺得知道說
[38:34] 要先把心態調整好
[38:35] 就我就當然說我投你
[38:37] 你讓我再抄前面
[38:38] 什麼A輪或是天使輪就加入你
[38:40] OK那我就自願去讓利
[38:43] 我就拿少一點
[38:43] 我讓你超級舒服
[38:44] 那這樣子你也知道說
[38:46] 反正以後公司的主控權在你身上
[38:47] 其實大家會更認真做
[38:49] 所以這也是某種讓利
[38:50] 那我就覺得
[38:51] 如果今天我是
[38:52] 當時我那個老闆的話
[38:54] 我有一個像我這樣子的員工
[38:56] 但我不敢講自己多屌
[38:57] 可是我真的做事非常認真
[38:59] 就是那一種
[38:59] 怎麼講我是一個懶人
[39:01] 因為我夠懶
[39:02] 所以我都用很聰明的方式去解決事情
[39:04] 就是我會盡量找一些偷懶方式
[39:06] 像那時候我們在管旅館的時候
[39:07] 就是很多人都認識
[39:09] 說旅館你看
[39:10] 你今天要開什麼
[39:11] agoda booking
[39:11] 或什麼一大堆
[39:12] 然後你要自己去
[39:13] 什麼手動開關房
[39:14] 現在就會去多請一些
[39:15] 像我們看同業
[39:16] 就多請一些什麼
[39:17] 控房人員
[39:18] 我就說是超麻煩的
[39:19] 我們幹嘛不要去找系統
[39:21] 所以我就到處去找系統
[39:22] 然後找到那種
[39:23] 還超級便宜的
[39:24] 可能一個月只要
[39:25] 可能臺幣
[39:25] 可能三四千塊
[39:26] 然後他就會幫你
[39:27] 做到控房之類
[39:29] 所以我因為自己很懶
[39:30] 所以我就會找一些工具
[39:31] 所以不管我之前
[39:32] 可能在哪裡
[39:33] 做什麼事情
[39:34] 或者說現在
[39:34] 我都會盡量用那種
[39:36] 最省力的方式去完成一些任務
[39:38] 所以某個程度上
[39:39] 我覺得我幫老闆
[39:40] 也省了很多力跟錢
[39:41] 所以如果我自己發現
[39:44] 像我自己這樣子的人的話
[39:45] 我一定會想辦法把他留下來
[39:47] 我甚至會像包養這個人一樣
[39:48] 你要車是不是
[39:49] 我會買給你
[39:50] 那有多少錢
[39:51] 買給你
[39:51] 年輕人一定馬上就暈船
[39:53] 你要房子是不是
[39:54] 我幫忙你出頭款
[39:55] 像我自己現在
[39:56] 就是會有這樣子一個想法
[39:57] 我就覺得說
[39:58] 我真的找到能力的人
[39:59] 我一定會把你包下來
[40:00] 因為人才是超級重要的事情
[40:02] 可是就是
[40:03] 那時候的老闆不懂這件事
[40:05] 但也沒關係
[40:05] 也因為他用很摳門的方式對我
[40:08] 所以我學會了這一課
[40:09] 我就知道說
[40:10] 那以後我絕對不可以這樣子
[40:12] 因為會讓一些人很失望之類的
[40:14] 所以像我們在節目上
[40:16] 有幫一些交易的同業
[40:18] 或尊敬偉大哥的人
[40:20] 來幫我們徵人
[40:21] 為什麼就是幫他
[40:22] 為什麼其他蠻多交易室的
[40:23] 可能拜託徵人
[40:24] 不好意思
[40:25] 因為你們薪水開太低
[40:27] 因為我自己就曾經
[40:28] 是拿過薪水的人
[40:29] 我就覺得說
[40:29] 你不要整天跟人家賣夢
[40:31] 說什麼你可以學到東西
[40:32] 或撒小
[40:33] 沒有人要聽這個
[40:34] 特別是像新一輩的年輕人
[40:35] 他有一句我妹跟我講的
[40:37] 以前的工作是養家活口
[40:39] 現在的工作是實踐自我
[40:40] 你跟他講說
[40:42] 你要給他股份什麼
[40:43] 他寧願早點下班
[40:44] 所以現在的人的構造不一樣
[40:45] 你不要整天跟他賣夢
[40:46] 說你可以學到多少東西
[40:47] 認識多少人
[40:47] 你如果真的像你講的這麼屌的話
[40:50] 你薪水就不會開這樣
[40:51] 我真的覺得這樣
[40:52] 或者說你真的這麼摳門的話
[40:53] 那人家不按工作也是非常合理的
[40:54] 所以對
[40:55] 就是不要當一個摳門的人
[40:56] 這真的很重要
[40:57] 下面一位ZW
[41:00] MK大大你好
[41:01] 感謝您分享優質節目
[41:03] 想聽你對MBTI跟星座的想法
[41:05] 最近越來越多人
[41:06] 因為把我是什麼什麼性格
[41:09] 所以怎麼樣當藉口
[41:10] 覺得很糟
[41:11] 自己爛了怪MBTI跟星座
[41:13] 根本就腦殘
[41:14] 祝您績效長紅諾亞
[41:16] 安哥平安感謝
[41:17] 大家會討厭這種聰明的小朋友
[41:19] 聰明的小朋友會被討厭
[41:20] 聰明的小朋友會被排擠
[41:22] 除了MBTI之外
[41:24] 我覺得像原生家庭
[41:26] 也被過度的濫用
[41:28] 反正自己鳥
[41:29] 就都是原生家庭
[41:30] 怪爸媽
[41:31] 怎麼爸媽沒有給你錢
[41:32] 然後別人只要做起來的
[41:33] 一定是什麼富二代
[41:35] 你在社群上要看很多種人
[41:36] 所以我還是建議大家
[41:37] 不要劃社群
[41:38] 像我自己
[41:38] 我跟妳講
[41:39] 我社群的操作方式很有趣
[41:41] 現在Facebook反而
[41:42] 某種程度上變成
[41:43] 是我同溫者
[41:43] 因為Facebook就老實講
[41:44] 現在在用的都老人家
[41:45] 所以老人家跟我比較接近
[41:48] 價值觀比較接近
[41:48] 我比較不會不舒服
[41:49] 可是我只要去劃一些
[41:50] 比較年輕的社群
[41:51] 不管是什麼TikTok
[41:52] 抖音
[41:53] 然後或是Friends
[41:55] 我都覺得說渾身不對勁
[41:57] 所以很多時候會把它刪掉
[41:58] 可是因為有時候
[41:58] 大家就會轉貼給我說
[41:59] 那個誰又在講你什麼子彈巧克力
[42:01] 我就把它抓下來再看一下
[42:03] 然後看一下之後
[42:03] 我又會皺眉頭
[42:04] 我又再把它刪掉
[42:05] 所以就很受不了
[42:06] 雖然我知道說演演算法
[42:08] 它本身是會推
[42:09] 就是你可能想看的東西
[42:10] 可是我跟你講
[42:11] FREZ的演演算法
[42:12] 它是會很過分的
[42:13] 故意推一些很有爭議性的東西給你
[42:15] 它不只是推你有興趣的東西
[42:16] 它是推有爭議的東西
[42:18] 然後讓你生氣
[42:19] 它就是把這個讓你生氣
[42:20] 也視為是某種那種情緒的spike
[42:22] 然後所以推東西給你
[42:24] 所以你看久會生氣
[42:25] 是很合理的
[42:25] 那我能夠說
[42:26] 工具本身是中性的
[42:28] 就是MBTI
[42:29] 我覺得還是蠻有趣的
[42:30] 像那些什麼I人跟E人
[42:31] 那個其實真的還蠻準的
[42:33] 那它一定也某個程度
[42:34] 有它的效用
[42:35] 可是如果說你把自己
[42:36] 身為一個擊敗人
[42:37] 然後去包裝成說
[42:38] 是因為你的MBTI
[42:38] 星座
[42:39] 或你的原生家庭
[42:40] 那你就是擊敗人
[42:41] 去紅杆
[42:42] 所以我想法是這樣
[42:43] 我跟你的觀點是類似的
[42:45] 那下面一位
[42:46] 好
[42:47] 東區茶哥哥弟在留言
[42:49] 我是N年前
[42:50] 9man裡抓詐騙的條子
[42:52] 感謝猛工有料節目
[42:54] 讓我不會常被割韭菜
[42:56] 進出股市也比較有方向
[42:57] 我無法向大家股市賺
[42:59] 但也常賣飛
[43:00] 但您的觀念
[43:01] 讓我有錢賺少賠錢
[43:02] 我就心滿意足了
[43:03] 那祝孟公和聽眾
[43:05] 闔家安康
[43:06] 世事順心
[43:06] 我們非常感謝這個浩
[43:07] 這個條子大大
[43:08] 那非常感謝你協助打炸
[43:10] 因為家打炸
[43:11] 真的是一個
[43:12] 吃力不討好的事情
[43:14] 特別是我自己看過好幾次
[43:15] 就進去銀行裡面
[43:16] 那發現說那些被騙的
[43:17] 我心意已決
[43:18] 他就是用盡全力要被騙
[43:20] 警察勸他
[43:21] 航員
[43:22] 行長都出來
[43:23] 他還覺得說
[43:24] 你在阻撓他賺錢
[43:25] 他還覺得說
[43:25] 你們為什麼一直擋我
[43:26] 所以這些人
[43:27] 因為他們
[43:28] 雖然我也非常檢討受害者
[43:30] 可是這些受害者
[43:31] 他們已經是干擾到
[43:33] 我們所謂的
[43:34] 就是不會被詐騙
[43:35] 會被人家講正常的
[43:36] 現在用詞都很小心
[43:38] 觸動一些人敏感神經
[43:39] 就是我們的生活
[43:41] 真的都被影響到了
[43:42] 因為這些銀行
[43:42] 要去防止這些人
[43:44] 所謂的被詐
[43:44] 所以你看我們家
[43:46] 可能去領個錢
[43:46] 什麼都被當賊看
[43:47] 或什麼要轉個賬
[43:48] 有時候也很麻煩
[43:49] 所以還是希望
[43:51] 可以儘快的去降低詐騙的問題
[43:54] 我有時候覺得是要構造改革一下
[43:56] 不應該是用這種過度保護的方式
[43:58] 因為過度保護
[43:59] 你就注意到說
[44:00] 這些人他就是想被騙
[44:02] 你要去擋他也很難
[44:03] 就算他這一關沒有被騙
[44:04] 我們就問這個號
[44:06] 鴿子大大或是其他在業內
[44:08] 大家現在摸著自己的軟帶
[44:10] 摸著自己的隨便
[44:11] 反正就是你自己捫心質問
[44:13] 是不是就算他在這裡沒有被騙
[44:15] 你也知道他會在其他地方被騙
[44:17] 就是他的智慧
[44:19] 就是沒有辦法守住這筆錢
[44:20] 甚至有些詐騙企業
[44:21] 他們講的話算超靠北
[44:23] 可是是有道理的
[44:24] 就是他去把那些
[44:25] 認知不足的人錢騙出來
[44:26] 然後流動到市場裡面
[44:28] 幫助經濟流動
[44:29] 我說覺得真的是這樣
[44:30] 特別是我們自己在做股票
[44:31] 我們不要都只講別人
[44:32] 講自己就好
[44:33] 有時候你就發現說
[44:33] 你年輕的時候
[44:34] 為什麼會犯那些錯
[44:35] 為什麼有些交易會賠到大錢
[44:37] 為什麼有些交易
[44:38] 你會賺的不夠多
[44:39] 因為你就是認知不夠
[44:40] 認知不夠
[44:41] 你只要在市場裡面
[44:43] 持續的去跑
[44:43] 或說在外面拋頭露臉
[44:45] 你自然就會把那個錢
[44:47] 跑到你認知的地方
[44:48] 你認知高你就越來越有錢
[44:49] 你認知低你就是活該賠錢
[44:51] 就我們自己看我們逛也知道說
[44:52] 那時候賠錢就是因為認知不夠
[44:55] 道聽途說
[44:56] 完全相信土或什麼的
[44:58] 那都不是太好的事情
[44:59] 慢慢的後面自己就磨練出來
[45:01] 就知道說
[45:01] 反正你要把自己認知水準提高
[45:04] 那個財富自己就會慢慢的累積
[45:05] 所以如果是真的是那種
[45:07] 鐵了心要被騙的
[45:08] 你發現他就算沒有在這地方栽培
[45:10] 他也會跑去別的地方給人家騙
[45:12] 所以辛苦這些從業人員
[45:14] 那也希望我們可以儘早去降低
[45:16] 這類的管制
[45:17] 因為反正他們終究是被騙掉
[45:19] 那你幹嘛要把一些正常的生活也搞壞掉
[45:21] 下面一位
[45:21] KR Chen
[45:23] 從幾年前就準時收聽愛大節目
[45:25] 謝謝愛大觀念分享
[45:26] 收穫不少
[45:27] 小弟們在醫院工作
[45:28] 好多人的據點都是臨時畫上
[45:31] 媽媽常跟我說
[45:31] 想象死掉的隔天
[45:33] 世界都還是在執行
[45:34] 一切沒有任何的不一樣
[45:35] 所以好好享受生命吧
[45:37] 就覺得一陣鼻酸
[45:38] 自己也還在學習這件事情
[45:40] 祝福愛大也能夠愛著自己的生活
[45:42] 愛著Lisa 諾亞 安哥 還有Choco
[45:44] 可以的話也請您祝福我的家人
[45:46] 還有寶貝RY
[45:48] 平安健康愛你
[45:50] 祝你們平安健康愛你
[45:51] 我覺得這位母親
[45:53] 講的東西蠻有智慧的
[45:55] 就是說你今天掛掉的時候
[45:56] 老實講
[45:57] 你以為自己多重要
[45:58] 你在公司裡面的時候
[45:59] 沒有你不行
[46:00] 其實真的沒有人
[46:01] 是不能被取代的
[46:02] 你可能不愛惜自己的身體
[46:04] 然後你掛掉
[46:05] 對你的家人
[46:05] 可能會難過一陣子
[46:07] 當然可能一輩子
[46:08] 想要這件事情
[46:08] 都會變成是家裡的一個陰影
[46:10] 可是大家生活都是繼續
[46:11] 所以最好的方式
[46:13] 就是你要持續的去參與著
[46:15] 不要去想要說什麼
[46:16] 你死了
[46:16] 會有人幫你立碑
[46:17] 你就只能夠去體驗每一天
[46:19] 那確實就像這個KR Chen講的
[46:21] 就我自己本身
[46:22] 也還在學習這件事情
[46:23] 因為我是一個
[46:24] 就像是在臺通訪問所提到的
[46:27] 也蠻多人把這件事情
[46:28] cue出來討論
[46:29] 我覺得確實這樣
[46:30] 就我感受不太到快樂
[46:32] 然後很多時候
[46:33] 然後接下來說
[46:34] 像最近這個低軌衛星
[46:35] 真的幫我帶來極好的一個報酬
[46:38] 我覺得很好笑
[46:39] 就是我過去的
[46:41] 大概幾個月
[46:42] 有一段時間交易
[46:43] 沒有這麼順的時候
[46:44] 覺得說
[46:44] 這個沒比有搞到
[46:46] 這種500到800
[46:47] 就已經還蠻不錯
[46:48] 我就覺得說會高興
[46:50] 雖然可能你搞到之後
[46:51] 然後後來
[46:52] 下一次你又不會高興
[46:54] 可是那時候我就覺得說
[46:55] 反正就先重新的穩住
[46:56] 然後這樣慢慢做
[46:58] 結果這個低軌衛星一搞
[46:59] 是就超多
[47:01] 真的超多
[47:01] 可是老實講
[47:02] 我沒有覺得任何的開心
[47:04] 所以我覺得我很虧
[47:05] 就是我不會感覺到開心
[47:06] 我只會感覺到痛苦
[47:08] 所以變得我每一天
[47:10] 都一直在感覺到痛苦
[47:11] 然後或是很煩躁
[47:12] 但好在其實我的老婆
[47:14] 她很常講說
[47:15] You are a fucking miserable person
[47:16] 就是我是miserable
[47:17] 我甚至有時候
[47:18] 會把我自己的miserable
[47:19] 帶給別人
[47:19] 你對自己的要求很高
[47:21] 然後你的心情不好
[47:22] 你就影響到別人
[47:23] 所以我其實一直在改這件事情
[47:24] 然後外加像A君
[47:26] A君也幫我改變了超級多事情
[47:27] 因為A君是一個超級樂天的
[47:29] 我跟大家講
[47:29] 超好笑
[47:30] 他明明是還在學習的
[47:32] 他明明資產這麼小一個
[47:34] 就那種超級迷你小資
[47:35] 還在累積的階段
[47:36] 他竟然給我怎樣
[47:37] 因為他被我帶出國一起過來
[47:40] 然後他在飛機上面
[47:41] 他看了這個網路之後
[47:43] 他就說我不要做
[47:44] 他會把所有東西都賣掉
[47:45] 然後是我最近跟他講說
[47:46] 某一支股票
[47:47] 你一定要有一點
[47:48] 你一定要有
[47:49] 反正我買很多
[47:50] 你也不要怕
[47:50] 你就跟著買一些
[47:52] 然後他才勉為其難的
[47:53] 他還不說什麼買很大的不為
[47:55] 他說就點個幾張
[47:56] 我想說我買到這麼多
[47:58] 然後你才給我點個幾張
[47:59] 你帶來幹嘛
[48:00] 他就說反正現在不就是放假
[48:01] 放假為什麼要這麼拼
[48:02] 所以其實我超羨慕他
[48:04] 就是他可以超級chill
[48:05] 然後他也不會有那種
[48:07] 不知道就是什麼成家的壓力
[48:08] 或什麼的壓力
[48:09] 有的沒有的
[48:10] 他就覺得說反正生活
[48:11] 就是每一天都要開開心心的
[48:14] 教育上
[48:14] 很多時候
[48:15] 就是我兒子
[48:16] 都比較喜歡找他
[48:17] 因為就會覺得說
[48:18] 找他是
[48:19] 我覺得小朋友
[48:20] 感覺是出來
[48:21] 就他比較chill
[48:22] 然後他比較不會
[48:23] 像我兒子有時候
[48:24] 他可能開始
[48:25] 一直尖叫
[48:25] 或是生氣什麼
[48:26] 他就會被我訓一下
[48:27] 我就跟他說
[48:28] 不給這樣子
[48:29] 可是像A君
[48:30] 就會跟他說
[48:31] 我媽去解決問題
[48:32] 你用叫的是
[48:34] 沒有辦法解決問題的
[48:35] 我來陪你解決問題
[48:36] 所以這個時候
[48:37] 我兒子還是會
[48:38] 繼續在那邊叫
[48:39] 可是他就是
[48:39] 陪他解決問題之後
[48:40] 然後後來就看
[48:41] 他們就抱在一起
[48:42] 就相親相愛了
[48:43] 可是我比較偏向是
[48:44] 我想要立刻的去制止你在那邊叫
[48:46] 雖然我已經沒有用
[48:47] 可能以前父子被用扁的或什麼的
[48:49] 可是我還是某個程度上
[48:51] 是我想要制止這個小朋友
[48:52] 而不是去把它化解掉什麼
[48:54] 所以我覺得就光是這些態度
[48:55] 就影響到你的每一天
[48:57] 就是你到底
[48:57] 怎麼樣看待你的日常生活
[48:59] 有時候你可能覺得說
[49:00] 心情被破壞了
[49:01] 你就今天都不想出門
[49:02] 可是其實你到底心情要被破壞什麼
[49:04] 就相較於前幾年
[49:05] 你現在不是過得不錯嗎
[49:06] 你現在有小孩
[49:08] 小朋友健健康康的
[49:09] 老婆也健健康康的
[49:10] 你現在的生活
[49:11] 可能是很多人會想要羨慕的生活
[49:13] 那你為什麼每天還非常的憂鬱呢
[49:15] 你為什麼沒有把你的每一天都過好
[49:17] 所以對啊
[49:18] 都我也還在學習
[49:18] 但我覺得我現在有越做越好
[49:20] 非常感謝各位聽眾的一個幫忙
[49:21] 下面一位
[49:22] 漢
[49:23] 孟公好愛您愛諾亞愛安哥愛臺股
[49:25] LLID露出當晚
[49:27] 因為hashtag
[49:28] 後面的數字沒有公佈
[49:30] 去OPGG也找不到您的ID
[49:32] 就用圖片中露出的好友ID
[49:34] 一個一個猜是什麼字
[49:35] 然後一場一場對戰記錄找線索
[49:37] 比看報告還認真
[49:38] 找了一個小時終於找到了
[49:40] 那找到的時候比搶到掌庭光盛還爽
[49:42] 光是那一天可以搶到不簡單
[49:45] 因為那個Alicia發了一個報告之後
[49:46] 直接就鎖住了
[49:47] 我自己是沒有去搶
[49:49] 因為我家是半休閒模式
[49:50] 跟我身邊朋友去搶
[49:51] 我都說不好搶
[49:52] 然後她說
[49:53] 雖然這樣的態度超變態的
[49:57] 很對不起
[49:57] 但還是想稽查老公的戰機
[50:00] 老公可以告訴我
[50:02] 484第一個送出交友邀請的聽眾嗎
[50:04] 我叫平肯齊愛寧
[50:07] 然後我待會去看一下
[50:08] 如果是你的話
[50:08] 我們就加個好友吧
[50:10] 因為念在你這麼有毅力了
[50:12] 就蠻屌的
[50:12] 你看他去找人家ID
[50:13] 他可以把它當成是研究股票去做
[50:16] 這種人就已經是成功的了
[50:17] 那這邊就拜拜
