[00:00] 欢迎收听谷爱,我是星风公,本集节目由NordVPN赞助
[38:39] 什么超级富二代
[38:40] 或者说什么
[38:41] 游国的儿子
[38:42] 但是我可以想象
[38:43] 就是如果说
[38:44] 我今天把一个孩子的
[38:45] 他成长可以获得的成就感
[38:47] 全部拿走
[38:48] 反正他要什么
[38:49] 我全部都给他
[38:49] 我会毁掉他人生
[38:50] 这也是我过去
[38:51] 跟大家分享过很多次
[38:51] 那个其实是我用键盘
[38:53] 我用幻想
[38:54] 我去想象说
[38:55] 今天假设
[38:55] 有一个人可以把所有东西
[38:57] 都给我玩
[38:57] 其实我觉得人生不好玩
[38:58] 但體驗過RO之後
[39:00] 我覺得這就是線上遊戲美好的一點吧
[39:02] 你真的會發現說你那個理論是真的
[39:04] 因為你直接直上裝備之後
[39:05] 這個角色現在壞掉了
[39:06] 我根本就不會想玩他
[39:08] 因為沒有意義啊
[39:08] 幹我打什麼東西都莫名其妙死掉
[39:10] 所以就變成說我只有掛網的時候
[39:12] 會把他打開來看著我
[39:14] 我看著心情也爽
[39:14] 然後在那邊餵我的寵物
[39:16] 可是我正在玩遊戲
[39:17] 我都還是會用其他的小號去玩
[39:19] 所以我建議大家就是
[39:20] 如果你真的要課金的話
[39:22] 你就是去課一個核心裝備就好
[39:24] 然後接著其他東西都慢慢打
[39:27] 然後卡關
[39:27] 类似说我今天可能要浓一些素材
[39:29] 我发现卡关
[39:30] 我在花可能RB
[39:32] 然后去买人家的时间
[39:33] 这样是OK的
[39:34] 但不要一次直上
[39:35] 这是我的建议
[39:36] 那下面一位
[39:38] 狗抠第一人
[39:39] 我来还愿了
[39:41] 孟公安
[39:41] 我是上次许愿考上研究所
[39:43] 捐10%的生活费
[39:44] 后来被你调到30%的妹妹
[39:46] 那虽然当时听到当下觉得有点靠杯
[39:49] 后来想想觉得
[39:50] 感谢孟公给我做好事的机会
[39:52] 那最后我捐了40%出去
[39:53] 那希望孟公能够
[39:55] 祝我研究所一切顺利
[39:56] 那也祝大家世事顺心圆满
[39:58] 身心健康
[39:59] 不多说了
[39:59] 我要去买吐司了
[40:01] 不是啊
[40:02] 这个美眉真的是他妈的不知足
[40:04] 你看我帮你加码之后你上了
[40:06] 搞不好你没有加码就没上
[40:08] 不一定啊
[40:08] 谁知道
[40:09] 但总之你上了
[40:10] 上了就感恩惜福
[40:11] 但我觉得他屌的一点就是
[40:12] 他觉得我很靠北
[40:13] 可是他这边确实捐了40%
[40:14] 这个就是大方
[40:16] 大方的人我觉得都会有很好的安排
[40:18] 那也希望你顺利
[40:19] 下面一位
[40:20] 猪猪料
[40:21] 地方新手爸妈向爱达问好
[40:23] 爱达您好
[40:23] 谢谢您分享家庭生活和投资心得
[40:25] 在一月底生了宝宝之后
[40:27] 目前和先生一起轮班
[40:28] 每三个小时起床喂奶
[40:30] 常常超累
[40:31] 但吸一口女儿香香的头
[40:32] 又觉得很幸福
[40:33] 那想起来当川普的声音
[40:35] 不给那么长啦
[40:37] 祝3月22号生日的先生
[40:39] 我呀生日快乐
[40:40] 身体健康
[40:41] 量子股暴涨喷飞
[40:43] 布丁尽快睡过夜
[40:45] 平安长大
[40:46] Happy Birthday
[40:47] 不知道我现在那个喉咙
[40:49] 对对对
[40:50] 确实
[40:50] 我觉得前几集听众蛮屌的
[40:51] 就是我自己身边的朋友
[40:53] 然后跟有听众都有私讯
[40:54] 我说你感冒了
[40:55] 我没有感冒啊
[40:57] 但后面我就是真的感冒了
[40:58] 那现在已经在康复的阶段了
[41:00] 所以今天川普可能不太像
[41:02] What a wonderful person
[41:04] 还是猴狼要对的时候才是对的
[41:06] 那总之希望你们平安顺利的把小朋友养大
[41:09] 下面一位
[41:10] 梦宫好帅
[41:11] 五星吹捧
[41:12] So why let the gods decide my fate
[41:14] I demand a child by combat
[41:16] 这是哪一部剧啊
[41:19] 我看过这个台词
[41:21] 最近想开Futu或IB
[41:23] 那想请教老公
[41:24] 不知道推荐哪个
[41:25] 那另外Circle
[41:26] 这间公司有什么看法
[41:27] 祝主委全家平安顺心感谢
[41:29] 我是有开IB啦
[41:30] 我觉得IB用起来
[41:31] 是还蛮不错的
[41:32] 那富途牛牛的话
[41:33] 也是有一些身边的朋友
[41:34] 有开的
[41:34] 但因为我不熟
[41:35] 就不去做太多评论
[41:36] 那Circle这家公司我不熟
[41:37] 下面一位
[41:38] YenYenCC
[41:39] 太常跳过
[41:40] 下面一位
[41:41] Vivio
[41:42] 西班牙的称字
[41:44] 为什么都不吐沙
[41:46] 那推荐主委一款游戏
[41:47] 明朝
[41:48] 剧情真的很顶高
[41:49] 但是第一章前面到黑暗
[41:51] 要忍一下
[41:52] 地图优美
[41:53] 战斗也很爽
[41:54] 缺点是男角色设计很敷衍
[41:56] 推荐使用电脑游玩
[41:57] 另外帮自己许愿一下
[41:58] 看着同事一个个离职去更好的公司
[42:00] 就觉得自己很废
[42:01] 希望今年能够顺利找到更好的工作
[42:04] 如果愿望实现
[42:05] 也工作顺利
[42:06] 愿意捐款十万元
[42:08] 祝诸位二宝和全家能够一直健康
[42:10] 非常感谢这位兄弟的推荐
[42:12] 这款我那时候只有把它点开来玩一下
[42:14] 后来是电波不对
[42:15] 应该说我有事没事就会喜欢
[42:18] 把下最新的游戏都找来玩看看
[42:19] 我发现我喜欢的游戏
[42:21] 最后面都还是要
[42:22] 比较偏向魅行的
[42:23] 然后特别是女角的设计
[42:24] 要很好看
[42:25] 所以像他讲说
[42:26] 男角设计不好看
[42:26] 那个我就觉得说
[42:27] 干 瓜屁书
[42:28] 因为我根本就不看男神
[42:29] 我只觉得女角
[42:30] 要设计很好看
[42:31] 我就有兴趣
[42:31] 那对
[42:32] 听说是一款很不错的游戏
[42:34] 只是就是对我的电波
[42:35] 是没有对到
[42:36] 那希望你可以一些顺利
[42:37] 希望你可以
[42:37] 找到更好的工作
[42:39] 希望你可以平安健康
[42:41] 下面一位
[42:42] 三胚龙
[42:43] 我姓江 接力江
[42:45] 感谢孟公每周固定的分享
[42:47] 今年寒暑假
[42:47] 有打算去哪里玩吗
[42:48] 爱宁接力棒
[42:49] 今年有想要去
[42:52] 跟单自己一个朋友
[42:54] 他跟我讲说
[42:54] 他们的家人
[42:56] 就是每年都会去夏威夷
[42:57] 那小朋友就会去那边
[42:58] 什么夏令营
[42:59] 他说夏威夷是一个
[43:00] 超级棒的地方
[43:01] 那我已经听他讲了多次
[43:03] 听到我有点受不了
[43:04] 所以我前几天
[43:04] 有跟我老婆讲说
[43:05] 还是我们今年的暑假
[43:06] 去夏威夷一下
[43:07] 所以有可能会去夏威夷
[43:09] 那没有意外的话
[43:10] 也还是会
[43:11] 欧洲朋友家
[43:12] 就是跟脚注一样都会去
[43:13] 那再来可能
[43:14] 跑个什么
[43:15] 日本韩国跟巴厘岛
[43:16] 就是有事没事
[43:17] 心情对了
[43:18] 就会买个票
[43:19] 就会去一下
[43:19] 所以就大概这样
[43:20] 没有什么特别的规划
[43:21] 不一定
[43:22] 如果接下来两个月崩盘的话
[43:24] 我跟你讲
[43:24] 我哪都不去
[43:25] 我只去睡纸箱
[43:26] 下面一位
[43:27] 肉燥宝贝快乐长
[43:29] 念我念我念我
[43:30] 艾大你好
[43:30] 流米亚测试
[43:31] 希望孟公可以用川普的鱼音包
[43:33] 跟我老公说
[43:34] 老公Charlie上班辛苦了
[43:36] 我和宝贝肉燥
[43:37] we love you
[43:39] 顺利顺利顺利顺利
[43:40] 下面一位
[43:41] 让他生让他生
[43:42] 孟公好
[43:43] 想知道你跟Lisa育儿的时候
[43:44] 遇到小孩不受控
[43:45] 导致大人心态崩溃的时候
[43:47] 会是什么样的状态
[43:48] 会吼小孩吗
[43:49] 那都是我们调整自己的心态
[43:50] 那另外请问
[43:52] 孟公会谴责missAV的坏坏盗版仔吗
[43:55] 这个我们可能不方便去做评论
[43:57] 但我自己还是鼓励大家
[43:59] 就是要去使用正版
[44:00] 老实讲
[44:01] 是不是很多人都在看盗版A片
[44:02] 我小时候是不是有看过盗版A片
[44:03] 一定都有
[44:04] 到现在很多人传来传去
[44:05] 那都是盗版的
[44:06] 还是会点到
[44:07] 只是我们一定是要鼓励大家
[44:09] 都是使用正版
[44:10] 其实我现在也都是
[44:11] 几乎都是使用正版
[44:12] 几乎应该说99.9%
[44:15] 盗版的这样子
[44:16] 因为你会发现说
[44:17] 就会想到说
[44:18] 有一个说法很经典
[44:19] 以前是没有钱玩正版
[44:22] 现在是没有时间去看盗版
[44:24] 我直接正版的网站
[44:25] 一切妈的
[44:26] all you can eat
[44:27] 太方便了
[44:28] 所以大概是这样
[44:29] 那再来讲说
[44:29] 会不会去吼小孩
[44:30] 我自己是不会吼小孩
[44:31] 那我甚至是不打小孩
[44:33] 那这个是我对自己的一个要求
[44:35] 那当然我不排除
[44:36] 孩子会不会到青春期之后
[44:38] 还是会吼一下
[44:38] 因为我已经听过很多青春期家长
[44:40] 讲那个小朋友
[44:40] 完全不可理喻或什么的
[44:42] 我会尽量去
[44:43] 怎么讲
[44:43] 我会去设定一个预先的目标
[44:45] 我还希望说
[44:46] 小朋友跟我去有争执的时候
[44:47] 我就会去躲到别人房间
[44:48] 我去忍耐一下
[44:49] 我就知道说
[44:50] 他现在脑子还没发挥好
[44:51] 还没发育好
[44:52] 所以呢
[44:52] 我就稍微让他一下
[44:54] 我会去这样做预设
[44:55] 但是我不排除
[44:56] 有可能我真的会爆气
[44:57] 但至今我都没有爆气
[44:59] 像我太太
[45:00] 她有时候就是小朋友不拐
[45:02] 什么罚站打屁股
[45:03] 还是会
[45:03] 可是像我的话
[45:04] 就是完全都不做这些事情
[45:06] 但可能是因为我老婆
[45:07] 做这些事情
[45:07] 所以我不用做这些事情
[45:08] 所以我们就在成别人数的量
[45:10] 所以不要讲风凉话
[45:11] 好像说我们是天使
[45:12] 没有
[45:13] 就只是自己会觉得说
[45:14] 我会尽量用
[45:15] 所谓的比较好的方式
[45:17] 不会对小朋友
[45:18] 造成阴影的方式
[45:19] 我不排除就是会不会
[45:20] 后面有可能
[45:21] 假设你真的有时候急热
[45:22] 或气流什么的
[45:23] 当然还是有机会会这样子
[45:25] 只是我给大家一个建议
[45:27] 就是我们都知道
[45:28] 我们在情绪极端的时候
[45:29] 有时候会做出一些
[45:29] 让自己后悔的事情
[45:30] 所以其实要避免的是
[45:31] 让自己的情绪跑到极端
[45:33] 其中一个很有用的方式
[45:34] 就是离开现场
[45:35] 有时候你当下
[45:36] 真的是超生气
[45:37] 你会想跟人家输赢
[45:38] 可是你只要稍微的
[45:39] 离开现场
[45:40] 你就会发现说不值得
[45:41] 或是我这样做的代价太大了
[45:43] 所以我很多时候是当我发现
[45:45] 就像说像大儿子有时候在那边哭闹
[45:47] 闹很久的时候
[45:48] 我就会直接把我的孩子
[45:49] 可能交给现场的妈妈
[45:51] 或者说姑姑之类的
[45:52] 我就去旁边
[45:53] 或者说他们甚至自己会发现
[45:54] 他们就会来介入
[45:55] 或者像有时候我老婆很累
[45:56] 生病的时候
[45:57] 然后儿子在那边闹
[45:58] 我就会说我先带出去一下
[46:00] 虽然这个几率比较低
[46:01] 一般可能
[46:02] 我比较忙的几率是比较高
[46:03] 然后他们把他带走
[46:04] 我觉得是大家会互相这样cover一下
[46:06] 所以都让我们一直维持一个
[46:08] 很好的一面在孩子面前
[46:09] 我觉得这个可能是
[46:11] 目前家庭都还算和谐的一个主因
[46:14] 下面一位
[46:14] 太想跳
[46:18] 下面一位
[46:19] 所以智商特粉在讲自己是不是
[46:33] 我想说在骂我吗
[46:34] 我的X有一个异音
[46:37] 在我右边的OE门
[46:39] 它关起来之后
[46:40] 开车会有那个
[46:41] 皮革摩擦的声音
[46:43] 然后那个让我超级狗干不爽
[46:45] 重点是全家只有我听得到
[46:46] 所以这是我最不爽的地方
[46:47] 就我知道说是我自己过敏
[46:49] 那可是我真的很受不了
[46:50] 所以那时候每次回去的时候
[46:52] 我真的非常感谢
[46:52] 在Tesla那边
[46:53] 我们的地方听众
[46:54] 然后他是真的都
[46:56] 努力的协助我去处理
[46:57] 他的意思是讲说
[46:58] 这个很多时候就是
[46:59] 反正我们就是有公差嘛
[47:00] 那很多都不处理之后
[47:01] 我尽量帮你处理
[47:02] 所以他都会请那个师傅
[47:03] 可能帮我抹油啊
[47:04] 或弄什么的
[47:05] 然后最后一次我是真的受不了
[47:06] 我就是有点跟他表态说
[47:07] 反正不弄的话
[47:09] 老子就去那边拆
[47:10] 我就破保了算了
[47:11] 太不爽
[47:11] 然后他就说
[47:12] 好我再帮你处理看
[47:13] 然后这次就直接把我
[47:14] 把右边的
[47:16] 反正就是OE门下端
[47:18] 接着接壤内部车子的
[47:20] 下面皮革
[47:21] 我又帮他真皮来仿皮
[47:22] 反正就直接把那一块
[47:23] 整个拆掉换一个
[47:24] 然后就没有声音了
[47:25] 所以从此我的Model X Play
[47:27] 就是进入一个
[47:27] 我觉得现在是完美的状态
[47:29] 我超级喜欢这台车
[47:29] 非常喜欢
[47:30] 可是那时候那个闸链
[47:31] 其实我也超级不爽
[47:32] 那当然就是特斯拉
[47:34] 大家都知道说
[47:34] 它就是有名的
[47:35] 会有一些公差
[47:36] 有一些小缺陷
[47:37] 那理论上呢
[47:38] 其实到民间的厂
[47:39] 都可以把它弄好
[47:40] 那只是问题就是说
[47:41] 你弄了可能
[47:41] 它就破你保之类
[47:42] 所以这个就是
[47:43] 很难搞的一点
[47:43] 那希望你可以
[47:45] 尽早的处理完成
[47:46] 那我是有处理完成
[47:47] 只是那时候
[47:48] 为了那个东西
[47:49] 我大概回去了四五次
[47:50] 反正只要每次
[47:51] 有路过有回去
[47:52] 我都会说
[47:52] 拜托你们可以帮我看一下
[47:53] 我付钱给你都好
[47:55] 拜托帮我把它弄掉
[47:55] 然后只是都
[47:56] 一直都没有弄掉
[47:57] 直到有一次
[47:58] 刚好要回去
[47:59] 忘记是要弄什么东西
[48:00] 还是要更新什么东西的时候
[48:01] 然后拜托他
[48:02] 才把它整个换掉
[48:03] 然后就好了
[48:03] 所以给你参考一下
[48:04] 下面一位99543
[48:06] 感谢主持人的优质好节目
[48:08] 想在马的一年
[48:09] 感谢贵人李总
[48:11] 十年前用心栽培
[48:12] 持续的扮演黑脸
[48:14] 羞辱我的报告
[48:15] 而且斩钉截铁的说
[48:17] 我不适合投资
[48:18] 想尽办法把我逼退
[48:19] 在被fire掉之后
[48:20] 我的上进心喷发
[48:21] 不小心把资产翻了十倍
[48:23] 没有李总的帮忙
[48:24] 或许没有今天的我
[48:26] 祝福您在未来能够投资顺心
[48:28] 最后祝主委平安喜乐
[48:29] 这位兄弟是一个极好的示范
[48:32] 其实我自己现在
[48:33] 也都是向这位兄弟的心态去看齐
[48:35] 我都会把我过去
[48:36] 遇到不好的事情都视为说
[48:37] 不就还好你们那时候看我没有
[48:40] 或者说你们把我踩在地上
[48:41] 或者说你们对我超级抠门
[48:42] 或什么的
[48:43] 我才有今天
[48:43] 因为如果没有你的话
[48:44] 我搞不好现在就还在那一边之类的
[48:47] 就是因为我可能那时候
[48:48] 真的太不爽了
[48:49] 我出来
[48:49] 我也怀疑我自己可不可以生存之类的
[48:51] 然后周边发现说
[48:51] 其实我是可以的
[48:52] 所以要感谢生命中的一切
[48:54] 不管是好的或是坏的
[48:55] 所以这位兄弟的
[48:58] 记好了
[48:59] 下面一位
[48:59] 这期节目就到这边
[49:00] 拜拜
[49:01] 古埃认证的边缘人
[49:03] 继续五星吹捧
[49:03] 继续留言测试XVI
[49:05] 上上集MK谈到IG分享
[49:08] 说孩子之外的事情
[49:09] 不值得一提
[49:10] 真的是太霸气
[49:11] 太外露
[49:11] 太黯然
[49:12] 太销魂了
[49:13] 周末跟兄弟们录影
[49:14] 比我女儿更小的
[49:15] 梅娅穿着继承自女儿的衣服
[49:18] 脑海里都是女儿的
[49:20] 那个时期可爱的画面
[49:21] 愿你我与
[49:22] 聂阮阵线联盟的伙伴们
[49:24] 都可以在这条路上
[49:25] 遇到更好的自己
[49:26] 孩子都平安快乐
[49:27] 对其实我那个
[49:28] 不是要去讲一种
[49:30] 可能有些人会以为说是怎样
[49:31] 好像说有孩子能屌
[49:32] 不是就是
[49:33] 因为有时候我也会想
[49:34] 奇怪我朋友
[49:35] 他们都会去分享说
[49:36] 今天吃什么
[49:37] 今天去哪个旅馆玩
[49:38] 或是今天在什么
[49:39] 哪个飞机上拍什么照
[49:41] 因为我都觉得说
[49:42] 那些东西我没有找回来
[49:43] 因为你看你们每个人都有
[49:44] 也不是说孩子你们没有
[49:46] 但孩子至少是
[49:46] 每个人的孩子是特别的
[49:48] 每个人孩子都不一样
[49:49] 所以我觉得说
[49:50] 就是假设说
[49:51] 因为IG就是一个
[49:52] 你想分享人生highlight的东西
[49:53] 我就不知道
[49:54] 我人生有什么highlight
[49:55] 就除了这个孩子
[49:56] 感觉养得白白胖胖的
[49:57] 好像做得还蛮不错之外
[49:58] 其他的
[49:59] 至少就我有的东西
[50:00] 每个人都有
[50:01] 我做过的事情
[50:01] 谁没有做过
[50:02] 或者说
[50:03] 我玩的游戏
[50:05] 我的工作什么的
[50:06] 也是一堆人都有
[50:07] 这都没什么特别
[50:08] 所以觉得
[50:08] 好像真的没有什么东西
[50:09] 可以跟人家分享
[50:10] 或许不知道
[50:10] 甚至有想过说
[50:11] 还是把这个社群关掉
[50:13] 但有时候也觉得蛮好笑
[50:15] 就是可能在社群上面
[50:16] 跟大家分享一些
[50:17] 生活中的点滴之类的
[50:19] 那会有一些意外的收获
[50:21] 那包含说
[50:22] 像那时候孩子遇到一些问题
[50:23] 也是非常感谢
[50:24] 这些追踪者们
[50:25] 他们都有试着要去帮我解决
[50:27] 那有些就真的帮我解决问题
[50:29] 或什么的
[50:29] 所以就是留着这样的一个桥梁
[50:31] 但因为我真的不知道
[50:32] 要分享什么东西
[50:32] 我觉得人生没有什么好分享
[50:34] 我如果真的要去贴的话
[50:35] 就一些什么公仔
[50:36] 一些卡牌什么的
[50:38] 就很无聊
[50:39] 其实我是一个很无聊
[50:41] 很可悲的人
[50:42] 所以就只有那些东西
[50:44] 可以分享一下
[50:44] 好那这期视频拜拜
