[00:00] 歡迎收聽谷海,我是小萌公,本期節目由Sally贊助
[35:58] 這個演算法在你的腦袋裡面
[36:00] 因為你看多之後
[36:00] 你就大概知道
[36:01] 就類似說那銀行行員
[36:02] 你很難去解釋說
[36:03] 為什麼他摸這個50塊
[36:04] 他立刻知道是假的
[36:05] 或者說這個鈔票是假鈔票
[36:06] 一摸就知道
[36:07] 因為他每天在摸鈔票
[36:08] 所以他就是會知道
[36:09] 然後再來講說
[36:10] 其他有經驗的部分
[36:11] 看是哪個環節
[36:12] 如果說是股票的話
[36:14] 那廢話每天在搞
[36:15] 那可以沒有經驗
[36:15] 如果是一些生意的話
[36:17] 其實也是還在學習
[36:18] 有時候會被搞到
[36:19] 有時候是成功
[36:21] 反正就是慢慢的往前推
[36:22] 所以對我來講
[36:23] 就是每件東西都是累積
[36:24] 就慢慢累積
[36:25] 很多時候會很自卑
[36:27] 就是會在想說
[36:28] 其實我的東西
[36:28] 根本就不夠好
[36:29] 或者說我的認知材不夠高
[36:31] 或什麼的
[36:31] 但你回頭一看
[36:32] 就發現說其實我進步很多
[36:33] 所以最終就是
[36:34] 還是跟過往的自己比較
[36:35] 然後持續地去練習
[36:36] 那再來講說
[36:37] 有沒有那種突然間開竅
[36:39] 或是思維進階的
[36:40] 醍醐灌頂經驗
[36:40] 有
[36:41] 一般就是可能真的遇到
[36:42] 那種非常強的
[36:43] 大哥大姐長輩
[36:44] 有時候被他們
[36:45] 打通一些觀念之後
[36:46] 就突然間覺得自己變聰明瞭
[36:47] 可是那個都是
[36:48] 怎麼講
[36:49] 他還是有一個
[36:49] 他那個圖不是說
[36:52] 就直接是斜上衝上去
[36:53] 他是說衝上去
[36:54] 又還是會掉下來
[36:55] 就是你一瞬間覺得說
[36:56] 我好像懂了超多東西
[36:57] 那去運用之後就發現說
[36:58] 沒有你還是會卡關
[36:59] 然後接著呢
[37:00] 你還是會慢慢的再爬上去
[37:01] 就是你被人家打通之後
[37:02] 還是有差
[37:03] 那大革新的時刻的話呢
[37:05] 我覺得都是劇烈的痛之後
[37:07] 就像說某個策略做得非常差
[37:10] 差到你已經想要去尋死
[37:12] 當然我用詞可能比較極端
[37:13] 可是有時候我真的會這樣想
[37:15] 就是這麼簡單的東西都做不好
[37:17] 還是我乾脆去跳一跳
[37:18] 就是我會對自己的要求
[37:19] 可能比較極限一點
[37:22] 所以會把自己搞得很累那就是在那一種你已經覺得說OK我現在就是廢物而且我會跟自己講話那種人你會發現說奇怪你跟兒子走路你突然就想說我他媽就是一個廢物就你自己嘴巴突然講
[37:33] 然後你兒子還說
[37:34] 爸爸你剛才講什麼
[37:35] 就是類似這樣
[37:37] 就是你已經
[37:37] 在裡面可能轉很久
[37:39] 然後想說
[37:39] 怎麼會呢
[37:40] 我規劃明明就不是這樣
[37:41] 為什麼他會是這樣子
[37:43] 然後或是一些
[37:43] 不知道就讓你非常阿雜
[37:45] 非常難過
[37:46] 非常痛苦
[37:47] 然後可能不知道
[37:48] 你就感覺說漫無天日
[37:49] 就是到底
[37:50] 像何敬明講的
[37:51] 這個市場還要虐我
[37:52] 到什麼時候
[37:53] 然後可是呢
[37:54] 再等一下子之後
[37:55] 突然間就
[37:56] 哇
[37:56] 豁然開朗
[37:57] 就痛了
[37:57] 你就突然間
[37:58] 又理解一些東西
[38:00] 那但很遺憾的告訴各位
[38:01] 就是當你感覺
[38:02] 可能理解什麼東西
[38:04] 你會想說
[38:04] 好像說
[38:05] 電影的終章了嘛
[38:07] 當幸福來敲門
[38:08] 最後明年
[38:08] 已經為了死命
[38:09] 是露出微笑抱著兒子
[38:10] 你以為
[38:11] happy ending
[38:12] 沒有
[38:12] 還有下一個挑戰
[38:13] 不好意思
[38:13] 這個人生還沒有走完
[38:15] 所以就類似這樣
[38:16] 但確實我發現
[38:17] 每次有那種
[38:18] 大跳級的時候
[38:19] 都是在極端的痛苦之後
[38:21] 這個極端痛苦
[38:22] 比如說有個點
[38:22] 它是一個他媽的面
[38:24] 它是會持續一陣子
[38:26] 然後諸事不順
[38:27] 然後突然間
[38:28] 靠北我怎麼就走出來了
[38:29] 然後覺得自己變得更強
[38:31] 大概是這樣的一個感覺
[38:31] 稍微跟你分享
[38:32] 下面一位
[38:32] 為什麼評論區要取暱稱
[38:35] 白氣球揍黑氣球一拳
[38:37] 黑氣球很生氣
[38:38] 決定告白氣球
[38:40] 兩分
[38:42] 最安您好
[38:43] 我是經濟系大學生
[38:45] 最近家人一直在勸我
[38:46] 到處去上一些投資課
[38:47] 但我對投資課三個字
[38:49] 聽到就有很大的反感
[38:50] 我目前每個月
[38:51] 只有買定期定額3000元一個月
[38:53] 預期外的投資策略
[38:54] 也是按產業來做投資而已
[38:56] 而且家人希望未來
[38:57] 可以做全職股票投資
[38:59] 可是我覺得自己應該不太適合
[39:01] 因為我現在看到
[39:02] 我的定期定額跌5%
[39:04] 我就可以難過一天
[39:05] 我覺得我自己應該不太適合
[39:07] 全職股票
[39:07] 想問挨大想法
[39:08] 這個蠻有趣的
[39:09] 這一位年輕人
[39:11] 他自己很瞭解自己
[39:12] 可是他家人卻不知道
[39:14] 不夠了解他的感覺
[39:15] 家人跟大家相反
[39:17] 因為一般的家人聽到
[39:18] 你要去做股票
[39:18] 你要去賭博
[39:19] 你要去把錢賠掉
[39:21] 他竟然是鼓勵他要去上課
[39:23] 要去學投資
[39:23] 所以他的家人也蠻特別
[39:25] 他也蠻特別
[39:26] 果然是一個特別的家庭
[39:27] 我覺得認知自己是很重要的
[39:29] 其實怎麼講
[39:31] 我們在市場裡面
[39:32] 我們都說文人相親
[39:34] 各個派別的
[39:35] 就會去講說自己的派別最屌
[39:36] 互相嘴挨嘴秀
[39:38] 可是按照我們自己的經驗
[39:39] 因為我們也是剛好幸運
[39:41] 節目的量體大
[39:42] 遇到的人夠多
[39:43] 還真的就是各行各業
[39:45] 我們講各行各業就是說
[39:46] 都一樣在股票裡面
[39:47] 可是可能做儲置的
[39:49] 做指數的
[39:50] 做那種槓桿執壓的
[39:51] 做CB的
[39:52] 做IPO的
[39:54] 這些人都有
[39:54] 就是每個都有人在做
[39:56] 然後每個都有做得很好的人
[39:57] 那如果你今天去跨別人的行業
[40:00] 你一個架頭的跑去做什麼格日從
[40:02] 你可能也不一定做了
[40:03] 就算有人手把手教你
[40:04] 你也不一定會
[40:04] 所以它有點像是說
[40:06] 雖然這個可以把它視為是某種行業
[40:08] 可是行業裡面其實有超多不同的面向跟做法
[40:11] 那找到適合的方法確實是很重要
[40:13] 那定期定額就已經會因為回吐不太舒服的話
[40:17] 那做主動投資
[40:17] 對就是理論上會更加的不舒服
[40:20] 可能要去做那種
[40:21] 不知道
[40:21] Hedging類別的
[40:23] 就是說多空都做的話
[40:24] 那你的回吐就可以壓得很低很低
[40:26] 可是那是一個
[40:26] 真的需要花時間去學的功夫
[40:29] 所以如果你發現自己不適合這個的話
[40:31] 你不用因為家人講了
[40:32] 你就一定要去嘗試
[40:34] 我覺得反過來就是
[40:35] 你自己知道自己的路線跟方向在哪
[40:37] 你就持續的堅持下去
[40:38] 我覺得這就OK了
[40:39] 就是絕大多數人
[40:40] 他其實不一定
[40:40] 要進去股票市場
[40:42] 做所謂的全職投資
[40:43] 這也是我很常去強調的
[40:44] 就是其實很多的
[40:46] 所謂公司派
[40:47] 他們有的錢是比這些市場派
[40:49] 全職做股票的人都還要多
[40:50] 很多很多
[40:51] 他們有在做股票
[40:52] 可是他們會講自己是什麼
[40:53] 全職投資嗎
[40:53] 他不會講自己全職投資嗎
[40:55] 甚至我自己也是往這個方向去努力
[40:57] 我不是很常跟大家說
[40:57] 我的目標是資本家嗎
[40:59] 我才不想要出去跟他講說
[41:00] 什麼老子是做交易的
[41:01] 以前講這個可能很帥
[41:02] 可是現在講自己做交易
[41:03] 我覺得並不是一個特別帥的事情
[41:04] 而且很多是打這個名字
[41:06] 然後在做一些造造狀片的事情
[41:08] 所以我覺得資本家
[41:09] 是一個比較屌的東西
[41:10] 就是如果有一天可以
[41:11] 不用交易這麼多
[41:12] 因為我還是喜歡去買賣
[41:13] 去作業的東西
[41:14] 但是不用這麼多
[41:15] 你放著他就一直生錢
[41:16] 一直去母雞帶小雞
[41:18] 越養越大的話
[41:18] 那是我的目標
[41:19] 所以我還是希望
[41:20] 是往那個方向去努力
[41:22] 所以不是每個人
[41:23] 都一定想要去
[41:23] 整天在那邊弄股票
[41:25] 因為你整天在那邊弄
[41:26] 你有可能就
[41:26] 還是另外一種打工
[41:27] 只是可能對
[41:28] 但有機會賺的錢是比較多
[41:29] 只是那是一個路線的選擇
[41:32] 他還是這樣
[41:32] 下面一位
[41:33] WBSHJEJE
[41:34] 偶爾懷念以前的暴走版捱打
[41:36] 大哥今年賠了2000多萬美
[41:38] 財力真的是深不可測
[41:42] 但是大哥比較粗
[41:44] 讓人家給到
[41:46] 所以他還是比較厲害
[41:48] 能夠爆倉爆這樣
[41:49] 他的水應該超深的
[41:51] 像我大概
[41:51] 我不知道
[41:52] 我不用爆到2000多萬美
[41:54] 我大概爆個300萬500萬美
[41:56] 我就已經會收手就停了
[41:58] 就覺得說
[41:58] OK我他媽是一個廢物
[41:59] 我要稍微休息一下再回來打
[42:01] 他可以這樣沿路尻下去
[42:02] 他應該是真的生不可測
[42:04] 然後再講說
[42:04] 聽說這很靈
[42:06] 能否用川普塞在滾的聲音
[42:08] 助我一輩子上廁所都有衛生紙
[42:11] Wow that's a lot of toilet paper
[42:13] Too much toilet paper actually
[42:14] 好下面一位
[42:15] 明年要當媽媽的小子
[42:17] 留言密碼測試
[42:18] 嗨大家好
[42:19] 我家人都是你的忠實粉絲
[42:20] 已經聽了五年以上
[42:21] 希望可以用猛男的語音
[42:22] 包住澳洲打工的家人
[42:24] 終於生日快樂
[42:25] 今天聲音真的不太行
[42:26] 猛不太起來
[42:28] 就猛男wanna be
[42:29] 這樣可以吧
[42:30] 下面一位
[42:30] JHH底線73
[42:32] 希望可以被唸到part 5
[42:33] 孟公好第五次留言
[42:34] 我是從EP331就開始聽的
[42:36] 聽眾榮軒
[42:37] 這個月底要結婚了
[42:38] 想來這邊沾沾喜氣
[42:39] 得到孟公的祝福
[42:41] 那謝謝男友一直來包容跟照顧
[42:42] 未來是要多多指教
[42:43] 百位男友雖然沒有聽你的節目
[42:45] 但是我放的時候
[42:46] 他偶爾還是會聽
[42:46] 最有印象的是肌肉猛男的聲音
[42:48] 那祝福孟公一家
[42:49] 身體健康平安快樂愛您
[42:51] 那希望這個容軒跟男友
[42:54] 新婚快樂一切平安
[42:56] 那希望可以百年好合
[42:57] 下面一位
[42:58] 你看我就不會祝你媽早生貴子
[43:00] 那以前我
[43:01] 有時候我想祝人家早生貴子的時候
[43:03] 我自己都會hold一下
[43:04] 因為我知道不是每個人都想要生小孩
[43:06] 然後現在他媽外面在嘴說什麼
[43:07] 我叫大家生小孩
[43:08] 你要不要生幹我屁事
[43:10] 氣紅杆
[43:11] 下面一位
[43:11] 烤鹽的皮卡丘
[43:13] 屁屁卡卡丘丘
[43:15] 想請教一下
[43:15] 你自己看供應鏈的氣候
[43:17] 會去拆解海關的進出口資料嗎
[43:20] 比如說import yearly這種
[43:22] 看OEM出貨給誰來推敲
[43:24] 當然你有各種資訊可以去看
[43:27] 都是好的
[43:28] 只是一般我不會這麼麻煩
[43:29] 我直接看Forecast就好
[43:31] Forecast怎麼樣拿到
[43:32] 那就是要透過一些管道
[43:33] 以前沒有Forecast的話怎麼辦
[43:35] 就是用推的
[43:36] 上下游之間
[43:37] 有沒有一些說法的出爐
[43:39] 或是有沒有一些共識
[43:40] 我們就可以找到一些線索
[43:41] 用推的其實也是
[43:42] 可以獲得蠻多資訊
[43:44] 只是就比較費力
[43:45] 現在有時候就是拜託人家
[43:46] 那個Focus讓你文向一下
[43:48] 或者他稍微跟你講一下
[43:49] 就大概知道
[43:50] 現在狀況怎麼樣
[43:51] 或是甚至我覺得
[43:52] 有一段時間需要看那個
[43:53] 我現在也不太需要看那個了
[43:54] 我就已經大概知道說
[43:55] 反正接下來就要拉貨
[43:56] 拉什麼東西
[43:57] 那已經是一個
[43:57] 感覺上的東西
[43:59] 所以我覺得這個節目
[44:00] 也幫助我成長非常多
[44:01] 感謝各位聽眾的支援
[44:02] 那當然你有什麼資訊源
[44:04] 你可以去運用它
[44:05] 而且只有你有
[44:06] 或者說很少人有
[44:06] 那都是你的優勢
[44:07] 下面一位
[44:08] ASDJXBDJ
[44:11] 12月21號天氣晴
[44:12] 來先奉公許願
[44:13] 12月21號臺北天氣晴大太陽
[44:16] 讓我們婚禮順利
[44:17] 謝謝孟公大
[44:18] 祝孟公全家身體健康
[44:20] 績效大波生
[44:20] 這種東西不用許願
[44:21] 這種東西我現在直接幫你
[44:22] 看Apple天氣就好了
[44:23] 明天臨口下雨
[44:27] 不好意思
[44:27] 然後看看臺北是怎麼樣
[44:28] 苗栗的話
[44:29] 明天可以
[44:31] 你去苗栗結婚
[44:32] 不要去臺北
[44:33] 臺北我看明天
[44:34] 下一句85%
[44:36] 你去苗栗
[44:37] 你去苗栗的話明天可能是OK的
[44:39] 那下面一位
[44:40] 老婆說我腳很臭
[44:41] 挨大大安大挨大您好
[44:43] 想向您請教正二的問題
[44:45] 臺子齊正二基金長期表現略有差異
[44:47] 是因為臺子齊的正義價差
[44:48] 還是差在基金每次轉倉當下的價差狀況
[44:52] 當然他的轉倉的時間什麼一定有差
[44:55] 然後再來就是他的費用也會有影響
[44:57] 第二個選擇正二ETF的邏輯
[44:59] 是優先關注哪一個面向費用率
[45:02] 基金在轉倉的執行技巧
[45:03] 是我會看費用率
[45:04] 然後第三個
[45:05] 是否有特別選擇
[45:06] 某些時機點進場
[45:07] 例如在除全席季
[45:09] 市場有明顯的逆加差時
[45:10] 才會佈局這個
[45:11] 沒有就是在
[45:11] 大家在那邊挨挨叫的時候
[45:13] 才會去買這個工具
[45:13] 平常我不會去買這個
[45:14] 所以其實就是說
[45:16] 我知道有很多正二派
[45:17] 整天就是說
[45:17] 你就是無腦all in這個
[45:18] 只是我不是這樣的派別
[45:19] 我沒有辦法無腦
[45:20] 去all in任何一個東西
[45:21] 所以大家跟你講我的想法
[45:23] 他說菜雞研究了半天
[45:24] 沒有什麼想法
[45:25] 望挨大開市住
[45:26] 何家平安順心愛你
[45:27] 為愛你
[45:27] 下面一位
[45:27] 大安區關係為EP599的後續
[45:30] 捱打您好
[45:31] 得知太太的病況當下過度的衝擊
[45:34] 所以崩潰
[45:34] 後續有就醫改善精神的狀況
[45:36] 自己也確實自私
[45:38] 沒有將太太的生命做優先考量
[45:40] 而感到由衷的慚愧
[45:41] 彼此多次溝通之後
[45:43] 都能夠體諒並同理彼此的立場
[45:45] 那託您的福
[45:47] 太太已經移除子宮恢復良好
[45:48] 我們的婚姻關係更堅定
[45:50] 也正在考慮代孕
[45:52] EP599後
[45:53] 催上的網民咒罵我耳男快去死
[45:55] 唯獨您沒有先入為主的批評
[45:57] 且鼓勵我看開
[45:59] 未經他人苦默勸他人善
[46:00] 非常感謝您的溫暖和善良
[46:03] 未來如果有好訊息
[46:04] 再跟您分享喜悅
[46:05] 這個兄弟我有印象了
[46:07] 那如果可以跟太太
[46:09] 做好這種生命中的妥協跟和解
[46:11] 那絕對是最好的一件事情
[46:13] 那要繼續牽著手走下去
[46:15] 對我不會在第一時間
[46:17] 就去幹剿人家
[46:18] 因為我知道
[46:18] 你知道我第一時間
[46:20] 如果他下午去罵你的話
[46:21] 一定會很多人戰勝
[46:22] 那很多人為了流量
[46:23] 也會做這樣的事情
[46:24] 只是我真的不太喜歡做這種事
[46:26] 我不太喜歡造孽
[46:27] 我不太喜歡去做貪快
[46:29] 或者說貪便宜的做法
[46:31] 我會覺得說
[46:32] 就是每一個聽眾
[46:33] 你只要真心來留言
[46:34] 好好留言的
[46:34] 我都把各位視為是我的朋友
[46:36] 所以我就好好的回答你
[46:37] 我很遺憾就是說
[46:40] 你的這個說法在那邊給他幹爆
[46:41] 可是你會被幹爆也是合理
[46:42] 老實講
[46:43] 就是那個說法是真的比較缺乏同理心
[46:45] 但我其實也是知道說
[46:46] 你一定是有這個心理上
[46:48] 沒有辦法接受的東西
[46:49] 才會講出這樣子
[46:50] 聽起來是很無賴的話
[46:51] 因為我自己也有時候
[46:52] 會講出一些感覺是很無賴的話
[46:54] 那只是因為沒有攝影機在旁邊
[46:55] 隨時拍著而已
[46:56] 那如果真的被人家公佈出來
[46:58] 或像你這樣講出來
[46:58] 有時候也會被罵
[46:59] 可是你知道說
[47:00] 每個人都有這樣的時刻
[47:01] 都有可能講錯話
[47:02] 或者說很後悔的一些時刻
[47:04] 但沒有關係
[47:05] 反正只要最後面有講開就好
[47:08] 那要繼續好好的陪伴跟照顧老婆
[47:10] 那希望你們後面順利
[47:12] 下面一位
[47:12] 被動收入
[47:13] 請教育兒問題
[47:14] 那想問孟宗大大
[47:16] 諾亞是睡你們中間嗎
[47:17] 生小孩後最大的困擾
[47:18] 以前是先了就讀
[47:19] 現在是等他睡著了
[47:20] 大家也都睡著了
[47:21] 沒得讀
[47:22] 那想問同為捏軟陣線的弟兄夢工
[47:25] 都怎麼安排孩子該自己睡的時機點
[47:27] 20750
[47:29] 他會面那個不知道什麼密碼
[47:30] 應該這樣講
[47:32] 我現在是跟我的大兒子睡
[47:34] 然後我老婆是跟我的小兒子睡
[47:36] 那平常我們就是會分開
[47:37] 那當然大兒子在睡覺的時候
[47:39] 他希望媽媽也在
[47:39] 所以就是我們兩個會陪他睡
[47:41] 然後後來媽媽就必須要去照顧小兒子
[47:43] 因為我兩個兒子呢
[47:44] 都有一樣的問題
[47:44] 就是他晚上的睡眠的品質不是太好
[47:47] 他們都會哭醒
[47:48] 所以如果說放在一起的話
[47:50] 就完蛋
[47:50] 就兩個互相把對方弄醒
[47:52] 所以就必須要分開來
[47:53] 那什麼時候會讓他自己睡呢
[47:55] 我覺得再大一點
[47:56] 再大一點
[47:57] 或者說甚至他自己提的話
[47:59] 我覺得讓他去自己睡
[48:00] 或最晚的話
[48:01] 我認為可能是
[48:02] 小六吧
[48:04] 國一吧
[48:05] 國一你應該自己睡啦
[48:06] 你可能要開始交女朋友了
[48:07] 至少一定要讓他
[48:08] 稍微獨立一下
[48:09] 既然他不獨立
[48:10] 我也要幫忙他稍微獨立一下
[48:11] 下面一位
[48:12] Happy Bay Coco
[48:14] 最愛呆哦
[48:15] 主委好
[48:16] 要來跟你坦誠
[48:17] 那天看完你上脆槍驗童仔
[48:19] 晚上就夢到跟您的戀愛劇了
[48:21] 關號哈哈太man
[48:23] 馬的超不爽瞎
[48:24] 越來越扭曲的社會
[48:25] 只敢攻擊辛苦的父母
[48:26] 跟前二葉還沒有長好的小孩
[48:28] 赤龍赤鳳的你最好還敢惹
[48:30] 詐騙掉多少一生積蓄的同夥
[48:33] 卻還在新聞留言稱讚是漂亮奶妹
[48:36] 到底多病態啊
[48:37] 還是真的父母都去貼文生貼紙護體啊
[48:39] 好啦回來告白
[48:40] 連我那超愛吃醋的呆老公
[48:42] 關號通常都會討厭我喜歡的男生
[48:44] 竟然都某天稱您夢宮我老公
[48:47] 果然足為了魅力男女通知
[48:49] 那注意要雙寶一起在育兒的生活中
[48:52] 成長得寧門一家幸福平安
[48:54] 我覺得現在社會有一點病態
[48:56] 或者說其實就是FRED這個平臺
[48:57] 他很喜歡去推播一些
[48:59] 當然演演算法他本身都是中性的
[49:02] 就你喜歡看什麼就推什麼
[49:03] 只是我有注意到
[49:04] 就算我故意去刷一些正向的東西
[49:06] 他還是會一直推一些
[49:07] 就像很多人在聚焦的東西
[49:08] 那FRED他是一個蠻負面的平臺
[49:11] 那所以你會看到有很多那種快樂寶貝
[49:13] 他們會分享一些
[49:14] 就基本上他生活過得不好
[49:16] 所以他就是去假定說
[49:17] 別人一定過得不好
[49:18] 他會幫你受到冒犯
[49:20] 然後他會教你怎麼帶小孩
[49:21] 即便他自己沒有小孩
[49:23] 即便他生活過得跟一灘死一樣
[49:25] 他卻想要去指導你
[49:26] 生活該怎麼樣過
[49:27] 然後他會去網暴你
[49:28] 然後網暴你之後呢
[49:29] 你嗆他會有一堆跟他一樣的人
[49:31] 被演演算法推過來
[49:32] 然後就變成說
[49:33] 正常人在那邊
[49:34] 或者說有智商
[49:36] 有智慧人在那邊
[49:37] 感覺你是少數
[49:38] 你會被一堆人給欺負
[49:40] 這種感覺
[49:40] 那我就看到很多媽媽被欺負之後
[49:42] 後來因為我平常不會去滑那個
[49:43] 然後那一天剛好滑到
[49:44] 我就騙嗆
[49:45] 我就稍微噴他一下
[49:46] 然後一噴就發現說
[49:47] 其實正常人都還是有嘛
[49:49] 就像那個甘道夫
[49:50] 從東邊的山頭跑出來
[49:51] 還是有很多洛漢軍會出來嘛
[49:53] 感謝大家都出來相點
[49:54] 好那再見
[49:55] 拜拜
