[00:00] 欢迎收听谷外,我是星梦高空,本集节目由NordVPN赞助
[39:19] 我是蛮喜欢这样子
[39:20] 因为我觉得去买一些实体片
[39:22] 比较占空间
[39:23] 当然这见仁见智
[39:24] 有些人可能会喜欢实体片
[39:26] 他觉得这个才有在收藏东西
[39:28] 但如果可以选数位版本的话
[39:30] 几乎我现在都是会选数位版本
[39:32] 好 大家这样
[39:33] 下面一位Tom
[39:34] 新竹低收入互留
[39:36] 挨大端午佳节平安
[39:37] 远古集数有听到挨大表示
[39:39] 机器人相关类股等期财报开出
[39:41] 确定盈利在布局也不迟
[39:43] 近期相关工具机类股
[39:45] 机器人相关占比明显有在提升
[39:47] 想询问挨大对这类族群的看法
[39:49] 和未来的展望
[39:50] 谢谢祝周末挨打全家顺心平安
[39:52] 吃到好吃粽子不踩雷
[39:54] 非常感谢也祝你端午快乐端午平安
[39:57] 当然这个族群我们在过去的节目有稍微的跟大家提一下其实最早那时候我们注意到说Tesla这边在Optimus这边量有上去的时候那时候我自己有去做相关布局不然说有跑去买一个
[40:09] 日股在做胁迫减速器的
[40:10] 只是当然后来就蹲很久之后
[40:12] 才表态
[40:13] 因为日股那边的部位
[40:14] 我也是当成说
[40:15] 就是一个某种避险
[40:16] 反正日本这边放点钱
[40:17] 然后美国这边放点钱这样
[40:18] 所以其实我自己是本身
[40:20] 没有在密集的盯这个族群
[40:22] 我那时候只是想找一个
[40:23] 有梦够香的东西进去放着
[40:25] 所以一般来讲
[40:26] 这种族群我不会用财报去做验证
[40:28] 我觉得你应该是
[40:29] 有可能是听错
[40:30] 我的意思是说
[40:31] 就是这种东西一定会在半梦半醒之间就先炒
[40:34] 然后后来等到有营收获利出来的时候
[40:37] 都还是有机会很大一段
[40:38] 因为如果机器人是真的话
[40:39] 不可能营收获利刚出来就下去
[40:41] 类似说其实
[40:42] 自己最近跟身边朋友在讨论说
[40:44] 不管是被动元件或这些市场的题材
[40:46] 我们认为说它会走到什么时候
[40:48] 就是一定会有一段是
[40:49] 后面营收持续的爆发
[40:51] 然后记得大家在猜
[40:52] 下个月营收会不会再更高
[40:54] 然后那个喷段就一定会存在
[40:56] 就是那个喷段完之后
[40:57] 你再去讨论说市场会结束
[40:59] 其实是比较合理的
[41:00] 那只是当然前面有一大段
[41:01] 一定就是说
[41:02] 你根本看不到营收跟获利
[41:03] 可是它就一直涨
[41:04] 所以以机器人的角度来讲
[41:06] 那时候会去买这些东西
[41:08] 就是基本上是还看不到的时候
[41:09] 就已经下去买了
[41:11] 那只是当然你要那种很保守的人
[41:12] 你可以等到稍微看得到
[41:14] 就像你讲的
[41:14] 就最近其实
[41:15] 因为我们身边朋友会去call一些IPC
[41:18] 然后或者是一些那种工业零件的厂商
[41:21] 他们都有开始去提到说
[41:22] 他们的终端的客人
[41:24] 有些他们不一定自己看得到
[41:25] 他们也是要透过客户的回馈
[41:27] 因为觉得说他可能出一个module
[41:28] 到客户那边去
[41:29] 然后客户是拿去拼机器人
[41:31] 那个是客户要跟他讲
[41:32] 他才会知道
[41:33] 他自己并不知道这是机器人的元件
[41:34] 所以这样就回退的话
[41:35] 是注意到说在一些公司
[41:37] 开始有出现低个位数比例的
[41:39] 一个所谓的机器人的占比
[41:40] 那当然这个是一个
[41:42] 未来也可以注意的
[41:43] 我觉得也算是可能中大型的趋势吧
[41:45] 那只是现在还在一个
[41:47] 类似萌芽的阶段
[41:48] 所以未来的展望的话
[41:49] 一定是正向看多
[41:50] 可是呢我自己还是比较喜欢
[41:52] 就是我有机会在半年
[41:54] 一年內看到營收大量灌爆的東西
[41:56] 這也是我們市場
[41:57] 可能去做一些比較偏交易的
[41:59] 會去鎖定的東西
[42:00] 因為這個可能才長比較快
[42:02] 當然並不是說
[42:03] 覺得這些東西不能夠賣
[42:05] 你有信心
[42:06] 你有耐心要去蹲的
[42:07] 我覺得以下的時間點去考
[42:09] 應該都不是什麼太大的問題
[42:10] 下面一位
[42:11] 晚睡
[42:12] 請問夢工喜歡南部粽還是北部粽
[42:15] 還有夢工除了紅酒
[42:16] 平常最喜歡的飲品是什麼
[42:17] 謝謝
[42:18] 紅酒其實是新加入的一個東西
[42:19] 就像前面的清酒一樣
[42:21] 所以它並不是
[42:22] 我长期平常最爱的东西
[42:24] 我长期最爱的东西
[42:25] 就是肥宅快乐水可乐
[42:26] 那我特别喜欢的是
[42:28] 林卡可乐
[42:28] 当然这个可能会被一些人
[42:30] 视为是异端
[42:31] 他们会讲说
[42:31] 我妈的肥宅快乐水
[42:32] 一定要喝原版的
[42:34] 但我是真的觉得
[42:35] 林卡的口味比较好
[42:37] agree to disagree
[42:38] 就会讲说
[42:38] 你这个叫做没有品味
[42:39] 没有口味
[42:40] 我他妈我在觉得
[42:41] 你没有口味
[42:41] 但反正总之
[42:42] 我觉得林卡是最好喝的饮料
[42:44] 那各种林卡的东西
[42:46] 我都认为是上天
[42:47] 给我们的一种安慰
[42:48] 就是你可以去喝这些汽水
[42:51] 可是同时你不用担心变胖
[42:52] 那一样讲这个
[42:53] 就会有人又要来他妈的喂叫
[42:54] 我跟我聊说什么
[42:55] 怎么里面的阿斯巴田
[42:56] 多危险或啥小
[42:57] 但我自己本身是有一大堆医师朋友
[43:00] 他们也会给我建议
[43:01] 那简单一讲就是说
[43:02] 这些蔗糖
[43:03] 这些果糖
[43:04] 你可以很明确的看到
[43:05] 它会怎么样把你杀掉
[43:06] 那阿斯巴田把人家杀掉的东西
[43:09] 其实你没有办法很明确的看到
[43:10] 所以你反正一样都要去喝东西
[43:12] 那你就挑一个
[43:13] 相对对自己身体来说
[43:15] 至少你没有办法立刻的看到
[43:17] 会对你有杀伤力的东西
[43:18] 所以像我自己的话
[43:20] 是选用林卡
[43:21] 包含说林卡的可乐
[43:22] 林卡的维大利
[43:23] 各种林卡的汽水
[43:25] 韩国的那种葡萄汽水
[43:27] 然后跟之前听众推荐的
[43:29] 林卡的乳酸饮
[43:30] 这个都是我们冰箱常备的东西
[43:32] 然后再来就是卖茶
[43:34] 所以其实我日常
[43:34] 最常喝的东西是这些
[43:36] 然后再来就是我很喜欢喝咖啡
[43:37] 所以每天一定会喝咖啡
[43:38] 那红酒的话
[43:39] 过去一阵子
[43:40] 因为我想要迅速的了解它干嘛
[43:42] 所以我花很多钱
[43:43] 跟很多时间
[43:44] 跟很多的肝
[43:45] 然后去快速的扫它
[43:47] 但我现在已经是
[43:47] 回到一个比较健康的状态
[43:50] 大概可能一两天会有机会的话
[43:51] 会拿出来稍微的喝一下
[43:53] 或者说一些聚会会拿出来跟大家分享
[43:56] 那大概是这样的一个频率
[43:57] 所以我并不是整天会把它拿来喝
[43:59] 还是这些日常的饮品是比较常喝的
[44:02] 然后再讲说南部粽还是北部粽
[44:03] 我觉得各有千秋
[44:06] 这个当然不是要去
[44:07] 你知道就是在这个南北大战之间
[44:09] 然后希望去扮演一个香烟的角色
[44:12] 我都喜欢
[44:12] 这我真的觉得就是
[44:13] 每个东西都有它不错的地方
[44:15] 所以很多时候我是不太能够去理解
[44:17] 就是蛮多人可能会在网上去炒
[44:19] 说什么那个餐厅什么过誉了
[44:22] 什么谢谢你帮忙
[44:23] 让我闪雷或什么
[44:24] 我都觉得会去留言讲这些东西
[44:26] 一定都是脑袋不好使的
[44:28] 因为口味是非常主观的东西
[44:30] 而且甚至最后面当
[44:31] 怎么讲就是你吃东西
[44:32] 吃到某个程度之后
[44:34] 因为以前我不敢这样讲
[44:35] 原因是因为我不敢说
[44:36] 我可能懂吃
[44:37] 或者我喜欢吃东西
[44:38] 因为我就是乱吃
[44:39] 可是随着这个年岁增长
[44:41] 其实你说什么各种新兴餐厅
[44:43] 各种大家说屌评的
[44:45] 排队排不到的私厨或什么的
[44:47] 几乎能吃的都吃过之后
[44:48] 会发现
[44:49] 食物有趣的点是
[44:50] 当然有些食物
[44:52] 它就是高水准
[44:53] 然后跟你去吃
[44:55] 会失望
[44:56] 或是会觉得
[44:57] 不好吃的几率是很低
[44:59] 是这样
[44:59] 可是它还是有分时间点
[45:01] 就你不可能
[45:01] 每天都吃一样的东西
[45:02] 有时候你就是要换一下
[45:03] 有时候你就要去
[45:04] 尝试一下不一样的东西
[45:06] 有时候今天就突然间觉得
[45:07] 我想吃个海鲜
[45:08] 有时候连续吃了
[45:10] 好多天海鲜之后
[45:11] 我就突然想吃肉
[45:11] 所以即便一个
[45:12] 可能平常没有这么好吃的餐厅
[45:13] 到那个时候就变很好吃
[45:15] 所以后来对蛮多东西的看法
[45:16] 都会比较偏向是
[45:17] 我只想去散掉那些
[45:20] 真的很有问题的东西
[45:21] 可是如果今天都是
[45:22] 相对品质高的东西
[45:24] 你就不会再去赞说什么
[45:26] 输高输低
[45:26] 因为这就很笨
[45:27] 这就很像是说那种
[45:28] 看球赛的
[45:29] 然后自以为自己是球队里面的人
[45:31] 然后一定要去分
[45:32] 高下跟生死一样
[45:34] 不同时间点
[45:35] 其实你可能会
[45:35] 喜欢的东西都不太一样
[45:37] 反正只要有一定水准以上就OK
[45:38] 所以我觉得以
[45:39] 北部众跟南部众来讲
[45:40] 其实都是高水准的东西
[45:41] 你可能整天吃北部众
[45:42] 下次你也会想吃一点南部众之类的
[45:44] 至少以我的口味是这样
[45:45] 那我知道有些人是比較那種時鐘幫的
[45:47] 他只能夠吃一種東西
[45:48] 那我覺得他們比較可惜
[45:50] 就我覺得這種人是比較可惜
[45:51] 因為你多元的口味就代表說
[45:53] 你對世界的探索可能是更豐富
[45:55] 大概這樣
[45:56] 下面一位
[45:56] 一龍馬
[45:57] 嗨夢宮chika
[45:58] 沒有什麼要問的
[45:59] 想問你坐著尿尿會忘記沖水嗎
[46:01] 我常常忘記沖水
[46:02] 拉屎的時候也常常忘記
[46:05] 這句看病
[46:05] 下面一位spotify
[46:06] 夢宮chika你好
[46:07] 以前聽說你喜歡收集一些美股
[46:10] 那不見得是賺錢
[46:11] 有可能是公司有趣
[46:12] 或是老闆有趣
[46:13] 你就會買一點
[46:13] 那可不可以分享
[46:14] 几间你觉得有趣的公司
[46:16] 那后来也真的为您带来很高的报酬率
[46:18] 谢谢老公
[46:19] 因为我都是有点那种买菜流
[46:21] 其实我家台股也是有点像是买菜流
[46:23] 我台股的股票大概有超过100档
[46:25] 那只是当然
[46:26] 我的资金可能80到90%以上
[46:28] 是集中在前面的
[46:30] 5档或是10档
[46:32] 就最多是这样
[46:32] 那可是呢其他东西我可能
[46:34] 就像有些波段做完的
[46:36] 像那种卫星相关的股票
[46:37] 其实我在1到3月就做完了嘛
[46:39] 可是我就留个几张
[46:40] 那所以因为这样子呢
[46:41] 就是在过去的几年
[46:42] 就台股也累积到超级多这样
[46:43] 只是这些东西
[46:44] 它本质上对你的报酬率
[46:46] 都是没有影响的
[46:47] 甚至你可以直接把这些
[46:49] 上百档以上的标题
[46:50] 就视为某个程度上
[46:52] 你配了10%的大盘在那
[46:54] 就真的就类似是这样子的一个感觉
[46:56] 所以它一般来说
[46:57] 比较难去带来一些惊喜
[47:00] 如果说今天会为我带来
[47:02] 惊喜的公司的话
[47:03] 一定是我可能去买
[47:05] 然后买了蛮多
[47:06] 他又喷
[47:06] 这个我才会吓到
[47:07] 因为其他那种
[47:08] 就是你只留一点点
[47:09] 然后就让他报酬率500%
[47:10] 那已经不影响胜败了
[47:12] 所以以近期的角度来说的话
[47:14] 我觉得就是Marvel
[47:15] 因为本来Marvel回去
[47:16] 我真的只是想要报仇而已
[47:18] 就是我只是觉得说
[47:19] 我怎么可能每次
[47:20] 其实在Marvel我掌握的消息
[47:21] 事后证明都是对的
[47:23] 可是你每次都上不去
[47:24] 怎么可能
[47:24] 然后在第三次远征的时候就成功
[47:26] 然后到下都还抱着
[47:27] 然后都持续的去做进攻
[47:29] 然后这个涨幅是远超自己的想象
[47:30] 其实CPU类股也是
[47:31] 所以这一种会比较偏向是
[47:33] 会让我觉得就是有惊喜
[47:36] 或是有趣的东西
[47:37] 其他东西的话
[47:38] 也不是说什么
[47:39] 我今天去买了之后
[47:41] 我就是不研究
[47:42] 或是不管它
[47:43] 就是我还是会稍微的去看一下
[47:45] 我不会去乱买
[47:46] 我不懂的东西
[47:46] 所以这些有经手过的东西
[47:48] 其实都是自己
[47:48] 会觉得有兴趣的东西
[47:50] 那只是一般来讲
[47:50] 就是真的是最喜欢的
[47:52] 一定就是会买最多
[47:53] 所以其实是言行一致的
[47:54] 就是你真的在看
[47:55] 你真的喜欢的东西
[47:56] 理论上你就要买最多
[47:57] 如果不是这样子的话
[47:58] 那代表说你一定是哪里做错了
[48:00] 所以一般我们在节目
[48:01] 可能很常去提到的一些公司
[48:03] 或是方向
[48:04] 那一般来讲
[48:04] 就是我的喜好之所在
[48:06] 就不会说什么
[48:07] 有一个东西是
[48:08] 我很喜欢它
[48:08] 就只有买两张
[48:10] 干嘛哈拉一大堆
[48:11] 就是不会小小讲话屌屌
[48:12] 这个不是一个好事情
[48:14] 那下面一位Ning
[48:15] 孟公去卡您好
[48:16] 最近因为AI Agent崛起
[48:18] 感觉软体工程师的工作形态
[48:20] 从创作变成校对
[48:21] 甚至面临替代的淘汰感
[48:24] 那这让我担心质押发展
[48:26] 但现在市场对非顶尖的工程师
[48:28] 很不友善
[48:29] 那想请问孟公
[48:29] 若你是老板
[48:30] 你会怎么看待这波AI导致的职务转型
[48:32] 那这种焦虑是过度反应
[48:34] 还是我们真的考虑该换条路走了
[48:36] 那祝福您全家安康爱您
[48:38] 首先在过去一阵子
[48:41] 我们确实有注意到说
[48:43] 在软体的hiring是快速的往下降
[48:45] 但我觉得有点混在一起
[48:47] 去做三料女王的感觉
[48:48] 其实蛮大一部分
[48:50] 是因为在疫情期间的over hiring
[48:52] 然后现在在缓业障
[48:54] 就是说你hire了太多人
[48:56] 像以马斯克进去X
[48:58] 就是一个很简单的案例
[48:59] 就是他裁掉了好像那种七八成的人
[49:02] 然后大家不想说X这个平台死定了
[49:04] 一定没有办法运作
[49:05] 结果还是就是run like a clockwork
[49:08] 完全没有问题
[49:09] 代表说其实他真的有很多的荣源存在
[49:13] 这个是代表说
[49:14] 我不需要这么多的工程师
[49:16] 不是就只是水分太多了
[49:18] 所以当我今天可能去做一些
[49:20] Hackon的这种大杀戮之后
[49:23] 我可能后面还是会持续的去增品
[49:25] 我只是把组织去做调整
[49:26] 所以其实我看待这波
[49:28] 我会用这样的角度去看待
[49:30] 就是可能过去在这些科技厂里面
[49:32] 真的有太多水分
[49:33] 这不是也是什么XMongol
[49:35] 有时候他会发影片讲到的
[49:36] 他会去吐槽一些人
[49:37] 就是说什么
[49:38] 他work from home
[49:39] 或是work from hotel
[49:40] 然后你看我们是什么
[49:41] project manager
[49:42] 那我们就是在这个笔电
[49:44] 去跟工程师沟通
[49:45] 他们要做什么
[49:46] 然后接着呢
[49:47] 我们自己可能稍微会一些
[49:48] 简单的coding
[49:49] 我们要去达成客户的achievement
[49:50] 然后他在那边yes cheers
[49:52] 或是以前不是有很多的工程师
[49:53] 他们最喜欢做的事情
[49:54] 是开箱自己的办公室嘛
[49:56] 就某个程度上来说
[49:57] 你妈你不是太闲
[49:58] 你就不会去做这种事嘛
[50:00] 所以简单来讲就是
[50:00] 科技巨头真的养了一些人
[50:02] 他们是类似像是吸血虫这样
[50:04] 当然我不是说大家是
[50:06] 没有生产力的废物
[50:07] 意思就是说
[50:08] 他其实不需要这么多人
[50:09] 他其实只要稍微的精实一点
[50:11] 或是把我们那种台系的思维
[50:13] 稍微的放进去的话
[50:14] 他会注意到有蛮多人
[50:15] 是可以被砍掉的
[50:16] AI就是一个加速器
[50:17] 去加速让大家明白说
[50:19] 其实我真的是不需要这么多人
[50:21] 可是当我们看到前面的一个
[50:23] Hiring Freeze
[50:24] 然后跟很多人被砍掉之后
[50:25] 现在我们去观察
[50:26] 像是Indeed的数字
[50:27] 或是美国一些
[50:28] 公开有发行的数字
[50:29] 就注意到说
[50:30] 软体工程师的数字
[50:31] 其实是在持续的增加中
[50:32] 为什么
[50:32] 因为大家找到新的定位
[50:34] 会把这些软体工程师
[50:35] 投入一个新的赛道
[50:36] 虽然他做的事情
[50:37] 可能跟过去有一点不太一样
[50:39] 过去你会花很多时间在coding
[50:41] 现在你可能会花很多时间去思考
[50:43] 怎么样做出一个好的产品
[50:44] 然后你把coding
[50:45] 这种比较平常是
[50:46] 重复性的数的工作
[50:48] 交给机器人去做
[50:49] 其实我觉得
[50:50] 这个对于软体工程师的未来来说
[50:52] 是一个更好的事情
[50:53] 就类似说以前你种田是拿
[50:55] 可能不知道产值
[50:56] 或是离地那边搞个半天
[50:58] 然后现在你可能是开一个
[50:59] 机器去弄
[51:00] 当然你需要的人力
[51:01] 是没有这么多
[51:02] 可是你产生的生产力是更多的
[51:04] 那再来就是
[51:05] 你讲所谓的需要的人力
[51:07] 是没有这么多
[51:07] 你是在讲说
[51:08] 以一个同样尺寸的一个土地来讲
[51:10] 你不需要这么多人
[51:11] 可是你可能因为有新的工具的产生
[51:13] 一些荒地下
[51:14] 你也可以去拓荒了
[51:16] 对吧
[51:16] 所以搞不好整体来看
[51:17] 其实市场的需求
[51:18] 市场的TM
[51:19] 跟市场可以产生的价值
[51:20] 是变得更大的
[51:21] 只是大家都只会专注在
[51:23] 很小的东西
[51:24] 就会导致说
[51:24] 我是不是变得不重要
[51:26] 是不是我要被淘汰了
[51:27] 所以像我自己
[51:27] 从一开始也是
[51:29] AI刚出来
[51:29] 我有去思考说
[51:30] 是不是AI会取代跟淘汰什么
[51:32] 可是后来大概不到半年间吧
[51:34] 大概就发现说
[51:34] 我的态度很快就变成是
[51:36] 就可能从2023的下班
[51:37] 或是24
[51:38] 我就开始甚至是很反感
[51:39] 那些整天讲说别人要被淘汰的
[51:41] 我觉得你他妈整天发废文的
[51:43] 你们才是要被淘汰的那些人
[51:44] 其实他并不是一个这种零和的思维
[51:47] 就是如果说你抱着零和思维
[51:48] 去做很多
[51:49] 不管是股票投资
[51:50] 或是质押的规划的话
[51:52] 其实都会很容易错失掉big picture
[51:55] 就是那种真的大钱你会赚不到
[51:56] 你要去思考是这个东西
[51:58] 可不可以产生更多的价值
[51:59] 所以你要我说的话
[52:00] 我不会觉得说
[52:01] 软体工程师要进入一个末日
[52:03] 而是他会有一些组织的重整
[52:05] 就像是像我们看到一些software的类股
[52:08] 其实有在新高的
[52:10] 那也有在右下角的
[52:11] 这个就是市场已经帮你去做出一些
[52:13] 胎肉流强
[52:14] 那一样的道理
[52:15] 就算你今天是看到Hardware这边
[52:17] 也不是所有的Hardware类股
[52:18] 都在右上角
[52:19] 对吧
[52:19] 就是你有八道AI的
[52:20] 你才在右上角
[52:21] 所以如果你可以看懂这件事情的话
[52:23] 就会知道说
[52:24] 你可以harness这些
[52:25] AI工具的软体工程师
[52:27] 我不觉得会是太大的一个问题
[52:29] 只是你要像过去那样子
[52:30] 就是可能可以藏在组织里面
[52:32] 去过快乐的日子的话
[52:33] 那可能真的就有问题
[52:34] 所以某个程度来说
[52:37] 如果你是被砍掉
[52:39] 并且是很难再找到工作的人
[52:41] 你有可能
[52:42] 对
[52:43] 就是那些人之中的一些人
[52:46] 因为我们已经看到说
[52:48] 他的那个Hiring数字
[52:49] 其实是有上去的
[52:50] 而你没有办法去
[52:52] 立刻找到衔接的话
[52:53] 那有可能你的专业就是
[52:55] 某个程度上的
[52:56] 有些AI可以帮你做掉
[52:57] 所以用这样去想的话
[52:59] 会比较正向一点
[53:01] 就是不要太容易的去把整个世界
[53:02] 都想象成是非黑即白的社会
[53:04] 因为真的不是这样运作的
[53:06] 再来就是
[53:06] 其实社会的运作很高程度上
[53:09] 特别是以实体的经济来说
[53:11] 会考虑成本的部分
[53:12] 所以太多人的分享是完全不考虑成本的
[53:16] 就是那种token maxing
[53:17] 可是这不可能
[53:18] 有些东西就没法
[53:19] 公人智慧是比人工智慧好用
[53:21] 大概这样
[53:21] 拜拜
