[00:00] 歡迎收聽古埃,我是星目公,本集節目由NordVPN贊助
[38:21] 知南巧虎贊贊贊
[38:22] 測試3
[38:23] 挨大你好
[38:23] 我家臭直男一直找不到留言密碼
[38:25] 但我隨便留言就被唸了三次
[38:27] 那祝他趕快找到留言密碼
[38:29] 這樣子才能夠用我愛的語音
[38:31] 包住我生日快樂
[38:32] 希望挨大也可以唸到他的留言
[38:34] 拜託
[38:35] 好這個就是這個
[38:36] 女朋友跟或是老婆
[38:38] 跑出來幫他上課
[38:39] 那確實這個留言密碼
[38:41] 他也沒有什麼訣竅
[38:42] 就是時間的問題而已
[38:43] 我聽說是這樣子
[38:44] 因為我自己沒有去留言過
[38:46] 不知道
[38:46] 但我聽蠻多聽眾講說
[38:47] 是抓時間
[38:48] 所以你就看你老婆
[38:49] 什麼時候留言
[38:50] 就跟著流
[38:50] 下面一位
[38:51] Keng Kai Kai
[38:53] 人生是用來體驗
[38:54] 不是表演
[38:55] 有一艘空船撞到了你
[38:57] 你不以為意的推開
[38:58] 過了不久
[38:59] 又有一艘船撞到你
[39:00] 上面坐著一個人
[39:01] 你劈頭一頓破口大罵
[39:03] 為什麼空船撞你不氣
[39:05] 有人撞你就氣
[39:06] 你想剝開洋蔥
[39:08] 想到洋蔥的心
[39:09] 剝到最後發現洋蔥沒有心
[39:11] 你那拼命維護的自我
[39:13] 不過是由外在的評價堆疊而成的
[39:16] 如果把這些標籤撕掉
[39:18] 你還剩下什麼呢
[39:19] 空空蕩蕩什麼都沒有
[39:20] 所以有人拼命的光裡面塞東西
[39:23] 大喊大叫叫別人看看他
[39:25] 這樣的大人不過是長皺的小孩
[39:28] 這個是以為他在寫什麼無名小贊陰謀是不是
[39:33] 下面一位苗栗國子民長照悲歌福利連聽好了福利連不要想要名流清洗要活得不起眼你要用一輩子去欺騙魔族那麼在你殺死魔王的時候就是你名流清史的時候
[39:46] 下一季快出了趕緊二刷
[39:49] 可能是老了
[39:50] 幾乎每一集都有哭點
[39:51] 希望大家都有心想事成的魔法
[39:53] 那希望喬武可以用福利連
[39:55] 被卡在寶箱怪裡的聲音來亂叫
[39:58] 那個我不太會
[39:59] 那個不好詮釋
[40:00] 那我也是非常期待福利連的第二季
[40:03] 那福利連我真的是他前面幾集
[40:05] 我覺得就是印象太深刻了
[40:07] 他慢慢的
[40:08] 可是又很
[40:10] 真的倦勇
[40:11] 這兩個字可以在這時候拿出來用
[40:12] 可是後面開始那種
[40:13] 瘋狂的打架
[40:14] 打王
[40:15] 我就覺得還好
[40:16] 我就好像回到一般的日本漫畫
[40:17] 可是他前面的
[40:19] 那個氣氛營造真的超級好
[40:20] 那我也非常期待第二季的表現
[40:22] 下面一位
[40:22] 板橋城之內
[40:24] 有人說你像周杰倫嗎
[40:25] 大家好
[40:26] 我看了最近Forever的周杰倫
[40:28] 突然想到你和他好像
[40:29] 一以前講話很兇
[40:31] 但現在很和善
[40:32] 二以前很靦腆
[40:33] 但現在很善於表達
[40:34] 三 以前沒錢現在很有錢
[40:36] 那四 好像都有留鬍子
[40:38] 五 老婆都是外國正媒
[40:40] 敬祝一家平安喜樂愛你
[40:42] 這個周杰倫是怎麼講
[40:44] 在我看是臺南的典風好不好
[40:47] 因為我非常喜歡杰倫
[40:48] 我從小就是會去買他的專輯
[40:51] 然後就是每首歌都會唱
[40:52] 所以對我來說
[40:54] 他就算是那種偶像等級
[40:55] 所以說偶像他的話
[40:57] 真的是太嚴重的臺劇
[40:58] 那我們就一一來看一下
[41:00] 以前講話很兇
[41:01] 現在很和善
[41:01] 他以前很兇是因為他去屌狗仔
[41:03] 因為他真的是那種超級巨星等級
[41:05] 所以一直拍他
[41:06] 然後拍他拍到
[41:07] 就是他可能一些感情維繫不下去
[41:09] 媽是我也會去屌狗仔
[41:10] 他不是有一首嗎
[41:11] 加油咬著蘋果的狗
[41:13] 雖然不是我的對手
[41:14] 還是可以成為我的狗
[41:15] 超帥的
[41:18] 以前很靦腆下善於表達
[41:20] 還好
[41:21] 其實到現在
[41:22] 你看我去臺通的節目
[41:23] 就真的沒有辦法
[41:25] 像自己的節目這樣
[41:26] 一直講一直講
[41:27] 到別人的節目
[41:28] 就只能夠人家問我一句
[41:30] 我就打一句
[41:30] 那個是個性上的問題
[41:31] 我是不知道他有沒有靦腆與否
[41:33] 但我覺得我還是
[41:35] 就是有人在的時候
[41:36] 比較不會講話
[41:37] 然後越老越不會講話
[41:38] 很奇怪
[41:39] 現在很有錢
[41:40] 還有他比較有錢
[41:42] 他超屌
[41:43] 他應該是超級會賺錢
[41:44] 然後有聽到一些那種
[41:45] 什麼江湖傳說
[41:46] 就是他也常會賺來的錢
[41:47] 又去做各種投資
[41:49] 買房地產
[41:49] 然後就是已經滾到超級大了
[41:51] 所以你看他可以
[41:52] 他是現代夢場君
[41:53] 他可以養一堆朋友
[41:54] 非常誇張
[41:55] OK那大概這樣
[41:56] 下面一位
[41:57] 晚寧一個月出生的小散戶
[41:59] 7月5號大災難
[42:00] 跟慶生撞起的可憐
[42:02] 從安卓我仙女矮寶
[42:03] 剛和仙人交往的時候
[42:05] 聽古來他也覺得無聊
[42:06] 到後來偷聽一直笑出來
[42:08] 真是愛假給賽利
[42:10] 那最
[42:11] 這個蠻有趣的
[42:13] 然後最近男友他爸看到我
[42:15] 一直想要教我做股票
[42:16] 但他開啟軟體
[42:17] 都是套牢的老AI
[42:19] 我好痛苦
[42:19] 明明沒有主動找他聊
[42:21] 也不想告訴他老孃
[42:22] 其實譏笑屌打他
[42:23] 五個現世生怕開啟一堆問答
[42:25] 求解愛您
[42:27] 不是啊
[42:27] 有時候就這樣子
[42:28] 就老男人呢
[42:29] 他們很多
[42:30] 就像大家講的
[42:31] 就喜歡mansplaining
[42:32] 就是他就想要跟你講東西
[42:34] 那我覺得這件事情
[42:36] 不用太反感
[42:38] 也就是說
[42:38] 如果今天跟你mansplaining的人
[42:40] 是你的
[42:40] 不知道就枕邊人
[42:42] 或者說住在一起的
[42:43] 長輩之類的
[42:44] OK
[42:45] 那就是確實是要去制止他
[42:47] 但如果是一般的長輩
[42:49] 跑來找你念的話
[42:50] 你就給他念
[42:50] 就是很多長輩
[42:52] 也不是隻有男生愛mansplaining
[42:53] 那種女長輩也是
[42:55] 像我媽那天要跟我老婆講說
[42:57] 這個草莓可能有農藥
[42:58] 要多洗
[42:59] 他就可以講
[43:00] 我不知道就五次吧
[43:01] 我就在那邊坐在旁邊
[43:02] 已經聽他講他媽四次
[43:03] 然後後來我上桌的時候
[43:05] 他又再講一次
[43:06] 那個草莓什麼
[43:06] 我們的朋友都是什麼
[43:08] 最後一個播種的
[43:10] 還是什麼
[43:10] 反正就最後一個收成的
[43:11] 才給我們
[43:12] 因為他說農藥什麼
[43:13] 他講一半我倆說
[43:13] 我最愛吃農藥
[43:14] 不要再講了
[43:15] 媽草莓沒有農藥
[43:16] 我是不吃的
[43:17] 我就直接講
[43:18] 但你看我這也是不好的示範
[43:19] 但那是因為我媽前面
[43:21] 已經講了三四次
[43:22] 我聽到不要再聽了
[43:23] 所以我已經讓他講
[43:24] 只是他後來又再跟我念
[43:26] 我就沒有辦法照著制止他
[43:27] 但絕大多數的時間
[43:28] 我會讓他們講
[43:29] 你就知道說
[43:30] 長輩他們就只是想要講講話
[43:32] 他想要去
[43:32] 他也不是想要教你
[43:34] 他可能也不一定要
[43:35] 從你身上獲得什麼
[43:36] 他就只是想要講一下
[43:37] 就像是我對那個
[43:38] 長輩在年夜飯的想法
[43:39] 以前我就覺得說
[43:40] 就整天在那邊問說
[43:41] 什麼要不要結婚
[43:42] 然後我就想反問他說
[43:43] 那你什麼時候進棺材
[43:44] 就以前會用那種
[43:45] 比較偏激的想法
[43:46] 那到現在
[43:47] 我不會想要問他
[43:48] 什麼時候進棺材
[43:49] 我知道說他這樣問
[43:50] 他其實甚至講白一點
[43:52] 長輩根本懶得屌你
[43:53] 要不要結婚
[43:54] 除了你爸媽
[43:56] 你爸媽可能真的在意
[43:57] 那其他長輩
[43:57] 他可能真的懶得叼你
[43:58] 他只是因為他舅舅看好你
[43:59] 他也不知道跟你講什麼
[44:00] 他就隨便去講這些東西
[44:01] 所以你不要往心頭上去走
[44:04] 我覺得就是聽他講
[44:05] 聽他分享
[44:06] 如果真的很廢很爛的話
[44:08] 那就隨便掰個理由離開就好
[44:09] 但是也不用制止他
[44:10] 也不用跟他說老孃績效比你好
[44:12] 你會傷了他的心
[44:12] 當然傷了他的心可能也不會怎麼樣
[44:14] 可是不知道
[44:15] 我現在都覺得說這樣以和為貴
[44:17] 以和為貴
[44:18] 有些長輩也很可愛
[44:19] 他只是
[44:19] 他就想分享他的股票
[44:21] 你就聽一下
[44:22] 你看他套多深
[44:22] 女高凡說也不錯
[44:23] 下面一位
[44:24] 老公獨立好開心
[44:27] 祝我自己生日快樂
[44:28] 謝謝孟公大大每次專業的分析
[44:30] 雖然有些專業術語
[44:31] 對我來說有點難懂
[44:32] 但是可以看到專業投資人的
[44:33] 紮實基本功就備受激勵
[44:35] 提醒自己在工作上要更精進
[44:37] 王最近去日本獨立
[44:39] 結婚快18年
[44:40] 這是他第一次自己出國
[44:41] 聯商的效益真的是藏不住
[44:43] 既然老公不在家
[44:44] 想拜託孟公大大
[44:45] 祝我自己12月15號生日快樂
[44:47] 謝謝你
[44:48] 那個媽在日本的
[44:49] 趕快先祝老婆生日快樂好不好
[44:51] 他這樣寫很可憐
[44:52] 但我們現在在這邊祝他生日快樂
[44:54] 我相信老公會記得
[44:55] 老公快樂在日本
[44:57] 吃了他的拉麵沙小的
[44:58] 應該還是會跟你說一聲生日快樂
[45:01] 那也不錯
[45:02] 就是像他這樣子
[45:03] 你看成全老公
[45:04] 讓老公自己出去玩
[45:05] 只是不知道怎麼會覺得說
[45:06] 算了我們男生不為難男生
[45:09] 反正對了
[45:10] 他去求業餘
[45:12] 下面一位
[45:13] 越過山丘留言密碼測試
[45:16] 大家好
[45:16] 最近看到SpaceX要IPO的訊息
[45:19] 假設是IPO
[45:20] 這影響到DXYZ
[45:21] 或是特斯拉的股價嗎
[45:22] 我的觀點IPO後
[45:23] 看好SpaceX的人
[45:24] 資金從DXYZ跟Tesla
[45:26] 轉到SpaceX
[45:27] 那所以DXYZ跟Tesla
[45:29] 短時間都會下跌
[45:30] 不知道這樣的想法
[45:31] 對不對
[45:31] 這當然是一個想法
[45:33] 只是很多時候呢
[45:34] 這個市場都會
[45:35] 不按牌理出牌
[45:36] 我給你一個驚喜
[45:37] 我預判你就預判之類的
[45:38] 那也有可能是
[45:40] 就像說SpaceX要IPO
[45:41] 然後噴上去
[45:42] 然後接著就特斯拉
[45:43] 就跑出來講說
[45:44] 我跟SpaceX
[45:44] 可能會有什麼合作
[45:45] 然後特斯拉就一起噴上去
[45:46] 然後變成那種全民大炒股
[45:48] 也是有可能
[45:48] 你這個是一個
[45:49] 就是比較單純的資金想法
[45:51] 就是可能
[45:51] 本來在AB Parking的東西
[45:53] 他是AB
[45:54] 然後想要去賭一個未上市的C
[45:56] 接著C真的上市之後
[45:58] 他們可能就賣AB去買C
[45:59] 這個蠻合理的
[46:00] 但是有時候是這樣
[46:01] 就C上去
[46:01] 然後跟C有關的東西全部一起噴
[46:03] 所以什麼都是有可能的
[46:04] 那時候再看圖來決定
[46:06] 會往哪個方向去發展
[46:07] 下面一位
[46:07] 林口謝霆鋒
[46:08] aka左高頑騰
[46:10] 右高頑野騰
[46:13] 無所屌位
[46:14] 你各位那麼在意
[46:15] 別人怎麼想幹嘛
[46:16] 我他媽已經沒有興趣
[46:18] 在刻意給別人留下好印象
[46:20] 所見即是我
[46:21] 好與壞我都不反駁
[46:22] 我他媽不想解釋
[46:24] 也懶得解釋
[46:24] 我有很多面
[46:25] 你看到哪一面
[46:26] 你就配哪一面
[46:27] 人生只有兩件事
[46:29] 關我屁事
[46:29] 關你屁事
[46:30] 雖然他講的蠻好道理
[46:32] 可是他那個講話的
[46:33] 那個語氣跟說法
[46:35] 就有點類似說
[46:36] 會在臉書上面
[46:37] 然後放一個那個
[46:37] 自我介紹什麼
[46:38] 狼若回頭
[46:40] 不是報恩便是報仇
[46:41] 然後可能在那個學校
[46:42] 那邊掛那個社會大學
[46:43] 就這種人
[46:44] 下面一位
[46:45] 同鄉夏林
[46:47] 希望可以選到我
[46:48] 夢宮安安
[46:49] 每週最期待的就是
[46:50] 週三六的急速更新通知
[46:52] 謝謝你帶給
[46:53] 股市小菜雞的觀念
[46:54] 前陣子回顧上股急速
[46:56] 感覺像是跟著夢宮一起搭乘
[46:57] 時光機回顧以往的事件
[46:59] 還會聽到來自同鄉的
[47:01] 苗栗科家話
[47:02] 覺得很喜歡
[47:02] 12月19號說我生日
[47:04] 希望可以獲得生日祝福
[47:05] 生日快樂
[47:06] 也祝福夢宮一家
[47:07] 聽眾們一切順利
[47:08] 身體健康
[47:09] 績效很高高
[47:10] 非常感謝各位聽眾的支援
[47:11] 下面一位
[47:12] 夜夜夜夜
[47:13] 黑森生日快樂
[47:15] 公主你好
[47:16] 謝謝
[47:16] 優質好節目一路陪伴
[47:18] 那想要請你祝12月10號生日的
[47:20] 桃源黑森哥生日快樂
[47:21] 雖然已經過了
[47:21] 還是希望可以用諾瓦開的聲音
[47:23] 祝他生日快樂
[47:23] 那他跟您很像
[47:25] 熱愛研究股票
[47:26] 頭腦聰明
[47:27] 邏輯清晰
[47:28] 但是他常常覺得自己很廢
[47:29] 沒有用
[47:30] 那甚至可以一整天都把自己
[47:32] 閉關當隔離
[47:33] 我覺得他有憂鬱症
[47:35] 但是他沒有病逝感
[47:36] 不願意去看醫生
[47:37] 希望您可以以怪人的身份
[47:39] 開導他一下
[47:39] 對他說你真的不廢
[47:41] 只是需要跨出那一步振作起來
[47:43] 你現在的人生不是終局
[47:45] 只是過程
[47:45] 希望你可以堅強下去
[47:47] 好好戰勝一切
[47:48] 你的一句話比我千言萬語還有用
[47:50] 祝福一家五口平安快樂
[47:52] 愛你那我愛你
[47:53] 這個耶耶耶耶他所講的
[47:55] 這位男性友人
[47:57] 他跟我就很像
[47:59] 就是每一點都很像
[48:00] 但是我是沒有到會很猶豫
[48:03] 我比較像是說
[48:04] 有時候我那個情緒會兩端跳動
[48:05] 就是一下子我覺得自己是
[48:06] 他媽史上最廢的一個垃圾東西
[48:10] 那可是呢就要說
[48:10] 像我們現在已經知道
[48:12] 說禮拜五的夜盤
[48:13] 跟他媽大便一樣嘛
[48:14] 然後禮拜一呢就要說
[48:15] 一堆東西暴跌
[48:16] 可是我的持股沒有跌
[48:17] 我會有一瞬間覺得說
[48:18] 他媽我真屌
[48:19] 你看我生來就是要做股票的
[48:21] 就但是也就一下下
[48:22] 也可能就十分鐘
[48:22] 然後十分鐘之後
[48:23] 我就覺得說
[48:23] 他媽我真廢
[48:24] 我現在不知道買什麼
[48:25] 所以確實就是
[48:26] 可能跟這位朋友類似
[48:27] 就要多數的時間
[48:28] 都是在一個比較憂鬱
[48:30] 比較難受的心情裡面
[48:32] 但偶爾還是有開心的時候
[48:33] 像今天看第二場Radiohead演唱會
[48:36] 就覺得說很爽
[48:37] 沿路上走路都在笑
[48:38] 然後買票的時候最爽
[48:39] 其實看完演唱會本身沒有這麼爽
[48:41] 可是買票的時候很爽
[48:42] 我覺得我自己做了一個
[48:43] 很了不起的事情
[48:44] 所以對啊
[48:45] 就是還是希望可以找到
[48:46] 生命中讓你快樂的事
[48:48] 我覺得我是有慢慢往更好的方向走
[48:50] 下面一位MTK公務員
[48:52] 失去後更要懂得珍惜平凡的幸福
[48:55] 感謝夢到大家分享交易後
[48:57] 認真覺得你能夠小翻大真的厲害
[48:59] 想問您的平均年化報酬率
[49:00] 股零一年半搭上波布
[49:03] 記憶體行情都有暴注
[49:04] 從80萬到200萬
[49:06] 見好分紅也丟進去
[49:09] 那近期追逐許多標的
[49:10] 長紅立刻反轉
[49:11] 想打回都重壓
[49:13] 那有槓桿反覆之下
[49:15] 資產回到原點
[49:16] 美股也從2萬打到12萬
[49:17] 最後回到4萬
[49:18] 今天老公認為是風控
[49:19] 查但看到每個強勢股突破都兩次
[49:21] 那最後一場空
[49:22] 更能夠體會您中局論的概念
[49:24] 痛過後用城市回測20年
[49:26] QQQ策略報酬穩定性高
[49:28] 感覺轉換方式認真累積本金
[49:30] 每天會過得更踏實
[49:32] 29歲來來即修改方向
[49:33] 目前有點迷茫
[49:34] 想請教您的看法
[49:36] 謝謝
[49:36] OK
[49:37] 所以這位兄弟就是
[49:39] 你有沒有聽到
[49:40] 我就最近在節目上
[49:41] 跟大家分享說
[49:42] 你去做動了
[49:43] 你就會被修理
[49:43] 有時候就是這樣
[49:44] 就有時候你的一個做法
[49:45] 他在市場上
[49:46] 就會遇到一些挫折
[49:48] 那可能等到
[49:49] 我隨便舉例
[49:50] 可能明年第一季之後
[49:51] 又重新回到那種
[49:52] 超級大牛市
[49:53] 你就會後悔說
[49:54] 幹我那時候
[49:54] 為什麼沒有撐住
[49:55] 為什麼沒有用一樣的打法
[49:56] 我現在就翻超級快
[49:57] 所以那個都是很看狀態的
[50:00] 那我覺得當然最好的做法
[50:01] 就是說你就分幾個部位
[50:02] 像我的做法就分幾個部位
[50:03] 有些部位是長頭
[50:04] 有些部位是做動能
[50:05] 當我發現動能這邊
[50:06] 他媽做不完
[50:07] 老子不玩最大
[50:08] 我就怎麼樣
[50:08] 就趴進去指數里面
[50:09] 這就是我一貫的做法
[50:11] 在節目的數年來
[50:12] 都這樣跟大家分享
[50:12] 那當然有時候
[50:14] 你要去探這個時間
[50:15] 也不容易
[50:15] 所以這個怎麼講
[50:17] 你有時候可以選擇
[50:18] 就不要去探它
[50:18] 你就持續的做下去
[50:19] 那只是
[50:20] 當你發現你做的
[50:22] 沒有那麼好的時候
[50:22] 就稍微的縮掉
[50:24] 那當你做得好的時候
[50:25] 你就可以把它持續的放大
[50:26] 而且用槓桿去做的話
[50:27] 其實這是很好控管的
[50:28] 就是你只要注意到
[50:29] 你一直在賠錢的話
[50:30] 其實理論上
[50:30] 你就不應該放大槓桿
[50:31] 但很多人就是在
[50:33] 一直賠錢的時候
[50:33] 他還是想要放大槓桿去熬
[50:35] 那就會出事情
[50:36] 所以一般來講
[50:36] 就只有在賺錢的時候
[50:37] 會趁趁追擊
[50:38] 然後在賠錢的時候
[50:39] 或是震盪的時候
[50:40] 你就會先hold住
[50:41] 或是會縮掉
[50:42] 或是會出金
[50:43] 這個可能是
[50:44] 比較保守的做法
[50:45] 然後再講說什麼年化報酬
[50:47] 我是沒有算從以前到現在
[50:48] 是怎麼樣
[50:48] 可是大概都不錯
[50:51] 那特別是在槓桿之後
[50:52] 就是真的很不錯
[50:53] 所以才有機會可以翻上來
[50:54] 那槓桿前的話
[50:55] 可能就還要
[50:56] 大概在2019年以前都是
[50:57] 我覺得大概一年就30%到50%左右
[51:00] 那可是在2020以後呢
[51:02] 有好幾年是翻倍
[51:03] 那當然我還是要強調
[51:04] 這個好幾年翻倍
[51:05] 我不會跟大家講說
[51:07] 什麼厲害
[51:07] 選股很屌
[51:08] 你幹嘛就做這個做那個
[51:10] 沒有
[51:10] 就有時候也是不知道發生什麼事情
[51:11] 就像可能上集跟大家分享的
[51:14] 這個軟體股
[51:14] 你根本不知道發生什麼事情
[51:16] 殺小
[51:16] 為什麼有些東西可以噴那八百%
[51:18] 到底這是怎樣
[51:19] 到底這是發生什麼事
[51:20] 或者是說失敗的案例的話也很多
[51:23] 好像前陣子的話
[51:25] 跌得比較重就那個特化
[51:26] 特化就是沒有賺到錢
[51:28] 然後再來在像那個Nextperia事件
[51:31] 我有去做押注
[51:32] 那個部位現在也還套著
[51:33] 所以就是會有些東西
[51:35] 可能就像說
[51:36] 它不是按照你要的方式去發展
[51:38] 那這時候怎麼辦
[51:39] 你會注意到說
[51:40] 就是那些發展比較不好的東西
[51:42] 我就不會再一直去
[51:44] 像蠻多人是這樣子
[51:45] 他可能有東西套了或怎麼樣
[51:47] 然後他有粉專的話
[51:48] 他就一直去寫它
[51:49] 他就一直去寫它
[51:49] 他就有點類似說想要把他喊上去
[51:51] 我剛好相反
[51:52] 我只要有一個東西
[51:53] 當然這可能有些聽眾聽起來像是說
[51:55] 所以講你賠錢你套的東西
[51:57] 你就不講了
[51:57] 不是不講
[51:58] 是真的這是資金運用的問題
[52:00] 就是當我今天發現有個東西
[52:01] 我打下去
[52:02] 那我是套我是賠
[52:03] 或者說我現在是在一個平盤
[52:06] 根本就沒有上去的話
[52:06] 我不會想要去催化它
[52:08] 我就想要放著
[52:09] 就先不要屌它了
[52:10] 或者說甚至後面要停損它
[52:11] 那如果今天是看對的東西
[52:13] 才會持續的一直去加大
[52:14] 所以其實要用這個方式去做
[52:15] 你就不會遇到說
[52:16] 像你講的
[52:17] 就是瞬間回吐這麼大
[52:19] 因為你又回吐這麼大
[52:20] 一定就是有凹的成分在
[52:21] 然後外加槓桿開太大
[52:22] 那我還是建議大家
[52:23] 槓桿不要太太大
[52:24] 這個是一個老生常談
[52:25] 但很多人其實聽不進去
[52:27] 直到自己遇到之後
[52:28] 才可能會想去找一個解方
[52:30] 那像你的解方就是
[52:31] 你就回測看了QQQ
[52:32] 可是你要知道QQQ
[52:33] 你回測是看過去
[52:34] QQQ過去很好
[52:36] 這大家都知道
[52:36] 可是你說未來一定會很好
[52:38] 或者說未來可能真的很好
[52:40] 可是覺得說他好
[52:42] 然後好到某個程度
[52:43] 你上一堆槓之後
[52:43] 然後突然間來一個
[52:44] 50% 70%的回檔
[52:46] 所以這個也是要非常小心的
[52:48] 不是說什麼看著後照鏡
[52:49] 就可以把它投資做好
[52:51] 那希望你可以持續的加油
[52:52] 好那拜拜
