[00:00] 歡迎收聽股癌,我是孟恭,本期節目由NordVPN贊助
[39:11] 把這個東西變成是你的工作
[39:13] 或甚至它不一定是你的工作
[39:14] 你是業餘的
[39:14] 但是你可以做的相對的沉穩的
[39:16] 一個最主要的一個差別是
[39:18] 你不會太注重一個
[39:21] 那種怎麼講
[39:22] 就因為說掐指一算
[39:24] 在那邊說天機不可洩露
[39:25] 告訴你說未來的盤
[39:26] 就是會怎麼樣走
[39:27] 一般我聽到這種判斷
[39:29] 或是分析
[39:29] 我是不喜歡的
[39:30] 因為你怎麼知道
[39:32] 你怎麼知道會這樣
[39:33] 就像說像一檔標的
[39:34] 你在他表態跟突破之前
[39:36] 你跟我說他就是會漲
[39:38] 除非說你過往
[39:39] 有很強的track record
[39:40] 我知道說你的研究能力超級強
[39:42] 不然我不會相信你
[39:43] 我就算我知道你跟我講
[39:45] 那我也願意要跟你的單
[39:47] 我也會等到
[39:47] 我看到他漲起來
[39:49] 我再去買
[39:49] 因為做交易就是這麼一回事
[39:51] 所以你本來就應該去把
[39:53] 可能在當下有的一些資訊
[39:56] 把它融合進來
[39:57] 就是說在臺積開了一個財報
[39:59] 卻沒救
[39:59] 開始爆炸的當下
[40:01] 你只知道說市場在降槓桿
[40:03] 你只知道說
[40:04] 它可能跟去年的3月
[40:05] 那段時間的肌肉記憶很像
[40:07] 你不知道在疊什麼
[40:08] 然後疊到有事件出來為止
[40:09] 所以那時候我們說
[40:10] 我們要等有事件出來為止
[40:12] 那後來事件就有看到
[40:13] 可是在事件出來之前
[40:15] 我覺得看保守是很正常的
[40:17] 那當然這個我知道
[40:17] 一定有些人會說
[40:18] 你看他這樣改來改去
[40:20] OK那就代表說
[40:21] 其實我們是不同世界的人
[40:23] 玩的遊戲不一樣
[40:23] 那我也祝福你
[40:24] 你不用祝福我
[40:25] 但我也祝福你
[40:26] 代表你跟我看的東西是不一樣的
[40:28] 可是我自己是會認為說
[40:30] 懂看的會知道
[40:31] 因為它兩個背景其實是不一樣的
[40:34] 就是一根掌停
[40:35] 它的背景的因素不一樣
[40:36] 均線的位置不一樣
[40:38] 跟前面發生的事件不一樣
[40:39] 它帶來的意思是完全不一樣的
[40:41] 所以當臺機一開始下去的那一段
[40:43] 因為你不知道到底事件是什麼
[40:46] 就像說最後面開出來是
[40:47] 可能NVIDIA的東西要遞業
[40:49] 一年才出這樣
[40:50] 我們隨便舉一個很誇張的例子
[40:52] 到時候你就會很慶幸說
[40:54] 還好你在第一波下來的時候
[40:56] 你就轉一個保守的心態
[40:57] 可是當你知道說
[40:58] 其實這個事件的影響是這樣
[41:00] 你已經知道是什麼事情所造成的
[41:02] 那你再把部位加回去
[41:04] 這個是很合理的
[41:05] 那我必須得說
[41:06] 我自己都算是我們身邊是
[41:08] 彈性已經算很大的人了
[41:11] 就是有更多人他的做法其實這樣
[41:13] 他只要發現不對
[41:14] 他就直接先砍掉
[41:15] 他就直接先屌砍
[41:16] 然後接著他寧願等到可能事情出來
[41:19] 已經在多漲個5% 10%
[41:21] 他再追回來都OK
[41:22] 因為他畏懼的是下檔
[41:24] 所以你當然可以很有自信的講說
[41:27] 反正我就是做多一定會上去
[41:29] 我覺得是因為
[41:30] 蠻多人他對股票的認知
[41:31] 是在過去的幾年他才加入
[41:34] 他不知道說以前股票是可以很壞的
[41:36] 就是不是說每個東西都可以一直漲
[41:38] 但是在2020以後
[41:40] 好像每個東西都可以一直漲
[41:41] 所以他其實養出了很多人會覺得
[41:44] 反正東西拉回就是賣
[41:46] 但這個我覺得
[41:48] 就如果你抱持這樣的心態
[41:49] 有照熱度
[41:50] 可能會造成很大的打擊
[41:51] 所以一般我們今天注意到說
[41:53] 開始有一些利多不長的狀況
[41:56] 你就要有一點警覺
[41:57] 因為過往的經驗
[41:59] 就是這樣子教我們
[41:59] 當然可能你是202以後的人
[42:02] 你就不會有這樣的一個警覺
[42:03] 你就只會知道說
[42:04] 反正拉回就是買
[42:05] 甚至你會把那些警覺的人
[42:07] 都講說
[42:07] 你們是不是傻了
[42:08] 你怎麼會這樣
[42:09] 因為你可能沒有看過前面
[42:10] 有發生的一些
[42:11] 那種不好的悲劇之類的
[42:13] 所以他比較偏向是
[42:14] 因為當下我們拿到的各資料
[42:18] 或者說各種判斷之標
[42:19] 就像說像前面
[42:20] 基本上各家公司開財報
[42:22] 都只會跌
[42:22] 這個在我們肌肉基地
[42:24] 就是一個非常不舒服的東西
[42:26] 後來終於就是
[42:27] 像最近的盤面
[42:28] 你會注意到說
[42:29] 開財報之後
[42:29] 為什麼都是漲的
[42:31] 就跟之前不太一樣
[42:32] 只有AMD開完之後
[42:33] 還是跌的
[42:33] 那個蠻神奇的
[42:34] 但有很多公司開完
[42:35] 都開始會可以噴
[42:37] 都可以上去了
[42:37] 從微軟之後
[42:38] 微軟算是一個分界點
[42:40] 所以微軟的這份財報
[42:42] 就它開完之後
[42:42] 它上去
[42:43] 其實在我們的判讀裡面
[42:45] 它也是一個非常重要的指標
[42:46] 因為前面的人都是
[42:47] 你開財報你是會被懲罰的
[42:49] 那只是後來就
[42:50] 市場情緒變了
[42:51] 所以像Google前面開財報的時候
[42:53] 不是疊嗎
[42:54] 然後疊完之後
[42:55] 很多人就想說
[42:56] 因為怎麼樣怎麼樣
[42:56] 就後來又再漲回去了
[42:57] 那請問前面的人
[42:58] 是不是就把自己臉打爆了
[42:59] 所以市場本來就是會有點動態的
[43:02] 去做這樣子的一個調整
[43:04] 那每個人的看法
[43:05] 都有可能會對或是錯
[43:07] 但是市場並不是拼一個絕對的勝負
[43:10] 我覺得說就算
[43:11] 因為我現在最新的看法是覺得
[43:13] 這邊如果說再繼續上的話
[43:16] 那個動能就直接起來
[43:17] 前面洗掉就人家根本來不及追回來
[43:19] 如果說後來是錯怎麼辦
[43:20] 我就是承擔我錯的一個結果而已
[43:23] 所以其實大家在市場裡面
[43:24] 不是要問一個標準答案
[43:26] 應該說你要學的
[43:27] 或是我們在學的是
[43:29] 如何的去做一些調整
[43:30] 然後最後面會甚至希望說
[43:32] 不需要有太多的調整
[43:33] 也不會受到盤面的影響
[43:35] 這個是修煉的一個方向
[43:36] 但這個問題問的還蠻不錯的
[43:38] 下面一位林大神
[43:39] 莊子几点出生
[43:42] 0.07分
[43:43] 因為007啊
[43:44] 007裝子彈牙裝子彈
[43:46] 括號十分
[43:48] 這個超老
[43:49] 這個你一講
[43:51] 我剛才突然間想到
[43:52] 這個是以前玩的那種
[43:53] 不知道什麼奇怪的遊戲
[43:55] 他說不知道孟哥
[43:56] 有沒有看過
[43:57] 疑犯追蹤
[43:59] Person of Interest
[44:00] 這部美劇
[44:01] 他剛出來的時候我就看過了
[44:03] 最近又上架到Netflix
[44:04] 又重溫了一遍
[44:05] 故事劇情是圍繞一個主角
[44:07] 建構出可監控一切的人工智慧機器的劇情
[44:10] 裡面提到了很多最近在發生的事情
[44:13] 包含疫苗是為了基因檢測
[44:15] 初代Tesla Model S的自動駕駛的場景
[44:17] 尤其是兩種不同手段的人工智慧對決的劇情
[44:21] 那後面有一段特別有意思
[44:23] 弄弄覺得一個由人工智慧主導的世界
[44:25] 人類在無自由意志的世界好
[44:28] 還是人類貫徹自身意志才是有趣的世界
[44:32] 其實我覺得那種
[44:34] 可能太烏托邦的討論
[44:36] 或是太Cyberpunk的討論
[44:38] 都是非常不合實際的生活體驗的
[44:42] 實際上就是最終人類都是要去面對自己的慾望跟各種情緒
[44:46] 那你說機器可以為我們的生活帶來很多的改變
[44:50] 沒錯
[44:50] 但是最後要挑戰的都還是心魔
[44:52] 就像我們很常講的
[44:54] 其實現代人的生活
[44:55] 嚴格上來說是比過去的那些王侯將相都還要來得好
[45:00] 你光是有一個馬桶可以來幫你洗屁股
[45:03] 這就是一個以前人連想象都不敢想的東西
[45:05] 你可以每天吃飽
[45:06] 你可以可能走一個街口
[45:08] 就是日式料理
[45:09] 就是韓式料理
[45:10] 歐西料理
[45:11] 你的生活是比以前的人還要好
[45:13] 可是你不一定真的過得很充實
[45:14] 所以這個才是我們真的要去面對的東西
[45:17] 而不是去過度的意淫說什麼
[45:19] 未來是不是人類就會失去意志
[45:21] 我覺得這個都是那種過於科幻
[45:23] 跟不切實際的討論
[45:25] 不然就是mark my word
[45:26] 你等五年十年之後
[45:27] 其實生活都還是一樣
[45:28] 就像是可能在2023一堆人在想說
[45:30] 什麼AI在一兩年會對大家造成
[45:32] 怎麼樣翻天覆地的影響
[45:34] 有啦
[45:34] 就是大家的進職都真的噴很多
[45:36] 可是你說你的生活有什麼樣的
[45:38] 那種絕對的改變嗎
[45:41] 也沒有
[45:41] 就是一開始你看到
[45:42] 你會認為這個東西
[45:43] 是真的對我們的生活
[45:45] 有機會造成很大的衝擊
[45:46] 可是最終它都是匯入你的生活
[45:48] 因為重點是什麼
[45:48] 重點是你會用AI
[45:49] 別人也會用
[45:50] 所以當大家都有一樣的工具
[45:52] 都提升上去之後
[45:53] 好像也沒有像你想象的
[45:55] 就是好像你變成一個
[45:56] 完全不一樣的人
[45:57] 你會體驗到不一樣的世界
[45:58] 或是什麼的
[45:58] 所以在我看來會覺得
[46:00] 當然如果這兩個
[46:01] 一定要去選一個的話
[46:02] 貫身自身意志
[46:04] 絕對是比較好的
[46:05] 我覺得人最可貴的
[46:07] 就是你可以去做出各種選擇
[46:09] 所以我越長越大
[46:11] 越不喜歡那些幫你做選擇的東西
[46:13] 包含說什麼軍醫化的東西
[46:15] 齊頭式的公平或什麼的
[46:17] 這個都是不喜歡的
[46:18] 因為你這個對於那些奴隸人來說是
[46:20] 那他努力的價值到底在哪裡
[46:22] 所以就是因為我們努力之後
[46:24] 可以去選擇各式各樣
[46:25] 跟人家不一樣的東西
[46:27] 去滿足自己一點小小的虛榮心
[46:29] 或者說讓自己的生活
[46:30] 更加輕鬆跟方便一點
[46:31] 那才有意義嘛
[46:32] 那如果今天所有的社會
[46:34] 都是迴歸到分配
[46:36] 即便分配之下
[46:37] 大家都有蠻不錯的水平
[46:38] 但這也是一個跟死掉沒有兩樣的社會
[46:41] 這是我的觀點
[46:42] 下面一位
[46:43] 還在苗栗唸書的菜菜子
[46:45] Aloha desu
[46:46] 孟恭bibichka
[46:47] 最近被通哥搞到推了我一則fred文
[46:50] 雖然被噁心到
[46:51] 但真的是有感而發來分享
[46:53] 平常聽到怪小留言會覺得
[46:55] 真的是一樣米羊白種人
[46:57] 但在股市跌到出翔的時候
[46:59] 是莫名的喜歡
[47:00] 以下是那篇文
[47:02] 海膽吃的其實是他的金狼
[47:04] 很鮮美
[47:05] 蝦頭吸的是他的金狼
[47:06] 很鮮美
[47:07] 蟹膏吃的是它的小
[47:09] 很鮮美
[47:10] 奇怪了
[47:10] 為什麼小吃起來就臭臭的
[47:12] 不新鮮嗎
[47:12] 這可是現打的
[47:14] 那最後發現原來是芥末
[47:15] 加了芥末味道就會好很多
[47:17] 夾一堆芥末
[47:18] 沾上一點點小
[47:19] 吃起來就不會臭
[47:20] 那各位怪小配上大碟
[47:22] 就有一番風味
[47:23] 孟恭覺得咧
[47:23] 噁心到各位我很抱歉
[47:25] 八月初遊快樂遊
[47:27] 路比圖的孟愛寧
[47:28] 這個
[47:29] 這個真的是一個
[47:31] 蠻值得研究的問題
[47:33] 可是海膽那個
[47:33] 那個不一定是金狼吧
[47:35] 他不是就是什麼生殖線嗎
[47:37] 還是說什麼
[47:38] 他們是雌雄都是長樣
[47:40] 我不曉得
[47:40] 反正我記得好像不是小吧
[47:42] 但是其他你講的應該都是沒錯
[47:45] 也不一定
[47:48] 就像蟹黃的話是女生的
[47:51] 蟹膏是男生的
[47:52] 但都一樣美味
[47:53] 然後再來就是魚
[47:54] 魚的那個小叫什麼
[47:56] 白子
[47:57] 魚白子或什麼的
[47:59] 我之前帶我岳母去吃
[48:01] 然後她吃
[48:02] 她跟我講說超級好吃
[48:03] 我跟她說那個是魚的sperm
[48:04] 魚的comb
[48:05] 他直接把那東西全部吐出來
[48:08] 就如果你不知道是什麼
[48:09] 它是好吃的
[48:10] 所以我覺得追根究底是
[48:12] 我們並不是為了吃小而去吃小
[48:16] 是因為小跟那些卵
[48:18] 在這些生物上面
[48:19] 它剛好是好吃的
[48:20] 那人類就是不好吃的
[48:21] 那一定也有其他不好吃的
[48:23] 黑猩猩的一定不好吃
[48:24] 翁屁股想還知道
[48:25] 因為跟人類差不多
[48:26] 然後再來什麼金魚的
[48:28] 可能也不好吃
[48:28] 因為如果好吃的話
[48:29] 日本人早就拿來賣了
[48:30] 所以這個問題的關鍵是在於說
[48:33] 怎麼講
[48:34] 就是小跟卵
[48:35] 其實還是要看是在什麼東西上面
[48:36] 你並不是為了吃小跟軟
[48:38] 才去吃小跟軟
[48:39] 是因為這個東西剛好很好吃
[48:40] 那你也懶得去管它什麼
[48:41] 類似那個麝香咖啡
[48:42] 不是講說什麼是那個貓排洩出來
[48:44] 然後你把它撈起來煮嗎
[48:46] 重點是說味道對啦
[48:47] 而不是為了吃那個東西
[48:48] 我不知道怎麼認真回答這個問題
[48:50] 下面一位
[48:50] 巨型龜頭
[48:51] 我這一生如履薄冰
[48:52] 你說我能夠走到對岸嗎
[48:54] 新的處置規則有利有弊
[48:56] 人們都只看到利
[48:57] 可弊呢
[48:58] 最激烈
[48:58] 哈哈哈哈
[48:59] 好好笑
[49:00] 給你一班個獎
[49:00] 羅宣講
[49:01] 傻小不是已經開始反彈
[49:04] 怎麼還有這種人
[49:04] 好了認真問一個
[49:05] 我想了很久的問題
[49:06] 潘若迪到底有沒有跟
[49:08] 老保姆阿蓮泡澡
[49:10] 那孟恭你會想跟保姆泡澡嗎
[49:12] 愛寧
[49:12] 這個真的要去治療
[49:16] 然後再講那個楚智
[49:17] 他不是後來就
[49:19] 尖哥一講完立刻就改
[49:21] 我覺得蠻厲害的
[49:22] 那我自己是會覺得利大於弊
[49:24] 因為流動性對我來講
[49:26] 就是一個重要的東西
[49:27] 但當然我有看到一些聽眾的反饋
[49:29] 也是講說
[49:29] 他們覺得是弊大於利
[49:31] 因為散戶就更容易會受傷了
[49:33] 但問題就是
[49:34] 我就不是那種小資散戶
[49:36] 我就不是那種
[49:37] 會做超出自己能力範圍的人
[49:38] 所以我當然會覺得說
[49:39] 流動性對我來講是比較重要
[49:40] 所以我後來就跟大家說
[49:42] 其實你不用太聚在
[49:43] 社會上跟人家爭奪什麼對錯
[49:45] 特別是跑去社群
[49:46] 這種龍蛇雜畜的地方
[49:48] 因為你是龍是蛇
[49:49] 你不知道
[49:50] 你不知道對方是龍是蛇
[49:51] 所以重點是
[49:53] 你只要知道這個東西
[49:54] 對你有沒有利
[49:55] 你就支持有利而就好
[49:56] 就類似投票
[49:56] 投票就是反而票多的贏
[49:58] 所以你覺得哪個東西適合你
[49:59] 你就蓋哪一個
[50:00] 其他都是給共的
[50:01] 大概這樣
[50:01] 好大家再見
