[00:00] 歡迎收聽骨癌,我是聖夢宮,本集節目由iHerb贊助
[37:36] 但想聽聽他充滿愛的猛攻霸的想法
[37:39] 若在一相處就不快樂
[37:41] 那何必要一直去為難自己呢
[37:43] 那還有每次聽到愛大提到諾亞安哥
[37:45] 心裡就會覺得很暖但又酸酸的
[37:47] 那不知道有沒有其他人懂
[37:48] 那另外
[37:49] 請用肌肉猛男被刷卡的聲音
[37:52] 祝各位捏軟弟兄姐妹
[37:54] 機下發生
[37:55] 好那首先
[37:56] 他說跟他爸爸相處會沮喪
[38:00] 所以就不想要相處
[38:01] 我覺得很好
[38:03] 這個其實就是說
[38:04] 身體的一個自救的機制吧
[38:06] 就是當你發現你在這個人旁邊
[38:08] 你會覺得說壓力很大
[38:10] 不太舒服
[38:10] 你會想要去避開他
[38:11] 你會想去閃他
[38:12] 這個就是身體在告訴你說就是我在他旁邊我可能就是會不知道就不太舒服會有壓力甚至會產生一些不好的反應之類的搞不好身體會發炎什麼的那就遠離吧就是遠離
[38:24] 我覺得沒有什麼太大的問題
[38:26] 很多時候是這樣
[38:27] 就是我覺得我們亞洲的小朋友
[38:28] 蠻多都是
[38:29] 可能會長成這樣子一個形狀
[38:31] 有點那種
[38:32] Stockholm Syndrome的感覺
[38:33] 就是你的爸爸媽媽
[38:34] 可能會打你會揍你
[38:35] 然後會言語暴力
[38:37] 不挺你不支援你
[38:38] 酸你什麼的
[38:39] 可是你還是很愛他
[38:40] 你還是會有那個
[38:41] 孝道的框架
[38:42] 然後這個時候
[38:43] 我跟我老婆就會討論到
[38:44] 其實你要在西洋的文化裡面
[38:46] 去找笑這個字是找不到
[38:48] 他們沒有這個字
[38:49] 要怎麼翻譯笑
[38:50] Obedient 聽話
[38:51] 要怎麼樣翻譯說
[38:53] 這個是很乖
[38:53] Good boy
[38:54] 就是很怪
[38:55] 他們沒有說
[38:56] 好像說我被你生下來
[38:58] 我就要對你去盡所謂的孝道
[39:00] 我就要去還你什麼東西
[39:01] 好像沒有這樣子的東西
[39:03] 當然我們不是要講說
[39:04] 他們的文化一定就比我們好
[39:06] 只是說如果你今天是
[39:08] 在一些那種
[39:09] 比較受難的環境下長大
[39:12] 又要被打又要被罵
[39:13] 然後又要被攻擊
[39:15] 或是有的沒有的東西
[39:16] 那你還要去愛她的話
[39:18] 那不是一個很奇怪的事情
[39:20] 那我能夠說
[39:21] 我自己也是在跟我老婆在一起之後
[39:23] 有去做一些改善
[39:25] 不然是在我自己的家庭關係上面
[39:26] 我覺得我找到更多的平衡
[39:28] 就是我的爸媽
[39:30] 也是屬於比較嚴格的那一方
[39:32] 那當然我爸爸是比較會共情的人
[39:34] 我覺得
[39:34] 那我媽的話就是比較冷血一點
[39:35] 就是她是真的感受不到一些人的情緒
[39:38] 後來發現說有些東西
[39:39] 我比較冷血
[39:39] 可能是有傳到她
[39:40] 那但總之呢
[39:42] 就是這兩位跟我的關係
[39:43] 都不是像
[39:44] 就是像我岳母跟我這樣
[39:46] 我岳母是
[39:47] 整天看到我就是
[39:47] 爸我會親什麼的
[39:49] 那或是我跟我的孩子
[39:50] 也是這樣子
[39:51] 可是我爸媽媽
[39:52] 跟我就不是這樣子
[39:53] 那我會因為這樣子
[39:54] 有遺憾嗎
[39:54] 當然會啊
[39:55] 可是偶爾還是會想到
[39:56] 就是說像那天
[39:57] 我爸爸帶一個
[39:58] 那個故事書來
[39:58] 那是小時候
[39:59] 他會念給我聽的故事書
[40:00] 他沒有帶來
[40:01] 我都沒有想到這一段
[40:02] 然後這一本故事書
[40:03] 我現在在唸給我兒子聽
[40:04] 我覺得我相信說
[40:05] 他們也盡力了
[40:06] 只是說可能不知道
[40:07] 他們以為他們自己的
[40:08] 一些創傷要去面對吧
[40:09] 所以導致他沒有辦法用
[40:11] 他可能認為是好的
[40:13] 因為我看我爸媽
[40:15] 他們對我兒子
[40:17] 也就是他們的孫子
[40:17] 他們也是充滿愛
[40:18] 也是抱抱親親或什麼的
[40:20] 可是他對我就不是這樣
[40:21] 那可能就是不知道
[40:22] 有些事情就是
[40:23] 怎麼講
[40:24] 目以沉舟吧
[40:24] 事情就發生了
[40:25] 我們也不要太多的怨對
[40:27] 因為他們也都經歷了
[40:28] 真的是這樣
[40:28] 他把你養成這麼大
[40:30] 然後你現在可以做這些事情
[40:31] 所以我們對他還是心懷一些感恩
[40:33] 但老實講
[40:34] 如果說跟他們在一起
[40:35] 會有一些不適感的話
[40:36] 那確實就是保持一些距離
[40:38] 也OK
[40:38] 就像你也不要講我爸媽
[40:40] 我跟我岳母
[40:40] 就是所謂的跟我感情比較親的
[40:42] 我也不會想要每天跟他住在一起
[40:43] 因為就還是會有一些爭執
[40:45] 或者一些狀況會產生
[40:47] 所以會覺得反正你對
[40:48] 甚至是任何人的關係都這樣子
[40:50] 你不覺得小別腎心患
[40:52] 這句話說的很好嗎
[40:53] 就是你整天看到一個人
[40:54] 你就是會不舒服
[40:54] 那特別是可能在過去
[40:56] 有一些不好的印記殘留在那
[40:58] 所以我不會覺得
[40:58] 你想要去稍微剛剛保持距離
[41:01] 是不好的事情
[41:02] 我覺得你確實就是應該要這樣子做
[41:04] 然後等到你又想他們的時候
[41:06] 你再回去找他們這樣就好
[41:07] 下面一位
[41:07] 迪芬尼朵
[41:09] 好想看4D動物方程式
[41:12] 第二次留言密碼測試
[41:13] 嗚嗚嗚
[41:13] 聽說林口仙夢宮很靈驗
[41:15] 希望可以順利地拿下目標
[41:16] 想要完成的事情
[41:17] 都可以有貴人相助
[41:18] 不要再當機器人
[41:19] 那祝福您一家五口
[41:20] 平安健康愛你
[41:20] 我愛你
[41:21] 下面一位
[41:21] Maggie VB
[41:23] 木頭Jeff
[41:24] 聽到請抱一下老婆
[41:25] 大家好
[41:25] 我老公每天開車都會聽鼓
[41:27] 一開始我都完全聽不懂
[41:28] 在講什麼
[41:28] 覺得這語速也太快了吧
[41:29] 到現在慢慢習慣了這個語速
[41:31] 覺得佩服我自己
[41:32] 12月22號
[41:37] 逼迫Jeff建良多講天黑密語給老婆
[41:40] 股票殘高大上
[41:40] 多講一點天黑密語
[41:42] 雖然我也不知道
[41:43] 天黑密語對我來講是一個
[41:45] 怎麼講
[41:46] 很不熟悉的東西
[41:47] 我不會講這個東西
[41:48] 我老婆更不會講這種東西
[41:49] 所以我老婆雖然蠻羨慕這種會講天黑密語的
[41:52] 你就多講一點吧
[41:53] 老婆喜歡就多講一點
[41:54] 你也可以講一些幹話
[41:55] 這樣不是蠻快樂的嗎
[41:56] 兄弟為知難喬武信徒的女友
[41:58] 留言密碼測試
[41:59] 拜託念我念我
[42:00] 孟宗大您好
[42:00] 我男友在大忠實聽眾
[42:02] 今年是我們即將在一起
[42:03] 滿七週年的日子
[42:04] 七年啦
[42:05] 明年就八年啦
[42:06] 時間過得真快
[42:07] 那希望我們未來
[42:08] 都能夠朝自己的夢想前進
[42:10] 如願買到我們的第一個家
[42:11] 愛你
[42:11] 那可以請摸摸大家
[42:12] 幫我用肌肉猛男的聲音
[42:13] 祝12月13號生日的
[42:15] 氣質巨巨
[42:16] 啊哈生日快樂
[42:17] 那也祝愛大家一家
[42:18] 平安健康愛你
[42:19] 其實我至今都不知道
[42:20] 那個肌肉猛男的聲音
[42:22] 到底特別在哪
[42:23] 而且講到後來
[42:23] 我自己都
[42:24] 那種尷尬癌也會發作
[42:25] 可是隻能知道
[42:26] 大家喜歡我就配合
[42:27] 那希望你們順利
[42:29] 下面一位
[42:29] 新竹高齡產婦
[42:31] 留言測試夠夠
[42:32] 嗨大
[42:32] 我是歷經兩次手術
[42:34] 跟子宮基線症後
[42:36] 今年終於順利自然懷孕的高齡媽媽
[42:39] 那現在23周
[42:40] 先生為了家庭
[42:41] 每天五股新竹往返
[42:43] 工作壓力大
[42:43] 情緒因此波動大
[42:45] 那私信希望他可以找到新竹的工作
[42:48] 大家可以給他一些鼓勵嗎
[42:49] 那祝福大家一家平安
[42:51] 也祝我順利迎接馬寶寶愛您
[42:53] 好
[42:54] 那我們先祝這個
[42:56] 他ID子這樣寫
[42:57] 我包這樣祝福寶寶
[42:58] 新竹高齡產婦
[42:59] 希望這個高齡產婦順利
[43:00] 那也祝他的先生呢
[43:02] 能夠順利的找到離家近的工作
[43:05] 那我確實也是可以同情這個爸爸
[43:08] 當然我們還是要記得
[43:09] 就對老婆的態度儘量是要好一點
[43:11] 因為你們是隊友
[43:13] 你們不是仇人
[43:14] 嚴格上來說
[43:15] 你們的對手是小朋友
[43:16] 很多時候我跟我老婆都會這樣講
[43:18] 就是我們在家裡會有一些糾紛
[43:20] 那這些糾紛可能是因為小朋友而起
[43:22] 可能是因為他在哭他在鬧
[43:23] 或者說他有一些情緒要處理或什麼的
[43:26] 那我們就很累了
[43:27] 所以就變成我們兩個在那邊互噴
[43:28] 可是有時候呢
[43:29] 當我們把小朋友
[43:31] 可能交給保姆
[43:31] 或者說交給A君
[43:33] 交給我的爸媽媽
[43:35] 稍微待一下
[43:36] 我們出去之後
[43:37] 我們就發現說
[43:37] 其實我們感情很好
[43:38] 所以我們是要一起面對
[43:40] 這個小朋友
[43:41] 我們其實是一對的
[43:42] 就大家不要忘記說
[43:43] 夫妻其實是一對的
[43:45] 其實有時候把這個小朋友
[43:46] 或者說工作的壓力
[43:47] 什麼都卸掉之後
[43:48] 你發現說
[43:48] 你身邊另一半是非常美好的
[43:50] 只是因為你在這些東西的一個
[43:52] 各種壓力的一個擠壓之下
[43:54] 你忘記這件事情
[43:55] 所以因為他離你最近
[43:56] 所以變成說他就要吃你所有的
[43:58] 那種不滿跟情緒的出口
[44:01] 就覺得可能他也受傷
[44:03] 然後他又再反過來攻擊你
[44:04] 你壓力又更大
[44:05] 所以大家就進入一個惡性迴圈
[44:06] 所以我認為啦
[44:08] 就是還是要儘量的
[44:09] 先調整好自己的脾氣
[44:11] 儘量不要在第一時間去做反應
[44:13] 這個是我可以給出
[44:14] 我認為最好的建議
[44:15] 就是所有的東西呢
[44:17] 特別是那種你會生氣的話
[44:18] 你都不要在第一時間直接講出來
[44:20] 你先試看看
[44:21] 把它吞下去五分鐘十分鐘
[44:22] 說不定你就不會想講出這樣子的話了
[44:24] 然後大家的感受都可以一起去提升
[44:27] 所以總是要有一方先退
[44:29] 我們身為男生我覺得我們就
[44:30] 盡量多承擔一點
[44:31] 因為女生有他們非常辛苦的一面
[44:33] 然後要去懷胎
[44:35] 要去承受這些壓力
[44:36] 前面面臨過這樣的事情
[44:37] 他們很辛苦
[44:38] 所以我們稍微的去
[44:40] 你知道你很幹你壓力很大
[44:42] 你有一些自責什麼有的沒有的
[44:44] 我們盡量先自己先處理消化一下
[44:46] 當然都可以分享
[44:47] 只是不要在第一時間
[44:48] 氣頭上把一些話嗆出來
[44:50] 那個很多時候是不可逆的
[44:51] 也會對胎兒可能會造成一些影響
[44:54] 所以鼓勵這位爸爸
[44:54] 我希望你可以順利的找到工作
[44:56] 情緒方面呢
[44:57] 我們都要一起處理好
[44:58] 大家都一起加油
[44:59] 下面一位
[44:59] 被男友推坑成功的可可
[45:02] 皮諾可可好吃
[45:03] 不管長途還是短途的車程
[45:05] 男友都是播您的節目
[45:06] 我從一開始一聽就睡著
[45:07] 到現在可以跟男友一起討論節目內容
[45:09] 甚至跑去追蹤挨大的IG
[45:11] 那沒有想到這樣被男友推坑成功了
[45:13] 明年就要跟男友結婚了
[45:14] 希望挨大可以用跟安哥說話的語氣
[45:17] 跟我男友說
[45:18] 寶貝愛你呀
[45:20] 有你在我很幸福呀
[45:22] 真的是這樣子
[45:23] 我幫我跟小朋友講話高八度
[45:24] 雖然大家想說
[45:25] 其實跟小朋友講話
[45:26] 就正常講話就好
[45:27] 但我沒有辦法
[45:27] 我一定在高八度
[45:28] 那謝謝來到一家
[45:29] 來到一家
[45:30] 每天都過得很幸福
[45:31] 那也恭喜你們
[45:32] 希望你們可以順利的定下來
[45:34] 下面一位
[45:35] R Rose
[45:37] 拜託念我
[45:38] 需要男生的建議分享
[45:40] 如果在某個場合
[45:41] 或者說在路上
[45:41] 看到一位漂亮的女生
[45:43] 偷拍女生的長相嗎
[45:45] 那這個舉動正常嗎
[45:46] 是小事情嗎
[45:47] 我昨天發現
[45:48] 我的另一半
[45:49] 在吃飯的場合
[45:50] 偷拍同時在吃飯的女生
[45:52] 他說他覺得他很漂亮
[45:53] 只是存在手機
[45:54] 沒有要做什麼
[45:55] 我不知道是我自己
[45:56] 是不是反應太大
[45:57] 我覺得自己沒有被尊重
[45:59] 但這個事情
[46:00] 本來就是很正常的
[46:01] 好我們先不去管
[46:03] 這個社會的普世價值
[46:04] 怎麼看
[46:05] 我先講說
[46:06] 如果我今天看到一個女生
[46:07] 我去拍這個女生的話
[46:09] 我會死掉
[46:10] 我頭會被切掉
[46:12] 我會被從25樓推下來
[46:13] 有一個火車經過的話
[46:15] 我會踹到軌道里面去
[46:16] 如果是開車的話
[46:17] 我會直接被開車門踢下去
[46:18] 如果今天吃飯的話
[46:19] 可能一個刀子就飛過來
[46:20] 我沒有在跟你誇視
[46:22] 我是講真的
[46:22] 就是我不可能可以做這種事情
[46:24] 我不可能可以去拍一個女生
[46:26] 然後還存在手機
[46:28] 我光是拿手機去拍女生這件事情
[46:30] 我就死了
[46:31] 至少這個是我們家裡是這樣看
[46:33] 那如果我去揣摩普世價值的話
[46:35] 我會覺得
[46:36] 如果今天是像什麼
[46:39] 田步正在上面唱歌
[46:40] 你老公拍他
[46:41] 應該沒問題吧
[46:42] 你應該沒問題吧
[46:43] 那如果你沒問題的話
[46:44] 那OK
[46:44] 這一關我們是過關
[46:45] 那如果今天是大學同學上臺唱歌
[46:48] 我拍他
[46:49] 你應該沒問題吧
[46:50] 這個我可能也覺得還好
[46:51] 雖然我老婆會有意見
[46:52] 但其實我覺得這個可能還好
[46:53] 但如果今天是
[46:54] 莫名其妙大家坐著
[46:55] 然後他也沒有在表演
[46:57] 他也沒有在一個
[46:58] 你知道就是
[46:59] 站在公眾場合面前
[47:01] 要去做宣誓
[47:02] 就是你拿起手機拍
[47:03] 他是合理的
[47:03] 一個狀況之下
[47:04] 他在吃飯
[47:05] 你從旁邊去側拍他
[47:06] 感覺我覺得是
[47:07] 蠻creepy的
[47:08] 甚至是
[47:09] 有一點奇怪跟變態的
[47:11] 我感覺是這樣子
[47:12] 就這個真的就叫做投拍了
[47:14] 所以其實你會生氣
[47:15] 我覺得非常合理
[47:17] 非常合理
[47:18] 那自大你有沒有需要
[47:19] 像我老婆這樣
[47:20] 直接把我那種處置掉的話
[47:22] 那我覺得那有點過頭啦
[47:24] 只是就是說
[47:24] 他的這個行為真的怪怪的
[47:26] 下面一位
[47:26] 很喜歡你用客家話的口語
[47:30] 罵破病子
[47:32] 每次都會反覆
[47:34] 一直聽一直笑
[47:35] 那12月12號是我生日香
[47:37] 請你用客家話
[47:38] 祝福我生日快樂
[47:39] 愛你
[47:39] 我們祝你
[47:40] 下面一位
[47:42] 拉皮送爽美
[47:44] 成入標題
[47:45] 拉皮一直白給
[47:46] 一堆泥雞都在指揮官身上喘了
[47:48] 就你拉皮被瓶水打發
[47:50] 到底宋爽眠什麼時候要去指揮官身上喘
[47:52] 他不是已經拿那個夜死枕頭出來了嗎
[47:55] 那個夜死枕頭拿出來就是應該有在喘啊
[47:57] 其實我本人是非常喜歡拉皮這個角色
[48:00] 應該說我後來發現
[48:01] 我對聲音真的是特別敏感
[48:03] 所以我喜歡拉皮的這個聲優
[48:06] 然後發現這個拉皮的聲優就是2B的聲優
[48:08] 然後也是米卡莎的聲優
[48:10] 所以我一瞬間就串起來了
[48:11] 就是說其實我喜歡的是聲優
[48:13] 那角色的部分呢
[48:14] 當然他可能也蠻可愛
[48:15] 可是聲優真的是佔了一個很大的比例
[48:17] 那我們希望大皮可以找日的稅報指揮官
[48:19] 因為真的一堆泥雞都已經去搶上位了
[48:21] 所以搞得好像他不太像是女主角
[48:23] 下面一位
[48:24] Greal Rips
[48:25] 年末感謝文
[48:26] 感謝國愛大大
[48:27] 之前有留言轉調部門
[48:29] 也收到挨大的鼓勵
[48:30] 有人鼓勵還是多信心
[48:32] 也雖然最後上層不同意轉調新加坡工作
[48:35] 那最近因為自己貪小便宜而遭到詐騙
[48:39] 掛號靜音
[48:40] 大比辛苦存的錢不翼而飛
[48:43] 一個人北漂打拼
[48:44] 雖然還有穩定的工作
[48:45] 但人在一個很低潮
[48:47] 那希望大家可以給點鼓勵
[48:48] 希望自己可以振作精神
[48:50] 那最後就來大家聖誕快樂
[48:52] 可愛的大寶二寶都平安長大喲
[48:54] 那看起來這位兄弟
[48:56] 沒有什麼事情
[48:56] 可以這樣子淡然的面對
[48:58] 然後還跑來祝我們聖誕快樂
[49:00] 那我也祝你聖誕快樂
[49:01] 然後祝這筆錢
[49:02] 可以儘快的把它賺回來
[49:03] 我們就不要去期待說
[49:04] 怎麼可以從詐騙的身上拿回來
[49:06] 因為真的很難
[49:06] 那我們也譴責詐騙仔
[49:08] 詐騙真是他媽死上最垃圾的一群人
[49:10] 我希望可以去嚴刑重罰這些人
[49:12] 那希望你可以儘快的
[49:14] 就是找到一些機會
[49:15] 然後把這些遺失的財富給找回來
[49:18] 加倍找回來
[49:19] 希望你在我們都可以順利
[49:21] 那也祝你一切平安
[49:23] 然後再念一個
[49:24] 石馬特奇米
[49:26] 人生苦短
[49:27] 指南巧虎你好
[49:27] 先前用三四個月在臺子齊賺了一百萬
[49:30] 然後卻用一個禮拜就賠光了
[49:32] 不管是賺錢或是賠錢
[49:33] 感覺這個過程心情都不太受影響
[49:36] 像我這樣子有點麻木
[49:37] 對數字不敏感的人
[49:38] 是不是不太適合投資
[49:39] 然後最後希望巧虎用
[49:41] 沒有左邊淡淡的
[49:42] 麻吉大哥
[49:43] 語音助我同事
[49:44] Ruby可以早日成功受孕
[49:46] 早日生個可愛的baby
[49:47] 我們祝Ruby順利
[49:49] 其實如果你可以
[49:50] 把錢不當錢的話
[49:52] 我會覺得
[49:53] 在投資裡面算是幫助
[49:55] 但每件事情
[49:56] 沒有絕對的好跟壞
[49:57] 把錢不當錢
[49:58] 如果就是像你這樣
[49:59] 可以直接亂賠
[50:00] 把它賠光的話
[50:01] 那當然是不好的事情
[50:02] 只是我意思是說
[50:04] 因為其實像我們
[50:04] 好像在前幾期QA有聊到
[50:06] 好像你不會變大之後
[50:08] 很多人面對損益
[50:09] 他會變成
[50:10] 他甚至不敢交易了
[50:11] 他每次買
[50:12] 然後那個一個震盪
[50:12] 他覺得說
[50:13] 我這賬上損失多少錢
[50:15] 他心裡就不舒服
[50:16] 他就做出一些不理性的判斷
[50:18] 所以其實某個程度上來說
[50:20] 不把錢當錢
[50:21] 把它當成是某種賭場裡面的籌碼
[50:23] 然後你就是很理性的去面對它
[50:25] 它是一個加分
[50:26] 那只是如果說不把錢當錢
[50:28] 然後把它當樂透去隨便亂玩的話
[50:29] 那又是一個扣分
[50:31] 所以要去抓這個平衡
[50:32] 但是我覺得
[50:33] overall來看的話
[50:34] 就是如果你可以
[50:35] 不把錢看得太認真
[50:38] 就是說你可以很淡然去面對它
[50:39] 那種錢的一個回吐
[50:41] 或者說損失
[50:41] 你心情不會受到影響的話
[50:43] 其實你更可以做出
[50:44] 很多理性的判斷
[50:45] 那只是前提是
[50:46] 你要是理性的
[50:47] 你要認真的去規劃你的部位
[50:49] 而不是就是什麼
[50:50] 用一個禮拜把它賠光
[50:51] 代表說我就是隨便亂槓
[50:52] 隨便亂賭
[50:52] 甚至就是把它當成是
[50:54] 某種那種價外的OP
[50:55] 在亂壓了
[50:55] 這個就是比較不好
[50:57] 但其實這個特質是適合投資的
[50:59] 適合交易適合投資
[51:01] 我認為只是要懂得去運用它
[51:03] 不要推到一個極端
[51:04] 好大家拜拜
