[00:00] 欢迎收听谷爱,我也是孟公
[43:19] 你是百分之百确定的
[43:20] 到底有沒有這種事
[43:21] 沒有這種事
[43:22] 像我最近PO照片
[43:23] 有一個聽眾很可愛
[43:24] 他就在下面留言說
[43:25] 孟公希望你還是可以戒酒
[43:27] 因為酒就是什麼百分之百致癌物
[43:29] 兄弟我跟你講燒烤的黑黑的也是致癌物
[43:32] 糖也是致癌物
[43:33] 老實講你真的什麼都要怕
[43:35] 你就是什麼都不要做
[43:36] 你就每天你說我吃青菜可不可以
[43:39] 結果你吃青菜
[43:40] 你怎麼知道你吃的青菜
[43:40] 會不會是農藥灑特多的
[43:42] 你根本也不曉得
[43:43] 或是你又不會以為自己是什麼
[43:46] 那叫什麼Steve Jobs
[43:47] 他不是說他有一段時間只吃酪果嗎
[43:50] 因為他的宗教還是什麼信仰關係
[43:52] 他只是落國
[43:53] 你看他吃那種純天然的也是幹
[43:55] 吃到後來他也是提早就走了
[43:57] 所以沒有人知道未來會怎麼樣
[43:59] 但這個世界最變態或最白癡的點
[44:01] 就是一堆人就是非常的有自信
[44:04] 未來一定會怎麼樣
[44:05] 不管是股票養生或是育兒什麼
[44:08] 但真的沒有人知道
[44:09] 那我會覺得就是孩子成年之後
[44:11] 你就已經無法去改變什麼
[44:13] 所以你說假設是我今天是
[44:16] 什麼孫鵬之類的
[44:17] 你說我這時候該怎麼辦
[44:18] 還能怎麼辦
[44:19] 就孩子都長大成年
[44:20] 那就是他靠他自己了
[44:21] 但我們在養育上
[44:23] 我們會盡可能的去
[44:24] 讓他識別什麼是對是錯
[44:26] 什麼東西是
[44:28] 可能是不好的行為
[44:29] 在餐廳裡面
[44:30] 大小聲去影響別人
[44:31] 可能是不好的行為
[44:32] 也會機會教育
[44:33] 像舉例來說
[44:34] 我們到芭蕾島的餐廳去吃飯
[44:36] 就有那種隔壁桌
[44:38] 也不要講是哪國的人
[44:39] 可是大家心中
[44:40] 就一定會有字跑出來
[44:42] 就很大聲
[44:43] 可是我就會快跟我老婆
[44:45] 跟我孩子講說
[44:45] 你看雖然他們很大聲
[44:47] 非常沒有禮貌對不對
[44:48] 可是你看
[44:48] 他们隔壁
[44:49] 就是有另外一桌的孩子
[44:51] 在那边大哭的时候
[44:52] 那可能别桌的一些客人
[44:53] 会被吓到
[44:54] 我靠怎么突然间哭那么大声
[44:56] 可是那些很大声的人
[44:58] 他们反而就
[44:58] 我不会觉得很大声
[44:59] 因为我们自己本身就很大声
[45:01] 所以你看对于隔壁桌
[45:03] 有点尴尬的父母来讲
[45:04] 这桌很吵的客人
[45:06] 好像是说里面最体会的
[45:08] 因为他没有在小朋友
[45:09] 突然叫一声的时候
[45:10] 转头看他之类的
[45:11] 所以我觉得世间的一切
[45:13] 都是非常的
[45:14] 你没有办法讲说
[45:16] 百分之百会怎么样
[45:17] 我们能够做的就是
[45:18] 我們把一些
[45:19] 可能從小我們受到的靈感啟發
[45:22] 我知道說當時我可能某一個老師
[45:24] 或是哪一個長輩跟我講什麼
[45:26] 導致我沒有走偏調
[45:28] 或是我因為怎麼樣
[45:29] 產生了好的結果
[45:31] 我把這個東西複製下去
[45:32] 其他的去親近孩子的聲音
[45:34] 就是說要怎麼樣
[45:35] 確定你不會養出那樣子的孩子
[45:36] 我不覺得有人可以保證
[45:39] 有些人講說那你就管他
[45:40] 這樣超嚴格就好
[45:41] 可是你看到很多最後面
[45:42] 出來大暴走的
[45:44] 那個都是從小被管到死的
[45:46] 真的解放之後
[45:47] 他就直接啞小
[45:48] 他有做很多很奇怪的事
[45:49] 所以沒有人有正確答案
[45:51] 我們只能夠說就是
[45:52] 盡可能的在符合社會的期待
[45:55] 跟大眾的價值觀之下
[45:57] 你不要變成是可能
[45:59] 另外一本書架上的量產的書
[46:02] 同時你去發揮自我個性的時候
[46:05] 不會去影響到別人
[46:06] 但你完全不影響到別人是不可能的
[46:09] 可是就是盡可能的不要影響到別人
[46:11] 我覺得這樣子
[46:12] 小孩要長成什麼樣子
[46:13] 其實我們都是樂觀其成
[46:14] 這個可能沒有辦法直接回答你問題
[46:16] 因為我覺得任何一個聲稱可以回答你問題的人
[46:19] 他一定沒有在養小孩
[46:20] 或是他不知道自己在講什麼
[46:21] 下面一位
[46:22] 傑西本人 夢宮chika 早安
[46:24] 又是他 早安
[46:25] 下面一位
[46:25] Holy Miley 夢宮大力和
[46:28] 最近兩集聽得頻頻點頭
[46:30] 健康平靜的生活就是人生的真諦
[46:32] 可以請教夢宮三餐都吃哪些食物維持身材嗎
[46:35] 另外我的一生摯友
[46:37] Heaven在8月18號生日
[46:38] 可以借夢宮金口唱一句
[46:40] Lana da Ray的Say Yes to Heaven
[46:43] 還真的不會唱
[46:44] 來祝福即將迎來新篇章的他媽
[46:46] 感谢孟公爱孟公祝福何家平安顺心爱你
[46:50] 我觉得超怪
[46:51] 问我说怎么样维持身材
[46:53] 听起来超奇怪
[46:54] 因为我的印象中
[46:55] 我自己就是一个肥仔
[46:56] 但确实我现在身材是维持的还行
[46:59] 持续的去做锻炼
[47:01] 我觉得现在线条也开始有跑出来
[47:03] 我其实怎么讲
[47:04] 就饮食方面没有特别的小心
[47:07] 如我所说
[47:08] 就是我本身是认为吃东西
[47:10] 是很重要事情的人
[47:11] 因为吃东西就是一个抗忧郁的事情
[47:14] 如果我今天没有办法吃东西的话
[47:16] 那可能我会变超级犹豫
[47:17] 我人生已经没有什么好期待的
[47:19] 那所以我在做的事情比较偏向是
[47:21] 我为了可以肆无忌惮的吃
[47:24] 当然不是说暴饮暴食
[47:25] 就是想吃什么就是什么
[47:26] 那所以呢
[47:27] 我才去健身才去锻炼
[47:29] 才去什么饮食控制或什么的
[47:31] 但终究目的是我是为了吃
[47:32] 那所以以我目前的状态来讲
[47:35] 我是不吃早餐的人
[47:37] 应该说我一直以来都是不吃早餐
[47:38] 那可能早上就会一个冰咖啡冰美式
[47:42] 有时候喝espresso不一定
[47:43] 那到中午的话呢
[47:45] 會吃個什麼健康便當之類的
[47:47] 或是不知道有時候有點麥當勞
[47:49] 反正就是那種簡單的便餐
[47:51] 那晚餐就是蠻容易會幹大的
[47:54] 就像說去外面叫人家切個1500塊的剩魚片
[47:58] 絕對不要鮭魚 鮭魚不好吃
[47:59] 有什麼酷東西就會請老闆跟老闆娘幫我安排一下
[48:03] 然後不然就是去吃什麼麻辣鍋 吃火鍋
[48:06] 有時候會跑去吃吃到飽
[48:07] 雖然前面有一段時間沒有辦法吃吃到飽
[48:09] 但最近又可以吃吃到飽 很神奇
[48:10] 達蒙尖了卻可以吃吃到飽
[48:12] 還可以吃蠻多的
[48:13] 所以大概就是這樣子
[48:15] 那我的關鍵並不是在飲食方面
[48:18] 這個食量可能你可以去做一點節制
[48:21] 可是我還是覺得要多元要好玩
[48:22] 不然媽到底活著要幹嘛
[48:24] 那下面一位ML
[48:26] 期許自己可以走出產後焦慮跟憂鬱
[48:29] 那曾經在YT留言
[48:31] 期許有小孩的聽眾
[48:32] 雖然在2025年順利的生下寶寶
[48:34] 但因為太不熟悉幼兒照顧
[48:36] 搞得既焦慮又憂慮
[48:38] 那覺得失去了自我
[48:40] 還好孩子的爸爸是神隊友
[48:42] 尽可能的维持家庭生活正常
[48:43] 也辅助我的情绪平复
[48:45] 借助为金口向观音断习求
[48:47] 神队友花生早日获得圣葬遗址
[48:50] 让家庭生活更圆满
[48:52] 我愿捐出一个月的薪资
[48:53] 给慈善机构做感谢
[48:55] 那并祝福孟公家
[48:56] 以及各位听众平安喜乐
[48:58] 好那首先先希望你的先生呢
[49:01] 可以顺利的获得圣葬遗址
[49:03] 我不知道这个东西
[49:04] 不知道排很久
[49:05] 但听起来感觉就是
[49:06] 大家希望他可以顺利的拿到
[49:08] 那在产后的忧郁的话
[49:11] 它是一個比較難搞的東西
[49:12] 因為那個不是說什麼媽媽可以控制的
[49:15] 有時候就會發生
[49:16] 那跟身體裡面一些激素是有關係的
[49:18] 然後裡面的一些有的沒有的
[49:20] 只是焦慮的話算是可以控制
[49:23] 我只能夠說就是在第一胎的時候
[49:24] 確實會有很多的焦慮
[49:26] 就連生父也會有很多的焦慮
[49:28] 因為你沒有養過孩子
[49:29] 然後到第二胎之後
[49:30] 也不是說什麼照主養
[49:32] 長輩講的很壞
[49:33] 沒有這麼壞
[49:34] 但你確實會比較chill一點
[49:36] 你會知道說其實第一胎有很多你的擔心都是
[49:39] 你就是多擔心了
[49:40] 就像很多家長會去設定超多
[49:42] 很嚴苛的條件
[49:43] 你就想你小時候就不是這樣長大的
[49:45] 為什麼你現在會可能到處聽一堆
[49:47] 媽的育兒專家
[49:48] 然後變成你幫小朋友弄一堆
[49:50] 超級多障礙
[49:51] 然後這個孩子長大
[49:52] 搞不好還會討厭你之類的
[49:54] 那就變成說其實全家都很累
[49:56] 所以很多的焦慮其實是來自於說
[49:59] 因為你到處看人家講說
[50:01] 孩子要怎麼樣養
[50:02] 所以你就東聽一點西聽一點
[50:04] 最後面是怎麼樣
[50:04] 你要想說每個出來發表的
[50:06] 他可能就是說我限制某個東西
[50:08] 然後我怎麼樣
[50:09] 但是你聽了10個人之後
[50:11] 變成你是限制了10個東西
[50:12] 你聽得懂嗎
[50:13] 你以為你會搞出一個最完美的formula
[50:15] 所以其實我覺得這幾個QA全部可以串在一起
[50:18] 包含最前面那個問股票的
[50:20] 然後再來問養小孩的
[50:21] 然後再來問說育兒焦慮的
[50:23] 其實最核心的問題都是
[50:25] 怎麼會有這麼多人相信說世間有標準答案
[50:28] 真的沒有標準答案
[50:30] 那些告訴你有標準答案的人
[50:31] 告訴你怎麼樣生活
[50:33] 人應該幾歲就要怎麼樣
[50:34] 然後什麼資產一定要怎麼樣
[50:37] 小朋友一定要怎麼樣
[50:38] 你們沒有送什麼學校嗎
[50:40] 我們都有
[50:41] 基本上99%在教人家做事
[50:43] 自己都不知道自己在幹嘛
[50:44] 我後來看到後來就懂了
[50:46] 所以我跟你講你要怎麼樣降低焦慮
[50:48] 你退出一堆什麼家長群組
[50:49] 那種話越多的人就把它設定mute
[50:51] 就不要聽就對了
[50:52] 不用看一堆什麼育兒影片
[50:54] 你還是要有基礎的知識跟常識
[50:55] 沒錯相信自己的一些直覺
[50:57] 相信醫師這是最重要的
[50:58] 不要相信一些什麼地方婆媽地方叔叔
[51:02] 沒有他們的事
[51:03] 也不要相信你爸爸媽媽跟你講沙小
[51:05] 反正醫師怎麼跟你講
[51:06] 爸媽自己做為基礎研究之後
[51:08] 你就follow the flow
[51:10] 就是跟著感覺去就對了
[51:12] 這是我給大家的一個建議
[51:13] 但我講這個一定會受到一些抨擊
[51:14] 因為世界上真的有很多那種蠢狗
[51:17] 就是你自己也不是過很好的生活
[51:18] 然後整天要跑出來教人家怎麼樣過生活
[51:21] 然後幫大家行訴超多的壓力
[51:23] 你要跳出這個世界
[51:24] 不然會很辛苦
[51:25] 那大家掰掰
