[00:00] 欢迎收听赵怀古惑载地1152集
[46:40] 可是300万全部O盈
[46:41] 还是在股市里面的
[46:42] 所以它就会变成
[46:43] 从300万跌回来
[46:45] 导致你就会有那一种
[46:46] 怎么忙了一整个半年
[46:48] 却倒吐的感觉
[46:49] 还不是把获利赔光
[46:51] 是已经有人说
[46:52] 有倒吐的感觉
[46:54] 是这个原因
[46:54] 所以大家在杠杆上要留意
[46:57] 因为也有朋友传讯息说
[46:59] 他就是在最后一把的时候
[47:00] 开了杠杆
[47:01] 本来前面用线股都没事
[47:03] 这些我觉得
[47:04] 只要大家现在还在市场上
[47:07] 都不要太烦恼
[47:09] 对不对
[47:09] 都不太烦恼
[47:10] 刚刚讲了有余钱的人
[47:11] 你先把基本金三角配置做一下
[47:14] 剩下一点点钱
[47:15] 你要去赌个反弹
[47:16] 你要做个短线
[47:17] 我觉得问题不大
[47:20] 问题不大
[47:20] 因为现在台股并没有法人出具说
[47:24] 怎么基本面很烂的一个这样的情况
[47:26] 那当然跟汉委还是一样
[47:28] 如果我们有发现
[47:29] 像刚刚讲的厂商在拉货
[47:31] 这个事情会造成
[47:32] 有一些公司的营收
[47:33] 可能会出现
[47:34] 比较不好的状况
[47:35] 我们会跟大家来做分享
[47:36] 跟提醒
[47:37] 好
[47:38] 那我们今天的
[47:39] 古货仔
[47:40] 就到这边了
[47:41] 对
[47:42] 我们刚开场的时候
[47:43] 有宣传一下
[47:44] 有一个按联讲座
[47:45] 大家有兴趣的话
[47:45] 也可以报名
[47:46] 好
[47:47] 大家拜拜
[47:47] 好
[47:48] 大家拜拜
