[00:00] 欢迎收听赵华宜股货载第1073集
[46:41] 总行了吧
[46:42] 现在就安排赏风咯
[46:45] 很棒很棒
[46:46] 所以大家如果
[46:49] 还没有下载
[46:50] 这个吉宝一手掌握的话
[46:51] 我就可以下载一下
[46:52] 那我觉得蛮多人
[46:54] 应该都下载了
[46:54] 那也是今天
[46:55] 借由这个Podcast
[46:56] 让大家了解一下
[46:57] 又有这个新的
[46:59] 股东会的投票
[47:00] 和这个赠品等等的
[47:02] 他可以也做一个一化
[47:03] 方便大家做
[47:04] 领取跟你的维护权益
[47:06] 包括这个吉宝中心
[47:08] 也有自己的抽奖活动
[47:10] 那详细的内容
[47:11] 大家就可以
[47:11] 不管是他们的网站
[47:13] 或是上他们的APP
[47:14] 里面会写得更详细
[47:15] 看看大家能不能抽到
[47:17] 到大阪商务舱的机票
[47:18] 对 再提醒大家
[47:19] 就是你不管
[47:20] 从哪一个管道进去
[47:22] 一定要在电子投票
[47:24] 那个选项里面进去
[47:26] 那你进去之后
[47:27] 基本上来讲就会
[47:28] 资讯就会非常的清楚
[47:30] 然后记得完成电子投票
[47:32] 不要把委托书给人家
[47:33] 活动期间是3月23号到6月30号
[47:37] 就中间哦
[47:38] 7月6号才抽奖哦
[47:40] 所以现在还有一个很长的时间
[47:41] 大家可以进去
[47:42] 那他这边也希望我们帮忙提醒一下
[47:45] 就是他说这边
[47:46] 要登记这个抽奖活动的话
[47:48] 要确认您要填写真实的姓名
[47:51] 户籍地址手机号码等各自
[47:53] 当然大家现在对各自都很保护
[47:55] 但是如果您不填的话
[47:56] 他没有办法把奖品送到正确的人手上
[47:59] 所以不要让权益给睡着了
[48:01] 那最后一个补充就是说
[48:03] 刚刚有提到
[48:04] 如果你不只有一档股票的话
[48:06] 因为它是按照公司
[48:07] 所以它并不是说一个账户
[48:10] 如果你有
[48:11] 譬如说刚刚讲14颗灯的那个
[48:13] 所以你最起码就有14张了
[48:15] 14张不同的公司
[48:17] 都可以累积一个抽奖的机会
[48:19] 所以我觉得这个地方也很重要
[48:21] 反正简单来讲
[48:23] 就是你账上有多少各股
[48:25] 不同的各股
[48:26] 基本上就可以帮你累积
[48:28] 不同的抽奖机会
[48:29] 好 那我们也双向监督
[48:31] 如果你的股票
[48:32] 发现吉宝中心还没有办法把它纳入的
[48:34] 我们也来push一下吉宝中心加油
[48:36] 赶快把所有的上市柜公司
[48:38] 都能纳入这么好的电子体系里面
[48:40] 对 没错
[48:40] 那今天很谢谢志源哥
[48:41] 我们前面也讨论非常多
[48:43] 有关主动式ETF
[48:44] 甚至如果您喜欢比较小额门槛进场的话
[48:48] 主动式基金还是有它厉害的地方在
[48:50] 两个都蛮好的
[48:52] 但是当然大家非常喜欢台股这种灵活交易
[48:54] 所以主动式的ETF的成长速度
[48:57] 以前我们讲百亿基金就是大基金
[49:00] 现在叫做千亿ETF
[49:02] 真的是很难想象
[49:03] 发行不到一年就有一千亿
[49:05] 这个投信也找到一个新的春天
[49:07] 对没错
[49:08] 好
[49:08] 那我们就跟古厚仔的朋友
[49:10] 说拜拜吧
[49:10] 拜拜
