[00:00] 欢迎收听赵华宜古货仔第1078集
[50:09] 那题材发酵了
[50:10] 我可能会比较以报酬率的角度来想
[50:13] 我要不要做获利了解
[50:14] 我本来就是一个在个股上面
[50:16] 陆陆续续可能会做获利了解的
[50:18] 那当然我也可能看走眼
[50:20] 因为被动元件对我来说
[50:22] 包括像经济这样的
[50:22] 实营元件公司
[50:23] 它比较
[50:24] 我会觉得比较有天花板
[50:26] 比较不会像
[50:27] 有些公司什么细光子
[50:29] 还没有赚到大钱前
[50:31] 50倍100倍本益比这样给
[50:32] 我觉得可能我的既定印象
[50:34] 就是被动元件
[50:35] 如果今天你涨到30倍本益比
[50:37] 就应该已经是个超级顶天
[50:39] 这样子
[50:40] 所以我还是用我的
[50:42] 也许是比较老旧
[50:43] 但也许是有用的观念
[50:44] 在看这个族群
[50:45] 对
[50:46] 所以这目前是我的想法
[50:48] 那我看到敏汉已经准备睡去念
[50:50] 可是我先念下一个
[50:51] 因为我们的时间的关系
[50:53] 这一位幸好是敏汉
[50:55] 因为我看完这个人写
[50:57] 我已经有点想要流眼泪了
[50:58] 对
[50:59] 就是昨天我有念一位
[51:01] 这个在法律界工作的女生
[51:04] 有没有
[51:04] 就是她后来晋升出户
[51:06] 从500块
[51:07] 后来到650万的事情
[51:09] 那这一位应该可能也有一点感受
[51:11] 就有传讯息给我
[51:13] 她也想分享一段是重生的故事
[51:16] 那我也是稍微保留下他的背景
[51:18] 因为我也不是那么确定
[51:20] 讲出来好不好
[51:21] 不过因为他跟我们
[51:22] 他是有想要跟我们分享
[51:23] 他说因为他被外遇
[51:25] 所以结束了交往到结婚
[51:28] 二十多年的感情
[51:29] 那离婚后就陷入了人生的谷底
[51:31] 甚至要跑去看医生
[51:33] 后来转换心情的方法
[51:34] 就想说要学新的事物
[51:36] 所以就听赵华宇古惑哉
[51:38] 然后他说
[51:39] 您的声音陪我走过家务的空档
[51:41] 通勤的路段
[51:42] 或是崩溃大哭的夜晚
[51:44] 他说每集收听
[51:45] 后来小朋友也认识您了
[51:47] 他会跟小朋友说
[51:48] 这是一个教妈妈理财的老师
[51:50] 那资金有限的单亲妈妈
[51:51] 只能从一窍不通入门
[51:53] 每次买五千块钱
[51:55] 到一万块钱的零股
[51:56] 买几股台积电
[51:58] 或是买几百股981A等等的
[52:01] 他说账面损益从一万
[52:02] 近日已经突破了二十万
[52:04] 他说从众多大神宗
[52:06] 我只是微不足道的小散户
[52:08] 可是这个累积的过程
[52:10] 给我很大的底气
[52:12] 他说你不只教我理财
[52:14] 更陪我走出了人生的阴霾
[52:16] 我已经有点要哽咽了
[52:18] 对我觉得大家好
[52:19] 好努力在过生活
[52:21] 然后很想跟他说
[52:22] 我有跟他说
[52:23] 其实辛苦您了
[52:24] 对对对
[52:24] 然后我说我其实在感情这一块
[52:27] 我不太懂得怎么安慰人
[52:28] 可是如果大家能够赚钱
[52:31] 或是获利的累积
[52:33] 可以弥补
[52:34] 就是对您来说是个安慰
[52:36] 这个我比较擅长
[52:37] 对感情上面的事情
[52:39] 我比较不懂得怎么安慰
[52:41] 但是教大家赚钱
[52:42] 这个OK
[52:42] 我们来听听看碎碎念歌怎么说
[52:45] 没有我觉得应该这样讲
[52:47] 人生有很多的这个方向不同的关卡
[52:51] 那当然啦
[52:52] 这个就是要过更好的生活
[52:55] 经济一定是一个基本的支撑
[52:57] 但是我觉得分享一下
[53:01] 我觉得我自己个人的观点比较奇怪
[53:04] 我一直以来
[53:05] 虽然说我不是很有钱
[53:07] 可是我一直觉得经济对我不是很大压力
[53:09] 其实不是真的
[53:10] 我要重申
[53:11] 我不是很有钱
[53:11] 但是我一直觉得
[53:12] 我对投资有信心
[53:14] 我自己有办法全身钱
[53:16] 所以哪怕我现在没有钱
[53:17] 我也觉得没关系
[53:18] 反正我过几天我就赚得到钱
[53:20] 这个是你家庭给你的安全感吧
[53:22] 我常常觉得有时候金钱的付诸感
[53:24] 有时候来自于家庭
[53:25] 家庭是
[53:26] 原生家庭
[53:26] 应该说原生家庭
[53:27] 给我的是在比较前段
[53:29] 就是说也许你十几二十几
[53:31] 甚至刚出社会的时候
[53:33] 家里还会给你一点点资金帮助
[53:36] 那个时候是有的
[53:37] 但是当你成家立业的时候
[53:39] 你总不可能靠家里的
[53:40] 对不对
[53:40] 那那个时间点
[53:41] 你就是要靠自己的能力
[53:43] 我的安全感是说
[53:44] 那种精神上
[53:44] 小时候可能让你有安全感
[53:46] 对对对
[53:47] 然后重点就是
[53:47] 你自己的能力
[53:48] 你会觉得说
[53:49] 我自己知道
[53:50] 要怎么去培养自己的能力
[53:52] 当你有能力
[53:53] 你就不会害怕
[53:54] 哪怕说现在可能不是那么有钱
[53:57] 但是你不断地一直学习
[53:59] 一直学习
[54:00] 那你就会发现
[54:01] 自己在那个对的轨道上
[54:03] 那哪怕说
[54:04] 现在的资金并不是很多
[54:06] 但是你可以看到
[54:07] 他的资金已经慢慢在成长
[54:09] 我觉得人生快乐的部分
[54:12] 其实很重要的
[54:13] 并不是说你多有钱
[54:15] 因为这个世界完全
[54:17] 我也是慢慢我才领悟到
[54:19] 这世界真的是
[54:20] 跟大家想的极而不同
[54:22] 我简单例子
[54:24] 因为我看过
[54:24] 我们以前在法人看过很多
[54:27] 我平常见面的投资人
[54:30] 都是高资产客户
[54:32] 他随便拿出来台积电
[54:34] 持有的张数可能都是百张以上
[54:36] 所以我认识很多人
[54:39] 我就发现
[54:40] 这个世界是不公平
[54:43] 每天早上九点一开盘
[54:45] 人家瞬间跳动赚的钱
[54:47] 是一般上班族
[54:49] 做一辈子都赚不到的事情
[54:51] 可是人家只每天的跳动
[54:53] 就是你一辈子的辛苦
[54:55] 这就是世界的差距
[54:56] 可是代表那个人一定快乐吗
[54:58] 那也不一定
[54:59] 因为他如果从小
[55:01] 就一直在很幽默的环境
[55:02] 其实他也没办法快乐
[55:04] 其实快乐的应该是
[55:05] 你從小生長就已經有一個基準所在
[55:08] 你不用跟別人比
[55:09] 可是你要跟自己比
[55:11] 你現在的架構
[55:12] 對比五年前十年前
[55:14] 你有沒有進步
[55:15] 你十年後更進步
[55:16] 你只要你只要能不斷的進步
[55:19] 你的經濟面越來越好
[55:20] 你的生活
[55:21] 你的選擇權越來越多
[55:23] 你自然就可以快樂
[55:25] 就像我剛開始也一樣
[55:27] 也是上班從很低的薪資慢慢往上爬
[55:30] 那賺了錢慢慢投資
[55:32] 然后我刚刚讲的
[55:34] 生活选择越来越多
[55:35] 从以前只能带小孩去旁边公园慢慢走
[55:39] 可以去比较远玩
[55:40] 到时候才勉强能够出国
[55:42] 这都是一个循序渐进
[55:44] 只要你人生有持续进步
[55:46] 就会人生我觉得才是快乐
[55:48] 所以回过头来
[55:50] 我常常讲上班就是正职那边一定要认真
[55:54] 因为你那边没有认真
[55:56] 你就没办法赚到钱拿来做投资
[55:58] 因为我以前遇过很多年轻的族群
[56:01] 就告诉我
[56:02] 可不可以教我当冲
[56:04] 他很希望就是不认真工作
[56:07] 然后就靠当冲赚到钱
[56:09] 我常常讲
[56:09] 如果当冲进去按一按就赚到钱
[56:11] 我今天我也不用上班
[56:13] 所以人还是要踏实一点
[56:15] 工作那边还是要认真
[56:17] 希望多赚一点点钱
[56:19] 把那些钱拿来投资
[56:20] 重点一定要用钱滚钱
[56:23] 因为有钱人都是靠钱滚钱
[56:26] 下去持续的一个增长
[56:28] 因为你靠你的时间
[56:30] 卖你的时间
[56:31] 其实是你的获利是有限的
[56:33] 所以这个是时间的累积
[56:35] 我刚刚提到
[56:35] 你只要时间的累积
[56:37] 财富能够累积
[56:38] 选择权越来越多
[56:39] 你的人生自然就会越来越快乐
[56:42] 对
[56:42] 这个也呼应到前两天
[56:44] 一直提到
[56:44] 有蛮多人传讯息来说
[56:46] 对于麦菲的痛苦
[56:48] 不要痛苦
[56:49] 我昨天跟今天念这两则
[56:51] 这个勇敢的两位女生
[56:52] 都是可以从一点点
[56:54] 几乎没有了
[56:55] 然后累积起来以后
[56:57] 就觉得非常开心
[56:58] 重点是她知道
[56:59] 如果用这样对的脚步下去
[57:01] 未来还是会更开心
[57:03] 对不对
[57:04] 我觉得这个是在投资市场
[57:05] 我们真的希望
[57:06] 可以给大家比较正面的感觉
[57:08] 我觉得
[57:08] 不管是不是讲到什么
[57:10] 股票很准
[57:10] 大家跟得很高兴
[57:11] 而是像明翰跟我都有一个
[57:13] 观察总体经济以后
[57:15] 告诉大家
[57:16] 在下去的时候
[57:17] 为什么不要害怕
[57:19] 可以捡到比较便宜的东西
[57:21] 因为现在有景气的底气
[57:22] 并不是我们两个都是死多头
[57:24] 如果今天景气出现问题
[57:26] 我们一定也会告诉大家有问题
[57:29] 但是如果没有问题的回荡
[57:31] 自然就是好机会
[57:32] 昨天的那一位女性
[57:34] 也是告诉我们说
[57:36] 因为一直提醒这样
[57:37] 所以她每次回荡
[57:38] 勇敢简的心情
[57:39] 是比这种害怕的心情来得高
[57:42] 所以它就累积起来了
[57:44] 我觉得这就是我们两个
[57:45] 会觉得最有成就感的地方
[57:47] 那也希望这些
[57:49] 就是聚沙成塔
[57:50] 然后从零开始
[57:52] 也过得很辛苦
[57:53] 可是现在你走出
[57:54] 自己一片天的听众朋友
[57:55] 可以继续保持你的快乐
[57:57] 然后知道
[57:58] 甩掉过去那一段不好的
[58:00] 真的是幸运的事情
[58:02] 不要为了辜负你的人
[58:04] 现在里面
[58:05] 因为你自己会找到更快乐的一条路
[58:08] 然后可以不用再浪费时间
[58:10] 浪费金钱
[58:11] 浪费情绪
[58:12] 在错误的人身上
[58:14] 我真的是比较不知道
[58:15] 怎么安慰大家在情感上的事情
[58:18] 对
[58:18] 那还有几位
[58:20] 就是我们已经在空中回答
[58:21] 说麦菲的心情
[58:22] 还是会一直纠结在
[58:23] 还是麦菲好难过
[58:24] 那不好意思
[58:25] 那真的帮不了你
[58:26] 真的就是认知到哪里
[58:28] 我们就赚到哪里
[58:29] 那因为今天时间的关系
[58:31] 每一次明翰来
[58:31] 我们都都爆表了
[58:33] 那接下来的话
[58:35] 晚上我们还有理财达人秀
[58:36] 有兴趣的朋友
[58:37] 也支持一下我们理财达人秀
[58:39] 那我们在空中跟大家说拜拜
[58:41] 拜拜
