[00:00] 歡迎收聽趙懷谷貨載第1020集1020
[43:06] 所以像相關的證券類股
[43:08] 群裕證啊
[43:09] 然後什麼
[43:10] 康和證啊
[43:12] 這些的都因為成交量的大漲
[43:14] 我覺得業績都會非常好
[43:16] 那也是大家可以對沖盤面上
[43:18] 你真的覺得盤面上臺股很熱
[43:19] 我覺得證券類股
[43:21] 其實也是大家可以考慮的一個標的
[43:22] 證券類股確實
[43:24] 因為如果說上市加上櫃
[43:26] 已經連續第三次看到
[43:27] 就是大概兆元這個數字了
[43:30] 前兩次是過
[43:31] 今天是差一點
[43:32] 但加盤後有可能會到
[43:33] 那這個證券股自然是賺飯了
[43:35] 光賺這個交易手續
[43:38] 而且現在當充的人還是很多
[43:39] 所以為什麼國家稅收有講說
[43:41] 證交稅這一塊看來又要超標了
[43:43] 所以這些都是很有趣的事情
[43:47] 但即使我們知道是
[43:49] 現在排面上這樣
[43:50] 很多股票在輪動輪漲
[43:53] 看起來都非常有機會
[43:54] 可是我跟浩偉哥都還是會強調
[43:56] 就是風險
[43:57] 31000 32000
[43:59] 當然大家都很嗨
[44:01] 可是你看我收到那麼多的訊息
[44:03] 都是跟我講
[44:03] 2025年其實沒有賺到什麼錢
[44:05] 我覺得追根究底
[44:07] 還是要回到
[44:09] 怎麼講
[44:09] 大家的操作的策略
[44:11] 和了解自己
[44:13] 到底適合什麼樣的商品
[44:16] 上面這件事情
[44:17] 不會賺到最多錢
[44:19] 可是至少不要缺席
[44:20] 那更不要反向放空
[44:22] 想這講爛掉了
[44:23] 因為圍臺大概已經連續放空
[44:25] 大概有兩三個禮拜了
[44:27] 都是呈現連續放空的狀態
[44:29] 那你說如果是為了避險
[44:31] 手上線骨真的很多
[44:32] 做一點圍臺的避險
[44:33] 我覺得那也沒有關係
[44:35] 就怕你的線骨不是
[44:36] 這個輪掌中長到的
[44:38] 可是圍臺卻做空被嘎到
[44:40] 這也是不舒服的
[44:41] 而且通常做到圍臺
[44:43] 我覺得不一定會有
[44:45] 那麼厲害的避險觀念
[44:46] 通常散戶朋友們做期貨
[44:48] 都還是希望槓桿放大
[44:50] 我覺得避險的觀念
[44:51] 很少都是大戶在做
[44:53] 我必須這麼講
[44:54] 所以還是回到老話一句
[44:58] 我們分享了非常多的產業
[44:59] 我們也都覺得
[45:00] 現在順勢而為
[45:01] 甚至基本面都變得
[45:02] 沒有那麼重要的情況下
[45:04] 但如果您是一個
[45:05] 沒有基本面
[45:06] 你的心情會不安定的人
[45:08] 我覺得真的不妨
[45:09] 就是讓ETF幫你操作
[45:10] 我接到那麼多的來詢問的
[45:13] 我覺得最後的結論
[45:14] 真的是如此
[45:15] 因為也唯有跟大家分享
[45:17] ETF的操作和策略
[45:19] 我覺得我的心也比較安
[45:20] 如果我跟你去講
[45:21] 這檔股票如何如何
[45:22] 我自己也有很喜歡的股票
[45:24] 就像我喜歡錦碩
[45:25] 但是我並沒有希望大家跟錦碩
[45:27] 因為像我記得去年四五月的時候
[45:29] 也有很多人問我錦碩
[45:30] 因為那個時候股災
[45:32] 對
[45:32] 但是問的時候
[45:33] 我會覺得有一個問題是
[45:34] 他說為什麼錦碩會跌到這麼低
[45:36] 我就說因為現在是股災
[45:38] 所以大部分的股票都跌得很低
[45:40] 就是說很多人他聽完我們講之後
[45:43] 他其實對於整個盤市
[45:45] 整個盤感
[45:46] 整個產業在輪動什麼
[45:48] 他是沒有感覺的
[45:49] 他只知道
[45:50] 好像趙華有說他要買這檔
[45:52] 好像漢偉有說這個東西不錯
[45:54] 然後我就買了
[45:55] 那現在是股災了
[45:56] 其實全部的人都腰斬了
[45:58] 可是我們不會發現
[45:59] 現在是股災了
[46:00] 我只覺得我的股票怎麼腰斬呢
[46:02] 這是一個
[46:02] 就如果你連大環境的變化
[46:04] 都不清楚的話
[46:05] 我覺得這是一個比較
[46:07] 比較危險的事情
[46:08] 對
[46:09] 然後再來的話就是
[46:10] 因為很formal
[46:12] 那現在跑進來買
[46:13] 可是跑進來買
[46:14] 你會完全不知道說
[46:15] 它沒有基本面
[46:16] 為什麼它會一直漲
[46:17] 對
[46:18] 你會很擔心
[46:19] 所以我才會講說
[46:20] 如果今天是用ETF
[46:21] 第一個
[46:22] 你用四指型的
[46:23] 怎麼樣你就是跟大盤
[46:24] 跟大盤的好處就是
[46:25] 今天大盤漲
[46:26] 你不會錯過之外
[46:27] 今天大盤迴跌
[46:28] 你會知道在這個地方加碼
[46:30] 你總有一天它會再漲回來
[46:32] 因為大盤一直在往右側移動
[46:35] 可是中間會有漲有跌
[46:36] 那你說這個跌
[46:38] 是跌到月線就停了
[46:39] 不知道
[46:39] 還是跌到季線就停了
[46:41] 不知道
[46:41] 跌到半年線
[46:42] 跌到年線
[46:43] 跌到五年線
[46:44] 我們都發生過
[46:45] 我們都發生過
[46:46] 可是唯一可以知道的一點是
[46:48] 跌到月線
[46:49] 它就是你買在這個月
[46:50] 相對比較平均的水準
[46:52] 你已經不是買在最高點了
[46:54] 你買在季線就是這一季的
[46:56] 你買在年線
[46:57] 你就知道你現在是買在這一年的平均點
[46:59] 你不會買在最高點
[47:01] 我覺得這個心態上面
[47:02] 你就會放心的去加碼
[47:04] 我覺得這個是在大盤的部分
[47:05] 那像我個人非常喜歡科技
[47:08] 是因為我心裡面有積極的魂嘛
[47:10] 那科技型的
[47:11] 跟大家分享過非常非常多次
[47:13] 你喜歡臺積電
[47:13] 就有0052
[47:14] 72%的臺積電
[47:16] 它甚至裡面也有南亞科
[47:17] 那如果你喜歡
[47:19] 這個各種像
[47:20] 很多人會說
[47:21] 統一的FRNG
[47:22] 它好像十檔股票
[47:24] 收的管理費太高
[47:25] 人家是積極型的
[47:26] 我覺得你就去評估
[47:27] 有沒有必要去計較
[47:28] 它的管理費
[47:29] 那如果你真的覺得
[47:31] 管理費要用在
[47:31] 會衝績效的
[47:32] 那很多主動式的ETF
[47:34] 可是主動式ETF
[47:35] 就跟大家講了
[47:36] 他們也會受困於
[47:37] 最近各個產業在輪動
[47:38] 他們不一定
[47:39] 可以轉身的那麼快
[47:40] 因為他們太
[47:41] 之前績效太好
[47:42] 規模大家都目的太大了
[47:44] 這是一個問題
[47:45] 那如果被動式的
[47:46] 有很多科技式的
[47:48] 像剛剛講到的
[47:49] 有這個半導體的ETF
[47:50] IC設計ETF
[47:51] 甚至太空衛星ETF
[47:53] 你是積極型的
[47:54] 你就多少佈局一點
[47:56] 那我覺得實際點就是
[47:57] 你看到它今天
[47:58] 疊的比較多
[47:59] 你就佈局一點
[48:00] 其實講白了就是這樣子
[48:01] 它疊的比較多
[48:03] 你就佈局一點
[48:03] 這樣是不是一個
[48:05] 很簡單易懂的方式
[48:07] 但是你不要
[48:08] 你要all in
[48:10] 我也沒有意見
[48:10] 可是如果你要all in
[48:11] 就要比較耐心
[48:12] 因為他可能會
[48:13] 跌在這邊的時候
[48:14] 他會休息很久
[48:15] 然後你可能就會
[48:16] 為了你賬上損失個幾趴
[48:17] 感到坐立難安
[48:18] 所以我覺得分批去佈局
[48:20] 你不會得到最高的報酬率
[48:22] 可是你會得到
[48:23] 最適合自己跟安心的報酬率
[48:26] 對啊
[48:27] 所以我覺得其實就回歸到
[48:29] 因為我最近是
[48:30] 聽到蠻多投資朋友的心態
[48:32] 有些是買到股票都不會漲
[48:35] 像老外的股票
[48:35] 覺得很悶
[48:36] 怎麼業績好也不會漲
[48:38] 然後別人輪到AI股票
[48:39] 又輪不到他的
[48:40] 所以他有那種失落上的失落感
[48:42] 晚上睡不著覺
[48:43] 那有些人是買到很多強勢股
[48:45] 就買到記憶體啊
[48:47] 買到PCB啊
[48:48] 買到被動元件
[48:49] 最近漲了很多
[48:50] 然後晚上睡不著覺
[48:51] 睡不著的原因是因為
[48:52] 他很怕
[48:53] 我明天如果高點沒賣
[48:54] 會不會跌下來
[48:55] 也讓他覺得很困擾
[48:57] 所以我覺得
[48:57] 如果你都是這兩種人
[48:59] 其中之一的話
[49:00] 就代表說
[49:00] 其實你的部位
[49:01] 就會讓你不太舒服
[49:02] 那應該就要去做一些
[49:04] 調整的動作
[49:04] 如果你手上滿手是強勢股
[49:06] 其實賣一些
[49:07] 揮了結一些
[49:08] 我覺得不會太差嘛
[49:09] 就留一點給別人賺
[49:10] 那如果你滿手都是弱勢股的話
[49:12] 可能就要做一些適度的調整
[49:14] 如果你很羨慕別人賺很多
[49:16] 就像剛剛趙華所說的
[49:17] 那不要太發散
[49:18] 就是軍工也好啊
[49:20] 太空衛星也好啊
[49:21] 什麼說原物料的ETF也好
[49:23] 都買一些
[49:24] 我覺得這樣就失去它的效果
[49:25] 你還是集中到
[49:27] 比方說你認同了產業
[49:28] 你願意不管漲不管跌都在加嘛
[49:31] 像趙華可能喜歡科技類的
[49:32] 那有些人對高股息領襲很穩定的
[49:35] 那就把你的大部分資金
[49:36] 做一些高股息
[49:37] 反正你就是他的配息嘛
[49:39] 我覺得其實就回歸到
[49:40] 在投資上面
[49:42] 真的不要想說什麼都要賺
[49:44] 我覺得迴歸到
[49:45] 就是讓你自己可以抱著安心
[49:47] 然後晚上可以正常的睡覺
[49:49] 然後可以正常上班
[49:50] 不會整天在想說
[49:51] 今天股票漲100
[49:52] 要不要賣
[49:53] 那今天股票跌下來
[49:54] 破線要不要停損
[49:55] 如果你有這樣的困擾的話
[49:57] 我覺得都比較適合
[49:58] 大家用ETF去做一個操作
[50:00] 好就是
[50:01] 我們也喜歡分析產業跟個股
[50:03] 但迴歸到做法上面
[50:05] 散戶投資朋友們
[50:06] 大部分都有
[50:07] 嚴重的資訊不對等的問題
[50:09] 對
[50:09] 然後也比較會想要
[50:11] 聽了就想漲
[50:12] 可是漲了之後
[50:13] 還不見得賣哦
[50:14] 可能又回跌了
[50:15] 又會覺得很擔心
[50:16] 這些情況
[50:17] 希望大家我們在
[50:18] 2026年已經來了
[50:19] 在瘋狂的臺股
[50:21] 在很熱的市場上面
[50:23] 我們不要做
[50:24] 擔心害怕
[50:25] 和賠錢的那個人
[50:26] 我覺得至少是如此
[50:28] 那從24000以上
[50:30] 開始就這麼講了吧
[50:31] 雖然現在很高
[50:32] 在創新高
[50:33] 但是如果你
[50:34] 完全都沒有
[50:35] 你想要進場試試看
[50:37] 那你不妨就先佈局一個指數型的商品
[50:41] 先佈局一點
[50:42] 那往上你也會覺得至少我有
[50:44] 往下你可以再買一點
[50:46] 我想這個是最簡單
[50:48] 最簡單的方式
[50:49] 那當然很多股市的老手們
[50:51] 也會覺得沒關係啊
[50:52] 那現在我可能持股就不見得很高
[50:54] 其實我也聽到最近有很多
[50:56] 像漢爾哥這類
[50:57] 就是我身邊的達人們
[50:59] 其實都比較居高思維的
[51:00] 都不覺得現在一定
[51:02] 除了楊雲祥
[51:03] 楊雲祥哥他持股七成
[51:04] 那個是因為他是短衝戰神
[51:06] 我覺得那個是他的想法
[51:07] 那大部分人其實都有在高檔
[51:09] 稍微把自己的持股數
[51:10] 會降一點點
[51:11] 為什麼
[51:11] 因為他會等啊
[51:13] 等到大家很恐慌說
[51:14] 為什麼現在又跌到季線了
[51:16] 那時候他們可能就相對會比較積極
[51:18] 這個是在股市裡有經驗的人
[51:21] 我覺得比較不會有
[51:22] 那麼嚴重的formal的感覺
[51:24] 我覺得大家真的要找到
[51:26] 屬於自己好的方式
[51:28] 是因為最近收到的訊息
[51:30] 真的有點多
[51:31] 然後如果您手上的股票
[51:33] 我這邊再多囉嗦一個
[51:35] 像有一位問了某檔股票
[51:37] 那他有做功課
[51:38] 做功課的結果就是說
[51:40] 第一他當初可能是聽好朋友講的
[51:43] 因為這好朋友說
[51:44] 這家公司業績不錯
[51:45] 也有一定的市場的地位
[51:48] 這些是沒有錯
[51:49] 可是第二他也知道
[51:50] 這家公司在2025年的
[51:52] 繳出來成績不好
[51:53] 因為中國大陸那邊的狀況並不理想
[51:56] 那第三是這家公司最近有開法說
[51:59] 那開法說的時候
[52:00] 講的展望比較保守
[52:02] 然後他就問我怎麼想
[52:03] 我還沒有時間回他
[52:05] 那我這邊空中也聊一下
[52:06] 我對這樣的公司的想法
[52:08] 就是第一這家公司我知道
[52:09] 但是這家公司我已經賣了
[52:11] 為什麼
[52:11] 因為這家公司他沒有達到
[52:13] 當初他承諾的
[52:14] 那樣的一個獲利情形
[52:16] 因為你有follow他
[52:17] 你大概會知道
[52:18] 你可能本來預期他
[52:19] 至少賺個十塊
[52:20] 後來只有賺八塊
[52:21] 那當然可能會先給他機會
[52:23] 就是因為他之前法說
[52:24] 有講到說後面會變好啊
[52:26] 什麼的
[52:26] 可是當他近期的法說
[52:28] 開始變得展望保守的時候
[52:29] 那就沒有什麼理由
[52:31] 再跟他繳獲
[52:32] 我的意思是
[52:33] 他不是未來不好哦
[52:35] 就是他可能
[52:35] 某一天
[52:36] 他可能中國那邊的狀況
[52:38] 好了
[52:38] 或是他把他的產能啊
[52:40] 或什麼移出來
[52:41] 到別的地方去
[52:42] 終於變得比較好
[52:43] 這當然有可能
[52:43] 可是這會是一個
[52:44] 比較漫長的過程
[52:45] 那如果公司告訴你
[52:47] 他很快可以做到
[52:48] 那就再給他一次機會
[52:49] 但如果今天公司
[52:50] 都已經告訴你
[52:50] 展望保守了
[52:51] 那現在有那麼多
[52:52] 熱門的股票
[52:53] 是不是就不用
[52:55] 花太多的力氣
[52:56] 在等待上面呢
[52:58] 對
[52:58] 如果他告訴你有遠景
[53:00] 你等待當然是OK嘛
[53:01] 可他自己展望
[53:02] 相對比較保守
[53:03] 以及繳不出一個
[53:04] 本來預期的成績單的時候
[53:06] 我覺得適度的
[53:07] 就不要再關注他
[53:09] 假如你手上沒有
[53:10] 不用特別去說
[53:11] 我要蹲點
[53:12] 我今天就是要低階
[53:13] 我覺得要蹲點
[53:14] 要低階
[53:15] 一定前提是在
[53:16] 你相信他現在是委屈的
[53:17] 而且他可能即將要好轉
[53:19] 或他本來現在業績
[53:20] 就是本益比很低的
[53:22] 這種的我覺得可以理解
[53:23] 可是如果他現在狀況
[53:24] 是不好的
[53:25] 他告訴你
[53:26] 他自己也覺得
[53:27] 也很老實的說
[53:28] 我現在可能狀況不是很好
[53:29] 那不管怎麼樣
[53:31] 就不需要花那麼多的力氣
[53:33] 只關注他
[53:34] 可以多關注別人
[53:35] 對
[53:35] 我又囉嗦了
[53:36] 因為這些訊息比較多一點
[53:39] 好希望能夠解答到
[53:40] 大家就是有私訊我
[53:42] 或是有疑問的一些事情
[53:44] 那今天也謝謝漢尾哥
[53:45] 我們今天也講了蠻多的
[53:46] 也希望大家操作平安
[53:48] 那就今天的古破仔
[53:49] 跟大家說拜拜
[53:50] 好大家拜拜
