[00:00] 欢迎收听赵怀谷货载第1138集
[44:59] 那我们就等着台股创新高
[45:01] 一起让财富也跟着创新高
[45:03] 对没有错
[45:04] 台股今年终究我们觉得
[45:06] 还是要再创一下新高的
[45:08] 那自己的停利政策
[45:09] 出厂的策略
[45:11] 包括的配置
[45:13] 刚好反在震荡的时候
[45:15] 都很适合刚刚小明讲的
[45:17] 就是是交人才交的会
[45:19] 这点我是非常非常的认同
[45:21] 好那我们今天的古货仔
[45:23] 就到这边了
[45:24] 希望大家真的是
[45:24] 古海平安
[45:25] 大家拜拜
[45:27] 古货仔的新朋友
[45:28] 大家拜拜
