[00:00] 欢迎收听赵华谀古货载第1102集
[50:41] 然后你都不会怕
[50:41] 这种回答的时候
[50:42] 你不会觉得
[50:43] 我怎么一下赔那么多
[50:44] 我看到好多这几天
[50:45] 明明才跌几天
[50:47] 就很多人说
[50:48] 他的报酬
[50:49] 从正报酬变负报酬
[50:50] 那代表在高档的时候
[50:52] 可能买太多了
[50:53] 好
[50:53] 我觉得没有对错
[50:55] 但是观念要清楚
[50:57] 例如刚刚明翰哥讲的
[50:59] 假如你没有需要现金流
[51:01] 你就应该稍微重重重
[51:03] 对不对
[51:03] 如果你需要现金流
[51:05] 你就不要羡慕别人
[51:06] 再重重重
[51:07] 我觉得这个是
[51:08] 最重要的事情
[51:09] 好
[51:10] 碍于时间
[51:10] 很想再聊下去
[51:12] 但是我们要去准备理财打人笑了
[51:14] 这边先第一手跟我们的股货仔朋友
[51:17] 分享我们今天的心得
[51:18] 那如果切记
[51:19] 过几天又再有所修正的时候
[51:22] 我想大家应该这一次
[51:23] 会比较笃定一点点了
[51:24] 好那就跟各位股货仔们说拜拜咯
[51:27] 拜拜
