[00:00] 歡迎收聽趙華盈古貨載第1046集
[44:39] 現在夜盤好像又開始在疊了
[44:41] 我剛剛在看
[44:42] 所以剛剛我們講的沒錯
[44:44] 我們剛剛一開始講說夜盤還沒開
[44:46] 一邊講一邊夜盤就開了
[44:48] 就是還沒有疊完
[44:50] 所以今天沒有剪到的朋友
[44:52] 不要擔心
[44:53] 看來明天還有機會
[44:54] 而且也要看一下晚上
[44:55] 因為今天美股的電子期
[44:57] 並沒有表現很好
[44:58] 所以美股的壓力還在
[44:59] 剛剛一開場就講了
[45:00] 要不就是你美股蒸汽點
[45:02] 來跟上我們雅谷
[45:03] 要不就是我們可能
[45:05] 在乖離過大的時候
[45:06] 還是會有一點壓力
[45:08] 好那這邊的話
[45:09] 那就跟各位古惑仔說
[45:11] 古海平安
[45:12] 我們明天見
[45:13] 拜拜
